"query"	"ko"
"yHMPu5000041743_Candida_hawaiiana@Seq_4826"	"K22493"
"yHAB160_Kazachstania_kunashirensis@Seq_2777"	"K02991"
"Fusarium_graminearum@Seq_6120"	"K09531"
"yHAB134_Kazachstania_turicensis@Seq_3763"	"K17980"
"Saccharomyces_cerevisiae@YFL023W"	"K17560"
"Nadsonia_fulvescens_var_elongata@Seq_5685"	"K16261"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_537"	"K22483"
"yHMPu5000035639_Wickerhamomyces_canadensis@Seq_1687"	"K06123"
"Arthrobotrys_oligospora@Seq_4627"	"K13277"
"yHMPu5000035301_Pichia_terricola@Seq_808"	"K07088"
"yHAB155_Kazachstania_spencerorum@Seq_1654"	"K04728"
"yHMPu5000034978_Cyberlindnera_mrakii@Seq_4662"	"K08165"
"Stagonospora_nodorum@Seq_10769"	"K10799"
"Fusarium_graminearum@Seq_7404"	"K14317"
"Neurospora_crassa@Seq_2401"	"K05863"
"yHMPu5000034876_Tetrapisispora_iriomotensis@Seq_2111"	"K00355"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_1795"	"K05533"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9953"	"K01698"
"Wickerhamomyces_ciferrii@Seq_195"	"K00164"
"Saccharomyces_cerevisiae@YOL034W"	"K22803"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_11070"	"K02324"
"Stagonospora_nodorum@Seq_4528"	"K06130"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_1418"	"K14791"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_4674"	"K06668"
"Candida_versatilis@Seq_1154"	"K04371"
"yHAB143_Kazachstania_siamensis@Seq_2799"	"K12763"
"Saccharomyces_cerevisiae@YKL119C"	"K23542"
"Spathaspora_girioi@Seq_1888"	"K03879"
"Metschnikowia_hawaiiensis@Seq_4273"	"K01191"
"Ascoidea_asiatica@Seq_3198"	"K14411"
"Ascoidea_rubescens@Seq_2114"	"K17679"
"Alloascoidea_hylecoeti@Seq_7496"	"K03514"
"Stagonospora_nodorum@Seq_6577"	"K08139"
"Stagonospora_nodorum@Seq_1625"	"K07408"
"Starmerella_bombicola_JCM9596@Seq_2097"	"K15541"
"Coccidioides_immitis@Seq_6274"	"K10531"
"yHMPu5000034952_Citeromyces_siamensis@Seq_4013"	"K06174"
"Saccharomyces_cerevisiae@YIL097W"	"K18624"
"yHMPu5000034629_Pichia_exigua@Seq_102"	"K22016"
"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_4024"	"K00002"
"Candida_sojae@Seq_3287"	"K13289"
"yHMPu5000041693_Debaryomyces_nepalensis@Seq_2632"	"K19900"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_2764"	"K15264"
"Spathaspora_gorwiae@Seq_144"	"K17550"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_2028"	"K12606"
"Metschnikowia_lockheadii@Seq_5452"	"K18852"
"Spathaspora_hagerdaliae@Seq_5532"	"K20223"
"Ogataea_polymorpha@Seq_424"	"K05349"
"Saprochaete_clavata@Seq_3470"	"K14572"
"Eremothecium_cymbalariae@Seq_951"	"K00900"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_5214"	"K03843"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_3167"	"K06687"
"Aspergillus_nidulans@Seq_4190"	"K08597"
"Saccharomyces_cerevisiae@YKL014C"	"K14861"
"Hanseniaspora_vinae@Seq_3117"	"K03233"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_5955"	"K02256"
"Metschnikowia_matae@Seq_6504"	"K14835"
"Arthrobotrys_oligospora@Seq_8174"	"K00252"
"Spathaspora_gorwiae@Seq_843"	"K14635"
"Ascoidea_rubescens@Seq_490"	"K00432"
"Nakaseomyces_bacillisporus@Seq_3203"	"K11245"
"Saccharomyces_cerevisiae@YDR507C"	"K06668"
"Babjeviella_inositovora@Seq_316"	"K12413"
"yHMPu5000034661_Dipodascus_albidus@Seq_5353"	"K06687"
"Sugiyamaella_lignohabitans@Seq_2197"	"K10955"
"yHMPu5000034670_Blastobotrys_proliferans@Seq_2982"	"K08157"
"yHMPu5000035703_Cyberlindnera_americana@Seq_4473"	"K05667"
"Saccharomyces_cerevisiae@YGR256W"	"K00033"
"Neurospora_crassa@Seq_2378"	"K08292"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_5279"	"K00511"
"yHMPu5000034758_Lipomyces_japonicus@Seq_1586"	"K10745"
"yHMPu5000035699_Cyberlindnera_maclurae@Seq_33"	"K14848"
"yHAB134_Kazachstania_turicensis@Seq_5838"	"K11253"
"yHMPu5000034952_Citeromyces_siamensis@Seq_7937"	"K10756"
"Botrytis_cinerea@Seq_13668"	"K19791"
"Metschnikowia_continentalis@Seq_6118"	"K00474"
"Aspergillus_nidulans@Seq_1401"	"K01210"
"Metschnikowia_similis@Seq_4400"	"K02935"
"yHMPu5000034862_Zygotorulaspora_florentina@Seq_299"	"K01624"
"yHAB160_Kazachstania_kunashirensis@Seq_1745"	"K16947"
"Nakaseomyces_castellii@Seq_3382"	"K11245"
"Metschnikowia_matae@Seq_5163"	"K00232"
"yHMPu5000034947_Ambrosiozyma_philentoma@Seq_4229"	"K00413"
"Saccharomyces_cerevisiae@YML100W"	"K22337"
"yHAB155_Kazachstania_spencerorum@Seq_1482"	"K02202"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_723"	"K11321"
"yHAB148_Kazachstania_intestinalis@Seq_3520"	"K02183"
"Botrytis_cinerea@Seq_8726"	"K19998"
"yHMPu5000035244_Candida_incommunis@Seq_4277"	"K08712"
"Starmerella_bombicola_JCM9596@Seq_43"	"K09372"
"Yarrowia_lipolytica@Seq_4937"	"K01180"
"Candida_apicola@Seq_4295"	"K20042"
"yHMPu5000034887_Ogataea_trehaloabstinens@Seq_2089"	"K08711"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_699"	"K01455"
"Coccidioides_immitis@Seq_278"	"K18660"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_5197"	"K14855"
"Metschnikowia_cerradonensis@Seq_620"	"K14708"
"yHAB132_Kazachstania_martiniae@Seq_4273"	"K10753"
"yHMPu5000034654_Aciculoconidium_aculeatum@Seq_6145"	"K09827"
"Tortispora_caseinolytica@Seq_3635"	"K01262"
"yHMPu5000035261_Candida_ponderosae@Seq_2110"	"K12769"
"Fusarium_graminearum@Seq_10501"	"K12611"
"Metschnikowia_matae@Seq_4677"	"K14823"
"Millerozyma_acaciae@Seq_1588"	"K21125"
"Metschnikowia_mauinuiana@Seq_2326"	"K03255"
"Nakaseomyces_bacillisporus@Seq_2392"	"K20062"
"yHMPu5000035046_Barnettozyma_populi@Seq_3049"	"K17743"
"yHMPu5000035040_Ambrosiozyma_maleeae@Seq_3430"	"K21627"
"Sclerotinia_sclerotiorum@Seq_6441"	"K07297"
"Saccharomyces_cerevisiae@YIL078W"	"K01868"
"Saccharomyces_cerevisiae@YMR226C"	"K16066"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_27"	"K17608"
"Sclerotinia_sclerotiorum@Seq_3214"	"K01279"
"Saccharomyces_cerevisiae@YHR186C"	"K07204"
"Saccharomyces_cerevisiae@YMR135C"	"K23338"
"yHMPu5000035318_Hyphopichia_heimii@Seq_99"	"K03094"
"Fusarium_graminearum@Seq_9341"	"K21543"
"Ascoidea_rubescens@Seq_2633"	"K12763"
"yHMPu5000035279_Tortispora_starmeri@Seq_614"	"K11771"
"Spathaspora_gorwiae@Seq_6210"	"K06684"
"yHMPu5000026142_Citeromyces_matritensis@Seq_5644"	"K09518"
"yHMPu5000034952_Citeromyces_siamensis@Seq_1967"	"K12615"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_2100"	"K11824"
"Candida_albicans@C4_03570W_A"	"K19900"
"yHMPu5000034625_Pichia_kudriavzevii@Seq_1044"	"K00354"
"Metschnikowia_matae@Seq_2218"	"K01653"
"yHMPu5000035244_Candida_incommunis@Seq_3116"	"K09184"
"Yarrowia_deformans@Seq_3059"	"K22016"
"yHAB153_Kazachstania_rosinii@Seq_4121"	"K06116"
"Saccharomyces_cerevisiae@YPL247C"	"K11805"
"yHAB158_Kazachstania_viticola@Seq_5010"	"K12781"
"yHAB155_Kazachstania_spencerorum@Seq_2929"	"K08964"
"Tetrapisispora_blattae@Seq_1901"	"K01613"
"Geotrichum_candidum@Seq_5973"	"K01507"
"Wickerhamiella_domercqiae@Seq_23"	"K15692"
"Xylona_heveae@Seq_2053"	"K01598"
"yHMPu5000035261_Candida_ponderosae@Seq_4632"	"K16261"
"Stagonospora_nodorum@Seq_11665"	"K01115"
"Alloascoidea_hylecoeti@Seq_2480"	"K00412"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_424"	"K01756"
"Arthrobotrys_oligospora@Seq_6768"	"K10380"
"Alloascoidea_hylecoeti@Seq_2097"	"K10590"
"Spathaspora_hagerdaliae@Seq_3290"	"K13217"
"Ascoidea_asiatica@Seq_3838"	"K08516"
"yHAB166_Kazachstania_yakushimaensis@Seq_5351"	"K08286"
"Xylona_heveae@Seq_5685"	"K11253"
"Candida_parapsilosis@Seq_3968"	"K18757"
"yHMPu5000034978_Cyberlindnera_mrakii@Seq_1044"	"K22493"
"yHMPu5000035302_Candida_fragi@Seq_1469"	"K11423"
"yHMPu5000026142_Citeromyces_matritensis@Seq_7696"	"K14836"
"Nakaseomyces_nivariensis@Seq_452"	"K09403"
"Naumovozyma_dairenensis@Seq_3115"	"K11253"
"Metschnikowia_bicuspidata@Seq_177"	"K18097"
"yHMPu5000034761_Lipomyces_lipofer@Seq_461"	"K08141"
"Metschnikowia_santaceciliae@Seq_5453"	"K12815"
"yHMPu5000034607_Saccharomycopsis_capsularis@Seq_3931"	"K03686"
"yHMPu5000035690_Candida_vartiovaarae@Seq_3628"	"K04077"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_506"	"K05917"
"yHMPu5000035684_Kloeckera_hatyaiensis@Seq_3686"	"K10258"
"yHMPu5000034613_Saturnispora_serradocipensis@Seq_697"	"K08178"
"Metschnikowia_ipomoeae@Seq_722"	"K00972"
"yHMPu5000035274_Wickerhamomyces_alni@Seq_3174"	"K14007"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_1387"	"K03003"
"yHAB155_Kazachstania_spencerorum@Seq_3694"	"K09175"
"yHMPu5000035261_Candida_ponderosae@Seq_1667"	"K04077"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_5058"	"K01180"
"yHMPu5000034990_Candida_corydali@Seq_2622"	"K06005"
"yHMPu5000034749_Lipomyces_mesembrius@Seq_3318"	"K07223"
"yHMPu5000026142_Citeromyces_matritensis@Seq_401"	"K13830"
"Lodderomyces_elongisporus@Seq_4371"	"K09243"
"yHMPu5000035691_Candida_salmanticensis@Seq_4475"	"K01714"
"yHMPu5000035261_Candida_ponderosae@Seq_1541"	"K19525"
"yHMPu5000035654_Tortispora_ganteri@Seq_5062"	"K08291"
"Sclerotinia_sclerotiorum@Seq_8992"	"K19791"
"Metschnikowia_arizonensis@Seq_5519"	"K03942"
"Candida_succiphila@Seq_4128"	"K00135"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_5141"	"K20306"
"Stagonospora_nodorum@Seq_7577"	"K11161"
"yHAB155_Kazachstania_spencerorum@Seq_4492"	"K00290"
"Saccharomyces_cerevisiae@YOR063W"	"K02925"
"Candida_boidinii_JCM9604@Seq_2455"	"K00801"
"yHMPu5000034877_Tetrapisispora_namnaonensis@Seq_5412"	"K20368"
"yHMPu5000035674_Kregervanrija_delftensis@Seq_5598"	"K13201"
"Coccidioides_immitis@Seq_5152"	"K10380"
"Candida_tropicalis@Seq_4308"	"K17741"
"Metschnikowia_santaceciliae@Seq_1562"	"K03320"
"Alloascoidea_hylecoeti@Seq_9092"	"K06018"
"Saccharomyces_cerevisiae@YJL157C"	"K06652"
"yHMPu5000034875_Tetrapisispora_fleetii@Seq_2494"	"K20643"
"yHMPu5000041678_Debaryomyces_prosopidis@Seq_4036"	"K20989"
"yHMPu5000034892_Ogataea_pilisensis@Seq_432"	"K22009"
"yHMPu5000034754_Lipomyces_arxii@Seq_1574"	"K01078"
"yHMPu5000034892_Ogataea_pilisensis@Seq_4670"	"K00063"
"Metschnikowia_hamakuensis@Seq_4050"	"K03254"
"yHAB155_Kazachstania_spencerorum@Seq_1880"	"K02983"
"Sclerotinia_sclerotiorum@Seq_1112"	"K06689"
"yHMPu5000034952_Citeromyces_siamensis@Seq_1938"	"K14290"
"yHMPu5000035643_Yarrowia_bubula@Seq_2993"	"K01372"
"yHAB158_Kazachstania_viticola@Seq_2236"	"K09043"
"yHMPu5000035675_Kregervanrija_fluxuum@Seq_6126"	"K14675"
"Alloascoidea_hylecoeti@Seq_9039"	"K05757"
"Saccharomyces_cerevisiae@YJR137C"	"K00381"
"Hanseniaspora_vinae@Seq_3954"	"K13993"
"yHMPu5000035261_Candida_ponderosae@Seq_4844"	"K14570"
"Spathaspora_girioi@Seq_3521"	"K19844"
"yHMPu5000034631_Martiniozyma_abiesophila@Seq_8803"	"K10356"
"yHMPu5000034952_Citeromyces_siamensis@Seq_11389"	"K12855"
"yHMPu5000035261_Candida_ponderosae@Seq_6542"	"K14328"
"yHMPu5000035687_Cyberlindnera_suaveolens@Seq_3081"	"K19564"
"yHMPu5000035282_Trigonopsis_vinaria@Seq_3668"	"K03099"
"yHMPu5000034754_Lipomyces_arxii@Seq_4515"	"K08150"
"Metschnikowia_matae@Seq_4564"	"K01466"
"yHMPu5000034952_Citeromyces_siamensis@Seq_10880"	"K02210"
"Tortispora_caseinolytica@Seq_2391"	"K13953"
"yHMPu5000034865_Zygosaccharomyces_kombuchaensis@Seq_59"	"K03066"
"Wickerhamomyces_ciferrii@Seq_3459"	"K14570"
"yHAB134_Kazachstania_turicensis@Seq_3136"	"K13953"
"Lipomyces_starkeyi@Seq_8385"	"K08141"
"yHMPu5000034635_Nadsonia_fulvescens@Seq_2608"	"K00022"
"Saccharomyces_cerevisiae@YJL184W"	"K15903"
"yHAB164_Kazachstania_aerobia@Seq_3274"	"K11215"
"yHMPu5000035688_Cyberlindnera_xylosilytica@Seq_4115"	"K08139"
"Candida_tropicalis@Seq_5593"	"K00799"
"yHMPu5000034655_Botryozyma_nematodophila@Seq_3035"	"K03106"
"yHMPu5000034952_Citeromyces_siamensis@Seq_9067"	"K01536"
"Saccharomyces_cerevisiae@YOR323C"	"K00147"
"Lachancea_waltii@Seq_2566"	"K09051"
"Saccharomyces_uvarum@Seq_580"	"K07942"
"yHAB133_Kazachstania_unispora@Seq_4876"	"K06173"
"Saccharomyces_cerevisiae@YLR234W"	"K03165"
"yHMPu5000035696_Hanseniaspora_singularis@Seq_1593"	"K02895"
"Ambrosiozyma_monospora@Seq_1539"	"K11206"
"yHMPu5000034950_Citeromyces_hawaiiensis@Seq_5702"	"K08286"
"yHMPu5000034886_Ogataea_trehalophila@Seq_1466"	"K11499"
"Saccharomyces_cerevisiae@YMR301C"	"K05663"
"Babjeviella_inositovora@Seq_1893"	"K14209"
"yHMPu5000026145_Ambrosiozyma_vanderkliftii@Seq_5443"	"K02126"
"yHMPu5000034902_Ogataea_minuta@Seq_81"	"K05894"
"Saccharomyces_cerevisiae@YDR530C"	"K00988"
"Coccidioides_immitis@Seq_1315"	"K01966"
