"locus_tag"	"SNP_NUM"	"nsSNP"	"nsSNP_unique"
"YAR019C"	9208	"2220"	3
"YAR020C"	1816	"816"	1
"YAR023C"	4009	"3104"	14
"YAR027W"	3615	"3414"	11
"YAR028W"	5532	"4131"	13
"YAR029W"	1812	"1367"	4
"YAR031W"	5236	"4275"	8
"YAR033W"	1950	"1188"	2
"YAR035W"	9496	"1250"	5
"YAR035C-A"	46	"41"	0
"YAR042W"	19995	"6937"	16
"YAR050W"	4157	"2984"	14
"YAR064W"	0	"NA"	NA
"YAR066W"	0	"NA"	NA
"YAR068W"	0	"NA"	NA
"YAR071W"	23	"3"	0
"YBL113C"	0	"NA"	NA
"YBL112C"	0	"NA"	NA
"YBL111C"	0	"NA"	NA
"YBL108C-A"	0	"NA"	NA
"YBL107C"	1551	"639"	3
"YBL106C"	9185	"3539"	12
"YBL105C"	7929	"1534"	5
"YBL104C"	4603	"1682"	2
"YBL103C"	2136	"1200"	4
"YBL102W"	1150	"32"	0
"YBL101C"	7003	"1697"	7
"YBL100W-C"	401	"375"	1
"YBL099W"	3719	"136"	0
"YBL098W"	4467	"665"	3
"YBL097W"	5614	"2071"	8
"YBL095W"	2606	"325"	1
"YBL093C"	529	"41"	0
"YBL092W"	25	"3"	0
"YBL091C-A"	2354	"1646"	6
"YBL091C"	1185	"45"	0
"YBL090W"	924	"317"	2
"YBL089W"	4188	"1639"	5
"YBL088C"	15872	"7171"	22
"YBL087C"	2513	"1"	0
"YBL086C"	3117	"1199"	4
"YBL085W"	6453	"3033"	7
"YBL084C"	4930	"1922"	5
"YBL082C"	2618	"567"	2
"YBL081W"	3195	"961"	4
"YBL080C"	9029	"4208"	7
"YBL079W"	14161	"3389"	10
"YBL078C"	178	"12"	0
"YBL076C"	5381	"290"	2
"YBL075C"	6176	"731"	3
"YBL074C"	1875	"635"	1
"YBL072C"	73	"10"	0
"YBL071C-B"	1056	"1020"	1
"YBL071W-A"	1115	"505"	1
"YBL071C"	870	"800"	6
"YBL069W"	1049	"105"	0
"YBL068W"	1133	"113"	0
"YBL067C"	5285	"3315"	9
"YBL066C"	6347	"1933"	6
"YBL064C"	1575	"102"	0
"YBL063W"	7469	"1868"	4
"YBL061C"	7086	"2906"	11
"YBL060W"	5686	"2480"	7
"YBL059C-A"	618	"331"	1
"YBL059W"	1515	"614"	1
"YBL058W"	7409	"3797"	13
"YBL057C"	600	"220"	0
"YBL056W"	2020	"459"	2
"YBL055C"	8529	"2852"	5
"YBL054W"	8351	"3982"	9
"YBL052C"	17119	"6143"	19
"YBL051C"	14385	"5185"	7
"YBL050W"	1699	"73"	0
"YBL049W"	894	"26"	0
"YBL048W"	231	"216"	1
"YBL047C"	19437	"5054"	7
"YBL046W"	9598	"4365"	7
"YBL045C"	1778	"677"	2
"YBL044W"	503	"474"	2
"YBL043W"	3253	"534"	2
"YBL042C"	8075	"3887"	5
"YBL041W"	1625	"57"	0
"YBL040C"	6175	"18"	0
"YBL039W-B"	831	"57"	0
"YBL039C"	6873	"337"	3
"YBL038W"	6964	"1748"	2
"YBL037W"	9762	"2947"	7
"YBL036C"	2068	"764"	1
"YBL035C"	12225	"3552"	7
"YBL034C"	14275	"4185"	11
"YBL033C"	5751	"155"	0
"YBL032W"	3543	"1563"	3
"YBL031W"	3934	"2901"	4
"YBL030C"	6244	"2061"	4
"YBL029C-A"	62	"24"	0
"YBL029W"	5654	"2111"	5
"YBL028C"	1006	"60"	0
"YBL027W"	6624	"38"	0
"YBL026W"	921	"1"	0
"YBL025W"	1880	"840"	1
"YBL024W"	6835	"2072"	5
"YBL023C"	9035	"242"	0
"YBL022C"	10542	"1961"	7
"YBL021C"	378	"26"	0
"YBL020W"	8809	"383"	2
"YBL019W"	8890	"5830"	10
"YBL018C"	5679	"1497"	3
"YBL017C"	22850	"11312"	25
"YBL016W"	3184	"702"	1
"YBL015W"	4304	"102"	0
"YBL014C"	13003	"4620"	8
"YBL013W"	6428	"2918"	6
"YBL011W"	11784	"2193"	2
"YBL010C"	1612	"1110"	3
"YBL009W"	11577	"3278"	6
"YBL008W-A"	136	"86"	0
"YBL008W"	7277	"1543"	1
"YBL007C"	14703	"6937"	8
"YBL006C"	4709	"1874"	2
"YBL005W"	11575	"2949"	4
"YBL004W"	19253	"10551"	19
"YBL003C"	729	"5"	0
"YBL002W"	706	"1"	0
"YBL001C"	134	"12"	0
"YBR001C"	10685	"5819"	8
"YBR002C"	2457	"856"	2
"YBR003W"	5588	"668"	1
"YBR004C"	4223	"2104"	2
"YBR005W"	2624	"1731"	3
"YBR006W"	8488	"150"	0
"YBR007C"	6533	"4323"	8
"YBR008C"	7843	"4084"	6
"YBR009C"	1060	"0"	0
"YBR010W"	216	"3"	0
"YBR011C"	1528	"90"	0
"YBR013C"	1456	"678"	3
"YBR014C"	1886	"983"	2
"YBR015C"	5540	"2281"	10
"YBR016W"	446	"117"	0
"YBR017C"	3226	"689"	4
"YBR018C"	1813	"343"	2
"YBR019C"	2813	"1109"	2
"YBR020W"	2087	"758"	2
"YBR021W"	2717	"740"	2
"YBR022W"	1350	"756"	4
"YBR023C"	8243	"2635"	6
"YBR024W"	2616	"614"	2
"YBR025C"	1238	"35"	0
"YBR026C"	3772	"978"	5
"YBR027C"	614	"584"	4
"YBR028C"	3362	"2245"	2
"YBR029C"	2388	"122"	0
"YBR030W"	10766	"5438"	10
"YBR031W"	250	"44"	0
"YBR032W"	2423	"307"	1
"YBR033W"	12990	"8792"	22
"YBR034C"	691	"73"	0
"YBR035C"	950	"22"	0
"YBR036C"	2790	"963"	4
"YBR037C"	2128	"625"	1
"YBR038W"	6113	"262"	0
"YBR039W"	1577	"176"	0
"YBR040W"	1836	"312"	1
"YBR041W"	4590	"648"	1
"YBR042C"	11130	"2246"	4
"YBR043C"	10495	"1351"	2
"YBR044C"	7495	"1955"	5
"YBR045C"	10003	"4683"	6
"YBR046C"	4009	"1768"	3
"YBR047W"	1618	"127"	0
"YBR048W"	10269	"19"	0
"YBR049C"	5258	"629"	4
"YBR050C"	4080	"2444"	6
"YBR052C"	2733	"159"	0
"YBR053C"	6099	"2005"	4
"YBR054W"	5123	"942"	1
"YBR055C"	13122	"4164"	12
"YBR056W"	3699	"478"	2
"YBR056W-A"	480	"189"	1
"YBR057C"	984	"489"	1
"YBR058C"	7084	"3486"	11
"YBR058C-A"	734	"80"	0
"YBR059C"	10944	"3331"	4
"YBR060C"	6306	"1784"	2
"YBR061C"	5235	"136"	0
"YBR062C"	3304	"1342"	3
"YBR063C"	11199	"8395"	15
"YBR065C"	4380	"2109"	5
"YBR066C"	577	"328"	3
"YBR067C"	2565	"100"	0
"YBR068C"	4339	"1620"	4
"YBR069C"	10251	"2505"	5
"YBR070C"	4606	"1880"	3
"YBR071W"	3088	"299"	1
"YBR072W"	3475	"1643"	6
"YBR072C-A"	2069	"1248"	3
"YBR073W"	11757	"3199"	11
"YBR074W"	10487	"4952"	13
"YBR076W"	4203	"2070"	3
"YBR077C"	3091	"652"	2
"YBR078W"	8723	"2416"	5
"YBR079C"	10201	"2378"	8
"YBR080C"	6299	"1366"	3
"YBR081C"	16533	"8710"	19
"YBR082C"	3246	"22"	0
"YBR083W"	4298	"1511"	2
"YBR084W"	10049	"2161"	3
"YBR084C-A"	2208	"21"	0
"YBR085W"	3278	"606"	1
"YBR085C-A"	1588	"871"	1
"YBR086C"	17236	"5368"	13
"YBR087W"	8779	"292"	1
"YBR088C"	1234	"18"	0
"YBR089C-A"	947	"333"	1
"YBR090C"	2217	"642"	1
"YBR091C"	626	"36"	0
"YBR092C"	8957	"626"	5
"YBR093C"	5804	"787"	3
"YBR094W"	9230	"836"	1
"YBR095C"	4202	"1929"	6
"YBR096W"	1220	"125"	0
"YBR097W"	15439	"4379"	9
"YBR098W"	8719	"5136"	9
"YBR101C"	2563	"351"	0
"YBR102C"	5988	"431"	0
"YBR103W"	6214	"2939"	5
"YBR104W"	1153	"119"	0
"YBR105C"	5979	"1534"	2
"YBR106W"	3242	"50"	0
"YBR107C"	6996	"3049"	5
"YBR108W"	19876	"9245"	14
"YBR109C"	794	"35"	0
"YBR110W"	4691	"917"	1
"YBR111C"	4117	"1446"	2
"YBR111W-A"	2059	"730"	1
"YBR112C"	13510	"3653"	12
"YBR114W"	13299	"1643"	3
"YBR115C"	16818	"3421"	8
"YBR117C"	6173	"297"	1
"YBR118W"	274	"0"	0
"YBR119W"	7956	"3514"	5
"YBR120C"	999	"408"	2
"YBR121C"	5621	"1145"	1
"YBR122C"	1279	"329"	1
"YBR123C"	5865	"2558"	4
"YBR125C"	2834	"428"	2
"YBR126C"	6867	"142"	0
"YBR126W-A"	147	"78"	0
"YBR127C"	1418	"41"	0
"YBR128C"	3482	"1799"	4
"YBR129C"	1721	"423"	2
"YBR130C"	3196	"1527"	3
"YBR131W"	15884	"4426"	8
"YBR132C"	10313	"2863"	6
"YBR133C"	8456	"2699"	5
"YBR135W"	905	"69"	0
"YBR136W"	29283	"5558"	11
"YBR137W"	2081	"104"	0
"YBR138C"	10160	"3480"	5
"YBR139W"	8942	"2676"	5
"YBR140C"	55654	"15624"	42
"YBR141C"	5766	"2978"	6
"YBR142W"	14676	"3296"	6
"YBR143C"	4636	"27"	0
"YBR144C"	2819	"1343"	5
"YBR145W"	3495	"195"	0
"YBR146W"	6882	"1228"	1
"YBR147W"	9920	"2043"	3
"YBR148W"	17949	"11286"	20
"YBR149W"	2720	"875"	3
"YBR150C"	28044	"7578"	15
"YBR151W"	2895	"208"	0
"YBR152W"	5249	"2300"	5
"YBR153W"	6344	"2575"	8
"YBR154C"	2004	"49"	0
"YBR155W"	7464	"1206"	4
"YBR156C"	9463	"3909"	8
"YBR157C"	4428	"1483"	5
"YBR158W"	6850	"3083"	6
"YBR159W"	7662	"3052"	4
"YBR160W"	1677	"59"	0
"YBR161W"	3267	"246"	0
"YBR162C"	5841	"1649"	4
"YBR162W-A"	765	"605"	1
"YBR163W"	10030	"4399"	9
"YBR164C"	1653	"25"	0
"YBR165W"	3528	"352"	0
"YBR166C"	8488	"5057"	7
"YBR167C"	1751	"889"	1
"YBR168W"	5152	"3754"	5
"YBR169C"	11721	"3053"	6
"YBR170C"	3476	"934"	1
"YBR171W"	904	"21"	0
"YBR172C"	17214	"6136"	10
"YBR173C"	768	"87"	0
"YBR175W"	5249	"1505"	2
"YBR176W"	4299	"2213"	3
"YBR177C"	5250	"2886"	4
"YBR179C"	11080	"2441"	7
"YBR180W"	13929	"6051"	7
"YBR181C"	5009	"64"	0
"YBR182C"	8588	"2684"	3
"YBR182C-A"	2693	"1701"	3
"YBR183W"	3983	"186"	0
"YBR184W"	8580	"4928"	12
"YBR185C"	5102	"300"	0
"YBR186W"	11072	"5428"	12
"YBR187W"	4028	"2409"	4
"YBR188C"	5977	"3671"	5
"YBR189W"	2018	"979"	1
"YBR191W"	4093	"9"	0
"YBR192W"	5067	"74"	0
"YBR193C"	3006	"1244"	2
"YBR194W"	3785	"1406"	3
"YBR195C"	4050	"866"	1
"YBR196C"	6958	"74"	0
"YBR196C-A"	1178	"1159"	3
"YBR196C-B"	939	"89"	0
"YBR197C"	5173	"2975"	5
"YBR198C"	10170	"366"	0
"YBR199W"	7966	"3068"	9
"YBR200W"	4656	"380"	1
"YBR200W-A"	986	"233"	1
"YBR201W"	4544	"1053"	2
"YBR201C-A"	1415	"633"	1
"YBR202W"	10747	"1089"	1
"YBR203W"	15287	"4603"	7
"YBR204C"	9824	"4476"	6
"YBR205W"	4775	"168"	1
"YBR207W"	6532	"717"	2
"YBR208C"	21818	"5650"	10
"YBR209W"	1501	"1413"	3
"YBR210W"	2134	"118"	1
"YBR211C"	5002	"1525"	5
"YBR212W"	6337	"1591"	4
"YBR213W"	5690	"2508"	5
"YBR214W"	7638	"1889"	4
"YBR215W"	13016	"4293"	12
"YBR216C"	7795	"2278"	2
"YBR217W"	456	"214"	1
"YBR218C"	12546	"1112"	1
"YBR219C"	3383	"191"	1
"YBR220C"	5014	"357"	1
"YBR221C"	2017	"944"	1
"YBR221W-A"	77	"71"	0
"YBR222C"	5398	"215"	0
"YBR223C"	7694	"4517"	6
"YBR225W"	11723	"2990"	3
"YBR227C"	4010	"1954"	3
"YBR228W"	7206	"3266"	4
"YBR229C"	15806	"7134"	13
"YBR230C"	1478	"861"	3
"YBR230W-A"	2243	"1118"	2
"YBR231C"	4092	"1522"	3
"YBR233W"	2377	"215"	0
"YBR233W-A"	1250	"43"	0
"YBR234C"	2876	"836"	1
"YBR235W"	14457	"1309"	4
"YBR236C"	3982	"1518"	4
"YBR237W"	17042	"10458"	16
"YBR238C"	5893	"869"	3
"YBR239C"	6603	"2513"	4
"YBR240C"	4367	"381"	0
"YBR241C"	3311	"1192"	2
"YBR242W"	1774	"725"	2
"YBR243C"	2035	"275"	0
"YBR244W"	645	"252"	1
"YBR245C"	7007	"2646"	6
"YBR246W"	4469	"1621"	5
"YBR247C"	2092	"932"	3
"YBR248C"	2288	"418"	1
"YBR249C"	2329	"235"	1
"YBR250W"	3522	"1649"	4
"YBR251W"	1887	"66"	0
"YBR252W"	589	"238"	1
"YBR253W"	1181	"828"	3
"YBR254C"	1151	"177"	0
"YBR255W"	5463	"3370"	13
"YBR255C-A"	1036	"20"	0
"YBR256C"	2956	"975"	3
"YBR257W"	1980	"927"	2
"YBR258C"	1028	"573"	3
"YBR259W"	9369	"4558"	14
"YBR260C"	5492	"593"	1
"YBR261C"	1804	"257"	3
"YBR262C"	257	"129"	0
"YBR263W"	2218	"488"	2
"YBR264C"	1918	"1313"	3
"YBR265W"	2169	"473"	2
"YBR267W"	3994	"1765"	5
"YBR268W"	921	"702"	1
"YBR269C"	655	"90"	0
"YBR270C"	5288	"2031"	8
"YBR271W"	6374	"2330"	2
"YBR272C"	4637	"390"	0
"YBR273C"	6147	"4843"	5
"YBR274W"	7745	"1068"	1
"YBR275C"	49621	"20056"	30
"YBR276C"	6570	"4361"	12
"YBR278W"	1452	"341"	1
"YBR279W"	3983	"468"	2
"YBR280C"	5925	"3127"	5
"YBR281C"	4546	"1484"	6
"YBR282W"	2256	"235"	1
"YBR283C"	4543	"347"	1
"YBR284W"	8986	"3270"	4
"YBR285W"	352	"223"	0
"YBR286W"	4125	"1640"	4
"YBR287W"	3573	"1230"	2
"YBR288C"	3247	"1725"	4
"YBR289W"	6604	"3004"	9
"YBR290W"	1170	"200"	0
"YBR291C"	2192	"1082"	3
"YBR292C"	2716	"2171"	9
"YBR293W"	4814	"1932"	7
"YBR294W"	4672	"1170"	4
"YBR295W"	17859	"9920"	36
"YBR296C"	5828	"984"	3
"YBR296C-A"	301	"18"	0
"YBR297W"	5362	"3764"	10
"YBR298C"	6413	"2805"	23
"YBR298C-A"	69	"38"	0
"YBR299W"	34	"31"	0
"YBR301W"	535	"21"	0
"YBR302C"	0	"NA"	NA
"YCL073C"	1741	"551"	2
"YCL069W"	20	"20"	0
"YCL068C"	75	"45"	1
"YCL067C"	0	"NA"	NA
"YCL066W"	0	"NA"	NA
"YCL064C"	3201	"554"	2
"YCL063W"	4600	"3217"	6
"YCL061C"	10743	"4790"	15
"YCL059C"	1807	"132"	1
"YCL058C"	460	"334"	2
"YCL058W-A"	0	"NA"	NA
"YCL057C-A"	743	"49"	0
"YCL057W"	6500	"2464"	7
"YCL056C"	134	"55"	0
"YCL055W"	2170	"453"	1
"YCL054W-A"	272	"196"	2
"YCL054W"	5562	"818"	4
"YCL052C"	3568	"1026"	5
"YCL051W"	3666	"2135"	9
"YCL050C"	2461	"123"	1
"YCL049C"	3600	"2148"	7
"YCL048W-A"	254	"67"	0
"YCL048W"	3840	"1941"	3
"YCL047C"	3275	"360"	2
"YCL045C"	4385	"2592"	9
"YCL044C"	2119	"520"	3
"YCL043C"	5520	"787"	3
"YCL042W"	2277	"2174"	3
"YCL040W"	4433	"190"	1
"YCL039W"	10252	"3151"	7
"YCL038C"	2028	"192"	1
"YCL037C"	1511	"545"	2
"YCL036W"	6956	"2578"	9
"YCL035C"	409	"11"	0
"YCL034W"	2312	"416"	1
"YCL033C"	562	"351"	1
"YCL032W"	4437	"1223"	1
"YCL031C"	979	"188"	0
"YCL030C"	7967	"1943"	4
"YCL029C"	2172	"601"	2
"YCL028W"	5201	"762"	3
"YCL027W"	3674	"1530"	8
"YCL026C-B"	564	"56"	0
"YCL026C-A"	3917	"772"	2
"YCL025C"	6394	"2801"	6
"YCL024W"	8738	"3458"	17
"YCL021W-A"	1294	"334"	2
"YCL018W"	5305	"26"	0
"YCL017C"	5084	"760"	2
"YCL016C"	4210	"692"	2
"YCL014W"	24085	"9522"	28
"YCL012C"	2131	"1956"	2
"YCL011C"	2645	"1359"	2
"YCL010C"	2523	"1583"	4
"YCL009C"	2680	"1173"	2
"YCL008C"	2815	"930"	2
"YCL005W-A"	950	"5"	0
"YCL005W"	2213	"576"	2
"YCL004W"	2305	"670"	2
"YCL002C"	1422	"167"	1
"YCL001W"	661	"64"	0
"YCL001W-A"	1350	"763"	3
"YCL001W-B"	1629	"961"	5
"YCR001W"	701	"661"	3
"YCR002C"	1578	"388"	1
"YCR003W"	1609	"1067"	2
"YCR004C"	2234	"260"	1
"YCR005C"	1951	"82"	0
"YCR006C"	1878	"1776"	3
"YCR007C"	1041	"720"	1
"YCR008W"	5208	"1338"	6
"YCR009C"	2923	"369"	1
"YCR010C"	170	"34"	0
"YCR011C"	3277	"1280"	2
"YCR012W"	670	"91"	0
"YCR014C"	4272	"1969"	7
"YCR015C"	845	"671"	4
"YCR016W"	1169	"440"	3
"YCR017C"	6678	"3245"	9
"YCR018C"	3496	"1729"	4
"YCR019W"	2132	"882"	2
"YCR020C"	558	"270"	2
"YCR020C-A"	574	"95"	0
"YCR020W-B"	345	"39"	0
"YCR021C"	2641	"925"	2
"YCR022C"	1004	"890"	4
"YCR023C"	4226	"3296"	6
"YCR024C"	1958	"296"	1
"YCR024C-B"	1106	"949"	1
"YCR024C-A"	25	"3"	0
"YCR025C"	2014	"1902"	4
"YCR026C"	6238	"4080"	10
"YCR027C"	1148	"714"	2
"YCR028C"	2864	"393"	1
"YCR028C-A"	193	"80"	0
"YCR030C"	3820	"1669"	6
"YCR031C"	540	"5"	0
"YCR032W"	18072	"7914"	23
"YCR033W"	14863	"9617"	23
"YCR034W"	1203	"56"	0
"YCR035C"	2905	"1702"	4
"YCR036W"	3474	"1303"	5
"YCR037C"	5525	"1046"	5
"YCR038C"	1831	"1209"	2
"YCR039C"	0	"NA"	NA
"YCR040W"	0	"NA"	NA
"YCR041W"	2463	"1312"	6
"YCR042C"	12817	"4032"	17
"YCR043C"	372	"236"	1
"YCR044C"	2984	"1146"	2
"YCR045C"	4749	"1112"	5
"YCR046C"	1792	"696"	3
"YCR047C"	2075	"156"	2
"YCR048W"	5385	"1728"	6
"YCR050C"	185	"185"	1
"YCR051W"	1958	"1312"	6
"YCR052W"	7743	"2088"	5
"YCR053W"	2918	"224"	0
"YCR054C"	3288	"840"	4
"YCR057C"	5217	"2271"	8
"YCR059C"	1966	"662"	1
"YCR060W"	2239	"853"	3
"YCR061W"	3789	"1635"	6
"YCR063W"	610	"23"	0
"YCR065W"	3298	"1686"	2
"YCR066W"	3476	"1958"	5
"YCR067C"	15693	"8357"	26
"YCR068W"	7546	"2652"	5
"YCR069W"	2700	"1486"	4
"YCR071C"	1527	"81"	0
"YCR072C"	8098	"165"	0
"YCR073C"	17626	"5920"	10
"YCR073W-A"	2140	"759"	3
"YCR075C"	2008	"207"	0
"YCR075W-A"	237	"74"	0
"YCR076C"	3643	"3141"	4
"YCR077C"	10183	"2097"	4
"YCR079W"	6077	"934"	2
"YCR081W"	17611	"5105"	9
"YCR082W"	1283	"66"	0
"YCR083W"	1029	"124"	0
"YCR084C"	5579	"1550"	4
"YCR085W"	1517	"411"	2
"YCR086W"	996	"46"	0
"YCR087C-A"	2935	"340"	4
"YCR088W"	8008	"4442"	7
"YCR089W"	15782	"9200"	39
"YCR090C"	549	"123"	0
"YCR091W"	4199	"1618"	4
"YCR092C"	9158	"3439"	19
"YCR093W"	12331	"4173"	15
"YCR094W"	2828	"1382"	3
"YCR095C"	2434	"927"	2
"YCR095W-A"	110	"75"	0
"YCR096C"	0	"NA"	NA
"YCR097W"	1500	"1183"	6
"YCR098C"	8896	"1187"	2
"YCR099C"	2509	"1726"	6
"YCR100C"	5367	"3365"	10
"YCR101C"	3124	"1617"	7
"YCR102C"	1625	"1253"	6
"YCR104W"	860	"596"	1
"YCR105W"	1016	"400"	1
"YCR106W"	7704	"4173"	42
"YCR107W"	4014	"2674"	11
"YCR108C"	0	"NA"	NA
"YDL248W"	1007	"999"	5
"YDL247W"	0	"NA"	NA
"YDL246C"	0	"NA"	NA
"YDL245C"	0	"NA"	NA
"YDL244W"	42	"23"	0
"YDL243C"	3365	"601"	3
"YDL242W"	3805	"1871"	6
"YDL241W"	3320	"2774"	9
"YDL240W"	7601	"2247"	9
"YDL239C"	11018	"6434"	27
"YDL238C"	4775	"1665"	8
"YDL237W"	4155	"2179"	4
"YDL236W"	2658	"859"	2
"YDL235C"	1021	"71"	0
"YDL234C"	2935	"1195"	4
"YDL233W"	4044	"1310"	3
"YDL232W"	7	"2"	0
"YDL231C"	8237	"3110"	5
"YDL230W"	2655	"638"	2
"YDL229W"	1592	"38"	0
"YDL227C"	5729	"3356"	9
"YDL226C"	3854	"1457"	4
"YDL225W"	4653	"2118"	4
"YDL224C"	2492	"783"	5
"YDL223C"	9350	"4974"	17
"YDL222C"	2514	"1309"	2
"YDL220C"	18444	"9487"	18
"YDL219W"	3845	"75"	0
"YDL218W"	3013	"409"	2
"YDL217C"	2858	"81"	0
"YDL216C"	6146	"1670"	7
"YDL215C"	15091	"3200"	5
"YDL214C"	10788	"5893"	14
"YDL213C"	3696	"137"	0
"YDL212W"	5770	"1069"	1
"YDL211C"	17822	"7871"	14
"YDL210W"	6999	"893"	5
"YDL209C"	2634	"736"	4
"YDL208W"	183	"27"	0
"YDL207W"	11207	"3171"	5
"YDL206W"	13223	"5854"	10
"YDL205C"	501	"168"	0
"YDL204W"	3974	"1183"	6
"YDL203C"	15407	"4224"	9
"YDL202W"	2322	"277"	1
"YDL201W"	3134	"275"	2
"YDL200C"	2072	"1187"	2
"YDL199C"	14255	"3242"	6
"YDL198C"	2891	"83"	0
"YDL197C"	13263	"7320"	14
"YDL195W"	14869	"4898"	5
"YDL194W"	19697	"6878"	10
"YDL193W"	6298	"1703"	4
"YDL192W"	1481	"1"	0
"YDL191W"	5858	"2"	0
"YDL190C"	8426	"1442"	3
"YDL189W"	9354	"3182"	5
"YDL188C"	2308	"97"	0
"YDL186W"	1449	"826"	3
"YDL185W"	15996	"1948"	4
"YDL184C"	9	"2"	0
"YDL183C"	5484	"533"	1
"YDL182W"	1645	"90"	0
"YDL181W"	1252	"25"	0
"YDL180W"	7574	"3738"	8
"YDL179W"	1695	"352"	1
"YDL178W"	5731	"259"	0
"YDL177C"	3334	"1295"	2
"YDL176W"	7016	"459"	2
"YDL175C"	1726	"359"	2
"YDL174C"	7670	"348"	2
"YDL173W"	2502	"1652"	2
"YDL171C"	29521	"2725"	6
"YDL170W"	6026	"2600"	4
"YDL169C"	4654	"4388"	5
"YDL168W"	5964	"1662"	9
"YDL167C"	7633	"4088"	7
"YDL166C"	3809	"635"	2
"YDL165W"	1429	"92"	0
"YDL164C"	8014	"682"	2
"YDL161W"	1083	"369"	1
"YDL160C-A"	291	"75"	0
"YDL160C"	3919	"162"	1
"YDL159W-A"	792	"693"	2
"YDL159W"	4632	"578"	1
"YDL157C"	642	"615"	3
"YDL156W"	7476	"3304"	6
"YDL155W"	6265	"543"	1
"YDL154W"	18538	"10016"	18
"YDL153C"	5373	"4177"	7
"YDL150W"	8394	"1804"	3
"YDL149W"	17349	"5359"	9
"YDL148C"	6606	"1901"	4
"YDL147W"	3719	"618"	1
"YDL146W"	15101	"4360"	6
"YDL145C"	9857	"3763"	8
"YDL144C"	4040	"1712"	4
"YDL143W"	3929	"162"	0
"YDL142C"	2812	"888"	1
"YDL141W"	9491	"2586"	7
"YDL140C"	5412	"326"	0
"YDL139C"	5321	"1853"	5
"YDL138W"	8875	"3707"	9
"YDL137W"	298	"31"	0
"YDL136W"	5072	"56"	0
"YDL135C"	2955	"186"	1
"YDL134C"	1179	"172"	0
"YDL133C-A"	0	"NA"	NA
"YDL133W"	3806	"1085"	2
"YDL132W"	8248	"2302"	2
"YDL131W"	3978	"140"	1
"YDL130W-A"	647	"119"	0
"YDL130W"	1063	"54"	0
"YDL129W"	5828	"2643"	3
"YDL128W"	8720	"2468"	6
"YDL127W"	3642	"689"	2
"YDL126C"	13173	"501"	1
"YDL125C"	948	"302"	2
"YDL124W"	9494	"6021"	9
"YDL123W"	807	"152"	1
"YDL122W"	6990	"3393"	7
"YDL121C"	339	"186"	1
"YDL120W"	767	"77"	0
"YDL119C"	1778	"1162"	1
"YDL117W"	14254	"3638"	7
"YDL116W"	9976	"5845"	7
"YDL115C"	3924	"1336"	3
