	Kazachstania_africana	Saccharomyces_cerevisiae
OG0000010	genemark-scaffold_2-processed-gene-11.125-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.125&CDS=1-1725, genemark-scaffold_5-processed-gene-7.64-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-7.64&CDS=1-1914, genemark-scaffold_8-processed-gene-4.60-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.60&CDS=1-1563, snap_masked-scaffold_2-processed-gene-13.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.25&CDS=1-1614	YDR144C, YLR120C, YLR121C
OG0000011	genemark-scaffold_1-processed-gene-1.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.101&CDS=1-1131, genemark-scaffold_7-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.39&CDS=1-1053, snap_masked-scaffold_12-processed-gene-3.130-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-3.130&CDS=1-1053	YMR083W, YMR303C, YOL086C
OG0000012	augustus_masked-scaffold_9-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.10&CDS=1-6978, genemark-scaffold_1-processed-gene-13.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.48&CDS=1-7179, snap_masked-scaffold_6-processed-gene-7.34-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.34&CDS=1-5535	YGR032W, YLR342W, YMR306W
OG0000013	augustus_masked-scaffold_11-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.41&CDS=1-885, snap_masked-scaffold_11-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.5&CDS=1-1122, snap_masked-scaffold_11-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.7&CDS=1-417, snap_masked-scaffold_12-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-0.70&CDS=1-417, snap_masked-scaffold_9-processed-gene-5.161-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.161&CDS=1-861	YER076C
OG0000014	augustus_masked-scaffold_12-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-0.14&CDS=1-627, augustus_masked-scaffold_7-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.59&CDS=1-570, augustus_masked-scaffold_7-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.60&CDS=1-387, augustus_masked-scaffold_8-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-6.109&CDS=1-783, snap_masked-scaffold_6-processed-gene-7.61-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.61&CDS=1-222	YKR101W
OG0000015	genemark-scaffold_2-processed-gene-4.116-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.116&CDS=1-936, genemark-scaffold_3-processed-gene-11.105-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.105&CDS=1-2145, genemark-scaffold_7-processed-gene-7.43-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.43&CDS=1-1500	YER133W, YML016C, YPL179W
OG0000016	genemark-scaffold_3-processed-gene-12.100-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.100&CDS=1-993, genemark-scaffold_5-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.68&CDS=1-993, genemark-scaffold_5-processed-gene-3.84-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.84&CDS=1-993	YGR192C, YJL052W, YJR009C
OG0000017	genemark-scaffold_5-processed-gene-3.69-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.69&CDS=1-1689, genemark-scaffold_5-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.14&CDS=1-1692, genemark-scaffold_6-processed-gene-6.107-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.107&CDS=1-1824	YDL080C, YLR044C, YLR134W
OG0000018	genemark-scaffold_1-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.83&CDS=1-408, genemark-scaffold_10-processed-gene-2.125-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.125&CDS=1-408, genemark-scaffold_3-processed-gene-1.139-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.139&CDS=1-408	YBR010W, YNL031C
OG0000019	genemark-scaffold_1-processed-gene-2.63-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.63&CDS=1-309, genemark-scaffold_10-processed-gene-2.152-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-2.152&CDS=1-309, genemark-scaffold_3-processed-gene-1.123-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.123&CDS=1-309	YBR009C, YNL030W
OG0000020	augustus_masked-scaffold_1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.108&CDS=1-7587, genemark-scaffold_1-processed-gene-7.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.73&CDS=1-2901	YJL098W, YJL102W, YKR028W
OG0000021	genemark-scaffold_1-processed-gene-5.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.47&CDS=1-1560, genemark-scaffold_2-processed-gene-8.85-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.85&CDS=1-1665, genemark-scaffold_2-processed-gene-8.86-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.86&CDS=1-1641	YML116W, YMR279C
OG0000022	maker-scaffold_1-snap-gene-7.60-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.60&CDS=1-3777, snap_masked-scaffold_8-processed-gene-4.148-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.148&CDS=1-2451	YOR231W, YPL140C, YPL141C
OG0000023	augustus_masked-scaffold_4-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.102&CDS=1-3084, genemark-scaffold_1-processed-gene-8.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.87&CDS=1-3255, genemark-scaffold_7-processed-gene-7.39-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.39&CDS=1-3165	YBR245C, YOR304W
OG0000024	augustus_masked-scaffold_1-processed-gene-13.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.39&CDS=1-2991, snap_masked-scaffold_6-processed-gene-6.45-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.45&CDS=1-2898, snap_masked-scaffold_6-processed-gene-6.46-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.46&CDS=1-2985	YBL005W, YGL013C
OG0000025	genemark-scaffold_12-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-1.17&CDS=1-1581, maker-scaffold_12-augustus-gene-1.151-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-1.151&CDS=1-3165	YER056C, YER060W, YER060W-A
OG0000026	genemark-scaffold_2-processed-gene-4.131-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-4.131&CDS=1-1359, genemark-scaffold_3-processed-gene-6.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.1&CDS=1-675, genemark-scaffold_6-processed-gene-4.102-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.102&CDS=1-1110	YER130C, YKL062W
OG0000027	augustus_masked-scaffold_2-processed-gene-13.185-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.185&CDS=1-3660, genemark-scaffold_8-processed-gene-3.43-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.43&CDS=1-2376	YDR213W, YDR214W, YLR228C
OG0000028	genemark-scaffold_3-processed-gene-1.147-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.147&CDS=1-1836, genemark-scaffold_5-processed-gene-2.70-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.70&CDS=1-1920, genemark-scaffold_7-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.84&CDS=1-1722	YBR015C, YJL186W
OG0000029	genemark-scaffold_3-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.37&CDS=1-5280	YBL017C, YIL173W, YJL222W, YNR065C
OG0000030	augustus_masked-scaffold_6-processed-gene-7.167-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.167&CDS=1-1059, genemark-scaffold_3-processed-gene-7.130-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.130&CDS=1-1029, genemark-scaffold_3-processed-gene-8.79-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.79&CDS=1-1029, genemark-scaffold_4-processed-gene-8.33-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.33&CDS=1-1026	YPL088W
OG0000031	genemark-scaffold_8-processed-gene-1.0-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.0&CDS=1-1185, maker-scaffold_3-snap-gene-12.194-mRNA-1_1&gene=maker-scaffold_3-snap-gene-12.194&CDS=1-2730	YDR277C, YOR046C, YOR047C
OG0000032	genemark-scaffold_6-processed-gene-3.147-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.147&CDS=1-903, genemark-scaffold_7-processed-gene-1.96-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.96&CDS=1-867, snap_masked-scaffold_7-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.30&CDS=1-969, snap_masked-scaffold_7-processed-gene-1.31-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.31&CDS=1-600	YKL164C
OG0000033	augustus_masked-scaffold_7-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.67&CDS=1-2574, snap_masked-scaffold_8-processed-gene-5.108-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.108&CDS=1-1404	YOR229W, YOR230W, YPL139C
OG0000034	genemark-scaffold_1-processed-gene-0.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.99&CDS=1-483, genemark-scaffold_7-processed-gene-7.16-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.16&CDS=1-483	YBR244W, YIR037W
OG0000035	genemark-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.100&CDS=1-3162, genemark-scaffold_3-processed-gene-7.140-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.140&CDS=1-2946	YIR033W, YKL020C
OG0000036	genemark-scaffold_1-processed-gene-0.96-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.96&CDS=1-1779, genemark-scaffold_4-processed-gene-5.131-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.131&CDS=1-1776	YLR028C, YMR120C
OG0000037	genemark-scaffold_1-processed-gene-1.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.77&CDS=1-2352, genemark-scaffold_7-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.87&CDS=1-2145	YER017C, YMR089C
OG0000038	augustus_masked-scaffold_1-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.90&CDS=1-4011, genemark-scaffold_3-processed-gene-1.105-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.105&CDS=1-2847	YBR059C, YDR036C
OG0000039	genemark-scaffold_1-processed-gene-2.74-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.74&CDS=1-3252	YDR038C, YDR039C, YDR040C
OG0000040	genemark-scaffold_1-processed-gene-2.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.57&CDS=1-1107, genemark-scaffold_5-processed-gene-6.61-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.61&CDS=1-1200	YBR161W, YPL057C
OG0000041	genemark-scaffold_1-processed-gene-3.118-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.118&CDS=1-1224, genemark-scaffold_4-processed-gene-6.84-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.84&CDS=1-1314	YHL003C, YKL008C
OG0000042	genemark-scaffold_1-processed-gene-5.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.19&CDS=1-762, snap_masked-scaffold_7-processed-gene-6.37-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.37&CDS=1-762	YFR031C-A, YIL018W
OG0000043	genemark-scaffold_1-processed-gene-5.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.44&CDS=1-2523, maker-scaffold_2-snap-gene-8.141-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.141&CDS=1-5427	YML111W, YMR275C
OG0000044	genemark-scaffold_1-processed-gene-6.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.29&CDS=1-570, genemark-scaffold_2-processed-gene-1.68-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.68&CDS=1-588	YLR456W, YPR172W
OG0000045	genemark-scaffold_1-processed-gene-7.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.93&CDS=1-1332, genemark-scaffold_12-processed-gene-3.49-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.49&CDS=1-1863	YBL052C, YOR244W
OG0000046	genemark-scaffold_1-processed-gene-8.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.92&CDS=1-2550, genemark-scaffold_2-processed-gene-10.143-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.143&CDS=1-2607	YMR054W, YOR270C
OG0000047	genemark-scaffold_1-processed-gene-9.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.15&CDS=1-3537, genemark-scaffold_7-processed-gene-4.131-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.131&CDS=1-3516	YBR218C, YGL062W
OG0000048	snap_masked-scaffold_1-processed-gene-9.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.123&CDS=1-1977, snap_masked-scaffold_7-processed-gene-4.29-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.29&CDS=1-3258	YBR216C, YGL060W
OG0000049	genemark-scaffold_1-processed-gene-9.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.29&CDS=1-843, genemark-scaffold_7-processed-gene-5.53-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.53&CDS=1-810	YLR284C, YOR180C
OG0000050	genemark-scaffold_7-processed-gene-5.54-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.54&CDS=1-3204, maker-scaffold_1-snap-gene-9.101-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.101&CDS=1-5880	YLR277C, YLR278C
OG0000051	snap_masked-scaffold_1-processed-gene-10.114-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.114&CDS=1-201, snap_masked-scaffold_7-processed-gene-5.39-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.39&CDS=1-201	YLR264W, YOR167C
OG0000052	genemark-scaffold_12-processed-gene-0.44-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-0.44&CDS=1-1971, genemark-scaffold_3-processed-gene-3.76-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.76&CDS=1-1959, maker-scaffold_1-augustus-gene-10.134-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.134&CDS=1-3105	YMR008C
OG0000053	genemark-scaffold_1-processed-gene-10.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.15&CDS=1-2151, genemark-scaffold_7-processed-gene-5.83-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.83&CDS=1-1803	YLR260W, YOR171C
OG0000054	genemark-scaffold_1-processed-gene-10.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.37&CDS=1-435, genemark-scaffold_3-processed-gene-4.143-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.143&CDS=1-435	YGR118W, YPR132W
OG0000055	genemark-scaffold_1-processed-gene-12.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.72&CDS=1-1950, genemark-scaffold_9-processed-gene-5.91-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.91&CDS=1-1959	YJR045C, YLR369W
OG0000056	augustus_masked-scaffold_1-processed-gene-12.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.35&CDS=1-6876, genemark-scaffold_6-processed-gene-7.227-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.227&CDS=1-2595	YGR055W, YLR357W
OG0000057	genemark-scaffold_1-processed-gene-13.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.52&CDS=1-321, genemark-scaffold_6-processed-gene-7.213-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.213&CDS=1-321	YGR027C, YLR333C
OG0000058	genemark-scaffold_1-processed-gene-14.128-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.128&CDS=1-2280, genemark-scaffold_6-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.54&CDS=1-2385	YGL139W, YPL221W
OG0000059	augustus_masked-scaffold_1-processed-gene-14.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.93&CDS=1-684, snap_masked-scaffold_6-processed-gene-1.20-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.20&CDS=1-849	YHR133C, YNL156C
OG0000060	genemark-scaffold_1-processed-gene-15.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.3&CDS=1-1467, genemark-scaffold_6-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.84&CDS=1-1551	YHR135C, YNL154C
OG0000061	genemark-scaffold_1-processed-gene-15.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-15.46&CDS=1-1839, genemark-scaffold_6-processed-gene-0.11-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.11&CDS=1-1839	YDL229W, YNL209W
OG0000062	genemark-scaffold_1-processed-gene-16.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.9&CDS=1-7359, maker-scaffold_5-augustus-gene-0.56-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-0.56&CDS=1-8319	YJR066W, YKL203C
OG0000063	genemark-scaffold_1-processed-gene-16.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.14&CDS=1-1404, genemark-scaffold_3-processed-gene-3.73-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.73&CDS=1-1560	YNL283C, YOL105C
OG0000064	genemark-scaffold_1-processed-gene-16.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.62&CDS=1-1890, genemark-scaffold_3-processed-gene-3.98-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.98&CDS=1-1611	YNL299W, YOL115W
OG0000065	genemark-scaffold_3-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.1&CDS=1-1026, genemark-scaffold_8-processed-gene-6.198-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.198&CDS=1-915, maker-scaffold_1-snap-gene-16.155-mRNA-1_1&gene=maker-scaffold_1-snap-gene-16.155&CDS=1-2061	YOL151W
