	Saccharomyces_cerevisiae	yHMPu5000035318_Hyphopichia_heimii
OG0000010	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_15_length_165856_cov_16.9442_ID_20110-processed-gene-0.102&CDS=1-555
OG0000011	YBR240C, YDR207C	snap_masked-NODE_113_length_35850_cov_16.6978_ID_25330-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_113_length_35850_cov_16.6978_ID_25330-processed-gene-0.13&CDS=1-927, snap_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_29_length_130344_cov_17.3185_ID_23113-processed-gene-0.55&CDS=1-2094, snap_masked-NODE_32_length_126318_cov_17.2359_ID_16641-processed-gene-0.143-mRNA-1_1&gene=snap_masked-NODE_32_length_126318_cov_17.2359_ID_16641-processed-gene-0.143&CDS=1-1020, snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.82&CDS=1-1179, snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.47&CDS=1-1449
OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_66_length_62194_cov_16.852_ID_18060-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_66_length_62194_cov_16.852_ID_18060-processed-gene-0.49&CDS=1-4713, maker-NODE_13_length_179126_cov_16.6208_ID_16477-augustus-gene-0.235-mRNA-1_1&gene=maker-NODE_13_length_179126_cov_16.6208_ID_16477-augustus-gene-0.235&CDS=1-3576, snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.200-mRNA-1_1&gene=snap_masked-NODE_22_length_143390_cov_16.1143_ID_23656-processed-gene-0.200&CDS=1-1788
OG0000013	YDR368W, YOR120W	augustus_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_59_length_67375_cov_28.3995_ID_38366-processed-gene-0.48&CDS=1-930, maker-NODE_35_length_122776_cov_16.9709_ID_30454-snap-gene-0.56-mRNA-1_1&gene=maker-NODE_35_length_122776_cov_16.9709_ID_30454-snap-gene-0.56&CDS=1-1701, snap_masked-NODE_35_length_122776_cov_16.9709_ID_30454-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_35_length_122776_cov_16.9709_ID_30454-processed-gene-0.112&CDS=1-888, snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.36&CDS=1-912, snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_5_length_272244_cov_18.3867_ID_32304-processed-gene-1.78&CDS=1-915
OG0000014		snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.93&CDS=1-2067, snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.94&CDS=1-2253, snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.95&CDS=1-2235, snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_67_length_61163_cov_16.9679_ID_28074-processed-gene-0.4&CDS=1-2082, snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_79_length_49620_cov_15.9016_ID_21975-processed-gene-0.14&CDS=1-2145, snap_masked-NODE_82_length_48149_cov_16.7937_ID_21417-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_82_length_48149_cov_16.7937_ID_21417-processed-gene-0.47&CDS=1-2232, snap_masked-NODE_96_length_40789_cov_16.844_ID_23623-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_96_length_40789_cov_16.844_ID_23623-processed-gene-0.30&CDS=1-2175
OG0000015	YBR150C, YOL089C	snap_masked-NODE_107_length_37549_cov_28.6581_ID_22797-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_107_length_37549_cov_28.6581_ID_22797-processed-gene-0.35&CDS=1-2109, snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.194-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.194&CDS=1-2742, snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.195-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.195&CDS=1-2787, snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.196-mRNA-1_1&gene=snap_masked-NODE_30_length_126434_cov_16.6495_ID_16870-processed-gene-0.196&CDS=1-2691
OG0000016	YBR207W, YER145C	snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_25_length_138365_cov_17.6405_ID_32372-processed-gene-0.106&CDS=1-1146, snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.66&CDS=1-1203, snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.73&CDS=1-1248, snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_37_length_117182_cov_21.9344_ID_38234-processed-gene-0.96&CDS=1-1320
OG0000017	YCR102C, YLR460C, YNL134C	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.40&CDS=1-1098, snap_masked-NODE_109_length_36606_cov_24.7757_ID_19931-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_109_length_36606_cov_24.7757_ID_19931-processed-gene-0.7&CDS=1-1221, snap_masked-NODE_4_length_299148_cov_21.5119_ID_28963-processed-gene-1.233-mRNA-1_1&gene=snap_masked-NODE_4_length_299148_cov_21.5119_ID_28963-processed-gene-1.233&CDS=1-1209
OG0000018	YER054C, YIL045W, YLR273C, YOR178C	snap_masked-NODE_170_length_12816_cov_17.9679_ID_24539-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_170_length_12816_cov_17.9679_ID_24539-processed-gene-0.1&CDS=1-1506, snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_26_length_133046_cov_18.0642_ID_24063-processed-gene-0.5&CDS=1-2079
OG0000019	YGL120C, YKR086W, YNR011C	augustus_masked-NODE_81_length_48769_cov_23.7956_ID_19078-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_81_length_48769_cov_23.7956_ID_19078-processed-gene-0.17&CDS=1-3519, snap_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_51_length_81633_cov_20.3724_ID_19171-processed-gene-0.4&CDS=1-2652, snap_masked-NODE_73_length_52977_cov_16.4871_ID_17734-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_73_length_52977_cov_16.4871_ID_17734-processed-gene-0.42&CDS=1-2286
OG0000020	YJR004C	augustus_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_121_length_31199_cov_19.6624_ID_24656-processed-gene-0.18&CDS=1-1965, augustus_masked-NODE_165_length_13720_cov_26.345_ID_24274-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_165_length_13720_cov_26.345_ID_24274-processed-gene-0.0&CDS=1-1851, genemark-NODE_117_length_33968_cov_26.8801_ID_21843-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_117_length_33968_cov_26.8801_ID_21843-processed-gene-0.7&CDS=1-1248, snap_masked-NODE_138_length_20840_cov_32.0528_ID_27562-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_138_length_20840_cov_32.0528_ID_27562-processed-gene-0.3&CDS=1-1836, snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.139&CDS=1-2256
OG0000021	YKL128C	snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_102_length_39546_cov_16.8274_ID_26470-processed-gene-0.43&CDS=1-996, snap_masked-NODE_18_length_149404_cov_17.6318_ID_33062-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_18_length_149404_cov_17.6318_ID_33062-processed-gene-0.40&CDS=1-951, snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.159-mRNA-1_1&gene=snap_masked-NODE_34_length_124283_cov_18.9863_ID_28887-processed-gene-0.159&CDS=1-945, snap_masked-NODE_69_length_59586_cov_16.3273_ID_18938-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_69_length_59586_cov_16.3273_ID_18938-processed-gene-0.49&CDS=1-957, snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_78_length_49839_cov_26.4463_ID_21543-processed-gene-0.49&CDS=1-981
OG0000022	YLR144C, YNR067C	snap_masked-NODE_163_length_14151_cov_16.2408_ID_24424-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_163_length_14151_cov_16.2408_ID_24424-processed-gene-0.18&CDS=1-2085, snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_40_length_99243_cov_23.3573_ID_26809-processed-gene-0.27&CDS=1-2253, snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_92_length_42570_cov_27.6951_ID_22117-processed-gene-0.50&CDS=1-3507, snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.139-mRNA-1_1&gene=snap_masked-NODE_9_length_221159_cov_17.9112_ID_23687-processed-gene-1.139&CDS=1-3285
