	Lachancea_kluyveri	Saccharomyces_cerevisiae
OG0000026	augustus_masked-SAKL0E-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-0.90&CDS=1-1860, augustus_masked-SAKL0F-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.76&CDS=1-1860, augustus_masked-SAKL0F-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.90&CDS=1-1851, augustus_masked-SAKL0G-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-2.31&CDS=1-1848	YHL040C, YHL047C
OG0000027	augustus_masked-SAKL0E-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-8.117&CDS=1-1170, augustus_masked-SAKL0H-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.118&CDS=1-1245, augustus_masked-SAKL0H-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.145&CDS=1-1332	YBR205W, YDR483W, YOR099W
OG0000028		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000029	augustus_masked-SAKL0B-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-3.107&CDS=1-5709, augustus_masked-SAKL0H-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.59&CDS=1-5364, snap_masked-SAKL0A-processed-gene-1.117-mRNA-1_1&gene=snap_masked-SAKL0A-processed-gene-1.117&CDS=1-5082	YLR342W, YMR306W
OG0000030	augustus_masked-SAKL0B-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-8.16&CDS=1-603, augustus_masked-SAKL0B-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-8.17&CDS=1-690, snap_masked-SAKL0B-processed-gene-8.65-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-8.65&CDS=1-915	YAL018C, YOL048C
OG0000031	augustus_masked-SAKL0C-processed-gene-11.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-11.22&CDS=1-1500, augustus_masked-SAKL0F-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-0.101&CDS=1-1716, augustus_masked-SAKL0H-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-7.22&CDS=1-1395, snap_masked-SAKL0B-processed-gene-10.88-mRNA-1_1&gene=snap_masked-SAKL0B-processed-gene-10.88&CDS=1-1503	YOL119C
OG0000032	augustus_masked-SAKL0B-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-SAKL0B-processed-gene-10.49&CDS=1-1458, augustus_masked-SAKL0G-processed-gene-16.191-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.191&CDS=1-1458, augustus_masked-SAKL0H-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-9.142&CDS=1-1383, maker-SAKL0G-snap-gene-0.30-mRNA-1_1&gene=maker-SAKL0G-snap-gene-0.30&CDS=1-2511	YBR158W
OG0000033	augustus_masked-SAKL0C-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.19&CDS=1-1710, augustus_masked-SAKL0C-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-4.17&CDS=1-1722, augustus_masked-SAKL0F-processed-gene-12.186-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-12.186&CDS=1-1758	YJL172W, YOL153C
OG0000034	augustus_masked-SAKL0C-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.22&CDS=1-1200, augustus_masked-SAKL0H-processed-gene-19.21-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-19.21&CDS=1-1200, maker-SAKL0H-augustus-gene-0.84-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-0.84&CDS=1-1119	YHR179W, YPL171C
OG0000035	augustus_masked-SAKL0C-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-0.23&CDS=1-1092, augustus_masked-SAKL0C-processed-gene-11.53-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-11.53&CDS=1-1017, augustus_masked-SAKL0H-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-0.66&CDS=1-795	YCL064C, YIL167W
OG0000036	augustus_masked-SAKL0C-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-2.86&CDS=1-1776, augustus_masked-SAKL0H-processed-gene-13.15-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-13.15&CDS=1-1668	YDR144C, YLR120C, YLR121C
OG0000037	augustus_masked-SAKL0C-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-3.0&CDS=1-2091, genemark-SAKL0F-processed-gene-8.82-mRNA-1_1&gene=genemark-SAKL0F-processed-gene-8.82&CDS=1-2085, maker-SAKL0F-snap-gene-12.264-mRNA-1_1&gene=maker-SAKL0F-snap-gene-12.264&CDS=1-8328, snap_masked-SAKL0F-processed-gene-12.85-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-12.85&CDS=1-2022	YLR214W
OG0000038	augustus_masked-SAKL0D-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-8.100&CDS=1-4056, maker-SAKL0H-augustus-gene-18.90-mRNA-1_1&gene=maker-SAKL0H-augustus-gene-18.90&CDS=1-9015, snap_masked-SAKL0C-processed-gene-3.67-mRNA-1_1&gene=snap_masked-SAKL0C-processed-gene-3.67&CDS=1-2061	YDL037C, YIR019C
OG0000039	augustus_masked-SAKL0C-processed-gene-9.42-mRNA-1_1&gene=augustus_masked-SAKL0C-processed-gene-9.42&CDS=1-1485, augustus_masked-SAKL0H-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-1.37&CDS=1-1584, augustus_masked-SAKL0H-processed-gene-17.116-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-17.116&CDS=1-1461	YBR139W, YMR297W
OG0000040	augustus_masked-SAKL0D-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-0.113&CDS=1-1803, augustus_masked-SAKL0D-processed-gene-3.143-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-3.143&CDS=1-1779, augustus_masked-SAKL0G-processed-gene-12.102-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.102&CDS=1-1815	YGR191W, YKR039W
OG0000041	augustus_masked-SAKL0D-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-SAKL0D-processed-gene-1.9&CDS=1-1722, augustus_masked-SAKL0E-processed-gene-11.219-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-11.219&CDS=1-1734, augustus_masked-SAKL0G-processed-gene-12.140-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-12.140&CDS=1-1695, augustus_masked-SAKL0G-processed-gene-13.121-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-13.121&CDS=1-1707	YDL210W
OG0000042	augustus_masked-SAKL0E-processed-gene-9.16-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-9.16&CDS=1-1116, augustus_masked-SAKL0E-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-9.40&CDS=1-1116	YCR102C, YLR460C, YNL134C
OG0000043	augustus_masked-SAKL0G-processed-gene-16.171-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-16.171&CDS=1-1947, augustus_masked-SAKL0G-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-4.111&CDS=1-1512, snap_masked-SAKL0F-processed-gene-1.67-mRNA-1_1&gene=snap_masked-SAKL0F-processed-gene-1.67&CDS=1-2427	YGL216W, YKL079W
OG0000044	augustus_masked-SAKL0G-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-10.122&CDS=1-1023	YDL244W, YFL058W, YJR156C, YNL332W
OG0000045	augustus_masked-SAKL0G-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-SAKL0G-processed-gene-14.82&CDS=1-684	YDR533C, YMR322C, YOR391C, YPL280W
OG0000046		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000047	augustus_masked-SAKL0A-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-0.30&CDS=1-3348, augustus_masked-SAKL0H-processed-gene-14.4-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-14.4&CDS=1-381	YDR134C, YLR110C
OG0000048	augustus_masked-SAKL0A-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-1.5&CDS=1-5172, augustus_masked-SAKL0F-processed-gene-8.143-mRNA-1_1&gene=augustus_masked-SAKL0F-processed-gene-8.143&CDS=1-1149	YCR081W, YDL168W
OG0000049	augustus_masked-SAKL0A-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-2.13&CDS=1-2889, augustus_masked-SAKL0H-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-2.119&CDS=1-2943	YGR240C, YMR205C
OG0000050	maker-SAKL0A-snap-gene-4.54-mRNA-1_1&gene=maker-SAKL0A-snap-gene-4.54&CDS=1-2454	YJL164C, YKL166C, YPL203W
OG0000051	augustus_masked-SAKL0A-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-4.25&CDS=1-375, augustus_masked-SAKL0A-processed-gene-6.121-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-6.121&CDS=1-435	YGL089C, YPL187W
OG0000052	augustus_masked-SAKL0A-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.12&CDS=1-1839, augustus_masked-SAKL0E-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-SAKL0E-processed-gene-4.15&CDS=1-1848	YBR298C, YGR289C
OG0000053	augustus_masked-SAKL0A-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-5.18&CDS=1-3162, genemark-SAKL0B-processed-gene-4.78-mRNA-1_1&gene=genemark-SAKL0B-processed-gene-4.78&CDS=1-3087	YBR245C, YOR304W
OG0000054	augustus_masked-SAKL0A-processed-gene-8.57-mRNA-1_1&gene=augustus_masked-SAKL0A-processed-gene-8.57&CDS=1-1230, augustus_masked-SAKL0H-processed-gene-11.7-mRNA-1_1&gene=augustus_masked-SAKL0H-processed-gene-11.7&CDS=1-1392	YDR218C, YJR076C
