	Saccharomyces_cerevisiae	yHMPu5000034990_Candida_corydali
OG0000012	YGL257C, YNR059W	genemark-flattened_line_29-processed-gene-1.260-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-1.260&CDS=1-2241, genemark-flattened_line_43-processed-gene-0.207-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.207&CDS=1-2247, maker-flattened_line_49-augustus-gene-0.165-mRNA-1_1&gene=maker-flattened_line_49-augustus-gene-0.165&CDS=1-3246, snap_masked-flattened_line_5-processed-gene-4.67-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.67&CDS=1-2283
OG0000013	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	snap_masked-flattened_line_7-processed-gene-2.129-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.129&CDS=1-1203
OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_5-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.60&CDS=1-4671
OG0000015	YBR008C, YJL125C	augustus_masked-flattened_line_33-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.49&CDS=1-2634, genemark-flattened_line_21-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-0.56&CDS=1-1665, maker-flattened_line_21-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_21-snap-gene-0.1&CDS=1-3264
OG0000016	YBR009C, YNL030W	genemark-flattened_line_19-processed-gene-2.244-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-2.244&CDS=1-309, snap_masked-flattened_line_0-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.58&CDS=1-309, snap_masked-flattened_line_0-processed-gene-9.20-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.20&CDS=1-309
OG0000017	YBR067C, YER011W, YIL011W, YOR010C	snap_masked-flattened_line_3-processed-gene-6.78-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.78&CDS=1-588
OG0000018	YBR150C, YOL089C	augustus_masked-flattened_line_15-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.1&CDS=1-2637, augustus_masked-flattened_line_15-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.2&CDS=1-3273, snap_masked-flattened_line_15-processed-gene-3.67-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-3.67&CDS=1-2463
OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_51-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.89&CDS=1-1248
OG0000020	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_51-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.107&CDS=1-1719
OG0000021	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_7-processed-gene-6.130-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-6.130&CDS=1-3786, snap_masked-flattened_line_43-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.153&CDS=1-4026
OG0000022	YCL069W, YGR224W, YKR105C, YPR198W	maker-flattened_line_7-snap-gene-6.56-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-6.56&CDS=1-3516
OG0000023	YCR102C, YLR460C, YNL134C	maker-flattened_line_37-augustus-gene-1.139-mRNA-1_1&gene=maker-flattened_line_37-augustus-gene-1.139&CDS=1-1311, snap_masked-flattened_line_9-processed-gene-4.128-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.128&CDS=1-1062
OG0000024	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_33-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-1.20&CDS=1-1680
OG0000025	YDR034C, YML099C	maker-flattened_line_31-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_31-snap-gene-1.5&CDS=1-4518, snap_masked-flattened_line_5-processed-gene-4.82-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-4.82&CDS=1-2256, snap_masked-flattened_line_55-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.77&CDS=1-1686
OG0000026	YDR253C, YGR067C, YPL038W	snap_masked-flattened_line_23-processed-gene-2.80-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-2.80&CDS=1-1998, snap_masked-flattened_line_41-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.93&CDS=1-1293
OG0000027	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_9-processed-gene-4.135-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-4.135&CDS=1-699
OG0000028	YEL066W, YPR193C	snap_masked-flattened_line_0-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.37&CDS=1-456, snap_masked-flattened_line_0-processed-gene-9.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.41&CDS=1-456, snap_masked-flattened_line_55-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.76&CDS=1-456
OG0000029	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-flattened_line_27-processed-gene-1.223-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.223&CDS=1-933
OG0000030	YHR216W, YLR432W, YML056C	augustus_masked-flattened_line_0-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.18&CDS=1-2013, augustus_masked-flattened_line_0-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.114&CDS=1-2013
OG0000031	YJL172W, YOL153C	snap_masked-flattened_line_1-processed-gene-3.50-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.50&CDS=1-1749, snap_masked-flattened_line_1-processed-gene-5.50-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.50&CDS=1-1800, snap_masked-flattened_line_63-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.36&CDS=1-1731
OG0000032	YJL190C, YLR367W	genemark-flattened_line_5-processed-gene-6.62-mRNA-1_1&gene=genemark-flattened_line_5-processed-gene-6.62&CDS=1-390, maker-flattened_line_0-snap-gene-1.188-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.188&CDS=1-390, maker-flattened_line_0-snap-gene-10.162-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-10.162&CDS=1-390
OG0000033	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_1-processed-gene-5.63-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.63&CDS=1-2706
OG0000034	YMR006C, YMR008C, YOL011W	snap_masked-flattened_line_11-processed-gene-4.114-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.114&CDS=1-1767, snap_masked-flattened_line_13-processed-gene-3.15-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.15&CDS=1-1776
OG0000035	YOR153W	snap_masked-flattened_line_13-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.80&CDS=1-4491, snap_masked-flattened_line_27-processed-gene-1.226-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.226&CDS=1-4524, snap_masked-flattened_line_31-processed-gene-1.243-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.243&CDS=1-4449, snap_masked-flattened_line_5-processed-gene-6.104-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.104&CDS=1-4425
OG0000036	YPR194C	augustus_masked-flattened_line_19-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.14&CDS=1-5454, maker-flattened_line_53-snap-gene-0.212-mRNA-1_1&gene=maker-flattened_line_53-snap-gene-0.212&CDS=1-2745, snap_masked-flattened_line_1-processed-gene-5.60-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.60&CDS=1-2613, snap_masked-flattened_line_57-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.26&CDS=1-2730
OG0000037	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_65-snap-gene-0.16-mRNA-1_1&gene=maker-flattened_line_65-snap-gene-0.16&CDS=1-201
OG0000038	YAL007C, YDL018C, YOR016C	maker-flattened_line_5-snap-gene-3.47-mRNA-1_1&gene=maker-flattened_line_5-snap-gene-3.47&CDS=1-1140
OG0000039	YAL058W	maker-flattened_line_27-augustus-gene-1.196-mRNA-1_1&gene=maker-flattened_line_27-augustus-gene-1.196&CDS=1-2700, snap_masked-flattened_line_21-processed-gene-2.132-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.132&CDS=1-942, snap_masked-flattened_line_7-processed-gene-4.95-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.95&CDS=1-909
OG0000040	YAR035W, YER024W	maker-flattened_line_9-augustus-gene-5.91-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-5.91&CDS=1-3789, snap_masked-flattened_line_13-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.9&CDS=1-2178
OG0000041	YBL002W, YDR224C	snap_masked-flattened_line_0-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.21&CDS=1-393, snap_masked-flattened_line_0-processed-gene-9.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.49&CDS=1-393
OG0000042	YBL007C, YPL113C	augustus_masked-flattened_line_7-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-3.87&CDS=1-5043, genemark-flattened_line_1-processed-gene-6.36-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-6.36&CDS=1-1080
OG0000043	YBL042C, YBR021W, YIR028W	augustus_masked-flattened_line_9-processed-gene-5.39-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-5.39&CDS=1-4896
OG0000044	YBL089W, YER119C	genemark-flattened_line_0-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.121&CDS=1-1374, genemark-flattened_line_0-processed-gene-10.48-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.48&CDS=1-1374
OG0000045	YBR010W, YNL031C	snap_masked-flattened_line_0-processed-gene-1.24-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.24&CDS=1-408, snap_masked-flattened_line_0-processed-gene-9.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.46&CDS=1-408
OG0000046	YBR015C, YJL186W	augustus_masked-flattened_line_1-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.86&CDS=1-3033, snap_masked-flattened_line_31-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.167&CDS=1-1722
OG0000047	YBR177C, YPL095C	augustus_masked-flattened_line_0-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.165&CDS=1-3378, augustus_masked-flattened_line_0-processed-gene-10.168-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.168&CDS=1-3378
OG0000048	YBR240C	genemark-flattened_line_7-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.91&CDS=1-318, maker-flattened_line_15-snap-gene-3.159-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-3.159&CDS=1-486, snap_masked-flattened_line_31-processed-gene-1.177-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-1.177&CDS=1-777
OG0000049	YCL037C, YDR515W	snap_masked-flattened_line_13-processed-gene-3.66-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.66&CDS=1-840, snap_masked-flattened_line_9-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.51&CDS=1-1023
OG0000050	YCL067C, YCR039C, YCR096C	augustus_masked-flattened_line_15-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-3.40&CDS=1-534
OG0000051	YCR032W, YOL119C	augustus_masked-flattened_line_5-processed-gene-6.178-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-6.178&CDS=1-7668, genemark-flattened_line_3-processed-gene-4.151-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-4.151&CDS=1-1392
OG0000052	YCR037C, YJL198W	snap_masked-flattened_line_0-processed-gene-5.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.64&CDS=1-2784, snap_masked-flattened_line_0-processed-gene-5.81-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.81&CDS=1-2784
OG0000053	YDR066C, YER139C	snap_masked-flattened_line_0-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.63&CDS=1-657, snap_masked-flattened_line_0-processed-gene-10.133-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.133&CDS=1-657
OG0000054	YDR134C, YLR110C	genemark-flattened_line_1-processed-gene-4.123-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.123&CDS=1-378, genemark-flattened_line_37-processed-gene-1.29-mRNA-1_1&gene=genemark-flattened_line_37-processed-gene-1.29&CDS=1-360
OG0000055	YDR388W	maker-flattened_line_35-augustus-gene-0.96-mRNA-1_1&gene=maker-flattened_line_35-augustus-gene-0.96&CDS=1-3444, snap_masked-flattened_line_49-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.123&CDS=1-1047, snap_masked-flattened_line_5-processed-gene-6.125-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-6.125&CDS=1-1047
OG0000056	YDR409W, YOR156C	snap_masked-flattened_line_0-processed-gene-2.5-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.5&CDS=1-4593, snap_masked-flattened_line_0-processed-gene-9.15-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.15&CDS=1-4593
OG0000057	YER045C, YIL036W	augustus_masked-flattened_line_0-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.146&CDS=1-804, augustus_masked-flattened_line_0-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.73&CDS=1-804
OG0000058	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_13-processed-gene-2.74-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.74&CDS=1-1527
OG0000059	YFL060C, YMR095C, YNL334C	snap_masked-flattened_line_13-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-0.73&CDS=1-720
OG0000060	YGL076C, YPL198W	snap_masked-flattened_line_0-processed-gene-5.71-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.71&CDS=1-747, snap_masked-flattened_line_0-processed-gene-6.106-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.106&CDS=1-747
OG0000061	YGL135W, YPL220W	genemark-flattened_line_0-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.104&CDS=1-651, genemark-flattened_line_0-processed-gene-10.73-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.73&CDS=1-651
OG0000062	YGR092W, YPR111W	snap_masked-flattened_line_0-processed-gene-3.53-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.53&CDS=1-1875, snap_masked-flattened_line_0-processed-gene-8.33-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.33&CDS=1-1875
OG0000063	YGR154C, YKR076W, YMR251W	maker-flattened_line_3-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-1.3&CDS=1-1542
OG0000064	YGR192C, YJL052W, YJR009C	snap_masked-flattened_line_13-processed-gene-3.28-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-3.28&CDS=1-1008
OG0000065	YGR238C, YHR158C	genemark-flattened_line_0-processed-gene-4.100-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.100&CDS=1-2865, genemark-flattened_line_0-processed-gene-6.72-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.72&CDS=1-2865
OG0000066	YGR281W	snap_masked-flattened_line_3-processed-gene-2.58-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.58&CDS=1-4260, snap_masked-flattened_line_41-processed-gene-1.128-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.128&CDS=1-4278, snap_masked-flattened_line_41-processed-gene-1.88-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.88&CDS=1-4182
OG0000067	YHR090C, YOR064C	augustus_masked-flattened_line_7-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-0.100&CDS=1-1809, snap_masked-flattened_line_51-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.111&CDS=1-933
OG0000068	YHR155W, YNL257C	augustus_masked-flattened_line_0-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.142&CDS=1-3609, augustus_masked-flattened_line_0-processed-gene-10.171-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.171&CDS=1-3609
OG0000069	YHR179W, YPL171C	genemark-flattened_line_7-processed-gene-4.25-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-4.25&CDS=1-1230, maker-flattened_line_23-snap-gene-2.117-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-2.117&CDS=1-2406
OG0000070	YIL126W, YOR290C	maker-flattened_line_7-snap-gene-6.52-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-6.52&CDS=1-5025, snap_masked-flattened_line_49-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.82&CDS=1-3471
OG0000071	YIL133C, YNL069C	snap_masked-flattened_line_0-processed-gene-4.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.36&CDS=1-600, snap_masked-flattened_line_0-processed-gene-6.125-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.125&CDS=1-600
OG0000072	YIL159W, YNL271C	maker-flattened_line_3-snap-gene-0.41-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-0.41&CDS=1-4041, snap_masked-flattened_line_21-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.97&CDS=1-5169
OG0000073	YIR035C, YIR036C	augustus_masked-flattened_line_0-processed-gene-4.145-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.145&CDS=1-4992, augustus_masked-flattened_line_0-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.80&CDS=1-4992
OG0000074	YJL079C, YKR013W	snap_masked-flattened_line_0-processed-gene-5.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.63&CDS=1-1002, snap_masked-flattened_line_0-processed-gene-5.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.82&CDS=1-1002
OG0000075	YJL089W, YMR280C	snap_masked-flattened_line_21-processed-gene-2.141-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.141&CDS=1-2889, snap_masked-flattened_line_9-processed-gene-5.125-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.125&CDS=1-2658
OG0000076	YJL134W, YKR053C	maker-flattened_line_0-augustus-gene-9.62-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-9.62&CDS=1-2361, snap_masked-flattened_line_0-processed-gene-2.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.11&CDS=1-1452
