	Naumovozyma_dairenensis	Saccharomyces_cerevisiae
OG0000010	snap_masked-NC_016485.2-processed-gene-2.30-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-2.30&CDS=1-2847	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000011	augustus_masked-NC_016479.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.47&CDS=1-1689, augustus_masked-NC_016479.1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-5.126&CDS=1-1689, augustus_masked-NC_016481.1-processed-gene-7.6-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-7.6&CDS=1-1692, augustus_masked-NC_016482.1-processed-gene-7.19-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.19&CDS=1-1692	YLR044C, YLR134W
OG0000012	augustus_masked-NC_016479.1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.49&CDS=1-1107, augustus_masked-NC_016480.1-processed-gene-12.50-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-12.50&CDS=1-1050, augustus_masked-NC_016482.1-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-7.9&CDS=1-336, snap_masked-NC_016480.1-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-1.80&CDS=1-1314, snap_masked-NC_016480.1-processed-gene-14.159-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-14.159&CDS=1-1395, snap_masked-NC_016482.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-1.85&CDS=1-1200	
OG0000013	augustus_masked-NC_016479.1-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.71&CDS=1-3324, augustus_masked-NC_016482.1-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.68&CDS=1-3321, augustus_masked-NC_016482.1-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-8.69&CDS=1-3354, snap_masked-NC_016479.1-processed-gene-7.110-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-7.110&CDS=1-2940	YBL005W, YGL013C
OG0000014	augustus_masked-NC_016485.2-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-8.62&CDS=1-669, snap_masked-NC_016481.1-processed-gene-1.142-mRNA-1_1&gene=snap_masked-NC_016481.1-processed-gene-1.142&CDS=1-387, snap_masked-NC_016481.1-processed-gene-7.120-mRNA-1_1&gene=snap_masked-NC_016481.1-processed-gene-7.120&CDS=1-378, snap_masked-NC_016485.2-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-0.17&CDS=1-2742, snap_masked-NC_016485.2-processed-gene-8.11-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-8.11&CDS=1-1143, snap_masked-NC_016487.1-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-4.127&CDS=1-723	
OG0000015	augustus_masked-NC_016486.1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-NC_016486.1-processed-gene-4.24&CDS=1-1260, snap_masked-NC_016486.1-processed-gene-4.100-mRNA-1_1&gene=snap_masked-NC_016486.1-processed-gene-4.100&CDS=1-1095, snap_masked-NC_016486.1-processed-gene-7.10-mRNA-1_1&gene=snap_masked-NC_016486.1-processed-gene-7.10&CDS=1-2691	YIR013C, YLR013W, YMR136W
OG0000016	augustus_masked-NC_016479.1-processed-gene-13.64-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-13.64&CDS=1-1197, maker-NC_016480.1-augustus-gene-13.0-mRNA-1_1&gene=maker-NC_016480.1-augustus-gene-13.0&CDS=1-4800	YDR021W, YJL138C, YKR059W
OG0000017	augustus_masked-NC_016479.1-processed-gene-18.83-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-18.83&CDS=1-1203, augustus_masked-NC_016480.1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-2.89&CDS=1-1278, augustus_masked-NC_016481.1-processed-gene-8.45-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-8.45&CDS=1-1197	YHR179W, YPL171C
OG0000018	augustus_masked-NC_016480.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-2.111&CDS=1-924	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000019	augustus_masked-NC_016480.1-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-7.91&CDS=1-5109	YBL017C, YIL173W, YJL222W, YNR065C
OG0000020	augustus_masked-NC_016480.1-processed-gene-8.135-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-8.135&CDS=1-309, augustus_masked-NC_016485.2-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-1.36&CDS=1-309, augustus_masked-NC_016485.2-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.54&CDS=1-309	YBR009C, YNL030W
OG0000021	augustus_masked-NC_016481.1-processed-gene-6.44-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-6.44&CDS=1-996, augustus_masked-NC_016481.1-processed-gene-7.25-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-7.25&CDS=1-996, augustus_masked-NC_016482.1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-5.126&CDS=1-996	YGR192C, YJR009C
OG0000022	augustus_masked-NC_016481.1-processed-gene-11.42-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-11.42&CDS=1-1779, augustus_masked-NC_016485.2-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-4.76&CDS=1-1815	YLR237W, YOR071C, YOR192C
OG0000023	augustus_masked-NC_016482.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-0.44&CDS=1-885, snap_masked-NC_016488.1-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NC_016488.1-processed-gene-1.8&CDS=1-1119, snap_masked-NC_016489.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-NC_016489.1-processed-gene-3.9&CDS=1-729	YBL043W, YJR115W
OG0000024	augustus_masked-NC_016488.1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-6.32&CDS=1-1431, snap_masked-NC_016482.1-processed-gene-1.98-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-1.98&CDS=1-1515, snap_masked-NC_016482.1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-2.100&CDS=1-1557, snap_masked-NC_016483.1-processed-gene-10.28-mRNA-1_1&gene=snap_masked-NC_016483.1-processed-gene-10.28&CDS=1-903	YDL037C
OG0000025	augustus_masked-NC_016482.1-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-9.64&CDS=1-5520, augustus_masked-NC_016487.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-6.74&CDS=1-4860, augustus_masked-NC_016488.1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-3.69&CDS=1-5673	YLR342W, YMR306W
OG0000026	augustus_masked-NC_016483.1-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-1.3&CDS=1-2097, augustus_masked-NC_016489.1-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-NC_016489.1-processed-gene-1.129&CDS=1-2073	YIL009W, YMR246W, YOR317W
OG0000027	augustus_masked-NC_016487.1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-NC_016487.1-processed-gene-4.89&CDS=1-1389, snap_masked-NC_016483.1-processed-gene-10.56-mRNA-1_1&gene=snap_masked-NC_016483.1-processed-gene-10.56&CDS=1-846, snap_masked-NC_016487.1-processed-gene-6.160-mRNA-1_1&gene=snap_masked-NC_016487.1-processed-gene-6.160&CDS=1-1767	YCL075W, YCL076W
OG0000028	augustus_masked-NC_016485.2-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-3.50&CDS=1-429, snap_masked-NC_016484.1-processed-gene-10.57-mRNA-1_1&gene=snap_masked-NC_016484.1-processed-gene-10.57&CDS=1-438, snap_masked-NC_016485.2-processed-gene-5.31-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.31&CDS=1-708, snap_masked-NC_016485.2-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-5.32&CDS=1-834	YHL044W
OG0000029	augustus_masked-NC_016485.2-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-6.45&CDS=1-1770, augustus_masked-NC_016488.1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NC_016488.1-processed-gene-2.56&CDS=1-1881	YDR144C, YLR120C, YLR121C
OG0000030		YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A
OG0000031	augustus_masked-NC_016479.1-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.89&CDS=1-633	YCL067C, YCR039C, YCR096C
OG0000032	augustus_masked-NC_016479.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-0.99&CDS=1-1491, augustus_masked-NC_016484.1-processed-gene-10.162-mRNA-1_1&gene=augustus_masked-NC_016484.1-processed-gene-10.162&CDS=1-1503	YCL040W, YDR516C
OG0000033	snap_masked-NC_016479.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-0.34&CDS=1-363, snap_masked-NC_016482.1-processed-gene-3.81-mRNA-1_1&gene=snap_masked-NC_016482.1-processed-gene-3.81&CDS=1-249, snap_masked-NC_016485.2-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-8.31&CDS=1-384	YCL074W
OG0000034	maker-NC_016479.1-augustus-gene-1.4-mRNA-1_1&gene=maker-NC_016479.1-augustus-gene-1.4&CDS=1-552, maker-NC_016480.1-augustus-gene-0.4-mRNA-1_1&gene=maker-NC_016480.1-augustus-gene-0.4&CDS=1-552	YJL177W, YKL180W
OG0000035	augustus_masked-NC_016479.1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.24&CDS=1-1095, augustus_masked-NC_016479.1-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-2.9&CDS=1-1017, snap_masked-NC_016480.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NC_016480.1-processed-gene-0.84&CDS=1-1245	YKL164C
OG0000036	augustus_masked-NC_016479.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.78&CDS=1-603, augustus_masked-NC_016483.1-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-9.99&CDS=1-603	YBL072C, YER102W
OG0000037	augustus_masked-NC_016479.1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-3.80&CDS=1-2538, maker-NC_016483.1-snap-gene-9.111-mRNA-1_1&gene=maker-NC_016483.1-snap-gene-9.111&CDS=1-2010	YBL067C, YER098W
OG0000038	augustus_masked-NC_016479.1-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-4.23&CDS=1-2367, augustus_masked-NC_016479.1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.13&CDS=1-2724	YDL138W, YDL194W
OG0000039	augustus_masked-NC_016479.1-processed-gene-5.93-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-5.93&CDS=1-1092, augustus_masked-NC_016479.1-processed-gene-6.40-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.40&CDS=1-1038	YDL134C, YDL188C
OG0000040	augustus_masked-NC_016479.1-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-5.114&CDS=1-1407, augustus_masked-NC_016479.1-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-7.39&CDS=1-1407	YER081W, YIL074C
OG0000041	augustus_masked-NC_016479.1-processed-gene-5.121-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-5.121&CDS=1-2556, augustus_masked-NC_016483.1-processed-gene-10.184-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-10.184&CDS=1-2745	YER070W, YIL066C
OG0000042	augustus_masked-NC_016479.1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-5.128&CDS=1-339, augustus_masked-NC_016483.1-processed-gene-10.217-mRNA-1_1&gene=augustus_masked-NC_016483.1-processed-gene-10.217&CDS=1-336	YER056C-A, YIL052C
OG0000043	genemark-NC_016483.1-processed-gene-10.103-mRNA-1_1&gene=genemark-NC_016483.1-processed-gene-10.103&CDS=1-1587, snap_masked-NC_016479.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-5.21&CDS=1-1512	YER056C, YER060W-A
OG0000044	augustus_masked-NC_016479.1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-6.11&CDS=1-1419, augustus_masked-NC_016481.1-processed-gene-7.34-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-7.34&CDS=1-2157	YGR241C, YHR161C
OG0000045	augustus_masked-NC_016479.1-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.64&CDS=1-2589, augustus_masked-NC_016482.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NC_016482.1-processed-gene-3.55&CDS=1-3213	YJR061W, YKL201C
OG0000046	augustus_masked-NC_016479.1-processed-gene-9.68-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-9.68&CDS=1-495, augustus_masked-NC_016481.1-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-NC_016481.1-processed-gene-2.25&CDS=1-495	YDR418W, YEL054C
OG0000047	augustus_masked-NC_016479.1-processed-gene-10.102-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.102&CDS=1-435, augustus_masked-NC_016485.2-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.63&CDS=1-435	YGR118W, YPR132W
OG0000048	augustus_masked-NC_016479.1-processed-gene-10.108-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-10.108&CDS=1-1224, augustus_masked-NC_016485.2-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-2.54&CDS=1-1239	YGR109C, YPR120C
OG0000049	augustus_masked-NC_016479.1-processed-gene-12.105-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-12.105&CDS=1-600, augustus_masked-NC_016479.1-processed-gene-17.74-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-17.74&CDS=1-555	YBL027W, YBR084C-A
OG0000050	augustus_masked-NC_016479.1-processed-gene-12.117-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-12.117&CDS=1-3258	YDR038C, YDR039C, YDR040C
OG0000051	augustus_masked-NC_016479.1-processed-gene-13.61-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-13.61&CDS=1-924, snap_masked-NC_016479.1-processed-gene-16.127-mRNA-1_1&gene=snap_masked-NC_016479.1-processed-gene-16.127&CDS=1-855	YBR054W, YDR033W
OG0000052	augustus_masked-NC_016479.1-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-14.52&CDS=1-2421, genemark-NC_016479.1-processed-gene-13.8-mRNA-1_1&gene=genemark-NC_016479.1-processed-gene-13.8&CDS=1-1770	YBR049C, YDR026C
OG0000053	augustus_masked-NC_016479.1-processed-gene-13.62-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-13.62&CDS=1-468, augustus_masked-NC_016479.1-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-14.75&CDS=1-468	YBR048W, YDR025W
OG0000054	augustus_masked-NC_016479.1-processed-gene-14.45-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-14.45&CDS=1-2052, augustus_masked-NC_016485.2-processed-gene-9.22-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-9.22&CDS=1-1746	YNL299W, YOL115W
OG0000055	maker-NC_016479.1-snap-gene-14.135-mRNA-1_1&gene=maker-NC_016479.1-snap-gene-14.135&CDS=1-969, maker-NC_016485.2-augustus-gene-9.78-mRNA-1_1&gene=maker-NC_016485.2-augustus-gene-9.78&CDS=1-987	YNL301C, YOL120C
OG0000056	augustus_masked-NC_016479.1-processed-gene-14.60-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-14.60&CDS=1-3936, augustus_masked-NC_016485.2-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.74&CDS=1-4233	YAR042W, YDL019C
OG0000057	augustus_masked-NC_016479.1-processed-gene-15.81-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-15.81&CDS=1-1173, augustus_masked-NC_016485.2-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-NC_016485.2-processed-gene-7.69&CDS=1-1161	YDL022W, YOL059W
OG0000058	augustus_masked-NC_016479.1-processed-gene-15.109-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-15.109&CDS=1-9348, augustus_masked-NC_016480.1-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-NC_016480.1-processed-gene-7.88&CDS=1-8895	YBR140C, YOL081W
OG0000059	augustus_masked-NC_016479.1-processed-gene-16.12-mRNA-1_1&gene=augustus_masked-NC_016479.1-processed-gene-16.12&CDS=1-2160, snap_masked-NC_016485.2-processed-gene-12.106-mRNA-1_1&gene=snap_masked-NC_016485.2-processed-gene-12.106&CDS=1-1995	YBR148W, YOL091W
