	Saccharomyces_cerevisiae	yHMPu5000041829_Debaryomyces_fabryi
OG0000010	YDR402C, YJL039C	augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-1.29&CDS=1-1572, genemark-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-2.59-mRNA-1_1&gene=genemark-NODE_8_length_710497_cov_13.5056_ID_2357-processed-gene-2.59&CDS=1-7347, maker-NODE_8_length_710497_cov_13.5056_ID_2357-augustus-gene-2.0-mRNA-1_1&gene=maker-NODE_8_length_710497_cov_13.5056_ID_2357-augustus-gene-2.0&CDS=1-2958, snap_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_31_length_21073_cov_38.7407_ID_7028-processed-gene-0.7&CDS=1-1641, snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-0.28&CDS=1-1416
OG0000011	YMR008C, YNL012W, YOL011W	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-3.66&CDS=1-1899, augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-0.108&CDS=1-2184, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.146&CDS=1-1998, maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-4.168-mRNA-1_1&gene=maker-NODE_7_length_751370_cov_14.0062_ID_3727-augustus-gene-4.168&CDS=1-2418
OG0000012	YMR156C	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.21&CDS=1-2634, augustus_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_27_length_34838_cov_20.9769_ID_4463-processed-gene-0.35&CDS=1-2511, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.114-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-5.114&CDS=1-2553, maker-NODE_12_length_444481_cov_14.6249_ID_3069-augustus-gene-2.147-mRNA-1_1&gene=maker-NODE_12_length_444481_cov_14.6249_ID_3069-augustus-gene-2.147&CDS=1-4749, maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-4.6-mRNA-1_1&gene=maker-NODE_4_length_879252_cov_12.1493_ID_2583-augustus-gene-4.6&CDS=1-3357, snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-3.62-mRNA-1_1&gene=snap_masked-NODE_11_length_619339_cov_14.2281_ID_2975-processed-gene-3.62&CDS=1-2508
OG0000013	YPR159W	augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.1&CDS=1-2055, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.2&CDS=1-2031, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.3&CDS=1-2010, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.4&CDS=1-2022, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.5&CDS=1-2037, augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_13_length_289920_cov_14.0381_ID_3657-processed-gene-1.6&CDS=1-2019
OG0000014		augustus_masked-NODE_49_length_2557_cov_13.7092_ID_5711-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_49_length_2557_cov_13.7092_ID_5711-processed-gene-0.0&CDS=1-1200, augustus_masked-NODE_49_length_2557_cov_13.7092_ID_5711-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_49_length_2557_cov_13.7092_ID_5711-processed-gene-0.1&CDS=1-483, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-1.130&CDS=1-2127, augustus_masked-NODE_63_length_1509_cov_12.1629_ID_6037-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_63_length_1509_cov_12.1629_ID_6037-processed-gene-0.0&CDS=1-612, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.34&CDS=1-2256, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.36&CDS=1-2232, snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.91-mRNA-1_1&gene=snap_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.91&CDS=1-2358
OG0000015	YBR207W, YER145C	augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_15_length_262050_cov_12.1618_ID_9668-processed-gene-1.68&CDS=1-1155, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.43&CDS=1-1284, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-4.37&CDS=1-1278, augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-4.90-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-4.90&CDS=1-1152
OG0000016	YDL035C	augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_12_length_444481_cov_14.6249_ID_3069-processed-gene-0.20&CDS=1-1791, augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-0.94&CDS=1-819, genemark-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.92&CDS=1-1557, maker-NODE_13_length_289920_cov_14.0381_ID_3657-snap-gene-1.89-mRNA-1_1&gene=maker-NODE_13_length_289920_cov_14.0381_ID_3657-snap-gene-1.89&CDS=1-5106, snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.18-mRNA-1_1&gene=snap_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-6.18&CDS=1-2103
OG0000017	YDR338C, YHR032W	augustus_masked-NODE_29_length_31687_cov_39.705_ID_7674-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_29_length_31687_cov_39.705_ID_7674-processed-gene-0.28&CDS=1-1452, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.168-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-6.168&CDS=1-1848, augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.214-mRNA-1_1&gene=augustus_masked-NODE_5_length_854671_cov_13.4875_ID_2683-processed-gene-7.214&CDS=1-1773, snap_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-8.44-mRNA-1_1&gene=snap_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-8.44&CDS=1-1731
OG0000018	YDR342C, YDR343C, YHR092C	augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.52&CDS=1-1692, augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-0.151&CDS=1-1731, augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-NODE_6_length_824049_cov_12.7447_ID_4701-processed-gene-3.21&CDS=1-1662
OG0000019	YDR406W, YOR153W, YOR328W	augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.0&CDS=1-1509, genemark-NODE_62_length_1511_cov_12.6833_ID_6489-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_62_length_1511_cov_12.6833_ID_6489-processed-gene-0.2&CDS=1-1467, maker-NODE_42_length_4602_cov_10.7051_ID_5418-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_42_length_4602_cov_10.7051_ID_5418-augustus-gene-0.5&CDS=1-4044
OG0000020	YER015W, YPL235W	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-7.116&CDS=1-8727, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-0.25&CDS=1-2301, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-6.32&CDS=1-2187, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.282-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-7.282&CDS=1-2262
OG0000021	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1085505_cov_12.3365_ID_2412-processed-gene-3.116&CDS=1-1893, augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NODE_7_length_751370_cov_14.0062_ID_3727-processed-gene-3.18&CDS=1-1536
OG0000022	YER175C, YJL089W, YMR280C	augustus_masked-NODE_22_length_61008_cov_12.0506_ID_4230-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_22_length_61008_cov_12.0506_ID_4230-processed-gene-0.106&CDS=1-882, augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_2_length_1055133_cov_10.9579_ID_2135-processed-gene-0.90&CDS=1-4875, augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_3_length_903599_cov_13.2106_ID_2211-processed-gene-1.39&CDS=1-3384
OG0000023	YJR019C, YLR396C	augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.140&CDS=1-993, augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-NODE_9_length_707241_cov_11.8917_ID_2769-processed-gene-2.141&CDS=1-978, genemark-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.202-mRNA-1_1&gene=genemark-NODE_17_length_162902_cov_17.3632_ID_9078-processed-gene-0.202&CDS=1-621, maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-2.2-mRNA-1_1&gene=maker-NODE_9_length_707241_cov_11.8917_ID_2769-augustus-gene-2.2&CDS=1-3945
OG0000024	YJR073C, YOL119C	augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-NODE_10_length_688114_cov_13.1864_ID_3396-processed-gene-2.33&CDS=1-1551, augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_18_length_150317_cov_11.9441_ID_3603-processed-gene-0.51&CDS=1-2010, augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_20_length_126166_cov_9.70033_ID_4056-processed-gene-0.11&CDS=1-1515, augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NODE_4_length_879252_cov_12.1493_ID_2583-processed-gene-4.66&CDS=1-1551
