	Ascoidea_rubescens	Saccharomyces_cerevisiae
OG0000010	augustus_masked-scaffold_1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.70&CDS=1-3699, augustus_masked-scaffold_10-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.15&CDS=1-10035, augustus_masked-scaffold_3-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.45&CDS=1-5301, augustus_masked-scaffold_4-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.49&CDS=1-5322	YCL057W, YKR064W
OG0000011	genemark-scaffold_1-processed-gene-11.94-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.94&CDS=1-1080, genemark-scaffold_3-processed-gene-8.83-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.83&CDS=1-1065	YDR541C, YGL039W, YGL157W, YOL151W
OG0000012	genemark-scaffold_1-processed-gene-28.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.12&CDS=1-3309, genemark-scaffold_13-processed-gene-1.30-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.30&CDS=1-2244, genemark-scaffold_13-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.113&CDS=1-2616, snap_masked-scaffold_1-processed-gene-12.75-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.75&CDS=1-3117	YJR061W, YKL201C
OG0000013	genemark-scaffold_14-processed-gene-3.18-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.18&CDS=1-750, genemark-scaffold_4-processed-gene-1.12-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.12&CDS=1-753, maker-scaffold_1-snap-gene-18.6-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.6&CDS=1-1440, snap_masked-scaffold_2-processed-gene-11.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.0&CDS=1-846	YCR010C, YNR002C
OG0000014	genemark-scaffold_1-processed-gene-27.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.87&CDS=1-1128, genemark-scaffold_10-processed-gene-0.98-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.98&CDS=1-1065, genemark-scaffold_2-processed-gene-11.107-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.107&CDS=1-1137	YMR083W, YMR303C, YOL086C
OG0000015	genemark-scaffold_1-processed-gene-27.101-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-27.101&CDS=1-2805, genemark-scaffold_11-processed-gene-3.68-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.68&CDS=1-1146, genemark-scaffold_3-processed-gene-12.170-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.170&CDS=1-1782, maker-scaffold_2-snap-gene-11.36-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.36&CDS=1-948	YDL230W, YER075C
OG0000016	genemark-scaffold_1-processed-gene-28.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-28.23&CDS=1-1245, genemark-scaffold_16-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.132&CDS=1-642, genemark-scaffold_3-processed-gene-4.106-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.106&CDS=1-1251, genemark-scaffold_5-processed-gene-2.48-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.48&CDS=1-639	YGR201C, YPL048W
OG0000017	augustus_masked-scaffold_20-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-scaffold_20-processed-gene-1.50&CDS=1-4905, genemark-scaffold_1-processed-gene-30.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.12&CDS=1-2385, genemark-scaffold_10-processed-gene-3.105-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.105&CDS=1-2415, genemark-scaffold_10-processed-gene-3.92-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.92&CDS=1-2448, snap_masked-scaffold_2-processed-gene-13.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.49&CDS=1-2424	YER015W
OG0000018	genemark-scaffold_1-processed-gene-31.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.114&CDS=1-4476, genemark-scaffold_11-processed-gene-1.84-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.84&CDS=1-6450, genemark-scaffold_8-processed-gene-5.71-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-5.71&CDS=1-3618	YDR303C, YHR056C, YLR383W
OG0000019	augustus_masked-scaffold_12-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-4.36&CDS=1-4233, genemark-scaffold_11-processed-gene-4.176-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.176&CDS=1-477, genemark-scaffold_6-processed-gene-5.54-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.54&CDS=1-492	YDR058C, YEL066W, YPR193C
OG0000020	genemark-scaffold_7-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.60&CDS=1-8676, snap_masked-scaffold_14-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-2.28&CDS=1-5127, snap_masked-scaffold_3-processed-gene-0.70-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.70&CDS=1-3912	YGL049C, YGR162W, YPL190C
OG0000021	genemark-scaffold_16-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.76&CDS=1-1377, genemark-scaffold_2-processed-gene-9.78-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.78&CDS=1-1380, genemark-scaffold_21-processed-gene-0.88-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.88&CDS=1-1377, genemark-scaffold_31-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_31-processed-gene-0.0&CDS=1-1377	YBR118W, YPR080W
OG0000022	genemark-scaffold_5-processed-gene-4.94-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.94&CDS=1-3294, maker-scaffold_19-snap-gene-1.82-mRNA-1_1&gene=maker-scaffold_19-snap-gene-1.82&CDS=1-4161	YDL079C, YMR139W, YNL298W, YOL113W
OG0000023	augustus_masked-scaffold_5-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.85&CDS=1-3516	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
OG0000024	augustus_masked-scaffold_3-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.70&CDS=1-1494, genemark-scaffold_6-processed-gene-8.126-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.126&CDS=1-1578, snap_masked-scaffold_1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.52&CDS=1-807	YCR051W, YGR058W
OG0000025	genemark-scaffold_1-processed-gene-25.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-25.97&CDS=1-1752, genemark-scaffold_14-processed-gene-3.0-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.0&CDS=1-2094, genemark-scaffold_15-processed-gene-3.34-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-3.34&CDS=1-2277, snap_masked-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.73&CDS=1-1902	YBR015C
OG0000026	genemark-scaffold_1-processed-gene-4.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.107&CDS=1-402, genemark-scaffold_11-processed-gene-3.51-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-3.51&CDS=1-414, genemark-scaffold_11-processed-gene-4.229-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.229&CDS=1-414	YBL003C, YDR225W
OG0000027	genemark-scaffold_1-processed-gene-5.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.9&CDS=1-1008, genemark-scaffold_18-processed-gene-1.102-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.102&CDS=1-1011	YGR192C, YJL052W, YJR009C
OG0000028	augustus_masked-scaffold_1-processed-gene-30.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-30.58&CDS=1-3399, augustus_masked-scaffold_6-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.65&CDS=1-2103, genemark-scaffold_1-processed-gene-7.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.88&CDS=1-2457, snap_masked-scaffold_1-processed-gene-22.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.95&CDS=1-4560	YMR262W
OG0000029	genemark-scaffold_1-processed-gene-8.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.3&CDS=1-1029, genemark-scaffold_5-processed-gene-3.28-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.28&CDS=1-1020, genemark-scaffold_6-processed-gene-8.122-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.122&CDS=1-1053, genemark-scaffold_6-processed-gene-8.99-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.99&CDS=1-1053	YPL088W
OG0000030	genemark-scaffold_1-processed-gene-11.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.100&CDS=1-1686, genemark-scaffold_8-processed-gene-6.54-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.54&CDS=1-1524	YDL127W, YDL179W, YNL289W
OG0000031	genemark-scaffold_1-processed-gene-21.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-21.92&CDS=1-1680, genemark-scaffold_1-processed-gene-23.57-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-23.57&CDS=1-1695, genemark-scaffold_14-processed-gene-3.32-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-3.32&CDS=1-1641, maker-scaffold_7-snap-gene-4.40-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.40&CDS=1-1773	YOR348C
OG0000032	genemark-scaffold_1-processed-gene-26.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-26.25&CDS=1-1347, genemark-scaffold_14-processed-gene-1.64-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-1.64&CDS=1-1563, genemark-scaffold_5-processed-gene-8.113-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.113&CDS=1-1485, genemark-scaffold_7-processed-gene-6.0-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.0&CDS=1-1356	YBR287W
OG0000033	augustus_masked-scaffold_1-processed-gene-30.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-30.54&CDS=1-4155, genemark-scaffold_1-processed-gene-30.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-30.19&CDS=1-2934, maker-scaffold_10-snap-gene-4.63-mRNA-1_1&gene=maker-scaffold_10-snap-gene-4.63&CDS=1-2982, maker-scaffold_6-snap-gene-4.5-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.5&CDS=1-2133	YGR282C
OG0000034	genemark-scaffold_1-processed-gene-31.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-31.103&CDS=1-309, genemark-scaffold_3-processed-gene-12.186-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.186&CDS=1-309, genemark-scaffold_3-processed-gene-9.128-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.128&CDS=1-309	YBR009C, YNL030W
OG0000035	augustus_masked-scaffold_30-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_30-processed-gene-0.4&CDS=1-1518, genemark-scaffold_3-processed-gene-0.56-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.56&CDS=1-1665, snap_masked-scaffold_10-processed-gene-4.180-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-4.180&CDS=1-1518, snap_masked-scaffold_9-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.14&CDS=1-1518	YGL077C
OG0000036	genemark-scaffold_11-processed-gene-0.68-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.68&CDS=1-1560, genemark-scaffold_5-processed-gene-9.141-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-9.141&CDS=1-2994, maker-scaffold_5-snap-gene-9.68-mRNA-1_1&gene=maker-scaffold_5-snap-gene-9.68&CDS=1-1581	YLR455W, YMR044W
OG0000037	augustus_masked-scaffold_4-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.18&CDS=1-3201, maker-scaffold_7-snap-gene-5.64-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.64&CDS=1-756, snap_masked-scaffold_12-processed-gene-2.111-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-2.111&CDS=1-255, snap_masked-scaffold_12-processed-gene-2.112-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-2.112&CDS=1-876	YBR095C
OG0000038	genemark-scaffold_12-processed-gene-4.62-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-4.62&CDS=1-2694, genemark-scaffold_16-processed-gene-0.78-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-0.78&CDS=1-2115, maker-scaffold_17-snap-gene-1.48-mRNA-1_1&gene=maker-scaffold_17-snap-gene-1.48&CDS=1-4761	YGL257C, YNR059W
OG0000039	genemark-scaffold_13-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.6&CDS=1-825, genemark-scaffold_2-processed-gene-10.55-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.55&CDS=1-858, genemark-scaffold_21-processed-gene-1.187-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-1.187&CDS=1-807, genemark-scaffold_7-processed-gene-2.31-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.31&CDS=1-843	YNL202W
OG0000040	genemark-scaffold_15-processed-gene-2.79-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.79&CDS=1-564, genemark-scaffold_3-processed-gene-7.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.96&CDS=1-585, maker-scaffold_20-augustus-gene-1.225-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-1.225&CDS=1-735, snap_masked-scaffold_14-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-0.21&CDS=1-567	YBR072W
OG0000041	genemark-scaffold_20-processed-gene-1.173-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-1.173&CDS=1-1209, maker-scaffold_14-snap-gene-0.37-mRNA-1_1&gene=maker-scaffold_14-snap-gene-0.37&CDS=1-2313, snap_masked-scaffold_16-processed-gene-2.25-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.25&CDS=1-1224	YHR179W, YPL171C
OG0000042	genemark-scaffold_15-processed-gene-1.59-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-1.59&CDS=1-1728, genemark-scaffold_6-processed-gene-7.61-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.61&CDS=1-2436	YER045C, YIL036W, YNL167C
OG0000043	genemark-scaffold_16-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.87&CDS=1-1689, maker-scaffold_34-snap-gene-0.6-mRNA-1_1&gene=maker-scaffold_34-snap-gene-0.6&CDS=1-1239, maker-scaffold_35-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_35-snap-gene-0.0&CDS=1-1239	YDR348C, YHR097C
OG0000044	genemark-scaffold_3-processed-gene-6.29-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.29&CDS=1-4689, snap_masked-scaffold_16-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-2.11&CDS=1-4809, snap_masked-scaffold_8-processed-gene-5.41-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.41&CDS=1-4887	YDR135C, YLL015W
OG0000045	genemark-scaffold_20-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_20-processed-gene-0.15&CDS=1-5874, maker-scaffold_17-snap-gene-0.68-mRNA-1_1&gene=maker-scaffold_17-snap-gene-0.68&CDS=1-5430, snap_masked-scaffold_17-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-1.84&CDS=1-5796	YGR032W, YLR342W
OG0000046	augustus_masked-scaffold_9-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.49&CDS=1-2721, augustus_masked-scaffold_9-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.129&CDS=1-2697, augustus_masked-scaffold_9-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.87&CDS=1-2697, genemark-scaffold_18-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-2.72&CDS=1-2748	YGL008C
OG0000047	genemark-scaffold_2-processed-gene-6.28-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.28&CDS=1-1752, genemark-scaffold_5-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.104&CDS=1-1764, genemark-scaffold_5-processed-gene-3.29-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.29&CDS=1-1752, genemark-scaffold_6-processed-gene-8.88-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.88&CDS=1-1677	YBR132C
OG0000048	genemark-scaffold_2-processed-gene-10.60-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.60&CDS=1-2028, genemark-scaffold_5-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.62&CDS=1-1623, genemark-scaffold_6-processed-gene-5.45-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.45&CDS=1-1401, maker-scaffold_2-snap-gene-10.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-10.0&CDS=1-2529	YOR197W
OG0000049	genemark-scaffold_2-processed-gene-13.132-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.132&CDS=1-1935, genemark-scaffold_5-processed-gene-6.46-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.46&CDS=1-2832, genemark-scaffold_9-processed-gene-4.90-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.90&CDS=1-3009	YBR084W, YGR204W
OG0000050	genemark-scaffold_4-processed-gene-10.22-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.22&CDS=1-2889, maker-scaffold_6-snap-gene-3.44-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.44&CDS=1-312, maker-scaffold_6-snap-gene-3.46-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.46&CDS=1-669	YBR270C, YJL058C
OG0000051	genemark-scaffold_6-processed-gene-0.100-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.100&CDS=1-2511	YBR297W, YFL052W, YGR288W, YPR196W
OG0000052	genemark-scaffold_6-processed-gene-5.52-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.52&CDS=1-2706, genemark-scaffold_7-processed-gene-0.79-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.79&CDS=1-3333, maker-scaffold_7-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_7-snap-gene-0.2&CDS=1-1950	YDL046W, YER069W
OG0000053		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
