	Eremothecium_gossypii	Saccharomyces_cerevisiae
OG0000013	augustus_masked-AE016817-processed-gene-5.1-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-5.1&CDS=1-2163, genemark-AE016818-processed-gene-1.139-mRNA-1_1&gene=genemark-AE016818-processed-gene-1.139&CDS=1-1293, snap_masked-AE016818-processed-gene-1.84-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-1.84&CDS=1-3384	YBR199W, YER047C, YPR173C
OG0000014	augustus_masked-AE016819-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-0.4&CDS=1-5106, genemark-AE016817-processed-gene-6.39-mRNA-1_1&gene=genemark-AE016817-processed-gene-6.39&CDS=1-1734	YNL104C, YNL106C, YOR108W, YOR109W
OG0000015	augustus_masked-AE016817-processed-gene-12.71-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-12.71&CDS=1-1524, augustus_masked-AE016818-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-13.21&CDS=1-1305	YIL123W, YJL116C, YKR042W, YNL066W
OG0000016	augustus_masked-AE016818-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.119&CDS=1-744, augustus_masked-AE016818-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.126&CDS=1-573, augustus_masked-AE016818-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-4.142&CDS=1-1044	YJL158C, YKL163W, YKL164C
OG0000017	augustus_masked-AE016818-processed-gene-12.44-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-12.44&CDS=1-1971, augustus_masked-AE016819-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-3.21&CDS=1-1605, maker-AE016819-augustus-gene-7.104-mRNA-1_1&gene=maker-AE016819-augustus-gene-7.104&CDS=1-942	YER133W, YML016C, YPL179W
OG0000018	augustus_masked-AE016819-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.105&CDS=1-924, genemark-AE016819-processed-gene-8.142-mRNA-1_1&gene=genemark-AE016819-processed-gene-8.142&CDS=1-2421, snap_masked-AE016819-processed-gene-13.47-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-13.47&CDS=1-1317	YER040W, YFL021W, YKR034W
OG0000019	augustus_masked-AE016820-processed-gene-15.73-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-15.73&CDS=1-1356, augustus_masked-AE016820-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-3.13&CDS=1-3156	YDR144C, YIL015W, YLR120C, YLR121C
OG0000020		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000021	augustus_masked-AE016820-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-0.35&CDS=1-5340, snap_masked-AE016814-processed-gene-4.72-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-4.72&CDS=1-4962, snap_masked-AE016816-processed-gene-0.37-mRNA-1_1&gene=snap_masked-AE016816-processed-gene-0.37&CDS=1-5778	YLR342W, YMR306W
OG0000022	augustus_masked-AE016814-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.106&CDS=1-1386, snap_masked-AE016819-processed-gene-5.119-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-5.119&CDS=1-1410	YGR121C, YNL142W, YPR138C
OG0000023	augustus_masked-AE016814-processed-gene-5.107-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.107&CDS=1-1053, augustus_masked-AE016815-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-3.36&CDS=1-1119, augustus_masked-AE016818-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-7.51&CDS=1-1053	YMR303C, YOL086C
OG0000024	augustus_masked-AE016814-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.138&CDS=1-1326, augustus_masked-AE016818-processed-gene-2.133-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.133&CDS=1-1503	YDR261C, YLR300W, YOR190W
OG0000025	augustus_masked-AE016814-processed-gene-5.150-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.150&CDS=1-1380, genemark-AE016817-processed-gene-11.17-mRNA-1_1&gene=genemark-AE016817-processed-gene-11.17&CDS=1-1704	YIR013C, YLR013W, YMR136W
OG0000026	augustus_masked-AE016816-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-0.56&CDS=1-3927, augustus_masked-AE016819-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-14.105&CDS=1-1359, maker-AE016815-augustus-gene-5.113-mRNA-1_1&gene=maker-AE016815-augustus-gene-5.113&CDS=1-1866	YKL046C, YMR238W
OG0000027	augustus_masked-AE016815-processed-gene-5.150-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-5.150&CDS=1-1713, snap_masked-AE016816-processed-gene-2.53-mRNA-1_1&gene=snap_masked-AE016816-processed-gene-2.53&CDS=1-1407	YER130C, YKL062W, YMR037C
OG0000028	augustus_masked-AE016816-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-0.77&CDS=1-2634, augustus_masked-AE016817-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-0.122&CDS=1-2655, augustus_masked-AE016819-processed-gene-17.51-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-17.51&CDS=1-2655, genemark-AE016820-processed-gene-9.120-mRNA-1_1&gene=genemark-AE016820-processed-gene-9.120&CDS=1-2631	YPR194C
OG0000029	augustus_masked-AE016818-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.6&CDS=1-1194, genemark-AE016816-processed-gene-8.29-mRNA-1_1&gene=genemark-AE016816-processed-gene-8.29&CDS=1-1188	YDR021W, YJL138C, YKR059W
OG0000030	augustus_masked-AE016817-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-2.129&CDS=1-1167, augustus_masked-AE016817-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-8.56&CDS=1-2214, maker-AE016820-augustus-gene-2.58-mRNA-1_1&gene=maker-AE016820-augustus-gene-2.58&CDS=1-2436	YOR099W, YPL060W
OG0000031	maker-AE016820-augustus-gene-10.102-mRNA-1_1&gene=maker-AE016820-augustus-gene-10.102&CDS=1-4647, snap_masked-AE016817-processed-gene-3.72-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-3.72&CDS=1-2520	YBR060C, YIL095W, YNL020C
OG0000032	genemark-AE016817-processed-gene-12.128-mRNA-1_1&gene=genemark-AE016817-processed-gene-12.128&CDS=1-759, genemark-AE016817-processed-gene-6.12-mRNA-1_1&gene=genemark-AE016817-processed-gene-6.12&CDS=1-990, snap_masked-AE016818-processed-gene-4.90-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-4.90&CDS=1-750	YPR013C, YPR015C
OG0000033	augustus_masked-AE016817-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-12.56&CDS=1-2421, augustus_masked-AE016819-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-15.82&CDS=1-2607	YCR037C, YJL198W, YNR013C
OG0000034	snap_masked-AE016817-processed-gene-12.15-mRNA-1_1&gene=snap_masked-AE016817-processed-gene-12.15&CDS=1-291	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000035	augustus_masked-AE016817-processed-gene-13.244-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.244&CDS=1-2535, augustus_masked-AE016819-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-2.8&CDS=1-2061	YAL053W, YGL139W, YPL221W
OG0000036	genemark-AE016819-processed-gene-4.13-mRNA-1_1&gene=genemark-AE016819-processed-gene-4.13&CDS=1-654, snap_masked-AE016818-processed-gene-11.51-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-11.51&CDS=1-630	YAR002C-A, YGL002W, YHR110W
OG0000037	augustus_masked-AE016818-processed-gene-14.51-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.51&CDS=1-1233, augustus_masked-AE016819-processed-gene-12.137-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-12.137&CDS=1-1224, augustus_masked-AE016820-processed-gene-14.61-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-14.61&CDS=1-1407	YDR218C, YJR076C
OG0000038	augustus_masked-AE016818-processed-gene-14.27-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.27&CDS=1-1029	YDL244W, YFL058W, YJR156C, YNL332W
OG0000039	augustus_masked-AE016819-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-4.100&CDS=1-4851	YBL017C, YIL173W, YJL222W, YNR065C
OG0000040	augustus_masked-AE016820-processed-gene-11.48-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-11.48&CDS=1-420, genemark-AE016819-processed-gene-13.110-mRNA-1_1&gene=genemark-AE016819-processed-gene-13.110&CDS=1-1167	YDR043C, YER028C, YGL209W
OG0000041	maker-AE016814-snap-gene-0.80-mRNA-1_1&gene=maker-AE016814-snap-gene-0.80&CDS=1-1569, snap_masked-AE016819-processed-gene-17.88-mRNA-1_1&gene=snap_masked-AE016819-processed-gene-17.88&CDS=1-513	YJL079C, YKR013W
OG0000042	genemark-AE016814-processed-gene-0.107-mRNA-1_1&gene=genemark-AE016814-processed-gene-0.107&CDS=1-2268, snap_masked-AE016815-processed-gene-4.64-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-4.64&CDS=1-2055	YKR001C, YLL001W
OG0000043	augustus_masked-AE016814-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.60&CDS=1-2658, augustus_masked-AE016817-processed-gene-13.229-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-13.229&CDS=1-1104	YAL036C, YGR173W
OG0000044	augustus_masked-AE016814-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-1.70&CDS=1-2742, augustus_masked-AE016819-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.74&CDS=1-744	YNL148C, YPL174C
OG0000045	augustus_masked-AE016818-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-1.23&CDS=1-2268, snap_masked-AE016814-processed-gene-2.84-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.84&CDS=1-1992	YHR035W, YPR181C
OG0000046	augustus_masked-AE016817-processed-gene-11.184-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-11.184&CDS=1-2451, snap_masked-AE016814-processed-gene-2.67-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-2.67&CDS=1-1959	YDL095W, YDR307W
OG0000047	augustus_masked-AE016819-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-2.0&CDS=1-3570, snap_masked-AE016814-processed-gene-3.101-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-3.101&CDS=1-3132	YNL014W, YPL226W
OG0000048	augustus_masked-AE016814-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.54&CDS=1-1245, genemark-AE016818-processed-gene-7.40-mRNA-1_1&gene=genemark-AE016818-processed-gene-7.40&CDS=1-1506	YDL066W, YLR174W
OG0000049	augustus_masked-AE016814-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.90&CDS=1-1431, genemark-AE016820-processed-gene-10.118-mRNA-1_1&gene=genemark-AE016820-processed-gene-10.118&CDS=1-1263	YNR001C, YPR001W
OG0000050	augustus_masked-AE016814-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-3.75&CDS=1-1578, augustus_masked-AE016814-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-4.114&CDS=1-1326	YOL027C, YPR125W
OG0000051	augustus_masked-AE016815-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-3.14&CDS=1-2454, snap_masked-AE016814-processed-gene-3.151-mRNA-1_1&gene=snap_masked-AE016814-processed-gene-3.151&CDS=1-2169	YER017C, YMR089C
OG0000052	augustus_masked-AE016814-processed-gene-5.109-mRNA-1_1&gene=augustus_masked-AE016814-processed-gene-5.109&CDS=1-2421, augustus_masked-AE016817-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-3.130&CDS=1-1800	YIL105C, YPR115W
OG0000053	augustus_masked-AE016815-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-0.25&CDS=1-1716, augustus_masked-AE016819-processed-gene-16.88-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-16.88&CDS=1-1059	YNL231C, YNL264C
OG0000054	augustus_masked-AE016815-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-1.55&CDS=1-5640, maker-AE016818-augustus-gene-2.145-mRNA-1_1&gene=maker-AE016818-augustus-gene-2.145&CDS=1-4908	YBR038W, YNL191W
OG0000055	augustus_masked-AE016815-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-1.68&CDS=1-2478, augustus_masked-AE016819-processed-gene-11.6-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-11.6&CDS=1-1302	YEL036C, YML115C
OG0000056	genemark-AE016819-processed-gene-11.146-mRNA-1_1&gene=genemark-AE016819-processed-gene-11.146&CDS=1-1731, snap_masked-AE016815-processed-gene-2.100-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-2.100&CDS=1-1545	YHR194W, YOR147W
OG0000057	augustus_masked-AE016815-processed-gene-4.131-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.131&CDS=1-2910, augustus_masked-AE016818-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.116&CDS=1-2379	YHL007C, YNL298W
OG0000058	augustus_masked-AE016815-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.155&CDS=1-2997, snap_masked-AE016820-processed-gene-12.110-mRNA-1_1&gene=snap_masked-AE016820-processed-gene-12.110&CDS=1-2790	YER176W, YMR080C
OG0000059	augustus_masked-AE016815-processed-gene-4.140-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-4.140&CDS=1-1236, augustus_masked-AE016818-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-2.125&CDS=1-1179	YBR025C, YHL014C
OG0000060	augustus_masked-AE016817-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-6.120&CDS=1-1329, maker-AE016815-snap-gene-4.3-mRNA-1_1&gene=maker-AE016815-snap-gene-4.3&CDS=1-2697	YKL040C, YPL259C
OG0000061	augustus_masked-AE016816-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-2.36&CDS=1-2139, snap_masked-AE016815-processed-gene-5.97-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-5.97&CDS=1-1596	YER129W, YKL048C
OG0000062	augustus_masked-AE016815-processed-gene-6.2-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-6.2&CDS=1-624	YFL060C, YMR095C, YNL334C
OG0000063	augustus_masked-AE016815-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-6.10&CDS=1-5874, augustus_masked-AE016820-processed-gene-12.61-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-12.61&CDS=1-6426	YER172C, YGR271W
OG0000064	augustus_masked-AE016816-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-8.85&CDS=1-7494, snap_masked-AE016815-processed-gene-7.87-mRNA-1_1&gene=snap_masked-AE016815-processed-gene-7.87&CDS=1-5661	YJL130C, YJR109C
OG0000065	augustus_masked-AE016815-processed-gene-7.44-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.44&CDS=1-1128, augustus_masked-AE016819-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-5.73&CDS=1-1137	YFL039C, YHR129C
OG0000066	augustus_masked-AE016815-processed-gene-7.77-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.77&CDS=1-1836, maker-AE016817-augustus-gene-9.110-mRNA-1_1&gene=maker-AE016817-augustus-gene-9.110&CDS=1-3105	YFL041W, YMR058W
OG0000067	augustus_masked-AE016815-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-AE016815-processed-gene-7.47&CDS=1-2643, augustus_masked-AE016817-processed-gene-12.79-mRNA-1_1&gene=augustus_masked-AE016817-processed-gene-12.79&CDS=1-3891	YDR326C, YFL042C
OG0000068	augustus_masked-AE016816-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-0.78&CDS=1-1611, augustus_masked-AE016818-processed-gene-14.23-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-14.23&CDS=1-1641, augustus_masked-AE016820-processed-gene-15.70-mRNA-1_1&gene=augustus_masked-AE016820-processed-gene-15.70&CDS=1-1635	YIL166C
OG0000069	augustus_masked-AE016816-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-0.83&CDS=1-1095, augustus_masked-AE016819-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-AE016819-processed-gene-4.76&CDS=1-1077	YBL016W, YGR040W
OG0000070	maker-AE016820-snap-gene-0.57-mRNA-1_1&gene=maker-AE016820-snap-gene-0.57&CDS=1-3084, snap_masked-AE016816-processed-gene-0.36-mRNA-1_1&gene=snap_masked-AE016816-processed-gene-0.36&CDS=1-1608	YLR343W, YMR307W
OG0000071	augustus_masked-AE016816-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-1.39&CDS=1-2817, snap_masked-AE016818-processed-gene-9.23-mRNA-1_1&gene=snap_masked-AE016818-processed-gene-9.23&CDS=1-4587	YBR084W, YGR204W
OG0000072	augustus_masked-AE016816-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-1.48&CDS=1-2841, maker-AE016819-snap-gene-17.228-mRNA-1_1&gene=maker-AE016819-snap-gene-17.228&CDS=1-3624	YDR523C, YHR102W
OG0000073	augustus_masked-AE016816-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-2.21&CDS=1-2460, genemark-AE016817-processed-gene-13.44-mRNA-1_1&gene=genemark-AE016817-processed-gene-13.44&CDS=1-1521	YER073W, YOR374W
OG0000074	augustus_masked-AE016816-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-AE016816-processed-gene-3.107&CDS=1-2172, augustus_masked-AE016818-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-AE016818-processed-gene-8.15&CDS=1-1371	YIL078W, YKL194C
OG0000075	maker-AE016816-augustus-gene-4.46-mRNA-1_1&gene=maker-AE016816-augustus-gene-4.46&CDS=1-2460, maker-AE016819-augustus-gene-17.7-mRNA-1_1&gene=maker-AE016819-augustus-gene-17.7&CDS=1-1875	YLR188W, YPL270W
OG0000076	genemark-AE016816-processed-gene-4.139-mRNA-1_1&gene=genemark-AE016816-processed-gene-4.139&CDS=1-1650, maker-AE016818-augustus-gene-13.36-mRNA-1_1&gene=maker-AE016818-augustus-gene-13.36&CDS=1-2691	YKL146W, YNL101W
