	Saccharomyces_cerevisiae	yHMPu5000034887_Ogataea_trehaloabstinens
OG0000374	YJL076W, YKR010C	maker-NODE_6_length_848181_cov_19.387_ID_11-snap-gene-5.1-mRNA-1_1&gene=maker-NODE_6_length_848181_cov_19.387_ID_11-snap-gene-5.1&CDS=1-2379
OG0000375	YJL082W, YKR018C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.44&CDS=1-2307
OG0000376	YJL083W, YKR019C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.19&CDS=1-2262
OG0000377	YJL084C, YKR021W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.104-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.104&CDS=1-2769
OG0000378	YJL090C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.59&CDS=1-1497, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.157-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.157&CDS=1-1803
OG0000379	YJL105W, YKR029C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.36&CDS=1-2532
OG0000380	YJL108C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-5.0&CDS=1-4887, augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-7.24&CDS=1-7701
OG0000381	YJL133W, YKR052C	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-1.25&CDS=1-1080
OG0000382	YJL137C, YKR058W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-6.103&CDS=1-1530
OG0000383	YJL138C, YKR059W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.31&CDS=1-2709
OG0000384	YJL139C, YKR061W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.55-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-13.55&CDS=1-1812
OG0000385	YJL158C, YJL160C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.95&CDS=1-936
OG0000386	YJL163C	augustus_masked-NODE_20_length_33517_cov_38.4347_ID_39-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_20_length_33517_cov_38.4347_ID_39-processed-gene-0.24&CDS=1-1941, maker-NODE_20_length_33517_cov_38.4347_ID_39-snap-gene-0.45-mRNA-1_1&gene=maker-NODE_20_length_33517_cov_38.4347_ID_39-snap-gene-0.45&CDS=1-1272
OG0000387	YJL177W, YKL180W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.106-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-12.106&CDS=1-555
OG0000388	YJL218W	augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_16_length_65886_cov_36.0601_ID_31-processed-gene-0.21&CDS=1-654, genemark-NODE_24_length_16664_cov_35.7029_ID_47-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_24_length_16664_cov_35.7029_ID_47-processed-gene-0.17&CDS=1-600
OG0000389	YJR054W, YML047C	snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.90&CDS=1-1176
OG0000390	YJR091C, YPR042C	snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.183-mRNA-1_1&gene=snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.183&CDS=1-3213
OG0000391	YJR094W-A, YPR043W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.281-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.281&CDS=1-291
OG0000392	YJR126C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.54&CDS=1-2373, augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.67&CDS=1-2268
OG0000393	YJR127C, YML081W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-2.22&CDS=1-3465
OG0000394	YJR130C, YML082W	augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.34&CDS=1-1740
OG0000395	YKL004W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-2.92&CDS=1-1206, genemark-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.113-mRNA-1_1&gene=genemark-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-10.113&CDS=1-1215
OG0000396	YKL043W	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-1.146&CDS=1-1596, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-1.85&CDS=1-1398
OG0000397	YKL050C, YMR031C	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.29&CDS=1-2775
OG0000398	YKL072W, YMR053C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.10&CDS=1-2547
OG0000399	YKL107W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-5.111&CDS=1-870, augustus_masked-NODE_24_length_16664_cov_35.7029_ID_47-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_24_length_16664_cov_35.7029_ID_47-processed-gene-0.26&CDS=1-876
OG0000400	YKL121W, YMR102C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-3.155-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-3.155&CDS=1-2586
OG0000401	YKL126W, YMR104C	genemark-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-12.87-mRNA-1_1&gene=genemark-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-12.87&CDS=1-2016
OG0000402	YKL127W, YMR105C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-8.55&CDS=1-3015
OG0000403	YKL129C, YMR109W	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.146-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.146&CDS=1-3744
OG0000404	YKL133C, YMR115W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-3.26&CDS=1-1401
OG0000405	YKL141W, YMR118C	augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_15_length_89900_cov_16.9629_ID_29-processed-gene-0.17&CDS=1-537
OG0000406	YKR042W	augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-0.74&CDS=1-1113, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-3.139&CDS=1-1263
OG0000407	YKR075C, YOR062C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-4.15&CDS=1-792
OG0000408	YKR076W, YMR251W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-5.115&CDS=1-972
OG0000409	YKR089C, YOR081C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.165-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-6.165&CDS=1-3351
OG0000410	YKR091W, YOR083W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-2.121&CDS=1-1419
OG0000411	YKR093W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-1.70&CDS=1-1827, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-5.163-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-5.163&CDS=1-1710
OG0000412	YLL012W, YLR020C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.54&CDS=1-1308
OG0000413	YLL016W, YLR310C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-1.93&CDS=1-3966
OG0000414	YLR126C	augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_17_length_58967_cov_35.7279_ID_33-processed-gene-0.16&CDS=1-744, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.9&CDS=1-768
OG0000415	YLR144C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-5.67&CDS=1-2253, maker-NODE_6_length_848181_cov_19.387_ID_11-augustus-gene-2.103-mRNA-1_1&gene=maker-NODE_6_length_848181_cov_19.387_ID_11-augustus-gene-2.103&CDS=1-2127
OG0000416	YLR210W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.106&CDS=1-1266, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.51-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.51&CDS=1-1323
OG0000417	YLR248W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.68-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-13.68&CDS=1-2361, maker-NODE_4_length_943695_cov_17.616_ID_7-augustus-gene-5.64-mRNA-1_1&gene=maker-NODE_4_length_943695_cov_17.616_ID_7-augustus-gene-5.64&CDS=1-1812
OG0000418	YLR260W, YOR171C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.12-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.12&CDS=1-1503
OG0000419	YLR264W, YOR167C	maker-NODE_7_length_761518_cov_19.0131_ID_13-augustus-gene-1.62-mRNA-1_1&gene=maker-NODE_7_length_761518_cov_19.0131_ID_13-augustus-gene-1.62&CDS=1-198
OG0000420	YLR270W, YOR173W	augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-NODE_4_length_943695_cov_17.616_ID_7-processed-gene-8.93&CDS=1-894
OG0000421	YLR284C, YOR180C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-8.85-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-8.85&CDS=1-816
OG0000422	YLR286C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.3&CDS=1-1890, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.68&CDS=1-1536
OG0000423	YLR287C-A, YOR182C	snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.71-mRNA-1_1&gene=snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.71&CDS=1-1896
OG0000424	YLR433C, YML057W	maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-7.133-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-7.133&CDS=1-3348
OG0000425	YLR450W, YML075C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.52&CDS=1-3189
OG0000426	YLR456W, YPR172W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-6.18&CDS=1-540
OG0000427	YML038C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.57-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.57&CDS=1-1929, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-15.77&CDS=1-1317
OG0000428	YML100W, YMR261C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-0.46&CDS=1-3165
OG0000429	YML106W, YMR271C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-0.79&CDS=1-657
OG0000430	YML109W, YMR273C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.99-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.99&CDS=1-2205
OG0000431	YMR015C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.323-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.323&CDS=1-1614, augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.325-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-7.325&CDS=1-1590
OG0000432	YMR020W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.63&CDS=1-1506, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-9.115&CDS=1-1356
OG0000433	YMR119W, YNL008C	snap_masked-NODE_27_length_7890_cov_18.6554_ID_53-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_27_length_7890_cov_18.6554_ID_53-processed-gene-0.9&CDS=1-2142
OG0000434	YMR177W, YPL224C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.22-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-17.22&CDS=1-1398
OG0000435	YMR183C, YPL232W	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-2.16&CDS=1-843
OG0000436	YMR216C	augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_460145_cov_17.0925_ID_21-processed-gene-3.114&CDS=1-1911, augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-14.100-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-14.100&CDS=1-2655
OG0000437	YMR230W, YOR293W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.103-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-6.103&CDS=1-357
OG0000438	YMR242C, YOR312C	augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-4.144&CDS=1-525
OG0000439	YMR253C, YPL264C	augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-4.81&CDS=1-1200
OG0000440	YNL095C, YOR092W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-11.33&CDS=1-1749
OG0000441	YNL098C, YOR101W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-16.112-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-16.112&CDS=1-825
OG0000442	YNL108C, YOR110W	snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-3.27&CDS=1-1260
OG0000443	YNL301C, YOL120C	maker-NODE_12_length_222610_cov_24.5609_ID_23-augustus-gene-0.92-mRNA-1_1&gene=maker-NODE_12_length_222610_cov_24.5609_ID_23-augustus-gene-0.92&CDS=1-1002
OG0000444	YOL048C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-9.80&CDS=1-807, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-4.80&CDS=1-729
OG0000445	YOR032C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-8.124&CDS=1-3006, augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-NODE_8_length_752213_cov_18.8698_ID_15-processed-gene-6.101&CDS=1-2787
OG0000446	YOR149C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.91&CDS=1-960, maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-6.2-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-6.2&CDS=1-2829
OG0000447	YOR237W, YPL145C	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-5.5&CDS=1-1269
OG0000448	YOR256C, YPL176C	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-11.134&CDS=1-2589
OG0000449	YOR270C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.34&CDS=1-2634, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-3.22&CDS=1-3504
OG0000450	YOR296W	augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_1537802_cov_17.1257_ID_3-processed-gene-1.99&CDS=1-3135, augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-5.166-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-5.166&CDS=1-3486
OG0000451	YOR320C	augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-4.20&CDS=1-1524, snap_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.190-mRNA-1_1&gene=snap_masked-NODE_12_length_222610_cov_24.5609_ID_23-processed-gene-1.190&CDS=1-1425
OG0000452	YOR348C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.73&CDS=1-1644, snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.43-mRNA-1_1&gene=snap_masked-NODE_5_length_890716_cov_16.6707_ID_9-processed-gene-5.43&CDS=1-1674
OG0000453	YOR374W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-2.41&CDS=1-1548, augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-2.74&CDS=1-1506
OG0000454	YOR390W, YPL279C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-2.78&CDS=1-789
OG0000455	YPL069C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.287-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-3.287&CDS=1-933, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-0.38&CDS=1-978
OG0000456	YPL088W	augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-NODE_14_length_114420_cov_26.4489_ID_27-processed-gene-0.113&CDS=1-1059, maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.103-mRNA-1_1&gene=maker-NODE_2_length_1537802_cov_17.1257_ID_3-augustus-gene-10.103&CDS=1-1038
OG0000457	YPL092W	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-6.72&CDS=1-1191, augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.114&CDS=1-1125
OG0000458	YPR013C, YPR015C	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.71&CDS=1-1137
OG0000459	YPR072W	augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NODE_9_length_736505_cov_22.0163_ID_17-processed-gene-3.50&CDS=1-1815, genemark-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.143-mRNA-1_1&gene=genemark-NODE_6_length_848181_cov_19.387_ID_11-processed-gene-7.143&CDS=1-3369
OG0000460	YPR181C	augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-NODE_3_length_1005204_cov_18.4717_ID_5-processed-gene-7.125&CDS=1-2361, maker-NODE_7_length_761518_cov_19.0131_ID_13-snap-gene-3.65-mRNA-1_1&gene=maker-NODE_7_length_761518_cov_19.0131_ID_13-snap-gene-3.65&CDS=1-4842
OG0000461	YAL001C	augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NODE_10_length_488516_cov_19.456_ID_19-processed-gene-1.63&CDS=1-3636
OG0000462	YAL002W	augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-NODE_1_length_1805010_cov_18.4679_ID_1-processed-gene-3.67&CDS=1-4212
OG0000463	YAL003W	augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_7_length_761518_cov_19.0131_ID_13-processed-gene-1.73&CDS=1-618
