	Metschnikowia_arizonensis	Saccharomyces_cerevisiae
OG0000029	augustus_masked-ari-_s413-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s413-processed-gene-0.5&CDS=1-2346, augustus_masked-ari-_s45-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_s45-processed-gene-0.2&CDS=1-2229, maker-ari-_s3-snap-gene-4.18-mRNA-1_1&gene=maker-ari-_s3-snap-gene-4.18&CDS=1-1452	YDL025C, YNL183C, YOR267C
OG0000030	augustus_masked-ari-_s339-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-ari-_s339-processed-gene-0.12&CDS=1-1839, augustus_masked-ari-_s5-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.5&CDS=1-1932	YAL005C, YDL229W, YLL024C, YNL209W
OG0000031	augustus_masked-ari-_s350-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-ari-_s350-processed-gene-0.3&CDS=1-1038, augustus_masked-ari-_s78-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-3.26&CDS=1-978	YDR541C, YGL039W, YGL157W, YOL151W
OG0000032	augustus_masked-ari-_s50-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.84&CDS=1-1266, augustus_masked-ari-_s95-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-0.65&CDS=1-1065	YIL123W, YJL116C, YKR042W, YNL066W
OG0000033	augustus_masked-ari-_s9-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-5.126&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000034	maker-ari-_s97-snap-gene-0.1-mRNA-1_1&gene=maker-ari-_s97-snap-gene-0.1&CDS=1-963	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000035	augustus_masked-ari-_C33993-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ari-_C33993-processed-gene-0.2&CDS=1-1725, augustus_masked-ari-_s58-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-2.18&CDS=1-1746, maker-ari-_s258-augustus-gene-0.1-mRNA-1_1&gene=maker-ari-_s258-augustus-gene-0.1&CDS=1-852	YJL172W, YOL153C
OG0000036	augustus_masked-ari-_C34463-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_C34463-processed-gene-0.1&CDS=1-408, augustus_masked-ari-_s5-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-ari-_s5-processed-gene-0.42&CDS=1-408, maker-ari-_s34-augustus-gene-2.2-mRNA-1_1&gene=maker-ari-_s34-augustus-gene-2.2&CDS=1-843	YBR010W, YNL031C
OG0000037	augustus_masked-ari-_C35247-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-ari-_C35247-processed-gene-0.5&CDS=1-2823, augustus_masked-ari-_s106-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.62&CDS=1-2466	YCR037C, YJL198W, YNR013C
OG0000038	augustus_masked-ari-_s106-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ari-_s106-processed-gene-0.69&CDS=1-3066, snap_masked-ari-_s380-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ari-_s380-processed-gene-0.3&CDS=1-3573	YIL002C, YNL106C, YOR109W
OG0000039	augustus_masked-ari-_s196-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ari-_s196-processed-gene-0.0&CDS=1-600, augustus_masked-ari-_s58-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.69&CDS=1-693, maker-ari-_s107-augustus-gene-1.0-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-1.0&CDS=1-2208	YFR042W, YJL097W
OG0000040	augustus_masked-ari-_s107-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.34&CDS=1-1263, augustus_masked-ari-_s58-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-ari-_s58-processed-gene-1.76&CDS=1-1383, augustus_masked-ari-_s95-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.64&CDS=1-1422	YJL081C, YPR034W
OG0000041	augustus_masked-ari-_s107-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.20&CDS=1-1113, augustus_masked-ari-_s111-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s111-processed-gene-0.14&CDS=1-1101, augustus_masked-ari-_s50-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-4.93&CDS=1-1563	YBL016W, YHR030C
OG0000042	augustus_masked-ari-_s107-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-ari-_s107-processed-gene-1.22&CDS=1-1260, augustus_masked-ari-_s9-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.43&CDS=1-1200, augustus_masked-ari-_s96-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-ari-_s96-processed-gene-0.8&CDS=1-1272	YKL106W, YLR027C
OG0000043	augustus_masked-ari-_s13-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.129&CDS=1-1656, augustus_masked-ari-_s78-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-ari-_s78-processed-gene-1.56&CDS=1-1527, maker-ari-_s107-augustus-gene-1.1-mRNA-1_1&gene=maker-ari-_s107-augustus-gene-1.1&CDS=1-1209	YER133W, YML016C
OG0000044	augustus_masked-ari-_s115-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.1&CDS=1-1191, augustus_masked-ari-_s50-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-1.67&CDS=1-1188	YDR021W, YJL138C, YKR059W
OG0000045	augustus_masked-ari-_s115-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.6&CDS=1-2958, augustus_masked-ari-_s318-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s318-processed-gene-0.7&CDS=1-4308, snap_masked-ari-_s23-processed-gene-0.18-mRNA-1_1&gene=snap_masked-ari-_s23-processed-gene-0.18&CDS=1-3249	YBR038W, YNL192W
OG0000046	augustus_masked-ari-_s115-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.9&CDS=1-1278, augustus_masked-ari-_s32-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ari-_s32-processed-gene-0.69&CDS=1-1428, snap_masked-ari-_s387-processed-gene-0.116-mRNA-1_1&gene=snap_masked-ari-_s387-processed-gene-0.116&CDS=1-1596	YHR135C, YPL204W
OG0000047	augustus_masked-ari-_s115-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ari-_s115-processed-gene-0.29&CDS=1-288	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000048	augustus_masked-ari-_s125-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-ari-_s125-processed-gene-0.61&CDS=1-1437, augustus_masked-ari-_s31-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-ari-_s31-processed-gene-0.62&CDS=1-1734, augustus_masked-ari-_s50-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-0.80&CDS=1-1809	YDR338C, YHR032W
OG0000049	augustus_masked-ari-_s13-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-1.23&CDS=1-5292, augustus_masked-ari-_s9-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-0.53&CDS=1-2187	YIL095W, YNL020C, YNL313C
OG0000050	augustus_masked-ari-_s13-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.119&CDS=1-1914, augustus_masked-ari-_s50-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-ari-_s50-processed-gene-3.89&CDS=1-1953	YDR107C, YER113C, YLR083C
OG0000051	augustus_masked-ari-_s13-processed-gene-2.125-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-2.125&CDS=1-1437, augustus_masked-ari-_s13-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-3.103&CDS=1-1353, augustus_masked-ari-_s442-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ari-_s442-processed-gene-0.7&CDS=1-1266	YDR463W, YHR006W
OG0000052	augustus_masked-ari-_s13-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-ari-_s13-processed-gene-6.142&CDS=1-1026, augustus_masked-ari-_s9-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-0.46&CDS=1-993, augustus_masked-ari-_s9-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-ari-_s9-processed-gene-1.83&CDS=1-1002	YDL078C, YKL085W
OG0000053	augustus_masked-ari-_s134-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-2.109&CDS=1-3552, snap_masked-ari-_s369-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ari-_s369-processed-gene-0.32&CDS=1-4203	YML072C, YNL087W, YOR086C
OG0000054	augustus_masked-ari-_s134-processed-gene-4.150-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.150&CDS=1-3267, augustus_masked-ari-_s437-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-ari-_s437-processed-gene-0.14&CDS=1-1155, augustus_masked-ari-_s95-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-ari-_s95-processed-gene-1.13&CDS=1-1248	YHR016C, YJL020C
OG0000055	augustus_masked-ari-_s134-processed-gene-4.151-mRNA-1_1&gene=augustus_masked-ari-_s134-processed-gene-4.151&CDS=1-1056, augustus_masked-ari-_s277-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-ari-_s277-processed-gene-0.63&CDS=1-975, genemark-ari-_s9-processed-gene-2.11-mRNA-1_1&gene=genemark-ari-_s9-processed-gene-2.11&CDS=1-777	YJL079C, YKR013W
