	Candida_homilentoma	Saccharomyces_cerevisiae
OG0000010	-processed-gene-1.103-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-1.103&CDS=1-1569, -processed-gene-10.110-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-10.110&CDS=1-1791, -processed-gene-10.72-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-10.72&CDS=1-1227, -processed-gene-2.77-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-2.77&CDS=1-1554, -processed-gene-7.124-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.124&CDS=1-1863, -processed-gene-7.94-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.94&CDS=1-1686, -snap-gene-10.198-mRNA-1_1&gene=maker-gi|1002316227|dbj|BCGB01000006.1|-snap-gene-10.198&CDS=1-4386	YNR055C
OG0000011	-processed-gene-15.10-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-15.10&CDS=1-3405, -processed-gene-2.117-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-2.117&CDS=1-2664, -processed-gene-5.42-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.42&CDS=1-2295, -processed-gene-8.109-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-8.109&CDS=1-3249	YER013W, YGL120C, YKR086W, YNR011C
OG0000012	-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-1.25&CDS=1-2190, -processed-gene-1.82-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-1.82&CDS=1-3441, -processed-gene-3.30-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-3.30&CDS=1-2250, -processed-gene-9.64-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-9.64&CDS=1-1932	YJL089W, YLR098C, YOR337W
OG0000013	-processed-gene-0.94-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-0.94&CDS=1-1221, -processed-gene-4.75-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-4.75&CDS=1-1182, -processed-gene-5.99-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-5.99&CDS=1-1218, -processed-gene-6.55-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-6.55&CDS=1-1209, -snap-gene-16.85-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-16.85&CDS=1-2472	YHR179W, YPL171C
OG0000014	-processed-gene-0.108-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-0.108&CDS=1-1740, -processed-gene-2.73-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-2.73&CDS=1-1737, -processed-gene-4.83-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-4.83&CDS=1-2775, -processed-gene-9.150-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-9.150&CDS=1-1746	YGR187C, YJL172W, YOL153C
OG0000015	-augustus-gene-8.67-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-augustus-gene-8.67&CDS=1-1917, -processed-gene-1.63-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.63&CDS=1-885, -processed-gene-13.29-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-13.29&CDS=1-2742, -processed-gene-2.60-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-2.60&CDS=1-921, -processed-gene-6.22-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-6.22&CDS=1-1008	YAL058W, YDR320C-A
OG0000016	-processed-gene-10.90-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-10.90&CDS=1-1431, -processed-gene-11.26-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.26&CDS=1-1839, -processed-gene-18.128-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-18.128&CDS=1-1764, -processed-gene-24.70-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.70&CDS=1-1428, -processed-gene-8.28-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-8.28&CDS=1-1719	YDR338C, YHR032W
OG0000017	-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-1.118&CDS=1-2487, -processed-gene-16.37-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.37&CDS=1-5346, -processed-gene-3.35-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-3.35&CDS=1-1230, -processed-gene-5.131-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-5.131&CDS=1-2733	YDR523C, YHR102W, YML131W
OG0000018	-processed-gene-9.87-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-9.87&CDS=1-426	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C
OG0000019	-processed-gene-12.19-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.19&CDS=1-1089, -processed-gene-12.20-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.20&CDS=1-996, -processed-gene-12.21-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.21&CDS=1-1005, -processed-gene-12.22-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.22&CDS=1-999, -processed-gene-12.23-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.23&CDS=1-1026, -processed-gene-12.24-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.24&CDS=1-990	YJR019C
OG0000020	-processed-gene-2.76-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.76&CDS=1-2550, -processed-gene-3.50-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-3.50&CDS=1-2724, -processed-gene-5.79-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-5.79&CDS=1-2649	YLL005C, YMR266W, YOL084W
OG0000021	-processed-gene-12.94-mRNA-1_1&gene=augustus_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-12.94&CDS=1-1323, -processed-gene-2.159-mRNA-1_1&gene=augustus_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-2.159&CDS=1-1284, -processed-gene-2.74-mRNA-1_1&gene=augustus_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-2.74&CDS=1-1848, -processed-gene-6.69-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-6.69&CDS=1-1113, -processed-gene-8.89-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-8.89&CDS=1-1242, -processed-gene-9.57-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-9.57&CDS=1-1359	
OG0000022	-processed-gene-15.31-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-15.31&CDS=1-1035, -processed-gene-2.65-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.65&CDS=1-2355, -snap-gene-7.133-mRNA-1_1&gene=maker-gi|1002316226|dbj|BCGB01000007.1|-snap-gene-7.133&CDS=1-3591	YCL064C, YIL167W, YML020W
OG0000023	-processed-gene-10.78-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-10.78&CDS=1-2439, -processed-gene-6.40-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-6.40&CDS=1-3057, -processed-gene-7.66-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-7.66&CDS=1-3270	YBR245C, YFR038W, YOR304W
OG0000024	-processed-gene-0.92-mRNA-1_1&gene=snap_masked-gi|1002316227|dbj|BCGB01000006.1|-processed-gene-0.92&CDS=1-1713, -processed-gene-10.53-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.53&CDS=1-2004	YBR297W, YFL052W, YGR288W, YPR196W
OG0000025	-processed-gene-0.50-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-0.50&CDS=1-3198, -processed-gene-1.129-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-1.129&CDS=1-2103, -processed-gene-12.145-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-12.145&CDS=1-2283, -snap-gene-12.7-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-12.7&CDS=1-3546	YLR144C, YNR067C
OG0000026	-augustus-gene-5.56-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-5.56&CDS=1-4692, -processed-gene-3.67-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-3.67&CDS=1-1332, -processed-gene-7.78-mRNA-1_1&gene=augustus_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-7.78&CDS=1-1233	YLR090W, YLR386W, YNL064C
OG0000027	-processed-gene-16.62-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.62&CDS=1-1650, -processed-gene-6.122-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-6.122&CDS=1-1629	YDR342C, YDR343C, YDR345C, YHR092C
OG0000028	-processed-gene-10.43-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.43&CDS=1-1296, -processed-gene-11.106-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.106&CDS=1-1170, -processed-gene-17.79-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-17.79&CDS=1-1218, -processed-gene-8.69-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-8.69&CDS=1-1143	YBR207W, YER145C
OG0000029	-processed-gene-11.156-mRNA-1_1&gene=snap_masked-gi|1002316228|dbj|BCGB01000005.1|-processed-gene-11.156&CDS=1-1719, -processed-gene-11.33-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-11.33&CDS=1-1866, -processed-gene-16.41-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-16.41&CDS=1-1689	YDR380W, YLR044C, YLR134W
OG0000030	-processed-gene-10.54-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-10.54&CDS=1-1728, -snap-gene-4.49-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-4.49&CDS=1-3288	YBR298C, YDL247W, YGR289C, YJR160C
OG0000031	-processed-gene-1.104-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-1.104&CDS=1-2238, -processed-gene-4.120-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-4.120&CDS=1-2715, -snap-gene-0.44-mRNA-1_1&gene=maker-gi|1002316231|dbj|BCGB01000002.1|-snap-gene-0.44&CDS=1-1584	YDL025C, YNL183C, YOR267C
OG0000032	-augustus-gene-12.7-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-augustus-gene-12.7&CDS=1-3123, -processed-gene-22.52-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-22.52&CDS=1-1314, -processed-gene-7.86-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.86&CDS=1-891	YBR147W, YDR352W, YOL092W
OG0000033	-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-2.97&CDS=1-1581, -processed-gene-23.60-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-23.60&CDS=1-1503, -processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-7.71&CDS=1-1584	YMR169C, YMR170C, YOR374W
OG0000034	-snap-gene-3.150-mRNA-1_1&gene=maker-gi|1002316230|dbj|BCGB01000003.1|-snap-gene-3.150&CDS=1-3909	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000035	-processed-gene-12.79-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-12.79&CDS=1-930, -processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.44&CDS=1-927, -processed-gene-4.68-mRNA-1_1&gene=augustus_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-4.68&CDS=1-1671	YDR368W, YML092C, YOR120W
OG0000036		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000037	-augustus-gene-24.161-mRNA-1_1&gene=maker-gi|1002316232|dbj|BCGB01000001.1|-augustus-gene-24.161&CDS=1-6111, -processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-0.39&CDS=1-4230, -processed-gene-17.44-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-17.44&CDS=1-4323, -processed-gene-2.48-mRNA-1_1&gene=snap_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-2.48&CDS=1-4782	YGR281W
OG0000038	-processed-gene-5.56-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.56&CDS=1-3210, -processed-gene-8.66-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-8.66&CDS=1-3039, -snap-gene-1.135-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-snap-gene-1.135&CDS=1-3708	YBR038W, YNL192W
OG0000039	-processed-gene-2.152-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-2.152&CDS=1-1959, -processed-gene-5.71-mRNA-1_1&gene=snap_masked-gi|1002316231|dbj|BCGB01000002.1|-processed-gene-5.71&CDS=1-2172	YCR065W, YIL131C, YNL068C
OG0000040	-processed-gene-0.39-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-0.39&CDS=1-1455, -processed-gene-16.90-mRNA-1_1&gene=snap_masked-gi|1002316230|dbj|BCGB01000003.1|-processed-gene-16.90&CDS=1-1437, -processed-gene-2.142-mRNA-1_1&gene=snap_masked-gi|1002316225|dbj|BCGB01000008.1|-processed-gene-2.142&CDS=1-1452, -processed-gene-24.35-mRNA-1_1&gene=augustus_masked-gi|1002316232|dbj|BCGB01000001.1|-processed-gene-24.35&CDS=1-1482	YGR212W
OG0000041	-snap-gene-11.75-mRNA-1_1&gene=maker-gi|1002316229|dbj|BCGB01000004.1|-snap-gene-11.75&CDS=1-4746, -snap-gene-5.91-mRNA-1_1&gene=maker-gi|1002316225|dbj|BCGB01000008.1|-snap-gene-5.91&CDS=1-5253	YML072C, YNL087W, YOR086C
OG0000042	-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002316226|dbj|BCGB01000007.1|-processed-gene-1.61&CDS=1-3117, -processed-gene-6.25-mRNA-1_1&gene=snap_masked-gi|1002316229|dbj|BCGB01000004.1|-processed-gene-6.25&CDS=1-2604	YDR326C, YFL042C, YHR080C
