	Lipomyces_starkeyi	Saccharomyces_cerevisiae
OG0000010	maker-scaffold_10-snap-gene-2.47-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.47&CDS=1-2112, maker-scaffold_3-augustus-gene-11.109-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-11.109&CDS=1-2127	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000011	augustus_masked-scaffold_13-processed-gene-6.251-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-6.251&CDS=1-2046, augustus_masked-scaffold_13-processed-gene-6.253-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-6.253&CDS=1-2082, augustus_masked-scaffold_6-processed-gene-12.120-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-12.120&CDS=1-2559, augustus_masked-scaffold_8-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-9.141&CDS=1-1782, augustus_masked-scaffold_9-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.116&CDS=1-2127, maker-scaffold_3-augustus-gene-5.44-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-5.44&CDS=1-3039, maker-scaffold_7-augustus-gene-0.109-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.109&CDS=1-2193	
OG0000012	maker-scaffold_5-augustus-gene-6.89-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-6.89&CDS=1-2160	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C
OG0000013	genemark-scaffold_1-processed-gene-0.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.55&CDS=1-1227, genemark-scaffold_10-processed-gene-0.48-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.48&CDS=1-660, genemark-scaffold_77-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_77-processed-gene-0.1&CDS=1-1095, maker-scaffold_3-snap-gene-16.22-mRNA-1_1&gene=maker-scaffold_3-snap-gene-16.22&CDS=1-348, snap_masked-scaffold_3-processed-gene-16.76-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.76&CDS=1-264, snap_masked-scaffold_83-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_83-processed-gene-0.1&CDS=1-576	
OG0000014	augustus_masked-scaffold_1-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.115&CDS=1-1638, maker-scaffold_14-augustus-gene-4.130-mRNA-1_1&gene=maker-scaffold_14-augustus-gene-4.130&CDS=1-1638, maker-scaffold_5-augustus-gene-1.55-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.55&CDS=1-1665, maker-scaffold_7-augustus-gene-8.60-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-8.60&CDS=1-1719, maker-scaffold_8-snap-gene-2.147-mRNA-1_1&gene=maker-scaffold_8-snap-gene-2.147&CDS=1-1665	YDR242W
OG0000015	augustus_masked-scaffold_11-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-7.42&CDS=1-951, augustus_masked-scaffold_2-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.51&CDS=1-1002, maker-scaffold_1-augustus-gene-20.10-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.10&CDS=1-1005, maker-scaffold_11-augustus-gene-2.58-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-2.58&CDS=1-999, maker-scaffold_3-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.2&CDS=1-1116	YPR127W
OG0000016	maker-scaffold_10-snap-gene-7.127-mRNA-1_1&gene=maker-scaffold_10-snap-gene-7.127&CDS=1-1626, maker-scaffold_13-snap-gene-2.100-mRNA-1_1&gene=maker-scaffold_13-snap-gene-2.100&CDS=1-1524, maker-scaffold_13-snap-gene-2.103-mRNA-1_1&gene=maker-scaffold_13-snap-gene-2.103&CDS=1-1593, maker-scaffold_15-augustus-gene-5.137-mRNA-1_1&gene=maker-scaffold_15-augustus-gene-5.137&CDS=1-1512, maker-scaffold_7-augustus-gene-10.19-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-10.19&CDS=1-1680	YDR402C
OG0000017	augustus_masked-scaffold_19-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.236&CDS=1-996, genemark-scaffold_11-processed-gene-8.231-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-8.231&CDS=1-603, maker-scaffold_11-augustus-gene-2.51-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-2.51&CDS=1-1014, maker-scaffold_5-augustus-gene-5.99-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-5.99&CDS=1-1080	YNL274C, YPL113C
OG0000018	augustus_masked-scaffold_12-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-5.35&CDS=1-1374	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000019	augustus_masked-scaffold_13-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-0.44&CDS=1-1503, maker-scaffold_2-augustus-gene-1.118-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.118&CDS=1-1524, maker-scaffold_6-augustus-gene-3.104-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-3.104&CDS=1-1545, snap_masked-scaffold_4-processed-gene-2.5-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.5&CDS=1-1548, snap_masked-scaffold_6-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.87&CDS=1-1551	YCR028C
OG0000020	augustus_masked-scaffold_8-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.99&CDS=1-1167, maker-scaffold_1-augustus-gene-0.11-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.11&CDS=1-1464, maker-scaffold_15-augustus-gene-0.90-mRNA-1_1&gene=maker-scaffold_15-augustus-gene-0.90&CDS=1-1191, snap_masked-scaffold_8-processed-gene-1.31-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.31&CDS=1-1185	YDR034C
OG0000021	maker-scaffold_1-augustus-gene-3.10-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.10&CDS=1-1365, maker-scaffold_1-augustus-gene-3.24-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.24&CDS=1-1311, maker-scaffold_1-augustus-gene-5.96-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.96&CDS=1-1590	YDL161W, YLR206W
OG0000022	augustus_masked-scaffold_11-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-5.142&CDS=1-894, augustus_masked-scaffold_13-processed-gene-6.270-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-6.270&CDS=1-765, snap_masked-scaffold_1-processed-gene-5.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.92&CDS=1-1074, snap_masked-scaffold_7-processed-gene-5.94-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.94&CDS=1-1986	YMR111C
OG0000023	maker-scaffold_1-augustus-gene-7.83-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.83&CDS=1-990	YDR541C, YGL039W, YGL157W, YOL151W
OG0000024	augustus_masked-scaffold_1-processed-gene-10.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.137&CDS=1-2001, augustus_masked-scaffold_10-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.110&CDS=1-1809, snap_masked-scaffold_16-processed-gene-5.6-mRNA-1_1&gene=snap_masked-scaffold_16-processed-gene-5.6&CDS=1-330	YER064C, YIL056W
OG0000025	augustus_masked-scaffold_10-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.65&CDS=1-1572, augustus_masked-scaffold_19-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-scaffold_19-processed-gene-0.229&CDS=1-1560, augustus_masked-scaffold_7-processed-gene-12.214-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-12.214&CDS=1-1566, augustus_masked-scaffold_9-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.12&CDS=1-1560	YDL138W
OG0000026	augustus_masked-scaffold_10-processed-gene-7.151-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-7.151&CDS=1-576, genemark-scaffold_5-processed-gene-12.85-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-12.85&CDS=1-264	YDR276C, YDR525W-A, YJL151C
OG0000027	maker-scaffold_11-augustus-gene-0.8-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-0.8&CDS=1-918, maker-scaffold_15-augustus-gene-0.89-mRNA-1_1&gene=maker-scaffold_15-augustus-gene-0.89&CDS=1-879, maker-scaffold_8-augustus-gene-4.17-mRNA-1_1&gene=maker-scaffold_8-augustus-gene-4.17&CDS=1-837	YER185W, YGR213C
OG0000028	augustus_masked-scaffold_9-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-6.109&CDS=1-1671, maker-scaffold_11-augustus-gene-4.136-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-4.136&CDS=1-1761, maker-scaffold_17-augustus-gene-1.89-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-1.89&CDS=1-1671, maker-scaffold_2-augustus-gene-7.64-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.64&CDS=1-1806	YJL163C
OG0000029	augustus_masked-scaffold_12-processed-gene-7.37-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-7.37&CDS=1-1611, augustus_masked-scaffold_3-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.102&CDS=1-1458	YIL120W, YIL121W, YNL065W
OG0000030	snap_masked-scaffold_13-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scaffold_13-processed-gene-1.47&CDS=1-1065	YDL244W, YFL058W, YJR156C, YNL332W
OG0000031	augustus_masked-scaffold_13-processed-gene-6.276-mRNA-1_1&gene=augustus_masked-scaffold_13-processed-gene-6.276&CDS=1-1296, augustus_masked-scaffold_17-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-3.14&CDS=1-1560, maker-scaffold_18-augustus-gene-1.46-mRNA-1_1&gene=maker-scaffold_18-augustus-gene-1.46&CDS=1-1173, maker-scaffold_7-augustus-gene-1.50-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-1.50&CDS=1-2004	YDR081C
OG0000032	augustus_masked-scaffold_14-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_14-processed-gene-5.79&CDS=1-2763	YBL017C, YIL173W, YJL222W, YNR065C
OG0000033	maker-scaffold_14-augustus-gene-6.49-mRNA-1_1&gene=maker-scaffold_14-augustus-gene-6.49&CDS=1-1539	YBR297W, YFL052W, YGR288W, YPR196W
OG0000034	maker-scaffold_5-augustus-gene-4.155-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-4.155&CDS=1-1203, snap_masked-scaffold_17-processed-gene-3.81-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-3.81&CDS=1-294, snap_masked-scaffold_17-processed-gene-3.82-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-3.82&CDS=1-501	YDR253C, YPL038W
OG0000035	augustus_masked-scaffold_8-processed-gene-10.65-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-10.65&CDS=1-1899, maker-scaffold_6-augustus-gene-14.105-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-14.105&CDS=1-1944, snap_masked-scaffold_17-processed-gene-3.138-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-3.138&CDS=1-1089	YEL047C, YJR051W
OG0000036	maker-scaffold_2-augustus-gene-16.118-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.118&CDS=1-1470, maker-scaffold_9-augustus-gene-4.47-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-4.47&CDS=1-1554, maker-scaffold_9-augustus-gene-4.48-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-4.48&CDS=1-399	YGR197C, YJR015W
OG0000037	augustus_masked-scaffold_2-processed-gene-17.50-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-17.50&CDS=1-1047, augustus_masked-scaffold_8-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.128&CDS=1-1050	YCR102C, YLR460C, YNL134C
OG0000038	augustus_masked-scaffold_3-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.19&CDS=1-1554, augustus_masked-scaffold_5-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.145&CDS=1-1521	YER056C, YER060W, YER060W-A
OG0000039	genemark-scaffold_4-processed-gene-14.35-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-14.35&CDS=1-1701, maker-scaffold_4-augustus-gene-14.183-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-14.183&CDS=1-1596	YML116W, YMR279C, YOR378W
OG0000040	maker-scaffold_6-augustus-gene-0.96-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-0.96&CDS=1-717	YDR533C, YMR322C, YOR391C, YPL280W
OG0000041	augustus_masked-scaffold_6-processed-gene-12.123-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-12.123&CDS=1-1770	YCL069W, YGR224W, YKR105C, YPR198W
OG0000042	augustus_masked-scaffold_1-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.23&CDS=1-1047	YBL068W-A, YBL069W, YER101C
OG0000043	augustus_masked-scaffold_1-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.31&CDS=1-810, augustus_masked-scaffold_10-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.82&CDS=1-999	YBR054W, YDR033W
OG0000044	augustus_masked-scaffold_1-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.21&CDS=1-660, maker-scaffold_17-augustus-gene-0.136-mRNA-1_1&gene=maker-scaffold_17-augustus-gene-0.136&CDS=1-834	YBL095W, YER182W
OG0000045	augustus_masked-scaffold_1-processed-gene-12.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.37&CDS=1-1611	YDR144C, YLR120C, YLR121C
OG0000046	augustus_masked-scaffold_1-processed-gene-14.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.58&CDS=1-1017, augustus_masked-scaffold_2-processed-gene-12.12-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.12&CDS=1-1536	YPR013C, YPR015C
OG0000047	augustus_masked-scaffold_9-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-5.104&CDS=1-2523, maker-scaffold_1-augustus-gene-20.9-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-20.9&CDS=1-2721, maker-scaffold_10-augustus-gene-1.74-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-1.74&CDS=1-2301	YPR022C
OG0000048	augustus_masked-scaffold_12-processed-gene-6.76-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-6.76&CDS=1-1638, maker-scaffold_10-augustus-gene-0.79-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-0.79&CDS=1-1665, maker-scaffold_2-augustus-gene-16.112-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-16.112&CDS=1-1650	YBR008C
