	Ogataea_polymorpha	Saccharomyces_cerevisiae
OG0000010	genemark-scaffold_3-processed-gene-0.64-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.64&CDS=1-1326, genemark-scaffold_4-processed-gene-12.123-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.123&CDS=1-1326	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000011	augustus_masked-scaffold_6-processed-gene-3.137-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.137&CDS=1-5637, genemark-scaffold_3-processed-gene-2.104-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.104&CDS=1-1713, genemark-scaffold_4-processed-gene-12.104-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.104&CDS=1-1614	YDR380W, YGR087C, YLR044C, YLR134W
OG0000012	augustus_masked-scaffold_4-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.27&CDS=1-1428, genemark-scaffold_1-processed-gene-0.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.43&CDS=1-1347, genemark-scaffold_1-processed-gene-11.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.88&CDS=1-1260, maker-scaffold_5-snap-gene-7.58-mRNA-1_1&gene=maker-scaffold_5-snap-gene-7.58&CDS=1-2631	YBR199W, YKL181W
OG0000013	genemark-scaffold_1-processed-gene-0.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.18&CDS=1-2016, genemark-scaffold_4-processed-gene-3.153-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-3.153&CDS=1-1941, genemark-scaffold_7-processed-gene-1.152-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.152&CDS=1-1734, maker-scaffold_6-snap-gene-4.115-mRNA-1_1&gene=maker-scaffold_6-snap-gene-4.115&CDS=1-3369, snap_masked-scaffold_2-processed-gene-14.0-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.0&CDS=1-3798	YBR015C
OG0000014	augustus_masked-scaffold_1-processed-gene-11.123-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.123&CDS=1-1131, snap_masked-scaffold_1-processed-gene-11.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.30&CDS=1-1884	YBR297W, YFL052W, YGR288W, YPR196W
OG0000015	genemark-scaffold_4-processed-gene-12.120-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-12.120&CDS=1-1551, genemark-scaffold_7-processed-gene-0.91-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.91&CDS=1-1506, genemark-scaffold_7-processed-gene-2.157-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.157&CDS=1-1563, snap_masked-scaffold_1-processed-gene-14.199-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.199&CDS=1-1509, snap_masked-scaffold_6-processed-gene-8.365-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.365&CDS=1-1500	YJR152W
OG0000016	augustus_masked-scaffold_1-processed-gene-14.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.50&CDS=1-8130, augustus_masked-scaffold_7-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.112&CDS=1-8085, genemark-scaffold_1-processed-gene-14.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.92&CDS=1-1842, genemark-scaffold_7-processed-gene-0.86-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.86&CDS=1-1842, genemark-scaffold_7-processed-gene-2.123-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.123&CDS=1-1863	YNR063W
OG0000017	genemark-scaffold_1-processed-gene-14.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.93&CDS=1-1155, genemark-scaffold_5-processed-gene-11.64-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-11.64&CDS=1-1155, genemark-scaffold_6-processed-gene-3.58-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.58&CDS=1-966, maker-scaffold_6-snap-gene-3.65-mRNA-1_1&gene=maker-scaffold_6-snap-gene-3.65&CDS=1-5136	YIL151C, YKR096W
OG0000018	augustus_masked-scaffold_2-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.142&CDS=1-4233, genemark-scaffold_2-processed-gene-0.39-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.39&CDS=1-1656, snap_masked-scaffold_7-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.40&CDS=1-1572	YBL041W, YJL172W, YOL153C
OG0000019	maker-scaffold_6-snap-gene-7.179-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.179&CDS=1-5031, snap_masked-scaffold_2-processed-gene-5.26-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.26&CDS=1-2262, snap_masked-scaffold_3-processed-gene-7.60-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.60&CDS=1-2784	YER013W, YGL120C, YKR086W
OG0000020	augustus_masked-scaffold_2-processed-gene-9.180-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.180&CDS=1-6237, genemark-scaffold_2-processed-gene-5.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.123&CDS=1-5613, genemark-scaffold_2-processed-gene-9.128-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.128&CDS=1-1611, genemark-scaffold_3-processed-gene-7.128-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.128&CDS=1-5424	YGR032W, YMR307W
OG0000021	augustus_masked-scaffold_3-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.81&CDS=1-7578, genemark-scaffold_7-processed-gene-2.121-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.121&CDS=1-1017, maker-scaffold_2-augustus-gene-12.60-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-12.60&CDS=1-2073	YDL144C, YEL006W, YIL006W
OG0000022	augustus_masked-scaffold_2-processed-gene-14.129-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.129&CDS=1-2850, augustus_masked-scaffold_4-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.67&CDS=1-2133, genemark-scaffold_7-processed-gene-8.266-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.266&CDS=1-1953, maker-scaffold_4-augustus-gene-10.62-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-10.62&CDS=1-3417	YBR056W, YHL016C
OG0000023	augustus_masked-scaffold_5-processed-gene-11.168-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.168&CDS=1-2823, snap_masked-scaffold_2-processed-gene-14.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.70&CDS=1-1020	YDR541C, YGL039W, YGL157W, YOL151W
OG0000024	genemark-scaffold_6-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.18&CDS=1-4779, snap_masked-scaffold_3-processed-gene-7.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.67&CDS=1-2457	YBL017C, YIL173W, YJL222W, YNR065C
OG0000025	genemark-scaffold_4-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.42&CDS=1-1842, genemark-scaffold_7-processed-gene-8.263-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.263&CDS=1-1494, snap_masked-scaffold_4-processed-gene-9.20-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.20&CDS=1-6558	YDL025C, YNL183C, YOR267C
OG0000026	genemark-scaffold_5-processed-gene-5.119-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-5.119&CDS=1-1620	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C
OG0000027	augustus_masked-scaffold_2-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.13&CDS=1-2055, augustus_masked-scaffold_2-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.63&CDS=1-6198, maker-scaffold_1-augustus-gene-0.100-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.100&CDS=1-3987	YMR020W, YPR160W
OG0000028	augustus_masked-scaffold_3-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.122&CDS=1-2157, maker-scaffold_1-augustus-gene-1.172-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.172&CDS=1-2397	YML111W, YMR275C, YNR069C
OG0000029	augustus_masked-scaffold_1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.69&CDS=1-5724, augustus_masked-scaffold_5-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.140&CDS=1-2475, genemark-scaffold_2-processed-gene-9.87-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.87&CDS=1-1101	YGR117C, YGR264C
OG0000030	augustus_masked-scaffold_1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.79&CDS=1-2049, genemark-scaffold_5-processed-gene-10.91-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-10.91&CDS=1-1371, snap_masked-scaffold_3-processed-gene-2.5-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.5&CDS=1-3096	YEL036C, YML115C
OG0000031	augustus_masked-scaffold_1-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.32&CDS=1-4209, genemark-scaffold_6-processed-gene-8.171-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.171&CDS=1-1281, genemark-scaffold_7-processed-gene-5.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.35&CDS=1-2079	YDR523C, YHR102W
OG0000032	augustus_masked-scaffold_1-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.105&CDS=1-4002, genemark-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.39&CDS=1-1938	YDR300C, YHR033W, YNL101W
OG0000033	augustus_masked-scaffold_1-processed-gene-9.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.65&CDS=1-2778, genemark-scaffold_1-processed-gene-7.135-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.135&CDS=1-2001, maker-scaffold_5-snap-gene-3.56-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.56&CDS=1-2091	YIL107C, YOL136C
OG0000034	augustus_masked-scaffold_1-processed-gene-12.163-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.163&CDS=1-2949, augustus_masked-scaffold_1-processed-gene-8.145-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.145&CDS=1-2034	YCR065W, YIL131C, YNL068C
OG0000035	genemark-scaffold_1-processed-gene-9.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.17&CDS=1-2340, genemark-scaffold_1-processed-gene-9.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.29&CDS=1-2220	YAL053W, YGL139W, YPL221W
OG0000036	genemark-scaffold_1-processed-gene-9.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.20&CDS=1-2325, snap_masked-scaffold_3-processed-gene-2.1-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.1&CDS=1-675	YDR028C, YKR075C, YOR062C
OG0000037	genemark-scaffold_1-processed-gene-10.145-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-10.145&CDS=1-2661, genemark-scaffold_3-processed-gene-10.0-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.0&CDS=1-3645	YHL007C, YNL298W, YOL113W
OG0000038	genemark-scaffold_1-processed-gene-12.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.49&CDS=1-4467, genemark-scaffold_2-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-1.41&CDS=1-4497, genemark-scaffold_6-processed-gene-2.94-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.94&CDS=1-4488	YDR011W, YOR153W
OG0000039	genemark-scaffold_5-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.42&CDS=1-2349, maker-scaffold_1-snap-gene-12.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-12.0&CDS=1-3822, snap_masked-scaffold_2-processed-gene-11.105-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.105&CDS=1-4143	YHR114W, YPL206C
OG0000040	augustus_masked-scaffold_1-processed-gene-12.164-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.164&CDS=1-3225, genemark-scaffold_2-processed-gene-7.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.17&CDS=1-2448	YCR037C, YJL198W, YNR013C
OG0000041	genemark-scaffold_6-processed-gene-1.135-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-1.135&CDS=1-2853, maker-scaffold_1-snap-gene-13.12-mRNA-1_1&gene=maker-scaffold_1-snap-gene-13.12&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000042	genemark-scaffold_1-processed-gene-14.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.64&CDS=1-1011, maker-scaffold_7-augustus-gene-4.206-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.206&CDS=1-1338	YDR214W, YKL094W, YNL281W
OG0000043	genemark-scaffold_7-processed-gene-6.15-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.15&CDS=1-1995, maker-scaffold_1-augustus-gene-14.144-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-14.144&CDS=1-2676, maker-scaffold_7-augustus-gene-3.74-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.74&CDS=1-2481	YJL034W, YLL024C
OG0000044	genemark-scaffold_1-processed-gene-14.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-14.90&CDS=1-3330, genemark-scaffold_5-processed-gene-8.162-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.162&CDS=1-1119, snap_masked-scaffold_1-processed-gene-14.194-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.194&CDS=1-1080	YCR105W, YMR318C
OG0000045	genemark-scaffold_3-processed-gene-12.26-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-12.26&CDS=1-1842, maker-scaffold_3-augustus-gene-2.72-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.72&CDS=1-2718, snap_masked-scaffold_2-processed-gene-0.129-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.129&CDS=1-1635	YDL165W, YDL170W
OG0000046	augustus_masked-scaffold_2-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.77&CDS=1-5679, augustus_masked-scaffold_3-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.86&CDS=1-11142	YKL068W, YMR047C, YOR341W
OG0000047	augustus_masked-scaffold_7-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.114&CDS=1-3045, genemark-scaffold_2-processed-gene-5.106-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.106&CDS=1-1296	YLR098C, YOL140W, YOR337W
OG0000048	augustus_masked-scaffold_2-processed-gene-6.94-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.94&CDS=1-2100, augustus_masked-scaffold_2-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.165&CDS=1-4980	YER175C, YHR209W, YLR347C
OG0000049	genemark-scaffold_2-processed-gene-10.94-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.94&CDS=1-3855, genemark-scaffold_2-processed-gene-8.169-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.169&CDS=1-3534	YCL024W, YDR507C, YKL101W
OG0000050	augustus_masked-scaffold_7-processed-gene-4.184-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.184&CDS=1-4134, genemark-scaffold_2-processed-gene-8.202-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.202&CDS=1-2754	YHR047C, YIL137C, YKL157W
OG0000051	augustus_masked-scaffold_6-processed-gene-3.149-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.149&CDS=1-6222, augustus_masked-scaffold_7-processed-gene-8.181-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.181&CDS=1-1623, maker-scaffold_2-snap-gene-9.63-mRNA-1_1&gene=maker-scaffold_2-snap-gene-9.63&CDS=1-3582	YFL055W, YKR039W
OG0000052	augustus_masked-scaffold_2-processed-gene-11.16-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.16&CDS=1-3474	YDL244W, YFL058W, YJR156C, YNL332W
OG0000053	augustus_masked-scaffold_4-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-12.22&CDS=1-3345, genemark-scaffold_2-processed-gene-12.164-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-12.164&CDS=1-2892, genemark-scaffold_7-processed-gene-1.153-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.153&CDS=1-2943	YBR038W, YNL192W
OG0000054	augustus_masked-scaffold_7-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.114&CDS=1-7728, maker-scaffold_3-snap-gene-1.113-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.113&CDS=1-3339	YIR033W, YKL020C, YNL125C
OG0000055	genemark-scaffold_3-processed-gene-1.33-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.33&CDS=1-1263, genemark-scaffold_3-processed-gene-7.110-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.110&CDS=1-1413	YCL040W, YDR516C, YLR446W
OG0000056	genemark-scaffold_3-processed-gene-2.124-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.124&CDS=1-1206, genemark-scaffold_3-processed-gene-2.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.91&CDS=1-1440	YER028C, YGL035C, YGL209W
OG0000057	augustus_masked-scaffold_3-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.178&CDS=1-2163, genemark-scaffold_4-processed-gene-10.175-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.175&CDS=1-1485, genemark-scaffold_4-processed-gene-8.34-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-8.34&CDS=1-1497	YBR006W, YLR201C
OG0000058	augustus_masked-scaffold_4-processed-gene-10.78-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.78&CDS=1-7743, augustus_masked-scaffold_4-processed-gene-11.75-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.75&CDS=1-7779, genemark-scaffold_3-processed-gene-3.175-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.175&CDS=1-2883	YKR064W, YLR253W
OG0000059	genemark-scaffold_5-processed-gene-10.83-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-10.83&CDS=1-1707, snap_masked-scaffold_3-processed-gene-4.16-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.16&CDS=1-3243	YHR115C, YML020W, YNL116W
OG0000060	augustus_masked-scaffold_3-processed-gene-4.144-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.144&CDS=1-11601, snap_masked-scaffold_3-processed-gene-9.60-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.60&CDS=1-1488	YBR238C, YGL107C, YGL234W
OG0000061	genemark-scaffold_3-processed-gene-4.78-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.78&CDS=1-2328, genemark-scaffold_4-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.45&CDS=1-2760	YGL257C, YIL014W, YNR059W
OG0000062	augustus_masked-scaffold_3-processed-gene-10.87-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.87&CDS=1-3555, augustus_masked-scaffold_4-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.100&CDS=1-5199, genemark-scaffold_7-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.115&CDS=1-2061	YBR245C, YFR038W
