	Lachancea_dasiensis	Saccharomyces_cerevisiae
OG0000011	genemark-LADA0C-processed-gene-9.11-mRNA-1_1&gene=genemark-LADA0C-processed-gene-9.11&CDS=1-546, genemark-LADA0G-processed-gene-11.27-mRNA-1_1&gene=genemark-LADA0G-processed-gene-11.27&CDS=1-753, genemark-LADA0G-processed-gene-13.141-mRNA-1_1&gene=genemark-LADA0G-processed-gene-13.141&CDS=1-603, genemark-LADA0H-processed-gene-2.42-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.42&CDS=1-741, maker-LADA0A-snap-gene-4.106-mRNA-1_1&gene=maker-LADA0A-snap-gene-4.106&CDS=1-489	YKL071W
OG0000012	genemark-LADA0B-processed-gene-0.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-0.29&CDS=1-1530, genemark-LADA0D-processed-gene-1.63-mRNA-1_1&gene=genemark-LADA0D-processed-gene-1.63&CDS=1-1542, genemark-LADA0F-processed-gene-14.97-mRNA-1_1&gene=genemark-LADA0F-processed-gene-14.97&CDS=1-1539, maker-LADA0F-augustus-gene-13.51-mRNA-1_1&gene=maker-LADA0F-augustus-gene-13.51&CDS=1-3240	YDL138W, YDL194W
OG0000013	genemark-LADA0B-processed-gene-1.35-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.35&CDS=1-5847, genemark-LADA0F-processed-gene-3.100-mRNA-1_1&gene=genemark-LADA0F-processed-gene-3.100&CDS=1-6510, snap_masked-LADA0G-processed-gene-14.206-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.206&CDS=1-2901	YER172C, YGL251C, YGR271W
OG0000014	augustus_masked-LADA0D-processed-gene-8.13-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.13&CDS=1-1383, genemark-LADA0B-processed-gene-8.37-mRNA-1_1&gene=genemark-LADA0B-processed-gene-8.37&CDS=1-2328, snap_masked-LADA0F-processed-gene-14.22-mRNA-1_1&gene=snap_masked-LADA0F-processed-gene-14.22&CDS=1-2196	YKL222C, YOR162C, YOR172W
OG0000015	genemark-LADA0B-processed-gene-9.201-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.201&CDS=1-1407	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000016	genemark-LADA0C-processed-gene-2.132-mRNA-1_1&gene=genemark-LADA0C-processed-gene-2.132&CDS=1-1818, genemark-LADA0E-processed-gene-11.12-mRNA-1_1&gene=genemark-LADA0E-processed-gene-11.12&CDS=1-1968, genemark-LADA0G-processed-gene-13.116-mRNA-1_1&gene=genemark-LADA0G-processed-gene-13.116&CDS=1-1821	YBL042C, YBR021W, YIR028W
OG0000017	genemark-LADA0E-processed-gene-1.140-mRNA-1_1&gene=genemark-LADA0E-processed-gene-1.140&CDS=1-1401, genemark-LADA0H-processed-gene-9.47-mRNA-1_1&gene=genemark-LADA0H-processed-gene-9.47&CDS=1-1566, maker-LADA0E-augustus-gene-7.89-mRNA-1_1&gene=maker-LADA0E-augustus-gene-7.89&CDS=1-4353	YHR048W, YLR034C, YOL122C
OG0000018	augustus_masked-LADA0F-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-LADA0F-processed-gene-5.55&CDS=1-1734, genemark-LADA0F-processed-gene-9.27-mRNA-1_1&gene=genemark-LADA0F-processed-gene-9.27&CDS=1-996, genemark-LADA0H-processed-gene-13.2-mRNA-1_1&gene=genemark-LADA0H-processed-gene-13.2&CDS=1-987	YGR192C, YJL052W, YJR009C
OG0000019	genemark-LADA0A-processed-gene-0.98-mRNA-1_1&gene=genemark-LADA0A-processed-gene-0.98&CDS=1-1596, genemark-LADA0B-processed-gene-9.206-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.206&CDS=1-1572, genemark-LADA0E-processed-gene-13.26-mRNA-1_1&gene=genemark-LADA0E-processed-gene-13.26&CDS=1-1605, genemark-LADA0E-processed-gene-9.108-mRNA-1_1&gene=genemark-LADA0E-processed-gene-9.108&CDS=1-1719	YBR008C
OG0000020	genemark-LADA0A-processed-gene-3.5-mRNA-1_1&gene=genemark-LADA0A-processed-gene-3.5&CDS=1-1248, snap_masked-LADA0E-processed-gene-2.105-mRNA-1_1&gene=snap_masked-LADA0E-processed-gene-2.105&CDS=1-1053	YIR013C, YLR013W, YMR136W
OG0000021	augustus_masked-LADA0A-processed-gene-4.149-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-4.149&CDS=1-2157, augustus_masked-LADA0E-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-8.78&CDS=1-1764	YER001W, YGL257C, YNR059W
OG0000022	genemark-LADA0A-processed-gene-6.18-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.18&CDS=1-4518, maker-LADA0F-augustus-gene-11.81-mRNA-1_1&gene=maker-LADA0F-augustus-gene-11.81&CDS=1-5478	YDR011W, YDR406W, YOR153W
OG0000023	genemark-LADA0A-processed-gene-7.167-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.167&CDS=1-1566, genemark-LADA0D-processed-gene-4.16-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.16&CDS=1-1575, maker-LADA0F-snap-gene-10.151-mRNA-1_1&gene=maker-LADA0F-snap-gene-10.151&CDS=1-1956	YOR374W, YPL061W
OG0000024	augustus_masked-LADA0G-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-0.58&CDS=1-1638, genemark-LADA0A-processed-gene-7.173-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.173&CDS=1-3135, snap_masked-LADA0B-processed-gene-0.78-mRNA-1_1&gene=snap_masked-LADA0B-processed-gene-0.78&CDS=1-1737, snap_masked-LADA0C-processed-gene-10.56-mRNA-1_1&gene=snap_masked-LADA0C-processed-gene-10.56&CDS=1-1644, snap_masked-LADA0F-processed-gene-0.59-mRNA-1_1&gene=snap_masked-LADA0F-processed-gene-0.59&CDS=1-1992	
OG0000025	genemark-LADA0B-processed-gene-5.15-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.15&CDS=1-2463, genemark-LADA0H-processed-gene-3.6-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.6&CDS=1-2715	YCR037C, YJL198W, YNR013C
OG0000026	augustus_masked-LADA0C-processed-gene-10.142-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-10.142&CDS=1-1668, genemark-LADA0B-processed-gene-8.1-mRNA-1_1&gene=genemark-LADA0B-processed-gene-8.1&CDS=1-1740, genemark-LADA0B-processed-gene-9.228-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.228&CDS=1-1752, genemark-LADA0E-processed-gene-0.105-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.105&CDS=1-1644	YOR348C
OG0000027	genemark-LADA0B-processed-gene-9.187-mRNA-1_1&gene=genemark-LADA0B-processed-gene-9.187&CDS=1-1659, genemark-LADA0C-processed-gene-0.21-mRNA-1_1&gene=genemark-LADA0C-processed-gene-0.21&CDS=1-1683, genemark-LADA0H-processed-gene-2.38-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.38&CDS=1-1728	YEL063C, YNL268W
OG0000028	genemark-LADA0C-processed-gene-0.6-mRNA-1_1&gene=genemark-LADA0C-processed-gene-0.6&CDS=1-3300, genemark-LADA0G-processed-gene-0.102-mRNA-1_1&gene=genemark-LADA0G-processed-gene-0.102&CDS=1-3273	YDR038C, YDR039C, YDR040C
OG0000029	genemark-LADA0C-processed-gene-10.211-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.211&CDS=1-1458, genemark-LADA0E-processed-gene-0.108-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.108&CDS=1-1437, genemark-LADA0F-processed-gene-10.20-mRNA-1_1&gene=genemark-LADA0F-processed-gene-10.20&CDS=1-1428, genemark-LADA0H-processed-gene-3.38-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.38&CDS=1-1221	YOL119C
OG0000030	genemark-LADA0C-processed-gene-10.271-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.271&CDS=1-720	YDR533C, YMR322C, YOR391C, YPL280W
OG0000031	augustus_masked-LADA0G-processed-gene-8.14-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-8.14&CDS=1-1701, genemark-LADA0D-processed-gene-6.125-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.125&CDS=1-1800, genemark-LADA0G-processed-gene-0.108-mRNA-1_1&gene=genemark-LADA0G-processed-gene-0.108&CDS=1-1692	YDL080C, YLR044C
OG0000032	genemark-LADA0D-processed-gene-10.118-mRNA-1_1&gene=genemark-LADA0D-processed-gene-10.118&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000033	genemark-LADA0F-processed-gene-14.124-mRNA-1_1&gene=genemark-LADA0F-processed-gene-14.124&CDS=1-1533, maker-LADA0E-snap-gene-9.36-mRNA-1_1&gene=maker-LADA0E-snap-gene-9.36&CDS=1-3300	YIL120W, YIL121W, YNL065W
OG0000034	genemark-LADA0F-processed-gene-2.90-mRNA-1_1&gene=genemark-LADA0F-processed-gene-2.90&CDS=1-348, snap_masked-LADA0F-processed-gene-14.25-mRNA-1_1&gene=snap_masked-LADA0F-processed-gene-14.25&CDS=1-3624	YCR089W, YDR134C, YLR110C
OG0000035	augustus_masked-LADA0G-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-10.86&CDS=1-1179, genemark-LADA0F-processed-gene-5.35-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.35&CDS=1-1053	YMR083W, YMR303C, YOL086C
OG0000036	genemark-LADA0F-processed-gene-9.3-mRNA-1_1&gene=genemark-LADA0F-processed-gene-9.3&CDS=1-4527	YBL017C, YIL173W, YJL222W, YNR065C
OG0000037	genemark-LADA0G-processed-gene-0.97-mRNA-1_1&gene=genemark-LADA0G-processed-gene-0.97&CDS=1-1122	YCR107W, YDL243C, YJR155W, YNL331C
OG0000038	maker-LADA0H-snap-gene-15.87-mRNA-1_1&gene=maker-LADA0H-snap-gene-15.87&CDS=1-246	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000039	genemark-LADA0A-processed-gene-0.77-mRNA-1_1&gene=genemark-LADA0A-processed-gene-0.77&CDS=1-1122, maker-LADA0G-augustus-gene-3.42-mRNA-1_1&gene=maker-LADA0G-augustus-gene-3.42&CDS=1-2568	YGL184C, YGL185C
OG0000040	genemark-LADA0A-processed-gene-0.83-mRNA-1_1&gene=genemark-LADA0A-processed-gene-0.83&CDS=1-4110, genemark-LADA0H-processed-gene-2.40-mRNA-1_1&gene=genemark-LADA0H-processed-gene-2.40&CDS=1-5913	YIL159W, YNL271C
OG0000041	augustus_masked-LADA0G-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-LADA0G-processed-gene-4.12&CDS=1-3306, genemark-LADA0A-processed-gene-1.45-mRNA-1_1&gene=genemark-LADA0A-processed-gene-1.45&CDS=1-2088	YBL011W, YKR067W
OG0000042	augustus_masked-LADA0F-processed-gene-8.82-mRNA-1_1&gene=augustus_masked-LADA0F-processed-gene-8.82&CDS=1-5097, genemark-LADA0A-processed-gene-2.4-mRNA-1_1&gene=genemark-LADA0A-processed-gene-2.4&CDS=1-2970	YDR270W, YLR314C
OG0000043	genemark-LADA0A-processed-gene-2.14-mRNA-1_1&gene=genemark-LADA0A-processed-gene-2.14&CDS=1-3321, genemark-LADA0F-processed-gene-1.24-mRNA-1_1&gene=genemark-LADA0F-processed-gene-1.24&CDS=1-3066	YBR245C, YOR304W
OG0000044	augustus_masked-LADA0A-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-LADA0A-processed-gene-5.104&CDS=1-3681, genemark-LADA0D-processed-gene-4.7-mRNA-1_1&gene=genemark-LADA0D-processed-gene-4.7&CDS=1-2163	YIL039W, YPL074W
OG0000045	genemark-LADA0A-processed-gene-6.28-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.28&CDS=1-951, genemark-LADA0C-processed-gene-9.22-mRNA-1_1&gene=genemark-LADA0C-processed-gene-9.22&CDS=1-921	YGR086C, YPL004C
OG0000046	genemark-LADA0A-processed-gene-6.17-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.17&CDS=1-1533, genemark-LADA0F-processed-gene-0.91-mRNA-1_1&gene=genemark-LADA0F-processed-gene-0.91&CDS=1-1527	YBR020W, YDR009W
OG0000047	genemark-LADA0A-processed-gene-6.35-mRNA-1_1&gene=genemark-LADA0A-processed-gene-6.35&CDS=1-2793, genemark-LADA0E-processed-gene-6.4-mRNA-1_1&gene=genemark-LADA0E-processed-gene-6.4&CDS=1-4470	YBR038W, YNL192W
OG0000048	genemark-LADA0A-processed-gene-7.142-mRNA-1_1&gene=genemark-LADA0A-processed-gene-7.142&CDS=1-1929, genemark-LADA0G-processed-gene-9.5-mRNA-1_1&gene=genemark-LADA0G-processed-gene-9.5&CDS=1-1611	YJR130C, YLL058W
OG0000049	genemark-LADA0B-processed-gene-1.33-mRNA-1_1&gene=genemark-LADA0B-processed-gene-1.33&CDS=1-1581, genemark-LADA0F-processed-gene-5.38-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.38&CDS=1-1500	YBR139W, YMR297W
OG0000050	genemark-LADA0B-processed-gene-4.0-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.0&CDS=1-2484, genemark-LADA0H-processed-gene-9.1-mRNA-1_1&gene=genemark-LADA0H-processed-gene-9.1&CDS=1-1782	YGL073W, YOR140W
OG0000051	genemark-LADA0B-processed-gene-4.24-mRNA-1_1&gene=genemark-LADA0B-processed-gene-4.24&CDS=1-2235, genemark-LADA0G-processed-gene-10.106-mRNA-1_1&gene=genemark-LADA0G-processed-gene-10.106&CDS=1-2466	YER017C, YMR089C
OG0000052	genemark-LADA0B-processed-gene-5.18-mRNA-1_1&gene=genemark-LADA0B-processed-gene-5.18&CDS=1-2898, genemark-LADA0D-processed-gene-8.125-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.125&CDS=1-2946	YGR240C, YMR205C
OG0000053	augustus_masked-LADA0B-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-6.58&CDS=1-4269, genemark-LADA0E-processed-gene-10.115-mRNA-1_1&gene=genemark-LADA0E-processed-gene-10.115&CDS=1-2367	YBR060C, YIL095W
OG0000054	genemark-LADA0B-processed-gene-7.29-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.29&CDS=1-792	YLL052C, YLL053C, YPR192W
OG0000055	augustus_masked-LADA0B-processed-gene-9.136-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-9.136&CDS=1-1992, genemark-LADA0B-processed-gene-7.51-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.51&CDS=1-957	YDR492W, YOL003C
OG0000056	genemark-LADA0B-processed-gene-7.55-mRNA-1_1&gene=genemark-LADA0B-processed-gene-7.55&CDS=1-921, genemark-LADA0B-processed-gene-8.4-mRNA-1_1&gene=genemark-LADA0B-processed-gene-8.4&CDS=1-921	YDR368W, YOR120W
OG0000057	augustus_masked-LADA0B-processed-gene-9.109-mRNA-1_1&gene=augustus_masked-LADA0B-processed-gene-9.109&CDS=1-2313, genemark-LADA0H-processed-gene-1.67-mRNA-1_1&gene=genemark-LADA0H-processed-gene-1.67&CDS=1-2022	YLR188W, YPL270W
OG0000058	augustus_masked-LADA0D-processed-gene-11.213-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-11.213&CDS=1-906, snap_masked-LADA0C-processed-gene-0.75-mRNA-1_1&gene=snap_masked-LADA0C-processed-gene-0.75&CDS=1-1092, snap_masked-LADA0E-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LADA0E-processed-gene-0.4&CDS=1-1092, snap_masked-LADA0G-processed-gene-14.265-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.265&CDS=1-1092	
OG0000059	augustus_masked-LADA0C-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-0.55&CDS=1-1287, genemark-LADA0E-processed-gene-0.107-mRNA-1_1&gene=genemark-LADA0E-processed-gene-0.107&CDS=1-1728, snap_masked-LADA0G-processed-gene-14.215-mRNA-1_1&gene=snap_masked-LADA0G-processed-gene-14.215&CDS=1-1503	YML054C
OG0000060	genemark-LADA0C-processed-gene-0.9-mRNA-1_1&gene=genemark-LADA0C-processed-gene-0.9&CDS=1-1770	YLR237W, YOR071C, YOR192C
OG0000061	genemark-LADA0C-processed-gene-1.38-mRNA-1_1&gene=genemark-LADA0C-processed-gene-1.38&CDS=1-573, genemark-LADA0E-processed-gene-9.88-mRNA-1_1&gene=genemark-LADA0E-processed-gene-9.88&CDS=1-573	YGL147C, YNL067W
OG0000062	genemark-LADA0C-processed-gene-5.66-mRNA-1_1&gene=genemark-LADA0C-processed-gene-5.66&CDS=1-2424, genemark-LADA0D-processed-gene-8.133-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.133&CDS=1-2592	YMR054W, YOR270C
OG0000063	augustus_masked-LADA0C-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-6.30&CDS=1-2469, genemark-LADA0D-processed-gene-7.47-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.47&CDS=1-2271	YBL052C, YOR244W
OG0000064	genemark-LADA0C-processed-gene-6.78-mRNA-1_1&gene=genemark-LADA0C-processed-gene-6.78&CDS=1-2616, genemark-LADA0E-processed-gene-7.12-mRNA-1_1&gene=genemark-LADA0E-processed-gene-7.12&CDS=1-2451	YHR028C, YOR219C
OG0000065	augustus_masked-LADA0C-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-8.0&CDS=1-2802, genemark-LADA0E-processed-gene-7.21-mRNA-1_1&gene=genemark-LADA0E-processed-gene-7.21&CDS=1-1833	YKL146W, YNL101W
OG0000066	augustus_masked-LADA0C-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-LADA0C-processed-gene-8.26&CDS=1-4611, genemark-LADA0F-processed-gene-2.89-mRNA-1_1&gene=genemark-LADA0F-processed-gene-2.89&CDS=1-4488	YDR135C, YLL015W
OG0000067	genemark-LADA0C-processed-gene-8.127-mRNA-1_1&gene=genemark-LADA0C-processed-gene-8.127&CDS=1-2325, genemark-LADA0H-processed-gene-3.24-mRNA-1_1&gene=genemark-LADA0H-processed-gene-3.24&CDS=1-2361	YJL200C, YLR304C
OG0000068	genemark-LADA0C-processed-gene-8.133-mRNA-1_1&gene=genemark-LADA0C-processed-gene-8.133&CDS=1-3219, genemark-LADA0G-processed-gene-14.18-mRNA-1_1&gene=genemark-LADA0G-processed-gene-14.18&CDS=1-2517	YFR040W, YKR028W
OG0000069	genemark-LADA0C-processed-gene-9.36-mRNA-1_1&gene=genemark-LADA0C-processed-gene-9.36&CDS=1-1644, maker-LADA0E-snap-gene-13.155-mRNA-1_1&gene=maker-LADA0E-snap-gene-13.155&CDS=1-3270	YLR343W, YMR307W
OG0000070	augustus_masked-LADA0E-processed-gene-13.91-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-13.91&CDS=1-5295, genemark-LADA0C-processed-gene-9.37-mRNA-1_1&gene=genemark-LADA0C-processed-gene-9.37&CDS=1-5697	YLR342W, YMR306W
OG0000071	augustus_masked-LADA0H-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-LADA0H-processed-gene-11.9&CDS=1-1479, genemark-LADA0C-processed-gene-10.238-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.238&CDS=1-1407	YBR263W, YLR058C
OG0000072	genemark-LADA0C-processed-gene-10.198-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.198&CDS=1-1146, genemark-LADA0D-processed-gene-7.9-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.9&CDS=1-1149	YFL039C, YHR129C
OG0000073	genemark-LADA0C-processed-gene-10.250-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.250&CDS=1-1857, genemark-LADA0D-processed-gene-8.131-mRNA-1_1&gene=genemark-LADA0D-processed-gene-8.131&CDS=1-1848	YFL041W, YMR058W
OG0000074	augustus_masked-LADA0E-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-LADA0E-processed-gene-6.124&CDS=1-2007, genemark-LADA0C-processed-gene-10.267-mRNA-1_1&gene=genemark-LADA0C-processed-gene-10.267&CDS=1-2301	YHR035W, YPR181C
OG0000075	augustus_masked-LADA0D-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-0.69&CDS=1-4374, genemark-LADA0G-processed-gene-3.105-mRNA-1_1&gene=genemark-LADA0G-processed-gene-3.105&CDS=1-1347	YGL194C, YNL330C
OG0000076	genemark-LADA0D-processed-gene-1.64-mRNA-1_1&gene=genemark-LADA0D-processed-gene-1.64&CDS=1-3351, genemark-LADA0E-processed-gene-5.5-mRNA-1_1&gene=genemark-LADA0E-processed-gene-5.5&CDS=1-7608	YJL130C, YJR109C
OG0000077	augustus_masked-LADA0D-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-4.47&CDS=1-1182, genemark-LADA0F-processed-gene-12.140-mRNA-1_1&gene=genemark-LADA0F-processed-gene-12.140&CDS=1-1317	YDL131W, YDL182W
OG0000078	genemark-LADA0D-processed-gene-5.9-mRNA-1_1&gene=genemark-LADA0D-processed-gene-5.9&CDS=1-1560, maker-LADA0E-augustus-gene-12.53-mRNA-1_1&gene=maker-LADA0E-augustus-gene-12.53&CDS=1-2901	YDR256C, YGR088W
OG0000079	genemark-LADA0D-processed-gene-6.98-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.98&CDS=1-396, genemark-LADA0F-processed-gene-5.47-mRNA-1_1&gene=genemark-LADA0F-processed-gene-5.47&CDS=1-396	YBL002W, YDR224C
OG0000080	genemark-LADA0D-processed-gene-6.107-mRNA-1_1&gene=genemark-LADA0D-processed-gene-6.107&CDS=1-1548, genemark-LADA0G-processed-gene-4.109-mRNA-1_1&gene=genemark-LADA0G-processed-gene-4.109&CDS=1-1269	YER123W, YHR135C
OG0000081	genemark-LADA0D-processed-gene-7.18-mRNA-1_1&gene=genemark-LADA0D-processed-gene-7.18&CDS=1-1104	YCR102C, YLR460C, YNL134C
OG0000082	augustus_masked-LADA0D-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-LADA0D-processed-gene-8.30&CDS=1-1698	YHL009W-B, YJL113W, YPL060C-A
