	Saccharomyces_cerevisiae	yHMPu5000035665_Middelhovenomyces_tepae
OG0000015		genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.112-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-1.112&CDS=1-1668, genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.72-mRNA-1_1&gene=genemark-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-2.72&CDS=1-1626, genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-4.5-mRNA-1_1&gene=genemark-NODE_12_length_626086_cov_24.2041_ID_1287-processed-gene-4.5&CDS=1-1722, genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.121-mRNA-1_1&gene=genemark-NODE_14_length_356149_cov_25.4901_ID_2492-processed-gene-2.121&CDS=1-1662, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-2.34-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-2.34&CDS=1-1869, snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.46-mRNA-1_1&gene=snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.46&CDS=1-1797
OG0000016	YAL053W, YGL139W, YPL221W	genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.40-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.40&CDS=1-2175, genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.41-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.41&CDS=1-2145
OG0000017	YAR019C, YDR523C	augustus_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.141-mRNA-1_1&gene=augustus_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-8.141&CDS=1-1593, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-0.102&CDS=1-3450, genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.81-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-7.81&CDS=1-1425
OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-8.92-mRNA-1_1&gene=genemark-NODE_7_length_1040589_cov_22.9083_ID_1654-processed-gene-8.92&CDS=1-4356
OG0000019	YBL095W, YER182W	genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-1.69&CDS=1-852, genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-4.55-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-4.55&CDS=1-735, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-3.81-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-3.81&CDS=1-729
OG0000020	YBR072W, YDR171W	genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_17_length_270480_cov_22.9934_ID_2193-processed-gene-0.67&CDS=1-627, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.64&CDS=1-567, snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.45-mRNA-1_1&gene=snap_masked-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.45&CDS=1-741
OG0000021	YBR298C, YDL247W, YJR160C	genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.105-mRNA-1_1&gene=genemark-NODE_2_length_1239734_cov_23.249_ID_1403-processed-gene-11.105&CDS=1-1647, genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.59-mRNA-1_1&gene=genemark-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-5.59&CDS=1-1647
OG0000022	YCL074W	augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.71-mRNA-1_1&gene=augustus_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.71&CDS=1-1248, snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.29-mRNA-1_1&gene=snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.29&CDS=1-327, snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.30-mRNA-1_1&gene=snap_masked-NODE_10_length_765085_cov_24.1526_ID_2370-processed-gene-4.30&CDS=1-378, snap_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-7.124&CDS=1-468
OG0000023	YCR102C, YLR460C, YNL134C	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.51&CDS=1-1158, maker-NODE_17_length_270480_cov_22.9934_ID_2193-snap-gene-1.247-mRNA-1_1&gene=maker-NODE_17_length_270480_cov_22.9934_ID_2193-snap-gene-1.247&CDS=1-2286
OG0000024	YDL159W, YOR231W, YPL140C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.139-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.139&CDS=1-1095, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-3.86&CDS=1-1251
OG0000025	YDL244W, YFL058W, YJR156C, YNL332W	maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.53-mRNA-1_1&gene=maker-NODE_12_length_626086_cov_24.2041_ID_1287-augustus-gene-2.53&CDS=1-1014
OG0000026	YDR107C, YER113C, YLR083C	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.117-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-1.117&CDS=1-1890, genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-3.77-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-3.77&CDS=1-1875
OG0000027	YDR144C, YLR120C, YLR121C	genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.83-mRNA-1_1&gene=genemark-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-4.83&CDS=1-1602, maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-2.50-mRNA-1_1&gene=maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-2.50&CDS=1-2985
OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-2.57-mRNA-1_1&gene=genemark-NODE_1_length_1691314_cov_23.5033_ID_3491-processed-gene-2.57&CDS=1-717
OG0000029	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-NODE_11_length_694907_cov_23.5408_ID_3019-processed-gene-4.35&CDS=1-1005
OG0000030	YGL138C	augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_9_length_851872_cov_23.7286_ID_1923-processed-gene-1.30&CDS=1-654, genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_16_length_288003_cov_22.4727_ID_2322-processed-gene-0.22&CDS=1-1047, genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.110-mRNA-1_1&gene=genemark-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-1.110&CDS=1-1065, snap_masked-NODE_20_length_110389_cov_22.8472_ID_2902-processed-gene-0.142-mRNA-1_1&gene=snap_masked-NODE_20_length_110389_cov_22.8472_ID_2902-processed-gene-0.142&CDS=1-993
OG0000031	YGR070W, YLR371W, YLR425W	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-8.63-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-8.63&CDS=1-4689, genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.50-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-9.50&CDS=1-3375
OG0000032	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_3_length_1219547_cov_23.6558_ID_2013-processed-gene-1.71&CDS=1-1437
OG0000033	YGR192C, YJL052W, YJR009C	genemark-NODE_25_length_19797_cov_21.8669_ID_3086-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_25_length_19797_cov_21.8669_ID_3086-processed-gene-0.9&CDS=1-1011, genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.94-mRNA-1_1&gene=genemark-NODE_6_length_1060276_cov_25.4502_ID_2229-processed-gene-4.94&CDS=1-1011
OG0000034	YGR203W, YPR200C	genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.14-mRNA-1_1&gene=genemark-NODE_4_length_1208358_cov_23.5021_ID_1139-processed-gene-9.14&CDS=1-423, genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.274-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-10.274&CDS=1-441, genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-7.23-mRNA-1_1&gene=genemark-NODE_5_length_1193255_cov_22.3319_ID_1222-processed-gene-7.23&CDS=1-363
OG0000035	YGR248W, YHR163W, YNR034W	maker-NODE_6_length_1060276_cov_25.4502_ID_2229-augustus-gene-4.112-mRNA-1_1&gene=maker-NODE_6_length_1060276_cov_25.4502_ID_2229-augustus-gene-4.112&CDS=1-747, maker-NODE_7_length_1040589_cov_22.9083_ID_1654-augustus-gene-8.60-mRNA-1_1&gene=maker-NODE_7_length_1040589_cov_22.9083_ID_1654-augustus-gene-8.60&CDS=1-789
OG0000036	YIL120W, YIL121W, YNL065W	genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_19_length_184328_cov_26.1845_ID_2662-processed-gene-0.118&CDS=1-1662, snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.280-mRNA-1_1&gene=snap_masked-NODE_8_length_986125_cov_23.6789_ID_1757-processed-gene-8.280&CDS=1-1554
OG0000037	YIR001C, YPR163C	genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-0.36&CDS=1-540, genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.171-mRNA-1_1&gene=genemark-NODE_13_length_356436_cov_25.4749_ID_1823-processed-gene-2.171&CDS=1-1491, maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-2.48-mRNA-1_1&gene=maker-NODE_11_length_694907_cov_23.5408_ID_3019-snap-gene-2.48&CDS=1-546
