	Priceomyces_haplophilus	Saccharomyces_cerevisiae
OG0000010	-processed-gene-2.136-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.136&CDS=1-1386, -processed-gene-9.223-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.223&CDS=1-1383	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000011	-processed-gene-1.95-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.95&CDS=1-4623, -processed-gene-2.105-mRNA-1_1&gene=genemark-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-2.105&CDS=1-4956, -processed-gene-8.43-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-8.43&CDS=1-4779, -processed-gene-9.51-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.51&CDS=1-4080	YDR135C, YGR281W, YLL048C
OG0000012	-augustus-gene-13.45-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-augustus-gene-13.45&CDS=1-2421, -processed-gene-0.80-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-0.80&CDS=1-1245, -processed-gene-5.32-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.32&CDS=1-1641, -processed-gene-6.0-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-6.0&CDS=1-1815, -processed-gene-6.157-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.157&CDS=1-1548	YFL021W, YKR034W
OG0000013	-augustus-gene-6.161-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-augustus-gene-6.161&CDS=1-4767, -processed-gene-18.86-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-18.86&CDS=1-3348, -processed-gene-3.39-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.39&CDS=1-9165, -processed-gene-8.132-mRNA-1_1&gene=augustus_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.132&CDS=1-2418	YAR019C, YHL007C, YNL298W
OG0000014	-processed-gene-0.100-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-0.100&CDS=1-3396, -processed-gene-5.73-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-5.73&CDS=1-1716, -processed-gene-8.84-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-8.84&CDS=1-2196	YCR065W, YIL131C, YNL068C, YPR104C
OG0000015	-processed-gene-9.10-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-9.10&CDS=1-1968, -processed-gene-9.71-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-9.71&CDS=1-747, -snap-gene-6.45-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-6.45&CDS=1-2871	YKL040C, YMR006C, YMR008C, YOL011W
OG0000016	-processed-gene-2.53-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.53&CDS=1-1665, -processed-gene-2.9-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.9&CDS=1-3240, -snap-gene-13.199-mRNA-1_1&gene=maker-gi|1002316137|dbj|BCIF01000003.1|-snap-gene-13.199&CDS=1-3672	YCL069W, YGR224W, YKR105C, YPR198W
OG0000017	-processed-gene-0.79-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-0.79&CDS=1-2808, -processed-gene-0.88-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.88&CDS=1-2475	YDR326C, YFL042C, YHR080C, YLR072W
OG0000018	-processed-gene-0.90-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-0.90&CDS=1-1488, -processed-gene-8.25-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-8.25&CDS=1-4098	YDL155W, YGR108W, YLR210W, YPR119W
OG0000019	-processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.62&CDS=1-1626, -processed-gene-0.62-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-0.62&CDS=1-1617, -processed-gene-1.30-mRNA-1_1&gene=genemark-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-1.30&CDS=1-1770, -processed-gene-17.151-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-17.151&CDS=1-1710	YBR293W, YMR088C
OG0000020	-processed-gene-1.163-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-1.163&CDS=1-2631, -processed-gene-5.74-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-5.74&CDS=1-2589, -processed-gene-8.84-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.84&CDS=1-2652	YLL005C, YMR266W, YOL084W
OG0000021	-augustus-gene-8.163-mRNA-1_1&gene=maker-gi|1002316133|dbj|BCIF01000007.1|-augustus-gene-8.163&CDS=1-2700, -processed-gene-11.60-mRNA-1_1&gene=augustus_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-11.60&CDS=1-2040, -processed-gene-8.65-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-8.65&CDS=1-2022, -processed-gene-8.82-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-8.82&CDS=1-1692	YBR015C, YLR351C
OG0000022	-processed-gene-12.8-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.8&CDS=1-2631, -processed-gene-3.55-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-3.55&CDS=1-2115, -processed-gene-8.95-mRNA-1_1&gene=augustus_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.95&CDS=1-2211	YML111W, YMR275C, YNR069C
OG0000023	-processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-4.110&CDS=1-2388, -processed-gene-6.111-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-6.111&CDS=1-2766, -processed-gene-6.28-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-6.28&CDS=1-2082	YDL056W, YER111C, YLR182W
OG0000024	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-1.66&CDS=1-1482, -processed-gene-12.149-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-12.149&CDS=1-1113, -processed-gene-8.128-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-8.128&CDS=1-1746, -processed-gene-9.71-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-9.71&CDS=1-1617, -processed-gene-9.98-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-9.98&CDS=1-2358	YDR207C
OG0000025	-processed-gene-0.64-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-0.64&CDS=1-1725, -processed-gene-4.115-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-4.115&CDS=1-6600, -snap-gene-10.160-mRNA-1_1&gene=maker-gi|1002316138|dbj|BCIF01000002.1|-snap-gene-10.160&CDS=1-1632	YBR235W, YDR243C, YNL112W
OG0000026	-processed-gene-13.50-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-13.50&CDS=1-1614, -processed-gene-3.85-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-3.85&CDS=1-1740	YER054C, YIL045W, YLR273C, YOR178C
OG0000027	-processed-gene-6.153-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-6.153&CDS=1-3387, -processed-gene-6.50-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-6.50&CDS=1-444, -processed-gene-9.35-mRNA-1_1&gene=genemark-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-9.35&CDS=1-3483	YDR216W, YJR127C, YML081W
OG0000028	-processed-gene-1.39-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-1.39&CDS=1-2586, -processed-gene-7.96-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.96&CDS=1-2688	YDR069C, YER144C, YIL156W, YKR098C
OG0000029	-processed-gene-10.155-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-10.155&CDS=1-3330, -processed-gene-14.115-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-14.115&CDS=1-1749, -processed-gene-2.81-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-2.81&CDS=1-1662, -processed-gene-6.128-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-6.128&CDS=1-1803	YDR338C, YHR032W
OG0000030	-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-1.112&CDS=1-6603, -processed-gene-10.169-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-10.169&CDS=1-4473, -processed-gene-5.33-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-5.33&CDS=1-1641	YJL095W, YLR362W, YOR137C
OG0000031	-processed-gene-0.69-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-0.69&CDS=1-1350, -processed-gene-14.124-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-14.124&CDS=1-2265, -processed-gene-18.93-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-18.93&CDS=1-1314, -processed-gene-9.86-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.86&CDS=1-1389	YLR380W
OG0000032	-processed-gene-7.69-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-7.69&CDS=1-1320, -processed-gene-9.56-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-9.56&CDS=1-1626, -snap-gene-1.47-mRNA-1_1&gene=maker-gi|1002316132|dbj|BCIF01000008.1|-snap-gene-1.47&CDS=1-975	YDR143C, YDR265W
OG0000033	-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-2.51&CDS=1-5571, -processed-gene-8.31-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-8.31&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000034	-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.126&CDS=1-3411	YBL068W-A, YBL069W, YER101C, YMR152W
OG0000035	-processed-gene-11.20-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-11.20&CDS=1-2529, -processed-gene-5.128-mRNA-1_1&gene=augustus_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-5.128&CDS=1-3315	YFL050C, YKL064W, YOL130W
OG0000036	-processed-gene-11.60-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-11.60&CDS=1-1674, -processed-gene-6.145-mRNA-1_1&gene=genemark-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-6.145&CDS=1-1602, -processed-gene-9.136-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.136&CDS=1-1665	YLR343W, YMR307W
OG0000037	-processed-gene-0.66-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.66&CDS=1-1152, -processed-gene-7.86-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.86&CDS=1-1116, -processed-gene-9.53-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.53&CDS=1-1122	YCR105W, YMR318C
OG0000038	-processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-0.67&CDS=1-1419, -processed-gene-16.170-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-16.170&CDS=1-1497, -processed-gene-3.88-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-3.88&CDS=1-1377, -processed-gene-9.29-mRNA-1_1&gene=snap_masked-gi|1002316132|dbj|BCIF01000008.1|-processed-gene-9.29&CDS=1-1527	YHR176W
OG0000039	-processed-gene-0.114-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-0.114&CDS=1-3906, -processed-gene-3.61-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.61&CDS=1-3807	YJL042W, YOR227W, YPL137C
OG0000040	-processed-gene-0.103-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-0.103&CDS=1-2274, -processed-gene-4.18-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-4.18&CDS=1-3225, -processed-gene-4.86-mRNA-1_1&gene=snap_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-4.86&CDS=1-2535	YBR114W, YOR191W
OG0000041	-processed-gene-5.42-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-5.42&CDS=1-2319, -processed-gene-7.69-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-7.69&CDS=1-2322	YAL053W, YGL139W, YPL221W
OG0000042	-processed-gene-3.87-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-3.87&CDS=1-1179, -processed-gene-6.123-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.123&CDS=1-1266, -processed-gene-7.67-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.67&CDS=1-1242	YBR207W, YER145C
OG0000043	-processed-gene-6.11-mRNA-1_1&gene=snap_masked-gi|1002316139|dbj|BCIF01000001.1|-processed-gene-6.11&CDS=1-1209, -processed-gene-6.155-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-6.155&CDS=1-1296	YCR094W, YNL323W, YNR048W
OG0000044	-processed-gene-7.82-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-7.82&CDS=1-1149, -processed-gene-9.197-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-9.197&CDS=1-999	YNL283C, YOL105C, YOR008C
OG0000045	-processed-gene-8.121-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-8.121&CDS=1-1395, -processed-gene-9.18-mRNA-1_1&gene=snap_masked-gi|1002316135|dbj|BCIF01000005.1|-processed-gene-9.18&CDS=1-1311	YBL089W, YER119C, YIL088C
OG0000046	-augustus-gene-6.2-mRNA-1_1&gene=maker-gi|1002316134|dbj|BCIF01000006.1|-augustus-gene-6.2&CDS=1-2448, -processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-0.45&CDS=1-1629, -processed-gene-13.132-mRNA-1_1&gene=snap_masked-gi|1002316137|dbj|BCIF01000003.1|-processed-gene-13.132&CDS=1-1632, -processed-gene-9.124-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.124&CDS=1-1620	YFL040W
OG0000047	-processed-gene-12.66-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-12.66&CDS=1-5301, -processed-gene-9.61-mRNA-1_1&gene=augustus_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.61&CDS=1-6507, -snap-gene-16.40-mRNA-1_1&gene=maker-gi|1002316139|dbj|BCIF01000001.1|-snap-gene-16.40&CDS=1-5325	YGR032W, YMR306W
OG0000048	-augustus-gene-12.119-mRNA-1_1&gene=maker-gi|1002316139|dbj|BCIF01000001.1|-augustus-gene-12.119&CDS=1-2826, -processed-gene-7.104-mRNA-1_1&gene=augustus_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-7.104&CDS=1-1602, -processed-gene-9.149-mRNA-1_1&gene=snap_masked-gi|1002316133|dbj|BCIF01000007.1|-processed-gene-9.149&CDS=1-1614	YGL203C, YMR297W
OG0000049	-snap-gene-0.77-mRNA-1_1&gene=maker-gi|1002316134|dbj|BCIF01000006.1|-snap-gene-0.77&CDS=1-267	YBR297W, YFL052W, YGR288W, YPR196W
OG0000050	-processed-gene-1.84-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-1.84&CDS=1-1689, -processed-gene-2.58-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.58&CDS=1-1782, -processed-gene-5.127-mRNA-1_1&gene=augustus_masked-gi|1002316136|dbj|BCIF01000004.1|-processed-gene-5.127&CDS=1-9441	YBR132C, YLR422W
OG0000051	-processed-gene-11.33-mRNA-1_1&gene=snap_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-11.33&CDS=1-1485, -processed-gene-2.124-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-2.124&CDS=1-993	YBL056W, YBR125C, YER089C
OG0000052	-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-gi|1002316138|dbj|BCIF01000002.1|-processed-gene-2.11&CDS=1-4590, -processed-gene-5.122-mRNA-1_1&gene=snap_masked-gi|1002316134|dbj|BCIF01000006.1|-processed-gene-5.122&CDS=1-3984	YCL024W, YDR477W, YDR507C
