	Metschnikowia_aberdeeniae	Saccharomyces_cerevisiae
OG0000010	augustus_masked-abe-_s13-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-2.162&CDS=1-2526, augustus_masked-abe-_s4-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-0.117&CDS=1-3123, augustus_masked-abe-_s70-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-2.101&CDS=1-2811	YDR385W, YKL173W, YNL163C, YOR133W
OG0000011	augustus_masked-abe-_s13-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-6.53&CDS=1-1191, augustus_masked-abe-_s2-processed-gene-7.114-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.114&CDS=1-966, maker-abe-_s70-snap-gene-6.59-mRNA-1_1&gene=maker-abe-_s70-snap-gene-6.59&CDS=1-2769, snap_masked-abe-_s13-processed-gene-3.55-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-3.55&CDS=1-1884	YKL139W, YPL031C, YPR161C
OG0000012	augustus_masked-abe-_s13-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-5.105&CDS=1-2412, augustus_masked-abe-_s17-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-3.145&CDS=1-957, augustus_masked-abe-_s34-processed-gene-6.221-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.221&CDS=1-963	YBL068W, YER099C, YHL011C, YOL061W
OG0000013	augustus_masked-abe-_s7-processed-gene-11.36-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.36&CDS=1-1539, genemark-abe-_s13-processed-gene-11.258-mRNA-1_1&gene=genemark-abe-_s13-processed-gene-11.258&CDS=1-1104, maker-abe-_s13-augustus-gene-7.105-mRNA-1_1&gene=maker-abe-_s13-augustus-gene-7.105&CDS=1-1461, snap_masked-abe-_s34-processed-gene-5.19-mRNA-1_1&gene=snap_masked-abe-_s34-processed-gene-5.19&CDS=1-1095	YBL016W, YHR030C, YPR054W
OG0000014	augustus_masked-abe-_s7-processed-gene-9.50-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-9.50&CDS=1-4770, augustus_masked-abe-_s70-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-5.43&CDS=1-4713, augustus_masked-abe-_s77-processed-gene-2.172-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.172&CDS=1-4248, maker-abe-_s2-augustus-gene-4.43-mRNA-1_1&gene=maker-abe-_s2-augustus-gene-4.43&CDS=1-4710, snap_masked-abe-_s17-processed-gene-1.78-mRNA-1_1&gene=snap_masked-abe-_s17-processed-gene-1.78&CDS=1-4647	YDR135C, YGR281W
OG0000015	augustus_masked-abe-_C11332-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-abe-_C11332-processed-gene-0.1&CDS=1-201, augustus_masked-abe-_C11608-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-abe-_C11608-processed-gene-0.1&CDS=1-252, augustus_masked-abe-_s34-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.69&CDS=1-402, augustus_masked-abe-_s34-processed-gene-6.226-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.226&CDS=1-252, augustus_masked-abe-_s69-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-abe-_s69-processed-gene-0.21&CDS=1-519	YKL096W
OG0000016	augustus_masked-abe-_s1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.24&CDS=1-2316, augustus_masked-abe-_s12-processed-gene-5.124-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-5.124&CDS=1-9522, snap_masked-abe-_s13-processed-gene-0.73-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-0.73&CDS=1-5361	YDR457W, YER125W, YGL141W
OG0000017	augustus_masked-abe-_s1-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.32&CDS=1-2667, augustus_masked-abe-_s12-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-2.31&CDS=1-2319, maker-abe-_s76-augustus-gene-0.235-mRNA-1_1&gene=maker-abe-_s76-augustus-gene-0.235&CDS=1-3927	YDR145W, YJL212C, YPR194C
OG0000018	augustus_masked-abe-_s12-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-1.146&CDS=1-1077, augustus_masked-abe-_s2-processed-gene-7.205-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-7.205&CDS=1-1080, augustus_masked-abe-_s52-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-abe-_s52-processed-gene-0.18&CDS=1-1083, augustus_masked-abe-_s7-processed-gene-7.20-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.20&CDS=1-1098	YCR105W, YMR318C
OG0000019	augustus_masked-abe-_s2-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-3.100&CDS=1-2409, augustus_masked-abe-_s70-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.38&CDS=1-2571, maker-abe-_s12-augustus-gene-7.1-mRNA-1_1&gene=maker-abe-_s12-augustus-gene-7.1&CDS=1-2973	YEL015W, YGL216W, YPL155C
OG0000020	augustus_masked-abe-_s13-processed-gene-1.162-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.162&CDS=1-2313, augustus_masked-abe-_s25-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-5.18&CDS=1-3120, snap_masked-abe-_s2-processed-gene-3.30-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-3.30&CDS=1-768	YDR326C, YHR080C, YLR441C
OG0000021	augustus_masked-abe-_s13-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-4.146&CDS=1-1791, augustus_masked-abe-_s6-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.36&CDS=1-2220, augustus_masked-abe-_s70-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-4.41&CDS=1-1977	YDL025C, YNL183C, YOR267C
OG0000022	augustus_masked-abe-_s13-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-8.39&CDS=1-3765, augustus_masked-abe-_s34-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.89&CDS=1-4809, augustus_masked-abe-_s77-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.146&CDS=1-1707	YIL126W, YKR008W, YOR290C
OG0000023	augustus_masked-abe-_s13-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-10.80&CDS=1-1896, augustus_masked-abe-_s2-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-0.57&CDS=1-2085, augustus_masked-abe-_s7-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-4.128&CDS=1-1998	YMR006C, YMR008C, YOL011W
OG0000024	augustus_masked-abe-_s7-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-7.12&CDS=1-3681, snap_masked-abe-_s2-processed-gene-4.48-mRNA-1_1&gene=snap_masked-abe-_s2-processed-gene-4.48&CDS=1-1848	YDR380W, YGR087C, YLR044C, YLR134W
OG0000025	augustus_masked-abe-_s4-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.44&CDS=1-1722, genemark-abe-_s77-processed-gene-1.112-mRNA-1_1&gene=genemark-abe-_s77-processed-gene-1.112&CDS=1-1665, snap_masked-abe-_s22-processed-gene-0.8-mRNA-1_1&gene=snap_masked-abe-_s22-processed-gene-0.8&CDS=1-1656	YBR298C, YDL247W, YJR160C
OG0000026	augustus_masked-abe-_s34-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-0.79&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000027	augustus_masked-abe-_s70-processed-gene-7.9-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-7.9&CDS=1-951	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000028		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000029	augustus_masked-abe-_s4-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.66&CDS=1-1185, augustus_masked-abe-_s6-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-abe-_s6-processed-gene-0.43&CDS=1-1248, snap_masked-abe-_C12092-processed-gene-0.0-mRNA-1_1&gene=snap_masked-abe-_C12092-processed-gene-0.0&CDS=1-594	YDR134C, YLR110C
OG0000030	maker-abe-_s4-snap-gene-1.112-mRNA-1_1&gene=maker-abe-_s4-snap-gene-1.112&CDS=1-1848, snap_masked-abe-_C12148-processed-gene-0.2-mRNA-1_1&gene=snap_masked-abe-_C12148-processed-gene-0.2&CDS=1-1374	YBR118W, YKR084C, YPR080W
OG0000031	maker-abe-_s1-augustus-gene-0.5-mRNA-1_1&gene=maker-abe-_s1-augustus-gene-0.5&CDS=1-699, maker-abe-_s1-augustus-gene-0.6-mRNA-1_1&gene=maker-abe-_s1-augustus-gene-0.6&CDS=1-1986	YCL036W, YDR514C, YKL114C
OG0000032	augustus_masked-abe-_s1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-0.48&CDS=1-2946, augustus_masked-abe-_s70-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-5.70&CDS=1-3696, snap_masked-abe-_s7-processed-gene-1.53-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-1.53&CDS=1-3048	YBR038W, YNL192W
OG0000033	augustus_masked-abe-_s1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-1.118&CDS=1-3570, augustus_masked-abe-_s2-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-2.100&CDS=1-3528	YJL042W, YOR227W, YPL137C
OG0000034	augustus_masked-abe-_s1-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-2.35&CDS=1-1212, augustus_masked-abe-_s13-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.119&CDS=1-1971, augustus_masked-abe-_s75-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-2.99&CDS=1-2124	YHR206W, YOR140W
OG0000035	augustus_masked-abe-_s1-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-3.22&CDS=1-1272, augustus_masked-abe-_s2-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-6.110&CDS=1-1395	YBL089W, YER119C, YIL088C
OG0000036	augustus_masked-abe-_s1-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-3.34&CDS=1-1155, augustus_masked-abe-_s12-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.63&CDS=1-1197, augustus_masked-abe-_s13-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-6.54&CDS=1-1188	YBR207W, YER145C
OG0000037	augustus_masked-abe-_s1-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.38&CDS=1-2493, augustus_masked-abe-_s75-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-4.22&CDS=1-2814	YCR037C, YJL198W, YNR013C
OG0000038	augustus_masked-abe-_s1-processed-gene-4.42-mRNA-1_1&gene=augustus_masked-abe-_s1-processed-gene-4.42&CDS=1-3315, augustus_masked-abe-_s12-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.10&CDS=1-3360	YIL002C, YNL106C, YOR109W
OG0000039	augustus_masked-abe-_s10-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-abe-_s10-processed-gene-0.9&CDS=1-1569, augustus_masked-abe-_s13-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-4.139&CDS=1-2295, augustus_masked-abe-_s17-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-1.36&CDS=1-2100	YGL257C, YNR059W
OG0000040	augustus_masked-abe-_s12-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.42&CDS=1-1644, augustus_masked-abe-_s70-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-7.3&CDS=1-1635	YDR342C, YDR343C, YHR092C
OG0000041	augustus_masked-abe-_s12-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-0.43&CDS=1-1272, augustus_masked-abe-_s13-processed-gene-11.163-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-11.163&CDS=1-1254, augustus_masked-abe-_s77-processed-gene-2.155-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-2.155&CDS=1-1197	YKL106W, YLR027C
OG0000042	augustus_masked-abe-_s34-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-3.73&CDS=1-2073, augustus_masked-abe-_s75-processed-gene-11.109-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-11.109&CDS=1-1914, maker-abe-_s77-augustus-gene-1.105-mRNA-1_1&gene=maker-abe-_s77-augustus-gene-1.105&CDS=1-1653, snap_masked-abe-_s12-processed-gene-0.93-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-0.93&CDS=1-1524	YKR034W
OG0000043	augustus_masked-abe-_s70-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-3.76&CDS=1-2949, snap_masked-abe-_s12-processed-gene-2.89-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-2.89&CDS=1-4335	YBL060W, YEL022W, YJR031C
OG0000044	augustus_masked-abe-_s12-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-3.97&CDS=1-1890, augustus_masked-abe-_s17-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-4.10&CDS=1-3621, augustus_masked-abe-_s77-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-abe-_s77-processed-gene-1.17&CDS=1-1836	YEL061C, YPR141C
OG0000045	augustus_masked-abe-_s12-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-4.3&CDS=1-996, augustus_masked-abe-_s2-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-0.48&CDS=1-6762	YCL064C, YIL167W, YML020W
OG0000046	augustus_masked-abe-_s12-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-6.74&CDS=1-753, augustus_masked-abe-_s7-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-8.60&CDS=1-804	YDL127W, YDL179W, YNL289W
OG0000047	maker-abe-_s70-augustus-gene-6.159-mRNA-1_1&gene=maker-abe-_s70-augustus-gene-6.159&CDS=1-1119, snap_masked-abe-_s12-processed-gene-7.212-mRNA-1_1&gene=snap_masked-abe-_s12-processed-gene-7.212&CDS=1-1245	YCL011C, YGR156W, YNL004W
OG0000048	augustus_masked-abe-_s12-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-abe-_s12-processed-gene-7.110&CDS=1-4719, augustus_masked-abe-_s13-processed-gene-10.85-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-10.85&CDS=1-1359, augustus_masked-abe-_s25-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-abe-_s25-processed-gene-6.111&CDS=1-1155	YDR523C, YHR102W
OG0000049	augustus_masked-abe-_s13-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-1.146&CDS=1-2295, augustus_masked-abe-_s13-processed-gene-8.16-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-8.16&CDS=1-2406	YDL109C, YDR444W, YGL144C
OG0000050	augustus_masked-abe-_s13-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-7.45&CDS=1-1536, augustus_masked-abe-_s7-processed-gene-11.25-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-11.25&CDS=1-1524	YER056C, YER060W, YER060W-A
OG0000051	augustus_masked-abe-_s13-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-8.18&CDS=1-768, augustus_masked-abe-_s17-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-3.125&CDS=1-768, augustus_masked-abe-_s7-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-abe-_s7-processed-gene-2.56&CDS=1-792	YCR010C, YNR002C
OG0000052	snap_masked-abe-_s13-processed-gene-8.96-mRNA-1_1&gene=snap_masked-abe-_s13-processed-gene-8.96&CDS=1-966, snap_masked-abe-_s7-processed-gene-3.74-mRNA-1_1&gene=snap_masked-abe-_s7-processed-gene-3.74&CDS=1-2415	YBR089C-A, YDL002C, YPR052C
OG0000053	augustus_masked-abe-_s13-processed-gene-9.78-mRNA-1_1&gene=augustus_masked-abe-_s13-processed-gene-9.78&CDS=1-2247, augustus_masked-abe-_s70-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-abe-_s70-processed-gene-2.144&CDS=1-2313	YAL053W, YGL139W, YPL221W
OG0000054	maker-abe-_s13-snap-gene-11.101-mRNA-1_1&gene=maker-abe-_s13-snap-gene-11.101&CDS=1-294	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000055	augustus_masked-abe-_s17-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-abe-_s17-processed-gene-4.7&CDS=1-1524, augustus_masked-abe-_s75-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-abe-_s75-processed-gene-10.22&CDS=1-1626, maker-abe-_s13-snap-gene-11.99-mRNA-1_1&gene=maker-abe-_s13-snap-gene-11.99&CDS=1-1209	YER133W, YML016C
OG0000056	maker-abe-_s14-snap-gene-0.2-mRNA-1_1&gene=maker-abe-_s14-snap-gene-0.2&CDS=1-261	Q0105, Q0110, Q0115, Q0120
OG0000057	augustus_masked-abe-_s4-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-abe-_s4-processed-gene-2.51&CDS=1-1476, snap_masked-abe-_s17-processed-gene-2.74-mRNA-1_1&gene=snap_masked-abe-_s17-processed-gene-2.74&CDS=1-999	YBL056W, YBR125C, YER089C
OG0000058	augustus_masked-abe-_s2-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-abe-_s2-processed-gene-3.111&CDS=1-2250, augustus_masked-abe-_s34-processed-gene-6.217-mRNA-1_1&gene=augustus_masked-abe-_s34-processed-gene-6.217&CDS=1-2607, snap_masked-abe-_s17-processed-gene-3.60-mRNA-1_1&gene=snap_masked-abe-_s17-processed-gene-3.60&CDS=1-1578	YGL023C, YNR006W
