	Saccharomyces_cerevisiae	yHMPu5000034627_Pichia_heedii
OG0000010	Q0045, Q0055, Q0060, Q0065, Q0070	genemark-NODE_70_length_45086_cov_460.963_ID_139-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_70_length_45086_cov_460.963_ID_139-processed-gene-0.29&CDS=1-1347, snap_masked-NODE_70_length_45086_cov_460.963_ID_139-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_70_length_45086_cov_460.963_ID_139-processed-gene-0.78&CDS=1-321
OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.24&CDS=1-1347
OG0000013	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_73_length_41934_cov_12.0903_ID_145-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_73_length_41934_cov_12.0903_ID_145-processed-gene-0.33&CDS=1-7353, genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.133&CDS=1-3381, snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_30_length_111773_cov_13.7438_ID_59-processed-gene-0.120&CDS=1-1884
OG0000014	YDR125C, YLR099C	augustus_masked-NODE_309_length_905_cov_20.9515_ID_617-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_309_length_905_cov_20.9515_ID_617-processed-gene-0.0&CDS=1-651, genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.108&CDS=1-2973, snap_masked-NODE_389_length_635_cov_43.0884_ID_777-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_389_length_635_cov_43.0884_ID_777-processed-gene-0.0&CDS=1-540, snap_masked-NODE_416_length_555_cov_37.5506_ID_831-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_416_length_555_cov_37.5506_ID_831-processed-gene-0.2&CDS=1-426
OG0000015	YDR216W, YER028C, YJR127C, YML081W	maker-NODE_3_length_300412_cov_12.5644_ID_5-snap-gene-0.83-mRNA-1_1&gene=maker-NODE_3_length_300412_cov_12.5644_ID_5-snap-gene-0.83&CDS=1-4818, snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-0.83&CDS=1-4161
OG0000016	YDR326C, YFL042C, YHR080C, YLR072W	genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_3_length_300412_cov_12.5644_ID_5-processed-gene-2.51&CDS=1-3579, snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.101-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-0.101&CDS=1-5712
OG0000017	YDR338C, YHR032W	snap_masked-NODE_174_length_2534_cov_15.1063_ID_347-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_174_length_2534_cov_15.1063_ID_347-processed-gene-0.0&CDS=1-1467, snap_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_31_length_106313_cov_12.8606_ID_61-processed-gene-0.37&CDS=1-1701, snap_masked-NODE_45_length_85142_cov_12.544_ID_89-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_45_length_85142_cov_12.544_ID_89-processed-gene-0.93&CDS=1-1827, snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_63_length_48718_cov_14.6308_ID_125-processed-gene-0.19&CDS=1-1920
OG0000018	YDR389W, YOR134W, YPL115C	genemark-NODE_57_length_64917_cov_15.6688_ID_113-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_57_length_64917_cov_15.6688_ID_113-processed-gene-0.89&CDS=1-3015, snap_masked-NODE_79_length_40442_cov_14.374_ID_157-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_79_length_40442_cov_14.374_ID_157-processed-gene-0.38&CDS=1-2379, snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.181-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.181&CDS=1-2625
OG0000019	YER013W, YGL120C, YKR086W	genemark-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.144-mRNA-1_1&gene=genemark-NODE_20_length_137300_cov_13.1447_ID_39-processed-gene-0.144&CDS=1-2244, maker-NODE_13_length_177020_cov_12.8965_ID_25-snap-gene-0.78-mRNA-1_1&gene=maker-NODE_13_length_177020_cov_12.8965_ID_25-snap-gene-0.78&CDS=1-2739, snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.122&CDS=1-2697
OG0000020	YFR038W, YIL126W, YOR290C	augustus_masked-NODE_121_length_12886_cov_26.2575_ID_241-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_121_length_12886_cov_26.2575_ID_241-processed-gene-0.6&CDS=1-5130, genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.37-mRNA-1_1&gene=genemark-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.37&CDS=1-2370, maker-NODE_2_length_325125_cov_15.1005_ID_3-augustus-gene-2.230-mRNA-1_1&gene=maker-NODE_2_length_325125_cov_15.1005_ID_3-augustus-gene-2.230&CDS=1-4785
OG0000021	YGR212W	augustus_masked-NODE_153_length_4313_cov_51.655_ID_305-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_153_length_4313_cov_51.655_ID_305-processed-gene-0.0&CDS=1-663, augustus_masked-NODE_154_length_4102_cov_53.7157_ID_307-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_154_length_4102_cov_53.7157_ID_307-processed-gene-0.0&CDS=1-453, augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_18_length_141908_cov_21.1969_ID_35-processed-gene-0.60&CDS=1-1233, augustus_masked-NODE_373_length_684_cov_86.6633_ID_745-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_373_length_684_cov_86.6633_ID_745-processed-gene-0.2&CDS=1-558, snap_masked-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_117_length_15274_cov_37.4607_ID_233-processed-gene-0.5&CDS=1-1101
OG0000022	YHR077C, YML111W, YMR275C, YNR069C	snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.230-mRNA-1_1&gene=snap_masked-NODE_12_length_182624_cov_13.0032_ID_23-processed-gene-0.230&CDS=1-5139, snap_masked-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_60_length_54447_cov_13.8149_ID_119-processed-gene-0.1&CDS=1-2271
OG0000023	YJL172W, YOL153C	genemark-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_17_length_158134_cov_12.4545_ID_33-processed-gene-0.27&CDS=1-1728, genemark-NODE_76_length_41465_cov_12.8937_ID_151-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_76_length_41465_cov_12.8937_ID_151-processed-gene-0.28&CDS=1-1623, snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.153-mRNA-1_1&gene=snap_masked-NODE_19_length_138674_cov_12.4074_ID_37-processed-gene-0.153&CDS=1-1791, snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.170-mRNA-1_1&gene=snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.170&CDS=1-1770
OG0000024	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-NODE_9_length_190932_cov_13.1668_ID_17-processed-gene-0.179&CDS=1-4680
OG0000025	YBL056W, YBR125C, YER089C	snap_masked-NODE_123_length_11695_cov_13.072_ID_245-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_123_length_11695_cov_13.072_ID_245-processed-gene-0.4&CDS=1-1425, snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.173-mRNA-1_1&gene=snap_masked-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.173&CDS=1-1245
OG0000026	YBR024W, YBR037C, YDR052C	genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.163-mRNA-1_1&gene=genemark-NODE_5_length_227933_cov_12.9711_ID_9-processed-gene-1.163&CDS=1-5217, snap_masked-NODE_92_length_32496_cov_12.9481_ID_183-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_92_length_32496_cov_12.9481_ID_183-processed-gene-0.32&CDS=1-2709
OG0000027	YBR038W, YNL192W	genemark-NODE_77_length_41064_cov_23.8604_ID_153-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_77_length_41064_cov_23.8604_ID_153-processed-gene-0.36&CDS=1-3129, snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_11_length_184159_cov_12.5398_ID_21-processed-gene-0.77&CDS=1-3063, snap_masked-NODE_45_length_85142_cov_12.544_ID_89-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_45_length_85142_cov_12.544_ID_89-processed-gene-0.100&CDS=1-3156
OG0000028	YBR114W, YOR191W	snap_masked-NODE_119_length_13882_cov_12.6826_ID_237-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_119_length_13882_cov_12.6826_ID_237-processed-gene-0.15&CDS=1-2094, snap_masked-NODE_86_length_37966_cov_11.775_ID_171-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_86_length_37966_cov_11.775_ID_171-processed-gene-0.11&CDS=1-5028, snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.169&CDS=1-3423
OG0000029	YBR207W, YER145C	genemark-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_41_length_87757_cov_13.3219_ID_81-processed-gene-0.86&CDS=1-1269, snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_44_length_85390_cov_22.7264_ID_87-processed-gene-0.127&CDS=1-1287, snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_4_length_271260_cov_12.649_ID_7-processed-gene-1.176&CDS=1-1116
OG0000030	YBR294W, YLR092W, YLR231C	genemark-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.137-mRNA-1_1&gene=genemark-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.137&CDS=1-4062, snap_masked-NODE_33_length_102381_cov_12.4531_ID_65-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_33_length_102381_cov_12.4531_ID_65-processed-gene-0.111&CDS=1-2595
OG0000031	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_71_length_45071_cov_23.0535_ID_141-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_71_length_45071_cov_23.0535_ID_141-processed-gene-0.32&CDS=1-1620
OG0000032	YCR105W, YMR318C	genemark-NODE_122_length_12846_cov_15.3567_ID_243-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_122_length_12846_cov_15.3567_ID_243-processed-gene-0.16&CDS=1-1116, genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_2_length_325125_cov_15.1005_ID_3-processed-gene-2.64&CDS=1-1134, snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.132&CDS=1-1074
OG0000033	YDL056W, YLR182W	maker-NODE_38_length_92699_cov_13.1741_ID_75-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_38_length_92699_cov_13.1741_ID_75-snap-gene-0.35&CDS=1-2661, snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_35_length_96442_cov_15.949_ID_69-processed-gene-0.119&CDS=1-2436, snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.161-mRNA-1_1&gene=snap_masked-NODE_8_length_208611_cov_12.842_ID_15-processed-gene-1.161&CDS=1-2937
OG0000034	YDL123W, YDR276C, YDR525W-A, YJL151C	snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.162-mRNA-1_1&gene=snap_masked-NODE_6_length_219614_cov_12.8109_ID_11-processed-gene-1.162&CDS=1-546
OG0000035	YDR021W, YJL138C, YKR059W	genemark-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.188-mRNA-1_1&gene=genemark-NODE_14_length_174362_cov_12.8702_ID_27-processed-gene-0.188&CDS=1-1188, maker-NODE_9_length_190932_cov_13.1668_ID_17-snap-gene-0.94-mRNA-1_1&gene=maker-NODE_9_length_190932_cov_13.1668_ID_17-snap-gene-0.94&CDS=1-1452
OG0000036	YDR144C, YLR120C, YLR121C	maker-NODE_1_length_612800_cov_12.7569_ID_1-snap-gene-1.136-mRNA-1_1&gene=maker-NODE_1_length_612800_cov_12.7569_ID_1-snap-gene-1.136&CDS=1-3075, snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-1.3&CDS=1-1821
OG0000037	YDR155C, YDR304C, YHR057C, YML078W	snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.140-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.140&CDS=1-1035
OG0000038	YDR263C, YER041W, YOR033C	genemark-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_51_length_77068_cov_14.71_ID_101-processed-gene-0.54&CDS=1-3114, snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_58_length_64814_cov_12.7505_ID_115-processed-gene-0.83&CDS=1-2175
OG0000039	YDR385W, YKL173W, YOR133W	genemark-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.259-mRNA-1_1&gene=genemark-NODE_10_length_188970_cov_12.9931_ID_19-processed-gene-0.259&CDS=1-3465, snap_masked-NODE_80_length_39569_cov_11.9008_ID_159-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_80_length_39569_cov_11.9008_ID_159-processed-gene-0.21&CDS=1-2934
OG0000040	YEL036C, YML115C, YMR278W	genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_36_length_95723_cov_17.5303_ID_71-processed-gene-0.118&CDS=1-1233, maker-NODE_5_length_227933_cov_12.9711_ID_9-augustus-gene-1.2-mRNA-1_1&gene=maker-NODE_5_length_227933_cov_12.9711_ID_9-augustus-gene-1.2&CDS=1-3270
OG0000041	YFR037C, YMR152W	genemark-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.146-mRNA-1_1&gene=genemark-NODE_13_length_177020_cov_12.8965_ID_25-processed-gene-0.146&CDS=1-1983, maker-NODE_1_length_612800_cov_12.7569_ID_1-snap-gene-2.51-mRNA-1_1&gene=maker-NODE_1_length_612800_cov_12.7569_ID_1-snap-gene-2.51&CDS=1-4161, snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NODE_1_length_612800_cov_12.7569_ID_1-processed-gene-2.126&CDS=1-1137
OG0000042	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_362_length_712_cov_133.857_ID_723-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_362_length_712_cov_133.857_ID_723-processed-gene-0.1&CDS=1-642
