	Ashbya_aceri	Saccharomyces_cerevisiae
OG0000013	augustus_masked-CP006022.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-0.1&CDS=1-600, genemark-CP006022.1-processed-gene-2.72-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.72&CDS=1-2790, genemark-CP006023.1-processed-gene-0.95-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.95&CDS=1-618, genemark-CP006025.1-processed-gene-0.6-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-0.6&CDS=1-672	YNL246W, YNL247W
OG0000014	augustus_masked-CP006022.1-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-4.21&CDS=1-1140, genemark-CP006025.1-processed-gene-10.70-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.70&CDS=1-2442, genemark-CP006025.1-processed-gene-7.36-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-7.36&CDS=1-939	YER040W, YFL021W, YKR034W
OG0000015	genemark-CP006022.1-processed-gene-10.127-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-10.127&CDS=1-2802, genemark-CP006022.1-processed-gene-13.193-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.193&CDS=1-3453, genemark-CP006023.1-processed-gene-7.114-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-7.114&CDS=1-1905	YBL063W, YEL061C, YKL079W
OG0000016	genemark-CP006022.1-processed-gene-10.138-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-10.138&CDS=1-1593, genemark-CP006023.1-processed-gene-2.99-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-2.99&CDS=1-1641, genemark-CP006025.1-processed-gene-10.88-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.88&CDS=1-1416	YHR050W, YLR034C, YOL122C
OG0000017	genemark-CP006023.1-processed-gene-3.116-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-3.116&CDS=1-2190, genemark-CP006024.1-processed-gene-0.12-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-0.12&CDS=1-1293, maker-CP006024.1-augustus-gene-1.157-mRNA-1_1&gene=maker-CP006024.1-augustus-gene-1.157&CDS=1-3450	YBR199W, YER047C, YPR173C
OG0000018	augustus_masked-CP006026.1-processed-gene-14.91-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-14.91&CDS=1-5013, genemark-CP006023.1-processed-gene-4.42-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-4.42&CDS=1-1734	YNL104C, YNL106C, YOR108W, YOR109W
OG0000019	genemark-CP006026.1-processed-gene-13.60-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-13.60&CDS=1-1305, snap_masked-CP006024.1-processed-gene-13.29-mRNA-1_1&gene=snap_masked-CP006024.1-processed-gene-13.29&CDS=1-1446	YIL123W, YJL116C, YKR042W, YNL066W
OG0000020	genemark-CP006025.1-processed-gene-5.63-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-5.63&CDS=1-1608, genemark-CP006025.1-processed-gene-9.27-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-9.27&CDS=1-942, genemark-CP006026.1-processed-gene-12.94-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-12.94&CDS=1-1971	YER133W, YML016C, YPL179W
OG0000021	maker-CP006026.1-augustus-gene-3.40-mRNA-1_1&gene=maker-CP006026.1-augustus-gene-3.40&CDS=1-3114, snap_masked-CP006026.1-processed-gene-11.96-mRNA-1_1&gene=snap_masked-CP006026.1-processed-gene-11.96&CDS=1-1524	YDR144C, YIL015W, YLR120C, YLR121C
OG0000022		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000023	augustus_masked-CP006020.1-processed-gene-4.134-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-4.134&CDS=1-4947, augustus_masked-CP006025.1-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-0.105&CDS=1-5340, augustus_masked-CP006025.1-processed-gene-12.206-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-12.206&CDS=1-5811	YLR342W, YMR306W
OG0000024	augustus_masked-CP006025.1-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-6.131&CDS=1-1419, genemark-CP006020.1-processed-gene-5.68-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.68&CDS=1-1386	YGR121C, YNL142W, YPR138C
OG0000025	augustus_masked-CP006024.1-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-CP006024.1-processed-gene-6.96&CDS=1-1869, genemark-CP006020.1-processed-gene-5.69-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.69&CDS=1-1053, genemark-CP006021.1-processed-gene-3.138-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.138&CDS=1-1119	YMR303C, YOL086C
OG0000026	genemark-CP006020.1-processed-gene-6.68-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.68&CDS=1-1326, genemark-CP006024.1-processed-gene-1.95-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-1.95&CDS=1-1500	YDR261C, YLR300W, YOR190W
OG0000027	genemark-CP006020.1-processed-gene-6.81-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-6.81&CDS=1-1377, snap_masked-CP006024.1-processed-gene-12.18-mRNA-1_1&gene=snap_masked-CP006024.1-processed-gene-12.18&CDS=1-1701	YIR013C, YLR013W, YMR136W
OG0000028	genemark-CP006020.1-processed-gene-7.113-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.113&CDS=1-1635, genemark-CP006025.1-processed-gene-10.90-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-10.90&CDS=1-1605, genemark-CP006026.1-processed-gene-11.149-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-11.149&CDS=1-1635, maker-CP006023.1-snap-gene-0.4-mRNA-1_1&gene=maker-CP006023.1-snap-gene-0.4&CDS=1-3564	YIL166C
OG0000029	genemark-CP006022.1-processed-gene-4.156-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-4.156&CDS=1-1359, genemark-CP006025.1-processed-gene-12.81-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-12.81&CDS=1-1350, maker-CP006021.1-augustus-gene-5.0-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-5.0&CDS=1-1866	YKL046C, YMR238W
OG0000030	augustus_masked-CP006022.1-processed-gene-9.117-mRNA-1_1&gene=augustus_masked-CP006022.1-processed-gene-9.117&CDS=1-1416, genemark-CP006021.1-processed-gene-5.103-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-5.103&CDS=1-1728	YER130C, YKL062W, YMR037C
OG0000031	genemark-CP006021.1-processed-gene-6.25-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.25&CDS=1-1785, genemark-CP006022.1-processed-gene-3.61-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-3.61&CDS=1-1776	YBL042C, YBR021W, YIR028W
OG0000032	genemark-CP006022.1-processed-gene-0.62-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-0.62&CDS=1-324, genemark-CP006022.1-processed-gene-2.52-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.52&CDS=1-324, genemark-CP006023.1-processed-gene-0.123-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.123&CDS=1-324, genemark-CP006025.1-processed-gene-0.38-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-0.38&CDS=1-324	YNL244C
OG0000033	genemark-CP006022.1-processed-gene-2.59-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.59&CDS=1-2607, genemark-CP006024.1-processed-gene-13.88-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-13.88&CDS=1-2418	YCR037C, YJL198W, YNR013C
OG0000034	genemark-CP006022.1-processed-gene-5.79-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-5.79&CDS=1-1227, genemark-CP006023.1-processed-gene-0.105-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.105&CDS=1-1233, genemark-CP006026.1-processed-gene-10.85-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-10.85&CDS=1-1404	YDR218C, YJR076C
OG0000035	augustus_masked-CP006024.1-processed-gene-13.138-mRNA-1_1&gene=augustus_masked-CP006024.1-processed-gene-13.138&CDS=1-4038, genemark-CP006022.1-processed-gene-13.156-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-13.156&CDS=1-2643	YDR326C, YFL042C, YHR080C
OG0000036	genemark-CP006023.1-processed-gene-0.124-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-0.124&CDS=1-1029	YDL244W, YFL058W, YJR156C, YNL332W
OG0000037	genemark-CP006023.1-processed-gene-1.73-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.73&CDS=1-2520, genemark-CP006026.1-processed-gene-7.90-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-7.90&CDS=1-4458	YBR060C, YIL095W, YNL020C
OG0000038	augustus_masked-CP006023.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-4.100&CDS=1-489, genemark-CP006024.1-processed-gene-13.98-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-13.98&CDS=1-759, genemark-CP006024.1-processed-gene-4.55-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-4.55&CDS=1-882	YPR013C, YPR015C
OG0000039	augustus_masked-CP006023.1-processed-gene-7.46-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-7.46&CDS=1-2601, snap_masked-CP006024.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-CP006024.1-processed-gene-0.56&CDS=1-2424, snap_masked-CP006024.1-processed-gene-12.16-mRNA-1_1&gene=snap_masked-CP006024.1-processed-gene-12.16&CDS=1-2436, snap_masked-CP006026.1-processed-gene-8.76-mRNA-1_1&gene=snap_masked-CP006026.1-processed-gene-8.76&CDS=1-2460	YKL073W
OG0000040	genemark-CP006023.1-processed-gene-9.208-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-9.208&CDS=1-2547, genemark-CP006025.1-processed-gene-3.69-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-3.69&CDS=1-2061	YAL053W, YGL139W, YPL221W
OG0000041	augustus_masked-CP006025.1-processed-gene-12.207-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-12.207&CDS=1-1608, genemark-CP006026.1-processed-gene-0.48-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-0.48&CDS=1-1662, snap_masked-CP006025.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-CP006025.1-processed-gene-0.52&CDS=1-1605	YLR343W, YMR307W
OG0000042	maker-CP006025.1-snap-gene-6.112-mRNA-1_1&gene=maker-CP006025.1-snap-gene-6.112&CDS=1-4848	YBL017C, YIL173W, YJL222W, YNR065C
OG0000043	augustus_masked-CP006026.1-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-3.38&CDS=1-2268, genemark-CP006025.1-processed-gene-11.40-mRNA-1_1&gene=genemark-CP006025.1-processed-gene-11.40&CDS=1-1671	YLR152C, YNL095C, YOR092W
OG0000044	snap_masked-CP006026.1-processed-gene-12.12-mRNA-1_1&gene=snap_masked-CP006026.1-processed-gene-12.12&CDS=1-510	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000045	genemark-CP006020.1-processed-gene-0.84-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-0.84&CDS=1-2031, genemark-CP006021.1-processed-gene-8.7-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-8.7&CDS=1-2034, maker-CP006021.1-augustus-gene-9.143-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-9.143&CDS=1-4131	YCL057W
OG0000046	genemark-CP006020.1-processed-gene-0.92-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-0.92&CDS=1-1149, genemark-CP006020.1-processed-gene-0.93-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-0.93&CDS=1-621	YJL079C, YKR013W
OG0000047	maker-CP006020.1-augustus-gene-0.4-mRNA-1_1&gene=maker-CP006020.1-augustus-gene-0.4&CDS=1-3534, snap_masked-CP006021.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-CP006021.1-processed-gene-4.7&CDS=1-2055	YKR001C, YLL001W
OG0000048	augustus_masked-CP006025.1-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-CP006025.1-processed-gene-7.103&CDS=1-744, genemark-CP006020.1-processed-gene-1.78-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-1.78&CDS=1-2742	YNL148C, YPL174C
OG0000049	genemark-CP006020.1-processed-gene-2.36-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-2.36&CDS=1-609, genemark-CP006026.1-processed-gene-3.133-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-3.133&CDS=1-528	YDR155C, YDR304C
OG0000050	augustus_masked-CP006020.1-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-CP006020.1-processed-gene-2.119&CDS=1-1980, genemark-CP006024.1-processed-gene-13.61-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-13.61&CDS=1-2451	YDL095W, YDR307W
OG0000051	genemark-CP006020.1-processed-gene-3.97-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-3.97&CDS=1-1431, genemark-CP006026.1-processed-gene-7.53-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-7.53&CDS=1-1263	YNR001C, YPR001W
OG0000052	genemark-CP006021.1-processed-gene-3.113-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-3.113&CDS=1-2457, snap_masked-CP006020.1-processed-gene-4.63-mRNA-1_1&gene=snap_masked-CP006020.1-processed-gene-4.63&CDS=1-2196	YER017C, YMR089C
OG0000053	genemark-CP006020.1-processed-gene-5.71-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-5.71&CDS=1-2421, genemark-CP006023.1-processed-gene-1.67-mRNA-1_1&gene=genemark-CP006023.1-processed-gene-1.67&CDS=1-1782	YIL105C, YPR115W
OG0000054	genemark-CP006020.1-processed-gene-7.138-mRNA-1_1&gene=genemark-CP006020.1-processed-gene-7.138&CDS=1-906, genemark-CP006026.1-processed-gene-6.124-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-6.124&CDS=1-915	YGR086C, YPL004C
OG0000055	genemark-CP006024.1-processed-gene-2.0-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-2.0&CDS=1-2679, maker-CP006021.1-snap-gene-1.140-mRNA-1_1&gene=maker-CP006021.1-snap-gene-1.140&CDS=1-3501	YBR038W, YNL192W
OG0000056	genemark-CP006021.1-processed-gene-1.88-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-1.88&CDS=1-834, genemark-CP006026.1-processed-gene-5.115-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-5.115&CDS=1-573	YLR229C, YNL180C
OG0000057	augustus_masked-CP006021.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-CP006021.1-processed-gene-1.121&CDS=1-1518, genemark-CP006022.1-processed-gene-7.141-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-7.141&CDS=1-1299	YEL036C, YML115C
OG0000058	maker-CP006021.1-augustus-gene-2.43-mRNA-1_1&gene=maker-CP006021.1-augustus-gene-2.43&CDS=1-2652, maker-CP006025.1-snap-gene-5.108-mRNA-1_1&gene=maker-CP006025.1-snap-gene-5.108&CDS=1-2703	YBR248C, YDR035W
OG0000059	genemark-CP006021.1-processed-gene-4.67-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.67&CDS=1-2913, genemark-CP006024.1-processed-gene-1.79-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-1.79&CDS=1-2382	YHL007C, YNL298W
OG0000060	genemark-CP006021.1-processed-gene-4.91-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.91&CDS=1-3000, genemark-CP006026.1-processed-gene-9.111-mRNA-1_1&gene=genemark-CP006026.1-processed-gene-9.111&CDS=1-1968	YER176W, YMR080C
OG0000061	genemark-CP006021.1-processed-gene-4.75-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-4.75&CDS=1-1236, genemark-CP006024.1-processed-gene-1.87-mRNA-1_1&gene=genemark-CP006024.1-processed-gene-1.87&CDS=1-1179	YBR025C, YHL014C
OG0000062	genemark-CP006021.1-processed-gene-6.3-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.3&CDS=1-624	YFL060C, YMR095C, YNL334C
OG0000063	augustus_masked-CP006026.1-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-CP006026.1-processed-gene-9.9&CDS=1-6417, genemark-CP006021.1-processed-gene-6.12-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-6.12&CDS=1-5874	YER172C, YGR271W
OG0000064	augustus_masked-CP006024.1-processed-gene-14.155-mRNA-1_1&gene=augustus_masked-CP006024.1-processed-gene-14.155&CDS=1-7578, genemark-CP006021.1-processed-gene-7.59-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-7.59&CDS=1-3339	YJL130C, YJR109C
OG0000065	genemark-CP006021.1-processed-gene-9.2-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.2&CDS=1-4674, genemark-CP006022.1-processed-gene-11.12-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-11.12&CDS=1-5415	YHR023W, YOR326W
OG0000066	genemark-CP006021.1-processed-gene-9.66-mRNA-1_1&gene=genemark-CP006021.1-processed-gene-9.66&CDS=1-1176, genemark-CP006022.1-processed-gene-12.84-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-12.84&CDS=1-1176, genemark-CP006022.1-processed-gene-12.85-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-12.85&CDS=1-1224	YPL154C
OG0000067	snap_masked-CP006022.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-0.87&CDS=1-663	YCL067C, YCR039C, YCR096C
OG0000068	maker-CP006022.1-augustus-gene-10.43-mRNA-1_1&gene=maker-CP006022.1-augustus-gene-10.43&CDS=1-2265, snap_masked-CP006022.1-processed-gene-1.101-mRNA-1_1&gene=snap_masked-CP006022.1-processed-gene-1.101&CDS=1-4563	YLR188W, YPL270W
OG0000069	augustus_masked-CP006023.1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-CP006023.1-processed-gene-4.105&CDS=1-2328, genemark-CP006022.1-processed-gene-2.76-mRNA-1_1&gene=genemark-CP006022.1-processed-gene-2.76&CDS=1-2361	YJL200C, YLR304C
