	Hanseniaspora_uvarum	Saccharomyces_cerevisiae
OG0000010	genemark-APLS01000021.1-processed-gene-0.44-mRNA-1_1&gene=genemark-APLS01000021.1-processed-gene-0.44&CDS=1-1380	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000011		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000012	snap_masked-APLS01000002.1-processed-gene-0.144-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-0.144&CDS=1-2403, snap_masked-APLS01000002.1-processed-gene-3.107-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.107&CDS=1-1719, snap_masked-APLS01000004.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-1.28&CDS=1-1467	YDR338C, YHR032W
OG0000013	augustus_masked-APLS01000005.1-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-APLS01000005.1-processed-gene-1.118&CDS=1-2718, snap_masked-APLS01000002.1-processed-gene-3.98-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-3.98&CDS=1-2052	YDL093W, YDL095W, YDR307W
OG0000014	snap_masked-APLS01000002.1-processed-gene-4.209-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.209&CDS=1-2721, snap_masked-APLS01000026.1-processed-gene-0.138-mRNA-1_1&gene=snap_masked-APLS01000026.1-processed-gene-0.138&CDS=1-1998	YJL042W, YOR227W, YPL137C
OG0000015	genemark-APLS01000003.1-processed-gene-1.38-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-1.38&CDS=1-5568, maker-APLS01000007.1-snap-gene-0.39-mRNA-1_1&gene=maker-APLS01000007.1-snap-gene-0.39&CDS=1-5649, snap_masked-APLS01000019.1-processed-gene-0.207-mRNA-1_1&gene=snap_masked-APLS01000019.1-processed-gene-0.207&CDS=1-5601	YLR342W, YMR306W
OG0000016	maker-APLS01000030.1-snap-gene-0.50-mRNA-1_1&gene=maker-APLS01000030.1-snap-gene-0.50&CDS=1-4302, snap_masked-APLS01000003.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-4.120&CDS=1-4401, snap_masked-APLS01000007.1-processed-gene-1.117-mRNA-1_1&gene=snap_masked-APLS01000007.1-processed-gene-1.117&CDS=1-4224, snap_masked-APLS01000030.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-APLS01000030.1-processed-gene-0.100&CDS=1-4134	YGR281W
OG0000017	snap_masked-APLS01000005.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-1.16&CDS=1-1530, snap_masked-APLS01000005.1-processed-gene-1.42-mRNA-1_1&gene=snap_masked-APLS01000005.1-processed-gene-1.42&CDS=1-1515	YER073W, YMR169C, YMR170C
OG0000018	augustus_masked-APLS01000006.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-APLS01000006.1-processed-gene-0.124&CDS=1-2814	YKL222C, YLR266C, YOR162C, YOR172W
OG0000019	augustus_masked-APLS01000013.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-APLS01000013.1-processed-gene-1.113&CDS=1-3468, genemark-APLS01000115.1-processed-gene-0.3-mRNA-1_1&gene=genemark-APLS01000115.1-processed-gene-0.3&CDS=1-4476, snap_masked-APLS01000008.1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-APLS01000008.1-processed-gene-2.120&CDS=1-3666	YGR270W, YLR272C
OG0000020	maker-APLS01000009.1-snap-gene-2.58-mRNA-1_1&gene=maker-APLS01000009.1-snap-gene-2.58&CDS=1-5424	YML111W, YMR275C, YNR068C, YNR069C
OG0000021	augustus_masked-APLS01000010.1-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-APLS01000010.1-processed-gene-0.106&CDS=1-3822, snap_masked-APLS01000018.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.63&CDS=1-3429	YCL024W, YDR507C, YKL101W
OG0000022	augustus_masked-APLS01000011.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-APLS01000011.1-processed-gene-0.36&CDS=1-1566, snap_masked-APLS01000036.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-APLS01000036.1-processed-gene-0.43&CDS=1-1566	YER056C, YER060W, YER060W-A
OG0000023	augustus_masked-APLS01000012.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-APLS01000012.1-processed-gene-0.63&CDS=1-2379	YER001W, YGL257C, YIL014W, YNR059W
OG0000024	augustus_masked-APLS01000233.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-APLS01000233.1-processed-gene-0.1&CDS=1-1086, snap_masked-APLS01000018.1-processed-gene-0.88-mRNA-1_1&gene=snap_masked-APLS01000018.1-processed-gene-0.88&CDS=1-2706, snap_masked-APLS01000086.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-APLS01000086.1-processed-gene-0.10&CDS=1-2706	YJL165C, YKL168C
OG0000025	maker-APLS01000021.1-snap-gene-0.70-mRNA-1_1&gene=maker-APLS01000021.1-snap-gene-0.70&CDS=1-1731, snap_masked-APLS01000031.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-APLS01000031.1-processed-gene-0.101&CDS=1-2409	YDR096W, YER169W, YJR119C
OG0000026	snap_masked-APLS01000028.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-APLS01000028.1-processed-gene-0.21&CDS=1-528, snap_masked-APLS01000028.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-APLS01000028.1-processed-gene-0.22&CDS=1-873, snap_masked-APLS01000045.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-APLS01000045.1-processed-gene-0.41&CDS=1-4140	YHR131C, YNL144C
OG0000027	augustus_masked-APLS01000030.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-APLS01000030.1-processed-gene-0.26&CDS=1-4791	YBL017C, YIL173W, YJL222W, YNR065C
OG0000028	maker-APLS01000001.1-snap-gene-4.98-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-4.98&CDS=1-1746, maker-APLS01000083.1-snap-gene-0.8-mRNA-1_1&gene=maker-APLS01000083.1-snap-gene-0.8&CDS=1-621	YDR247W, YPL026C
OG0000029	snap_masked-APLS01000001.1-processed-gene-7.21-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-7.21&CDS=1-978, snap_masked-APLS01000001.1-processed-gene-8.250-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-8.250&CDS=1-1338	YGL019W, YOR039W
OG0000030	maker-APLS01000001.1-snap-gene-8.118-mRNA-1_1&gene=maker-APLS01000001.1-snap-gene-8.118&CDS=1-3666, snap_masked-APLS01000037.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-APLS01000037.1-processed-gene-0.58&CDS=1-1239	YKL081W, YPL048W
OG0000031	snap_masked-APLS01000002.1-processed-gene-2.96-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-2.96&CDS=1-1179	YCR102C, YLR460C, YNL134C
OG0000032	maker-APLS01000009.1-augustus-gene-1.44-mRNA-1_1&gene=maker-APLS01000009.1-augustus-gene-1.44&CDS=1-6885, snap_masked-APLS01000002.1-processed-gene-4.211-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.211&CDS=1-5628	YHR023W, YOR326W
OG0000033	augustus_masked-APLS01000012.1-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-APLS01000012.1-processed-gene-1.102&CDS=1-324, augustus_masked-APLS01000037.1-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-APLS01000037.1-processed-gene-0.88&CDS=1-1260, snap_masked-APLS01000002.1-processed-gene-4.245-mRNA-1_1&gene=snap_masked-APLS01000002.1-processed-gene-4.245&CDS=1-1179	YOR163W
OG0000034	snap_masked-APLS01000003.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.93&CDS=1-3516	YBL005W, YER184C, YGL013C
OG0000035	snap_masked-APLS01000003.1-processed-gene-0.115-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-0.115&CDS=1-3435, snap_masked-APLS01000013.1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-APLS01000013.1-processed-gene-1.29&CDS=1-3249	YBR245C, YOR304W
OG0000036	augustus_masked-APLS01000006.1-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-APLS01000006.1-processed-gene-2.46&CDS=1-984, snap_masked-APLS01000003.1-processed-gene-1.121-mRNA-1_1&gene=snap_masked-APLS01000003.1-processed-gene-1.121&CDS=1-981	YEL029C, YNR027W
OG0000037	augustus_masked-APLS01000003.1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-APLS01000003.1-processed-gene-3.83&CDS=1-615, snap_masked-APLS01000022.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-APLS01000022.1-processed-gene-0.7&CDS=1-1008	YJL158C, YKL164C
OG0000038	genemark-APLS01000003.1-processed-gene-4.21-mRNA-1_1&gene=genemark-APLS01000003.1-processed-gene-4.21&CDS=1-2250, snap_masked-APLS01000026.1-processed-gene-0.151-mRNA-1_1&gene=snap_masked-APLS01000026.1-processed-gene-0.151&CDS=1-1749	YOR334W, YPL060W
OG0000039	augustus_masked-APLS01000004.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-0.47&CDS=1-1155, augustus_masked-APLS01000149.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-APLS01000149.1-processed-gene-0.0&CDS=1-1182, snap_masked-APLS01000048.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-APLS01000048.1-processed-gene-0.12&CDS=1-1200	YEL050C
OG0000040	snap_masked-APLS01000004.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-0.120&CDS=1-3318	YBR297W, YKR064W, YNR063W
OG0000041	augustus_masked-APLS01000004.1-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-APLS01000004.1-processed-gene-2.20&CDS=1-1761, maker-APLS01000042.1-snap-gene-0.60-mRNA-1_1&gene=maker-APLS01000042.1-snap-gene-0.60&CDS=1-1485, snap_masked-APLS01000042.1-processed-gene-0.46-mRNA-1_1&gene=snap_masked-APLS01000042.1-processed-gene-0.46&CDS=1-1461	YCR098C
OG0000042	augustus_masked-APLS01000020.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-APLS01000020.1-processed-gene-0.52&CDS=1-5010, augustus_masked-APLS01000033.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-APLS01000033.1-processed-gene-0.81&CDS=1-1830, snap_masked-APLS01000004.1-processed-gene-3.164-mRNA-1_1&gene=snap_masked-APLS01000004.1-processed-gene-3.164&CDS=1-1737	YBR015C
OG0000043	maker-APLS01000006.1-augustus-gene-1.2-mRNA-1_1&gene=maker-APLS01000006.1-augustus-gene-1.2&CDS=1-3129	YLR237W, YOR071C, YOR192C
OG0000044	snap_masked-APLS01000006.1-processed-gene-2.194-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.194&CDS=1-996, snap_masked-APLS01000016.1-processed-gene-0.188-mRNA-1_1&gene=snap_masked-APLS01000016.1-processed-gene-0.188&CDS=1-501	YEL012W, YGL058W
OG0000045	snap_masked-APLS01000006.1-processed-gene-2.243-mRNA-1_1&gene=snap_masked-APLS01000006.1-processed-gene-2.243&CDS=1-1236	YBL068W-A, YBL069W, YER101C
OG0000046	maker-APLS01000006.1-augustus-gene-2.77-mRNA-1_1&gene=maker-APLS01000006.1-augustus-gene-2.77&CDS=1-1587	YBL068W, YER099C, YHL011C
OG0000047	snap_masked-APLS01000010.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-APLS01000010.1-processed-gene-1.87&CDS=1-1788	YEL063C, YNL268W, YNL270C
OG0000048	maker-APLS01000011.1-snap-gene-0.75-mRNA-1_1&gene=maker-APLS01000011.1-snap-gene-0.75&CDS=1-2382, maker-APLS01000011.1-snap-gene-0.76-mRNA-1_1&gene=maker-APLS01000011.1-snap-gene-0.76&CDS=1-5349, snap_masked-APLS01000011.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-APLS01000011.1-processed-gene-0.19&CDS=1-2631	YPR194C
OG0000049	snap_masked-APLS01000011.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-APLS01000011.1-processed-gene-1.49&CDS=1-8004, snap_masked-APLS01000032.1-processed-gene-0.82-mRNA-1_1&gene=snap_masked-APLS01000032.1-processed-gene-0.82&CDS=1-9144	YBL088C, YKL203C
OG0000050	snap_masked-APLS01000011.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-APLS01000011.1-processed-gene-1.28&CDS=1-870	YLL052C, YLL053C, YPR192W
OG0000051	snap_masked-APLS01000013.1-processed-gene-1.60-mRNA-1_1&gene=snap_masked-APLS01000013.1-processed-gene-1.60&CDS=1-1848	YOR389W, YPL277C, YPL278C
OG0000052	maker-APLS01000015.1-snap-gene-0.180-mRNA-1_1&gene=maker-APLS01000015.1-snap-gene-0.180&CDS=1-2289, snap_masked-APLS01000015.1-processed-gene-0.191-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.191&CDS=1-3165	YAL051W, YOR363C
OG0000053	snap_masked-APLS01000015.1-processed-gene-0.196-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.196&CDS=1-1755, snap_masked-APLS01000015.1-processed-gene-0.224-mRNA-1_1&gene=snap_masked-APLS01000015.1-processed-gene-0.224&CDS=1-1734, snap_masked-APLS01000024.1-processed-gene-0.170-mRNA-1_1&gene=snap_masked-APLS01000024.1-processed-gene-0.170&CDS=1-1740	YDL210W
OG0000054	maker-APLS01000016.1-augustus-gene-0.179-mRNA-1_1&gene=maker-APLS01000016.1-augustus-gene-0.179&CDS=1-5562	YMR006C, YMR008C, YOL011W
OG0000055	augustus_masked-APLS01000016.1-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-APLS01000016.1-processed-gene-0.176&CDS=1-2403, augustus_masked-APLS01000066.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-APLS01000066.1-processed-gene-0.5&CDS=1-2403	YGL139W, YPL221W
OG0000056	snap_masked-APLS01000026.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-APLS01000026.1-processed-gene-0.104&CDS=1-411, snap_masked-APLS01000054.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-APLS01000054.1-processed-gene-0.0&CDS=1-411, snap_masked-APLS01000057.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-APLS01000057.1-processed-gene-0.12&CDS=1-411	YLL050C
OG0000057	augustus_masked-APLS01000026.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-APLS01000026.1-processed-gene-0.26&CDS=1-1752, augustus_masked-APLS01000054.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-APLS01000054.1-processed-gene-0.11&CDS=1-1752, augustus_masked-APLS01000057.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-APLS01000057.1-processed-gene-0.9&CDS=1-1752	YHL039W
OG0000058	augustus_masked-APLS01000026.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-APLS01000026.1-processed-gene-0.27&CDS=1-1176, augustus_masked-APLS01000054.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-APLS01000054.1-processed-gene-0.12&CDS=1-1176, augustus_masked-APLS01000057.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-APLS01000057.1-processed-gene-0.10&CDS=1-1176	YJR075W
OG0000059	snap_masked-APLS01000026.1-processed-gene-0.134-mRNA-1_1&gene=snap_masked-APLS01000026.1-processed-gene-0.134&CDS=1-504, snap_masked-APLS01000054.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-APLS01000054.1-processed-gene-0.6&CDS=1-504, snap_masked-APLS01000057.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-APLS01000057.1-processed-gene-0.18&CDS=1-504	YJR074W
OG0000060	augustus_masked-APLS01000196.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-APLS01000196.1-processed-gene-0.2&CDS=1-1029, genemark-APLS01000185.1-processed-gene-0.2-mRNA-1_1&gene=genemark-APLS01000185.1-processed-gene-0.2&CDS=1-1893	YDL037C, YIR019C
OG0000061		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000062	snap_masked-APLS01000001.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-0.41&CDS=1-1107, snap_masked-APLS01000049.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-APLS01000049.1-processed-gene-0.4&CDS=1-1107	YDR173C
OG0000063	snap_masked-APLS01000001.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-0.63&CDS=1-2181, snap_masked-APLS01000049.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-APLS01000049.1-processed-gene-0.5&CDS=1-2181	YDR172W
OG0000064	snap_masked-APLS01000001.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-0.79&CDS=1-1620	YDR147W, YLR133W
OG0000065	augustus_masked-APLS01000001.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-APLS01000001.1-processed-gene-0.20&CDS=1-2559	YDR146C, YLR131C
OG0000066	snap_masked-APLS01000001.1-processed-gene-1.3-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.3&CDS=1-954	YDR368W, YOR120W
OG0000067	snap_masked-APLS01000001.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-APLS01000001.1-processed-gene-1.6&CDS=1-1818	YDR132C, YLR108C
