	Saccharomyces_cerevisiae	yHMPu5000034637_Ogataea_populiabae
OG0000010	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-NODE_10_length_408946_cov_13.6332_ID_19-processed-gene-3.78&CDS=1-1719, augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-0.97&CDS=1-1779, augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.124&CDS=1-1737
OG0000011	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.198&CDS=1-1014, augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.282-mRNA-1_1&gene=augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.282&CDS=1-1017, snap_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.179-mRNA-1_1&gene=snap_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-1.179&CDS=1-1017
OG0000012	YJL089W, YMR280C	augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.141&CDS=1-2979, augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.72&CDS=1-1950, augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.191-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.191&CDS=1-2286, augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-2.57&CDS=1-3276, augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-0.118&CDS=1-1944
OG0000013	YMR087W	augustus_masked-NODE_16_length_220908_cov_13.8955_ID_31-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_16_length_220908_cov_13.8955_ID_31-processed-gene-1.143&CDS=1-675, augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-8.130&CDS=1-693, genemark-NODE_139_length_602_cov_59.4307_ID_277-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_139_length_602_cov_59.4307_ID_277-processed-gene-0.0&CDS=1-501, maker-NODE_20_length_170422_cov_25.4208_ID_39-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_20_length_170422_cov_25.4208_ID_39-snap-gene-0.0&CDS=1-2181, maker-NODE_7_length_745218_cov_17.2354_ID_13-augustus-gene-1.114-mRNA-1_1&gene=maker-NODE_7_length_745218_cov_17.2354_ID_13-augustus-gene-1.114&CDS=1-1827, snap_masked-NODE_214_length_271_cov_29.8827_ID_427-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_214_length_271_cov_29.8827_ID_427-processed-gene-0.1&CDS=1-240
OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.132&CDS=1-1476
OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-1.93&CDS=1-4515, genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.124-mRNA-1_1&gene=genemark-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.124&CDS=1-5052
OG0000016	YBL041W, YJL172W, YOL153C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.18&CDS=1-2436, augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.244-mRNA-1_1&gene=augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.244&CDS=1-1728, maker-NODE_6_length_754867_cov_17.4786_ID_11-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_6_length_754867_cov_17.4786_ID_11-augustus-gene-0.7&CDS=1-3444
OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.219&CDS=1-1710, snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-7.135-mRNA-1_1&gene=snap_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-7.135&CDS=1-1647
OG0000018	YDL037C, YIR019C	augustus_masked-NODE_119_length_840_cov_49.1477_ID_237-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_119_length_840_cov_49.1477_ID_237-processed-gene-0.1&CDS=1-834, augustus_masked-NODE_164_length_421_cov_71.7977_ID_327-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_164_length_421_cov_71.7977_ID_327-processed-gene-0.0&CDS=1-393, augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_17_length_220167_cov_16.221_ID_33-processed-gene-1.117&CDS=1-1911, augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-NODE_21_length_170036_cov_23.214_ID_41-processed-gene-0.202&CDS=1-2055
OG0000019	YDR402C, YHR175W	augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_14_length_243586_cov_13.9326_ID_27-processed-gene-0.73&CDS=1-2259, augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_18_length_187269_cov_19.0248_ID_35-processed-gene-0.123&CDS=1-1608, augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-0.117&CDS=1-1602, maker-NODE_19_length_183615_cov_21.9941_ID_37-snap-gene-0.270-mRNA-1_1&gene=maker-NODE_19_length_183615_cov_21.9941_ID_37-snap-gene-0.270&CDS=1-1575
OG0000020	YGL120C, YKR086W, YNR011C	augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.85&CDS=1-2988, augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.36&CDS=1-2766, augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-7.22&CDS=1-2286
OG0000021	YHR179W, YPL171C	augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.71&CDS=1-1164, augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-0.61&CDS=1-1140, augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-4.165-mRNA-1_1&gene=augustus_masked-NODE_6_length_754867_cov_17.4786_ID_11-processed-gene-4.165&CDS=1-894, maker-NODE_8_length_626879_cov_16.4982_ID_15-snap-gene-3.7-mRNA-1_1&gene=maker-NODE_8_length_626879_cov_16.4982_ID_15-snap-gene-3.7&CDS=1-2391
OG0000022	YJR152W	augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_19_length_183615_cov_21.9941_ID_37-processed-gene-0.35&CDS=1-1533, augustus_masked-NODE_28_length_82418_cov_27.1609_ID_55-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_28_length_82418_cov_27.1609_ID_55-processed-gene-0.30&CDS=1-1530, augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.11-mRNA-1_1&gene=augustus_masked-NODE_2_length_1008495_cov_14.5864_ID_3-processed-gene-9.11&CDS=1-1560, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-4.97&CDS=1-1554, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-6.144&CDS=1-1554
OG0000023	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_11_length_357998_cov_19.4779_ID_21-processed-gene-0.20&CDS=1-1683, augustus_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.54&CDS=1-1695, snap_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_13_length_253365_cov_20.0969_ID_25-processed-gene-0.23&CDS=1-1671
OG0000024	YBL056W, YBR125C, YER089C	augustus_masked-NODE_28_length_82418_cov_27.1609_ID_55-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_28_length_82418_cov_27.1609_ID_55-processed-gene-0.24&CDS=1-1299, maker-NODE_31_length_54356_cov_15.7992_ID_61-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_31_length_54356_cov_15.7992_ID_61-snap-gene-0.0&CDS=1-1188
OG0000025	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-NODE_3_length_894456_cov_15.2133_ID_5-processed-gene-7.116&CDS=1-1650
OG0000026	YCL024W, YDR507C, YKL101W	augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.249-mRNA-1_1&gene=augustus_masked-NODE_20_length_170422_cov_25.4208_ID_39-processed-gene-0.249&CDS=1-3738, snap_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-6.21-mRNA-1_1&gene=snap_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-6.21&CDS=1-3735
OG0000027	YCR037C, YJL198W, YNR013C	augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_1_length_1154972_cov_14.4185_ID_1-processed-gene-5.37&CDS=1-2493, augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.122&CDS=1-2580
OG0000028	YDL123W, YDR276C, YDR525W-A, YJL151C	genemark-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_29_length_75141_cov_29.9276_ID_57-processed-gene-0.22&CDS=1-585
OG0000029	YDL210W	augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-NODE_4_length_820312_cov_17.3491_ID_7-processed-gene-4.91&CDS=1-1665, augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_5_length_761125_cov_17.9616_ID_9-processed-gene-0.4&CDS=1-1650, augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.126-mRNA-1_1&gene=augustus_masked-NODE_8_length_626879_cov_16.4982_ID_15-processed-gene-3.126&CDS=1-1644, snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.88-mRNA-1_1&gene=snap_masked-NODE_7_length_745218_cov_17.2354_ID_13-processed-gene-6.88&CDS=1-1746
