	Nakaseomyces_castellii	Saccharomyces_cerevisiae
OG0000344	augustus_masked-CACA0S33-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-2.41&CDS=1-489	YBR048W, YDR025W
OG0000345	genemark-CACA0S33-processed-gene-3.0-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.0&CDS=1-441	YBR082C, YDR059C
OG0000346	augustus_masked-CACA0S36-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-4.59&CDS=1-1296, genemark-CACA0S33-processed-gene-3.7-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.7&CDS=1-1320	YBR078W
OG0000347	genemark-CACA0S33-processed-gene-3.48-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-3.48&CDS=1-324	YEL039C, YJR048W
OG0000348	genemark-CACA0S33-processed-gene-4.7-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-4.7&CDS=1-993	YGR192C, YJR009C
OG0000349	augustus_masked-CACA0S33-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-4.69&CDS=1-4728, genemark-CACA0S36-processed-gene-4.95-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-4.95&CDS=1-4740	YER166W
OG0000350	genemark-CACA0S33-processed-gene-4.15-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-4.15&CDS=1-1500, genemark-CACA0S36-processed-gene-3.44-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-3.44&CDS=1-1677	YLR089C
OG0000351	genemark-CACA0S33-processed-gene-5.26-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-5.26&CDS=1-3540	YBR218C, YGL062W
OG0000352	genemark-CACA0S33-processed-gene-6.80-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.80&CDS=1-768	YHL033C, YLL045C
OG0000353	augustus_masked-CACA0S33-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.22&CDS=1-1977, maker-CACA0S36-snap-gene-0.0-mRNA-1_1&gene=maker-CACA0S36-snap-gene-0.0&CDS=1-3168	YLL043W
OG0000354	augustus_masked-CACA0S33-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.72&CDS=1-405	YER074W, YIL069C
OG0000355	genemark-CACA0S33-processed-gene-9.84-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.84&CDS=1-783	YHR203C, YJR145C
OG0000356	snap_masked-CACA0S33-processed-gene-9.139-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.139&CDS=1-2661	YCR106W, YLL054C
OG0000357	genemark-CACA0S36-processed-gene-9.113-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.113&CDS=1-3024, snap_masked-CACA0S33-processed-gene-10.16-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.16&CDS=1-1227	YNR026C
OG0000358	genemark-CACA0S33-processed-gene-10.130-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.130&CDS=1-1008, genemark-CACA0S36-processed-gene-9.78-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.78&CDS=1-1770	YCR065W
OG0000359	maker-CACA0S33-snap-gene-10.7-mRNA-1_1&gene=maker-CACA0S33-snap-gene-10.7&CDS=1-555	YBR089C-A, YPR052C
OG0000360	augustus_masked-CACA0S33-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.71&CDS=1-411	YER057C, YIL051C
OG0000361	genemark-CACA0S33-processed-gene-10.119-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.119&CDS=1-384	YER056C-A, YIL052C
OG0000362	augustus_masked-CACA0S33-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.94&CDS=1-1410	YER064C, YIL056W
OG0000363	genemark-CACA0S36-processed-gene-3.37-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-3.37&CDS=1-1434	YDR125C, YLR099C
OG0000364	augustus_masked-CACA0S36-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-3.84&CDS=1-3393	YBR294W, YLR092W
OG0000365	augustus_masked-CACA0S36-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-3.90&CDS=1-810	YDR099W, YER177W
OG0000366	augustus_masked-CACA0S36-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-5.82&CDS=1-309	YBR009C, YNL030W
OG0000367	augustus_masked-CACA0S36-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-8.117&CDS=1-1335	YDL204W, YDR233C
OG0000368	genemark-CACA0S36-processed-gene-8.101-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-8.101&CDS=1-1608	YHR131C, YNL144C
OG0000369	augustus_masked-CACA0S36-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-9.10&CDS=1-588	YDR453C, YML028W
OG0000370	genemark-CACA0S36-processed-gene-9.105-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.105&CDS=1-441	YDR450W, YML026C
OG0000371	genemark-CACA0S05-processed-gene-0.2-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.2&CDS=1-777	YGR253C
OG0000372	genemark-CACA0S05-processed-gene-0.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.24&CDS=1-1869	YHR171W
OG0000373	augustus_masked-CACA0S05-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.65&CDS=1-1542	YHR170W
OG0000374	augustus_masked-CACA0S05-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.66&CDS=1-567	YGR251W
OG0000375	augustus_masked-CACA0S05-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.67&CDS=1-2913	YHR169W
OG0000376	augustus_masked-CACA0S05-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.68&CDS=1-801	YHR167W
OG0000377	augustus_masked-CACA0S05-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.46&CDS=1-9189	YHR165C
OG0000378	genemark-CACA0S05-processed-gene-0.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.5&CDS=1-4518	YHR164C
OG0000379	genemark-CACA0S05-processed-gene-0.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.30&CDS=1-756	YHR163W
OG0000380	augustus_masked-CACA0S05-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.70&CDS=1-1101	YHR159W
OG0000381	genemark-CACA0S05-processed-gene-0.7-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.7&CDS=1-3144	YHR158C
OG0000382	augustus_masked-CACA0S05-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.50&CDS=1-792	YHR156C
OG0000383	augustus_masked-CACA0S05-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.73&CDS=1-3399	YHR154W
OG0000384	augustus_masked-CACA0S05-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.51&CDS=1-1650	YHR151C
OG0000385	augustus_masked-CACA0S05-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.74&CDS=1-1644	YHR150W
OG0000386	genemark-CACA0S05-processed-gene-0.37-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.37&CDS=1-546	YHR148W
OG0000387	genemark-CACA0S05-processed-gene-0.10-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.10&CDS=1-648	YHR147C
OG0000388	augustus_masked-CACA0S05-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.53&CDS=1-2679	YLR045C
OG0000389	augustus_masked-CACA0S05-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.77&CDS=1-2199	YLR047C
OG0000390	augustus_masked-CACA0S05-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.56&CDS=1-669	YJR024C
OG0000391	augustus_masked-CACA0S05-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.78&CDS=1-294	YJR022W
OG0000392	augustus_masked-CACA0S05-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.57&CDS=1-1170	YJR021C
OG0000393	genemark-CACA0S05-processed-gene-0.17-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.17&CDS=1-1056	YJR019C
OG0000394	snap_masked-CACA0S05-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-0.96&CDS=1-567	YJR017C
OG0000395	genemark-CACA0S05-processed-gene-0.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.19&CDS=1-1263	YGR202C
OG0000396	genemark-CACA0S05-processed-gene-0.20-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.20&CDS=1-1752	YJR016C
OG0000397	genemark-CACA0S05-processed-gene-0.42-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.42&CDS=1-600	YJR014W
OG0000398	augustus_masked-CACA0S05-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.80&CDS=1-2046	YJR013W
OG0000399	augustus_masked-CACA0S05-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.62&CDS=1-576	YJR011C
OG0000400	genemark-CACA0S05-processed-gene-1.2-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.2&CDS=1-1542	YJR010W
OG0000401	genemark-CACA0S05-processed-gene-1.3-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.3&CDS=1-990	YJR008W
OG0000402	augustus_masked-CACA0S05-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.48&CDS=1-1845	YGR191W
OG0000403	genemark-CACA0S05-processed-gene-1.0-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.0&CDS=1-1326	YGR189C
OG0000404	augustus_masked-CACA0S05-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.49&CDS=1-1845	YGL045W
OG0000405	genemark-CACA0S05-processed-gene-1.25-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.25&CDS=1-834	YGL044C
OG0000406	genemark-CACA0S05-processed-gene-1.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.5&CDS=1-912	YGL043W
OG0000407	snap_masked-CACA0S05-processed-gene-1.93-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.93&CDS=1-354	YGL041W-A
OG0000408	genemark-CACA0S05-processed-gene-1.26-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.26&CDS=1-1017	YGL040C
OG0000409	genemark-CACA0S05-processed-gene-1.28-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.28&CDS=1-942	YFR018C
OG0000410	genemark-CACA0S05-processed-gene-1.6-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.6&CDS=1-6129	YFR019W
OG0000411	augustus_masked-CACA0S05-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.52&CDS=1-1683	YFR021W
OG0000412	genemark-CACA0S05-processed-gene-1.9-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.9&CDS=1-1674	YJR052W
OG0000413	augustus_masked-CACA0S05-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.54&CDS=1-1851	YJR053W
OG0000414	snap_masked-CACA0S05-processed-gene-1.117-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.117&CDS=1-558	YGR016W
OG0000415	genemark-CACA0S05-processed-gene-1.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.12&CDS=1-963	YGR015C
OG0000416	augustus_masked-CACA0S05-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.71&CDS=1-2844	YGR014W
OG0000417	augustus_masked-CACA0S05-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.72&CDS=1-1698	YGR013W
OG0000418	genemark-CACA0S05-processed-gene-1.32-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.32&CDS=1-1176	YGR012W
OG0000419	augustus_masked-CACA0S05-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.74&CDS=1-702	YAL003W
OG0000420	genemark-CACA0S05-processed-gene-1.13-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.13&CDS=1-1170	YLR321C
OG0000421	snap_masked-CACA0S05-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.102&CDS=1-471	YLR315W
OG0000422	genemark-CACA0S05-processed-gene-1.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.34&CDS=1-1458	YGR002C
OG0000423	augustus_masked-CACA0S05-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.58&CDS=1-2247	YGR003W
OG0000424	genemark-CACA0S05-processed-gene-1.35-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.35&CDS=1-936	YGR152C
OG0000425	genemark-CACA0S05-processed-gene-1.16-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.16&CDS=1-882	YNL305C
OG0000426	augustus_masked-CACA0S05-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.60&CDS=1-609	YMR117C
OG0000427	genemark-CACA0S05-processed-gene-1.36-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.36&CDS=1-1728	YDR117C
OG0000428	augustus_masked-CACA0S05-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.61&CDS=1-1857	YDR118W
OG0000429	augustus_masked-CACA0S05-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.78&CDS=1-1659	YDR120C
OG0000430	augustus_masked-CACA0S05-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.62&CDS=1-678	YDR121W
OG0000431	augustus_masked-CACA0S05-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.79&CDS=1-762	YDR123C
OG0000432	augustus_masked-CACA0S05-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.64&CDS=1-924	YDR124W
OG0000433	genemark-CACA0S05-processed-gene-1.21-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.21&CDS=1-972	YDR126W
OG0000434	snap_masked-CACA0S05-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.111&CDS=1-4701	YDR128W
OG0000435	genemark-CACA0S05-processed-gene-1.39-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.39&CDS=1-1347	YER136W
OG0000436	genemark-CACA0S05-processed-gene-1.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.40&CDS=1-1743	YHR037W
OG0000437	augustus_masked-CACA0S05-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.82&CDS=1-1506	YHR036W
OG0000438	augustus_masked-CACA0S05-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.83&CDS=1-1827	YHR035W
OG0000439	augustus_masked-CACA0S05-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.66&CDS=1-1047	YHR034C
OG0000440	snap_masked-CACA0S05-processed-gene-2.104-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.104&CDS=1-573	YHR060W
OG0000441	augustus_masked-CACA0S05-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.59&CDS=1-1872	YHR063C
OG0000442	genemark-CACA0S05-processed-gene-2.10-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.10&CDS=1-1626	YHR064C
OG0000443	genemark-CACA0S05-processed-gene-2.4-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.4&CDS=1-1773	YGR065C
OG0000444	genemark-CACA0S05-processed-gene-2.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.5&CDS=1-306	YGR063C
OG0000445	genemark-CACA0S05-processed-gene-2.11-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.11&CDS=1-921	YGR062C
OG0000446	genemark-CACA0S05-processed-gene-2.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.12&CDS=1-4074	YGR061C
OG0000447	augustus_masked-CACA0S05-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.63&CDS=1-1332	YDR255C
OG0000448	snap_masked-CACA0S05-processed-gene-2.135-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.135&CDS=1-1146	YDR254W
OG0000449	genemark-CACA0S05-processed-gene-2.14-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.14&CDS=1-627	YDR253C
OG0000450	genemark-CACA0S05-processed-gene-2.16-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.16&CDS=1-567	YDR248C
OG0000451	maker-CACA0S05-augustus-gene-2.161-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.161&CDS=1-1695	YDR245W
OG0000452	genemark-CACA0S05-processed-gene-2.37-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.37&CDS=1-1716	YDR244W
OG0000453	genemark-CACA0S05-processed-gene-2.17-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.17&CDS=1-1689	YDR243C
OG0000454	genemark-CACA0S05-processed-gene-2.18-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.18&CDS=1-924	YMR241W
OG0000455	genemark-CACA0S05-processed-gene-2.39-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.39&CDS=1-1323	YMR243C
OG0000456	genemark-CACA0S05-processed-gene-2.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.19&CDS=1-1014	YMR244W
OG0000457	snap_masked-CACA0S05-processed-gene-2.141-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.141&CDS=1-267	YMR244C-A
OG0000458	maker-CACA0S05-augustus-gene-2.159-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.159&CDS=1-1908	YKL140W
OG0000459	genemark-CACA0S05-processed-gene-2.21-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.21&CDS=1-1575	YKL139W
OG0000460	snap_masked-CACA0S05-processed-gene-2.142-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.142&CDS=1-198	YKL138C-A
OG0000461	genemark-CACA0S05-processed-gene-2.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.40&CDS=1-585	YJR069C
OG0000462	genemark-CACA0S05-processed-gene-2.41-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.41&CDS=1-978	YJR070C
OG0000463	genemark-CACA0S05-processed-gene-2.42-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.42&CDS=1-600	YJR073C
OG0000464	snap_masked-CACA0S05-processed-gene-2.124-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.124&CDS=1-525	YJR074W
OG0000465	genemark-CACA0S05-processed-gene-2.23-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.23&CDS=1-1164	YJR075W
OG0000466	genemark-CACA0S05-processed-gene-2.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.24&CDS=1-1452	YKL211C
OG0000467	genemark-CACA0S05-processed-gene-2.44-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.44&CDS=1-921	YJR077C
OG0000468	snap_masked-CACA0S05-processed-gene-2.148-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.148&CDS=1-1791	YPL265W
OG0000469	snap_masked-CACA0S05-processed-gene-2.149-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.149&CDS=1-2241	YPL268W
OG0000470	snap_masked-CACA0S05-processed-gene-2.150-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.150&CDS=1-1812	YPL269W
OG0000471	maker-CACA0S05-augustus-gene-2.162-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.162&CDS=1-2283	YPL270W
OG0000472	augustus_masked-CACA0S05-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.74&CDS=1-1578	YPL272C
OG0000473	genemark-CACA0S05-processed-gene-2.48-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.48&CDS=1-1941	YPL263C
OG0000474	augustus_masked-CACA0S05-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.75&CDS=1-1473	YPL262W
OG0000475	snap_masked-CACA0S05-processed-gene-2.153-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.153&CDS=1-1326	YOL015W
OG0000476	snap_masked-CACA0S05-processed-gene-2.155-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.155&CDS=1-2685	YLR263W
OG0000477	snap_masked-CACA0S05-processed-gene-2.129-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.129&CDS=1-192	YLR262C-A
OG0000478	snap_masked-CACA0S05-processed-gene-2.130-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.130&CDS=1-642	YLR262C
OG0000479	genemark-CACA0S05-processed-gene-2.29-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.29&CDS=1-1722	YLR259C
OG0000480	genemark-CACA0S05-processed-gene-2.52-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.52&CDS=1-1602	YOL013C
OG0000481	genemark-CACA0S05-processed-gene-2.53-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.53&CDS=1-405	YOL012C
OG0000482	snap_masked-CACA0S05-processed-gene-2.133-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.133&CDS=1-1098	YOL010W
OG0000483	genemark-CACA0S05-processed-gene-2.54-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.54&CDS=1-822	YOL009C
OG0000484	genemark-CACA0S05-processed-gene-2.32-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.32&CDS=1-570	YOL008W
OG0000485	augustus_masked-CACA0S05-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.47&CDS=1-828	YOL007C
OG0000486	genemark-CACA0S05-processed-gene-3.7-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.7&CDS=1-2256	YOL006C
OG0000487	genemark-CACA0S05-processed-gene-3.8-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.8&CDS=1-363	YOL005C
OG0000488	maker-CACA0S05-snap-gene-3.122-mRNA-1_1&gene=maker-CACA0S05-snap-gene-3.122&CDS=1-3915	YOL004W
OG0000489	genemark-CACA0S05-processed-gene-3.9-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.9&CDS=1-687	YLL027W
OG0000490	snap_masked-CACA0S05-processed-gene-3.87-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.87&CDS=1-2226	YLL029W
OG0000491	genemark-CACA0S05-processed-gene-3.11-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.11&CDS=1-3045	YLL031C
OG0000492	snap_masked-CACA0S05-processed-gene-3.89-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.89&CDS=1-2358	YLL032C
OG0000493	snap_masked-CACA0S05-processed-gene-3.102-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.102&CDS=1-651	YLL033W
OG0000494	snap_masked-CACA0S05-processed-gene-3.90-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.90&CDS=1-2448	YLL034C
OG0000495	genemark-CACA0S05-processed-gene-3.28-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.28&CDS=1-1911	YLL035W
OG0000496	maker-CACA0S05-augustus-gene-3.0-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-3.0&CDS=1-4179	YLR277C
OG0000497	maker-CACA0S05-snap-gene-3.123-mRNA-1_1&gene=maker-CACA0S05-snap-gene-3.123&CDS=1-330	YLR275W
OG0000498	augustus_masked-CACA0S05-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.65&CDS=1-2322	YLR274W
OG0000499	genemark-CACA0S05-processed-gene-3.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.30&CDS=1-2091	YJR042W
OG0000500	snap_masked-CACA0S05-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.93&CDS=1-3531	YJR041C
OG0000501	genemark-CACA0S05-processed-gene-3.31-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.31&CDS=1-2337	YJR040W
OG0000502	snap_masked-CACA0S05-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.108&CDS=1-3393	YJR039W
OG0000503	genemark-CACA0S05-processed-gene-3.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.19&CDS=1-2382	YJR036C
OG0000504	maker-CACA0S05-augustus-gene-3.1-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-3.1&CDS=1-3345	YJR035W
OG0000505	genemark-CACA0S05-processed-gene-3.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.34&CDS=1-321	YJR034W
OG0000506	genemark-CACA0S05-processed-gene-3.20-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.20&CDS=1-4026	YJR033C
OG0000507	genemark-CACA0S05-processed-gene-3.35-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.35&CDS=1-1161	YJR032W
OG0000508	snap_masked-CACA0S05-processed-gene-3.96-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.96&CDS=1-2475	YJR030C
OG0000509	genemark-CACA0S05-processed-gene-3.36-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.36&CDS=1-2028	YKL179C
OG0000510	augustus_masked-CACA0S05-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.73&CDS=1-1494	YKL178C
OG0000511	genemark-CACA0S05-processed-gene-3.38-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.38&CDS=1-1209	YJL171C
OG0000512	snap_masked-CACA0S05-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.115&CDS=1-2598	YKL176C
OG0000513	augustus_masked-CACA0S05-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.60&CDS=1-1647	YKL175W
OG0000514	genemark-CACA0S05-processed-gene-3.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.40&CDS=1-1914	YKL174C
OG0000515	genemark-CACA0S05-processed-gene-3.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.24&CDS=1-2796	YKL173W
OG0000516	genemark-CACA0S05-processed-gene-3.25-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.25&CDS=1-2541	YKL171W
OG0000517	genemark-CACA0S05-processed-gene-3.26-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.26&CDS=1-447	YKL170W
