	Saccharomyces_cerevisiae	yHMPu5000035044_Barnettozyma_californica
OG0000013	YAL051W, YOR363C	genemark-flattened_line_0-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.17&CDS=1-2661, genemark-flattened_line_24-processed-gene-1.49-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.49&CDS=1-2622, genemark-flattened_line_46-processed-gene-0.184-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.184&CDS=1-3171, maker-flattened_line_46-snap-gene-0.65-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.65&CDS=1-6882
OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_30-processed-gene-1.221-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.221&CDS=1-4572, genemark-flattened_line_8-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.7&CDS=1-2733
OG0000015	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	maker-flattened_line_26-snap-gene-1.124-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.124&CDS=1-1179
OG0000016	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	genemark-flattened_line_18-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.76&CDS=1-1683
OG0000017	YJL172W, YOL153C	genemark-flattened_line_0-processed-gene-9.32-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.32&CDS=1-1578, genemark-flattened_line_24-processed-gene-2.143-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.143&CDS=1-1788, genemark-flattened_line_4-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.100&CDS=1-1635, snap_masked-flattened_line_8-processed-gene-4.188-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.188&CDS=1-1704
OG0000018	YOL119C, YOR306C	genemark-flattened_line_18-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.116&CDS=1-1479, genemark-flattened_line_18-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.141&CDS=1-1419, genemark-flattened_line_2-processed-gene-8.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.116&CDS=1-1467, genemark-flattened_line_32-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.67&CDS=1-1494
OG0000019	YBL089W, YER119C, YIL088C	genemark-flattened_line_10-processed-gene-4.180-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.180&CDS=1-1515, genemark-flattened_line_2-processed-gene-5.26-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.26&CDS=1-1227
OG0000020	YBR015C	genemark-flattened_line_30-processed-gene-1.243-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.243&CDS=1-1821, genemark-flattened_line_54-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.93&CDS=1-1596, genemark-flattened_line_8-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.62&CDS=1-1731, maker-flattened_line_12-snap-gene-2.157-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.157&CDS=1-4785
OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_28-processed-gene-1.5-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.5&CDS=1-1704
OG0000022	YDL138W, YDL194W	genemark-flattened_line_44-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.128&CDS=1-1635, genemark-flattened_line_8-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.89&CDS=1-1653, snap_masked-flattened_line_8-processed-gene-4.166-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-4.166&CDS=1-2595
OG0000023	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_28-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.24&CDS=1-1023
OG0000024	YDR038C, YDR039C, YDR040C	genemark-flattened_line_42-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.4&CDS=1-3054, genemark-flattened_line_70-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.18&CDS=1-3162
OG0000025	YDR144C, YLR120C, YLR121C	genemark-flattened_line_38-processed-gene-0.177-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.177&CDS=1-1338, maker-flattened_line_66-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_66-snap-gene-0.40&CDS=1-5175
OG0000026	YDR242W	genemark-flattened_line_0-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.15&CDS=1-1647, genemark-flattened_line_36-processed-gene-1.37-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.37&CDS=1-1656, genemark-flattened_line_48-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.156&CDS=1-1656, snap_masked-flattened_line_2-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.142&CDS=1-1620
OG0000027	YDR391C, YOR013W	augustus_masked-flattened_line_12-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.71&CDS=1-624, augustus_masked-flattened_line_12-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.73&CDS=1-597, augustus_masked-flattened_line_12-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.67&CDS=1-582
OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_34-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.76&CDS=1-717
OG0000029	YEL063C, YNL268W	genemark-flattened_line_0-processed-gene-7.153-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.153&CDS=1-1671, genemark-flattened_line_14-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.10&CDS=1-1659, genemark-flattened_line_14-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.29&CDS=1-1653
OG0000030	YER056C, YER060W, YER060W-A	genemark-flattened_line_12-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.99&CDS=1-3366, genemark-flattened_line_2-processed-gene-5.21-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.21&CDS=1-1560
OG0000031	YFR040W, YGL229C, YKR028W	genemark-flattened_line_0-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.18&CDS=1-2541, genemark-flattened_line_20-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.73&CDS=1-2748
OG0000032	YGL185C, YPL113C	genemark-flattened_line_2-processed-gene-5.35-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.35&CDS=1-1098, genemark-flattened_line_36-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.8&CDS=1-1098, maker-flattened_line_12-augustus-gene-4.134-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-4.134&CDS=1-2226
OG0000033	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_138-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.0&CDS=1-1530
OG0000034	YGR197C, YJR015W	augustus_masked-flattened_line_30-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.132&CDS=1-1464, genemark-flattened_line_8-processed-gene-4.46-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.46&CDS=1-1659, maker-flattened_line_6-snap-gene-3.51-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.51&CDS=1-549
OG0000035	YHR179W, YPL171C	genemark-flattened_line_20-processed-gene-2.169-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.169&CDS=1-1191, genemark-flattened_line_42-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.56&CDS=1-1242, genemark-flattened_line_44-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.111&CDS=1-1242
OG0000036	YIL120W, YIL121W, YNL065W	genemark-flattened_line_22-processed-gene-2.120-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.120&CDS=1-1464, genemark-flattened_line_22-processed-gene-2.123-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.123&CDS=1-1509
OG0000037	YIL166C	augustus_masked-flattened_line_22-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.41&CDS=1-1710, genemark-flattened_line_10-processed-gene-2.61-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.61&CDS=1-1692, genemark-flattened_line_10-processed-gene-2.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.91&CDS=1-1647, genemark-flattened_line_92-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.13&CDS=1-1680
OG0000038	YKL220C, YNR060W, YOR381W	genemark-flattened_line_24-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.162&CDS=1-2097, genemark-flattened_line_8-processed-gene-2.85-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.85&CDS=1-2031
OG0000039	YKL222C, YLR266C, YOR162C, YOR172W	genemark-flattened_line_22-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.60&CDS=1-2664
OG0000040	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_108-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_108-snap-gene-0.9&CDS=1-309
OG0000041	YAL054C, YLR153C	genemark-flattened_line_28-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.30&CDS=1-2049, genemark-flattened_line_40-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.95&CDS=1-1932
OG0000042	YBL002W, YDR224C	genemark-flattened_line_28-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.125&CDS=1-399, genemark-flattened_line_30-processed-gene-1.305-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.305&CDS=1-399
OG0000043	YBL011W, YKR067W	genemark-flattened_line_4-processed-gene-4.117-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.117&CDS=1-2112, genemark-flattened_line_6-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.44&CDS=1-2067
OG0000044	YBL016W, YGR040W	genemark-flattened_line_26-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.53&CDS=1-1056, genemark-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.58&CDS=1-1074
OG0000045	YBR008C	genemark-flattened_line_42-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.62&CDS=1-1587, maker-flattened_line_44-snap-gene-0.159-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.159&CDS=1-933, snap_masked-flattened_line_30-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.27&CDS=1-1587
OG0000046	YBR009C, YNL030W	genemark-flattened_line_2-processed-gene-5.28-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.28&CDS=1-309, genemark-flattened_line_80-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.63&CDS=1-309
OG0000047	YBR010W, YNL031C	genemark-flattened_line_2-processed-gene-5.59-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.59&CDS=1-408, genemark-flattened_line_80-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.51&CDS=1-408
OG0000048	YBR021W, YIR028W	genemark-flattened_line_4-processed-gene-7.115-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.115&CDS=1-1770, genemark-flattened_line_4-processed-gene-7.155-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.155&CDS=1-1767
OG0000049	YBR082C, YGR133W	genemark-flattened_line_10-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.43&CDS=1-441, genemark-flattened_line_2-processed-gene-8.119-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.119&CDS=1-468
OG0000050	YBR139W, YMR297W	genemark-flattened_line_20-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.69&CDS=1-1623, genemark-flattened_line_56-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.130&CDS=1-1542
OG0000051	YBR181C, YPL090C	genemark-flattened_line_2-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.43&CDS=1-708, genemark-flattened_line_6-processed-gene-4.246-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.246&CDS=1-708
OG0000052	YBR297W, YFL052W, YGR288W, YPR196W	
OG0000053	YCL037C, YDR515W	genemark-flattened_line_30-processed-gene-1.262-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.262&CDS=1-1446, genemark-flattened_line_64-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.92&CDS=1-1377
OG0000054	YCL067C, YCR039C, YCR096C	maker-flattened_line_8-augustus-gene-1.82-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.82&CDS=1-636
OG0000055	YCR010C, YNR002C	genemark-flattened_line_20-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.131&CDS=1-864, genemark-flattened_line_30-processed-gene-1.282-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.282&CDS=1-801
OG0000056	YCR037C, YJL198W	genemark-flattened_line_0-processed-gene-4.44-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.44&CDS=1-2619, genemark-flattened_line_22-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.49&CDS=1-2397
OG0000057	YCR094W, YNL323W, YNR048W	snap_masked-flattened_line_14-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.38&CDS=1-4257
OG0000058	YDL022W, YOL059W	genemark-flattened_line_20-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.55&CDS=1-1146, maker-flattened_line_18-augustus-gene-3.149-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-3.149&CDS=1-1578
OG0000059	YDL037C, YIR019C	genemark-flattened_line_32-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.19&CDS=1-3063, genemark-flattened_line_70-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.21&CDS=1-1761
OG0000060	YDL049C	genemark-flattened_line_22-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.72&CDS=1-834, genemark-flattened_line_60-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.13&CDS=1-837, genemark-flattened_line_84-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.7&CDS=1-462
OG0000061	YDL082W, YMR142C	genemark-flattened_line_18-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.119&CDS=1-597, genemark-flattened_line_58-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.36&CDS=1-597
OG0000062	YDL113C, YDR425W	genemark-flattened_line_0-processed-gene-4.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.75&CDS=1-1602, genemark-flattened_line_46-processed-gene-0.170-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.170&CDS=1-1683
OG0000063	YDL174C	genemark-flattened_line_12-processed-gene-4.13-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.13&CDS=1-1668, genemark-flattened_line_18-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.111&CDS=1-1686, genemark-flattened_line_66-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.67&CDS=1-1692
OG0000064	YDR002W, YLR335W	genemark-flattened_line_16-processed-gene-2.79-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.79&CDS=1-615, genemark-flattened_line_2-processed-gene-8.75-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.75&CDS=1-2064
OG0000065	YDR135C, YLL015W	genemark-flattened_line_16-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.74&CDS=1-4620, genemark-flattened_line_8-processed-gene-3.102-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.102&CDS=1-4341
OG0000066	YDR178W, YLR164W	augustus_masked-flattened_line_8-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.114&CDS=1-528, genemark-flattened_line_14-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.77&CDS=1-522
OG0000067	YDR319C, YGL126W	augustus_masked-flattened_line_4-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.114&CDS=1-966, snap_masked-flattened_line_50-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.62&CDS=1-885
