	Saccharomyces_cerevisiae	yHMPu5000035243_Zygoascus_meyerae
OG0000010	YFL040W	augustus_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.21-mRNA-1_1&gene=augustus_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.21&CDS=1-1515, snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-3.49&CDS=1-1818, snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-3.93-mRNA-1_1&gene=snap_masked-NODE_14_length_402958_cov_18.9881_ID_2029-processed-gene-3.93&CDS=1-1593, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.52&CDS=1-1620, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.128&CDS=1-1581, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-7.124&CDS=1-1557, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.41-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.41&CDS=1-1542
OG0000011	YAL067C, YCR028C, YGR065C	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-1.99&CDS=1-1452, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.154-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.154&CDS=1-1551, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.47-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.47&CDS=1-1566, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-5.190-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-5.190&CDS=1-1620
OG0000012	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.1&CDS=1-1650, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.86-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.86&CDS=1-1689, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-9.45-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-9.45&CDS=1-1692
OG0000013	YDL210W	maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.184-mRNA-1_1&gene=maker-NODE_12_length_423269_cov_19.1425_ID_1554-snap-gene-3.184&CDS=1-3228, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-4.122&CDS=1-1620, snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.31&CDS=1-1785, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.159-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.159&CDS=1-1644, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.21-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.21&CDS=1-1620, snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NODE_8_length_668598_cov_18.9487_ID_973-processed-gene-4.22&CDS=1-1593
OG0000014	YDR207C, YDR213W, YLR228C	genemark-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-0.46&CDS=1-1395, maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-2.66-mRNA-1_1&gene=maker-NODE_10_length_453567_cov_20.6492_ID_1595-snap-gene-2.66&CDS=1-1410, maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-5.169-mRNA-1_1&gene=maker-NODE_9_length_615366_cov_18.973_ID_1912-snap-gene-5.169&CDS=1-2448, snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.133-mRNA-1_1&gene=snap_masked-NODE_4_length_827553_cov_19.7208_ID_1272-processed-gene-7.133&CDS=1-1302
OG0000015	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.122-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.122&CDS=1-1659
OG0000016	YJL212C, YPR194C	maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-0.4&CDS=1-7620, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-3.138&CDS=1-2514, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.37-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.37&CDS=1-2508, snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_26_length_100927_cov_18.7495_ID_2454-processed-gene-0.111&CDS=1-2556, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.49-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-5.49&CDS=1-2601
OG0000017	YKR039W, YPL265W	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.162-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.162&CDS=1-1776, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.166-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-1.166&CDS=1-1758, snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_19_length_184689_cov_19.2526_ID_1898-processed-gene-0.97&CDS=1-1629, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.63-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-9.63&CDS=1-1719, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.142-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-6.142&CDS=1-1629
OG0000018	YLR214W, YLR268W	augustus_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_17_length_335658_cov_21.0353_ID_2164-processed-gene-0.35&CDS=1-3360, snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_11_length_435590_cov_18.4678_ID_1220-processed-gene-0.13&CDS=1-2112, snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.132-mRNA-1_1&gene=snap_masked-NODE_12_length_423269_cov_19.1425_ID_1554-processed-gene-1.132&CDS=1-2373, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.122&CDS=1-2124, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.123-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-2.123&CDS=1-2181
OG0000019	YCR105W, YMR318C	maker-NODE_7_length_674142_cov_18.8803_ID_1132-snap-gene-1.12-mRNA-1_1&gene=maker-NODE_7_length_674142_cov_18.8803_ID_1132-snap-gene-1.12&CDS=1-627, snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_5_length_798211_cov_19.4048_ID_1084-processed-gene-3.55&CDS=1-1089, snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_6_length_745053_cov_20.2367_ID_1009-processed-gene-0.93&CDS=1-1089, snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-1.66&CDS=1-1089
OG0000020	YDR380W, YGR087C, YLR044C, YLR134W	snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.99-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-7.99&CDS=1-1683, snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NODE_9_length_615366_cov_18.973_ID_1912-processed-gene-3.18&CDS=1-1788
OG0000021	YDR387C, YDR497C, YOL103W	snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.14&CDS=1-1428, snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.147-mRNA-1_1&gene=snap_masked-NODE_22_length_135448_cov_23.8262_ID_2282-processed-gene-0.147&CDS=1-1602, snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NODE_7_length_674142_cov_18.8803_ID_1132-processed-gene-3.20&CDS=1-1581
OG0000022	YDR533C, YMR322C, YOR391C, YPL280W	maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-7.190-mRNA-1_1&gene=maker-NODE_4_length_827553_cov_19.7208_ID_1272-snap-gene-7.190&CDS=1-1410, snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.128-mRNA-1_1&gene=snap_masked-NODE_1_length_1065328_cov_19.742_ID_1323-processed-gene-6.128&CDS=1-720
OG0000023	YER133W, YML016C	maker-NODE_3_length_863959_cov_18.7832_ID_1457-augustus-gene-7.5-mRNA-1_1&gene=maker-NODE_3_length_863959_cov_18.7832_ID_1457-augustus-gene-7.5&CDS=1-975, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-0.10&CDS=1-1491, snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_15_length_376289_cov_21.1717_ID_1409-processed-gene-2.25&CDS=1-1815, snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_3_length_863959_cov_18.7832_ID_1457-processed-gene-1.153&CDS=1-972
OG0000024	YGR260W	snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.188-mRNA-1_1&gene=snap_masked-NODE_13_length_418862_cov_18.7454_ID_1788-processed-gene-3.188&CDS=1-1509, snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_23_length_134032_cov_18.6164_ID_2310-processed-gene-0.57&CDS=1-1530, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-5.128&CDS=1-1494, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.102-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-6.102&CDS=1-1503, snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.27-mRNA-1_1&gene=snap_masked-NODE_2_length_1055940_cov_18.7611_ID_4341-processed-gene-8.27&CDS=1-1533
