	Metschnikowia_cerradonensis	Saccharomyces_cerevisiae
OG0000010		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000011	genemark-cer-_s119-processed-gene-0.97-mRNA-1_1&gene=genemark-cer-_s119-processed-gene-0.97&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000012	augustus_masked-cer-_s568-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-cer-_s568-processed-gene-0.2&CDS=1-624, genemark-cer-_s156-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s156-processed-gene-0.7&CDS=1-1878, genemark-cer-_s359-processed-gene-0.102-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.102&CDS=1-1914, genemark-cer-_s48-processed-gene-0.107-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-0.107&CDS=1-1548, genemark-cer-_s708-processed-gene-0.51-mRNA-1_1&gene=genemark-cer-_s708-processed-gene-0.51&CDS=1-2181, maker-cer-_s587-snap-gene-0.154-mRNA-1_1&gene=maker-cer-_s587-snap-gene-0.154&CDS=1-1200	YFL021W, YKR034W
OG0000013	genemark-cer-_s301-processed-gene-0.101-mRNA-1_1&gene=genemark-cer-_s301-processed-gene-0.101&CDS=1-2646, genemark-cer-_s304-processed-gene-0.11-mRNA-1_1&gene=genemark-cer-_s304-processed-gene-0.11&CDS=1-3360, genemark-cer-_s359-processed-gene-0.109-mRNA-1_1&gene=genemark-cer-_s359-processed-gene-0.109&CDS=1-3300, genemark-cer-_s649-processed-gene-0.16-mRNA-1_1&gene=genemark-cer-_s649-processed-gene-0.16&CDS=1-2277	YER013W, YGL120C, YKR086W, YNR011C
OG0000014	maker-cer-_s304-snap-gene-0.136-mRNA-1_1&gene=maker-cer-_s304-snap-gene-0.136&CDS=1-198, maker-cer-_s343-snap-gene-0.0-mRNA-1_1&gene=maker-cer-_s343-snap-gene-0.0&CDS=1-192, maker-cer-_s580-snap-gene-0.87-mRNA-1_1&gene=maker-cer-_s580-snap-gene-0.87&CDS=1-1467	YHL021C, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000015	augustus_masked-cer-_C43612-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_C43612-processed-gene-0.1&CDS=1-681, snap_masked-cer-_s164-processed-gene-0.9-mRNA-1_1&gene=snap_masked-cer-_s164-processed-gene-0.9&CDS=1-1932, snap_masked-cer-_s168-processed-gene-0.0-mRNA-1_1&gene=snap_masked-cer-_s168-processed-gene-0.0&CDS=1-531, snap_masked-cer-_s247-processed-gene-0.10-mRNA-1_1&gene=snap_masked-cer-_s247-processed-gene-0.10&CDS=1-219, snap_masked-cer-_s353-processed-gene-0.122-mRNA-1_1&gene=snap_masked-cer-_s353-processed-gene-0.122&CDS=1-939, snap_masked-cer-_s648-processed-gene-0.3-mRNA-1_1&gene=snap_masked-cer-_s648-processed-gene-0.3&CDS=1-189	YCL074W
OG0000016	augustus_masked-cer-_C46236-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-cer-_C46236-processed-gene-0.0&CDS=1-657, genemark-cer-_s324-processed-gene-0.34-mRNA-1_1&gene=genemark-cer-_s324-processed-gene-0.34&CDS=1-2367, genemark-cer-_s689-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s689-processed-gene-0.8&CDS=1-2199, maker-cer-_s173-snap-gene-0.0-mRNA-1_1&gene=maker-cer-_s173-snap-gene-0.0&CDS=1-1644	YDL025C, YNL183C, YOR267C
OG0000017	genemark-cer-_s16-processed-gene-2.94-mRNA-1_1&gene=genemark-cer-_s16-processed-gene-2.94&CDS=1-1764, genemark-cer-_s27-processed-gene-0.58-mRNA-1_1&gene=genemark-cer-_s27-processed-gene-0.58&CDS=1-4161, genemark-cer-_s770-processed-gene-0.14-mRNA-1_1&gene=genemark-cer-_s770-processed-gene-0.14&CDS=1-2601	YCL024W, YDR477W, YDR507C, YPL150W
OG0000018	genemark-cer-_s218-processed-gene-1.76-mRNA-1_1&gene=genemark-cer-_s218-processed-gene-1.76&CDS=1-957, genemark-cer-_s245-processed-gene-0.27-mRNA-1_1&gene=genemark-cer-_s245-processed-gene-0.27&CDS=1-966, genemark-cer-_s649-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s649-processed-gene-0.4&CDS=1-1170	YBL068W, YER099C, YHL011C, YOL061W
OG0000019	augustus_masked-cer-_C36392-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_C36392-processed-gene-0.1&CDS=1-180, augustus_masked-cer-_C40004-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_C40004-processed-gene-0.1&CDS=1-411, augustus_masked-cer-_C40524-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_C40524-processed-gene-0.1&CDS=1-420, genemark-cer-_s615-processed-gene-0.38-mRNA-1_1&gene=genemark-cer-_s615-processed-gene-0.38&CDS=1-1443, snap_masked-cer-_C41638-processed-gene-0.2-mRNA-1_1&gene=snap_masked-cer-_C41638-processed-gene-0.2&CDS=1-627	YKL185W
OG0000020	augustus_masked-cer-_s187-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-cer-_s187-processed-gene-0.78&CDS=1-2469, genemark-cer-_C48080-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_C48080-processed-gene-0.1&CDS=1-1722, genemark-cer-_s120-processed-gene-1.142-mRNA-1_1&gene=genemark-cer-_s120-processed-gene-1.142&CDS=1-1815, genemark-cer-_s769-processed-gene-0.12-mRNA-1_1&gene=genemark-cer-_s769-processed-gene-0.12&CDS=1-1434	YDR338C, YHR032W
OG0000021	augustus_masked-cer-_s19-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_s19-processed-gene-0.1&CDS=1-390, augustus_masked-cer-_s459-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-cer-_s459-processed-gene-0.3&CDS=1-591, augustus_masked-cer-_s613-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-cer-_s613-processed-gene-0.7&CDS=1-2862, snap_masked-cer-_s106-processed-gene-0.34-mRNA-1_1&gene=snap_masked-cer-_s106-processed-gene-0.34&CDS=1-2424, snap_masked-cer-_s442-processed-gene-0.24-mRNA-1_1&gene=snap_masked-cer-_s442-processed-gene-0.24&CDS=1-825, snap_masked-cer-_s571-processed-gene-0.8-mRNA-1_1&gene=snap_masked-cer-_s571-processed-gene-0.8&CDS=1-417	
OG0000022	genemark-cer-_s388-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s388-processed-gene-0.4&CDS=1-1527, genemark-cer-_s416-processed-gene-0.3-mRNA-1_1&gene=genemark-cer-_s416-processed-gene-0.3&CDS=1-1920, genemark-cer-_s416-processed-gene-0.7-mRNA-1_1&gene=genemark-cer-_s416-processed-gene-0.7&CDS=1-1596, snap_masked-cer-_s120-processed-gene-0.67-mRNA-1_1&gene=snap_masked-cer-_s120-processed-gene-0.67&CDS=1-186	YGR197C, YJR015W
OG0000023	augustus_masked-cer-_s20-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-cer-_s20-processed-gene-0.51&CDS=1-1785, snap_masked-cer-_s148-processed-gene-0.51-mRNA-1_1&gene=snap_masked-cer-_s148-processed-gene-0.51&CDS=1-2952, snap_masked-cer-_s488-processed-gene-0.17-mRNA-1_1&gene=snap_masked-cer-_s488-processed-gene-0.17&CDS=1-444, snap_masked-cer-_s619-processed-gene-0.6-mRNA-1_1&gene=snap_masked-cer-_s619-processed-gene-0.6&CDS=1-3171	YNL192W, YNL193W
OG0000024	genemark-cer-_s159-processed-gene-2.113-mRNA-1_1&gene=genemark-cer-_s159-processed-gene-2.113&CDS=1-1263, genemark-cer-_s276-processed-gene-0.54-mRNA-1_1&gene=genemark-cer-_s276-processed-gene-0.54&CDS=1-1068	YIL123W, YJL116C, YKR042W, YNL066W
OG0000025	augustus_masked-cer-_s178-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-cer-_s178-processed-gene-0.67&CDS=1-297, augustus_masked-cer-_s178-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-cer-_s178-processed-gene-0.68&CDS=1-258, snap_masked-cer-_s16-processed-gene-3.0-mRNA-1_1&gene=snap_masked-cer-_s16-processed-gene-3.0&CDS=1-1161, snap_masked-cer-_s306-processed-gene-0.13-mRNA-1_1&gene=snap_masked-cer-_s306-processed-gene-0.13&CDS=1-585	YCL048W, YDR522C
OG0000026	genemark-cer-_s160-processed-gene-0.86-mRNA-1_1&gene=genemark-cer-_s160-processed-gene-0.86&CDS=1-1065, genemark-cer-_s49-processed-gene-2.132-mRNA-1_1&gene=genemark-cer-_s49-processed-gene-2.132&CDS=1-942, genemark-cer-_s531-processed-gene-0.8-mRNA-1_1&gene=genemark-cer-_s531-processed-gene-0.8&CDS=1-918	YDL047W, YDR075W, YNR032W
OG0000027	augustus_masked-cer-_s217-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-cer-_s217-processed-gene-0.1&CDS=1-459, genemark-cer-_s364-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s364-processed-gene-0.10&CDS=1-456, genemark-cer-_s601-processed-gene-0.5-mRNA-1_1&gene=genemark-cer-_s601-processed-gene-0.5&CDS=1-372, snap_masked-cer-_s371-processed-gene-0.49-mRNA-1_1&gene=snap_masked-cer-_s371-processed-gene-0.49&CDS=1-375	YGL089C, YPL187W
OG0000028	genemark-cer-_s273-processed-gene-0.17-mRNA-1_1&gene=genemark-cer-_s273-processed-gene-0.17&CDS=1-1005, genemark-cer-_s587-processed-gene-0.73-mRNA-1_1&gene=genemark-cer-_s587-processed-gene-0.73&CDS=1-1299, genemark-cer-_s690-processed-gene-0.4-mRNA-1_1&gene=genemark-cer-_s690-processed-gene-0.4&CDS=1-1185	YHL028W, YNL283C, YOL105C
OG0000029	genemark-cer-_s311-processed-gene-0.42-mRNA-1_1&gene=genemark-cer-_s311-processed-gene-0.42&CDS=1-3792, genemark-cer-_s41-processed-gene-0.50-mRNA-1_1&gene=genemark-cer-_s41-processed-gene-0.50&CDS=1-4827, genemark-cer-_s48-processed-gene-1.131-mRNA-1_1&gene=genemark-cer-_s48-processed-gene-1.131&CDS=1-1716	YIL126W, YKR008W, YOR290C
OG0000030	genemark-cer-_s353-processed-gene-0.10-mRNA-1_1&gene=genemark-cer-_s353-processed-gene-0.10&CDS=1-1722, genemark-cer-_s543-processed-gene-0.21-mRNA-1_1&gene=genemark-cer-_s543-processed-gene-0.21&CDS=1-1668, genemark-cer-_s580-processed-gene-0.1-mRNA-1_1&gene=genemark-cer-_s580-processed-gene-0.1&CDS=1-1671	YBR298C, YDL247W, YJR160C
OG0000031	genemark-cer-_s366-processed-gene-0.15-mRNA-1_1&gene=genemark-cer-_s366-processed-gene-0.15&CDS=1-1011	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
