	Saccharomyces_cerevisiae	yHMPu5000035696_Hanseniaspora_singularis
OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-flattened_line_6-snap-gene-0.104-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-0.104&CDS=1-2811
OG0000011	YBR246W	augustus_masked-flattened_line_1105-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1105-processed-gene-0.2&CDS=1-366, augustus_masked-flattened_line_138-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.0&CDS=1-291, augustus_masked-flattened_line_613-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_613-processed-gene-0.0&CDS=1-735, augustus_masked-flattened_line_709-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_709-processed-gene-0.2&CDS=1-564, augustus_masked-flattened_line_98-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.84&CDS=1-480
OG0000012	YDL123W, YDR276C, YDR525W-A, YJL151C	maker-flattened_line_14-snap-gene-0.112-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-0.112&CDS=1-366, snap_masked-flattened_line_118-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.15&CDS=1-357
OG0000013	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_28-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.137&CDS=1-1833, maker-flattened_line_10-snap-gene-1.212-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.212&CDS=1-3132, maker-flattened_line_28-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.6&CDS=1-2199
OG0000014	YDR380W, YLR044C	augustus_masked-flattened_line_106-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.63&CDS=1-1692, augustus_masked-flattened_line_34-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.15&CDS=1-1692, augustus_masked-flattened_line_40-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.202&CDS=1-2235, snap_masked-flattened_line_54-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.29&CDS=1-1830
OG0000015	YAL051W, YOR363C	maker-flattened_line_2-augustus-gene-2.101-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.101&CDS=1-5688, maker-flattened_line_2-snap-gene-2.80-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.80&CDS=1-2574, maker-flattened_line_2-snap-gene-2.83-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.83&CDS=1-3204
OG0000016	YBL068W-A, YBL069W, YER101C	augustus_masked-flattened_line_1083-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1083-processed-gene-0.0&CDS=1-165, snap_masked-flattened_line_403-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_403-processed-gene-0.3&CDS=1-1233
OG0000017	YBL101C, YPR030W	augustus_masked-flattened_line_309-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_309-processed-gene-0.2&CDS=1-264, augustus_masked-flattened_line_311-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_311-processed-gene-0.0&CDS=1-264, genemark-flattened_line_201-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_201-processed-gene-0.3&CDS=1-2505
OG0000018	YBR015C	augustus_masked-flattened_line_146-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.0&CDS=1-1917, augustus_masked-flattened_line_181-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_181-processed-gene-0.12&CDS=1-1773, augustus_masked-flattened_line_245-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_245-processed-gene-0.0&CDS=1-1773, maker-flattened_line_66-snap-gene-0.93-mRNA-1_1&gene=maker-flattened_line_66-snap-gene-0.93&CDS=1-3477
OG0000019	YCL069W, YGR224W, YKR105C	maker-flattened_line_20-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.2&CDS=1-3570, snap_masked-flattened_line_20-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.24&CDS=1-1872
OG0000020	YDL085W, YML120C, YMR145C	snap_masked-flattened_line_0-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.31&CDS=1-1458, snap_masked-flattened_line_40-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.40&CDS=1-1518
OG0000021	YDL108W, YFL029C	augustus_masked-flattened_line_0-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.2&CDS=1-1386, genemark-flattened_line_8-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.137&CDS=1-1245, snap_masked-flattened_line_40-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.37&CDS=1-975
OG0000022	YDL210W	augustus_masked-flattened_line_2-processed-gene-2.188-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.188&CDS=1-1785, augustus_masked-flattened_line_255-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_255-processed-gene-0.1&CDS=1-1506, augustus_masked-flattened_line_38-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.118&CDS=1-1023, snap_masked-flattened_line_2-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.33&CDS=1-1752
OG0000023	YDR178W, YLR164W, YOR297C	snap_masked-flattened_line_6-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.73&CDS=1-528, snap_masked-flattened_line_94-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.32&CDS=1-555
OG0000024	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_42-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.166&CDS=1-1038
OG0000025	YER001W, YGL257C, YIL014W, YNR059W	maker-flattened_line_110-snap-gene-0.105-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.105&CDS=1-2274
OG0000026	YGR032W, YLR342W, YMR306W	augustus_masked-flattened_line_34-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.10&CDS=1-5703, snap_masked-flattened_line_106-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.16&CDS=1-5634
OG0000027	YJL042W, YOR227W, YPL137C	augustus_masked-flattened_line_10-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.100&CDS=1-2583, augustus_masked-flattened_line_18-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.58&CDS=1-1971
OG0000028	YKL049C	augustus_masked-flattened_line_1087-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1087-processed-gene-0.2&CDS=1-354, augustus_masked-flattened_line_255-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_255-processed-gene-0.0&CDS=1-369, augustus_masked-flattened_line_773-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_773-processed-gene-0.0&CDS=1-369, genemark-flattened_line_639-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_639-processed-gene-0.1&CDS=1-528
OG0000029	YKL081W, YPL048W	augustus_masked-flattened_line_1325-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1325-processed-gene-0.0&CDS=1-309, augustus_masked-flattened_line_22-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.0&CDS=1-369, augustus_masked-flattened_line_383-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_383-processed-gene-0.1&CDS=1-369
OG0000030	YKL217W	augustus_masked-flattened_line_675-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_675-processed-gene-0.0&CDS=1-570, augustus_masked-flattened_line_725-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_725-processed-gene-0.2&CDS=1-426, augustus_masked-flattened_line_909-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_909-processed-gene-0.0&CDS=1-285, snap_masked-flattened_line_118-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.10&CDS=1-264
OG0000031	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_4-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.82&CDS=1-2934
OG0000032	YMR169C, YMR170C	augustus_masked-flattened_line_40-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.179&CDS=1-1530, maker-flattened_line_2-snap-gene-0.115-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.115&CDS=1-1956, snap_masked-flattened_line_40-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.0&CDS=1-1515
OG0000033	YMR303C, YOL086C	augustus_masked-flattened_line_90-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.37&CDS=1-1083, snap_masked-flattened_line_16-processed-gene-1.186-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.186&CDS=1-1239, snap_masked-flattened_line_90-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.21&CDS=1-1089
OG0000034	YAL005C, YJL034W	snap_masked-flattened_line_10-processed-gene-1.200-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.200&CDS=1-2037, snap_masked-flattened_line_102-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.67&CDS=1-1917
OG0000035	YBL005W, YER184C, YGL013C	augustus_masked-flattened_line_50-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.132&CDS=1-3291
OG0000036	YBR005W, YDR003W	genemark-flattened_line_477-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_477-processed-gene-0.1&CDS=1-480, genemark-flattened_line_56-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.134&CDS=1-480
OG0000037	YBR044C	augustus_masked-flattened_line_2097-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2097-processed-gene-0.0&CDS=1-177, augustus_masked-flattened_line_2265-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2265-processed-gene-0.0&CDS=1-177, genemark-flattened_line_355-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_355-processed-gene-0.0&CDS=1-1821
OG0000038	YBR139W, YMR297W	snap_masked-flattened_line_116-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.73&CDS=1-1521, snap_masked-flattened_line_26-processed-gene-0.213-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.213&CDS=1-1737
OG0000039	YBR245C, YOR304W	augustus_masked-flattened_line_138-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.4&CDS=1-3282, augustus_masked-flattened_line_50-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.161&CDS=1-4482
OG0000040	YCR004C, YDR032C	augustus_masked-flattened_line_22-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.29&CDS=1-606, augustus_masked-flattened_line_22-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.30&CDS=1-606
OG0000041	YCR102C, YLR460C, YNL134C	snap_masked-flattened_line_72-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.16&CDS=1-1176
OG0000042	YDL018C, YOR016C	augustus_masked-flattened_line_50-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.131&CDS=1-747, snap_masked-flattened_line_82-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.121&CDS=1-639
OG0000043	YDL081C, YDL130W	maker-flattened_line_10-snap-gene-1.209-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.209&CDS=1-315, snap_masked-flattened_line_40-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.53&CDS=1-315
OG0000044	YDL095W, YDR307W	augustus_masked-flattened_line_72-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.127&CDS=1-2055, snap_masked-flattened_line_40-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.46&CDS=1-2754
OG0000045	YDL113C, YDR425W	augustus_masked-flattened_line_124-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.58&CDS=1-2319, augustus_masked-flattened_line_40-processed-gene-0.173-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.173&CDS=1-2079
OG0000046	YDL115C	augustus_masked-flattened_line_501-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_501-processed-gene-0.0&CDS=1-1011, augustus_masked-flattened_line_659-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_659-processed-gene-0.0&CDS=1-333, augustus_masked-flattened_line_661-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_661-processed-gene-0.0&CDS=1-333
OG0000047	YDL233W	augustus_masked-flattened_line_2-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.76&CDS=1-489, augustus_masked-flattened_line_24-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.54&CDS=1-972, augustus_masked-flattened_line_793-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_793-processed-gene-0.2&CDS=1-459
OG0000048	YDR037W, YNL073W	augustus_masked-flattened_line_44-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.26&CDS=1-1767, snap_masked-flattened_line_120-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.3&CDS=1-1704
OG0000049	YDR303C, YHR056C	augustus_masked-flattened_line_40-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.147&CDS=1-2172, snap_masked-flattened_line_72-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.4&CDS=1-2748
OG0000050	YDR507C, YKL101W	augustus_masked-flattened_line_14-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.86&CDS=1-3975, genemark-flattened_line_16-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.61&CDS=1-3720
OG0000051	YEL029C, YNR027W	augustus_masked-flattened_line_4-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.41&CDS=1-1026, snap_masked-flattened_line_0-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.7&CDS=1-993
OG0000052	YER029C, YOR159C	snap_masked-flattened_line_104-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.29&CDS=1-555, snap_masked-flattened_line_8-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.30&CDS=1-279
OG0000053	YER037W, YGL224C	augustus_masked-flattened_line_94-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.69&CDS=1-1065, snap_masked-flattened_line_128-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.52&CDS=1-1092
OG0000054	YER040W, YKR034W	snap_masked-flattened_line_100-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.83&CDS=1-2682, snap_masked-flattened_line_2-processed-gene-2.10-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.10&CDS=1-1533
