	Kluyveromyces_lactis	Saccharomyces_cerevisiae
OG0000013	augustus_masked-CR382125-processed-gene-20.88-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-20.88&CDS=1-1521, augustus_masked-CR382126-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-0.43&CDS=1-1566, maker-CR382123-augustus-gene-6.101-mRNA-1_1&gene=maker-CR382123-augustus-gene-6.101&CDS=1-1914	YER073W, YOR374W, YPL061W
OG0000014	augustus_masked-CR382123-processed-gene-16.32-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.32&CDS=1-1407	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000015	augustus_masked-CR382125-processed-gene-13.10-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.10&CDS=1-1194, augustus_masked-CR382126-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-4.58&CDS=1-1239	YIL123W, YJL116C, YKR042W, YNL066W
OG0000016		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000017	augustus_masked-CR382121-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.67&CDS=1-1605, augustus_masked-CR382123-processed-gene-15.86-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-15.86&CDS=1-1356, augustus_masked-CR382125-processed-gene-15.122-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-15.122&CDS=1-1473	YBR139W, YMR297W
OG0000018	augustus_masked-CR382121-processed-gene-9.165-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.165&CDS=1-993, augustus_masked-CR382126-processed-gene-19.112-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.112&CDS=1-987	YGR192C, YJL052W, YJR009C
OG0000019	augustus_masked-CR382122-processed-gene-5.71-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-5.71&CDS=1-5634, augustus_masked-CR382123-processed-gene-12.90-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-12.90&CDS=1-5283, genemark-CR382123-processed-gene-7.20-mRNA-1_1&gene=genemark-CR382123-processed-gene-7.20&CDS=1-5253	YLR342W, YMR306W
OG0000020	snap_masked-CR382122-processed-gene-12.22-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-12.22&CDS=1-978	YDR541C, YGL039W, YGL157W, YOL151W
OG0000021	augustus_masked-CR382122-processed-gene-12.88-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.88&CDS=1-393, maker-CR382125-augustus-gene-3.50-mRNA-1_1&gene=maker-CR382125-augustus-gene-3.50&CDS=1-870	YDR059C, YGR133W, YOR339C
OG0000022	augustus_masked-CR382123-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-3.46&CDS=1-2700, augustus_masked-CR382126-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-6.108&CDS=1-2577	YCR037C, YJL198W, YNR013C
OG0000023	augustus_masked-CR382123-processed-gene-14.10-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-14.10&CDS=1-1821, augustus_masked-CR382125-processed-gene-15.139-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-15.139&CDS=1-1914, snap_masked-CR382126-processed-gene-22.48-mRNA-1_1&gene=snap_masked-CR382126-processed-gene-22.48&CDS=1-2055	YBR015C, YJL186W
OG0000024	augustus_masked-CR382123-processed-gene-16.58-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.58&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
OG0000025	augustus_masked-CR382123-processed-gene-16.33-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.33&CDS=1-1638, augustus_masked-CR382124-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-0.57&CDS=1-1737	YLR237W, YOR071C, YOR192C
OG0000026	maker-CR382124-augustus-gene-0.34-mRNA-1_1&gene=maker-CR382124-augustus-gene-0.34&CDS=1-1395	YDR533C, YMR322C, YOR391C, YPL280W
OG0000027	maker-CR382124-snap-gene-15.123-mRNA-1_1&gene=maker-CR382124-snap-gene-15.123&CDS=1-186	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000028	augustus_masked-CR382125-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-9.142&CDS=1-4698	YBL017C, YIL173W, YJL222W, YNR065C
OG0000029	augustus_masked-CR382125-processed-gene-13.2-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-13.2&CDS=1-3246, augustus_masked-CR382126-processed-gene-19.91-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.91&CDS=1-3246	YDR038C, YDR039C, YDR040C
OG0000030	augustus_masked-CR382126-processed-gene-14.79-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-14.79&CDS=1-3474, augustus_masked-CR382126-processed-gene-20.59-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-20.59&CDS=1-2271	YAL023C, YGR199W, YOR321W
OG0000031	augustus_masked-CR382121-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-0.59&CDS=1-654	YFL060C, YMR095C, YNL334C
OG0000032	augustus_masked-CR382121-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-0.44&CDS=1-891	YFL059W, YMR096W, YNL333W
OG0000033	augustus_masked-CR382121-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-1.74&CDS=1-2979, augustus_masked-CR382126-processed-gene-13.56-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-13.56&CDS=1-3300	YFR040W, YKR028W
OG0000034	augustus_masked-CR382121-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-3.50&CDS=1-2121, augustus_masked-CR382124-processed-gene-14.43-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-14.43&CDS=1-2052	YAL054C, YLR153C
OG0000035	augustus_masked-CR382121-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-3.73&CDS=1-1737, augustus_masked-CR382124-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.104&CDS=1-1665	YHR050W, YOL122C
OG0000036	augustus_masked-CR382121-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-3.77&CDS=1-4650, augustus_masked-CR382125-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-10.122&CDS=1-5544	YHR023W, YOR326W
OG0000037	augustus_masked-CR382121-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-5.7&CDS=1-2976, augustus_masked-CR382126-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-6.113&CDS=1-2814	YGR240C, YMR205C
OG0000038	augustus_masked-CR382121-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-5.37&CDS=1-1596, augustus_masked-CR382126-processed-gene-18.117-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.117&CDS=1-1578	YDR131C, YJL149W
OG0000039	augustus_masked-CR382121-processed-gene-6.109-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.109&CDS=1-1797, augustus_masked-CR382126-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-1.116&CDS=1-1734	YJL172W, YOL153C
OG0000040	augustus_masked-CR382121-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-6.128&CDS=1-2637, genemark-CR382122-processed-gene-12.117-mRNA-1_1&gene=genemark-CR382122-processed-gene-12.117&CDS=1-2967	YHL007C, YNL298W
OG0000041	augustus_masked-CR382121-processed-gene-8.46-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.46&CDS=1-2415, augustus_masked-CR382125-processed-gene-12.115-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-12.115&CDS=1-2466	YGL014W, YGL178W
OG0000042	augustus_masked-CR382121-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-8.66&CDS=1-5880, augustus_masked-CR382123-processed-gene-15.105-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-15.105&CDS=1-6447	YER172C, YGR271W
OG0000043	augustus_masked-CR382121-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-CR382121-processed-gene-9.91&CDS=1-1425, augustus_masked-CR382125-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-3.1&CDS=1-2310	YHR206W, YOR140W
OG0000044	augustus_masked-CR382122-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-0.2&CDS=1-1728, augustus_masked-CR382124-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-0.38&CDS=1-1728, augustus_masked-CR382124-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-16.107&CDS=1-1359	YGR289C
OG0000045	augustus_masked-CR382126-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-1.126&CDS=1-3219, maker-CR382122-snap-gene-3.0-mRNA-1_1&gene=maker-CR382122-snap-gene-3.0&CDS=1-3768	YJL050W, YLR398C
OG0000046	augustus_masked-CR382122-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-3.56&CDS=1-1287, augustus_masked-CR382126-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-11.13&CDS=1-1245	YDL066W, YLR174W
OG0000047	augustus_masked-CR382122-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-4.87&CDS=1-2472, augustus_masked-CR382124-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-11.61&CDS=1-2121	YHR031C, YML061C
OG0000048	augustus_masked-CR382122-processed-gene-5.70-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-5.70&CDS=1-1578, augustus_masked-CR382123-processed-gene-12.91-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-12.91&CDS=1-3201	YLR343W, YMR307W
OG0000049	augustus_masked-CR382122-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-7.2&CDS=1-1935, augustus_masked-CR382125-processed-gene-20.52-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-20.52&CDS=1-1923	YJR045C, YLR369W
OG0000050	augustus_masked-CR382122-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-7.12&CDS=1-4602, augustus_masked-CR382126-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-4.62&CDS=1-4032	YIL126W, YOR290C
OG0000051	augustus_masked-CR382122-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-8.73&CDS=1-2400, augustus_masked-CR382123-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-4.126&CDS=1-4815	YBR114W, YOR191W
OG0000052	augustus_masked-CR382122-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-9.33&CDS=1-1125, snap_masked-CR382122-processed-gene-9.131-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-9.131&CDS=1-1701, snap_masked-CR382122-processed-gene-9.133-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-9.133&CDS=1-435	YBR250W
OG0000053	augustus_masked-CR382122-processed-gene-9.13-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-9.13&CDS=1-11337, snap_masked-CR382124-processed-gene-13.105-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-13.105&CDS=1-7137	YLR454W, YPR117W
OG0000054	augustus_masked-CR382126-processed-gene-12.88-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-12.88&CDS=1-2526, snap_masked-CR382122-processed-gene-10.5-mRNA-1_1&gene=snap_masked-CR382122-processed-gene-10.5&CDS=1-2298	YER017C, YMR089C
OG0000055	augustus_masked-CR382122-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-11.67&CDS=1-2052, maker-CR382126-augustus-gene-12.93-mRNA-1_1&gene=maker-CR382126-augustus-gene-12.93&CDS=1-3669	YKR001C, YLL001W
OG0000056	augustus_masked-CR382122-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.70&CDS=1-2808, maker-CR382122-augustus-gene-12.62-mRNA-1_1&gene=maker-CR382122-augustus-gene-12.62&CDS=1-2835	YJR061W, YKL201C
OG0000057	augustus_masked-CR382122-processed-gene-12.73-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.73&CDS=1-1617	YOL055C, YPL258C, YPR121W
OG0000058	augustus_masked-CR382122-processed-gene-12.84-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.84&CDS=1-330, maker-CR382123-snap-gene-2.85-mRNA-1_1&gene=maker-CR382123-snap-gene-2.85&CDS=1-1659, snap_masked-CR382123-processed-gene-0.83-mRNA-1_1&gene=snap_masked-CR382123-processed-gene-0.83&CDS=1-330	YNL243W
OG0000059	augustus_masked-CR382122-processed-gene-12.111-mRNA-1_1&gene=augustus_masked-CR382122-processed-gene-12.111&CDS=1-930, augustus_masked-CR382124-processed-gene-8.114-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-8.114&CDS=1-927	YDR368W, YOR120W
OG0000060	genemark-CR382123-processed-gene-0.44-mRNA-1_1&gene=genemark-CR382123-processed-gene-0.44&CDS=1-669	YCL067C, YCR039C, YCR096C
OG0000061	augustus_masked-CR382123-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-1.8&CDS=1-3336, augustus_masked-CR382126-processed-gene-12.85-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-12.85&CDS=1-3801	YDR507C, YKL101W
OG0000062	augustus_masked-CR382124-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-0.62&CDS=1-2541, genemark-CR382123-processed-gene-1.62-mRNA-1_1&gene=genemark-CR382123-processed-gene-1.62&CDS=1-2118	YLR188W, YPL270W
OG0000063	augustus_masked-CR382123-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.45&CDS=1-5526, augustus_masked-CR382126-processed-gene-10.9-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-10.9&CDS=1-3849	YIL159W, YNL271C
OG0000064	augustus_masked-CR382123-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.46&CDS=1-1737, augustus_masked-CR382123-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.60&CDS=1-1743	YEL063C, YNL268W
OG0000065	augustus_masked-CR382123-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.64&CDS=1-1017, augustus_masked-CR382124-processed-gene-16.77-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-16.77&CDS=1-498	YNL231C, YNL264C
OG0000066	augustus_masked-CR382123-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-2.83&CDS=1-1950, augustus_masked-CR382126-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-4.64&CDS=1-2748	YIL130W, YJL206C
OG0000067	augustus_masked-CR382123-processed-gene-15.82-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-15.82&CDS=1-2364, augustus_masked-CR382123-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-3.62&CDS=1-2385	YJL200C, YLR304C
OG0000068	augustus_masked-CR382123-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-3.72&CDS=1-1779, augustus_masked-CR382124-processed-gene-7.64-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-7.64&CDS=1-2322	YDL025C, YNL183C
OG0000069	augustus_masked-CR382123-processed-gene-6.123-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-6.123&CDS=1-2487, augustus_masked-CR382126-processed-gene-24.91-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-24.91&CDS=1-2613	YMR054W, YOR270C
OG0000070	augustus_masked-CR382123-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-7.80&CDS=1-1557	YER056C, YER060W, YER060W-A
OG0000071	augustus_masked-CR382123-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-9.118&CDS=1-2901, augustus_masked-CR382125-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-9.152&CDS=1-2724	YMR266W, YOL084W
OG0000072	genemark-CR382124-processed-gene-1.60-mRNA-1_1&gene=genemark-CR382124-processed-gene-1.60&CDS=1-924, maker-CR382123-augustus-gene-10.56-mRNA-1_1&gene=maker-CR382123-augustus-gene-10.56&CDS=1-1317	YDR492W, YOL002C
OG0000073	augustus_masked-CR382123-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-13.8&CDS=1-1887, augustus_masked-CR382125-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-1.83&CDS=1-2514	YDL095W, YDR307W
OG0000074	augustus_masked-CR382123-processed-gene-16.34-mRNA-1_1&gene=augustus_masked-CR382123-processed-gene-16.34&CDS=1-2385, augustus_masked-CR382125-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-1.58&CDS=1-5634	YDL037C, YIR019C
OG0000075	augustus_masked-CR382124-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-3.77&CDS=1-2736, augustus_masked-CR382126-processed-gene-19.96-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-19.96&CDS=1-3024	YBR038W, YNL192W
OG0000076	augustus_masked-CR382126-processed-gene-18.120-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-18.120&CDS=1-4548, snap_masked-CR382124-processed-gene-3.37-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-3.37&CDS=1-4698	YDR135C, YLL015W
OG0000077	augustus_masked-CR382125-processed-gene-20.83-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-20.83&CDS=1-1140, snap_masked-CR382124-processed-gene-4.112-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-4.112&CDS=1-1125	YFL039C, YHR129C
OG0000078	augustus_masked-CR382124-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-4.39&CDS=1-1851, augustus_masked-CR382126-processed-gene-24.89-mRNA-1_1&gene=augustus_masked-CR382126-processed-gene-24.89&CDS=1-1893	YFL041W, YMR058W
OG0000079	augustus_masked-CR382124-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-CR382124-processed-gene-6.52&CDS=1-2616, augustus_masked-CR382125-processed-gene-10.97-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-10.97&CDS=1-2487	YHR028C, YOR219C
OG0000080	snap_masked-CR382124-processed-gene-6.119-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-6.119&CDS=1-1350	YOR229W, YOR230W, YPL139C
OG0000081	augustus_masked-CR382125-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-12.96&CDS=1-1419, genemark-CR382124-processed-gene-9.76-mRNA-1_1&gene=genemark-CR382124-processed-gene-9.76&CDS=1-1608	YER123W, YHR135C
OG0000082	augustus_masked-CR382125-processed-gene-18.24-mRNA-1_1&gene=augustus_masked-CR382125-processed-gene-18.24&CDS=1-1584, snap_masked-CR382124-processed-gene-11.129-mRNA-1_1&gene=snap_masked-CR382124-processed-gene-11.129&CDS=1-1701	YHR096C, YNL318C
