	Candida_tanzawaensis	Saccharomyces_cerevisiae
OG0000010	augustus_masked-scaffold_1-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.58&CDS=1-2643, augustus_masked-scaffold_1-processed-gene-7.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.59&CDS=1-2886, augustus_masked-scaffold_4-processed-gene-10.90-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.90&CDS=1-1545, genemark-scaffold_1-processed-gene-9.128-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.128&CDS=1-2970, maker-scaffold_2-snap-gene-15.139-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.139&CDS=1-2283	YBR150C, YOL089C
OG0000011	augustus_masked-scaffold_5-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.85&CDS=1-4602, maker-scaffold_1-augustus-gene-8.38-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-8.38&CDS=1-2169, maker-scaffold_5-augustus-gene-12.73-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-12.73&CDS=1-4371	YCL024W, YDR477W, YDR507C, YKL101W
OG0000012	augustus_masked-scaffold_2-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.92&CDS=1-1788, augustus_masked-scaffold_5-processed-gene-6.84-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.84&CDS=1-1728, augustus_masked-scaffold_6-processed-gene-11.195-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-11.195&CDS=1-1704, genemark-scaffold_2-processed-gene-7.7-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.7&CDS=1-1851	YDR380W, YLR044C, YLR134W
OG0000013	augustus_masked-scaffold_4-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.42&CDS=1-1953, augustus_masked-scaffold_9-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.3&CDS=1-2076, snap_masked-scaffold_2-processed-gene-5.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.16&CDS=1-3720	YCR065W, YIL131C, YNL068C, YPR104C
OG0000014	augustus_masked-scaffold_1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.113&CDS=1-3033, augustus_masked-scaffold_4-processed-gene-9.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.32&CDS=1-3186, augustus_masked-scaffold_9-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.7&CDS=1-2475	YBR245C, YFR038W, YOR304W
OG0000015	augustus_masked-scaffold_1-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.33&CDS=1-879, augustus_masked-scaffold_5-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.103&CDS=1-3273, maker-scaffold_2-augustus-gene-11.128-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-11.128&CDS=1-3768	YHR209W, YJL089W, YMR280C
OG0000016	augustus_masked-scaffold_11-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-0.5&CDS=1-1101, augustus_masked-scaffold_6-processed-gene-4.137-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.137&CDS=1-1101, genemark-scaffold_1-processed-gene-6.50-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.50&CDS=1-1110	YCR102C, YLR460C, YNL134C
OG0000017	augustus_masked-scaffold_1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.110&CDS=1-1800, augustus_masked-scaffold_4-processed-gene-14.12-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.12&CDS=1-1620, genemark-scaffold_2-processed-gene-3.100-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.100&CDS=1-1668, maker-scaffold_6-augustus-gene-7.88-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-7.88&CDS=1-2955	YCL048W, YDR522C
OG0000018	augustus_masked-scaffold_1-processed-gene-9.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.18&CDS=1-2721, augustus_masked-scaffold_2-processed-gene-8.7-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.7&CDS=1-2304, augustus_masked-scaffold_2-processed-gene-8.9-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.9&CDS=1-2130	YML111W, YMR275C, YNR069C
OG0000019	augustus_masked-scaffold_1-processed-gene-13.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.62&CDS=1-1788, augustus_masked-scaffold_2-processed-gene-11.99-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-11.99&CDS=1-2055, augustus_masked-scaffold_2-processed-gene-14.8-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.8&CDS=1-1908, snap_masked-scaffold_3-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.64&CDS=1-2007	YMR008C, YOL011W
OG0000020	augustus_masked-scaffold_2-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.87&CDS=1-1014, genemark-scaffold_7-processed-gene-8.103-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.103&CDS=1-1008	YDR541C, YGL039W, YGL157W, YOL151W
OG0000021	augustus_masked-scaffold_2-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.20&CDS=1-1569, augustus_masked-scaffold_3-processed-gene-10.97-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.97&CDS=1-1503, genemark-scaffold_5-processed-gene-2.147-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.147&CDS=1-1956	YMR169C, YMR170C, YOR374W
OG0000022	genemark-scaffold_2-processed-gene-10.63-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.63&CDS=1-2565, snap_masked-scaffold_2-processed-gene-13.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.42&CDS=1-1542	YER001W, YGL257C, YIL014W, YNR059W
OG0000023	augustus_masked-scaffold_3-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.57&CDS=1-1251, augustus_masked-scaffold_6-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.113&CDS=1-1164, augustus_masked-scaffold_6-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.17&CDS=1-1221, augustus_masked-scaffold_7-processed-gene-9.234-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.234&CDS=1-1179	YBR207W, YER145C
OG0000024	augustus_masked-scaffold_3-processed-gene-17.200-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.200&CDS=1-1758, augustus_masked-scaffold_3-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.135&CDS=1-2262, augustus_masked-scaffold_6-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.88&CDS=1-1749, genemark-scaffold_9-processed-gene-2.60-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-2.60&CDS=1-1692	YBR015C, YJL186W
OG0000025		YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C
OG0000026	augustus_masked-scaffold_8-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.34&CDS=1-1821, genemark-scaffold_2-processed-gene-8.82-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.82&CDS=1-1722, maker-scaffold_1-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.0&CDS=1-2601, maker-scaffold_3-snap-gene-1.96-mRNA-1_1&gene=maker-scaffold_3-snap-gene-1.96&CDS=1-2274	YDL170W
OG0000027	augustus_masked-scaffold_1-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.103&CDS=1-2028, augustus_masked-scaffold_6-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.19&CDS=1-1932, augustus_masked-scaffold_6-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.20&CDS=1-2334, maker-scaffold_6-snap-gene-10.158-mRNA-1_1&gene=maker-scaffold_6-snap-gene-10.158&CDS=1-4410, snap_masked-scaffold_6-processed-gene-8.57-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.57&CDS=1-2217	
OG0000028	augustus_masked-scaffold_1-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.137&CDS=1-2838, genemark-scaffold_4-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.87&CDS=1-2571	YCR037C, YJL198W, YNR013C
OG0000029	augustus_masked-scaffold_1-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.17&CDS=1-1653, augustus_masked-scaffold_5-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.33&CDS=1-1647, maker-scaffold_1-augustus-gene-10.48-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.48&CDS=1-1587	YBR139W, YMR297W
OG0000030	augustus_masked-scaffold_1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.85&CDS=1-3534, genemark-scaffold_9-processed-gene-4.94-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.94&CDS=1-2505	YHL007C, YNL298W, YOL113W
OG0000031	augustus_masked-scaffold_5-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.91&CDS=1-3303, augustus_masked-scaffold_5-processed-gene-13.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.22&CDS=1-1269, maker-scaffold_1-snap-gene-4.84-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.84&CDS=1-6117	YLL011W, YOL087C
OG0000032	augustus_masked-scaffold_1-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.117&CDS=1-1326, augustus_masked-scaffold_1-processed-gene-14.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.64&CDS=1-1416	YBL089W, YER119C, YIL088C
OG0000033	augustus_masked-scaffold_1-processed-gene-11.45-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.45&CDS=1-2478, augustus_masked-scaffold_7-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.61&CDS=1-3096	YDR326C, YFL042C, YHR080C
OG0000034	augustus_masked-scaffold_1-processed-gene-11.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.46&CDS=1-1422, augustus_masked-scaffold_4-processed-gene-14.25-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.25&CDS=1-1392, augustus_masked-scaffold_5-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.16&CDS=1-1413, augustus_masked-scaffold_7-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-6.11&CDS=1-1425, snap_masked-scaffold_8-processed-gene-4.224-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.224&CDS=1-2469	
OG0000035	augustus_masked-scaffold_1-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.47&CDS=1-951, augustus_masked-scaffold_2-processed-gene-16.105-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.105&CDS=1-417, augustus_masked-scaffold_4-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.18&CDS=1-420, augustus_masked-scaffold_5-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.7&CDS=1-420	YKL096W
OG0000036	augustus_masked-scaffold_1-processed-gene-13.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-13.75&CDS=1-1644, augustus_masked-scaffold_6-processed-gene-8.25-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.25&CDS=1-3558, genemark-scaffold_3-processed-gene-16.60-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-16.60&CDS=1-1107	YAR019C, YDR523C
OG0000037	augustus_masked-scaffold_5-processed-gene-13.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.27&CDS=1-3726, snap_masked-scaffold_1-processed-gene-16.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.71&CDS=1-3675	YJL042W, YOR227W, YPL137C
OG0000038	augustus_masked-scaffold_1-processed-gene-16.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-16.116&CDS=1-2859, augustus_masked-scaffold_9-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.74&CDS=1-2088, maker-scaffold_5-augustus-gene-11.46-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-11.46&CDS=1-1791	YGL073W, YOR140W
OG0000039	augustus_masked-scaffold_1-processed-gene-23.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-23.95&CDS=1-3111, maker-scaffold_4-augustus-gene-4.4-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-4.4&CDS=1-3948	YIL002C, YNL106C, YOR109W
OG0000040	genemark-scaffold_4-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.43&CDS=1-387, maker-scaffold_1-snap-gene-23.130-mRNA-1_1&gene=maker-scaffold_1-snap-gene-23.130&CDS=1-3207	YEL006W, YIL006W, YIL134W
OG0000041	augustus_masked-scaffold_10-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.5&CDS=1-1110, augustus_masked-scaffold_10-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.6&CDS=1-1011, augustus_masked-scaffold_10-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.7&CDS=1-1068, augustus_masked-scaffold_10-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-0.8&CDS=1-996	YJR019C
OG0000042	augustus_masked-scaffold_10-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.62&CDS=1-927, genemark-scaffold_11-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.2&CDS=1-909, snap_masked-scaffold_7-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.4&CDS=1-924	YDR368W, YOR120W
OG0000043	augustus_masked-scaffold_2-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.94&CDS=1-1776, augustus_masked-scaffold_5-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-3.34&CDS=1-1728, genemark-scaffold_5-processed-gene-0.42-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.42&CDS=1-1737	YJL172W, YOL153C
OG0000044	augustus_masked-scaffold_2-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.48&CDS=1-1656, augustus_masked-scaffold_3-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.30&CDS=1-1443, augustus_masked-scaffold_3-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-2.135&CDS=1-1800	YDR338C, YHR032W
OG0000045	augustus_masked-scaffold_9-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-4.15&CDS=1-3627, maker-scaffold_2-snap-gene-7.104-mRNA-1_1&gene=maker-scaffold_2-snap-gene-7.104&CDS=1-4791	YML072C, YNL087W, YOR086C
OG0000046	augustus_masked-scaffold_2-processed-gene-8.3-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.3&CDS=1-1914, maker-scaffold_9-snap-gene-2.35-mRNA-1_1&gene=maker-scaffold_9-snap-gene-2.35&CDS=1-843	YER045C, YIL036W, YNL167C
OG0000047	augustus_masked-scaffold_2-processed-gene-8.17-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.17&CDS=1-1311, maker-scaffold_7-augustus-gene-4.160-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-4.160&CDS=1-2502	YJR139C, YLR300W, YOR190W
OG0000048	augustus_masked-scaffold_2-processed-gene-13.104-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.104&CDS=1-2544, augustus_masked-scaffold_6-processed-gene-6.78-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-6.78&CDS=1-2190, maker-scaffold_7-snap-gene-4.3-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.3&CDS=1-2904	YDL056W, YLR182W
OG0000049	augustus_masked-scaffold_2-processed-gene-14.27-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.27&CDS=1-1014	YDL244W, YFL058W, YJR156C, YNL332W
OG0000050	augustus_masked-scaffold_2-processed-gene-15.109-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-15.109&CDS=1-2913, augustus_masked-scaffold_6-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.94&CDS=1-6996, snap_masked-scaffold_9-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.66&CDS=1-3363	YBR038W, YNL192W
OG0000051	augustus_masked-scaffold_2-processed-gene-16.101-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-16.101&CDS=1-2319, augustus_masked-scaffold_5-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.23&CDS=1-2445	YAL053W, YGL139W, YPL221W
OG0000052	augustus_masked-scaffold_3-processed-gene-5.38-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.38&CDS=1-2862, augustus_masked-scaffold_4-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.83&CDS=1-2577	YDR385W, YKL173W, YOR133W
OG0000053	augustus_masked-scaffold_3-processed-gene-16.107-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-16.107&CDS=1-1998, maker-scaffold_6-snap-gene-10.159-mRNA-1_1&gene=maker-scaffold_6-snap-gene-10.159&CDS=1-3633	YFR022W, YGR068C, YOR018W
OG0000054	augustus_masked-scaffold_4-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.0&CDS=1-2289	YBR297W, YFL052W, YGR288W, YPR196W
OG0000055	augustus_masked-scaffold_4-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.16&CDS=1-1953, maker-scaffold_7-augustus-gene-9.159-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-9.159&CDS=1-3663	YLR273C, YOL141W, YOR178C
