	Arxula_adeninivorans	Saccharomyces_cerevisiae
OG0000010	augustus_masked-Arad1A-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-0.35&CDS=1-2019, augustus_masked-Arad1B-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.17&CDS=1-891	YJL137C, YKR058W, YOR320C
OG0000011	augustus_masked-Arad1A-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-5.80&CDS=1-1113, genemark-Arad1B-processed-gene-2.15-mRNA-1_1&gene=genemark-Arad1B-processed-gene-2.15&CDS=1-759, genemark-Arad1D-processed-gene-6.48-mRNA-1_1&gene=genemark-Arad1D-processed-gene-6.48&CDS=1-2169	YEL007W, YHR177W
OG0000012	augustus_masked-Arad1A-processed-gene-9.53-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-9.53&CDS=1-1641, augustus_masked-Arad1B-processed-gene-15.102-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-15.102&CDS=1-1662, augustus_masked-Arad1B-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.24&CDS=1-1608, augustus_masked-Arad1D-processed-gene-33.203-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-33.203&CDS=1-1653	YDR242W
OG0000013	augustus_masked-Arad1A-processed-gene-15.269-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.269&CDS=1-855, augustus_masked-Arad1C-processed-gene-22.84-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.84&CDS=1-831, augustus_masked-Arad1C-processed-gene-22.85-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-22.85&CDS=1-843, augustus_masked-Arad1D-processed-gene-32.96-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-32.96&CDS=1-834	YIL124W
OG0000014	augustus_masked-Arad1B-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.72&CDS=1-2607, augustus_masked-Arad1B-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-1.78&CDS=1-1962, augustus_masked-Arad1C-processed-gene-9.84-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-9.84&CDS=1-2577, maker-Arad1B-augustus-gene-11.175-mRNA-1_1&gene=maker-Arad1B-augustus-gene-11.175&CDS=1-2469	YPR194C
OG0000015	augustus_masked-Arad1B-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-2.77&CDS=1-1875, augustus_masked-Arad1D-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-2.61&CDS=1-1881	YDR107C, YER113C, YLR083C
OG0000016	augustus_masked-Arad1B-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-3.38&CDS=1-1776, maker-Arad1B-snap-gene-18.66-mRNA-1_1&gene=maker-Arad1B-snap-gene-18.66&CDS=1-3390	YGR224W, YKR105C, YPR198W
OG0000017	augustus_masked-Arad1C-processed-gene-36.149-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-36.149&CDS=1-2019, genemark-Arad1B-processed-gene-7.149-mRNA-1_1&gene=genemark-Arad1B-processed-gene-7.149&CDS=1-981, genemark-Arad1D-processed-gene-25.162-mRNA-1_1&gene=genemark-Arad1D-processed-gene-25.162&CDS=1-2451	YDR253C, YPL038W
OG0000018	snap_masked-Arad1B-processed-gene-11.124-mRNA-1_1&gene=snap_masked-Arad1B-processed-gene-11.124&CDS=1-735	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000019	augustus_masked-Arad1B-processed-gene-12.124-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-12.124&CDS=1-1662, augustus_masked-Arad1D-processed-gene-39.118-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-39.118&CDS=1-1680, augustus_masked-Arad1D-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-4.21&CDS=1-1569, genemark-Arad1B-processed-gene-13.31-mRNA-1_1&gene=genemark-Arad1B-processed-gene-13.31&CDS=1-1803, snap_masked-Arad1D-processed-gene-12.27-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-12.27&CDS=1-1542	
OG0000020	augustus_masked-Arad1B-processed-gene-13.60-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-13.60&CDS=1-1152	YCR107W, YDL243C, YJR155W, YNL331C
OG0000021	augustus_masked-Arad1B-processed-gene-18.49-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-18.49&CDS=1-1476, augustus_masked-Arad1D-processed-gene-38.4-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-38.4&CDS=1-1617, augustus_masked-Arad1D-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-5.83&CDS=1-1566, maker-Arad1D-snap-gene-36.115-mRNA-1_1&gene=maker-Arad1D-snap-gene-36.115&CDS=1-3105	YDR402C
OG0000022	augustus_masked-Arad1B-processed-gene-18.51-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-18.51&CDS=1-4368	YBL017C, YIL173W, YJL222W, YNR065C
OG0000023	augustus_masked-Arad1C-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-6.1&CDS=1-834, augustus_masked-Arad1D-processed-gene-23.140-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-23.140&CDS=1-732	YGR248W, YHR163W, YNR034W
OG0000024	augustus_masked-Arad1C-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-6.14&CDS=1-1578, augustus_masked-Arad1D-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-11.76&CDS=1-1527, augustus_masked-Arad1D-processed-gene-28.97-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-28.97&CDS=1-1536, augustus_masked-Arad1D-processed-gene-39.128-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-39.128&CDS=1-1536	YKL217W
OG0000025	augustus_masked-Arad1C-processed-gene-15.133-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-15.133&CDS=1-915, augustus_masked-Arad1C-processed-gene-36.174-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-36.174&CDS=1-885, augustus_masked-Arad1D-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-2.86&CDS=1-882	YER185W, YGR213C
OG0000026	augustus_masked-Arad1D-processed-gene-36.111-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-36.111&CDS=1-699	YDR533C, YMR322C, YOR391C, YPL280W
OG0000027	snap_masked-Arad1D-processed-gene-41.86-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-41.86&CDS=1-1458	YBR297W, YFL052W, YGR288W, YPR196W
OG0000028		YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000029	augustus_masked-Arad1C-processed-gene-28.76-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.76&CDS=1-735, augustus_masked-Arad1D-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-9.82&CDS=1-537, snap_masked-Arad1A-processed-gene-0.48-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-0.48&CDS=1-177	YDR171W
OG0000030	augustus_masked-Arad1A-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-1.104&CDS=1-2214, augustus_masked-Arad1A-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.64&CDS=1-2226, genemark-Arad1C-processed-gene-11.112-mRNA-1_1&gene=genemark-Arad1C-processed-gene-11.112&CDS=1-2223	YER015W
OG0000031	augustus_masked-Arad1A-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-2.56&CDS=1-963, augustus_masked-Arad1C-processed-gene-28.99-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.99&CDS=1-1050, augustus_masked-Arad1D-processed-gene-24.29-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-24.29&CDS=1-954	YAL040C
OG0000032	augustus_masked-Arad1A-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-3.72&CDS=1-1611, augustus_masked-Arad1D-processed-gene-39.138-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-39.138&CDS=1-1563	YDR235W, YML046W
OG0000033	augustus_masked-Arad1A-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-4.129&CDS=1-1458, augustus_masked-Arad1D-processed-gene-42.106-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-42.106&CDS=1-1446, maker-Arad1D-snap-gene-10.103-mRNA-1_1&gene=maker-Arad1D-snap-gene-10.103&CDS=1-1989	YDR256C
OG0000034	augustus_masked-Arad1A-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.71&CDS=1-1449, augustus_masked-Arad1B-processed-gene-4.45-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.45&CDS=1-1449, augustus_masked-Arad1D-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-4.18&CDS=1-1449, maker-Arad1A-snap-gene-12.88-mRNA-1_1&gene=maker-Arad1A-snap-gene-12.88&CDS=1-1686	
OG0000035	augustus_masked-Arad1A-processed-gene-8.73-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-8.73&CDS=1-843, augustus_masked-Arad1D-processed-gene-19.94-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-19.94&CDS=1-834, augustus_masked-Arad1D-processed-gene-27.71-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-27.71&CDS=1-858	YJR096W
OG0000036	maker-Arad1A-augustus-gene-8.1-mRNA-1_1&gene=maker-Arad1A-augustus-gene-8.1&CDS=1-1563, maker-Arad1D-augustus-gene-14.105-mRNA-1_1&gene=maker-Arad1D-augustus-gene-14.105&CDS=1-747	YDL161W, YLR206W
OG0000037	augustus_masked-Arad1A-processed-gene-10.59-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.59&CDS=1-4479, augustus_masked-Arad1B-processed-gene-17.83-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-17.83&CDS=1-4608, augustus_masked-Arad1D-processed-gene-17.101-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-17.101&CDS=1-4599	YDR011W
OG0000038	augustus_masked-Arad1A-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-10.63&CDS=1-381, augustus_masked-Arad1B-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.18&CDS=1-387	YER057C, YIL051C
OG0000039	augustus_masked-Arad1A-processed-gene-11.70-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-11.70&CDS=1-750, augustus_masked-Arad1C-processed-gene-7.88-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-7.88&CDS=1-951	YAL014C, YGL212W
OG0000040	augustus_masked-Arad1A-processed-gene-13.25-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-13.25&CDS=1-468, maker-Arad1C-augustus-gene-23.6-mRNA-1_1&gene=maker-Arad1C-augustus-gene-23.6&CDS=1-390	YMR073C, YNL111C
OG0000041	augustus_masked-Arad1B-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-7.26&CDS=1-1518, augustus_masked-Arad1C-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-10.80&CDS=1-1371, snap_masked-Arad1A-processed-gene-14.39-mRNA-1_1&gene=snap_masked-Arad1A-processed-gene-14.39&CDS=1-1386	YGR260W
OG0000042	augustus_masked-Arad1A-processed-gene-14.111-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-14.111&CDS=1-1413, augustus_masked-Arad1D-processed-gene-16.20-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-16.20&CDS=1-1458	YBR263W, YLR058C
OG0000043	augustus_masked-Arad1A-processed-gene-15.231-mRNA-1_1&gene=augustus_masked-Arad1A-processed-gene-15.231&CDS=1-1752, augustus_masked-Arad1C-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-3.109&CDS=1-1764, augustus_masked-Arad1D-processed-gene-14.75-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-14.75&CDS=1-1728	YKR039W
OG0000044	augustus_masked-Arad1B-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-4.50&CDS=1-456, augustus_masked-Arad1C-processed-gene-12.72-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-12.72&CDS=1-237	YHR132W-A, YNL157W
OG0000045	augustus_masked-Arad1B-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-5.123&CDS=1-780, augustus_masked-Arad1D-processed-gene-37.70-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-37.70&CDS=1-786	YDL049C, YJL174W
OG0000046	augustus_masked-Arad1B-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-9.96&CDS=1-822, maker-Arad1D-augustus-gene-1.2-mRNA-1_1&gene=maker-Arad1D-augustus-gene-1.2&CDS=1-1215	YDR099W, YER177W
OG0000047	augustus_masked-Arad1B-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-10.105&CDS=1-2382, snap_masked-Arad1D-processed-gene-20.150-mRNA-1_1&gene=snap_masked-Arad1D-processed-gene-20.150&CDS=1-4335	YJR119C, YMR176W
OG0000048	augustus_masked-Arad1B-processed-gene-11.66-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.66&CDS=1-216, genemark-Arad1C-processed-gene-23.160-mRNA-1_1&gene=genemark-Arad1C-processed-gene-23.160&CDS=1-507	YHR146W, YNL173C
OG0000049	augustus_masked-Arad1B-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-11.81&CDS=1-894, augustus_masked-Arad1C-processed-gene-27.157-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.157&CDS=1-777	YDR347W, YJR101W
OG0000050	augustus_masked-Arad1B-processed-gene-14.72-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-14.72&CDS=1-1497, genemark-Arad1D-processed-gene-12.169-mRNA-1_1&gene=genemark-Arad1D-processed-gene-12.169&CDS=1-1488	YMR169C, YMR170C
OG0000051	augustus_masked-Arad1B-processed-gene-14.89-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-14.89&CDS=1-567, augustus_masked-Arad1D-processed-gene-27.68-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-27.68&CDS=1-567	YGL147C, YNL067W
OG0000052	augustus_masked-Arad1B-processed-gene-16.98-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-16.98&CDS=1-915, augustus_masked-Arad1B-processed-gene-18.10-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-18.10&CDS=1-795, augustus_masked-Arad1D-processed-gene-30.77-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-30.77&CDS=1-885	YKL128C
OG0000053	augustus_masked-Arad1B-processed-gene-17.61-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-17.61&CDS=1-1581, augustus_masked-Arad1D-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-3.22&CDS=1-1791, genemark-Arad1C-processed-gene-9.137-mRNA-1_1&gene=genemark-Arad1C-processed-gene-9.137&CDS=1-1587	YDL210W
OG0000054	augustus_masked-Arad1B-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-18.29&CDS=1-1506, augustus_masked-Arad1C-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-0.1&CDS=1-1515, augustus_masked-Arad1C-processed-gene-16.38-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-16.38&CDS=1-1527	YJR152W
OG0000055	augustus_masked-Arad1B-processed-gene-19.148-mRNA-1_1&gene=augustus_masked-Arad1B-processed-gene-19.148&CDS=1-1635, augustus_masked-Arad1D-processed-gene-41.25-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-41.25&CDS=1-1290	YHL017W, YKL039W
OG0000056	augustus_masked-Arad1C-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-1.65&CDS=1-690, augustus_masked-Arad1D-processed-gene-25.15-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-25.15&CDS=1-666	YER062C, YIL053W
OG0000057	augustus_masked-Arad1C-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-3.125&CDS=1-420, augustus_masked-Arad1D-processed-gene-23.152-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-23.152&CDS=1-420	YBR010W, YNL031C
OG0000058	augustus_masked-Arad1C-processed-gene-24.94-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.94&CDS=1-543, augustus_masked-Arad1C-processed-gene-6.46-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-6.46&CDS=1-546	YDL192W, YOR094W
OG0000059	genemark-Arad1C-processed-gene-33.35-mRNA-1_1&gene=genemark-Arad1C-processed-gene-33.35&CDS=1-2616, maker-Arad1C-augustus-gene-8.146-mRNA-1_1&gene=maker-Arad1C-augustus-gene-8.146&CDS=1-3495	YBL060W, YER094C
OG0000060	augustus_masked-Arad1C-processed-gene-33.86-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-33.86&CDS=1-2070, augustus_masked-Arad1C-processed-gene-9.93-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-9.93&CDS=1-2406	YKL188C, YPL147W
OG0000061	augustus_masked-Arad1C-processed-gene-11.41-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-11.41&CDS=1-1101, augustus_masked-Arad1C-processed-gene-18.58-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-18.58&CDS=1-1224, maker-Arad1D-augustus-gene-3.4-mRNA-1_1&gene=maker-Arad1D-augustus-gene-3.4&CDS=1-1257	YJR076C
OG0000062	augustus_masked-Arad1C-processed-gene-13.127-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-13.127&CDS=1-2241	YBL005W, YER184C, YGL013C
OG0000063	augustus_masked-Arad1C-processed-gene-14.44-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-14.44&CDS=1-2088, augustus_masked-Arad1C-processed-gene-18.82-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-18.82&CDS=1-849	YDL230W, YOR208W
OG0000064	augustus_masked-Arad1D-processed-gene-31.118-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-31.118&CDS=1-2136, genemark-Arad1C-processed-gene-14.134-mRNA-1_1&gene=genemark-Arad1C-processed-gene-14.134&CDS=1-2325	YER017C, YMR089C
OG0000065	maker-Arad1C-augustus-gene-17.0-mRNA-1_1&gene=maker-Arad1C-augustus-gene-17.0&CDS=1-1545	YOL055C, YPL258C, YPR121W
OG0000066	augustus_masked-Arad1C-processed-gene-19.86-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-19.86&CDS=1-1668	YLR237W, YOR071C, YOR192C
OG0000067	augustus_masked-Arad1C-processed-gene-19.96-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-19.96&CDS=1-990, augustus_masked-Arad1C-processed-gene-36.165-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-36.165&CDS=1-999	YHR210C, YNR071C
OG0000068	augustus_masked-Arad1C-processed-gene-21.119-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-21.119&CDS=1-2226, augustus_masked-Arad1C-processed-gene-27.117-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.117&CDS=1-2082	YJR005W, YKL135C
OG0000069	augustus_masked-Arad1D-processed-gene-41.50-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-41.50&CDS=1-393, genemark-Arad1C-processed-gene-22.198-mRNA-1_1&gene=genemark-Arad1C-processed-gene-22.198&CDS=1-354	YLR008C, YNL328C
OG0000070	augustus_masked-Arad1C-processed-gene-24.59-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-24.59&CDS=1-1116	YCR102C, YLR460C, YNL134C
OG0000071	augustus_masked-Arad1D-processed-gene-8.84-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-8.84&CDS=1-900, snap_masked-Arad1C-processed-gene-25.89-mRNA-1_1&gene=snap_masked-Arad1C-processed-gene-25.89&CDS=1-933	YFL029C, YPL031C
OG0000072	augustus_masked-Arad1C-processed-gene-27.155-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-27.155&CDS=1-1113, augustus_masked-Arad1C-processed-gene-33.55-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-33.55&CDS=1-1434	YGR197C, YJR015W
OG0000073	augustus_masked-Arad1C-processed-gene-28.83-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.83&CDS=1-3567, augustus_masked-Arad1C-processed-gene-37.217-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-37.217&CDS=1-2889	YBR038W, YNL192W
OG0000074	augustus_masked-Arad1C-processed-gene-28.91-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-28.91&CDS=1-753, augustus_masked-Arad1D-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-Arad1D-processed-gene-4.17&CDS=1-747	YGL076C, YPL198W
OG0000075	augustus_masked-Arad1C-processed-gene-33.63-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-33.63&CDS=1-1266, augustus_masked-Arad1C-processed-gene-37.178-mRNA-1_1&gene=augustus_masked-Arad1C-processed-gene-37.178&CDS=1-1299	YDR479C, YHR150W
