	Saccharomyces_cerevisiae	yHMPu5000035271_Wickerhamomyces_bovis
OG0000010	YDR011W, YOR153W	augustus_masked-NODE_100_length_3772_cov_51.3001_ID_10466-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_100_length_3772_cov_51.3001_ID_10466-processed-gene-0.2&CDS=1-3615, augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-0.24&CDS=1-4425, augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-3.151-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-3.151&CDS=1-4521, augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.33&CDS=1-4461, genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.170-mRNA-1_1&gene=genemark-NODE_27_length_121081_cov_22.7673_ID_3616-processed-gene-0.170&CDS=1-4518
OG0000011	YDR155C, YDR304C, YML078W	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.307-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.307&CDS=1-681, augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.99&CDS=1-486, augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.48&CDS=1-741, maker-NODE_23_length_144444_cov_22.2236_ID_2713-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_23_length_144444_cov_22.2236_ID_2713-augustus-gene-0.2&CDS=1-564
OG0000012	YDR242W	augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.104&CDS=1-1620, augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.225&CDS=1-1617, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-3.109&CDS=1-1626, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.251-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.251&CDS=1-1683, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.254-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.254&CDS=1-1683, augustus_masked-NODE_83_length_11502_cov_24.8441_ID_11992-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_83_length_11502_cov_24.8441_ID_11992-processed-gene-0.9&CDS=1-1515
OG0000013	YDR338C, YHR032W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-4.109&CDS=1-1839, augustus_masked-NODE_33_length_104187_cov_22.6692_ID_3315-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_33_length_104187_cov_22.6692_ID_3315-processed-gene-0.109&CDS=1-1662, augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_45_length_55703_cov_28.7844_ID_4355-processed-gene-0.59&CDS=1-1575, augustus_masked-NODE_64_length_30878_cov_26.4592_ID_5217-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_64_length_30878_cov_26.4592_ID_5217-processed-gene-0.40&CDS=1-1452, augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.123&CDS=1-1917
OG0000014	YFL021W, YKR034W	augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_15_length_244900_cov_24.4172_ID_3359-processed-gene-1.43&CDS=1-1095, augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_19_length_221202_cov_23.1889_ID_2151-processed-gene-0.78&CDS=1-1563, augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.35&CDS=1-1299, augustus_masked-NODE_68_length_23584_cov_22.0258_ID_5375-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_68_length_23584_cov_22.0258_ID_5375-processed-gene-0.9&CDS=1-1383, augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-2.103&CDS=1-1629
OG0000015	YGL185C, YPL113C	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-1.51&CDS=1-1098, augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.120&CDS=1-1098, augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_30_length_117107_cov_22.465_ID_3048-processed-gene-0.11&CDS=1-1101, augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.72&CDS=1-1059, augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_84_length_11306_cov_23.4326_ID_6107-processed-gene-0.16&CDS=1-1098
OG0000016	YHR176W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.99&CDS=1-1410, augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-1.201&CDS=1-1431, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.239-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.239&CDS=1-1314, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.240-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-5.240&CDS=1-1422, augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_49_length_50590_cov_22.9765_ID_4604-processed-gene-0.45&CDS=1-1398, augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-NODE_9_length_324451_cov_22.8396_ID_7486-processed-gene-2.105&CDS=1-1518
OG0000017	YKL221W, YNL125C	augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.263-mRNA-1_1&gene=augustus_masked-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.263&CDS=1-1455, augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.99&CDS=1-1386, augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-2.103&CDS=1-1362, genemark-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.76-mRNA-1_1&gene=genemark-NODE_11_length_296904_cov_22.075_ID_2611-processed-gene-1.76&CDS=1-1386, maker-NODE_1_length_1020045_cov_22.3535_ID_1707-augustus-gene-2.186-mRNA-1_1&gene=maker-NODE_1_length_1020045_cov_22.3535_ID_1707-augustus-gene-2.186&CDS=1-1923
OG0000018	YNL283C, YOL105C, YOR008C	augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.246-mRNA-1_1&gene=augustus_masked-NODE_20_length_184838_cov_25.5018_ID_5407-processed-gene-0.246&CDS=1-1089, augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.63&CDS=1-447, augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_34_length_91652_cov_22.3974_ID_3419-processed-gene-0.66&CDS=1-969, augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.236-mRNA-1_1&gene=augustus_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-2.236&CDS=1-1122
OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-1.8&CDS=1-4545, augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_3_length_686625_cov_22.7875_ID_2680-processed-gene-1.103&CDS=1-4479
OG0000020	YBR089C-A, YKL032C, YMR072W, YPR052C	augustus_masked-NODE_40_length_64052_cov_22.9187_ID_4242-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_40_length_64052_cov_22.9187_ID_4242-processed-gene-0.17&CDS=1-636, augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-NODE_4_length_628375_cov_23.1438_ID_2100-processed-gene-5.57&CDS=1-276
OG0000021	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_54_length_40726_cov_22.6304_ID_4793-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_54_length_40726_cov_22.6304_ID_4793-processed-gene-0.42&CDS=1-1377, maker-NODE_12_length_279838_cov_23.0736_ID_9675-augustus-gene-1.100-mRNA-1_1&gene=maker-NODE_12_length_279838_cov_23.0736_ID_9675-augustus-gene-1.100&CDS=1-2241, maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-3.61-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-3.61&CDS=1-2226
OG0000022	YBR199W, YKR061W, YOR099W	augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_12_length_279838_cov_23.0736_ID_9675-processed-gene-0.53&CDS=1-1395, augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_14_length_268870_cov_26.8865_ID_1946-processed-gene-1.157&CDS=1-1260, augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_18_length_228862_cov_23.6433_ID_2185-processed-gene-1.103&CDS=1-1239
OG0000023	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_865375_cov_22.6121_ID_9257-processed-gene-1.65&CDS=1-1503, augustus_masked-NODE_54_length_40726_cov_22.6304_ID_4793-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_54_length_40726_cov_22.6304_ID_4793-processed-gene-0.40&CDS=1-855, augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-NODE_6_length_370431_cov_22.3029_ID_1760-processed-gene-1.137&CDS=1-1491
OG0000024	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_4_length_628375_cov_23.1438_ID_2100-snap-gene-5.239-mRNA-1_1&gene=maker-NODE_4_length_628375_cov_23.1438_ID_2100-snap-gene-5.239&CDS=1-2001, maker-NODE_4_length_628375_cov_23.1438_ID_2100-snap-gene-5.240-mRNA-1_1&gene=maker-NODE_4_length_628375_cov_23.1438_ID_2100-snap-gene-5.240&CDS=1-1830
OG0000025	YDL155W, YGR108W, YPR119W	augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.73&CDS=1-1170, augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_10_length_320851_cov_22.4291_ID_1790-processed-gene-0.74&CDS=1-1128, augustus_masked-NODE_59_length_35517_cov_23.2744_ID_5480-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_59_length_35517_cov_23.2744_ID_5480-processed-gene-0.35&CDS=1-1347
OG0000026	YDR028C, YKR075C, YOR062C	augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-NODE_22_length_169243_cov_28.4925_ID_3126-processed-gene-0.212&CDS=1-2373, augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_26_length_130411_cov_22.7649_ID_2775-processed-gene-0.108&CDS=1-729, snap_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NODE_7_length_343272_cov_25.1726_ID_2572-processed-gene-1.90&CDS=1-756
OG0000027	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W	augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NODE_1_length_1020045_cov_22.3535_ID_1707-processed-gene-7.99&CDS=1-2220
OG0000028	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_13_length_278934_cov_23.8117_ID_1820-processed-gene-0.100&CDS=1-1596, maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-4.57-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-4.57&CDS=1-3198, maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-4.59-mRNA-1_1&gene=maker-NODE_2_length_865375_cov_22.6121_ID_9257-snap-gene-4.59&CDS=1-6732
