	Lachancea_thermotolerans	Saccharomyces_cerevisiae
OG0000040	augustus_masked-CU928166-processed-gene-3.107-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-3.107&CDS=1-2925, snap_masked-CU928165-processed-gene-5.5-mRNA-1_1&gene=snap_masked-CU928165-processed-gene-5.5&CDS=1-3204	YGR240C, YMR205C
OG0000041	augustus_masked-CU928166-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-1.35&CDS=1-2262, augustus_masked-CU928168-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-2.33&CDS=1-2220	YAL023C, YGR199W
OG0000042	augustus_masked-CU928168-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-10.45&CDS=1-2460, genemark-CU928166-processed-gene-3.60-mRNA-1_1&gene=genemark-CU928166-processed-gene-3.60&CDS=1-2562	YMR054W, YOR270C
OG0000043	augustus_masked-CU928166-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-3.102&CDS=1-1893, maker-CU928171-augustus-gene-16.119-mRNA-1_1&gene=maker-CU928171-augustus-gene-16.119&CDS=1-4134	YLR069C, YMR058W
OG0000044	augustus_masked-CU928169-processed-gene-7.12-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-7.12&CDS=1-1122, maker-CU928166-augustus-gene-4.56-mRNA-1_1&gene=maker-CU928166-augustus-gene-4.56&CDS=1-3267	YCR105W, YMR318C
OG0000045	augustus_masked-CU928166-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.80&CDS=1-1113	YCR102C, YLR460C, YNL134C
OG0000046	augustus_masked-CU928166-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.105&CDS=1-741, snap_masked-CU928168-processed-gene-9.56-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-9.56&CDS=1-2457	YNL148C, YPL174C
OG0000047	augustus_masked-CU928166-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-4.106&CDS=1-1149, genemark-CU928171-processed-gene-16.68-mRNA-1_1&gene=genemark-CU928171-processed-gene-16.68&CDS=1-1170	YFL039C, YHR129C
OG0000048	augustus_masked-CU928166-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-5.98&CDS=1-1494, augustus_masked-CU928169-processed-gene-6.128-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-6.128&CDS=1-1260	YER123W, YNL154C
OG0000049	augustus_masked-CU928166-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-6.91&CDS=1-1704, augustus_masked-CU928169-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-1.127&CDS=1-1716, augustus_masked-CU928171-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-9.139&CDS=1-1704	YDL210W
OG0000050	augustus_masked-CU928180-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-CU928180-processed-gene-0.19&CDS=1-1656, genemark-CU928166-processed-gene-6.51-mRNA-1_1&gene=genemark-CU928166-processed-gene-6.51&CDS=1-1293, snap_masked-CU928170-processed-gene-15.36-mRNA-1_1&gene=snap_masked-CU928170-processed-gene-15.36&CDS=1-1170	YNL234W
OG0000051	augustus_masked-CU928166-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.95&CDS=1-5862, augustus_masked-CU928171-processed-gene-12.42-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-12.42&CDS=1-6519	YER172C, YGR271W
OG0000052	augustus_masked-CU928166-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-CU928166-processed-gene-7.98&CDS=1-1575, augustus_masked-CU928171-processed-gene-14.52-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-14.52&CDS=1-1488	YBR139W, YMR297W
OG0000053	augustus_masked-CU928171-processed-gene-16.29-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-16.29&CDS=1-1524, genemark-CU928166-processed-gene-7.72-mRNA-1_1&gene=genemark-CU928166-processed-gene-7.72&CDS=1-1509, genemark-CU928169-processed-gene-0.44-mRNA-1_1&gene=genemark-CU928169-processed-gene-0.44&CDS=1-1509	YGR260W
OG0000054	snap_masked-CU928167-processed-gene-1.113-mRNA-1_1&gene=snap_masked-CU928167-processed-gene-1.113&CDS=1-891, snap_masked-CU928169-processed-gene-14.119-mRNA-1_1&gene=snap_masked-CU928169-processed-gene-14.119&CDS=1-933	YMR316W, YOR385W
OG0000055	augustus_masked-CU928167-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.118&CDS=1-3096, augustus_masked-CU928167-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-2.135&CDS=1-2706	YJR061W, YKL201C
OG0000056	augustus_masked-CU928167-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-4.13&CDS=1-3843, genemark-CU928171-processed-gene-9.88-mRNA-1_1&gene=genemark-CU928171-processed-gene-9.88&CDS=1-4368	YLR144C, YNR067C
OG0000057	augustus_masked-CU928167-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-6.66&CDS=1-2703, augustus_masked-CU928171-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-8.64&CDS=1-2370	YBR059C, YIL095W
OG0000058	augustus_masked-CU928167-processed-gene-7.116-mRNA-1_1&gene=augustus_masked-CU928167-processed-gene-7.116&CDS=1-4596, augustus_masked-CU928171-processed-gene-10.54-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-10.54&CDS=1-4500	YDR135C, YLL015W
OG0000059	genemark-CU928167-processed-gene-8.197-mRNA-1_1&gene=genemark-CU928167-processed-gene-8.197&CDS=1-945, maker-CU928167-augustus-gene-7.69-mRNA-1_1&gene=maker-CU928167-augustus-gene-7.69&CDS=1-1803	YOL002C, YOL102C
OG0000060	augustus_masked-CU928170-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-1.24&CDS=1-2055, maker-CU928167-augustus-gene-8.5-mRNA-1_1&gene=maker-CU928167-augustus-gene-8.5&CDS=1-2397	YLR188W, YPL270W
OG0000061	augustus_masked-CU928168-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-2.30&CDS=1-4668, augustus_masked-CU928171-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-5.143&CDS=1-5586	YHR023W, YOR326W
OG0000062	augustus_masked-CU928168-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-3.62&CDS=1-2337, augustus_masked-CU928170-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.59&CDS=1-2361	YJL200C, YLR304C
OG0000063	snap_masked-CU928168-processed-gene-4.143-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-4.143&CDS=1-762	YFL060C, YMR095C, YNL334C
OG0000064	augustus_masked-CU928168-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-4.88&CDS=1-5454, augustus_masked-CU928170-processed-gene-11.136-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-11.136&CDS=1-2217	YER017C, YMR089C
OG0000065	augustus_masked-CU928169-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-3.121&CDS=1-1362, maker-CU928168-augustus-gene-6.4-mRNA-1_1&gene=maker-CU928168-augustus-gene-6.4&CDS=1-1851	YKL046C, YMR238W
OG0000066	augustus_masked-CU928168-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-8.99&CDS=1-2613, augustus_masked-CU928171-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-5.125&CDS=1-2460	YHR028C, YOR219C
OG0000067	augustus_masked-CU928168-processed-gene-9.126-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-9.126&CDS=1-1209, augustus_masked-CU928170-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.76&CDS=1-1662	YJL127C, YPL148C
OG0000068	augustus_masked-CU928171-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-CU928171-processed-gene-7.109&CDS=1-3924, maker-CU928168-augustus-gene-10.89-mRNA-1_1&gene=maker-CU928168-augustus-gene-10.89&CDS=1-4629	YIL126W, YOR290C
OG0000069	augustus_masked-CU928170-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-3.65&CDS=1-390, maker-CU928168-augustus-gene-11.50-mRNA-1_1&gene=maker-CU928168-augustus-gene-11.50&CDS=1-390	YJL190C, YLR367W
OG0000070	augustus_masked-CU928168-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-11.111&CDS=1-1968, augustus_masked-CU928170-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-6.52&CDS=1-1941	YJR045C, YLR369W
OG0000071	genemark-CU928180-processed-gene-10.57-mRNA-1_1&gene=genemark-CU928180-processed-gene-10.57&CDS=1-1239, snap_masked-CU928168-processed-gene-11.47-mRNA-1_1&gene=snap_masked-CU928168-processed-gene-11.47&CDS=1-1260	YDL066W, YLR174W
OG0000072	augustus_masked-CU928168-processed-gene-13.107-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-13.107&CDS=1-2619, snap_masked-CU928171-processed-gene-5.24-mRNA-1_1&gene=snap_masked-CU928171-processed-gene-5.24&CDS=1-1986	YHR031C, YML061C
OG0000073	augustus_masked-CU928168-processed-gene-14.98-mRNA-1_1&gene=augustus_masked-CU928168-processed-gene-14.98&CDS=1-1392, augustus_masked-CU928170-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-12.32&CDS=1-2484	YHR206W, YOR140W
OG0000074	augustus_masked-CU928169-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-0.81&CDS=1-4167, maker-CU928170-augustus-gene-2.92-mRNA-1_1&gene=maker-CU928170-augustus-gene-2.92&CDS=1-8124	YIL159W, YNL271C
OG0000075	augustus_masked-CU928169-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-1.134&CDS=1-3363, augustus_masked-CU928170-processed-gene-5.74-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-5.74&CDS=1-7695	YJL130C, YJR109C
OG0000076	augustus_masked-CU928170-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-CU928170-processed-gene-4.59&CDS=1-1716, maker-CU928169-augustus-gene-1.0-mRNA-1_1&gene=maker-CU928169-augustus-gene-1.0&CDS=1-2487	YBL041W, YJL172W
OG0000077	augustus_masked-CU928169-processed-gene-3.97-mRNA-1_1&gene=augustus_masked-CU928169-processed-gene-3.97&CDS=1-3873, maker-CU928171-snap-gene-16.57-mRNA-1_1&gene=maker-CU928171-snap-gene-16.57&CDS=1-2376	YDR326C, YFL042C
