	Saccharomyces_cerevisiae	yHMPu5000035040_Ambrosiozyma_maleeae
OG0000010	YFL021W, YJL110C, YKR034W	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-5.67&CDS=1-1584, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.121&CDS=1-2166, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.95&CDS=1-1779, snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.8-mRNA-1_1&gene=snap_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-12.8&CDS=1-2253, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.58-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.58&CDS=1-2703
OG0000011	YKR039W, YPL274W	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-1.58&CDS=1-1725, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-3.16&CDS=1-1749, maker-NODE_17_length_278381_cov_40.6668_ID_33-snap-gene-1.244-mRNA-1_1&gene=maker-NODE_17_length_278381_cov_40.6668_ID_33-snap-gene-1.244&CDS=1-3399, maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-2.41-mRNA-1_1&gene=maker-NODE_1_length_1450014_cov_38.9627_ID_1-snap-gene-2.41&CDS=1-3621, maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-4.83-mRNA-1_1&gene=maker-NODE_5_length_785164_cov_45.4552_ID_9-snap-gene-4.83&CDS=1-5007, snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.57-mRNA-1_1&gene=snap_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.57&CDS=1-1803
OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-0.34&CDS=1-1824, augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_23_length_184207_cov_38.6036_ID_45-processed-gene-0.118&CDS=1-1722, augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-3.114&CDS=1-1767
OG0000013	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-0.95&CDS=1-1815
OG0000014	YDR034C, YOR348C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-4.107&CDS=1-1842, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-5.23&CDS=1-1833, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.36&CDS=1-1638, maker-NODE_6_length_707688_cov_38.2434_ID_11-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_6_length_707688_cov_38.2434_ID_11-snap-gene-0.39&CDS=1-2091, maker-NODE_7_length_668977_cov_43.4603_ID_13-snap-gene-2.73-mRNA-1_1&gene=maker-NODE_7_length_668977_cov_43.4603_ID_13-snap-gene-2.73&CDS=1-3387
OG0000015	YDR242W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.39&CDS=1-1629, augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-NODE_11_length_412070_cov_44.6161_ID_21-processed-gene-1.120&CDS=1-1629, augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_18_length_260039_cov_39.3695_ID_35-processed-gene-0.99&CDS=1-1623, augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-0.116&CDS=1-1605, augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.187&CDS=1-1656, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.1&CDS=1-1713
OG0000016	YHL028W, YNL283C, YOL105C, YOR008C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.113&CDS=1-1389, augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-7.5&CDS=1-993, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-3.47&CDS=1-1110
OG0000017	YJL034W, YLL024C, YNL209W	augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-NODE_12_length_398974_cov_37.4773_ID_23-processed-gene-2.63&CDS=1-1938, augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_17_length_278381_cov_40.6668_ID_33-processed-gene-1.22&CDS=1-1839, augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-7.81&CDS=1-1941, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.63-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-6.63&CDS=1-2022
OG0000018	YLR138W, YMR020W	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-2.56&CDS=1-1530, augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-4.121&CDS=1-1416, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-3.102&CDS=1-2928, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.274-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-6.274&CDS=1-1497, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.19-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-5.19&CDS=1-3192
OG0000019	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-3.12&CDS=1-1482, augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.159&CDS=1-1563, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.249-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-6.249&CDS=1-1500, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-2.68&CDS=1-1503
OG0000020	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000021	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_20_length_229787_cov_48.6478_ID_39-processed-gene-0.47&CDS=1-1407
OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-1.3&CDS=1-4629, augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-0.114&CDS=1-4434
OG0000023	YBR073W, YDL206W, YGL163C	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.119&CDS=1-2565, maker-NODE_15_length_290363_cov_40.5998_ID_29-augustus-gene-1.91-mRNA-1_1&gene=maker-NODE_15_length_290363_cov_40.5998_ID_29-augustus-gene-1.91&CDS=1-3954, snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.247-mRNA-1_1&gene=snap_masked-NODE_7_length_668977_cov_43.4603_ID_13-processed-gene-5.247&CDS=1-4338
OG0000024	YBR132C	augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-NODE_13_length_373471_cov_44.1009_ID_25-processed-gene-2.166&CDS=1-3348, augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_14_length_300086_cov_45.7339_ID_27-processed-gene-0.111&CDS=1-1683, augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NODE_24_length_160991_cov_50.864_ID_47-processed-gene-0.143&CDS=1-1659, maker-NODE_13_length_373471_cov_44.1009_ID_25-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_13_length_373471_cov_44.1009_ID_25-snap-gene-0.0&CDS=1-5841, maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-2.99-mRNA-1_1&gene=maker-NODE_14_length_300086_cov_45.7339_ID_27-augustus-gene-2.99&CDS=1-1818
OG0000025	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_15_length_290363_cov_40.5998_ID_29-processed-gene-0.84&CDS=1-3198, augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_16_length_282022_cov_38.1116_ID_31-processed-gene-1.133&CDS=1-2400, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-2.69&CDS=1-3225
OG0000026	YCR106W, YLL054C	augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_1_length_1450014_cov_38.9627_ID_1-processed-gene-1.35&CDS=1-2943, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-0.14&CDS=1-1965, snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-2.38&CDS=1-2127, snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-4.113&CDS=1-561
OG0000027	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_1346259_cov_39.2016_ID_3-processed-gene-8.64&CDS=1-2532, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-0.101&CDS=1-2127, augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NODE_5_length_785164_cov_45.4552_ID_9-processed-gene-5.108&CDS=1-1881
OG0000028	YDL210W	augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NODE_10_length_550745_cov_39.138_ID_19-processed-gene-2.47&CDS=1-1662, augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_19_length_238352_cov_47.7159_ID_37-processed-gene-0.37&CDS=1-1653, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-5.75&CDS=1-1656, augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-NODE_6_length_707688_cov_38.2434_ID_11-processed-gene-4.7&CDS=1-1746, augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_8_length_556485_cov_39.8289_ID_15-processed-gene-2.65&CDS=1-1653
OG0000029	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-NODE_3_length_819385_cov_40.0357_ID_5-processed-gene-6.55&CDS=1-936, augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_4_length_788429_cov_41.9372_ID_7-processed-gene-2.130&CDS=1-1482, augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.114-mRNA-1_1&gene=augustus_masked-NODE_9_length_553621_cov_69.3391_ID_17-processed-gene-4.114&CDS=1-1512
