	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
OG0000010	YJR061W, YKL201C	-augustus-gene-18.99-mRNA-1_1&gene=maker-gi|1002316372|dbj|BCGS01000001.1|-augustus-gene-18.99&CDS=1-5169, -processed-gene-20.27-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.27&CDS=1-2433, -processed-gene-22.27-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.27&CDS=1-2592, -processed-gene-22.8-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.8&CDS=1-2463, -processed-gene-4.41-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.41&CDS=1-2271, -snap-gene-2.60-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-2.60&CDS=1-3114
OG0000011	YMR006C, YMR008C, YOL011W	-processed-gene-0.62-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.62&CDS=1-1866, -processed-gene-14.47-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.47&CDS=1-2085, -processed-gene-18.110-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-18.110&CDS=1-1923, -processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-3.92&CDS=1-2046, -processed-gene-9.12-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.12&CDS=1-1884
OG0000012	YDR144C, YLR120C, YLR121C	-processed-gene-13.46-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.46&CDS=1-3660, -processed-gene-2.44-mRNA-1_1&gene=snap_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.44&CDS=1-483, -processed-gene-24.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.88&CDS=1-1251, -snap-gene-2.36-mRNA-1_1&gene=maker-gi|1002316365|dbj|BCGS01000008.1|-snap-gene-2.36&CDS=1-1566
OG0000013	YDR406W, YOR153W	-processed-gene-15.116-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.116&CDS=1-4464, -processed-gene-20.34-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-20.34&CDS=1-4506, -processed-gene-29.48-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-29.48&CDS=1-6783, -processed-gene-9.89-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.89&CDS=1-4518, -snap-gene-3.57-mRNA-1_1&gene=maker-gi|1002316366|dbj|BCGS01000007.1|-snap-gene-3.57&CDS=1-8670
OG0000014	YDR541C, YOL151W	-processed-gene-11.50-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-11.50&CDS=1-1014, -processed-gene-25.37-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-25.37&CDS=1-1005, -processed-gene-3.68-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-3.68&CDS=1-1017, -processed-gene-4.97-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.97&CDS=1-1008, -snap-gene-4.36-mRNA-1_1&gene=maker-gi|1002316365|dbj|BCGS01000008.1|-snap-gene-4.36&CDS=1-1008
OG0000015	YBR150C, YOL089C	-processed-gene-19.85-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.85&CDS=1-2727, -processed-gene-19.86-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.86&CDS=1-2661, -processed-gene-22.117-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-22.117&CDS=1-2676, -snap-gene-22.39-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-22.39&CDS=1-2949
OG0000016	YBR297W, YFL052W, YGR288W, YPR196W	-processed-gene-0.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.81&CDS=1-1848, -processed-gene-15.42-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-15.42&CDS=1-2055
OG0000017	YCL075W	-processed-gene-0.0-mRNA-1_1&gene=snap_masked-gi|1002316358|dbj|BCGS01000015.1|-processed-gene-0.0&CDS=1-2166, -processed-gene-16.43-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.43&CDS=1-2172, -processed-gene-2.55-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.55&CDS=1-855, -processed-gene-7.24-mRNA-1_1&gene=augustus_masked-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-7.24&CDS=1-2937, -processed-gene-7.86-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.86&CDS=1-2961
OG0000018	YER015W	-processed-gene-0.18-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.18&CDS=1-2259, -processed-gene-12.94-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.94&CDS=1-2259, -processed-gene-2.4-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.4&CDS=1-2250, -processed-gene-2.45-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.45&CDS=1-2259, -processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.92&CDS=1-2175
OG0000019	YKL071W	-processed-gene-1.170-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.170&CDS=1-762, -processed-gene-1.6-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.6&CDS=1-759, -processed-gene-11.68-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.68&CDS=1-756, -processed-gene-12.76-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-12.76&CDS=1-684, -processed-gene-4.31-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.31&CDS=1-762
OG0000020	YKL128C, YOR004W	-processed-gene-0.15-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.15&CDS=1-948, -processed-gene-14.46-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-14.46&CDS=1-987, -processed-gene-2.68-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.68&CDS=1-957, -processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.28&CDS=1-1626
OG0000021		-processed-gene-1.61-mRNA-1_1&gene=snap_masked-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-1.61&CDS=1-2229, -processed-gene-10.83-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-10.83&CDS=1-2202, -processed-gene-14.40-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.40&CDS=1-2343, -processed-gene-14.83-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-14.83&CDS=1-2217, -processed-gene-5.60-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-5.60&CDS=1-2211, -processed-gene-8.126-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.126&CDS=1-2115
OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-9.92-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.92&CDS=1-4671
OG0000023	YBR008C	-processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-0.97&CDS=1-1644, -processed-gene-17.93-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.93&CDS=1-1653, -processed-gene-30.197-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.197&CDS=1-1650, -snap-gene-8.29-mRNA-1_1&gene=maker-gi|1002316366|dbj|BCGS01000007.1|-snap-gene-8.29&CDS=1-3291
OG0000024	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	
OG0000025	YBR237W, YNL112W	-processed-gene-1.79-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.79&CDS=1-2763, -processed-gene-1.81-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-1.81&CDS=1-1611, -processed-gene-2.43-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.43&CDS=1-1803
OG0000026	YBR298C, YDL247W, YGR289C, YJR160C	-processed-gene-11.39-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-11.39&CDS=1-1749
OG0000027	YCL024W, YDR507C, YKL101W	-processed-gene-4.42-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.42&CDS=1-4173, -processed-gene-8.4-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-8.4&CDS=1-4737
OG0000028	YCL064C, YIL167W, YML020W	-processed-gene-2.37-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.37&CDS=1-1062, -snap-gene-0.30-mRNA-1_1&gene=maker-gi|1002316364|dbj|BCGS01000009.1|-snap-gene-0.30&CDS=1-3708
OG0000029	YCR037C, YJL198W, YNR013C	-processed-gene-16.135-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.135&CDS=1-2622, -processed-gene-23.10-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-23.10&CDS=1-2943
OG0000030	YDL244W, YFL058W, YJR156C, YNL332W	-processed-gene-17.120-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-17.120&CDS=1-1017
OG0000031	YDR038C, YDR039C, YDR040C	-processed-gene-11.25-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.25&CDS=1-3438, -processed-gene-27.95-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.95&CDS=1-3276
OG0000032	YDR253C, YGR067C, YPL038W	-processed-gene-12.0-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.0&CDS=1-1266, -processed-gene-7.82-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.82&CDS=1-3057
OG0000033	YDR368W, YOR120W	-processed-gene-10.111-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-10.111&CDS=1-927, -processed-gene-20.69-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-20.69&CDS=1-927, -processed-gene-6.21-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.21&CDS=1-927
OG0000034	YGR192C, YJL052W, YJR009C	-processed-gene-1.88-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.88&CDS=1-1005, -processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.26&CDS=1-996
OG0000035	YGR197C, YJR015W	-processed-gene-10.22-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.22&CDS=1-1677, -processed-gene-10.6-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.6&CDS=1-1836, -processed-gene-3.15-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.15&CDS=1-1581
OG0000036	YGR212W	-processed-gene-12.78-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-12.78&CDS=1-1479, -processed-gene-4.102-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.102&CDS=1-1434, -processed-gene-5.47-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-5.47&CDS=1-1779, -processed-gene-9.31-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-9.31&CDS=1-1452
OG0000037	YGR281W	-processed-gene-12.19-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-12.19&CDS=1-4284, -processed-gene-3.35-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-3.35&CDS=1-4389, -processed-gene-3.88-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-3.88&CDS=1-4269, -processed-gene-4.7-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-4.7&CDS=1-4788
OG0000038	YIL120W, YIL121W	-processed-gene-3.9-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.9&CDS=1-1575, -processed-gene-8.47-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-8.47&CDS=1-1518, -snap-gene-17.85-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-17.85&CDS=1-3147
OG0000039	YIL166C	-processed-gene-16.107-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.107&CDS=1-1740, -processed-gene-30.171-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-30.171&CDS=1-1638, -processed-gene-4.39-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-4.39&CDS=1-1629, -processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.98&CDS=1-1656
OG0000040	YIR013C, YLR013W	-processed-gene-1.62-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.62&CDS=1-996, -processed-gene-12.64-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-12.64&CDS=1-981, -processed-gene-2.5-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-2.5&CDS=1-1014
OG0000041	YJL079C, YKR013W	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.46&CDS=1-753, -processed-gene-1.52-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-1.52&CDS=1-1128, -snap-gene-6.0-mRNA-1_1&gene=maker-gi|1002316371|dbj|BCGS01000002.1|-snap-gene-6.0&CDS=1-1581
OG0000042	YJL172W, YOL153C	-processed-gene-10.37-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-10.37&CDS=1-1833, -processed-gene-7.28-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.28&CDS=1-1746, -snap-gene-11.62-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-11.62&CDS=1-3441
OG0000043	YJR019C	-processed-gene-15.80-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.80&CDS=1-1200, -processed-gene-15.81-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.81&CDS=1-1005, -processed-gene-15.82-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.82&CDS=1-1068, -processed-gene-15.83-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.83&CDS=1-1011
OG0000044	YKL217W	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002316361|dbj|BCGS01000012.1|-processed-gene-0.20&CDS=1-1575, -processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-0.93&CDS=1-1575, -processed-gene-1.71-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.71&CDS=1-1566, -processed-gene-7.31-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-7.31&CDS=1-1581
OG0000045	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
OG0000046	YKL222C, YLR266C, YOR162C, YOR172W	-processed-gene-28.3-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.3&CDS=1-1728
OG0000047	YLL057C	-processed-gene-10.106-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-10.106&CDS=1-1146, -processed-gene-5.91-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-5.91&CDS=1-1128, -processed-gene-7.72-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.72&CDS=1-1158, -processed-gene-7.73-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-7.73&CDS=1-1155
OG0000048	YLR144C, YNR067C	-processed-gene-0.21-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.21&CDS=1-2325, -processed-gene-16.30-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-16.30&CDS=1-3585, -processed-gene-19.38-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-19.38&CDS=1-3450
OG0000049	YPR159W	-processed-gene-1.65-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-1.65&CDS=1-2154, -processed-gene-14.31-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-14.31&CDS=1-2055, -processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.3&CDS=1-1986, -processed-gene-2.70-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.70&CDS=1-2136
OG0000050	YPR194C	-processed-gene-0.82-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-0.82&CDS=1-2754, -processed-gene-13.70-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-13.70&CDS=1-2730, -processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-2.29&CDS=1-2745, -snap-gene-2.82-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-2.82&CDS=1-5403
OG0000051	YAL054C, YLR153C	-processed-gene-10.60-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.60&CDS=1-2037, -processed-gene-19.92-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.92&CDS=1-2025
OG0000052	YAR035W, YER024W	-processed-gene-12.29-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-12.29&CDS=1-2265, -processed-gene-3.73-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.73&CDS=1-2580
OG0000053	YBL002W, YDR224C	-processed-gene-10.55-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.55&CDS=1-393, -processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.30&CDS=1-393
OG0000054	YBR009C, YNL030W	-processed-gene-10.63-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-10.63&CDS=1-309, -processed-gene-5.58-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-5.58&CDS=1-309
