	Saccharomyces_cerevisiae	yHMPu5000034904_Ogataea_nonfermentans
OG0000010	YBR009C, YNL030W	snap_masked-flattened_line_0-processed-gene-1.186-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.186&CDS=1-309, snap_masked-flattened_line_0-processed-gene-30.136-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.136&CDS=1-309, snap_masked-flattened_line_17-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.77&CDS=1-309
OG0000011	YBR240C	augustus_masked-flattened_line_9-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.158&CDS=1-1002, snap_masked-flattened_line_0-processed-gene-14.7-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.7&CDS=1-804, snap_masked-flattened_line_0-processed-gene-18.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.80&CDS=1-804, snap_masked-flattened_line_3-processed-gene-5.121-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-5.121&CDS=1-486
OG0000012	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_13-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.41&CDS=1-1578
OG0000013	YDR144C, YLR120C, YLR121C	snap_masked-flattened_line_0-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.167&CDS=1-1716, snap_masked-flattened_line_0-processed-gene-30.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.159&CDS=1-1716
OG0000014	YER056C, YER060W, YER060W-A	maker-flattened_line_0-snap-gene-1.59-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.59&CDS=1-2214, maker-flattened_line_0-snap-gene-31.66-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-31.66&CDS=1-2214
OG0000015	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_11-processed-gene-3.136-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.136&CDS=1-1488
OG0000016	YML111W, YMR275C, YNR069C	snap_masked-flattened_line_1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.22&CDS=1-1971, snap_masked-flattened_line_11-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.59&CDS=1-2166
OG0000017	YPL088W	snap_masked-flattened_line_17-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-2.140&CDS=1-1074, snap_masked-flattened_line_29-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.15&CDS=1-1059, snap_masked-flattened_line_3-processed-gene-12.172-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-12.172&CDS=1-1071, snap_masked-flattened_line_5-processed-gene-7.129-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-7.129&CDS=1-1074
OG0000018	YBL030C, YBR085W, YMR056C	augustus_masked-flattened_line_5-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-3.85&CDS=1-1677
OG0000019	YBL101C, YPR030W	snap_masked-flattened_line_0-processed-gene-12.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.131&CDS=1-3279, snap_masked-flattened_line_0-processed-gene-20.141-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.141&CDS=1-3279
OG0000020	YBR014C, YDL010W	snap_masked-flattened_line_0-processed-gene-10.177-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.177&CDS=1-903, snap_masked-flattened_line_0-processed-gene-21.178-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.178&CDS=1-903
OG0000021	YBR048W, YDR025W	maker-flattened_line_0-snap-gene-10.142-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-10.142&CDS=1-465, maker-flattened_line_0-snap-gene-21.66-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-21.66&CDS=1-465
OG0000022	YBR118W, YPR080W	genemark-flattened_line_15-processed-gene-1.19-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.19&CDS=1-1380, snap_masked-flattened_line_13-processed-gene-2.68-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.68&CDS=1-1380
OG0000023	YBR181C, YPL090C	augustus_masked-flattened_line_0-processed-gene-20.0-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-20.0&CDS=1-2040, genemark-flattened_line_0-processed-gene-12.107-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.107&CDS=1-2040
OG0000024	YBR189W, YPL081W	maker-flattened_line_0-snap-gene-24.50-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-24.50&CDS=1-1032, maker-flattened_line_0-snap-gene-7.68-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-7.68&CDS=1-1032
OG0000025	YBR214W, YGL056C	snap_masked-flattened_line_0-processed-gene-22.94-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-22.94&CDS=1-1503, snap_masked-flattened_line_0-processed-gene-9.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.138&CDS=1-1503
OG0000026	YBR216C, YGL060W	genemark-flattened_line_0-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.80&CDS=1-1890, snap_masked-flattened_line_0-processed-gene-31.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.78&CDS=1-1914
OG0000027	YBR238C, YGL107C	snap_masked-flattened_line_25-processed-gene-0.198-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.198&CDS=1-1659, snap_masked-flattened_line_5-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.54&CDS=1-1869
OG0000028	YBR273C, YJL048C	augustus_masked-flattened_line_0-processed-gene-15.122-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.122&CDS=1-1503, snap_masked-flattened_line_0-processed-gene-16.4-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-16.4&CDS=1-1503
OG0000029	YBR297W, YFL052W, YGR288W, YPR196W	
OG0000030	YBR298C, YDL247W, YGR289C, YJR160C	
OG0000031	YCL067C, YCR039C, YCR096C	maker-flattened_line_33-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.25&CDS=1-510
OG0000032	YCR026C, YEL016C	snap_masked-flattened_line_0-processed-gene-12.167-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.167&CDS=1-2091, snap_masked-flattened_line_0-processed-gene-19.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.37&CDS=1-2091
OG0000033	YCR105W, YMR318C	snap_masked-flattened_line_0-processed-gene-23.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-23.79&CDS=1-1077, snap_masked-flattened_line_0-processed-gene-8.104-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.104&CDS=1-1077
OG0000034	YDL042C, YOL068C	snap_masked-flattened_line_0-processed-gene-13.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.80&CDS=1-1602, snap_masked-flattened_line_0-processed-gene-19.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.41&CDS=1-1602
OG0000035	YDL061C, YLR388W	genemark-flattened_line_0-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.68&CDS=1-135, genemark-flattened_line_0-processed-gene-31.209-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-31.209&CDS=1-135
OG0000036	YDL066W, YLR174W, YNL009W	augustus_masked-flattened_line_9-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.152&CDS=1-4410
OG0000037	YDL130W-A, YDL181W	snap_masked-flattened_line_0-processed-gene-27.141-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-27.141&CDS=1-246, snap_masked-flattened_line_0-processed-gene-5.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.46&CDS=1-246
OG0000038	YDL131W, YDL182W	maker-flattened_line_0-augustus-gene-27.64-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-27.64&CDS=1-3600, maker-flattened_line_0-augustus-gene-5.1-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-5.1&CDS=1-3600
OG0000039	YDL136W, YDL191W	augustus_masked-flattened_line_0-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.126&CDS=1-387, maker-flattened_line_0-augustus-gene-27.66-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-27.66&CDS=1-414
OG0000040	YDL137W, YDL192W	snap_masked-flattened_line_0-processed-gene-27.172-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-27.172&CDS=1-543, snap_masked-flattened_line_0-processed-gene-5.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.9&CDS=1-543
OG0000041	YDL204W, YDR233C	maker-flattened_line_0-snap-gene-15.127-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-15.127&CDS=1-867, maker-flattened_line_0-snap-gene-16.84-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-16.84&CDS=1-867
OG0000042	YDR099W, YER177W	snap_masked-flattened_line_0-processed-gene-24.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.73&CDS=1-1155, snap_masked-flattened_line_0-processed-gene-7.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.131&CDS=1-1155
OG0000043	YDR146C, YLR131C	snap_masked-flattened_line_0-processed-gene-25.180-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-25.180&CDS=1-1443, snap_masked-flattened_line_0-processed-gene-6.38-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.38&CDS=1-1443
OG0000044	YDR178W, YLR164W	snap_masked-flattened_line_3-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.47&CDS=1-462, snap_masked-flattened_line_7-processed-gene-4.77-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.77&CDS=1-474
OG0000045	YDR251W, YPL032C	snap_masked-flattened_line_0-processed-gene-1.150-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.150&CDS=1-2535, snap_masked-flattened_line_0-processed-gene-30.176-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-30.176&CDS=1-2535
OG0000046	YDR300C, YHR033W	genemark-flattened_line_0-processed-gene-24.161-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-24.161&CDS=1-3678, genemark-flattened_line_0-processed-gene-7.176-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.176&CDS=1-3678
OG0000047	YDR312W, YHR066W	snap_masked-flattened_line_0-processed-gene-10.204-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.204&CDS=1-1152, snap_masked-flattened_line_0-processed-gene-21.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-21.155&CDS=1-1152
OG0000048	YDR326C, YHR080C	snap_masked-flattened_line_0-processed-gene-11.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.79&CDS=1-2631, snap_masked-flattened_line_0-processed-gene-20.150-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.150&CDS=1-2631
OG0000049	YDR409W, YOR156C	maker-flattened_line_0-snap-gene-13.192-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-13.192&CDS=1-3816, maker-flattened_line_0-snap-gene-18.45-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-18.45&CDS=1-3816
OG0000050	YDR453C, YML028W	snap_masked-flattened_line_0-processed-gene-12.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.155&CDS=1-585, snap_masked-flattened_line_0-processed-gene-19.47-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-19.47&CDS=1-585
OG0000051	YER054C, YIL045W	snap_masked-flattened_line_3-processed-gene-11.116-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-11.116&CDS=1-1431, snap_masked-flattened_line_5-processed-gene-2.101-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.101&CDS=1-1761
OG0000052	YER067W, YIL057C	snap_masked-flattened_line_1-processed-gene-12.74-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-12.74&CDS=1-537, snap_masked-flattened_line_3-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.49&CDS=1-564
OG0000053	YFL021W, YKR034W	snap_masked-flattened_line_25-processed-gene-0.161-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.161&CDS=1-1932, snap_masked-flattened_line_7-processed-gene-3.120-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.120&CDS=1-1695
OG0000054	YFL048C, YLR080W	augustus_masked-flattened_line_0-processed-gene-14.66-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.66&CDS=1-1422, augustus_masked-flattened_line_0-processed-gene-17.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.108&CDS=1-1422
OG0000055	YFL059W, YMR096W, YNL333W	genemark-flattened_line_7-processed-gene-5.224-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-5.224&CDS=1-915
OG0000056	YFL060C, YMR095C, YNL334C	snap_masked-flattened_line_7-processed-gene-5.61-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-5.61&CDS=1-765
OG0000057	YFR014C, YOL016C	snap_masked-flattened_line_0-processed-gene-24.89-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.89&CDS=1-1248, snap_masked-flattened_line_0-processed-gene-8.67-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.67&CDS=1-1248
OG0000058	YFR031C-A, YIL018W	snap_masked-flattened_line_0-processed-gene-14.23-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.23&CDS=1-765, snap_masked-flattened_line_0-processed-gene-17.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.45&CDS=1-765
OG0000059	YGL257C, YIL014W, YNR059W	snap_masked-flattened_line_5-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.81&CDS=1-2385
OG0000060	YGR038W, YLR350W	genemark-flattened_line_0-processed-gene-14.119-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.119&CDS=1-600, genemark-flattened_line_0-processed-gene-17.169-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-17.169&CDS=1-600
OG0000061	YGR043C, YLR354C	augustus_masked-flattened_line_0-processed-gene-26.106-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-26.106&CDS=1-1950, maker-flattened_line_0-augustus-gene-6.114-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.114&CDS=1-1950
OG0000062	YGR059W, YHR107C	maker-flattened_line_3-snap-gene-7.1-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-7.1&CDS=1-1563, maker-flattened_line_7-snap-gene-3.67-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-3.67&CDS=1-2289
OG0000063	YGR087C, YLR044C, YLR134W	snap_masked-flattened_line_11-processed-gene-4.222-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-4.222&CDS=1-1713
OG0000064	YGR214W, YLR048W	snap_masked-flattened_line_0-processed-gene-27.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-27.138&CDS=1-786, snap_masked-flattened_line_0-processed-gene-5.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.49&CDS=1-786
OG0000065	YGR243W, YHR162W	maker-flattened_line_0-augustus-gene-2.154-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-2.154&CDS=1-954, maker-flattened_line_0-augustus-gene-29.172-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-29.172&CDS=1-954
OG0000066	YHL001W, YKL006W	snap_masked-flattened_line_0-processed-gene-2.14-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.14&CDS=1-396, snap_masked-flattened_line_0-processed-gene-29.109-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.109&CDS=1-396
OG0000067	YHL003C, YKL008C	snap_masked-flattened_line_0-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.137&CDS=1-1209, snap_masked-flattened_line_0-processed-gene-31.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.117&CDS=1-1209
OG0000068	YHR021C, YKL156W	genemark-flattened_line_0-processed-gene-10.17-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.17&CDS=1-975, genemark-flattened_line_0-processed-gene-22.47-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-22.47&CDS=1-975
OG0000069	YIL120W, YIL121W	genemark-flattened_line_0-processed-gene-24.128-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-24.128&CDS=1-1542, genemark-flattened_line_0-processed-gene-8.12-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.12&CDS=1-1542
OG0000070	YIR031C, YNL117W	snap_masked-flattened_line_0-processed-gene-2.18-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.18&CDS=1-1662, snap_masked-flattened_line_0-processed-gene-29.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-29.105&CDS=1-1662
OG0000071	YJL172W, YOL153C	snap_masked-flattened_line_0-processed-gene-23.92-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-23.92&CDS=1-1716, snap_masked-flattened_line_0-processed-gene-8.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.91&CDS=1-1716
OG0000072	YKL050C, YMR031C	snap_masked-flattened_line_0-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.135&CDS=1-2703, snap_masked-flattened_line_0-processed-gene-31.87-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-31.87&CDS=1-2703
OG0000073	YLL062C, YMR321C, YPL273W	snap_masked-flattened_line_3-processed-gene-11.91-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-11.91&CDS=1-900
OG0000074	YLR270W, YOR173W	snap_masked-flattened_line_0-processed-gene-24.65-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-24.65&CDS=1-882, snap_masked-flattened_line_0-processed-gene-8.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.84&CDS=1-882
OG0000075	YLR449W, YML074C	snap_masked-flattened_line_0-processed-gene-26.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-26.45&CDS=1-1275, snap_masked-flattened_line_0-processed-gene-5.33-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.33&CDS=1-1275
OG0000076	YMR006C, YMR008C, YOL011W	snap_masked-flattened_line_5-processed-gene-5.56-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-5.56&CDS=1-1935
OG0000077	YMR168C	snap_masked-flattened_line_23-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.156&CDS=1-1128, snap_masked-flattened_line_29-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.13&CDS=1-2964, snap_masked-flattened_line_3-processed-gene-3.115-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.115&CDS=1-2322
OG0000078	YNL098C, YOR101W	snap_masked-flattened_line_0-processed-gene-15.148-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.148&CDS=1-792, snap_masked-flattened_line_0-processed-gene-16.38-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-16.38&CDS=1-792
OG0000079	YOR049C	snap_masked-flattened_line_0-processed-gene-12.127-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.127&CDS=1-1173, snap_masked-flattened_line_0-processed-gene-20.125-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-20.125&CDS=1-1173, snap_masked-flattened_line_1-processed-gene-7.169-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-7.169&CDS=1-885
OG0000080	Q0045, Q0065, Q0070	maker-flattened_line_27-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-0.3&CDS=1-237
OG0000081		augustus_masked-flattened_line_0-processed-gene-31.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-31.35&CDS=1-3162, genemark-flattened_line_3-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-0.89&CDS=1-1641, maker-flattened_line_0-augustus-gene-0.162-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.162&CDS=1-3162, snap_masked-flattened_line_9-processed-gene-5.265-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-5.265&CDS=1-1665
OG0000082		maker-flattened_line_15-snap-gene-1.121-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-1.121&CDS=1-183, maker-flattened_line_15-snap-gene-1.122-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-1.122&CDS=1-2592, maker-flattened_line_15-snap-gene-1.123-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-1.123&CDS=1-2574, snap_masked-flattened_line_15-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-1.167&CDS=1-2460
