	Saccharomyces_cerevisiae	yHMPu5000035031_Candida_kruisii
OG0000010	YHR179W, YPL171C	augustus_masked-flattened_line_42-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.214&CDS=1-1188, maker-flattened_line_0-snap-gene-2.122-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.122&CDS=1-3513, maker-flattened_line_0-snap-gene-5.55-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.55&CDS=1-3513, maker-flattened_line_17-snap-gene-2.194-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-2.194&CDS=1-2379
OG0000011	YIL166C	augustus_masked-flattened_line_1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.71&CDS=1-1605, augustus_masked-flattened_line_142-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.4&CDS=1-1623, augustus_masked-flattened_line_19-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.107&CDS=1-1620, augustus_masked-flattened_line_19-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.134&CDS=1-1620, augustus_masked-flattened_line_66-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.4&CDS=1-1620
OG0000012	YLR149C	augustus_masked-flattened_line_0-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.59&CDS=1-882, augustus_masked-flattened_line_0-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.112&CDS=1-882, maker-flattened_line_20-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.44&CDS=1-849, maker-flattened_line_20-snap-gene-0.50-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.50&CDS=1-2538, maker-flattened_line_70-augustus-gene-0.48-mRNA-1_1&gene=maker-flattened_line_70-augustus-gene-0.48&CDS=1-3228
OG0000013		augustus_masked-flattened_line_146-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.7&CDS=1-801, augustus_masked-flattened_line_178-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_178-processed-gene-0.0&CDS=1-1134, augustus_masked-flattened_line_206-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_206-processed-gene-0.2&CDS=1-984, augustus_masked-flattened_line_24-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.47&CDS=1-1866, augustus_masked-flattened_line_6-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.134&CDS=1-1710, maker-flattened_line_146-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_146-snap-gene-0.5&CDS=1-5235
OG0000014	YBR008C	augustus_masked-flattened_line_144-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_144-processed-gene-0.7&CDS=1-1632, augustus_masked-flattened_line_30-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.27&CDS=1-1650, genemark-flattened_line_40-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.8&CDS=1-1578, maker-flattened_line_50-snap-gene-0.80-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.80&CDS=1-4884
OG0000015	YBR089C-A, YDL002C, YPR052C	augustus_masked-flattened_line_30-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.39&CDS=1-276, maker-flattened_line_66-augustus-gene-0.173-mRNA-1_1&gene=maker-flattened_line_66-augustus-gene-0.173&CDS=1-3684
OG0000016	YBR150C, YOL089C	augustus_masked-flattened_line_8-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.29&CDS=1-2919, augustus_masked-flattened_line_8-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.30&CDS=1-2850, snap_masked-flattened_line_8-processed-gene-2.113-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.113&CDS=1-2607
OG0000017	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_10-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.86&CDS=1-1743
OG0000018	YCL036W, YDR514C	augustus_masked-flattened_line_26-processed-gene-1.242-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.242&CDS=1-783, augustus_masked-flattened_line_26-processed-gene-1.285-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.285&CDS=1-1050, augustus_masked-flattened_line_40-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.149&CDS=1-873
OG0000019	YCL048W, YDR522C	augustus_masked-flattened_line_30-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.20&CDS=1-1839, augustus_masked-flattened_line_62-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.74&CDS=1-1845, maker-flattened_line_76-augustus-gene-0.121-mRNA-1_1&gene=maker-flattened_line_76-augustus-gene-0.121&CDS=1-2934
OG0000020	YDL146W, YIL042C	augustus_masked-flattened_line_3-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.24&CDS=1-1269, augustus_masked-flattened_line_3-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.25&CDS=1-1740, maker-flattened_line_3-augustus-gene-0.81-mRNA-1_1&gene=maker-flattened_line_3-augustus-gene-0.81&CDS=1-3024
OG0000021	YDL244W, YFL058W, YJR156C, YNL332W	maker-flattened_line_60-augustus-gene-0.78-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.78&CDS=1-1698
OG0000022	YDR144C, YLR120C, YLR121C	genemark-flattened_line_16-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.6&CDS=1-3225, genemark-flattened_line_16-processed-gene-2.166-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.166&CDS=1-3225
OG0000023	YDR342C, YDR343C, YDR345C, YHR092C	augustus_masked-flattened_line_22-processed-gene-1.246-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.246&CDS=1-1659
OG0000024	YDR386W, YML031W	augustus_masked-flattened_line_0-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.94&CDS=1-2103, augustus_masked-flattened_line_0-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.95&CDS=1-1866, augustus_masked-flattened_line_0-processed-gene-6.124-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.124&CDS=1-3693
OG0000025	YDR541C, YOL151W	augustus_masked-flattened_line_4-processed-gene-3.116-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.116&CDS=1-1005, augustus_masked-flattened_line_6-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.131&CDS=1-1005, snap_masked-flattened_line_70-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.44&CDS=1-1005
OG0000026	YER183C, YJL154C	augustus_masked-flattened_line_16-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.77&CDS=1-2691, augustus_masked-flattened_line_16-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.78&CDS=1-600, augustus_masked-flattened_line_16-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.22&CDS=1-3264
OG0000027	YIL120W, YIL121W, YNL065W	augustus_masked-flattened_line_0-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.22&CDS=1-4263, augustus_masked-flattened_line_0-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.86&CDS=1-4263
OG0000028	YJR061W, YKL201C	augustus_masked-flattened_line_28-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.86&CDS=1-2529, augustus_masked-flattened_line_44-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.141&CDS=1-2694, snap_masked-flattened_line_28-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.116&CDS=1-2397
OG0000029	YLL056C, YOR212W	augustus_masked-flattened_line_6-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.70&CDS=1-1074, maker-flattened_line_20-snap-gene-1.208-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-1.208&CDS=1-3147, maker-flattened_line_40-augustus-gene-0.197-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.197&CDS=1-2223
OG0000030	YMR152W	augustus_masked-flattened_line_1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-3.85&CDS=1-1113, augustus_masked-flattened_line_131-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.14&CDS=1-1098, augustus_masked-flattened_line_131-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_131-processed-gene-0.15&CDS=1-1083, augustus_masked-flattened_line_8-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.111&CDS=1-1083
OG0000031	YNL265C, YOR269W	augustus_masked-flattened_line_0-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.84&CDS=1-2175, snap_masked-flattened_line_0-processed-gene-2.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.58&CDS=1-1542, snap_masked-flattened_line_0-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.59&CDS=1-696
OG0000032	YAL060W, YAL061W	augustus_masked-flattened_line_0-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.5&CDS=1-1137, augustus_masked-flattened_line_0-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.103&CDS=1-1137
OG0000033	YAL062W, YOR375C	augustus_masked-flattened_line_16-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.62&CDS=1-3591, augustus_masked-flattened_line_16-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.75&CDS=1-3591
OG0000034	YBL072C, YER102W	augustus_masked-flattened_line_16-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.102&CDS=1-597, augustus_masked-flattened_line_16-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.23&CDS=1-597
OG0000035	YBL106C, YPR032W	augustus_masked-flattened_line_0-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.91&CDS=1-3249, augustus_masked-flattened_line_0-processed-gene-6.93-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.93&CDS=1-3249
OG0000036	YBR001C, YDR001C	augustus_masked-flattened_line_3-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.14&CDS=1-3924, augustus_masked-flattened_line_3-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.60&CDS=1-3924
OG0000037	YBR009C, YNL030W	augustus_masked-flattened_line_40-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.178&CDS=1-309, augustus_masked-flattened_line_6-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.119&CDS=1-309
OG0000038	YBR010W, YNL031C	augustus_masked-flattened_line_40-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.127&CDS=1-408, augustus_masked-flattened_line_6-processed-gene-3.152-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.152&CDS=1-408
OG0000039	YBR172C, YPL105C	augustus_masked-flattened_line_19-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.88&CDS=1-2733, genemark-flattened_line_19-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.111&CDS=1-2733
OG0000040	YBR183W, YPL087W	maker-flattened_line_19-augustus-gene-1.45-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.45&CDS=1-2649, maker-flattened_line_19-augustus-gene-1.48-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.48&CDS=1-2649
OG0000041	YBR294W, YLR092W	augustus_masked-flattened_line_3-processed-gene-2.143-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.143&CDS=1-2484, augustus_masked-flattened_line_3-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.51&CDS=1-2484
OG0000042	YCL069W, YGR224W, YKR105C, YPR198W	
OG0000043	YDL048C, YLR375W	maker-flattened_line_0-snap-gene-1.84-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.84&CDS=1-786, maker-flattened_line_0-snap-gene-6.151-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.151&CDS=1-786
OG0000044	YDL088C, YMR153W	augustus_masked-flattened_line_3-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.3&CDS=1-1119, augustus_masked-flattened_line_3-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.71&CDS=1-1119
OG0000045	YDL124W	maker-flattened_line_68-snap-gene-0.61-mRNA-1_1&gene=maker-flattened_line_68-snap-gene-0.61&CDS=1-1797, snap_masked-flattened_line_16-processed-gene-1.0-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.0&CDS=1-921, snap_masked-flattened_line_16-processed-gene-2.232-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.232&CDS=1-921
OG0000046	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_32-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.132&CDS=1-3243
OG0000047	YDR098C, YER174C	augustus_masked-flattened_line_3-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-2.118&CDS=1-756, augustus_masked-flattened_line_3-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.78&CDS=1-756
OG0000048	YDR185C, YLR168C	maker-flattened_line_19-augustus-gene-1.47-mRNA-1_1&gene=maker-flattened_line_19-augustus-gene-1.47&CDS=1-1338, snap_masked-flattened_line_19-processed-gene-2.119-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-2.119&CDS=1-1473
OG0000049	YDR276C, YDR525W-A	augustus_masked-flattened_line_4-processed-gene-2.124-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.124&CDS=1-744, maker-flattened_line_8-augustus-gene-1.141-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-1.141&CDS=1-246
OG0000050	YDR351W, YHR103W	augustus_masked-flattened_line_19-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-0.49&CDS=1-2751, augustus_masked-flattened_line_19-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.113&CDS=1-2751
OG0000051	YDR368W, YOR120W	augustus_masked-flattened_line_0-processed-gene-6.111-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.111&CDS=1-927, genemark-flattened_line_0-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.22&CDS=1-927
OG0000052	YDR385W, YOR133W	snap_masked-flattened_line_0-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.37&CDS=1-2526, snap_masked-flattened_line_0-processed-gene-6.160-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.160&CDS=1-2526
OG0000053	YEL022W, YJR031C	maker-flattened_line_16-augustus-gene-0.84-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-0.84&CDS=1-5169, maker-flattened_line_16-augustus-gene-2.254-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-2.254&CDS=1-5181
OG0000054	YEL047C, YJR051W	maker-flattened_line_16-snap-gene-1.110-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.110&CDS=1-1602, maker-flattened_line_16-snap-gene-2.12-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-2.12&CDS=1-1602
OG0000055	YEL066W, YPR193C	augustus_masked-flattened_line_0-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.44&CDS=1-459, augustus_masked-flattened_line_0-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.142&CDS=1-459
OG0000056	YER028C, YGL209W	augustus_masked-flattened_line_56-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.160&CDS=1-1416, augustus_masked-flattened_line_78-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.63&CDS=1-1542
OG0000057	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_36-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.199&CDS=1-1563
OG0000058	YER062C, YIL053W	augustus_masked-flattened_line_0-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.87&CDS=1-759, augustus_masked-flattened_line_0-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.31&CDS=1-759
OG0000059	YER064C, YIL056W	augustus_masked-flattened_line_3-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-0.19&CDS=1-1689, augustus_masked-flattened_line_3-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.55&CDS=1-1689
OG0000060	YGR070W, YLR371W	augustus_masked-flattened_line_0-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.99&CDS=1-4167, augustus_masked-flattened_line_0-processed-gene-6.120-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.120&CDS=1-4167
OG0000061	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_16-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.55&CDS=1-996
OG0000062	YGR232W, YIL112W	augustus_masked-flattened_line_32-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.92&CDS=1-3810, augustus_masked-flattened_line_91-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_91-processed-gene-0.114&CDS=1-684
OG0000063	YHR031C, YML061C	genemark-flattened_line_28-processed-gene-1.147-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.147&CDS=1-1983, snap_masked-flattened_line_34-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.58&CDS=1-1881
OG0000064	YHR115C, YNL116W	augustus_masked-flattened_line_0-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.62&CDS=1-1512, augustus_masked-flattened_line_0-processed-gene-6.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.108&CDS=1-1512
OG0000065	YIR013C, YLR013W	augustus_masked-flattened_line_14-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.125&CDS=1-912, augustus_masked-flattened_line_62-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.81&CDS=1-858
OG0000066	YJL045W, YKL148C	maker-flattened_line_19-snap-gene-0.42-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-0.42&CDS=1-3582, maker-flattened_line_19-snap-gene-2.61-mRNA-1_1&gene=maker-flattened_line_19-snap-gene-2.61&CDS=1-3582
OG0000067	YKL034W	augustus_masked-flattened_line_0-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.49&CDS=1-2373, augustus_masked-flattened_line_0-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.137&CDS=1-2373, genemark-flattened_line_52-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.108&CDS=1-2385
OG0000068	YKL050C, YMR031C	augustus_masked-flattened_line_16-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.31&CDS=1-2256, augustus_masked-flattened_line_16-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.88&CDS=1-2256
OG0000069	YKL128C	augustus_masked-flattened_line_12-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.67&CDS=1-933, augustus_masked-flattened_line_87-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.78&CDS=1-909, genemark-flattened_line_6-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.42&CDS=1-990
OG0000070	YLL062C, YMR321C, YPL273W	augustus_masked-flattened_line_6-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.64&CDS=1-1017
