	Fusarium_graminearum	Saccharomyces_cerevisiae
OG0000026	XP_011319515.1, XP_011320072.1, XP_011322469.1, XP_011326173.1, XP_011326958.1, XP_011328478.1	YJL212C, YPR194C
OG0000027	XP_011320233.1, XP_011320697.1, XP_011325333.1	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000028	XP_011320441.1, XP_011321776.1, XP_011321992.1, XP_011328550.1	YBR297W, YFL052W, YGR288W, YPR196W
OG0000029	XP_011321484.1, XP_011322165.1, XP_011324230.1, XP_011324448.1, XP_011326051.1, XP_011326160.1	YLR307W, YLR308W
OG0000030	XP_011322323.1, XP_011322365.1, XP_011327601.1	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000031	XP_011322520.1, XP_011325810.1, XP_011327563.1, XP_011327744.1, XP_011327751.1, XP_011328145.1, XP_011328750.1, XP_011328754.1	
OG0000032	XP_011315611.1, XP_011317903.1, XP_011319498.1, XP_011319918.1, XP_011324993.1, XP_011328724.1	YOL119C
OG0000033	XP_011315661.1, XP_011322376.1, XP_011322489.1, XP_011322548.1, XP_011327874.1	YHR179W, YPL171C
OG0000034	XP_011315662.1, XP_011315741.1, XP_011316657.1, XP_011322043.1, XP_011322996.1, XP_011323290.1	YLL056C
OG0000035	XP_011315760.1, XP_011322712.1, XP_011323370.1, XP_011325490.1, XP_011325756.1, XP_011328397.1	YKL015W
OG0000036	XP_011316304.1, XP_011321701.1, XP_011321877.1, XP_011321888.1, XP_011324126.1, XP_011328742.1	YKR039W
OG0000037	XP_011316417.1, XP_011319733.1, XP_011322304.1, XP_011324256.1, XP_011325720.1, XP_011326911.1	YHR176W
OG0000038	XP_011316694.1, XP_011316878.1, XP_011321488.1, XP_011322114.1, XP_011325436.1, XP_011325681.1	YDR371W
OG0000039	XP_011317075.1, XP_011317564.1, XP_011319886.1, XP_011324013.1, XP_011326003.1, XP_011326959.1, XP_011328029.1	
OG0000040	XP_011318040.1, XP_011318323.1, XP_011318639.1, XP_011321310.1, XP_011322101.1, XP_011327550.1	YOL137W
OG0000041	XP_011318558.1, XP_011320495.1, XP_011323373.1	YER001W, YGL257C, YIL014W, YNR059W
OG0000042	XP_011320615.1, XP_011322236.1, XP_011327686.1	YER056C, YER060W, YER060W-A, YGL186C
OG0000043	XP_011321598.1, XP_011322318.1, XP_011326001.1, XP_011326118.1	YEL063C, YNL270C, YOR348C
OG0000044	XP_011315770.1, XP_011318016.1, XP_011318026.1, XP_011322663.1	YGR055W, YHL036W
OG0000045	XP_011315786.1, XP_011322771.1, XP_011324344.1, XP_011326531.1, XP_011328475.1	YGR189C
OG0000046	XP_011316150.1, XP_011320338.1, XP_011327767.1	YGR067C, YMR182C, YPL230W
OG0000047	XP_011316207.1, XP_011316311.1, XP_011317969.1	YGR121C, YNL142W, YPR138C
OG0000048	XP_011316284.1, XP_011319667.1	YLR155C, YLR157C, YLR158C, YLR160C
OG0000049	XP_011316524.1, XP_011322016.1, XP_011325579.1	YLL052C, YLL053C, YPR192W
OG0000050	XP_011316611.1, XP_011318333.1, XP_011320262.1, XP_011325920.1, XP_011326018.1	YDR313C
OG0000051	XP_011316767.1, XP_011321112.1, XP_011326587.1	YBR164C, YDL137W, YOR094W
OG0000052	XP_011316939.1, XP_011317972.1	YBR014C, YCL035C, YDL010W, YDR513W
OG0000053	XP_011316969.1, XP_011318315.1, XP_011322557.1, XP_011327294.1, XP_011328203.1	YGL006W
OG0000054	XP_011317285.1, XP_011323158.1	YDR541C, YGL039W, YGL157W, YOL151W
OG0000055	XP_011317948.1, XP_011319703.1, XP_011321797.1	YMR006C, YMR008C, YOL011W
OG0000056	XP_011318058.1	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
OG0000057	XP_011318320.1, XP_011319391.1, XP_011321720.1, XP_011328055.1	YGR209C, YLR043C
OG0000058	XP_011318381.1, XP_011319578.1, XP_011323245.1, XP_011327965.1	YIL120W, YIL121W
OG0000059	XP_011318628.1, XP_011323390.1, XP_011328822.1	YDR038C, YDR039C, YDR040C
OG0000060	XP_011318666.1, XP_011318995.1, XP_011320337.1, XP_011324528.1, XP_011327991.1	YJR149W
OG0000061	XP_011318923.1, XP_011320177.1, XP_011323318.1, XP_011324009.1	YEL027W, YPL234C
OG0000062	XP_011319299.1, XP_011321939.1, XP_011322132.1, XP_011325615.1	YNL283C, YOL105C
OG0000063	XP_011319530.1, XP_011320902.1, XP_011321738.1, XP_011326780.1	YLR098C, YOR337W
OG0000064	XP_011323418.1, XP_011323921.1, XP_011326444.1	YFL029C, YKL139W, YPL031C
OG0000065	XP_011323792.1, XP_011327871.1, XP_011328089.1	YDL134C, YDR075W, YNR032W
OG0000066	XP_011316017.1, XP_011324067.1, XP_011328092.1	YDL132W, YGR003W
OG0000067	XP_011316047.1, XP_011316974.1	YBR089C-A, YDL002C, YPR052C
OG0000068	XP_011316215.1, XP_011321331.1, XP_011323669.1, XP_011324916.1	YDR432W
OG0000069	XP_011316271.1, XP_011319773.1, XP_011321116.1	YBR150C, YOL089C
OG0000070	XP_011316294.1, XP_011317096.1, XP_011317727.1, XP_011323906.1	YGR044C
OG0000071	XP_011316306.1	YBL017C, YIL173W, YJL222W, YNR065C
OG0000072	XP_011316414.1, XP_011320947.1, XP_011322467.1	YIR013C, YLR013W
OG0000073	XP_011316665.1, XP_011321977.1, XP_011323617.1, XP_011327884.1	YCR023C
OG0000074	XP_011316823.1, XP_011318046.1, XP_011325951.1	YBR294W, YLR092W
OG0000075	XP_011316831.1, XP_011324178.1, XP_011324246.1, XP_011324472.1	YBL066C
OG0000076	XP_011316885.1, XP_011317812.1	YDR139C, YIL148W, YKR094C
OG0000077	XP_011317142.1	YIL123W, YJL116C, YKR042W, YNL066W
OG0000078	XP_011317498.1	YDL244W, YFL058W, YJR156C, YNL332W
OG0000079	XP_011317625.1, XP_011319247.1, XP_011327180.1, XP_011327867.1	YPL092W
OG0000080	XP_011317656.1, XP_011317864.1, XP_011322790.1, XP_011328487.1	YNL229C
OG0000081	XP_011318411.1, XP_011319054.1, XP_011319287.1	YBR038W, YNL192W
OG0000082	XP_011318421.1, XP_011321599.1	YDR247W, YHR082C, YPL026C
OG0000083	XP_011318707.1, XP_011323930.1, XP_011327280.1	YJR127C, YML081W
OG0000084	XP_011318900.1, XP_011324083.1, XP_011328094.1	YER020W, YHR005C
OG0000085	XP_011318913.1, XP_011326229.1, XP_011328187.1	YFL037W, YLR212C
OG0000086	XP_011318950.1, XP_011319751.1, XP_011321608.1, XP_011324648.1	YKL055C
OG0000087	XP_011319052.1, XP_011319899.1, XP_011327913.1	YGR152C, YOR101W
OG0000088	XP_011319280.1, XP_011326171.1, XP_011326629.1	YBL091C, YDR101C
OG0000089	XP_011319758.1, XP_011322684.1, XP_011322695.1, XP_011324810.1	YDR338C
OG0000090	XP_011319909.1, XP_011328259.1	YBR118W, YKR084C, YPR080W
OG0000091	XP_011320212.1, XP_011322368.1	YIL009W, YMR246W, YOR317W
OG0000092	XP_011320320.1, XP_011322150.1, XP_011322555.1	YFR022W, YOR018W
OG0000093	XP_011320514.1, XP_011321553.1, XP_011328587.1	YBR183W, YPL087W
OG0000094	XP_011321260.1, XP_011322211.1, XP_011323604.1	YDR194C, YMR290C
OG0000095	XP_011322377.1	YDR533C, YMR322C, YOR391C, YPL280W
OG0000096	XP_011324459.1, XP_011326494.1	YDR021W, YJL138C, YKR059W
OG0000097	XP_011315573.1, XP_011326102.1	YER054C, YIL045W
OG0000098	XP_011315601.1, XP_011323533.1	YJL172W, YOL153C
OG0000099	XP_011315735.1, XP_011320975.1, XP_011323306.1	YIL112W
OG0000100	XP_011315748.1, XP_011322544.1, XP_011325987.1	YML099C
OG0000101	XP_011315756.1, XP_011322515.1, XP_011325459.1	YML131W
OG0000102	XP_011315789.1, XP_011318802.1	YER065C, YPR006C
OG0000103	XP_011315849.1, XP_011318617.1, XP_011324474.1	YEL023C
OG0000104	XP_011315966.1, XP_011323655.1	YNL148C, YPL174C
OG0000105	XP_011315984.1, XP_011318951.1	YGL160W, YLR047C
OG0000106	XP_011316032.1, XP_011321843.1, XP_011325295.1	YGL044C
OG0000107	XP_011316033.1, XP_011318426.1	YFL050C, YOL130W
OG0000108	XP_011316094.1, XP_011318719.1, XP_011326526.1	YPR127W
OG0000109	XP_011316127.1, XP_011317177.1	YDR378C, YPR182W
OG0000110	XP_011316151.1, XP_011320451.1	YBR249C, YDR035W
OG0000111	XP_011316161.1, XP_011317259.1, XP_011325944.1	YDL114W
OG0000112	XP_011316353.1, XP_011317757.1	YGL003C, YGL116W
OG0000113	XP_011316409.1, XP_011320017.1, XP_011322630.1	YDL174C
OG0000114	XP_011316438.1, XP_011321664.1	YLR251W, YOR292C
OG0000115	XP_011316467.1, XP_011319766.1	YFL017W-A, YNL147W
OG0000116	XP_011316492.1, XP_011318525.1	YDL216C, YFR004W
OG0000117	XP_011316578.1, XP_011321433.1, XP_011326396.1	YBR006W
OG0000118	XP_011316601.1, XP_011327086.1	YFL039C, YJL081C
OG0000119	XP_011316602.1, XP_011319965.1	YDR037W, YNL073W
OG0000120	XP_011316666.1, XP_011320673.1, XP_011322656.1	YJR126C
OG0000121	XP_011316692.1, XP_011318835.1	YMR183C, YPL232W
OG0000122	XP_011316750.1, XP_011321548.1, XP_011325340.1	YHR007C
OG0000123	XP_011316852.1, XP_011326864.1	YEL041W, YJR049C
OG0000124	XP_011317103.1, XP_011319641.1	YDR098C, YER174C
OG0000125	XP_011317186.1, XP_011320167.1, XP_011324010.1	YIL015W
OG0000126	XP_011317336.1, XP_011324631.1	YKL188C, YPL147W
OG0000127	XP_011317381.1, XP_011320792.1	YCR066W, YOL054W
OG0000128	XP_011317438.1, XP_011328619.1	YJR061W, YKL201C
OG0000129	XP_011317490.1, XP_011319203.1	YMR029C, YNL006W
OG0000130	XP_011317658.1, XP_011320807.1, XP_011323756.1	YDR415C
OG0000131	XP_011317698.1, XP_011319041.1	YGL227W, YMR171C
OG0000132	XP_011317816.1, XP_011325674.1	YHR138C, YNL015W
OG0000133	XP_011317819.1, XP_011327146.1	YGL059W, YIL042C
OG0000134	XP_011317844.1, XP_011328790.1	YKL141W, YMR118C
OG0000135	XP_011317884.1, XP_011318765.1	YCR048W, YNR019W
OG0000136	XP_011317906.1, XP_011325534.1	YMR303C, YOL086C
OG0000137	XP_011317980.1, XP_011328827.1	YOL062C, YPL259C
OG0000138	XP_011318124.1, XP_011321447.1, XP_011321674.1	YBR132C
OG0000139	XP_011318126.1, XP_011319889.1, XP_011327428.1	YAL049C
OG0000140	XP_011318197.1, XP_011322153.1, XP_011327231.1	YDL237W
OG0000141	XP_011318215.1, XP_011322703.1, XP_011323353.1	YLR142W
OG0000142	XP_011318414.1, XP_011320435.1, XP_011323488.1	YLR126C
OG0000143	XP_011318535.1, XP_011325606.1	YEL007W, YHR177W
OG0000144	XP_011318553.1, XP_011323816.1	YBR278W, YOR358W
OG0000145	XP_011318657.1, XP_011321933.1, XP_011322495.1	YJR096W
OG0000146	XP_011318701.1, XP_011326019.1	YJL084C, YKR021W
OG0000147	XP_011318809.1, XP_011327039.1	YDL159W, YPL140C
OG0000148	XP_011318892.1, XP_011324655.1	YMR215W, YOL030W
OG0000149	XP_011318933.1	YJL042W, YOR227W, YPL137C
OG0000150	XP_011318961.1, XP_011323587.1	YJR058C, YLR170C
OG0000151	XP_011319022.1	YBR078W, YCL048W, YDR522C
OG0000152	XP_011319354.1, XP_011321405.1	YDL056W, YLR182W
OG0000153	XP_011319357.1, XP_011320999.1, XP_011326703.1	YKL046C
OG0000154	XP_011319361.1, XP_011325648.1	YGL120C, YNR011C
OG0000155	XP_011319631.1, XP_011320292.1, XP_011325762.1	YHR029C
OG0000156	XP_011319814.1, XP_011319817.1, XP_011323654.1	YPR065W
OG0000157	XP_011319922.1, XP_011322973.1	YKL062W, YMR037C
OG0000158	XP_011319949.1, XP_011327490.1	YCL040W, YDR516C
OG0000159	XP_011320027.1, XP_011328343.1	YHR123W, YNL130C
OG0000160	XP_011320046.1	YDL222C, YML052W, YNL194C
OG0000161	XP_011320061.1, XP_011324233.1	YBR242W, YGL101W
OG0000162	XP_011320121.1	YDR261C, YLR300W, YOR190W
OG0000163	XP_011320256.1, XP_011327774.1	YAL018C, YOL048C
OG0000164	XP_011320266.1, XP_011324132.1	YBR147W, YOL092W
OG0000165	XP_011320366.1, XP_011321238.1	YDR497C, YOL103W
OG0000166	XP_011320385.1, XP_011326463.1	YBR033W, YKL038W
OG0000167	XP_011320506.1, XP_011321379.1, XP_011328216.1	YIL160C
OG0000168	XP_011320617.1, XP_011325220.1	YFL061W, YNL335W
OG0000169	XP_011321169.1, XP_011328017.1	YKR076W, YMR251W
OG0000170	XP_011321206.1, XP_011321578.1	YNL090W, YPR165W
OG0000171	XP_011321259.1, XP_011323521.1	YOL087C, YOR269W
OG0000172	XP_011321328.1, XP_011324036.1	YBR009C, YNL030W
OG0000173	XP_011321374.1, XP_011323393.1	YDL246C, YJR159W
OG0000174	XP_011321403.1, XP_011328283.1	YBR213W, YKR069W
OG0000175	XP_011321508.1	YOL055C, YPL258C, YPR121W
OG0000176	XP_011321758.1, XP_011322818.1	YLR178C, YLR179C
OG0000177	XP_011321823.1, XP_011321953.1, XP_011327381.1	YGR212W
OG0000178	XP_011322330.1, XP_011322406.1, XP_011327347.1	YJR124C
OG0000179	XP_011322720.1, XP_011327479.1	YAL060W, YAL061W
OG0000180	XP_011323519.1	YFL060C, YMR095C, YNL334C
OG0000181	XP_011323633.1, XP_011324592.1	YDR054C, YMR022W
OG0000182	XP_011323829.1, XP_011327145.1	YHR107C, YLR314C
OG0000183	XP_011323952.1, XP_011324319.1	YHR086W, YNL016W
OG0000184	XP_011324101.1, XP_011326059.1	YLR284C, YOR180C
OG0000185	XP_011324337.1, XP_011325969.1, XP_011325980.1	YHR207C
OG0000186	XP_011324354.1, XP_011326812.1	YGL155W, YPR176C
OG0000187	XP_011324761.1, XP_011326283.1	YHR113W, YKL103C
OG0000188	XP_011324853.1, XP_011325514.1	YFL005W, YFL038C
OG0000189	XP_011324907.1	YGR192C, YJL052W, YJR009C
OG0000190	XP_011324971.1, XP_011327967.1	YJR005W, YKL135C
OG0000191	XP_011325224.1, XP_011325662.1, XP_011327962.1	YLR027C
OG0000192	XP_011325594.1, XP_011326512.1	YBR082C, YGR133W
OG0000193	XP_011326747.1, XP_011328334.1	YPR013C, YPR015C
OG0000194	XP_011327850.1	YGR087C, YLR044C, YLR134W
OG0000195	XP_011328372.1, XP_011328409.1	YEL047C, YJR051W
OG0000196	XP_011328561.1	YLL062C, YMR321C, YPL273W
OG0000197		YCL069W, YGR224W, YKR105C, YPR198W
OG0000198		YKL222C, YLR266C, YOR162C, YOR172W
OG0000199	XP_011315643.1	YDL243C, YNL331C
OG0000200	XP_011315850.1, XP_011324817.1	YGL224C
OG0000201	XP_011315973.1, XP_011325100.1	YCR033W
OG0000202	XP_011315979.1, XP_011317578.1	YLR153C
OG0000203	XP_011315999.1	YBL106C, YPR032W
OG0000204	XP_011316012.1, XP_011317306.1	YPL242C
OG0000205	XP_011316036.1	YDR458C, YML034W
OG0000206	XP_011316059.1, XP_011316331.1	YML085C
OG0000207	XP_011316074.1	YCR073C, YNR031C
OG0000208	XP_011316101.1	YLR187W, YNL278W
OG0000209	XP_011316174.1, XP_011322774.1	YFR053C
OG0000210	XP_011316183.1, XP_011320174.1	YDL003W
OG0000211	XP_011316201.1, XP_011324040.1	YPL067C
OG0000212	XP_011316230.1	YGR049W, YLR356W
OG0000213	XP_011316263.1	YPR169W-A, YPR170W-B
OG0000214	XP_011316282.1, XP_011328781.1	YMR162C
OG0000215	XP_011316299.1	YER057C, YIL051C
OG0000216	XP_011316312.1, XP_011317745.1	YCR014C
OG0000217	XP_011316322.1	YBL072C, YER102W
OG0000218	XP_011316326.1	YBR181C, YPL090C
OG0000219	XP_011316358.1, XP_011322268.1	YNR018W
OG0000220	XP_011316367.1	YBR048W, YDR025W
OG0000221	XP_011316402.1	YOR233W, YPL141C
OG0000222	XP_011316422.1	YKL072W, YMR053C
OG0000223	XP_011316425.1, XP_011325213.1	YLR451W
OG0000224	XP_011316429.1	YDR441C, YML022W
OG0000225	XP_011316452.1	YDR178W, YLR164W
OG0000226	XP_011316459.1, XP_011324912.1	YOL108C
OG0000227	XP_011316476.1, XP_011321142.1	YGR234W
OG0000228	XP_011316484.1, XP_011324683.1	YLR411W
OG0000229	XP_011316511.1	YJL136C, YKR057W
OG0000230	XP_011316515.1	YBL087C, YER117W
OG0000231	XP_011316567.1	YDR505C, YLR177W
OG0000232	XP_011316613.1, XP_011319319.1	YLR216C
OG0000233	XP_011316689.1	YMR243C, YOR316C
OG0000234	XP_011316769.1	YLR448W, YML073C
OG0000235	XP_011316771.1, XP_011321908.1	YDR248C
OG0000236	XP_011316775.1	YDL136W, YDL191W
OG0000237	XP_011316812.1, XP_011326658.1	YBR233W
OG0000238	XP_011316841.1	YGR085C, YPR102C
OG0000239	XP_011316863.1	YDR451C, YML027W
OG0000240	XP_011316908.1, XP_011322706.1	YHR037W
OG0000241	XP_011316922.1	YGL147C, YNL067W
OG0000242	XP_011317006.1	YBL067C, YER098W
OG0000243	XP_011317013.1	YMR194W, YPL249C-A
OG0000244	XP_011317015.1, XP_011324515.1	YJR107W
OG0000245	XP_011317016.1, XP_011326500.1	YER177W
OG0000246	XP_011317018.1	YNL106C, YOR109W
OG0000247	XP_011317020.1, XP_011319610.1	YKR066C
OG0000248	XP_011317042.1	YLR264W, YOR167C
OG0000249	XP_011317058.1	YGR273C, YMR295C
OG0000250	XP_011317059.1	YOR234C, YPL143W
OG0000251	XP_011317073.1	YGR108W, YPR119W
OG0000252	XP_011317089.1	YCL037C, YDR515W
OG0000253	XP_011317117.1, XP_011328013.1	YER182W
OG0000254	XP_011317143.1, XP_011321938.1	YMR221C
OG0000255	XP_011317178.1, XP_011323649.1	YKL146W
OG0000256	XP_011317236.1	YFL004W, YPL019C
OG0000257	XP_011317248.1	YIR033W, YKL020C
OG0000258	XP_011317310.1, XP_011320624.1	YDR270W
OG0000259	XP_011317313.1	YDL075W, YLR406C
OG0000260	XP_011317325.1	YMR242C, YOR312C
OG0000261	XP_011317444.1	YGL082W, YPL191C
OG0000262	XP_011317593.1, XP_011327651.1	YJL218W
OG0000263	XP_011317649.1, XP_011320758.1	YPL088W
OG0000264	XP_011317664.1	YER175C, YHR209W
OG0000265	XP_011317715.1	YCL026C-A, YCL026C-B
OG0000266	XP_011317720.1	YJL177W, YKL180W
OG0000267	XP_011317731.1	YJL137C, YKR058W
OG0000268	XP_011317767.1	YDR418W, YEL054C
OG0000269	XP_011317805.1	YBR169C, YPL106C
OG0000270	XP_011317810.1	YEL034W, YJR047C
OG0000271	XP_011317815.1, XP_011322010.1	YMR015C
OG0000272	XP_011317818.1, XP_011324722.1	YOL058W
OG0000273	XP_011317848.1, XP_011324798.1	YDR071C
OG0000274	XP_011317924.1, XP_011321146.1	YHR008C
OG0000275	XP_011317971.1	YHR198C, YHR199C
OG0000276	XP_011318022.1, XP_011323662.1	YMR058W
OG0000277	XP_011318023.1, XP_011323664.1	YER145C
OG0000278	XP_011318132.1	YER066W, YFL009W
OG0000279	XP_011318145.1, XP_011322321.1	YIL124W
OG0000280	XP_011318152.1, XP_011324449.1	YEL065W
OG0000281	XP_011318213.1, XP_011324094.1	YLR438W
OG0000282	XP_011318254.1, XP_011326222.1	YNL280C
OG0000283	XP_011318258.1, XP_011327208.1	YGR185C
OG0000284	XP_011318314.1, XP_011326636.1	YPL209C
OG0000285	XP_011318347.1, XP_011319374.1	YBR296C
OG0000286	XP_011318354.1, XP_011322943.1	YNR074C
OG0000287	XP_011318387.1	YKR091W, YOR083W
OG0000288	XP_011318417.1, XP_011322671.1	YOR322C
OG0000289	XP_011318440.1	YDR409W, YOR156C
OG0000290	XP_011318462.1	YGL133W, YPL216W
OG0000291	XP_011318479.1	YGL076C, YPL198W
OG0000292	XP_011318486.1, XP_011321013.1	YKL128C
OG0000293	XP_011318497.1	YJL083W, YKR019C
OG0000294	XP_011318502.1	YHR115C, YNL116W
OG0000295	XP_011318530.1	YNL302C, YOL121C
OG0000296	XP_011318543.1, XP_011318652.1	YGL225W
OG0000297	XP_011318576.1	YDL036C, YOL066C
OG0000298	XP_011318608.1, XP_011323279.1	YJR078W
OG0000299	XP_011318637.1, XP_011322347.1	YPL123C
OG0000300	XP_011318655.1	YKL121W, YMR102C
OG0000301	XP_011318669.1	YIL085C, YNL029C
OG0000302	XP_011318709.1	YJL079C, YKR013W
OG0000303	XP_011318738.1	YOR237W, YPL145C
OG0000304	XP_011318742.1	YLR260W, YOR171C
OG0000305	XP_011318768.1	YNL301C, YOL120C
OG0000306	XP_011318776.1	YBL027W, YBR084C-A
OG0000307	XP_011318786.1, XP_011327742.1	YKR070W
OG0000308	XP_011318834.1	YHR117W, YNL121C
OG0000309	XP_011318840.1	YIL114C, YNL055C
OG0000310	XP_011318885.1	YFL034C-A, YLR061W
