	Eremothecium_coryli	Saccharomyces_cerevisiae
OG0000010	maker-AZAH01000009.1-snap-gene-3.177-mRNA-1_1&gene=maker-AZAH01000009.1-snap-gene-3.177&CDS=1-4335, snap_masked-AZAH01000008.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-2.125&CDS=1-2127	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000011	snap_masked-AZAH01000001.1-processed-gene-16.49-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-16.49&CDS=1-1749, snap_masked-AZAH01000001.1-processed-gene-3.64-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.64&CDS=1-2220, snap_masked-AZAH01000003.1-processed-gene-5.130-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-5.130&CDS=1-1749	YDL025C, YNL183C, YOR267C
OG0000012	snap_masked-AZAH01000001.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-6.41&CDS=1-1173, snap_masked-AZAH01000003.1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-3.68&CDS=1-1221, snap_masked-AZAH01000003.1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-6.104&CDS=1-1176	YJL139C, YKR061W, YOR099W
OG0000013	maker-AZAH01000001.1-augustus-gene-10.167-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-10.167&CDS=1-3816, snap_masked-AZAH01000010.1-processed-gene-1.145-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-1.145&CDS=1-3087, snap_masked-AZAH01000013.1-processed-gene-0.205-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.205&CDS=1-3237	YBR245C, YFR038W, YOR304W
OG0000014	snap_masked-AZAH01000001.1-processed-gene-10.54-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-10.54&CDS=1-2535, snap_masked-AZAH01000003.1-processed-gene-4.40-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-4.40&CDS=1-2070, snap_masked-AZAH01000009.1-processed-gene-3.265-mRNA-1_1&gene=snap_masked-AZAH01000009.1-processed-gene-3.265&CDS=1-1299	YER047C, YPL074W, YPR173C
OG0000015	snap_masked-AZAH01000002.1-processed-gene-1.21-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-1.21&CDS=1-1671, snap_masked-AZAH01000004.1-processed-gene-9.27-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-9.27&CDS=1-1680, snap_masked-AZAH01000010.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-AZAH01000010.1-processed-gene-3.19&CDS=1-1410	YHR050W, YLR034C, YOL122C
OG0000016	snap_masked-AZAH01000002.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.16&CDS=1-1422, snap_masked-AZAH01000007.1-processed-gene-1.51-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-1.51&CDS=1-1452	YDR144C, YIL015W, YLR120C, YLR121C
OG0000017	snap_masked-AZAH01000004.1-processed-gene-8.126-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-8.126&CDS=1-936, snap_masked-AZAH01000007.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-3.91&CDS=1-1956, snap_masked-AZAH01000015.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-AZAH01000015.1-processed-gene-0.103&CDS=1-1605	YER133W, YML016C, YPL179W
OG0000018		YBR293W, YCL069W, YGR224W, YKR105C, YMR088C, YPR198W
OG0000019	snap_masked-AZAH01000001.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-1.18&CDS=1-954, snap_masked-AZAH01000005.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-3.33&CDS=1-960	YBL068W, YER099C, YHL011C
OG0000020	snap_masked-AZAH01000001.1-processed-gene-6.5-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-6.5&CDS=1-1770, snap_masked-AZAH01000002.1-processed-gene-3.24-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.24&CDS=1-2418	YGR097W, YIL105C, YPR115W
OG0000021	augustus_masked-AZAH01000001.1-processed-gene-6.139-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-6.139&CDS=1-1641, augustus_masked-AZAH01000002.1-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-4.62&CDS=1-1845	YGL257C, YIL014W, YNR059W
OG0000022	augustus_masked-AZAH01000001.1-processed-gene-6.142-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-6.142&CDS=1-1722, snap_masked-AZAH01000007.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-0.83&CDS=1-1740	YLR152C, YNL095C, YOR092W
OG0000023	snap_masked-AZAH01000001.1-processed-gene-9.52-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-9.52&CDS=1-1977, snap_masked-AZAH01000013.1-processed-gene-0.272-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.272&CDS=1-1326	YIR013C, YLR013W, YMR136W
OG0000024	snap_masked-AZAH01000001.1-processed-gene-12.145-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-12.145&CDS=1-1119, snap_masked-AZAH01000004.1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.104&CDS=1-1107	YCR102C, YLR460C, YNL134C
OG0000025	maker-AZAH01000011.1-augustus-gene-0.96-mRNA-1_1&gene=maker-AZAH01000011.1-augustus-gene-0.96&CDS=1-2133, snap_masked-AZAH01000001.1-processed-gene-13.53-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-13.53&CDS=1-1260	YDL066W, YLR174W, YNL009W
OG0000026	augustus_masked-AZAH01000012.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-AZAH01000012.1-processed-gene-0.73&CDS=1-1779, snap_masked-AZAH01000001.1-processed-gene-13.88-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-13.88&CDS=1-1053, snap_masked-AZAH01000002.1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-3.23&CDS=1-1047	YMR303C, YOL086C
OG0000027	snap_masked-AZAH01000001.1-processed-gene-17.64-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-17.64&CDS=1-1803, snap_masked-AZAH01000004.1-processed-gene-3.99-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-3.99&CDS=1-1782	YFR022W, YGR068C, YOR018W
OG0000028	snap_masked-AZAH01000002.1-processed-gene-6.30-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-6.30&CDS=1-1299, snap_masked-AZAH01000008.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.6&CDS=1-1917	YER130C, YKL062W, YMR037C
OG0000029	snap_masked-AZAH01000002.1-processed-gene-7.53-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-7.53&CDS=1-1626, snap_masked-AZAH01000013.1-processed-gene-0.286-mRNA-1_1&gene=snap_masked-AZAH01000013.1-processed-gene-0.286&CDS=1-1326	YDR261C, YLR300W, YOR190W
OG0000030	maker-AZAH01000002.1-snap-gene-8.86-mRNA-1_1&gene=maker-AZAH01000002.1-snap-gene-8.86&CDS=1-1749, snap_masked-AZAH01000012.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-AZAH01000012.1-processed-gene-1.19&CDS=1-1782	YBL042C, YBR021W, YIR028W
OG0000031	maker-AZAH01000003.1-snap-gene-6.132-mRNA-1_1&gene=maker-AZAH01000003.1-snap-gene-6.132&CDS=1-1437, snap_masked-AZAH01000002.1-processed-gene-10.135-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-10.135&CDS=1-1197	YDR021W, YJL138C, YKR059W
OG0000032	snap_masked-AZAH01000002.1-processed-gene-10.158-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-10.158&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000033	augustus_masked-AZAH01000008.1-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-AZAH01000008.1-processed-gene-4.126&CDS=1-2481, snap_masked-AZAH01000003.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-0.70&CDS=1-2106	YAL053W, YGL139W, YPL221W
OG0000034	snap_masked-AZAH01000003.1-processed-gene-1.99-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-1.99&CDS=1-2487, snap_masked-AZAH01000003.1-processed-gene-7.105-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-7.105&CDS=1-2652	YCR037C, YJL198W, YNR013C
OG0000035	augustus_masked-AZAH01000010.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-AZAH01000010.1-processed-gene-0.87&CDS=1-5340, snap_masked-AZAH01000003.1-processed-gene-2.153-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-2.153&CDS=1-5079, snap_masked-AZAH01000019.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AZAH01000019.1-processed-gene-0.18&CDS=1-5793	YLR342W, YMR306W
OG0000036	snap_masked-AZAH01000003.1-processed-gene-2.142-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-2.142&CDS=1-381, snap_masked-AZAH01000004.1-processed-gene-4.121-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.121&CDS=1-309	YCR083W, YGR209C, YLR043C
OG0000037	snap_masked-AZAH01000003.1-processed-gene-8.7-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-8.7&CDS=1-555, snap_masked-AZAH01000003.1-processed-gene-9.178-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.178&CDS=1-555	YCL067C, YCR039C, YCR096C
OG0000038	snap_masked-AZAH01000003.1-processed-gene-8.23-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-8.23&CDS=1-1710, snap_masked-AZAH01000003.1-processed-gene-8.38-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-8.38&CDS=1-1689, snap_masked-AZAH01000007.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-0.113&CDS=1-3654	YDR160W, YNL268W
OG0000039	augustus_masked-AZAH01000007.1-processed-gene-4.112-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-4.112&CDS=1-5064, maker-AZAH01000010.1-snap-gene-0.79-mRNA-1_1&gene=maker-AZAH01000010.1-snap-gene-0.79&CDS=1-3762, snap_masked-AZAH01000003.1-processed-gene-8.24-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-8.24&CDS=1-5976	YIL159W, YNL271C
OG0000040	snap_masked-AZAH01000004.1-processed-gene-4.110-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-4.110&CDS=1-4359	YBL017C, YIL173W, YJL222W, YNR065C
OG0000041	maker-AZAH01000007.1-augustus-gene-4.116-mRNA-1_1&gene=maker-AZAH01000007.1-augustus-gene-4.116&CDS=1-3138, snap_masked-AZAH01000004.1-processed-gene-6.142-mRNA-1_1&gene=snap_masked-AZAH01000004.1-processed-gene-6.142&CDS=1-1374	YBR118W, YKR084C, YPR080W
OG0000042	maker-AZAH01000008.1-augustus-gene-2.41-mRNA-1_1&gene=maker-AZAH01000008.1-augustus-gene-2.41&CDS=1-4851, snap_masked-AZAH01000005.1-processed-gene-1.35-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-1.35&CDS=1-4779	YAL026C, YDR093W, YER166W
OG0000043	maker-AZAH01000007.1-augustus-gene-2.105-mRNA-1_1&gene=maker-AZAH01000007.1-augustus-gene-2.105&CDS=1-2397, maker-AZAH01000007.1-snap-gene-2.54-mRNA-1_1&gene=maker-AZAH01000007.1-snap-gene-2.54&CDS=1-858	YDR038C, YDR039C, YDR040C
OG0000044	snap_masked-AZAH01000008.1-processed-gene-1.47-mRNA-1_1&gene=snap_masked-AZAH01000008.1-processed-gene-1.47&CDS=1-4086, snap_masked-AZAH01000017.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-AZAH01000017.1-processed-gene-0.5&CDS=1-2508	YDR326C, YFL042C, YHR080C
OG0000045	snap_masked-AZAH01000001.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.0&CDS=1-840, snap_masked-AZAH01000017.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AZAH01000017.1-processed-gene-0.30&CDS=1-822	YDL049C, YJL174W
OG0000046	augustus_masked-AZAH01000003.1-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-8.117&CDS=1-324, snap_masked-AZAH01000001.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.18&CDS=1-324, snap_masked-AZAH01000003.1-processed-gene-9.218-mRNA-1_1&gene=snap_masked-AZAH01000003.1-processed-gene-9.218&CDS=1-324	YNL244C
OG0000047	snap_masked-AZAH01000001.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-0.27&CDS=1-2139, snap_masked-AZAH01000015.1-processed-gene-0.98-mRNA-1_1&gene=snap_masked-AZAH01000015.1-processed-gene-0.98&CDS=1-1941	YGL073W, YOR140W
OG0000048	augustus_masked-AZAH01000001.1-processed-gene-16.112-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-16.112&CDS=1-1314, snap_masked-AZAH01000001.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-2.118&CDS=1-2178	YBL052C, YOR244W
OG0000049	snap_masked-AZAH01000001.1-processed-gene-3.58-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-3.58&CDS=1-894, snap_masked-AZAH01000007.1-processed-gene-2.12-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-2.12&CDS=1-573	YLR229C, YNL180C
OG0000050	genemark-AZAH01000001.1-processed-gene-3.144-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-3.144&CDS=1-5040, maker-AZAH01000002.1-snap-gene-8.85-mRNA-1_1&gene=maker-AZAH01000002.1-snap-gene-8.85&CDS=1-2712	YBR038W, YNL192W
OG0000051	augustus_masked-AZAH01000001.1-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-4.79&CDS=1-1674, maker-AZAH01000009.1-snap-gene-0.44-mRNA-1_1&gene=maker-AZAH01000009.1-snap-gene-0.44&CDS=1-2259	YHR194W, YOR147W
OG0000052	augustus_masked-AZAH01000007.1-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-AZAH01000007.1-processed-gene-3.32&CDS=1-1887, maker-AZAH01000001.1-snap-gene-5.0-mRNA-1_1&gene=maker-AZAH01000001.1-snap-gene-5.0&CDS=1-3120	YDR444W, YGL144C
OG0000053	snap_masked-AZAH01000001.1-processed-gene-5.33-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-5.33&CDS=1-573, snap_masked-AZAH01000001.1-processed-gene-7.137-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-7.137&CDS=1-573	YGL147C, YNL067W
OG0000054	snap_masked-AZAH01000001.1-processed-gene-14.4-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-14.4&CDS=1-309, snap_masked-AZAH01000001.1-processed-gene-5.49-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-5.49&CDS=1-309	YBR009C, YNL030W
OG0000055	snap_masked-AZAH01000001.1-processed-gene-14.8-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-14.8&CDS=1-408, snap_masked-AZAH01000001.1-processed-gene-5.21-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-5.21&CDS=1-408	YBR010W, YNL031C
OG0000056	maker-AZAH01000005.1-snap-gene-4.285-mRNA-1_1&gene=maker-AZAH01000005.1-snap-gene-4.285&CDS=1-2571, snap_masked-AZAH01000001.1-processed-gene-5.58-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-5.58&CDS=1-2232	YBR059C, YNL020C
OG0000057	augustus_masked-AZAH01000003.1-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-AZAH01000003.1-processed-gene-6.67&CDS=1-5937, snap_masked-AZAH01000001.1-processed-gene-6.6-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-6.6&CDS=1-2295	YIL107C, YJL154C
OG0000058	snap_masked-AZAH01000001.1-processed-gene-6.13-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-6.13&CDS=1-1230, snap_masked-AZAH01000001.1-processed-gene-7.108-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-7.108&CDS=1-1476	YNL064C, YNL077W
OG0000059	snap_masked-AZAH01000001.1-processed-gene-6.44-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-6.44&CDS=1-540, snap_masked-AZAH01000002.1-processed-gene-7.47-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-7.47&CDS=1-1419	YDR476C, YOR094W
OG0000060	genemark-AZAH01000001.1-processed-gene-7.52-mRNA-1_1&gene=genemark-AZAH01000001.1-processed-gene-7.52&CDS=1-3747, snap_masked-AZAH01000006.1-processed-gene-4.40-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-4.40&CDS=1-4419	YML072C, YOR086C
OG0000061	snap_masked-AZAH01000001.1-processed-gene-7.112-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-7.112&CDS=1-1563, snap_masked-AZAH01000005.1-processed-gene-4.268-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-4.268&CDS=1-1770	YDR037W, YNL073W
OG0000062	maker-AZAH01000001.1-augustus-gene-17.220-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-17.220&CDS=1-4650, snap_masked-AZAH01000001.1-processed-gene-7.138-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-7.138&CDS=1-3960	YIL126W, YOR290C
OG0000063	augustus_masked-AZAH01000002.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-AZAH01000002.1-processed-gene-1.119&CDS=1-1878, maker-AZAH01000001.1-augustus-gene-7.45-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-7.45&CDS=1-2796	YKL146W, YNL101W
OG0000064	snap_masked-AZAH01000001.1-processed-gene-8.107-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-8.107&CDS=1-3444, snap_masked-AZAH01000002.1-processed-gene-4.126-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-4.126&CDS=1-2829	YIL002C, YOR109W
OG0000065	snap_masked-AZAH01000001.1-processed-gene-11.131-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-11.131&CDS=1-1119, snap_masked-AZAH01000001.1-processed-gene-9.10-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-9.10&CDS=1-2487	YDL095W, YDR307W
OG0000066	snap_masked-AZAH01000001.1-processed-gene-9.17-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-9.17&CDS=1-1620, snap_masked-AZAH01000006.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-AZAH01000006.1-processed-gene-2.121&CDS=1-1587	YML120C, YMR145C
OG0000067	snap_masked-AZAH01000001.1-processed-gene-9.50-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-9.50&CDS=1-1038, snap_masked-AZAH01000002.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-AZAH01000002.1-processed-gene-0.102&CDS=1-996	YDL078C, YKL085W
OG0000068	snap_masked-AZAH01000001.1-processed-gene-10.3-mRNA-1_1&gene=snap_masked-AZAH01000001.1-processed-gene-10.3&CDS=1-1683, snap_masked-AZAH01000005.1-processed-gene-3.26-mRNA-1_1&gene=snap_masked-AZAH01000005.1-processed-gene-3.26&CDS=1-1695	YER065C, YPR006C
OG0000069	augustus_masked-AZAH01000001.1-processed-gene-10.146-mRNA-1_1&gene=augustus_masked-AZAH01000001.1-processed-gene-10.146&CDS=1-2142	YER056C, YER060W, YER060W-A
OG0000070	maker-AZAH01000001.1-augustus-gene-10.168-mRNA-1_1&gene=maker-AZAH01000001.1-augustus-gene-10.168&CDS=1-1914, snap_masked-AZAH01000007.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-AZAH01000007.1-processed-gene-4.123&CDS=1-1017	YIL035C, YOR061W
