	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
OG0000010	XP_011117839.1, XP_011119839.1, XP_011121376.1, XP_011122131.1, XP_011124015.1, XP_011124071.1, XP_011124550.1, XP_011126501.1	YOL152W
OG0000011	XP_011117910.1, XP_011118634.1, XP_011123261.1, XP_011124310.1, XP_011127667.1	YBR199W, YIL085C, YNL029C, YOR099W
OG0000012	XP_011118501.1, XP_011119566.1, XP_011121397.1, XP_011121620.1, XP_011123924.1, XP_011125996.1, XP_011126042.1	YKR039W, YOR348C
OG0000013	XP_011122099.1, XP_011122626.1, XP_011122790.1, XP_011123971.1, XP_011123998.1, XP_011124638.1, XP_011126134.1, XP_011126169.1	YMR280C
OG0000014	XP_011124138.1, XP_011125892.1	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000015	XP_011116963.1, XP_011119192.1, XP_011121212.1, XP_011124140.1, XP_011124433.1	YBR298C, YDL247W, YJR160C
OG0000016	XP_011118033.1, XP_011121693.1, XP_011123808.1, XP_011124293.1	YER013W, YGL120C, YKR086W, YNR011C
OG0000017	XP_011121789.1, XP_011124465.1, XP_011126419.1, XP_011126686.1	YKL222C, YLR266C, YOR162C, YOR172W
OG0000018	XP_011116962.1, XP_011119590.1, XP_011124139.1	YBR297W, YFL052W, YGR288W, YPR196W
OG0000019	XP_011117776.1, XP_011122098.1, XP_011123843.1, XP_011126311.1, XP_011126411.1, XP_011127527.1	YNR063W
OG0000020	XP_011118857.1, XP_011119591.1, XP_011125551.1, XP_011126104.1	YIR035C, YIR036C, YKL071W
OG0000021	XP_011119057.1, XP_011119108.1, XP_011119588.1, XP_011123148.1, XP_011123159.1	YDL138W, YDL194W
OG0000022	XP_011119070.1, XP_011119130.1, XP_011122658.1	YDR541C, YGL039W, YGL157W, YOL151W
OG0000023	XP_011119185.1, XP_011126177.1, XP_011128067.1, XP_011128417.1	YDR144C, YLR120C, YLR121C
OG0000024	XP_011119211.1, XP_011128274.1	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
OG0000025	XP_011119614.1, XP_011121953.1, XP_011123185.1, XP_011127653.1	YGR087C, YLR044C, YLR134W
OG0000026	XP_011122211.1, XP_011122976.1, XP_011124571.1, XP_011127622.1	YLR449W, YML074C, YNL135C
OG0000027	XP_011123450.1, XP_011125943.1, XP_011127216.1, XP_011127710.1, XP_011128245.1	YJL079C, YKR013W
OG0000028	XP_011127498.1, XP_011127502.1, XP_011127504.1	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000029	XP_011117190.1, XP_011117560.1, XP_011123117.1, XP_011124400.1, XP_011125234.1, XP_011125235.1	
OG0000030	XP_011117299.1, XP_011117721.1, XP_011118508.1, XP_011119912.1, XP_011124561.1	YKL174C
OG0000031	XP_011117356.1, XP_011120535.1, XP_011121067.1	YDR524C, YGL181W, YIL044C
OG0000032	XP_011117434.1, XP_011120327.1, XP_011121074.1, XP_011121557.1, XP_011122304.1	YGL128C
OG0000033	XP_011117679.1, XP_011118483.1, XP_011119920.1, XP_011121341.1, XP_011126433.1	YOR049C
OG0000034	XP_011117823.1, XP_011118952.1, XP_011123070.1	YGR121C, YNL142W, YPR138C
OG0000035	XP_011118094.1, XP_011119063.1, XP_011119216.1, XP_011119379.1, XP_011125954.1	YGR263C
OG0000036	XP_011118649.1, XP_011122859.1, XP_011126935.1, XP_011127223.1, XP_011128398.1	YMR152W
OG0000037	XP_011118664.1, XP_011125339.1, XP_011128397.1	YHR107C, YJR076C, YLR314C
OG0000038	XP_011118836.1, XP_011124353.1, XP_011127760.1	YGL073W, YHR206W, YOR140W
OG0000039	XP_011118970.1, XP_011119690.1, XP_011120242.1, XP_011120565.1	YJR131W, YLR057W
OG0000040	XP_011120330.1, XP_011121262.1, XP_011122794.1, XP_011124150.1, XP_011126544.1	YCR023C
OG0000041	XP_011120525.1, XP_011120782.1, XP_011121668.1, XP_011122741.1	YDR155C, YLR216C
OG0000042	XP_011120737.1, XP_011121132.1, XP_011123705.1, XP_011124695.1	YPL031C, YPR161C
OG0000043	XP_011121130.1, XP_011121551.1, XP_011122854.1	YCR065W, YIL131C, YNL068C
OG0000044	XP_011121571.1, XP_011126581.1, XP_011126642.1	YGL213C, YNL006W, YOR269W
OG0000045	XP_011121793.1, XP_011123118.1, XP_011124124.1, XP_011125689.1, XP_011127696.1	YMR234W
OG0000046	XP_011122214.1, XP_011124254.1, XP_011124354.1	YGR261C, YJR005W, YKL135C
OG0000047	XP_011122415.1, XP_011122837.1, XP_011123014.1	YDR038C, YDR039C, YDR040C
OG0000048	XP_011123083.1, XP_011125582.1, XP_011125685.1, XP_011126135.1	YOL119C, YOR306C
OG0000049	XP_011123210.1, XP_011123679.1, XP_011127058.1	YGL003C, YGL116W, YGR225W
OG0000050	XP_011125934.1	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000051	XP_011126190.1, XP_011126810.1, XP_011128313.1	YCR102C, YLR460C, YNL134C
OG0000052	XP_011116986.1, XP_011126423.1	YGR284C, YKR089C, YOR081C
OG0000053	XP_011117029.1, XP_011117351.1, XP_011123823.1	YMR073C, YNL111C
OG0000054	XP_011117042.1, XP_011124559.1, XP_011127015.1, XP_011127016.1	YDR242W
OG0000055	XP_011117225.1, XP_011119531.1, XP_011121021.1	YLR023C, YOL002C
OG0000056	XP_011117229.1, XP_011122501.1	YDR247W, YHR082C, YPL026C
OG0000057	XP_011117405.1, XP_011122971.1, XP_011124812.1	YDL132W, YGR003W
OG0000058	XP_011117578.1, XP_011124050.1, XP_011124082.1, XP_011124330.1	YCR036W
OG0000059	XP_011117600.1, XP_011119296.1	YCL024W, YDR507C, YPL209C
OG0000060	XP_011117617.1, XP_011118542.1, XP_011121970.1	YBL105C, YBR028C
OG0000061	XP_011117624.1, XP_011126567.1, XP_011127891.1	YNL090W, YPR165W
OG0000062	XP_011117651.1, XP_011127511.1, XP_011128029.1	YCR027C, YOR101W
OG0000063	XP_011117802.1, XP_011119684.1, XP_011122948.1, XP_011123617.1	YJR149W
OG0000064	XP_011117837.1, XP_011126159.1	YBR014C, YCL035C, YDR513W
OG0000065	XP_011117974.1, XP_011118194.1, XP_011127712.1, XP_011127800.1	YOL087C
OG0000066	XP_011118528.1, XP_011121474.1, XP_011125070.1, XP_011128378.1	YJR096W
OG0000067	XP_011118606.1, XP_011118686.1, XP_011120728.1	YCL039W, YMR146C
OG0000068	XP_011118615.1, XP_011126724.1	YDR021W, YJL138C, YKR059W
OG0000069	XP_011118756.1, XP_011122559.1	YBR082C, YDR059C, YDR177W
OG0000070	XP_011118830.1, XP_011126255.1, XP_011128059.1	YFL039C, YLR085C
OG0000071	XP_011119389.1, XP_011119433.1, XP_011123360.1	YDR245W, YJL183W
OG0000072	XP_011119853.1, XP_011126474.1, XP_011128140.1	YDR054C, YMR022W
OG0000073	XP_011119898.1, XP_011121334.1, XP_011126496.1	YDR213W, YLR228C
OG0000074	XP_011120205.1, XP_011124091.1, XP_011125557.1, XP_011128305.1	YDR371W
OG0000075	XP_011120627.1, XP_011120794.1, XP_011124802.1	YER020W, YHR005C
OG0000076	XP_011120719.1, XP_011121553.1	YDL159W, YOR231W, YPL140C
OG0000077	XP_011120732.1, XP_011120766.1, XP_011122208.1	YBR038W, YNL192W
OG0000078	XP_011120833.1, XP_011123030.1, XP_011123943.1	YDR139C, YLR167W
OG0000079	XP_011120841.1, XP_011124776.1, XP_011126154.1	YBR164C, YDL137W
OG0000080	XP_011120988.1, XP_011124384.1	YBR126C, YML100W, YMR261C
OG0000081	XP_011120996.1, XP_011126983.1, XP_011127553.1	YBR114W, YOR191W
OG0000082	XP_011121685.1, XP_011126560.1, XP_011127969.1	YAR019C, YDR523C
OG0000083	XP_011121837.1, XP_011124190.1, XP_011127629.1	YHR207C, YPL165C
OG0000084	XP_011121848.1	YBL017C, YIL173W, YJL222W, YNR065C
OG0000085	XP_011122346.1, XP_011124799.1	YBR260C, YDR379W, YOR127W
OG0000086	XP_011123960.1	YER001W, YGL257C, YIL014W, YNR059W
OG0000087	XP_011125888.1	YCR107W, YDL243C, YJR155W, YNL331C
OG0000088	XP_011127440.1, XP_011127759.1	YAL005C, YJL034W, YLL024C
OG0000089		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000090	XP_011117018.1, XP_011124414.1	YMR008C, YOL011W
OG0000091	XP_011117103.1, XP_011118925.1	YDR287W, YHR046C
OG0000092	XP_011117181.1, XP_011122042.1	YJL102W, YLR069C
OG0000093	XP_011117219.1, XP_011127840.1	YCR011C, YOL075C
OG0000094	XP_011117255.1, XP_011121587.1	YOR237W, YPL145C
OG0000095	XP_011117292.1, XP_011122529.1	YHL007C, YNL298W
OG0000096	XP_011117328.1, XP_011122945.1, XP_011124418.1	YGR189C
OG0000097	XP_011117331.1, XP_011120803.1, XP_011122236.1	YLR286C
OG0000098	XP_011117377.1, XP_011126406.1	YFL053W, YML070W
OG0000099	XP_011117404.1, XP_011117828.1	YHR154W, YJL090C
OG0000100	XP_011117407.1, XP_011126121.1	YEL041W, YJR049C
OG0000101	XP_011117459.1, XP_011124647.1	YCR079W, YDL006W
OG0000102	XP_011117478.1, XP_011118922.1	YDL126C, YLR397C
OG0000103	XP_011117493.1, XP_011121766.1	YDR020C, YNR012W
OG0000104	XP_011117557.1, XP_011123251.1	YKL188C, YPL147W
OG0000105	XP_011117592.1, XP_011121574.1	YHR071W, YNL289W
OG0000106	XP_011117599.1, XP_011125462.1	YBR150C, YOL089C
OG0000107	XP_011117603.1, XP_011119248.1	YCR035C, YDR280W
OG0000108	XP_011117610.1, XP_011118360.1	YPR013C, YPR015C
OG0000109	XP_011117635.1, XP_011120135.1	YDR435C, YOL141W
OG0000110	XP_011117647.1, XP_011118705.1, XP_011126137.1	YDR276C
OG0000111	XP_011117664.1, XP_011126400.1	YGL019W, YOR039W
OG0000112	XP_011117701.1, XP_011121110.1, XP_011126693.1	YPR127W
OG0000113	XP_011117793.1, XP_011127820.1	YLR251W, YOR292C
OG0000114	XP_011117812.1, XP_011121957.1, XP_011125068.1	YOR084W
OG0000115	XP_011117819.1, XP_011118829.1	YDR121W, YDR397C
OG0000116	XP_011117882.1, XP_011123854.1	YCR105W, YMR318C
OG0000117	XP_011118028.1, XP_011121974.1	YCL014W, YLR371W
OG0000118	XP_011118072.1, XP_011128173.1	YPL003W, YPR180W
OG0000119	XP_011118119.1, XP_011119369.1	YER054C, YIL045W
OG0000120	XP_011118223.1, XP_011123591.1, XP_011128291.1	YEL023C
OG0000121	XP_011118301.1, XP_011120597.1, XP_011127856.1	YGR055W
OG0000122	XP_011118376.1, XP_011122420.1, XP_011125376.1	YJR075W
OG0000123	XP_011118396.1, XP_011120163.1	YEL047C, YJR051W
OG0000124	XP_011118403.1, XP_011118428.1, XP_011119104.1	YLL057C
OG0000125	XP_011118427.1, XP_011123177.1, XP_011124560.1	YIL166C
OG0000126	XP_011118465.1, XP_011119660.1	YBR242W, YGL101W
OG0000127	XP_011118495.1, XP_011120305.1, XP_011126024.1	YHR008C
OG0000128	XP_011118624.1, XP_011119398.1	YBL084C, YHR166C
OG0000129	XP_011118676.1, XP_011121124.1	YGL125W, YPL023C
OG0000130	XP_011118688.1, XP_011128317.1	YGL059W, YIL042C
OG0000131	XP_011118690.1, XP_011126196.1	YDL018C, YGL200C
OG0000132	XP_011118691.1, XP_011124301.1	YIL031W, YPL020C
OG0000133	XP_011118800.1, XP_011121540.1	YBR237W, YNL112W
OG0000134	XP_011118865.1, XP_011119957.1	YBL037W, YPR029C
OG0000135	XP_011119120.1, XP_011121989.1, XP_011125841.1	YIL099W
OG0000136	XP_011119127.1, XP_011126127.1	YOL030W, YOL132W
OG0000137	XP_011119286.1, XP_011119334.1, XP_011124318.1	YJR040W
OG0000138	XP_011119385.1, XP_011123723.1	YBR109C, YPR188C
OG0000139	XP_011119403.1, XP_011125466.1	YBR009C, YNL030W
OG0000140	XP_011119444.1	YFL060C, YMR095C, YNL334C
OG0000141	XP_011119468.1, XP_011120466.1, XP_011125406.1	YGL044C
OG0000142	XP_011119576.1, XP_011128185.1	YAL036C, YGR173W
OG0000143	XP_011119662.1, XP_011123369.1	YIL120W, YIL121W
OG0000144	XP_011119767.1, XP_011121603.1, XP_011127226.1	YIL160C
OG0000145	XP_011119774.1, XP_011128168.1	YOL062C, YPL259C
OG0000146	XP_011119856.1, XP_011123681.1	YHR113W, YKL103C
OG0000147	XP_011119908.1, XP_011121024.1, XP_011128224.1	YLR004C
OG0000148	XP_011119994.1, XP_011121157.1	YGL014W, YLL013C
OG0000149	XP_011120008.1	YLL052C, YLL053C, YPR192W
OG0000150	XP_011120093.1, XP_011128191.1	YJL095W, YLR362W
OG0000151	XP_011120114.1, XP_011125016.1	YJL200C, YLR304C
OG0000152	XP_011120244.1	YBR054W, YCR021C, YDR033W
OG0000153	XP_011120290.1, XP_011122764.1, XP_011127944.1	YML131W
OG0000154	XP_011120378.1, XP_011124697.1	YBR249C, YDR035W
OG0000155	XP_011120600.1, XP_011124445.1, XP_011128406.1	YKR093W
OG0000156	XP_011120628.1, XP_011127587.1	YGR132C, YGR231C
OG0000157	XP_011120701.1, XP_011121085.1	YDL101C, YPR106W
OG0000158	XP_011120713.1, XP_011122187.1	YHR172W, YNL126W
OG0000159	XP_011120743.1, XP_011123769.1	YER065C, YPR006C
OG0000160	XP_011120786.1, XP_011121494.1	YFL037W, YLR212C
OG0000161	XP_011120820.1, XP_011122798.1, XP_011123122.1	YPL069C
OG0000162	XP_011120846.1, XP_011125481.1	YJR058C, YLR170C
OG0000163	XP_011120871.1, XP_011122482.1	YDR135C, YGR281W
OG0000164	XP_011120903.1, XP_011124296.1	YDR378C, YPR182W
OG0000165	XP_011121009.1, XP_011121507.1	YJL194W, YML065W
OG0000166	XP_011121161.1, XP_011122944.1	YFL050C, YOL130W
OG0000167	XP_011121232.1, XP_011121621.1	YBR151W, YML050W
OG0000168	XP_011121420.1, XP_011125949.1, XP_011126898.1	YGR282C
OG0000169	XP_011121690.1, XP_011125460.1	YBR182C, YMR043W
OG0000170	XP_011121702.1, XP_011122393.1	YHR123W, YNL130C
OG0000171	XP_011121979.1, XP_011123878.1	YDR459C, YNL326C
OG0000172	XP_011122102.1, XP_011123137.1, XP_011126934.1	YIL147C
OG0000173	XP_011122160.1, XP_011122860.1, XP_011125720.1	YNL229C
OG0000174	XP_011122194.1, XP_011124053.1, XP_011124128.1	YGL055W
OG0000175	XP_011122244.1, XP_011127056.1, XP_011128225.1	YDL174C
OG0000176	XP_011122431.1, XP_011126625.1	YNL154C, YPL204W
OG0000177	XP_011122670.1, XP_011123838.1	YGR141W, YPR157W
OG0000178	XP_011122720.1, XP_011126444.1	YGL058W, YOR339C
OG0000179	XP_011122730.1, XP_011123950.1	YIL078W, YKL194C
OG0000180	XP_011122739.1	YLR152C, YNL095C, YOR092W
OG0000181	XP_011122774.1	YER056C, YER060W, YER060W-A
OG0000182	XP_011122914.1, XP_011126995.1	YGL194C, YNL330C
OG0000183	XP_011122953.1, XP_011124960.1, XP_011125093.1	YDL114W
OG0000184	XP_011123047.1, XP_011125436.1	YDL003W, YPR007C
OG0000185	XP_011123131.1	YBR145W, YMR303C, YOL086C
OG0000186	XP_011123219.1, XP_011124970.1	YER099C, YOL061W
OG0000187	XP_011123247.1, XP_011126609.1	YDR457W, YER125W
OG0000188	XP_011123255.1, XP_011124549.1	YDL077C, YDR495C
OG0000189	XP_011123434.1, XP_011124810.1	YGR143W, YPR159W
OG0000190	XP_011123645.1, XP_011128141.1	YER133W, YGR123C
OG0000191	XP_011123741.1, XP_011123993.1, XP_011125500.1	YOR153W
OG0000192	XP_011123835.1, XP_011126756.1	YMR214W, YNL064C
OG0000193	XP_011123904.1, XP_011124483.1	YHR169W, YNR038W
OG0000194	XP_011124127.1, XP_011124173.1, XP_011125655.1	YOL013C
OG0000195	XP_011124245.1, XP_011126008.1	YGR209C, YLR043C
OG0000196	XP_011124269.1, XP_011124277.1	YDL134C, YNR032W
OG0000197	XP_011124357.1, XP_011124587.1	YBR073W, YGL163C
OG0000198	XP_011124399.1, XP_011124657.1	YDR211W, YOR260W
OG0000199	XP_011124464.1	YOL055C, YPL258C, YPR121W
OG0000200	XP_011124489.1, XP_011125552.1	YNL104C, YOR108W
OG0000201	XP_011124583.1, XP_011126160.1	YDR258C, YLL026W
OG0000202	XP_011124806.1, XP_011126690.1	YJL106W, YLR113W
OG0000203	XP_011124922.1	YML116W, YMR279C, YOR378W
OG0000204	XP_011125012.1, XP_011126108.1	YBR078W, YDR055W
OG0000205	XP_011125087.1, XP_011127915.1	YOR275C, YPL084W
OG0000206	XP_011125146.1, XP_011126279.1	YBL016W, YHR030C
OG0000207	XP_011125149.1, XP_011125179.1	YHR098C, YIL109C
OG0000208	XP_011125608.1	YLL062C, YMR321C, YPL273W
OG0000209	XP_011125663.1, XP_011127791.1	YDR225W, YOL012C
OG0000210	XP_011125669.1	YGR192C, YJL052W, YJR009C
OG0000211	XP_011126116.1, XP_011127571.1	YIL153W, YPL152W
OG0000212	XP_011126416.1, XP_011127265.1	YBR132C, YPL265W
OG0000213	XP_011127080.1, XP_011128199.1	YDR255C, YIL097W
OG0000214	XP_011127382.1	YLR237W, YOR071C, YOR192C
OG0000215	XP_011127815.1, XP_011128382.1	YMR183C, YPL232W
OG0000216		YCL069W, YGR224W, YKR105C, YPR198W
OG0000217	XP_011116954.1, XP_011124956.1	YPR089W
OG0000218	XP_011116956.1, XP_011125418.1	YGL252C
OG0000219	XP_011116979.1	YMR180C, YPL228W
OG0000220	XP_011117121.1	YGR241C, YHR161C
OG0000221	XP_011117184.1	YBR048W, YDR025W
OG0000222	XP_011117192.1	YCR010C, YNR002C
OG0000223	XP_011117206.1, XP_011128322.1	YOR374W
OG0000224	XP_011117235.1, XP_011120620.1	YMR108W
OG0000225	XP_011117236.1	YBR020W, YDR009W
OG0000226	XP_011117248.1, XP_011126173.1	YPL170W
OG0000227	XP_011117278.1, XP_011120870.1	YAL018C
OG0000228	XP_011117279.1, XP_011121384.1	YJL093C
OG0000229	XP_011117297.1	YFR022W, YOR018W
OG0000230	XP_011117329.1	YOR390W, YPL279C
OG0000231	XP_011117366.1	YFR024C-A, YHR016C
OG0000232	XP_011117397.1	YHR115C, YNL116W
OG0000233	XP_011117403.1	YJL084C, YKR021W
OG0000234	XP_011117406.1	YDR272W, YOR040W
OG0000235	XP_011117416.1, XP_011127953.1	YPL155C
OG0000236	XP_011117419.1	YLL016W, YLR310C
OG0000237	XP_011117428.1, XP_011119472.1	YOR288C
OG0000238	XP_011117464.1, XP_011119713.1	YGL215W
OG0000239	XP_011117467.1	YDL085W, YMR145C
OG0000240	XP_011117491.1, XP_011127157.1	YCR019W
OG0000241	XP_011117519.1	YOR233W, YPL141C
OG0000242	XP_011117542.1, XP_011121529.1	YDR248C
OG0000243	XP_011117570.1	YKR076W, YMR251W
OG0000244	XP_011117583.1	YCL040W, YDR516C
OG0000245	XP_011117588.1	YGL031C, YGR148C
OG0000246	XP_011117653.1, XP_011119553.1	YBR019C
OG0000247	XP_011117663.1, XP_011125755.1	YBL008W
OG0000248	XP_011117719.1, XP_011120469.1	YLR126C
OG0000249	XP_011117720.1, XP_011121555.1	YHL027W
OG0000250	XP_011117766.1	YDL042C, YOL068C
OG0000251	XP_011117770.1	YCL037C, YDR515W
OG0000252	XP_011117774.1	YGR108W, YPR119W
OG0000253	XP_011117782.1, XP_011121828.1	YCR051W
OG0000254	XP_011117811.1	YJL082W, YKR018C
OG0000255	XP_011117818.1	YDL136W, YDL191W
OG0000256	XP_011117820.1	YCR073C, YNR031C
OG0000257	XP_011117842.1, XP_011122041.1	YLR411W
OG0000258	XP_011117848.1	YHR198C, YHR199C
OG0000259	XP_011117858.1, XP_011127862.1	YOR089C
OG0000260	XP_011117867.1	YNL096C, YOR096W
OG0000261	XP_011117873.1, XP_011123813.1	YBL049W
OG0000262	XP_011117881.1, XP_011121510.1	YGL006W
OG0000263	XP_011117892.1	YDR497C, YOL103W
OG0000264	XP_011117909.1	YHL003C, YKL008C
OG0000265	XP_011117952.1, XP_011120998.1	YIR009W
OG0000266	XP_011117970.1	YER057C, YIL051C
OG0000267	XP_011117980.1	YEL022W, YJR031C
OG0000268	XP_011117990.1, XP_011124877.1	YOL122C
OG0000269	XP_011118015.1	YLR270W, YOR173W
OG0000270	XP_011118022.1, XP_011126418.1	YDR256C
OG0000271	XP_011118077.1, XP_011121245.1	YOR095C
OG0000272	XP_011118170.1, XP_011125675.1	YGL012W
OG0000273	XP_011118217.1, XP_011120755.1	YKL128C
OG0000274	XP_011118236.1, XP_011121922.1	YBR111C
OG0000275	XP_011118286.1, XP_011118749.1	YPL268W
OG0000276	XP_011118368.1, XP_011119833.1	YGR009C
OG0000277	XP_011118404.1, XP_011119579.1	YLL017W
OG0000278	XP_011118525.1, XP_011125822.1	YJR153W
OG0000279	XP_011118545.1	YNL293W, YOL112W
OG0000280	XP_011118573.1	YBR031W, YDR012W
OG0000281	XP_011118607.1, XP_011125654.1	YDL185W
OG0000282	XP_011118636.1	YGR010W, YLR328W
OG0000283	XP_011118680.1, XP_011125362.1	YOL065C
OG0000284	XP_011118731.1	YJL193W, YOR307C
OG0000285	XP_011118770.1, XP_011122257.1	YBR291C
OG0000286	XP_011118771.1	YDR263C, YOR033C
OG0000287	XP_011118776.1	YJR130C, YML082W
OG0000288	XP_011118806.1, XP_011120044.1	YDL106C
OG0000289	XP_011118823.1, XP_011125686.1	YML054C
OG0000290	XP_011118852.1, XP_011122527.1	YFL031W
OG0000291	XP_011118879.1, XP_011121259.1	YIR042C
OG0000292	XP_011118964.1	YDL109C, YGL144C
OG0000293	XP_011118966.1, XP_011126901.1	YJL212C
OG0000294	XP_011119068.1, XP_011119731.1	YKL107W
OG0000295	XP_011119080.1, XP_011122107.1	YPL123C
OG0000296	XP_011119098.1, XP_011127752.1	YFL010C
OG0000297	XP_011119121.1, XP_011119411.1	YLR299W
OG0000298	XP_011119227.1, XP_011122348.1	YLR229C
OG0000299	XP_011119231.1	YDL049C, YJL174W
OG0000300	XP_011119233.1, XP_011124600.1	YFR006W
OG0000301	XP_011119274.1	YJR091C, YPR042C
OG0000302	XP_011119285.1, XP_011124569.1	YOR126C
OG0000303	XP_011119288.1	YDR264C, YOR034C
OG0000304	XP_011119290.1, XP_011124199.1	YGR155W
OG0000305	XP_011119294.1	YDR300C, YHR033W
OG0000306	XP_011119326.1	YJR094W-A, YPR043W
OG0000307	XP_011119327.1, XP_011124900.1	YPR093C
OG0000308	XP_011119341.1	YBL091C-A, YER120W
OG0000309	XP_011119350.1	YGL133W, YPL216W
OG0000310	XP_011119376.1, XP_011122842.1	YJR016C
OG0000311	XP_011119412.1	YGL096W, YPL177C
OG0000312	XP_011119438.1	YBR089C-A, YPR052C
OG0000313	XP_011119442.1, XP_011121796.1	YHR028C
OG0000314	XP_011119476.1	YLL012W, YLR020C
OG0000315	XP_011119518.1	YLR284C, YOR180C
OG0000316	XP_011119585.1, XP_011124452.1	YJR019C
OG0000317	XP_011119592.1, XP_011125124.1	YLR109W
OG0000318	XP_011119618.1	Q0050, Q0055
OG0000319	XP_011119624.1, XP_011126847.1	YBL091C
OG0000320	XP_011119633.1, XP_011125703.1	YDR352W
OG0000321	XP_011119643.1	YKL126W, YMR104C
OG0000322	XP_011119665.1	YJL105W, YKR029C
OG0000323	XP_011119679.1, XP_011127928.1	YHR124W
OG0000324	XP_011119694.1	YMR237W, YOR299W
OG0000325	XP_011119696.1, XP_011121624.1	YLR149C
OG0000326	XP_011119719.1, XP_011121480.1	YMR091C
OG0000327	XP_011119728.1	YDR312W, YHR066W
OG0000328	XP_011119761.1	YKL141W, YMR118C
OG0000329	XP_011119825.1	YBR147W, YOL092W
OG0000330	XP_011119897.1, XP_011124458.1	YGR213C
OG0000331	XP_011119941.1	YJL137C, YKR058W
OG0000332	XP_011119954.1	YCR048W, YNR019W
OG0000333	XP_011119955.1	YDR348C, YHR097C
OG0000334	XP_011119981.1	YER031C, YGL210W
OG0000335	XP_011120046.1	YHL017W, YKL039W
OG0000336	XP_011120058.1	YKL121W, YMR102C
OG0000337	XP_011120113.1, XP_011122071.1	YLR380W
OG0000338	XP_011120130.1	YER131W, YGL189C
OG0000339	XP_011120149.1, XP_011127530.1	YOR197W
OG0000340	XP_011120188.1	YBL067C, YER098W
OG0000341	XP_011120203.1	YDR358W, YHR108W
OG0000342	XP_011120204.1, XP_011126033.1	YJL094C
OG0000343	XP_011120236.1	YGR056W, YLR357W
OG0000344	XP_011120243.1, XP_011124401.1	YJL127C
OG0000345	XP_011120254.1	YBL106C, YPR032W
OG0000346	XP_011120255.1, XP_011127506.1	YLR058C
OG0000347	XP_011120276.1	YGR279C, YMR305C
OG0000348	XP_011120288.1	YDR253C, YPL038W
OG0000349	XP_011120313.1	YJL098W, YKR028W
OG0000350	XP_011120322.1	YIL149C, YKR095W
OG0000351	XP_011120324.1, XP_011128424.1	YDL128W
