	Babjeviella_inositovora	Saccharomyces_cerevisiae
OG0000010	genemark-scaffold_1-processed-gene-13.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.28&CDS=1-2721, genemark-scaffold_1-processed-gene-13.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.4&CDS=1-2661, genemark-scaffold_1-processed-gene-13.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.5&CDS=1-2712, genemark-scaffold_7-processed-gene-1.36-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.36&CDS=1-2691, maker-scaffold_1-augustus-gene-11.111-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-11.111&CDS=1-2937, maker-scaffold_1-augustus-gene-11.112-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-11.112&CDS=1-1917	YPR194C
OG0000011	genemark-scaffold_1-processed-gene-12.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.79&CDS=1-1029, genemark-scaffold_8-processed-gene-6.109-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-6.109&CDS=1-1008, genemark-scaffold_8-processed-gene-7.57-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.57&CDS=1-1077, maker-scaffold_8-snap-gene-7.5-mRNA-1_1&gene=maker-scaffold_8-snap-gene-7.5&CDS=1-2220	YGL185C, YNL274C, YPL113C
OG0000012	augustus_masked-scaffold_5-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.107&CDS=1-4488, genemark-scaffold_2-processed-gene-13.27-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-13.27&CDS=1-4698, genemark-scaffold_7-processed-gene-7.73-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.73&CDS=1-4683, snap_masked-scaffold_1-processed-gene-18.107-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.107&CDS=1-4617, snap_masked-scaffold_4-processed-gene-8.126-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.126&CDS=1-4533	YDR135C, YLL015W
OG0000013	genemark-scaffold_11-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-4.33&CDS=1-2229, genemark-scaffold_13-processed-gene-1.23-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.23&CDS=1-6522, genemark-scaffold_14-processed-gene-2.110-mRNA-1_1&gene=genemark-scaffold_14-processed-gene-2.110&CDS=1-2022, genemark-scaffold_2-processed-gene-15.17-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-15.17&CDS=1-2049, genemark-scaffold_5-processed-gene-6.41-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-6.41&CDS=1-2238	YJR061W, YKL201C
OG0000014	genemark-scaffold_15-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.33&CDS=1-2103, genemark-scaffold_3-processed-gene-1.88-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.88&CDS=1-2088, genemark-scaffold_3-processed-gene-9.38-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.38&CDS=1-2091, genemark-scaffold_4-processed-gene-6.82-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.82&CDS=1-2094, genemark-scaffold_4-processed-gene-6.95-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.95&CDS=1-2088, maker-scaffold_16-snap-gene-1.71-mRNA-1_1&gene=maker-scaffold_16-snap-gene-1.71&CDS=1-2106	YGL205W
OG0000015	augustus_masked-scaffold_11-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.20&CDS=1-861, augustus_masked-scaffold_11-processed-gene-3.102-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-3.102&CDS=1-663, augustus_masked-scaffold_15-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-scaffold_15-processed-gene-0.56&CDS=1-795, genemark-scaffold_18-processed-gene-1.55-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.55&CDS=1-861, maker-scaffold_1-augustus-gene-0.75-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.75&CDS=1-675	YIL124W
OG0000016	genemark-scaffold_1-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.97&CDS=1-1110, genemark-scaffold_18-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.47&CDS=1-1080, genemark-scaffold_3-processed-gene-1.81-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.81&CDS=1-1077, genemark-scaffold_3-processed-gene-4.122-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-4.122&CDS=1-1041, snap_masked-scaffold_14-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scaffold_14-processed-gene-0.69&CDS=1-1095	YGR263C
OG0000017	genemark-scaffold_1-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.22&CDS=1-2532, genemark-scaffold_18-processed-gene-1.53-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.53&CDS=1-2358, genemark-scaffold_2-processed-gene-10.53-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-10.53&CDS=1-2517	YDR326C, YFL042C, YHR080C
OG0000018	maker-scaffold_1-snap-gene-4.76-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.76&CDS=1-2112	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000019	genemark-scaffold_1-processed-gene-8.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.87&CDS=1-957, genemark-scaffold_1-processed-gene-8.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.88&CDS=1-897, genemark-scaffold_10-processed-gene-4.117-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.117&CDS=1-1023, genemark-scaffold_8-processed-gene-3.18-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-3.18&CDS=1-1080, snap_masked-scaffold_5-processed-gene-2.63-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.63&CDS=1-936	YNL234W
OG0000020	augustus_masked-scaffold_1-processed-gene-17.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.40&CDS=1-1602, genemark-scaffold_7-processed-gene-2.83-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.83&CDS=1-1437, genemark-scaffold_8-processed-gene-0.85-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-0.85&CDS=1-1473, maker-scaffold_7-snap-gene-2.112-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.112&CDS=1-1347	YNL095C, YOR092W
OG0000021	augustus_masked-scaffold_30-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_30-processed-gene-0.2&CDS=1-1452, genemark-scaffold_10-processed-gene-4.120-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.120&CDS=1-1785, genemark-scaffold_18-processed-gene-1.59-mRNA-1_1&gene=genemark-scaffold_18-processed-gene-1.59&CDS=1-1734, genemark-scaffold_9-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-0.97&CDS=1-1752, maker-scaffold_1-snap-gene-22.101-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.101&CDS=1-1722	YKR039W
OG0000022	genemark-scaffold_16-processed-gene-1.103-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-1.103&CDS=1-1140, genemark-scaffold_16-processed-gene-2.172-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.172&CDS=1-1134, genemark-scaffold_17-processed-gene-2.107-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-2.107&CDS=1-1128, maker-scaffold_10-snap-gene-3.75-mRNA-1_1&gene=maker-scaffold_10-snap-gene-3.75&CDS=1-2220	YHR179W, YPL171C
OG0000023	genemark-scaffold_10-processed-gene-5.8-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-5.8&CDS=1-1743, genemark-scaffold_12-processed-gene-3.247-mRNA-1_1&gene=genemark-scaffold_12-processed-gene-3.247&CDS=1-1689, genemark-scaffold_19-processed-gene-0.36-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.36&CDS=1-1638, genemark-scaffold_2-processed-gene-8.92-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-8.92&CDS=1-1641, genemark-scaffold_6-processed-gene-5.27-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.27&CDS=1-1701	YDR242W
OG0000024	genemark-scaffold_13-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.19&CDS=1-930, genemark-scaffold_2-processed-gene-6.38-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-6.38&CDS=1-1782	YCL069W, YGR224W, YKR105C, YPR198W
OG0000025	genemark-scaffold_6-processed-gene-2.5-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-2.5&CDS=1-1212, genemark-scaffold_6-processed-gene-8.47-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-8.47&CDS=1-1191, genemark-scaffold_9-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-4.14&CDS=1-1149, maker-scaffold_5-snap-gene-6.5-mRNA-1_1&gene=maker-scaffold_5-snap-gene-6.5&CDS=1-2238	YBR207W, YER145C
OG0000026	genemark-scaffold_5-processed-gene-8.31-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.31&CDS=1-2796, maker-scaffold_9-snap-gene-2.42-mRNA-1_1&gene=maker-scaffold_9-snap-gene-2.42&CDS=1-6330	YBL017C, YIL173W, YJL222W, YNR065C
OG0000027	genemark-scaffold_5-processed-gene-8.33-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.33&CDS=1-1800, maker-scaffold_9-snap-gene-5.109-mRNA-1_1&gene=maker-scaffold_9-snap-gene-5.109&CDS=1-4941	YBR298C, YDL247W, YGR289C, YJR160C
OG0000028	genemark-scaffold_1-processed-gene-4.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.87&CDS=1-1521, genemark-scaffold_10-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-5.11&CDS=1-1302	YMR316W, YNL165W, YOR385W
OG0000029	genemark-scaffold_1-processed-gene-8.122-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-8.122&CDS=1-1107, genemark-scaffold_4-processed-gene-5.108-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.108&CDS=1-1104	YCR102C, YLR460C, YNL134C
OG0000030	genemark-scaffold_5-processed-gene-0.105-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.105&CDS=1-486, maker-scaffold_1-snap-gene-20.75-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.75&CDS=1-2760, snap_masked-scaffold_1-processed-gene-14.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.25&CDS=1-2343	YDR155C, YJR126C
OG0000031	genemark-scaffold_1-processed-gene-19.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-19.35&CDS=1-2388, genemark-scaffold_8-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-1.3&CDS=1-2514	YCR037C, YJL198W, YNR013C
OG0000032	genemark-scaffold_3-processed-gene-7.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.12&CDS=1-2175, maker-scaffold_1-snap-gene-21.1-mRNA-1_1&gene=maker-scaffold_1-snap-gene-21.1&CDS=1-3774	YMR006C, YMR008C, YOL011W
OG0000033	augustus_masked-scaffold_5-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.86&CDS=1-2145, genemark-scaffold_2-processed-gene-16.195-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-16.195&CDS=1-2313, maker-scaffold_1-snap-gene-22.100-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.100&CDS=1-3411	YLR144C, YNR067C
OG0000034	genemark-scaffold_10-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-0.27&CDS=1-1197, genemark-scaffold_13-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.35&CDS=1-1410, genemark-scaffold_2-processed-gene-3.126-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.126&CDS=1-1578	YDR125C, YLR099C
OG0000035	genemark-scaffold_10-processed-gene-1.95-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.95&CDS=1-1062, genemark-scaffold_7-processed-gene-7.57-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.57&CDS=1-816	YFR032C, YHL034C, YLL046C
OG0000036	genemark-scaffold_10-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.106&CDS=1-1539, genemark-scaffold_10-processed-gene-4.99-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-4.99&CDS=1-1539	YER056C, YER060W, YER060W-A
OG0000037	genemark-scaffold_11-processed-gene-0.63-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.63&CDS=1-1476, genemark-scaffold_3-processed-gene-10.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.91&CDS=1-1698, genemark-scaffold_3-processed-gene-11.132-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-11.132&CDS=1-1728, genemark-scaffold_7-processed-gene-5.103-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.103&CDS=1-1848	YHR032W
OG0000038	genemark-scaffold_13-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.14&CDS=1-723	YDR533C, YMR322C, YOR391C, YPL280W
OG0000039	genemark-scaffold_13-processed-gene-1.22-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-1.22&CDS=1-1041, genemark-scaffold_13-processed-gene-3.216-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-3.216&CDS=1-1026, genemark-scaffold_15-processed-gene-0.7-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-0.7&CDS=1-1026, genemark-scaffold_5-processed-gene-4.101-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.101&CDS=1-1023	YPL088W
OG0000040	genemark-scaffold_15-processed-gene-2.64-mRNA-1_1&gene=genemark-scaffold_15-processed-gene-2.64&CDS=1-3036, genemark-scaffold_17-processed-gene-1.16-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.16&CDS=1-3282	YIL002C, YNL106C, YOR109W
OG0000041	genemark-scaffold_16-processed-gene-2.166-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-2.166&CDS=1-2322, genemark-scaffold_7-processed-gene-5.99-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.99&CDS=1-2667	YML111W, YMR275C, YNR069C
OG0000042	genemark-scaffold_3-processed-gene-5.101-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.101&CDS=1-1575, maker-scaffold_19-snap-gene-0.9-mRNA-1_1&gene=maker-scaffold_19-snap-gene-0.9&CDS=1-2007	YML116W, YMR279C, YOR378W
OG0000043	genemark-scaffold_2-processed-gene-0.84-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.84&CDS=1-2265, genemark-scaffold_7-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.19&CDS=1-1248	YFR014C, YLR035C, YOL016C
OG0000044	augustus_masked-scaffold_2-processed-gene-4.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.79&CDS=1-1434, augustus_masked-scaffold_2-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.80&CDS=1-1431, augustus_masked-scaffold_2-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.81&CDS=1-1443, augustus_masked-scaffold_2-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.82&CDS=1-1434	YKL221W
OG0000045	genemark-scaffold_2-processed-gene-9.89-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-9.89&CDS=1-4293, genemark-scaffold_5-processed-gene-3.103-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.103&CDS=1-4044	YCL024W, YDR507C, YKL101W
OG0000046	augustus_masked-scaffold_4-processed-gene-7.109-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.109&CDS=1-1713, genemark-scaffold_4-processed-gene-4.95-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.95&CDS=1-1896, maker-scaffold_2-snap-gene-16.274-mRNA-1_1&gene=maker-scaffold_2-snap-gene-16.274&CDS=1-3429	YJL172W, YOL153C
OG0000047	genemark-scaffold_3-processed-gene-3.90-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.90&CDS=1-675, genemark-scaffold_4-processed-gene-1.118-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.118&CDS=1-642, genemark-scaffold_6-processed-gene-7.33-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.33&CDS=1-651	YFR042W, YJL097W
OG0000048	snap_masked-scaffold_3-processed-gene-9.86-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.86&CDS=1-213	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
OG0000049	augustus_masked-scaffold_7-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.31&CDS=1-1524, augustus_masked-scaffold_7-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.34&CDS=1-1485, genemark-scaffold_4-processed-gene-2.11-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-2.11&CDS=1-1500	YMR169C, YMR170C
OG0000050	genemark-scaffold_4-processed-gene-4.96-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-4.96&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
OG0000051	genemark-scaffold_4-processed-gene-6.91-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.91&CDS=1-1794, genemark-scaffold_8-processed-gene-7.38-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-7.38&CDS=1-1434, snap_masked-scaffold_4-processed-gene-6.12-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.12&CDS=1-1311	YGR197C, YJR015W
OG0000052	augustus_masked-scaffold_8-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.85&CDS=1-1413, genemark-scaffold_7-processed-gene-6.29-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.29&CDS=1-1491	YER028C, YGL035C, YGL209W
OG0000053	genemark-scaffold_1-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.27&CDS=1-1596, genemark-scaffold_8-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-2.71&CDS=1-1761	YCR065W, YIL131C
OG0000054	genemark-scaffold_1-processed-gene-2.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.28&CDS=1-930, genemark-scaffold_7-processed-gene-5.87-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.87&CDS=1-834	YJR116W, YPR114W
OG0000055	augustus_masked-scaffold_5-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.67&CDS=1-2769, genemark-scaffold_1-processed-gene-3.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.10&CDS=1-1689, genemark-scaffold_9-processed-gene-5.74-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-5.74&CDS=1-1665	YIL166C
OG0000056	genemark-scaffold_1-processed-gene-4.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.98&CDS=1-1938, genemark-scaffold_2-processed-gene-0.75-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.75&CDS=1-2388	YJR059W, YKL198C
OG0000057	genemark-scaffold_3-processed-gene-8.15-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.15&CDS=1-6537, snap_masked-scaffold_1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.47&CDS=1-7626	YLR454W, YPR117W
OG0000058	augustus_masked-scaffold_32-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_32-processed-gene-0.2&CDS=1-648, augustus_masked-scaffold_4-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.0&CDS=1-1131, snap_masked-scaffold_1-processed-gene-6.76-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.76&CDS=1-663	YDL237W
OG0000059	genemark-scaffold_1-processed-gene-7.75-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.75&CDS=1-2664, genemark-scaffold_6-processed-gene-6.26-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.26&CDS=1-2769	YMR266W, YOL084W
