	Saccharomyces_cerevisiae	yHMPu5000035242_Zygoascus_ofunaensis
OG0000010	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000011	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-10.135-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-10.135&CDS=1-1455
OG0000012	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_22_length_49778_cov_23.8148_ID_11664-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_22_length_49778_cov_23.8148_ID_11664-processed-gene-0.67&CDS=1-1062, maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-17.79-mRNA-1_1&gene=maker-NODE_1_length_1859704_cov_17.1121_ID_3507-snap-gene-17.79&CDS=1-4326
OG0000013	YMR169C, YMR170C, YOR374W	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.24-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-1.24&CDS=1-1566, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-13.55-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-13.55&CDS=1-1497, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.91-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-0.91&CDS=1-1491
OG0000014	YOR126C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.54&CDS=1-732, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.73-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.73&CDS=1-813, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.32-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-14.32&CDS=1-768, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.4-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.4&CDS=1-786, maker-NODE_26_length_25569_cov_15.9948_ID_5324-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_26_length_25569_cov_15.9948_ID_5324-snap-gene-0.0&CDS=1-786
OG0000015	YAL053W, YGL139W, YPL221W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.14-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.14&CDS=1-2142, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.122-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.122&CDS=1-2391
OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-1.62&CDS=1-4458
OG0000017	YBR046C	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.10-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-1.10&CDS=1-999, genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_16_length_108370_cov_23.3074_ID_4316-processed-gene-0.43&CDS=1-987, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.114-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.114&CDS=1-993, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.40-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.40&CDS=1-996
OG0000018	YBR089C-A, YDL002C, YPR052C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.144-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-4.144&CDS=1-300, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-0.61&CDS=1-678
OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_19_length_74702_cov_15.9505_ID_4581-processed-gene-0.33&CDS=1-1623
OG0000020	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.126-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-9.126&CDS=1-1974
OG0000021	YCR065W, YIL131C, YNL068C	genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.52-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-11.52&CDS=1-2490, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.27-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-12.27&CDS=1-2595
OG0000022	YDL137W, YDL192W, YOR094W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.112-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.112&CDS=1-546, genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_8_length_713415_cov_14.5623_ID_3973-processed-gene-1.44&CDS=1-543
OG0000023	YDL159W, YOR231W, YPL140C	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.5-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.5&CDS=1-1563, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.88-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-2.88&CDS=1-1344
OG0000024	YDL210W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.95-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-1.95&CDS=1-1641, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.99-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.99&CDS=1-1566, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.47-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-4.47&CDS=1-1677, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.34-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.34&CDS=1-1782
OG0000025	YDR021W, YJL138C, YKR059W	genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.86-mRNA-1_1&gene=genemark-NODE_11_length_473841_cov_16.3012_ID_3740-processed-gene-3.86&CDS=1-1185, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-15.105-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-15.105&CDS=1-1191
OG0000026	YDR107C, YER113C, YLR083C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.141-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-2.141&CDS=1-1935, genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-3.53-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-3.53&CDS=1-1905
OG0000027	YDR207C, YDR213W, YLR228C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.22-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-6.22&CDS=1-1719, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.28-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-1.28&CDS=1-1410
OG0000028	YDR385W, YKL173W, YOR133W	genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_14_length_228580_cov_20.8638_ID_4280-processed-gene-0.49&CDS=1-2949, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.111-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-4.111&CDS=1-2526
OG0000029	YDR387C, YDR497C, YOL103W	genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.114-mRNA-1_1&gene=genemark-NODE_13_length_249367_cov_20.4516_ID_4175-processed-gene-1.114&CDS=1-1617, genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-2.72-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-2.72&CDS=1-1581
OG0000030	YDR533C, YMR322C, YOR391C, YPL280W	genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.91-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-9.91&CDS=1-711
OG0000031	YER057C, YIL051C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.96-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-15.96&CDS=1-384, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.53-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-1.53&CDS=1-381, maker-NODE_6_length_944837_cov_16.9478_ID_3814-augustus-gene-7.137-mRNA-1_1&gene=maker-NODE_6_length_944837_cov_16.9478_ID_3814-augustus-gene-7.137&CDS=1-408
OG0000032	YER133W, YML016C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.66-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-5.66&CDS=1-2112, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.93-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.93&CDS=1-975, maker-NODE_4_length_1142970_cov_18.2532_ID_14703-augustus-gene-7.11-mRNA-1_1&gene=maker-NODE_4_length_1142970_cov_18.2532_ID_14703-augustus-gene-7.11&CDS=1-963
OG0000033	YJR061W, YKL201C	augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.80-mRNA-1_1&gene=augustus_masked-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-10.80&CDS=1-1341, augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-5.76&CDS=1-1881, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.89-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.89&CDS=1-2244
OG0000034	YJR152W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.52&CDS=1-1539, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.150-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-17.150&CDS=1-1500, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.105-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.105&CDS=1-1536, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-7.41-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-7.41&CDS=1-1635
OG0000035	YKL015W	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-0.36&CDS=1-1539, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.8-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-10.8&CDS=1-2334, genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.85-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-5.85&CDS=1-1593, genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.38-mRNA-1_1&gene=genemark-NODE_5_length_961671_cov_15.7982_ID_15482-processed-gene-8.38&CDS=1-2247
OG0000036	YKR039W, YPL265W	genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.33-mRNA-1_1&gene=genemark-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-3.33&CDS=1-1650, genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.91-mRNA-1_1&gene=genemark-NODE_4_length_1142970_cov_18.2532_ID_14703-processed-gene-10.91&CDS=1-1728, genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.80-mRNA-1_1&gene=genemark-NODE_9_length_628899_cov_14.4483_ID_3702-processed-gene-4.80&CDS=1-1776
OG0000037	YLR034C, YOL122C	genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.161-mRNA-1_1&gene=genemark-NODE_10_length_623044_cov_19.8551_ID_3649-processed-gene-4.161&CDS=1-2136, genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-9.53-mRNA-1_1&gene=genemark-NODE_1_length_1859704_cov_17.1121_ID_3507-processed-gene-9.53&CDS=1-1728, snap_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.90-mRNA-1_1&gene=snap_masked-NODE_3_length_1287627_cov_16.8742_ID_4528-processed-gene-5.90&CDS=1-1578
OG0000038	YLR144C, YNR067C	genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_2_length_1600885_cov_16.5161_ID_3305-processed-gene-1.14&CDS=1-2376, genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.128-mRNA-1_1&gene=genemark-NODE_6_length_944837_cov_16.9478_ID_3814-processed-gene-5.128&CDS=1-2133, genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.139-mRNA-1_1&gene=genemark-NODE_7_length_719086_cov_18.6268_ID_7498-processed-gene-3.139&CDS=1-2991
