	Nakaseomyces_bacillisporus	Saccharomyces_cerevisiae
OG0000010	augustus_masked-NABA0S01-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.234&CDS=1-2292, augustus_masked-NABA0S15-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NABA0S15-processed-gene-0.12&CDS=1-2811, snap_masked-NABA0S23-processed-gene-3.111-mRNA-1_1&gene=snap_masked-NABA0S23-processed-gene-3.111&CDS=1-1863	YLR266C, YOR162C, YOR172W
OG0000011	augustus_masked-NABA0S03-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.40&CDS=1-1203, augustus_masked-NABA0S37-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-2.109&CDS=1-1251, augustus_masked-NABA0S37-processed-gene-2.137-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-2.137&CDS=1-2664	YBR155W, YBR205W, YOR099W
OG0000012	augustus_masked-NABA0S26-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-1.141&CDS=1-3312, augustus_masked-NABA0S37-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-0.114&CDS=1-2310, genemark-NABA0S03-processed-gene-5.112-mRNA-1_1&gene=genemark-NABA0S03-processed-gene-5.112&CDS=1-5175	YER013W, YGL120C, YKR086W
OG0000013	genemark-NABA0S08-processed-gene-5.64-mRNA-1_1&gene=genemark-NABA0S08-processed-gene-5.64&CDS=1-5016, genemark-NABA0S25-processed-gene-8.52-mRNA-1_1&gene=genemark-NABA0S25-processed-gene-8.52&CDS=1-2514	YKL121W, YKL126W, YMR102C, YMR104C
OG0000014	augustus_masked-NABA0S08-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.22&CDS=1-1428	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000015	augustus_masked-NABA0S25-processed-gene-11.147-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.147&CDS=1-5385, maker-NABA0S15-augustus-gene-3.118-mRNA-1_1&gene=maker-NABA0S15-augustus-gene-3.118&CDS=1-4785, maker-NABA0S27-augustus-gene-2.1-mRNA-1_1&gene=maker-NABA0S27-augustus-gene-2.1&CDS=1-4842	YGR032W, YLR342W, YMR306W
OG0000016	augustus_masked-NABA0S23-processed-gene-3.235-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.235&CDS=1-2187, augustus_masked-NABA0S25-processed-gene-6.112-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.112&CDS=1-2058, augustus_masked-NABA0S29-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-3.27&CDS=1-2976, genemark-NABA0S23-processed-gene-2.71-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-2.71&CDS=1-2916	YBR059C, YIL095W
OG0000017	snap_masked-NABA0S26-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NABA0S26-processed-gene-2.124&CDS=1-276, snap_masked-NABA0S26-processed-gene-2.129-mRNA-1_1&gene=snap_masked-NABA0S26-processed-gene-2.129&CDS=1-345	YHL009W-A, YHL009W-B, YJL114W, YPL060C-A
OG0000018		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000019	augustus_masked-NABA0S01-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.213&CDS=1-1410, augustus_masked-NABA0S32-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.116&CDS=1-1407, augustus_masked-NABA0S32-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.33&CDS=1-1461	YBR263W, YLR058C
OG0000020	augustus_masked-NABA0S01-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.188&CDS=1-1485, augustus_masked-NABA0S03-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.7&CDS=1-1617, augustus_masked-NABA0S10-processed-gene-2.262-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.262&CDS=1-1650	YER123W, YNL154C
OG0000021	augustus_masked-NABA0S02-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.1&CDS=1-1791, augustus_masked-NABA0S37-processed-gene-9.82-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.82&CDS=1-1872, snap_masked-NABA0S37-processed-gene-9.26-mRNA-1_1&gene=snap_masked-NABA0S37-processed-gene-9.26&CDS=1-1719	YEL063C, YNL268W
OG0000022	augustus_masked-NABA0S02-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.19&CDS=1-1233, augustus_masked-NABA0S23-processed-gene-3.195-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.195&CDS=1-1254, augustus_masked-NABA0S27-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-NABA0S27-processed-gene-3.29&CDS=1-1266	YDL066W, YLR174W
OG0000023	augustus_masked-NABA0S02-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.29&CDS=1-1272, maker-NABA0S32-augustus-gene-3.83-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-3.83&CDS=1-2700	YFR024C-A, YHR016C, YHR018C
OG0000024	augustus_masked-NABA0S02-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.80&CDS=1-1611, augustus_masked-NABA0S32-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.112&CDS=1-1059, augustus_masked-NABA0S37-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-10.64&CDS=1-2196	YER040W, YFL021W
OG0000025	augustus_masked-NABA0S10-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-1.99&CDS=1-1845, augustus_masked-NABA0S10-processed-gene-2.210-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.210&CDS=1-3399, maker-NABA0S03-augustus-gene-1.48-mRNA-1_1&gene=maker-NABA0S03-augustus-gene-1.48&CDS=1-5142	YNL104C, YOR109W
OG0000026	augustus_masked-NABA0S03-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.100&CDS=1-1686, augustus_masked-NABA0S08-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-1.33&CDS=1-6309	YGR092W, YGR094W, YPR111W
OG0000027	augustus_masked-NABA0S03-processed-gene-6.173-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.173&CDS=1-2286, augustus_masked-NABA0S06-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-0.19&CDS=1-2277, augustus_masked-NABA0S34-processed-gene-6.21-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-6.21&CDS=1-2220	YAL023C, YGR199W
OG0000028	augustus_masked-NABA0S03-processed-gene-6.174-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-6.174&CDS=1-4728, augustus_masked-NABA0S06-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NABA0S06-processed-gene-0.11&CDS=1-4782, augustus_masked-NABA0S37-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-1.35&CDS=1-5589	YHR023W, YOR326W
OG0000029	augustus_masked-NABA0S08-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-2.39&CDS=1-408, augustus_masked-NABA0S25-processed-gene-6.136-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.136&CDS=1-408, augustus_masked-NABA0S29-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.35&CDS=1-408	YBR010W, YNL031C
OG0000030	augustus_masked-NABA0S08-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-2.19&CDS=1-309, augustus_masked-NABA0S25-processed-gene-6.114-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-6.114&CDS=1-309, augustus_masked-NABA0S29-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.18&CDS=1-309	YBR009C, YNL030W
OG0000031	augustus_masked-NABA0S08-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-4.12&CDS=1-2358, maker-NABA0S29-snap-gene-9.56-mRNA-1_1&gene=maker-NABA0S29-snap-gene-9.56&CDS=1-4518	YOR231W, YPL140C, YPL141C
OG0000032	augustus_masked-NABA0S09-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-0.106&CDS=1-1239, augustus_masked-NABA0S25-processed-gene-11.154-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.154&CDS=1-1932, augustus_masked-NABA0S26-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-0.70&CDS=1-2379, augustus_masked-NABA0S26-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-0.83&CDS=1-1266, snap_masked-NABA0S32-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NABA0S32-processed-gene-0.14&CDS=1-900	
OG0000033	maker-NABA0S09-augustus-gene-0.87-mRNA-1_1&gene=maker-NABA0S09-augustus-gene-0.87&CDS=1-3057, snap_masked-NABA0S10-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-0.58&CDS=1-4080	YMR006C, YMR008C, YOL011W
OG0000034	augustus_masked-NABA0S10-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-0.0&CDS=1-1080, augustus_masked-NABA0S10-processed-gene-2.250-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.250&CDS=1-1080, augustus_masked-NABA0S33-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NABA0S33-processed-gene-0.2&CDS=1-939, snap_masked-NABA0S23-processed-gene-3.166-mRNA-1_1&gene=snap_masked-NABA0S23-processed-gene-3.166&CDS=1-1080	YMR318C
OG0000035	augustus_masked-NABA0S25-processed-gene-11.148-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-11.148&CDS=1-1719, augustus_masked-NABA0S34-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-NABA0S34-processed-gene-7.113&CDS=1-1638, snap_masked-NABA0S15-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NABA0S15-processed-gene-3.84&CDS=1-1638	YLR343W, YMR307W
OG0000036	augustus_masked-NABA0S23-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-0.109&CDS=1-3783, augustus_masked-NABA0S23-processed-gene-3.260-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.260&CDS=1-2862	YIR033W, YKL020C, YKL021C
OG0000037	augustus_masked-NABA0S25-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-1.79&CDS=1-1935, maker-NABA0S26-snap-gene-1.54-mRNA-1_1&gene=maker-NABA0S26-snap-gene-1.54&CDS=1-3339	YNL292W, YNL293W, YOL112W
OG0000038	augustus_masked-NABA0S25-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-4.16&CDS=1-1059, augustus_masked-NABA0S37-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-1.6&CDS=1-1191	YMR083W, YMR303C, YOL086C
OG0000039	maker-NABA0S32-augustus-gene-1.120-mRNA-1_1&gene=maker-NABA0S32-augustus-gene-1.120&CDS=1-5019	YBL017C, YIL173W, YJL222W, YNR065C
OG0000040	augustus_masked-NABA0S01-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-0.75&CDS=1-2058, augustus_masked-NABA0S32-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-3.39&CDS=1-2100	YAL054C, YLR153C
OG0000041	augustus_masked-NABA0S01-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.185&CDS=1-960, augustus_masked-NABA0S32-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-2.106&CDS=1-978	YGL162W, YPR009W
OG0000042	augustus_masked-NABA0S09-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NABA0S09-processed-gene-0.115&CDS=1-1923, genemark-NABA0S01-processed-gene-1.77-mRNA-1_1&gene=genemark-NABA0S01-processed-gene-1.77&CDS=1-1221	YLR260W, YOR171C
OG0000043	augustus_masked-NABA0S01-processed-gene-1.243-mRNA-1_1&gene=augustus_masked-NABA0S01-processed-gene-1.243&CDS=1-1890, genemark-NABA0S23-processed-gene-3.90-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-3.90&CDS=1-1953	YFL041W, YMR058W
OG0000044	augustus_masked-NABA0S02-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.3&CDS=1-630, snap_masked-NABA0S02-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-0.24&CDS=1-447	YCL066W, YCR040W
OG0000045	augustus_masked-NABA0S02-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.118&CDS=1-1605, genemark-NABA0S37-processed-gene-8.87-mRNA-1_1&gene=genemark-NABA0S37-processed-gene-8.87&CDS=1-1764	YCL043C, YDR518W
OG0000046	augustus_masked-NABA0S02-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-0.102&CDS=1-3510, augustus_masked-NABA0S25-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-NABA0S25-processed-gene-8.100&CDS=1-4368	YDR507C, YKL101W
OG0000047	snap_masked-NABA0S02-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-1.40&CDS=1-585	YCL067C, YCR039C, YCR096C
OG0000048	augustus_masked-NABA0S02-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.2&CDS=1-4266, augustus_masked-NABA0S23-processed-gene-3.216-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-3.216&CDS=1-4110	YCL068C, YCR038C
OG0000049	augustus_masked-NABA0S02-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.23&CDS=1-1065, augustus_masked-NABA0S03-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.81&CDS=1-966	YCR034W, YJL196C
OG0000050	augustus_masked-NABA0S02-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.6&CDS=1-1734, augustus_masked-NABA0S29-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-1.15&CDS=1-1770	YBR015C, YJL186W
OG0000051	augustus_masked-NABA0S02-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.28&CDS=1-2331, augustus_masked-NABA0S23-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-1.119&CDS=1-1494	YCR026C, YEL016C
OG0000052	augustus_masked-NABA0S02-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-1.15&CDS=1-843, augustus_masked-NABA0S23-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-NABA0S23-processed-gene-1.116&CDS=1-822	YCR010C, YNR002C
OG0000053	augustus_masked-NABA0S02-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-2.9&CDS=1-2100, augustus_masked-NABA0S02-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-7.8&CDS=1-2100	YFR015C, YLR258W
OG0000054	augustus_masked-NABA0S02-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-3.69&CDS=1-2496, augustus_masked-NABA0S29-processed-gene-6.107-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-6.107&CDS=1-2691	YDR213W, YLR228C
OG0000055	snap_masked-NABA0S02-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NABA0S02-processed-gene-3.57&CDS=1-1719, snap_masked-NABA0S15-processed-gene-9.55-mRNA-1_1&gene=snap_masked-NABA0S15-processed-gene-9.55&CDS=1-2226	YJL099W, YKR027W
OG0000056	augustus_masked-NABA0S02-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-4.3&CDS=1-3792, augustus_masked-NABA0S26-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.0&CDS=1-4083	YJL129C, YKR050W
OG0000057	augustus_masked-NABA0S02-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-4.5&CDS=1-6657, augustus_masked-NABA0S08-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-6.15&CDS=1-3315	YJL130C, YJR109C
OG0000058	augustus_masked-NABA0S02-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-5.112&CDS=1-2346, augustus_masked-NABA0S17-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NABA0S17-processed-gene-0.126&CDS=1-2214	YJR059W, YKL198C
OG0000059	augustus_masked-NABA0S02-processed-gene-6.30-mRNA-1_1&gene=augustus_masked-NABA0S02-processed-gene-6.30&CDS=1-3261, genemark-NABA0S23-processed-gene-0.13-mRNA-1_1&gene=genemark-NABA0S23-processed-gene-0.13&CDS=1-2799	YKL068W, YMR047C
OG0000060	augustus_masked-NABA0S03-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-0.80&CDS=1-2373, augustus_masked-NABA0S26-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NABA0S26-processed-gene-2.14&CDS=1-2334	YJL200C, YLR304C
OG0000061	augustus_masked-NABA0S10-processed-gene-2.264-mRNA-1_1&gene=augustus_masked-NABA0S10-processed-gene-2.264&CDS=1-1074, snap_masked-NABA0S03-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NABA0S03-processed-gene-1.103&CDS=1-1005	YHR139C, YNL160W
OG0000062	augustus_masked-NABA0S03-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.9&CDS=1-1707, snap_masked-NABA0S10-processed-gene-2.167-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-2.167&CDS=1-1941	YHR131C, YNL144C
OG0000063	augustus_masked-NABA0S03-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-1.27&CDS=1-2184, snap_masked-NABA0S10-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NABA0S10-processed-gene-2.112&CDS=1-1794	YHR117W, YNL121C
OG0000064	augustus_masked-NABA0S03-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-2.30&CDS=1-435, augustus_masked-NABA0S08-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-NABA0S08-processed-gene-1.19&CDS=1-435	YGR118W, YPR132W
OG0000065	augustus_masked-NABA0S03-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.101&CDS=1-951, augustus_masked-NABA0S32-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-NABA0S32-processed-gene-1.13&CDS=1-945	YGR086C, YPL004C
OG0000066	augustus_masked-NABA0S03-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-3.118&CDS=1-3837, augustus_masked-NABA0S37-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-NABA0S37-processed-gene-9.91&CDS=1-5736	YIL159W, YNL271C
OG0000067	augustus_masked-NABA0S03-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.2&CDS=1-2988, augustus_masked-NABA0S29-processed-gene-7.153-mRNA-1_1&gene=augustus_masked-NABA0S29-processed-gene-7.153&CDS=1-2604	YER047C, YPL074W
OG0000068	augustus_masked-NABA0S03-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-NABA0S03-processed-gene-5.10&CDS=1-762, snap_masked-NABA0S06-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NABA0S06-processed-gene-1.16&CDS=1-762	YFR031C-A, YIL018W
