	Candida_sojae	Saccharomyces_cerevisiae
OG0000016	augustus_masked-LMTL01000005.1-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-LMTL01000005.1-processed-gene-0.150&CDS=1-1077, augustus_masked-LMTL01000005.1-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-LMTL01000005.1-processed-gene-0.185&CDS=1-1071	YCR102C, YLR460C, YNL134C
OG0000017	augustus_masked-LMTL01000008.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000008.1-processed-gene-0.43&CDS=1-789, genemark-LMTL01000035.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LMTL01000035.1-processed-gene-0.16&CDS=1-789, maker-LMTL01000018.1-snap-gene-0.38-mRNA-1_1&gene=maker-LMTL01000018.1-snap-gene-0.38&CDS=1-1449, snap_masked-LMTL01000022.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-LMTL01000022.1-processed-gene-0.130&CDS=1-300	YIR038C
OG0000018	augustus_masked-LMTL01000011.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000011.1-processed-gene-0.15&CDS=1-1080, augustus_masked-LMTL01000011.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-LMTL01000011.1-processed-gene-0.34&CDS=1-1080, augustus_masked-LMTL01000024.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LMTL01000024.1-processed-gene-0.67&CDS=1-4827	YBL007C, YPL113C
OG0000019	augustus_masked-LMTL01000014.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LMTL01000014.1-processed-gene-0.38&CDS=1-1428, augustus_masked-LMTL01000014.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000014.1-processed-gene-0.5&CDS=1-1539, augustus_masked-LMTL01000150.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000150.1-processed-gene-0.40&CDS=1-1464	YIL120W, YIL121W
OG0000020	augustus_masked-LMTL01000014.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-LMTL01000014.1-processed-gene-0.27&CDS=1-1170, augustus_masked-LMTL01000160.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-LMTL01000160.1-processed-gene-0.91&CDS=1-1182, maker-LMTL01000014.1-snap-gene-0.160-mRNA-1_1&gene=maker-LMTL01000014.1-snap-gene-0.160&CDS=1-2319, snap_masked-LMTL01000279.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LMTL01000279.1-processed-gene-0.11&CDS=1-615	YGR234W
OG0000021	augustus_masked-LMTL01000031.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000031.1-processed-gene-0.20&CDS=1-1257, augustus_masked-LMTL01000087.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000087.1-processed-gene-0.1&CDS=1-1245, augustus_masked-LMTL01000087.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000087.1-processed-gene-0.20&CDS=1-1245, augustus_masked-LMTL01000226.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-LMTL01000226.1-processed-gene-0.61&CDS=1-1110	YGR263C
OG0000022	augustus_masked-LMTL01000072.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000072.1-processed-gene-0.13&CDS=1-1149, augustus_masked-LMTL01000072.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000072.1-processed-gene-0.14&CDS=1-978, augustus_masked-LMTL01000072.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000072.1-processed-gene-0.15&CDS=1-834, maker-LMTL01000072.1-snap-gene-0.12-mRNA-1_1&gene=maker-LMTL01000072.1-snap-gene-0.12&CDS=1-2031	YJR019C
OG0000023	augustus_masked-LMTL01000101.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.40&CDS=1-1866, genemark-LMTL01000322.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000322.1-processed-gene-0.0&CDS=1-663, genemark-LMTL01000351.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LMTL01000351.1-processed-gene-0.0&CDS=1-624	YJR054W, YML047C
OG0000024	augustus_masked-LMTL01000112.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.13&CDS=1-1083, augustus_masked-LMTL01000171.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000171.1-processed-gene-0.8&CDS=1-1059, augustus_masked-LMTL01000179.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000179.1-processed-gene-0.24&CDS=1-1068, augustus_masked-LMTL01000188.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000188.1-processed-gene-0.4&CDS=1-1068	YMR152W
OG0000025	augustus_masked-LMTL01000113.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LMTL01000113.1-processed-gene-0.40&CDS=1-2745, augustus_masked-LMTL01000207.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000207.1-processed-gene-0.7&CDS=1-2688, augustus_masked-LMTL01000272.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000272.1-processed-gene-0.30&CDS=1-2754, maker-LMTL01000174.1-snap-gene-0.8-mRNA-1_1&gene=maker-LMTL01000174.1-snap-gene-0.8&CDS=1-4533	YPR194C
OG0000026	augustus_masked-LMTL01000160.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-LMTL01000160.1-processed-gene-0.119&CDS=1-1023	YDL244W, YFL058W, YJR156C, YNL332W
OG0000027	augustus_masked-LMTL01000194.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.21&CDS=1-1353, augustus_masked-LMTL01000194.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.7&CDS=1-408, maker-LMTL01000194.1-augustus-gene-0.71-mRNA-1_1&gene=maker-LMTL01000194.1-augustus-gene-0.71&CDS=1-1629	YCR087C-A, YER122C
OG0000028	augustus_masked-LMTL01000247.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LMTL01000247.1-processed-gene-0.10&CDS=1-768, augustus_masked-LMTL01000267.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-LMTL01000267.1-processed-gene-0.80&CDS=1-765, augustus_masked-LMTL01000267.1-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-LMTL01000267.1-processed-gene-0.96&CDS=1-765, augustus_masked-LMTL01000344.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000344.1-processed-gene-0.1&CDS=1-768	YOR126C
OG0000029	augustus_masked-LMTL01000257.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LMTL01000257.1-processed-gene-0.56&CDS=1-3345	YKL222C, YLR266C, YOR162C, YOR172W
OG0000030	snap_masked-LMTL01000271.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LMTL01000271.1-processed-gene-0.4&CDS=1-1623	YBR297W, YFL052W, YGR288W, YPR196W
OG0000031		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000032	augustus_masked-LMTL01000001.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LMTL01000001.1-processed-gene-0.43&CDS=1-1422, snap_masked-LMTL01000216.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LMTL01000216.1-processed-gene-0.20&CDS=1-1467, snap_masked-LMTL01000306.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LMTL01000306.1-processed-gene-0.3&CDS=1-1467	YKL221W
OG0000033	augustus_masked-LMTL01000001.1-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-LMTL01000001.1-processed-gene-1.138&CDS=1-732	YFL060C, YMR095C, YNL334C
OG0000034	augustus_masked-LMTL01000009.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LMTL01000009.1-processed-gene-0.22&CDS=1-4857	YDR038C, YDR039C, YDR040C
OG0000035	augustus_masked-LMTL01000015.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LMTL01000015.1-processed-gene-0.44&CDS=1-1299, snap_masked-LMTL01000108.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LMTL01000108.1-processed-gene-0.24&CDS=1-261, snap_masked-LMTL01000158.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LMTL01000158.1-processed-gene-0.44&CDS=1-204	YBL054W
OG0000036	augustus_masked-LMTL01000019.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LMTL01000019.1-processed-gene-0.17&CDS=1-1527	YER056C, YER060W, YER060W-A
OG0000037	augustus_masked-LMTL01000025.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-LMTL01000025.1-processed-gene-0.39&CDS=1-1125, augustus_masked-LMTL01000036.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-LMTL01000036.1-processed-gene-0.24&CDS=1-1125, augustus_masked-LMTL01000138.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000138.1-processed-gene-0.1&CDS=1-1125	YBR171W
OG0000038	augustus_masked-LMTL01000027.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-LMTL01000027.1-processed-gene-0.76&CDS=1-882, snap_masked-LMTL01000060.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LMTL01000060.1-processed-gene-0.20&CDS=1-882	YDR368W, YOR120W
OG0000039	augustus_masked-LMTL01000030.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000030.1-processed-gene-0.36&CDS=1-960, augustus_masked-LMTL01000039.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LMTL01000039.1-processed-gene-0.99&CDS=1-954, augustus_masked-LMTL01000046.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000046.1-processed-gene-0.8&CDS=1-924	YJL145W
OG0000040	augustus_masked-LMTL01000037.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-LMTL01000037.1-processed-gene-0.64&CDS=1-5442, genemark-LMTL01000037.1-processed-gene-0.91-mRNA-1_1&gene=genemark-LMTL01000037.1-processed-gene-0.91&CDS=1-5706	YGR184C, YLR024C
OG0000041	augustus_masked-LMTL01000042.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-LMTL01000042.1-processed-gene-0.63&CDS=1-2262, augustus_masked-LMTL01000133.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-LMTL01000133.1-processed-gene-0.78&CDS=1-2334	YGR249W, YOR140W
OG0000042	augustus_masked-LMTL01000044.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000044.1-processed-gene-0.1&CDS=1-3306, augustus_masked-LMTL01000071.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LMTL01000071.1-processed-gene-0.21&CDS=1-4482, augustus_masked-LMTL01000195.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000195.1-processed-gene-0.18&CDS=1-4419	YOR153W
OG0000043	augustus_masked-LMTL01000045.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LMTL01000045.1-processed-gene-0.13&CDS=1-672, augustus_masked-LMTL01000045.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LMTL01000045.1-processed-gene-0.14&CDS=1-672, augustus_masked-LMTL01000045.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000045.1-processed-gene-0.15&CDS=1-672	YCR086W
OG0000044	augustus_masked-LMTL01000051.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-LMTL01000051.1-processed-gene-0.80&CDS=1-936	YLL062C, YMR321C, YPL273W
OG0000045	augustus_masked-LMTL01000053.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-LMTL01000053.1-processed-gene-0.56&CDS=1-2745	YML111W, YMR275C, YNR069C
OG0000046	genemark-LMTL01000054.1-processed-gene-0.31-mRNA-1_1&gene=genemark-LMTL01000054.1-processed-gene-0.31&CDS=1-3246, genemark-LMTL01000210.1-processed-gene-0.12-mRNA-1_1&gene=genemark-LMTL01000210.1-processed-gene-0.12&CDS=1-1110, maker-LMTL01000169.1-augustus-gene-0.4-mRNA-1_1&gene=maker-LMTL01000169.1-augustus-gene-0.4&CDS=1-1905	YGL059W
OG0000047	augustus_masked-LMTL01000056.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000056.1-processed-gene-0.5&CDS=1-1395, augustus_masked-LMTL01000270.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000270.1-processed-gene-0.11&CDS=1-3213, augustus_masked-LMTL01000290.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000290.1-processed-gene-0.4&CDS=1-1389	YPL210C
OG0000048	augustus_masked-LMTL01000059.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000059.1-processed-gene-0.8&CDS=1-348, augustus_masked-LMTL01000101.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-LMTL01000101.1-processed-gene-0.36&CDS=1-339	YCL035C, YDR513W
OG0000049	augustus_masked-LMTL01000064.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-LMTL01000064.1-processed-gene-0.91&CDS=1-2001, augustus_masked-LMTL01000112.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000112.1-processed-gene-0.0&CDS=1-2277	YGR068C, YOR018W
OG0000050	augustus_masked-LMTL01000066.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-LMTL01000066.1-processed-gene-0.30&CDS=1-651, augustus_masked-LMTL01000210.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-LMTL01000210.1-processed-gene-0.33&CDS=1-654, augustus_masked-LMTL01000420.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000420.1-processed-gene-0.1&CDS=1-654	YMR202W
OG0000051	augustus_masked-LMTL01000086.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000086.1-processed-gene-0.18&CDS=1-1398, augustus_masked-LMTL01000090.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000090.1-processed-gene-0.25&CDS=1-1398, augustus_masked-LMTL01000178.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LMTL01000178.1-processed-gene-0.11&CDS=1-1398	YBR028C
OG0000052	augustus_masked-LMTL01000138.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LMTL01000138.1-processed-gene-0.5&CDS=1-1647, augustus_masked-LMTL01000207.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000207.1-processed-gene-0.8&CDS=1-1683, augustus_masked-LMTL01000355.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000355.1-processed-gene-0.1&CDS=1-1458	YDR242W
OG0000053	augustus_masked-LMTL01000140.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-LMTL01000140.1-processed-gene-0.20&CDS=1-1518, snap_masked-LMTL01000187.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-LMTL01000187.1-processed-gene-0.34&CDS=1-1494	YGR197C, YJR015W
OG0000054	snap_masked-LMTL01000144.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LMTL01000144.1-processed-gene-0.8&CDS=1-1623	YGR100W, YNL293W, YOL112W
OG0000055	snap_masked-LMTL01000158.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LMTL01000158.1-processed-gene-0.30&CDS=1-930, snap_masked-LMTL01000158.1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-LMTL01000158.1-processed-gene-0.37&CDS=1-930	YGL162W, YPR009W
OG0000056	augustus_masked-LMTL01000174.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LMTL01000174.1-processed-gene-0.0&CDS=1-807	YLL052C, YLL053C, YPR192W
OG0000057	augustus_masked-LMTL01000194.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.1&CDS=1-405, augustus_masked-LMTL01000194.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LMTL01000194.1-processed-gene-0.4&CDS=1-405	YER074W, YIL069C
OG0000058	augustus_masked-LMTL01000202.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000202.1-processed-gene-0.2&CDS=1-2829, augustus_masked-LMTL01000440.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LMTL01000440.1-processed-gene-0.2&CDS=1-678	YDR251W, YPL032C
OG0000059	augustus_masked-LMTL01000238.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LMTL01000238.1-processed-gene-0.18&CDS=1-693, augustus_masked-LMTL01000238.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000238.1-processed-gene-0.25&CDS=1-693	YER045C, YIL036W
OG0000060	augustus_masked-LMTL01000238.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LMTL01000238.1-processed-gene-0.15&CDS=1-3294, augustus_masked-LMTL01000238.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LMTL01000238.1-processed-gene-0.8&CDS=1-3294	YGR238C, YHR158C
OG0000061	augustus_masked-LMTL01000249.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LMTL01000249.1-processed-gene-0.35&CDS=1-1713	YOL055C, YPL258C, YPR121W
OG0000062	augustus_masked-LMTL01000251.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-LMTL01000251.1-processed-gene-0.25&CDS=1-315, augustus_masked-LMTL01000368.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LMTL01000368.1-processed-gene-0.1&CDS=1-315	YBR009C, YNL030W
OG0000063	maker-LMTL01000267.1-augustus-gene-0.52-mRNA-1_1&gene=maker-LMTL01000267.1-augustus-gene-0.52&CDS=1-1563	YDL246C, YJR159W, YLR070C
OG0000064	augustus_masked-LMTL01000268.1-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LMTL01000268.1-processed-gene-0.41&CDS=1-1206, augustus_masked-LMTL01000269.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-LMTL01000269.1-processed-gene-0.9&CDS=1-1170	YHR179W, YPL171C
