	Metschnikowia_lockheadii	Saccharomyces_cerevisiae
OG0000010	genemark-loc-_s218-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_s218-processed-gene-0.0&CDS=1-1722, snap_masked-loc-_s382-processed-gene-1.98-mRNA-1_1&gene=snap_masked-loc-_s382-processed-gene-1.98&CDS=1-1737, snap_masked-loc-_s493-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s493-processed-gene-0.2&CDS=1-1788, snap_masked-loc-_s706-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s706-processed-gene-0.18&CDS=1-1833	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000011		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000012	genemark-loc-_s409-processed-gene-0.36-mRNA-1_1&gene=genemark-loc-_s409-processed-gene-0.36&CDS=1-645, snap_masked-loc-_s108-processed-gene-0.88-mRNA-1_1&gene=snap_masked-loc-_s108-processed-gene-0.88&CDS=1-693, snap_masked-loc-_s445-processed-gene-1.25-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.25&CDS=1-693, snap_masked-loc-_s636-processed-gene-0.63-mRNA-1_1&gene=snap_masked-loc-_s636-processed-gene-0.63&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
OG0000013	augustus_masked-loc-_s117-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-loc-_s117-processed-gene-0.29&CDS=1-2784, genemark-loc-_s493-processed-gene-0.174-mRNA-1_1&gene=genemark-loc-_s493-processed-gene-0.174&CDS=1-2226, snap_masked-loc-_s400-processed-gene-1.102-mRNA-1_1&gene=snap_masked-loc-_s400-processed-gene-1.102&CDS=1-2265, snap_masked-loc-_s49-processed-gene-1.70-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-1.70&CDS=1-1773, snap_masked-loc-_s561-processed-gene-0.103-mRNA-1_1&gene=snap_masked-loc-_s561-processed-gene-0.103&CDS=1-2262, snap_masked-loc-_s585-processed-gene-0.103-mRNA-1_1&gene=snap_masked-loc-_s585-processed-gene-0.103&CDS=1-1797	YJR061W, YKL201C
OG0000014	genemark-loc-_s365-processed-gene-0.11-mRNA-1_1&gene=genemark-loc-_s365-processed-gene-0.11&CDS=1-966, genemark-loc-_s602-processed-gene-0.37-mRNA-1_1&gene=genemark-loc-_s602-processed-gene-0.37&CDS=1-957, maker-loc-_s88-snap-gene-0.2-mRNA-1_1&gene=maker-loc-_s88-snap-gene-0.2&CDS=1-1185, snap_masked-loc-_s156-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s156-processed-gene-0.2&CDS=1-342	YBL068W, YER099C, YHL011C, YOL061W
OG0000015	snap_masked-loc-_s195-processed-gene-2.95-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-2.95&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000016	augustus_masked-loc-_C36449-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_C36449-processed-gene-0.0&CDS=1-855, augustus_masked-loc-_s184-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-loc-_s184-processed-gene-0.1&CDS=1-720, augustus_masked-loc-_s567-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-loc-_s567-processed-gene-0.4&CDS=1-258, genemark-loc-_C31455-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_C31455-processed-gene-0.0&CDS=1-183, genemark-loc-_C36161-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_C36161-processed-gene-0.0&CDS=1-738, genemark-loc-_C39731-processed-gene-0.3-mRNA-1_1&gene=genemark-loc-_C39731-processed-gene-0.3&CDS=1-2412, snap_masked-loc-_s421-processed-gene-0.53-mRNA-1_1&gene=snap_masked-loc-_s421-processed-gene-0.53&CDS=1-1968	
OG0000017	augustus_masked-loc-_C37279-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_C37279-processed-gene-0.2&CDS=1-600, augustus_masked-loc-_C40451-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-loc-_C40451-processed-gene-0.2&CDS=1-2871, augustus_masked-loc-_s365-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-loc-_s365-processed-gene-0.16&CDS=1-3930, augustus_masked-loc-_s536-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-loc-_s536-processed-gene-0.10&CDS=1-1434, snap_masked-loc-_s157-processed-gene-0.39-mRNA-1_1&gene=snap_masked-loc-_s157-processed-gene-0.39&CDS=1-972, snap_masked-loc-_s464-processed-gene-0.11-mRNA-1_1&gene=snap_masked-loc-_s464-processed-gene-0.11&CDS=1-789	YPR049C
OG0000018	augustus_masked-loc-_s201-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-loc-_s201-processed-gene-0.20&CDS=1-663, snap_masked-loc-_s101-processed-gene-0.94-mRNA-1_1&gene=snap_masked-loc-_s101-processed-gene-0.94&CDS=1-561, snap_masked-loc-_s331-processed-gene-0.113-mRNA-1_1&gene=snap_masked-loc-_s331-processed-gene-0.113&CDS=1-594, snap_masked-loc-_s445-processed-gene-1.6-mRNA-1_1&gene=snap_masked-loc-_s445-processed-gene-1.6&CDS=1-930	YKR055W, YNL090W, YPR165W
OG0000019	snap_masked-loc-_s103-processed-gene-2.64-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-2.64&CDS=1-540, snap_masked-loc-_s108-processed-gene-1.45-mRNA-1_1&gene=snap_masked-loc-_s108-processed-gene-1.45&CDS=1-486, snap_masked-loc-_s244-processed-gene-2.102-mRNA-1_1&gene=snap_masked-loc-_s244-processed-gene-2.102&CDS=1-618, snap_masked-loc-_s314-processed-gene-0.119-mRNA-1_1&gene=snap_masked-loc-_s314-processed-gene-0.119&CDS=1-1092	YDR155C, YDR304C, YLR216C
OG0000020	snap_masked-loc-_s103-processed-gene-3.68-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-3.68&CDS=1-1722, snap_masked-loc-_s114-processed-gene-0.64-mRNA-1_1&gene=snap_masked-loc-_s114-processed-gene-0.64&CDS=1-1437, snap_masked-loc-_s18-processed-gene-2.147-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-2.147&CDS=1-1668	YBR298C, YDL247W, YGR289C, YJR160C
OG0000021	snap_masked-loc-_s108-processed-gene-0.71-mRNA-1_1&gene=snap_masked-loc-_s108-processed-gene-0.71&CDS=1-2007, snap_masked-loc-_s18-processed-gene-4.66-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-4.66&CDS=1-1914, snap_masked-loc-_s657-processed-gene-0.42-mRNA-1_1&gene=snap_masked-loc-_s657-processed-gene-0.42&CDS=1-1632, snap_masked-loc-_s682-processed-gene-1.43-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-1.43&CDS=1-2082, snap_masked-loc-_s84-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s84-processed-gene-0.2&CDS=1-1974	YBR015C, YJL186W
OG0000022	maker-loc-_s382-augustus-gene-1.173-mRNA-1_1&gene=maker-loc-_s382-augustus-gene-1.173&CDS=1-2349, snap_masked-loc-_s204-processed-gene-0.75-mRNA-1_1&gene=snap_masked-loc-_s204-processed-gene-0.75&CDS=1-2601, snap_masked-loc-_s351-processed-gene-0.14-mRNA-1_1&gene=snap_masked-loc-_s351-processed-gene-0.14&CDS=1-4164	YCL024W, YDR477W, YDR507C, YPL150W
OG0000023	augustus_masked-loc-_C32875-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-loc-_C32875-processed-gene-0.0&CDS=1-336, genemark-loc-_s305-processed-gene-0.27-mRNA-1_1&gene=genemark-loc-_s305-processed-gene-0.27&CDS=1-1086, snap_masked-loc-_s18-processed-gene-2.108-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-2.108&CDS=1-1548, snap_masked-loc-_s493-processed-gene-0.25-mRNA-1_1&gene=snap_masked-loc-_s493-processed-gene-0.25&CDS=1-2040, snap_masked-loc-_s65-processed-gene-0.12-mRNA-1_1&gene=snap_masked-loc-_s65-processed-gene-0.12&CDS=1-2226	YKR034W
OG0000024	genemark-loc-_s373-processed-gene-0.0-mRNA-1_1&gene=genemark-loc-_s373-processed-gene-0.0&CDS=1-1038, snap_masked-loc-_C39953-processed-gene-0.1-mRNA-1_1&gene=snap_masked-loc-_C39953-processed-gene-0.1&CDS=1-1080, snap_masked-loc-_s203-processed-gene-0.9-mRNA-1_1&gene=snap_masked-loc-_s203-processed-gene-0.9&CDS=1-1089, snap_masked-loc-_s655-processed-gene-0.45-mRNA-1_1&gene=snap_masked-loc-_s655-processed-gene-0.45&CDS=1-1098	YCR105W, YMR318C
OG0000025	maker-loc-_C40399-snap-gene-0.1-mRNA-1_1&gene=maker-loc-_C40399-snap-gene-0.1&CDS=1-1647, snap_masked-loc-_s103-processed-gene-0.53-mRNA-1_1&gene=snap_masked-loc-_s103-processed-gene-0.53&CDS=1-1686, snap_masked-loc-_s682-processed-gene-0.57-mRNA-1_1&gene=snap_masked-loc-_s682-processed-gene-0.57&CDS=1-2754	YBR237W, YDR243C, YNL112W
OG0000026	genemark-loc-_s101-processed-gene-0.201-mRNA-1_1&gene=genemark-loc-_s101-processed-gene-0.201&CDS=1-3057, maker-loc-_s582-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s582-snap-gene-0.0&CDS=1-2520, snap_masked-loc-_s491-processed-gene-0.7-mRNA-1_1&gene=snap_masked-loc-_s491-processed-gene-0.7&CDS=1-3093	YBR245C, YFR038W, YOR304W
OG0000027	augustus_masked-loc-_s388-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-loc-_s388-processed-gene-0.4&CDS=1-2058, maker-loc-_s103-snap-gene-1.131-mRNA-1_1&gene=maker-loc-_s103-snap-gene-1.131&CDS=1-1989, snap_masked-loc-_s475-processed-gene-0.2-mRNA-1_1&gene=snap_masked-loc-_s475-processed-gene-0.2&CDS=1-1374	YBR118W, YKR084C, YPR080W
OG0000028	genemark-loc-_s103-processed-gene-1.108-mRNA-1_1&gene=genemark-loc-_s103-processed-gene-1.108&CDS=1-2829, snap_masked-loc-_s377-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s377-processed-gene-0.28&CDS=1-2994	YFR040W, YGL229C, YJL098W, YKR028W
OG0000029	augustus_masked-loc-_s147-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-loc-_s147-processed-gene-0.3&CDS=1-2574, genemark-loc-_s218-processed-gene-0.5-mRNA-1_1&gene=genemark-loc-_s218-processed-gene-0.5&CDS=1-2055, snap_masked-loc-_s388-processed-gene-0.95-mRNA-1_1&gene=snap_masked-loc-_s388-processed-gene-0.95&CDS=1-2664	YLL005C, YMR266W, YOL084W
OG0000030	maker-loc-_s88-snap-gene-0.3-mRNA-1_1&gene=maker-loc-_s88-snap-gene-0.3&CDS=1-1779, snap_masked-loc-_s17-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s17-processed-gene-0.18&CDS=1-2367, snap_masked-loc-_s677-processed-gene-0.15-mRNA-1_1&gene=snap_masked-loc-_s677-processed-gene-0.15&CDS=1-2208	YDL025C, YNL183C, YOR267C
OG0000031	maker-loc-_s18-snap-gene-2.52-mRNA-1_1&gene=maker-loc-_s18-snap-gene-2.52&CDS=1-201, maker-loc-_s670-snap-gene-0.0-mRNA-1_1&gene=maker-loc-_s670-snap-gene-0.0&CDS=1-204	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000032	snap_masked-loc-_s18-processed-gene-5.80-mRNA-1_1&gene=snap_masked-loc-_s18-processed-gene-5.80&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000033	genemark-loc-_s244-processed-gene-1.136-mRNA-1_1&gene=genemark-loc-_s244-processed-gene-1.136&CDS=1-2394, snap_masked-loc-_s195-processed-gene-1.31-mRNA-1_1&gene=snap_masked-loc-_s195-processed-gene-1.31&CDS=1-1470, snap_masked-loc-_s49-processed-gene-0.51-mRNA-1_1&gene=snap_masked-loc-_s49-processed-gene-0.51&CDS=1-2118	YGR249W, YHR206W, YOR140W
OG0000034	snap_masked-loc-_s228-processed-gene-0.28-mRNA-1_1&gene=snap_masked-loc-_s228-processed-gene-0.28&CDS=1-918, snap_masked-loc-_s232-processed-gene-0.97-mRNA-1_1&gene=snap_masked-loc-_s232-processed-gene-0.97&CDS=1-1065, snap_masked-loc-_s549-processed-gene-0.116-mRNA-1_1&gene=snap_masked-loc-_s549-processed-gene-0.116&CDS=1-942	YDL047W, YDR075W, YNR032W
OG0000035	snap_masked-loc-_s254-processed-gene-0.26-mRNA-1_1&gene=snap_masked-loc-_s254-processed-gene-0.26&CDS=1-2691, snap_masked-loc-_s360-processed-gene-0.0-mRNA-1_1&gene=snap_masked-loc-_s360-processed-gene-0.0&CDS=1-1731, snap_masked-loc-_s692-processed-gene-0.15-mRNA-1_1&gene=snap_masked-loc-_s692-processed-gene-0.15&CDS=1-1692	YDR160W, YOR348C, YPL265W
OG0000036	genemark-loc-_s318-processed-gene-0.6-mRNA-1_1&gene=genemark-loc-_s318-processed-gene-0.6&CDS=1-1653, snap_masked-loc-_s36-processed-gene-0.18-mRNA-1_1&gene=snap_masked-loc-_s36-processed-gene-0.18&CDS=1-1752	YDR342C, YDR343C, YDR345C, YHR092C
