	Lachancea_cidri	Saccharomyces_cerevisiae
OG0000010	snap_masked-LACI0A-processed-gene-1.1-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-1.1&CDS=1-1398, snap_masked-LACI0B-processed-gene-4.32-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-4.32&CDS=1-1398, snap_masked-LACI0E-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-3.63&CDS=1-1398, snap_masked-LACI0G-processed-gene-0.100-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.100&CDS=1-1419	YAR071W, YBR092C, YBR093C, YHR215W
OG0000011	maker-LACI0F-augustus-gene-16.7-mRNA-1_1&gene=maker-LACI0F-augustus-gene-16.7&CDS=1-6948, snap_masked-LACI0D-processed-gene-3.138-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-3.138&CDS=1-1653, snap_masked-LACI0D-processed-gene-3.139-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-3.139&CDS=1-5703, snap_masked-LACI0F-processed-gene-16.207-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.207&CDS=1-1629	YLR342W, YLR343W, YMR306W, YMR307W
OG0000012	augustus_masked-LACI0B-processed-gene-4.116-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-4.116&CDS=1-2229, augustus_masked-LACI0G-processed-gene-21.130-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-21.130&CDS=1-2235, genemark-LACI0E-processed-gene-2.8-mRNA-1_1&gene=genemark-LACI0E-processed-gene-2.8&CDS=1-2145, snap_masked-LACI0A-processed-gene-0.77-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-0.77&CDS=1-1830	YKL222C, YOR162C, YOR172W
OG0000013	maker-LACI0C-snap-gene-5.153-mRNA-1_1&gene=maker-LACI0C-snap-gene-5.153&CDS=1-1866, snap_masked-LACI0C-processed-gene-5.72-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-5.72&CDS=1-1812, snap_masked-LACI0G-processed-gene-0.86-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.86&CDS=1-1845, snap_masked-LACI0G-processed-gene-4.28-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-4.28&CDS=1-1860	YBL042C, YBR021W, YIR028W
OG0000014	maker-LACI0E-snap-gene-7.173-mRNA-1_1&gene=maker-LACI0E-snap-gene-7.173&CDS=1-5025, snap_masked-LACI0D-processed-gene-8.83-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.83&CDS=1-1737, snap_masked-LACI0E-processed-gene-6.122-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-6.122&CDS=1-1734, snap_masked-LACI0F-processed-gene-2.110-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-2.110&CDS=1-1731, snap_masked-LACI0G-processed-gene-17.83-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.83&CDS=1-1716	YJL172W, YOL153C
OG0000015		YBL111C, YEL075C, YER189W, YFL064C, YHL049C, YLR462W, YPR202W
OG0000016	augustus_masked-LACI0A-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-LACI0A-processed-gene-1.51&CDS=1-1062, snap_masked-LACI0B-processed-gene-3.21-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.21&CDS=1-1053, snap_masked-LACI0F-processed-gene-5.111-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-5.111&CDS=1-1053, snap_masked-LACI0G-processed-gene-13.114-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-13.114&CDS=1-1128	YMR303C, YOL086C
OG0000017	snap_masked-LACI0A-processed-gene-2.9-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.9&CDS=1-990, snap_masked-LACI0B-processed-gene-3.49-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.49&CDS=1-990, snap_masked-LACI0G-processed-gene-2.109-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-2.109&CDS=1-990	YGR192C, YJL052W, YJR009C
OG0000018	maker-LACI0F-augustus-gene-0.83-mRNA-1_1&gene=maker-LACI0F-augustus-gene-0.83&CDS=1-1617, maker-LACI0G-augustus-gene-0.36-mRNA-1_1&gene=maker-LACI0G-augustus-gene-0.36&CDS=1-1617, snap_masked-LACI0B-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.42&CDS=1-1824, snap_masked-LACI0E-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-0.0&CDS=1-1827, snap_masked-LACI0F-processed-gene-16.212-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.212&CDS=1-1824	YBR298C
OG0000019	augustus_masked-LACI0E-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-0.37&CDS=1-1032, snap_masked-LACI0B-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.44&CDS=1-1032, snap_masked-LACI0D-processed-gene-0.5-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-0.5&CDS=1-1023, snap_masked-LACI0G-processed-gene-21.112-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.112&CDS=1-1032	YDR541C, YOL151W
OG0000020	snap_masked-LACI0B-processed-gene-1.92-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-1.92&CDS=1-1554, snap_masked-LACI0G-processed-gene-16.52-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.52&CDS=1-1350	YIR013C, YLR013W, YMR136W, YPL021W
OG0000021	maker-LACI0F-snap-gene-6.80-mRNA-1_1&gene=maker-LACI0F-snap-gene-6.80&CDS=1-933, snap_masked-LACI0C-processed-gene-4.103-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-4.103&CDS=1-1962, snap_masked-LACI0G-processed-gene-17.90-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-17.90&CDS=1-1512	YER133W, YML016C, YPL179W
OG0000022	augustus_masked-LACI0D-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-4.5&CDS=1-1146, augustus_masked-LACI0H-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-LACI0H-processed-gene-7.115&CDS=1-930, snap_masked-LACI0F-processed-gene-7.45-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-7.45&CDS=1-1200, snap_masked-LACI0G-processed-gene-16.79-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.79&CDS=1-984, snap_masked-LACI0G-processed-gene-18.84-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-18.84&CDS=1-567	YIL119C
OG0000023	snap_masked-LACI0E-processed-gene-4.53-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-4.53&CDS=1-1707, snap_masked-LACI0F-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-0.7&CDS=1-1656, snap_masked-LACI0F-processed-gene-9.3-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-9.3&CDS=1-1755, snap_masked-LACI0G-processed-gene-21.85-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.85&CDS=1-1656, snap_masked-LACI0H-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-0.87&CDS=1-1650	YDR242W
OG0000024	snap_masked-LACI0A-processed-gene-0.76-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-0.76&CDS=1-1869, snap_masked-LACI0A-processed-gene-1.4-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-1.4&CDS=1-1854, snap_masked-LACI0D-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-0.6&CDS=1-1830	YHL040C, YHL047C
OG0000025	snap_masked-LACI0A-processed-gene-0.88-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-0.88&CDS=1-1131, snap_masked-LACI0D-processed-gene-0.20-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-0.20&CDS=1-1131, snap_masked-LACI0E-processed-gene-10.122-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-10.122&CDS=1-1131	YDL243C, YNL331C
OG0000026	snap_masked-LACI0A-processed-gene-1.38-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-1.38&CDS=1-1692, snap_masked-LACI0C-processed-gene-3.63-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-3.63&CDS=1-1689, snap_masked-LACI0F-processed-gene-9.9-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-9.9&CDS=1-1860	YDL080C, YLR044C
OG0000027	snap_masked-LACI0A-processed-gene-2.40-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.40&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000028	snap_masked-LACI0B-processed-gene-3.18-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.18&CDS=1-1545, snap_masked-LACI0F-processed-gene-16.160-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-16.160&CDS=1-1584, snap_masked-LACI0H-processed-gene-13.79-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-13.79&CDS=1-1464	YBR139W, YMR297W
OG0000029	maker-LACI0C-snap-gene-7.140-mRNA-1_1&gene=maker-LACI0C-snap-gene-7.140&CDS=1-960, snap_masked-LACI0E-processed-gene-10.121-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-10.121&CDS=1-963, snap_masked-LACI0G-processed-gene-21.88-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.88&CDS=1-972, snap_masked-LACI0G-processed-gene-21.89-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.89&CDS=1-2397	YCR098C
OG0000030	augustus_masked-LACI0H-processed-gene-10.32-mRNA-1_1&gene=augustus_masked-LACI0H-processed-gene-10.32&CDS=1-1725, snap_masked-LACI0D-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-0.23&CDS=1-2034, snap_masked-LACI0H-processed-gene-1.120-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-1.120&CDS=1-1860	YFR057W, YLR098C
OG0000031	augustus_masked-LACI0H-processed-gene-21.130-mRNA-1_1&gene=augustus_masked-LACI0H-processed-gene-21.130&CDS=1-1737, maker-LACI0E-augustus-gene-5.55-mRNA-1_1&gene=maker-LACI0E-augustus-gene-5.55&CDS=1-3486, snap_masked-LACI0D-processed-gene-7.73-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.73&CDS=1-1701, snap_masked-LACI0G-processed-gene-21.113-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.113&CDS=1-1674	YDL210W
OG0000032	augustus_masked-LACI0E-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-0.47&CDS=1-2721, augustus_masked-LACI0F-processed-gene-16.101-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-16.101&CDS=1-4728, snap_masked-LACI0G-processed-gene-15.99-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-15.99&CDS=1-2886	YAL051W, YOR363C
OG0000033	maker-LACI0E-snap-gene-2.196-mRNA-1_1&gene=maker-LACI0E-snap-gene-2.196&CDS=1-13107	YCL069W, YGR224W, YKR105C, YPR198W
OG0000034	snap_masked-LACI0E-processed-gene-6.97-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-6.97&CDS=1-1080, snap_masked-LACI0F-processed-gene-14.35-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-14.35&CDS=1-1335	YIL123W, YKR042W, YNL066W
OG0000035	snap_masked-LACI0E-processed-gene-10.115-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-10.115&CDS=1-738, snap_masked-LACI0E-processed-gene-8.20-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-8.20&CDS=1-456, snap_masked-LACI0F-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-0.9&CDS=1-345, snap_masked-LACI0G-processed-gene-21.110-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-21.110&CDS=1-468	YCR097W
OG0000036	augustus_masked-LACI0F-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-6.53&CDS=1-6855, snap_masked-LACI0G-processed-gene-0.87-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-0.87&CDS=1-1254	YER132C, YGL196W, YGL197W
OG0000037	snap_masked-LACI0G-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-3.50&CDS=1-684	YDR533C, YMR322C, YOR391C, YPL280W
OG0000038	snap_masked-LACI0G-processed-gene-16.78-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-16.78&CDS=1-5112	YAR066W, YHR214W, YIL169C, YOL155C
OG0000039	maker-LACI0H-snap-gene-8.0-mRNA-1_1&gene=maker-LACI0H-snap-gene-8.0&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000040	snap_masked-LACI0H-processed-gene-13.96-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-13.96&CDS=1-4500	YBL017C, YIL173W, YJL222W, YNR065C
OG0000041	snap_masked-LACI0A-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-0.98&CDS=1-1485, snap_masked-LACI0A-processed-gene-1.12-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-1.12&CDS=1-1524, snap_masked-LACI0D-processed-gene-10.104-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-10.104&CDS=1-1548	YGR260W
OG0000042	augustus_masked-LACI0A-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-LACI0A-processed-gene-1.85&CDS=1-2028, genemark-LACI0G-processed-gene-0.4-mRNA-1_1&gene=genemark-LACI0G-processed-gene-0.4&CDS=1-2073, genemark-LACI0G-processed-gene-12.3-mRNA-1_1&gene=genemark-LACI0G-processed-gene-12.3&CDS=1-2724, snap_masked-LACI0D-processed-gene-3.114-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-3.114&CDS=1-1017	
OG0000043	maker-LACI0G-snap-gene-14.93-mRNA-1_1&gene=maker-LACI0G-snap-gene-14.93&CDS=1-3528, snap_masked-LACI0A-processed-gene-1.48-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-1.48&CDS=1-2262	YAL023C, YGR199W
OG0000044	augustus_masked-LACI0C-processed-gene-7.165-mRNA-1_1&gene=augustus_masked-LACI0C-processed-gene-7.165&CDS=1-1572, snap_masked-LACI0A-processed-gene-2.15-mRNA-1_1&gene=snap_masked-LACI0A-processed-gene-2.15&CDS=1-1560	YGR177C, YOR377W
OG0000045	maker-LACI0A-augustus-gene-2.234-mRNA-1_1&gene=maker-LACI0A-augustus-gene-2.234&CDS=1-3630, snap_masked-LACI0H-processed-gene-15.56-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-15.56&CDS=1-2067	YKR001C, YLL001W
OG0000046	augustus_masked-LACI0B-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LACI0B-processed-gene-0.5&CDS=1-1323, snap_masked-LACI0B-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-0.43&CDS=1-1323, snap_masked-LACI0H-processed-gene-0.85-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-0.85&CDS=1-1323	YJL213W
OG0000047	maker-LACI0B-augustus-gene-1.144-mRNA-1_1&gene=maker-LACI0B-augustus-gene-1.144&CDS=1-1713, snap_masked-LACI0C-processed-gene-0.68-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-0.68&CDS=1-1002	YDL078C, YKL085W
OG0000048	snap_masked-LACI0B-processed-gene-2.106-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-2.106&CDS=1-1533, snap_masked-LACI0D-processed-gene-9.74-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-9.74&CDS=1-1575	YBR020W, YDR009W
OG0000049	snap_masked-LACI0B-processed-gene-3.11-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.11&CDS=1-309, snap_masked-LACI0F-processed-gene-13.104-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-13.104&CDS=1-309	YBR009C, YNL030W
OG0000050	snap_masked-LACI0B-processed-gene-3.40-mRNA-1_1&gene=snap_masked-LACI0B-processed-gene-3.40&CDS=1-1806, snap_masked-LACI0E-processed-gene-8.28-mRNA-1_1&gene=snap_masked-LACI0E-processed-gene-8.28&CDS=1-1671	YBR015C, YJL186W
OG0000051	maker-LACI0C-snap-gene-0.96-mRNA-1_1&gene=maker-LACI0C-snap-gene-0.96&CDS=1-1242, snap_masked-LACI0G-processed-gene-9.138-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-9.138&CDS=1-1242	YKL081W, YPL048W
OG0000052	augustus_masked-LACI0C-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-LACI0C-processed-gene-5.142&CDS=1-4962, augustus_masked-LACI0F-processed-gene-8.129-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-8.129&CDS=1-4878	YDR420W, YGR013W
OG0000053	augustus_masked-LACI0F-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-LACI0F-processed-gene-7.103&CDS=1-8337, snap_masked-LACI0C-processed-gene-6.135-mRNA-1_1&gene=snap_masked-LACI0C-processed-gene-6.135&CDS=1-1497	YGL016W, YGL202W
OG0000054	genemark-LACI0D-processed-gene-10.34-mRNA-1_1&gene=genemark-LACI0D-processed-gene-10.34&CDS=1-5853, maker-LACI0D-snap-gene-0.40-mRNA-1_1&gene=maker-LACI0D-snap-gene-0.40&CDS=1-4452, maker-LACI0E-augustus-gene-0.69-mRNA-1_1&gene=maker-LACI0E-augustus-gene-0.69&CDS=1-6153	YJR004C
OG0000055	snap_masked-LACI0D-processed-gene-1.5-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-1.5&CDS=1-1623	YER056C, YER060W, YER060W-A
OG0000056	augustus_masked-LACI0D-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-1.70&CDS=1-4566, augustus_masked-LACI0G-processed-gene-10.93-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-10.93&CDS=1-7197	YBR200W, YIL039W
OG0000057	snap_masked-LACI0D-processed-gene-2.87-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-2.87&CDS=1-951, snap_masked-LACI0G-processed-gene-13.158-mRNA-1_1&gene=snap_masked-LACI0G-processed-gene-13.158&CDS=1-924	YGR086C, YPL004C
OG0000058	maker-LACI0D-snap-gene-4.43-mRNA-1_1&gene=maker-LACI0D-snap-gene-4.43&CDS=1-2559, snap_masked-LACI0D-processed-gene-8.93-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-8.93&CDS=1-1467	YBR263W, YLR058C
OG0000059	augustus_masked-LACI0D-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-6.38&CDS=1-2823, snap_masked-LACI0D-processed-gene-6.67-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-6.67&CDS=1-2670	YJR061W, YKL201C
OG0000060	augustus_masked-LACI0G-processed-gene-3.19-mRNA-1_1&gene=augustus_masked-LACI0G-processed-gene-3.19&CDS=1-1275, snap_masked-LACI0D-processed-gene-7.83-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-7.83&CDS=1-1233	YDL066W, YLR174W
OG0000061	maker-LACI0D-augustus-gene-8.149-mRNA-1_1&gene=maker-LACI0D-augustus-gene-8.149&CDS=1-1677, snap_masked-LACI0F-processed-gene-8.74-mRNA-1_1&gene=snap_masked-LACI0F-processed-gene-8.74&CDS=1-1209	YGR012W, YJL063C
OG0000062	genemark-LACI0D-processed-gene-9.135-mRNA-1_1&gene=genemark-LACI0D-processed-gene-9.135&CDS=1-3741, snap_masked-LACI0H-processed-gene-17.106-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-17.106&CDS=1-2229	YER017C, YMR089C
OG0000063	augustus_masked-LACI0D-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-LACI0D-processed-gene-9.35&CDS=1-624	YFL060C, YMR095C, YNL334C
OG0000064	augustus_masked-LACI0H-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-LACI0H-processed-gene-5.80&CDS=1-4569, snap_masked-LACI0D-processed-gene-10.60-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-10.60&CDS=1-2832	YBR038W, YNL192W
OG0000065	maker-LACI0H-augustus-gene-15.105-mRNA-1_1&gene=maker-LACI0H-augustus-gene-15.105&CDS=1-2106, snap_masked-LACI0D-processed-gene-10.61-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-10.61&CDS=1-1179	YBR025C, YHL014C
OG0000066	snap_masked-LACI0D-processed-gene-10.99-mRNA-1_1&gene=snap_masked-LACI0D-processed-gene-10.99&CDS=1-2454, snap_masked-LACI0H-processed-gene-14.44-mRNA-1_1&gene=snap_masked-LACI0H-processed-gene-14.44&CDS=1-2907	YHL007C, YNL298W
OG0000067	augustus_masked-LACI0E-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LACI0E-processed-gene-0.57&CDS=1-2823, genemark-LACI0H-processed-gene-1.10-mRNA-1_1&gene=genemark-LACI0H-processed-gene-1.10&CDS=1-3309	YBL063W, YEL061C
