	Saccharomyces_cerevisiae	yHAB164_Kazachstania_aerobia
OG0000010	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
OG0000011	YBR009C, YNL030W	augustus_masked-scf7180000019752-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000019752-processed-gene-0.1&CDS=1-309, augustus_masked-scf7180000020184-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-scf7180000020184-processed-gene-0.119&CDS=1-309, genemark-scf7180000019970-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000019970-processed-gene-0.2&CDS=1-309, genemark-scf7180000020125-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020125-processed-gene-0.12&CDS=1-309
OG0000012	YCL067C, YCR039C, YCR096C	genemark-scf7180000019915-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000019915-processed-gene-0.1&CDS=1-597, genemark-scf7180000019968-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000019968-processed-gene-0.16&CDS=1-597, genemark-scf7180000020223-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-0.48&CDS=1-597
OG0000013	YER056C, YER060W, YER060W-A	genemark-scf7180000019974-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.36&CDS=1-1605, genemark-scf7180000019974-processed-gene-0.42-mRNA-1_1&gene=genemark-scf7180000019974-processed-gene-0.42&CDS=1-1593, genemark-scf7180000020091-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000020091-processed-gene-0.5&CDS=1-1617
OG0000014	YGR192C, YJR009C	genemark-scf7180000019975-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000019975-processed-gene-0.4&CDS=1-996, genemark-scf7180000020105-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000020105-processed-gene-0.39&CDS=1-996, genemark-scf7180000020137-processed-gene-0.52-mRNA-1_1&gene=genemark-scf7180000020137-processed-gene-0.52&CDS=1-996, genemark-scf7180000020178-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020178-processed-gene-0.66&CDS=1-996
OG0000015	YLR323C	augustus_masked-scf7180000020134-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-scf7180000020134-processed-gene-0.131&CDS=1-1890, augustus_masked-scf7180000020216-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-scf7180000020216-processed-gene-0.199&CDS=1-2097, genemark-scf7180000020120-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000020120-processed-gene-0.22&CDS=1-2379, snap_masked-scf7180000020120-processed-gene-0.62-mRNA-1_1&gene=snap_masked-scf7180000020120-processed-gene-0.62&CDS=1-1830, snap_masked-scf7180000020134-processed-gene-0.41-mRNA-1_1&gene=snap_masked-scf7180000020134-processed-gene-0.41&CDS=1-1890
OG0000016	YAR002C-A, YGL002W	augustus_masked-scf7180000019826-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000019826-processed-gene-0.1&CDS=1-597, genemark-scf7180000019875-processed-gene-0.8-mRNA-1_1&gene=genemark-scf7180000019875-processed-gene-0.8&CDS=1-657, snap_masked-scf7180000019825-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000019825-processed-gene-0.0&CDS=1-603
OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	genemark-scf7180000020128-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000020128-processed-gene-0.50&CDS=1-5127
OG0000018	YCL066W, YCR040W	snap_masked-scf7180000019915-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000019915-processed-gene-0.2&CDS=1-390, snap_masked-scf7180000019968-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000019968-processed-gene-0.14&CDS=1-390, snap_masked-scf7180000020223-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000020223-processed-gene-0.21&CDS=1-390
OG0000019	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000020143-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-scf7180000020143-processed-gene-0.141&CDS=1-2094, genemark-scf7180000020084-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000020084-processed-gene-0.25&CDS=1-1116
OG0000020	YDR406W, YOR153W	augustus_masked-scf7180000020070-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000020070-processed-gene-0.0&CDS=1-1551, augustus_masked-scf7180000020207-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000020207-processed-gene-0.44&CDS=1-4785, genemark-scf7180000020224-processed-gene-0.88-mRNA-1_1&gene=genemark-scf7180000020224-processed-gene-0.88&CDS=1-4500
OG0000021	YER008C, YNL233W	augustus_masked-scf7180000019859-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019859-processed-gene-0.2&CDS=1-942, augustus_masked-scf7180000020226-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.12&CDS=1-4200, augustus_masked-scf7180000020228-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-scf7180000020228-processed-gene-2.142&CDS=1-3309
OG0000022	YER011W, YOR009W, YOR010C	augustus_masked-scf7180000020169-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-scf7180000020169-processed-gene-0.151&CDS=1-1074, augustus_masked-scf7180000020226-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000020226-processed-gene-0.6&CDS=1-729
OG0000023	YGR197C, YJR015W	genemark-scf7180000020184-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000020184-processed-gene-0.29&CDS=1-1677, genemark-scf7180000020184-processed-gene-0.3-mRNA-1_1&gene=genemark-scf7180000020184-processed-gene-0.3&CDS=1-1773, maker-scf7180000020109-snap-gene-0.77-mRNA-1_1&gene=maker-scf7180000020109-snap-gene-0.77&CDS=1-3021
OG0000024	YJL109C	augustus_masked-scf7180000019823-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019823-processed-gene-0.2&CDS=1-1647, augustus_masked-scf7180000019972-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000019972-processed-gene-0.15&CDS=1-2871, snap_masked-scf7180000019814-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000019814-processed-gene-0.2&CDS=1-1224, snap_masked-scf7180000019822-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000019822-processed-gene-0.1&CDS=1-1434
OG0000025	YLR342W, YMR306W	augustus_masked-scf7180000020216-processed-gene-0.219-mRNA-1_1&gene=augustus_masked-scf7180000020216-processed-gene-0.219&CDS=1-5652, genemark-scf7180000020106-processed-gene-0.139-mRNA-1_1&gene=genemark-scf7180000020106-processed-gene-0.139&CDS=1-5982, genemark-scf7180000020114-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000020114-processed-gene-0.44&CDS=1-4950
OG0000026	YML111W, YMR275C	genemark-scf7180000020127-processed-gene-0.53-mRNA-1_1&gene=genemark-scf7180000020127-processed-gene-0.53&CDS=1-2745, maker-scf7180000020127-snap-gene-0.68-mRNA-1_1&gene=maker-scf7180000020127-snap-gene-0.68&CDS=1-5760, maker-scf7180000020213-snap-gene-1.91-mRNA-1_1&gene=maker-scf7180000020213-snap-gene-1.91&CDS=1-2673
OG0000027	YMR259C	augustus_masked-scf7180000019816-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000019816-processed-gene-0.0&CDS=1-1536, augustus_masked-scf7180000019984-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000019984-processed-gene-0.8&CDS=1-2064, augustus_masked-scf7180000020097-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000020097-processed-gene-0.23&CDS=1-3771, snap_masked-scf7180000019815-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000019815-processed-gene-0.1&CDS=1-939
OG0000028	YOR162C, YOR172W	augustus_masked-scf7180000020193-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.20&CDS=1-2358, augustus_masked-scf7180000020193-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000020193-processed-gene-0.21&CDS=1-2346, snap_masked-scf7180000020193-processed-gene-0.206-mRNA-1_1&gene=snap_masked-scf7180000020193-processed-gene-0.206&CDS=1-2562
OG0000029	YOR229W, YOR230W, YPL139C	augustus_masked-scf7180000020185-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000020185-processed-gene-0.12&CDS=1-1398, maker-scf7180000020222-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000020222-snap-gene-0.6&CDS=1-2559
OG0000030	YOR231W, YPL140C, YPL141C	genemark-scf7180000020185-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020185-processed-gene-0.66&CDS=1-2484, maker-scf7180000020222-snap-gene-0.7-mRNA-1_1&gene=maker-scf7180000020222-snap-gene-0.7&CDS=1-4056
OG0000031		augustus_masked-scf7180000020172-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000020172-processed-gene-0.2&CDS=1-1125, augustus_masked-scf7180000020209-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000020209-processed-gene-0.6&CDS=1-1947, snap_masked-scf7180000020028-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000020028-processed-gene-0.2&CDS=1-567, snap_masked-scf7180000020226-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scf7180000020226-processed-gene-0.56&CDS=1-393, snap_masked-scf7180000020230-processed-gene-0.88-mRNA-1_1&gene=snap_masked-scf7180000020230-processed-gene-0.88&CDS=1-669
OG0000032	YAL056W, YOR371C	augustus_masked-scf7180000020071-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000020071-processed-gene-0.31&CDS=1-2697, augustus_masked-scf7180000020081-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000020081-processed-gene-0.1&CDS=1-4725
OG0000033	YAR003W	augustus_masked-scf7180000019825-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000019825-processed-gene-0.5&CDS=1-1050, genemark-scf7180000019826-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000019826-processed-gene-0.4&CDS=1-1050, genemark-scf7180000020216-processed-gene-0.148-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.148&CDS=1-1395
OG0000034	YAR042W, YDL019C	genemark-scf7180000020109-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000020109-processed-gene-0.43&CDS=1-4068, genemark-scf7180000020147-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000020147-processed-gene-0.48&CDS=1-3627
OG0000035	YBL005W, YGL013C	augustus_masked-scf7180000020120-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000020120-processed-gene-0.92&CDS=1-2820, maker-scf7180000020120-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000020120-augustus-gene-0.1&CDS=1-3663
OG0000036	YBL067C, YER098W	snap_masked-scf7180000020063-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000020063-processed-gene-0.1&CDS=1-2124, snap_masked-scf7180000020168-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000020168-processed-gene-0.27&CDS=1-2514
OG0000037	YBL085W, YER114C	genemark-scf7180000020221-processed-gene-0.16-mRNA-1_1&gene=genemark-scf7180000020221-processed-gene-0.16&CDS=1-2844, genemark-scf7180000020231-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000020231-processed-gene-0.110&CDS=1-3063
OG0000038	YBR008C	augustus_masked-scf7180000020192-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000020192-processed-gene-0.19&CDS=1-3063, genemark-scf7180000020179-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000020179-processed-gene-0.0&CDS=1-1632, genemark-scf7180000020201-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000020201-processed-gene-0.71&CDS=1-1620
OG0000039	YBR015C, YJL186W	genemark-scf7180000020147-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000020147-processed-gene-0.55&CDS=1-1734, genemark-scf7180000020223-processed-gene-1.22-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-1.22&CDS=1-2298
OG0000040	YBR024W, YBR037C	genemark-scf7180000020137-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000020137-processed-gene-0.48&CDS=1-909, genemark-scf7180000020147-processed-gene-0.46-mRNA-1_1&gene=genemark-scf7180000020147-processed-gene-0.46&CDS=1-885
OG0000041	YBR059C, YBR061C	augustus_masked-scf7180000020201-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000020201-processed-gene-0.7&CDS=1-6975, genemark-scf7180000020133-processed-gene-0.56-mRNA-1_1&gene=genemark-scf7180000020133-processed-gene-0.56&CDS=1-2655
OG0000042	YBR068C, YDR046C	genemark-scf7180000020133-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000020133-processed-gene-0.48&CDS=1-1833, maker-scf7180000020156-snap-gene-0.45-mRNA-1_1&gene=maker-scf7180000020156-snap-gene-0.45&CDS=1-3609
OG0000043	YBR108W	augustus_masked-scf7180000019863-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019863-processed-gene-0.2&CDS=1-1734, augustus_masked-scf7180000019910-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000019910-processed-gene-0.2&CDS=1-1191, augustus_masked-scf7180000020116-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000020116-processed-gene-0.10&CDS=1-1659
OG0000044	YBR117C, YPR074C	genemark-scf7180000020065-processed-gene-0.18-mRNA-1_1&gene=genemark-scf7180000020065-processed-gene-0.18&CDS=1-2037, genemark-scf7180000020134-processed-gene-0.44-mRNA-1_1&gene=genemark-scf7180000020134-processed-gene-0.44&CDS=1-2055
OG0000045	YBR189W, YPL081W	augustus_masked-scf7180000020227-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000020227-processed-gene-0.2&CDS=1-573, genemark-scf7180000020135-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000020135-processed-gene-0.15&CDS=1-573
OG0000046	YBR197C, YPL077C	augustus_masked-scf7180000020135-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000020135-processed-gene-0.9&CDS=1-1290, snap_masked-scf7180000020227-processed-gene-0.122-mRNA-1_1&gene=snap_masked-scf7180000020227-processed-gene-0.122&CDS=1-876
OG0000047	YBR218C, YGL062W	genemark-scf7180000020016-processed-gene-0.12-mRNA-1_1&gene=genemark-scf7180000020016-processed-gene-0.12&CDS=1-3537, genemark-scf7180000020169-processed-gene-0.109-mRNA-1_1&gene=genemark-scf7180000020169-processed-gene-0.109&CDS=1-3519
OG0000048	YCL040W, YDR516C	genemark-scf7180000020223-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000020223-processed-gene-0.58&CDS=1-1491, genemark-scf7180000020228-processed-gene-3.191-mRNA-1_1&gene=genemark-scf7180000020228-processed-gene-3.191&CDS=1-1497
OG0000049	YCR091W, YNR047W	augustus_masked-scf7180000020159-processed-gene-0.164-mRNA-1_1&gene=augustus_masked-scf7180000020159-processed-gene-0.164&CDS=1-3933, genemark-scf7180000020141-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000020141-processed-gene-0.79&CDS=1-2667
OG0000050	YCR106W, YLL054C	augustus_masked-scf7180000019978-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000019978-processed-gene-0.5&CDS=1-2709, augustus_masked-scf7180000020159-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-scf7180000020159-processed-gene-0.168&CDS=1-2709
OG0000051	YDL082W, YMR142C	genemark-scf7180000020191-processed-gene-0.72-mRNA-1_1&gene=genemark-scf7180000020191-processed-gene-0.72&CDS=1-597, snap_masked-scf7180000020212-processed-gene-0.76-mRNA-1_1&gene=snap_masked-scf7180000020212-processed-gene-0.76&CDS=1-597
OG0000052	YDL109C, YGL144C	genemark-scf7180000020216-processed-gene-0.115-mRNA-1_1&gene=genemark-scf7180000020216-processed-gene-0.115&CDS=1-1764, maker-scf7180000020211-snap-gene-0.38-mRNA-1_1&gene=maker-scf7180000020211-snap-gene-0.38&CDS=1-3177
OG0000053	YDL131W, YDL182W	genemark-scf7180000020168-processed-gene-0.104-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.104&CDS=1-1320, snap_masked-scf7180000020163-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000020163-processed-gene-0.19&CDS=1-1275
OG0000054	YDL138W, YDL194W	genemark-scf7180000020163-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-0.66&CDS=1-2784, genemark-scf7180000020168-processed-gene-0.110-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.110&CDS=1-2685
OG0000055	YDL161W, YLR206W	genemark-scf7180000020163-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020163-processed-gene-0.59&CDS=1-2064, genemark-scf7180000020168-processed-gene-0.119-mRNA-1_1&gene=genemark-scf7180000020168-processed-gene-0.119&CDS=1-1365
OG0000056	YDR038C, YDR039C, YDR040C	genemark-scf7180000020133-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000020133-processed-gene-0.55&CDS=1-3297
OG0000057	YDR107C, YLR083C	augustus_masked-scf7180000019812-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000019812-processed-gene-0.0&CDS=1-1041, maker-scf7180000020188-augustus-gene-1.145-mRNA-1_1&gene=maker-scf7180000020188-augustus-gene-1.145&CDS=1-2268
OG0000058	YDR111C, YLR089C	genemark-scf7180000020146-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000020146-processed-gene-0.78&CDS=1-1476, genemark-scf7180000020188-processed-gene-1.114-mRNA-1_1&gene=genemark-scf7180000020188-processed-gene-1.114&CDS=1-1767
OG0000059	YDR135C, YLL015W	augustus_masked-scf7180000020167-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000020167-processed-gene-0.13&CDS=1-4047, genemark-scf7180000020211-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000020211-processed-gene-0.59&CDS=1-4629
