	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
OG0000010	genemark-BBIL01000007.1-processed-gene-0.4-mRNA-1_1&gene=genemark-BBIL01000007.1-processed-gene-0.4&CDS=1-408, genemark-BBIL01000028.1-processed-gene-0.1-mRNA-1_1&gene=genemark-BBIL01000028.1-processed-gene-0.1&CDS=1-408, maker-BBIL01000006.1-snap-gene-0.6-mRNA-1_1&gene=maker-BBIL01000006.1-snap-gene-0.6&CDS=1-459, maker-BBIL01000007.1-snap-gene-0.2-mRNA-1_1&gene=maker-BBIL01000007.1-snap-gene-0.2&CDS=1-486, snap_masked-BBIL01000027.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-BBIL01000027.1-processed-gene-0.14&CDS=1-408, snap_masked-BBIL01000027.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-BBIL01000027.1-processed-gene-0.15&CDS=1-408, snap_masked-BBIL01000028.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-BBIL01000028.1-processed-gene-0.2&CDS=1-408	Q0250
OG0000011	genemark-BBIL01000010.1-processed-gene-7.128-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-7.128&CDS=1-1698, maker-BBIL01000010.1-augustus-gene-7.47-mRNA-1_1&gene=maker-BBIL01000010.1-augustus-gene-7.47&CDS=1-5022, maker-BBIL01000010.1-snap-gene-7.43-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-7.43&CDS=1-1692, snap_masked-BBIL01000029.1-processed-gene-8.10-mRNA-1_1&gene=snap_masked-BBIL01000029.1-processed-gene-8.10&CDS=1-1587	YDR342C, YDR343C, YHR092C, YNL318C
OG0000012	genemark-BBIL01000001.1-processed-gene-16.42-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.42&CDS=1-1857, snap_masked-BBIL01000001.1-processed-gene-16.137-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-16.137&CDS=1-1842, snap_masked-BBIL01000001.1-processed-gene-6.74-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-6.74&CDS=1-1797, snap_masked-BBIL01000003.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-BBIL01000003.1-processed-gene-0.5&CDS=1-1842, snap_masked-BBIL01000008.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-BBIL01000008.1-processed-gene-2.46&CDS=1-1857	YHL040C, YHL047C
OG0000013	augustus_masked-BBIL01000004.1-processed-gene-3.0-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-3.0&CDS=1-204, snap_masked-BBIL01000001.1-processed-gene-8.69-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.69&CDS=1-2568, snap_masked-BBIL01000004.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.63&CDS=1-750, snap_masked-BBIL01000004.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.65&CDS=1-204, snap_masked-BBIL01000004.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.66&CDS=1-1230, snap_masked-BBIL01000004.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-2.67&CDS=1-1629, snap_masked-BBIL01000029.1-processed-gene-1.6-mRNA-1_1&gene=snap_masked-BBIL01000029.1-processed-gene-1.6&CDS=1-1011	
OG0000014	augustus_masked-BBIL01000020.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-BBIL01000020.1-processed-gene-0.15&CDS=1-561, genemark-BBIL01000001.1-processed-gene-16.71-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.71&CDS=1-1467, genemark-BBIL01000003.1-processed-gene-0.11-mRNA-1_1&gene=genemark-BBIL01000003.1-processed-gene-0.11&CDS=1-1467, genemark-BBIL01000004.1-processed-gene-15.294-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.294&CDS=1-1464, genemark-BBIL01000019.1-processed-gene-0.15-mRNA-1_1&gene=genemark-BBIL01000019.1-processed-gene-0.15&CDS=1-1464, genemark-BBIL01000021.1-processed-gene-0.8-mRNA-1_1&gene=genemark-BBIL01000021.1-processed-gene-0.8&CDS=1-1407	YNR058W
OG0000015	genemark-BBIL01000001.1-processed-gene-16.44-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.44&CDS=1-684, genemark-BBIL01000003.1-processed-gene-0.8-mRNA-1_1&gene=genemark-BBIL01000003.1-processed-gene-0.8&CDS=1-684, genemark-BBIL01000004.1-processed-gene-15.248-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.248&CDS=1-684, genemark-BBIL01000019.1-processed-gene-0.10-mRNA-1_1&gene=genemark-BBIL01000019.1-processed-gene-0.10&CDS=1-684, genemark-BBIL01000020.1-processed-gene-0.1-mRNA-1_1&gene=genemark-BBIL01000020.1-processed-gene-0.1&CDS=1-684, genemark-BBIL01000021.1-processed-gene-0.6-mRNA-1_1&gene=genemark-BBIL01000021.1-processed-gene-0.6&CDS=1-684	YNR057C
OG0000016	augustus_masked-BBIL01000029.1-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-BBIL01000029.1-processed-gene-1.117&CDS=1-2133, augustus_masked-BBIL01000029.1-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-BBIL01000029.1-processed-gene-1.119&CDS=1-2232, genemark-BBIL01000004.1-processed-gene-0.6-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-0.6&CDS=1-1767, snap_masked-BBIL01000029.1-processed-gene-1.30-mRNA-1_1&gene=snap_masked-BBIL01000029.1-processed-gene-1.30&CDS=1-2229	YER001W, YGL257C, YNR059W
OG0000017	augustus_masked-BBIL01000035.1-processed-gene-8.161-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-8.161&CDS=1-597, augustus_masked-BBIL01000035.1-processed-gene-8.162-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-8.162&CDS=1-591, augustus_masked-BBIL01000035.1-processed-gene-8.163-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-8.163&CDS=1-585, snap_masked-BBIL01000004.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-1.38&CDS=1-609, snap_masked-BBIL01000004.1-processed-gene-1.39-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-1.39&CDS=1-582, snap_masked-BBIL01000004.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-BBIL01000004.1-processed-gene-1.40&CDS=1-585, snap_masked-BBIL01000035.1-processed-gene-8.96-mRNA-1_1&gene=snap_masked-BBIL01000035.1-processed-gene-8.96&CDS=1-435	
OG0000018	genemark-BBIL01000004.1-processed-gene-3.129-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-3.129&CDS=1-1137, genemark-BBIL01000008.1-processed-gene-2.33-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-2.33&CDS=1-1044, genemark-BBIL01000008.1-processed-gene-5.51-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-5.51&CDS=1-1044, genemark-BBIL01000029.1-processed-gene-6.79-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-6.79&CDS=1-1125	YMR083W, YMR303C, YOL086C
OG0000019	maker-BBIL01000007.1-snap-gene-0.0-mRNA-1_1&gene=maker-BBIL01000007.1-snap-gene-0.0&CDS=1-360, maker-BBIL01000007.1-snap-gene-0.1-mRNA-1_1&gene=maker-BBIL01000007.1-snap-gene-0.1&CDS=1-360, snap_masked-BBIL01000006.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-BBIL01000006.1-processed-gene-0.11&CDS=1-231, snap_masked-BBIL01000006.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-BBIL01000006.1-processed-gene-0.8&CDS=1-231, snap_masked-BBIL01000007.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-BBIL01000007.1-processed-gene-0.11&CDS=1-231	Q0105, Q0120
OG0000020	maker-BBIL01000011.1-snap-gene-0.2-mRNA-1_1&gene=maker-BBIL01000011.1-snap-gene-0.2&CDS=1-237, maker-BBIL01000011.1-snap-gene-0.4-mRNA-1_1&gene=maker-BBIL01000011.1-snap-gene-0.4&CDS=1-651, maker-BBIL01000011.1-snap-gene-0.5-mRNA-1_1&gene=maker-BBIL01000011.1-snap-gene-0.5&CDS=1-201, maker-BBIL01000012.1-snap-gene-0.1-mRNA-1_1&gene=maker-BBIL01000012.1-snap-gene-0.1&CDS=1-237	Q0045, Q0065, Q0070
OG0000021	genemark-BBIL01000001.1-processed-gene-16.11-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-16.11&CDS=1-1854, genemark-BBIL01000008.1-processed-gene-2.43-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-2.43&CDS=1-1860	YBR068C, YCL025C, YDR046C, YDR508C
OG0000022	augustus_masked-BBIL01000004.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-0.82&CDS=1-2217, augustus_masked-BBIL01000035.1-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-1.41&CDS=1-2151, genemark-BBIL01000023.1-processed-gene-1.2-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-1.2&CDS=1-2082, genemark-BBIL01000035.1-processed-gene-8.68-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-8.68&CDS=1-2193, snap_masked-BBIL01000035.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-BBIL01000035.1-processed-gene-2.0&CDS=1-2118	YLR214W
OG0000023	genemark-BBIL01000004.1-processed-gene-4.115-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-4.115&CDS=1-1662, genemark-BBIL01000010.1-processed-gene-1.33-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-1.33&CDS=1-1794, genemark-BBIL01000029.1-processed-gene-0.60-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-0.60&CDS=1-1749	YLR237W, YOR071C, YOR192C
OG0000024	genemark-BBIL01000004.1-processed-gene-14.60-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-14.60&CDS=1-2037, genemark-BBIL01000004.1-processed-gene-9.48-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-9.48&CDS=1-1920, genemark-BBIL01000029.1-processed-gene-7.126-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-7.126&CDS=1-1950	YER103W, YJL034W, YLL024C
OG0000025	genemark-BBIL01000005.1-processed-gene-2.50-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-2.50&CDS=1-933, genemark-BBIL01000005.1-processed-gene-7.78-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-7.78&CDS=1-1518, genemark-BBIL01000008.1-processed-gene-13.110-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-13.110&CDS=1-2022	YER133W, YML016C, YPL179W
OG0000026	maker-BBIL01000010.1-snap-gene-10.1-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.1&CDS=1-234, maker-BBIL01000010.1-snap-gene-10.2-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.2&CDS=1-234, maker-BBIL01000010.1-snap-gene-10.4-mRNA-1_1&gene=maker-BBIL01000010.1-snap-gene-10.4&CDS=1-234, maker-BBIL01000014.1-snap-gene-0.8-mRNA-1_1&gene=maker-BBIL01000014.1-snap-gene-0.8&CDS=1-234, maker-BBIL01000015.1-snap-gene-0.6-mRNA-1_1&gene=maker-BBIL01000015.1-snap-gene-0.6&CDS=1-234	YLR154W-E
OG0000027	genemark-BBIL01000023.1-processed-gene-0.53-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-0.53&CDS=1-1209, genemark-BBIL01000023.1-processed-gene-11.34-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-11.34&CDS=1-1170	YIL123W, YJL116C, YKR042W, YNL066W
OG0000028		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000029	genemark-BBIL01000001.1-processed-gene-3.82-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-3.82&CDS=1-1872, genemark-BBIL01000035.1-processed-gene-1.120-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-1.120&CDS=1-1902	YBL042C, YBR021W, YIR028W
OG0000030	augustus_masked-BBIL01000001.1-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-14.13&CDS=1-4116, augustus_masked-BBIL01000005.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-BBIL01000005.1-processed-gene-0.84&CDS=1-1203, snap_masked-BBIL01000001.1-processed-gene-16.108-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-16.108&CDS=1-504, snap_masked-BBIL01000002.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-BBIL01000002.1-processed-gene-0.1&CDS=1-3972	YJL207C
OG0000031	snap_masked-BBIL01000001.1-processed-gene-14.78-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-14.78&CDS=1-675, snap_masked-BBIL01000001.1-processed-gene-16.134-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-16.134&CDS=1-675	YCL067C, YCR039C, YCR096C
OG0000032	maker-BBIL01000001.1-snap-gene-14.1-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-14.1&CDS=1-1737, maker-BBIL01000002.1-snap-gene-0.15-mRNA-1_1&gene=maker-BBIL01000002.1-snap-gene-0.15&CDS=1-1737, snap_masked-BBIL01000001.1-processed-gene-16.135-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-16.135&CDS=1-585, snap_masked-BBIL01000005.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-BBIL01000005.1-processed-gene-0.29&CDS=1-393	YNL243W
OG0000033	genemark-BBIL01000004.1-processed-gene-0.5-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-0.5&CDS=1-828, genemark-BBIL01000004.1-processed-gene-2.91-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-2.91&CDS=1-831, genemark-BBIL01000035.1-processed-gene-8.67-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-8.67&CDS=1-822	YCR010C, YNR002C
OG0000034	genemark-BBIL01000004.1-processed-gene-0.37-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-0.37&CDS=1-4701	YBL017C, YIL173W, YJL222W, YNR065C
OG0000035	augustus_masked-BBIL01000035.1-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-BBIL01000035.1-processed-gene-5.34&CDS=1-3684, genemark-BBIL01000004.1-processed-gene-8.104-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-8.104&CDS=1-3768, genemark-BBIL01000010.1-processed-gene-8.69-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-8.69&CDS=1-2529	YDL037C, YIR019C
OG0000036	augustus_masked-BBIL01000008.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-BBIL01000008.1-processed-gene-0.71&CDS=1-2988, genemark-BBIL01000004.1-processed-gene-15.246-mRNA-1_1&gene=genemark-BBIL01000004.1-processed-gene-15.246&CDS=1-1671, genemark-BBIL01000010.1-processed-gene-7.91-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-7.91&CDS=1-1734, genemark-BBIL01000029.1-processed-gene-6.83-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-6.83&CDS=1-1710	YDR242W
OG0000037	genemark-BBIL01000005.1-processed-gene-6.67-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-6.67&CDS=1-1305, genemark-BBIL01000008.1-processed-gene-7.124-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-7.124&CDS=1-2127	YER130C, YKL062W, YMR037C
OG0000038	genemark-BBIL01000005.1-processed-gene-13.62-mRNA-1_1&gene=genemark-BBIL01000005.1-processed-gene-13.62&CDS=1-1197	YBR297W, YFL052W, YGR288W, YPR196W
OG0000039	genemark-BBIL01000008.1-processed-gene-0.41-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-0.41&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
OG0000040	genemark-BBIL01000008.1-processed-gene-5.65-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-5.65&CDS=1-987, genemark-BBIL01000029.1-processed-gene-1.69-mRNA-1_1&gene=genemark-BBIL01000029.1-processed-gene-1.69&CDS=1-993	YGR192C, YJL052W, YJR009C
OG0000041	genemark-BBIL01000008.1-processed-gene-13.125-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-13.125&CDS=1-702, genemark-BBIL01000010.1-processed-gene-0.36-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-0.36&CDS=1-702, genemark-BBIL01000021.1-processed-gene-0.11-mRNA-1_1&gene=genemark-BBIL01000021.1-processed-gene-0.11&CDS=1-702, genemark-BBIL01000022.1-processed-gene-0.9-mRNA-1_1&gene=genemark-BBIL01000022.1-processed-gene-0.9&CDS=1-702	YIR038C
OG0000042	maker-BBIL01000011.1-snap-gene-0.3-mRNA-1_1&gene=maker-BBIL01000011.1-snap-gene-0.3&CDS=1-828, maker-BBIL01000012.1-snap-gene-0.0-mRNA-1_1&gene=maker-BBIL01000012.1-snap-gene-0.0&CDS=1-717, maker-BBIL01000012.1-snap-gene-0.2-mRNA-1_1&gene=maker-BBIL01000012.1-snap-gene-0.2&CDS=1-606	Q0060, Q0075
OG0000043	genemark-BBIL01000023.1-processed-gene-6.125-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-6.125&CDS=1-1113, snap_masked-BBIL01000024.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-BBIL01000024.1-processed-gene-0.15&CDS=1-912	YCR102C, YLR460C, YNL134C
OG0000044		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000045	augustus_masked-BBIL01000004.1-processed-gene-10.28-mRNA-1_1&gene=augustus_masked-BBIL01000004.1-processed-gene-10.28&CDS=1-3663, genemark-BBIL01000001.1-processed-gene-1.65-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-1.65&CDS=1-1968	YIL039W, YPL074W
OG0000046	genemark-BBIL01000001.1-processed-gene-2.47-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-2.47&CDS=1-1188, genemark-BBIL01000035.1-processed-gene-0.81-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-0.81&CDS=1-1134	YFL039C, YHR129C
OG0000047	genemark-BBIL01000001.1-processed-gene-3.58-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-3.58&CDS=1-4728, genemark-BBIL01000008.1-processed-gene-4.108-mRNA-1_1&gene=genemark-BBIL01000008.1-processed-gene-4.108&CDS=1-4545	YDR135C, YLL015W
OG0000048	genemark-BBIL01000001.1-processed-gene-6.53-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.53&CDS=1-1620, genemark-BBIL01000023.1-processed-gene-9.54-mRNA-1_1&gene=genemark-BBIL01000023.1-processed-gene-9.54&CDS=1-1473	YBR139W, YMR297W
OG0000049	genemark-BBIL01000001.1-processed-gene-7.16-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.16&CDS=1-3546	YBL005W, YER184C, YGL013C
OG0000050	genemark-BBIL01000001.1-processed-gene-8.123-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.123&CDS=1-3243, genemark-BBIL01000035.1-processed-gene-6.87-mRNA-1_1&gene=genemark-BBIL01000035.1-processed-gene-6.87&CDS=1-3336	YER013W, YKR086W
OG0000051	genemark-BBIL01000001.1-processed-gene-9.100-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.100&CDS=1-1734, genemark-BBIL01000010.1-processed-gene-1.26-mRNA-1_1&gene=genemark-BBIL01000010.1-processed-gene-1.26&CDS=1-1749	YJL172W, YOL153C
