	Lachancea_meyersii	Saccharomyces_cerevisiae
OG0000014	augustus_masked-LAME0A-processed-gene-3.111-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.111&CDS=1-4461, augustus_masked-LAME0G-processed-gene-18.106-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-18.106&CDS=1-4578	YDR011W, YDR406W, YNR070W, YOR153W
OG0000015	augustus_masked-LAME0B-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.67&CDS=1-843, augustus_masked-LAME0D-processed-gene-8.15-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.15&CDS=1-993, snap_masked-LAME0A-processed-gene-6.152-mRNA-1_1&gene=snap_masked-LAME0A-processed-gene-6.152&CDS=1-999, snap_masked-LAME0A-processed-gene-6.153-mRNA-1_1&gene=snap_masked-LAME0A-processed-gene-6.153&CDS=1-1308, snap_masked-LAME0F-processed-gene-1.99-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-1.99&CDS=1-1323	YIL119C
OG0000016	augustus_masked-LAME0A-processed-gene-6.224-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.224&CDS=1-1407, augustus_masked-LAME0E-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-0.84&CDS=1-1416	YAR071W, YBR092C, YBR093C, YHR215W
OG0000017	augustus_masked-LAME0B-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.67&CDS=1-1566, augustus_masked-LAME0H-processed-gene-8.103-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-8.103&CDS=1-1563, maker-LAME0F-snap-gene-13.96-mRNA-1_1&gene=maker-LAME0F-snap-gene-13.96&CDS=1-1926	YER073W, YOR374W, YPL061W
OG0000018	augustus_masked-LAME0B-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.57&CDS=1-2871, genemark-LAME0H-processed-gene-0.52-mRNA-1_1&gene=genemark-LAME0H-processed-gene-0.52&CDS=1-2649	YAL051W, YCR106W, YLL054C, YOR363C
OG0000019	augustus_masked-LAME0D-processed-gene-10.198-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-10.198&CDS=1-1539, augustus_masked-LAME0F-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-4.37&CDS=1-1542, augustus_masked-LAME0G-processed-gene-19.182-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.182&CDS=1-1539, genemark-LAME0B-processed-gene-6.82-mRNA-1_1&gene=genemark-LAME0B-processed-gene-6.82&CDS=1-2211, genemark-LAME0B-processed-gene-7.118-mRNA-1_1&gene=genemark-LAME0B-processed-gene-7.118&CDS=1-1530	YDL194W
OG0000020	augustus_masked-LAME0C-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-8.50&CDS=1-1722, augustus_masked-LAME0H-processed-gene-11.131-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-11.131&CDS=1-1893, maker-LAME0H-augustus-gene-15.117-mRNA-1_1&gene=maker-LAME0H-augustus-gene-15.117&CDS=1-933	YER133W, YML016C, YPL179W
OG0000021	augustus_masked-LAME0D-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-4.107&CDS=1-2790, augustus_masked-LAME0D-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-4.89&CDS=1-3078, snap_masked-LAME0D-processed-gene-3.99-mRNA-1_1&gene=snap_masked-LAME0D-processed-gene-3.99&CDS=1-3339	YGR212W, YJR061W, YKL201C
OG0000022	augustus_masked-LAME0F-processed-gene-15.45-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-15.45&CDS=1-1557, augustus_masked-LAME0F-processed-gene-17.116-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-17.116&CDS=1-1398, genemark-LAME0D-processed-gene-8.70-mRNA-1_1&gene=genemark-LAME0D-processed-gene-8.70&CDS=1-1605	YHR050W, YLR034C, YOL122C
OG0000023	augustus_masked-LAME0F-processed-gene-17.124-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-17.124&CDS=1-1080, augustus_masked-LAME0H-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.14&CDS=1-1077	YDR541C, YGL039W, YGL157W, YOL151W
OG0000024		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000025	augustus_masked-LAME0A-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-0.46&CDS=1-756, augustus_masked-LAME0G-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-14.5&CDS=1-747, augustus_masked-LAME0H-processed-gene-16.48-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-16.48&CDS=1-756, snap_masked-LAME0B-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LAME0B-processed-gene-0.24&CDS=1-732	YKL071W
OG0000026	augustus_masked-LAME0C-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-7.2&CDS=1-1146, augustus_masked-LAME0E-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-0.83&CDS=1-1134, augustus_masked-LAME0F-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-0.4&CDS=1-1233, genemark-LAME0A-processed-gene-0.26-mRNA-1_1&gene=genemark-LAME0A-processed-gene-0.26&CDS=1-1155	YGL255W
OG0000027	augustus_masked-LAME0A-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-2.101&CDS=1-915, augustus_masked-LAME0D-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-2.24&CDS=1-924, augustus_masked-LAME0F-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-6.49&CDS=1-921	YDR368W, YOR120W
OG0000028	augustus_masked-LAME0A-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-2.112&CDS=1-2211, augustus_masked-LAME0G-processed-gene-19.161-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.161&CDS=1-1677, maker-LAME0H-augustus-gene-19.239-mRNA-1_1&gene=maker-LAME0H-augustus-gene-19.239&CDS=1-2136	YER040W, YKR034W
OG0000029	augustus_masked-LAME0A-processed-gene-6.216-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.216&CDS=1-2745, augustus_masked-LAME0F-processed-gene-14.13-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-14.13&CDS=1-3834	YDR326C, YFL042C, YHR080C
OG0000030	augustus_masked-LAME0C-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-1.128&CDS=1-1692, augustus_masked-LAME0H-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.18&CDS=1-1833	YDL080C, YLR044C, YLR134W
OG0000031	augustus_masked-LAME0C-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-2.129&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000032	augustus_masked-LAME0C-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.16&CDS=1-4560	YBL017C, YIL173W, YJL222W, YNR065C
OG0000033	augustus_masked-LAME0C-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-7.10&CDS=1-1272, snap_masked-LAME0F-processed-gene-17.34-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-17.34&CDS=1-1458	YIR013C, YLR013W, YMR136W
OG0000034	augustus_masked-LAME0D-processed-gene-3.141-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-3.141&CDS=1-1839, genemark-LAME0F-processed-gene-7.94-mRNA-1_1&gene=genemark-LAME0F-processed-gene-7.94&CDS=1-1959	YBL042C, YBR021W, YIR028W
OG0000035	maker-LAME0D-snap-gene-5.73-mRNA-1_1&gene=maker-LAME0D-snap-gene-5.73&CDS=1-3387, snap_masked-LAME0F-processed-gene-0.98-mRNA-1_1&gene=snap_masked-LAME0F-processed-gene-0.98&CDS=1-1452	YIL120W, YIL121W, YNL065W
OG0000036	augustus_masked-LAME0D-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-5.31&CDS=1-1332, augustus_masked-LAME0G-processed-gene-5.123-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-5.123&CDS=1-1044	YIL123W, YKR042W, YNL066W
OG0000037	augustus_masked-LAME0D-processed-gene-9.36-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-9.36&CDS=1-2418, snap_masked-LAME0H-processed-gene-15.7-mRNA-1_1&gene=snap_masked-LAME0H-processed-gene-15.7&CDS=1-2175	YKL222C, YOR162C, YOR172W
OG0000038	augustus_masked-LAME0E-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-8.30&CDS=1-993, augustus_masked-LAME0G-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-11.98&CDS=1-996	YGR192C, YJL052W, YJR009C
OG0000039	augustus_masked-LAME0F-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-6.14&CDS=1-2004, augustus_masked-LAME0G-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-3.104&CDS=1-1764, maker-LAME0G-snap-gene-11.44-mRNA-1_1&gene=maker-LAME0G-snap-gene-11.44&CDS=1-1800	YBR015C, YJL186W
OG0000040	augustus_masked-LAME0G-processed-gene-19.183-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.183&CDS=1-1704, augustus_masked-LAME0G-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-2.52&CDS=1-1719	YEL063C, YNL268W, YNL270C
OG0000041	augustus_masked-LAME0G-processed-gene-3.99-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-3.99&CDS=1-2772, augustus_masked-LAME0H-processed-gene-13.41-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-13.41&CDS=1-2445	YCR037C, YJL198W, YNR013C
OG0000042	augustus_masked-LAME0G-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.12&CDS=1-1113, augustus_masked-LAME0G-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.32&CDS=1-1041, augustus_masked-LAME0G-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-4.33&CDS=1-837	YJL158C, YJL160C
OG0000043	augustus_masked-LAME0G-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-6.6&CDS=1-2397, augustus_masked-LAME0G-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-7.24&CDS=1-2067	YDR144C, YLR120C, YLR121C
OG0000044	augustus_masked-LAME0G-processed-gene-11.97-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-11.97&CDS=1-1053, augustus_masked-LAME0G-processed-gene-16.19-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-16.19&CDS=1-1170, augustus_masked-LAME0H-processed-gene-16.55-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-16.55&CDS=1-1053	YMR303C, YOL086C
OG0000045	augustus_masked-LAME0G-processed-gene-19.184-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-19.184&CDS=1-513	YDR533C, YMR322C, YOR391C, YPL280W
OG0000046	augustus_masked-LAME0A-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-1.9&CDS=1-2349, augustus_masked-LAME0H-processed-gene-16.36-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-16.36&CDS=1-2709	YDR258C, YLL026W
OG0000047	augustus_masked-LAME0H-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-7.63&CDS=1-2148, snap_masked-LAME0A-processed-gene-2.50-mRNA-1_1&gene=snap_masked-LAME0A-processed-gene-2.50&CDS=1-3840	YIL039W, YPL074W
OG0000048	augustus_masked-LAME0A-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.122&CDS=1-948, augustus_masked-LAME0A-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-5.102&CDS=1-930	YGR086C, YPL004C
OG0000049	augustus_masked-LAME0A-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.130&CDS=1-2787, maker-LAME0F-augustus-gene-16.136-mRNA-1_1&gene=maker-LAME0F-augustus-gene-16.136&CDS=1-4527	YBR038W, YNL192W
OG0000050	augustus_masked-LAME0A-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-3.131&CDS=1-1179, augustus_masked-LAME0G-processed-gene-15.25-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-15.25&CDS=1-1251	YBR025C, YHL014C
OG0000051	augustus_masked-LAME0A-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-4.7&CDS=1-1188, augustus_masked-LAME0G-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-8.76&CDS=1-1797, snap_masked-LAME0C-processed-gene-0.86-mRNA-1_1&gene=snap_masked-LAME0C-processed-gene-0.86&CDS=1-1509	YDR119W
OG0000052	augustus_masked-LAME0A-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-5.76&CDS=1-2331, augustus_masked-LAME0G-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-3.114&CDS=1-2367	YJL200C, YLR304C
OG0000053	augustus_masked-LAME0H-processed-gene-19.183-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-19.183&CDS=1-2547, maker-LAME0A-snap-gene-5.73-mRNA-1_1&gene=maker-LAME0A-snap-gene-5.73&CDS=1-3225	YFR040W, YKR028W
OG0000054	augustus_masked-LAME0A-processed-gene-6.229-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.229&CDS=1-1095, augustus_masked-LAME0C-processed-gene-5.36-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-5.36&CDS=1-1080	YBL016W, YGR040W
OG0000055	augustus_masked-LAME0A-processed-gene-6.233-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.233&CDS=1-1641, augustus_masked-LAME0H-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-0.6&CDS=1-3261	YLR343W, YMR307W
OG0000056	augustus_masked-LAME0A-processed-gene-6.234-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.234&CDS=1-5736, augustus_masked-LAME0H-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-0.5&CDS=1-5289	YLR342W, YMR306W
OG0000057	augustus_masked-LAME0A-processed-gene-6.248-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.248&CDS=1-1407, augustus_masked-LAME0H-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-4.11&CDS=1-1479	YBR263W, YLR058C
OG0000058	augustus_masked-LAME0A-processed-gene-6.213-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.213&CDS=1-1125, augustus_masked-LAME0H-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-LAME0H-processed-gene-6.32&CDS=1-1149	YFL039C, YHR129C
OG0000059	augustus_masked-LAME0C-processed-gene-4.0-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-4.0&CDS=1-1881, maker-LAME0A-augustus-gene-6.185-mRNA-1_1&gene=maker-LAME0A-augustus-gene-6.185&CDS=1-4152	YLR069C, YMR058W
OG0000060	augustus_masked-LAME0A-processed-gene-6.269-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.269&CDS=1-1398, augustus_masked-LAME0F-processed-gene-19.49-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-19.49&CDS=1-1389, augustus_masked-LAME0F-processed-gene-19.50-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-19.50&CDS=1-1398	YHR018C
OG0000061	augustus_masked-LAME0A-processed-gene-6.225-mRNA-1_1&gene=augustus_masked-LAME0A-processed-gene-6.225&CDS=1-1524, augustus_masked-LAME0C-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-0.3&CDS=1-1641, augustus_masked-LAME0E-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-LAME0E-processed-gene-7.63&CDS=1-1668	YJR152W
OG0000062	augustus_masked-LAME0B-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-0.44&CDS=1-1005, snap_masked-LAME0G-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LAME0G-processed-gene-0.56&CDS=1-981	YCL064C, YIL167W
OG0000063	augustus_masked-LAME0G-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-8.55&CDS=1-1749, genemark-LAME0B-processed-gene-1.103-mRNA-1_1&gene=genemark-LAME0B-processed-gene-1.103&CDS=1-1992	YLR098C, YOR337W
OG0000064	augustus_masked-LAME0B-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-2.80&CDS=1-4719, augustus_masked-LAME0D-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.0&CDS=1-5577	YHR023W, YOR326W
OG0000065	augustus_masked-LAME0B-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-2.96&CDS=1-2229, augustus_masked-LAME0C-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-LAME0C-processed-gene-1.115&CDS=1-2247	YAL023C, YGR199W
OG0000066	augustus_masked-LAME0B-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.118&CDS=1-396, augustus_masked-LAME0D-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-LAME0D-processed-gene-8.18&CDS=1-396	YBL002W, YDR224C
OG0000067	augustus_masked-LAME0B-processed-gene-3.144-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.144&CDS=1-408, augustus_masked-LAME0G-processed-gene-12.22-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-12.22&CDS=1-408	YBR010W, YNL031C
OG0000068	augustus_masked-LAME0B-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-3.123&CDS=1-309, augustus_masked-LAME0G-processed-gene-12.44-mRNA-1_1&gene=augustus_masked-LAME0G-processed-gene-12.44&CDS=1-309	YBR009C, YNL030W
OG0000069	augustus_masked-LAME0B-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-LAME0B-processed-gene-4.49&CDS=1-1797, augustus_masked-LAME0F-processed-gene-10.127-mRNA-1_1&gene=augustus_masked-LAME0F-processed-gene-10.127&CDS=1-2358	YGL073W, YOR140W
