	Botrytis_cinerea	Saccharomyces_cerevisiae
OG0000030	XP_024553871.1, XP_024553872.1, XP_024553873.1, XP_024553874.1, XP_024553875.1	YGL246C
OG0000031	XP_001547137.1	YBR297W, YFL052W, YGR288W, YPR196W
OG0000032	XP_001547246.2, XP_001551566.1, XP_024550885.1	YGR141W, YPR157W
OG0000033	XP_001548997.1, XP_024546217.1, XP_024553198.1	YAL018C, YOL048C
OG0000034	XP_001550103.1, XP_024552803.1, XP_024552804.1, XP_024552805.1	YOL071W
OG0000035	XP_001552245.1	YCR107W, YDL243C, YJR155W, YNL331C
OG0000036	XP_001553132.1, XP_024552886.1, XP_024552887.1, XP_024552888.1	YOR042W
OG0000037	XP_001553531.1, XP_024546570.1	YLL062C, YMR321C, YPL273W
OG0000038	XP_001553687.1, XP_001560310.2, XP_024553210.1, XP_024553211.1	YMR244C-A
OG0000039	XP_001553699.2	YBL017C, YIL173W, YJL222W, YNR065C
OG0000040	XP_001557098.1, XP_024547290.1, XP_024547291.1	YCR018C, YPL021W
OG0000041	XP_001557541.1, XP_024548063.1, XP_024548362.1, XP_024552193.1	YIL099W
OG0000042	XP_001557755.1, XP_024548473.1, XP_024548474.1, XP_024548475.1	YNL006W
OG0000043	XP_001558670.1, XP_024549727.1, XP_024551695.1	YLR260W, YOR171C
OG0000044	XP_001561009.1, XP_024552337.1	YCR102C, YLR460C, YNL134C
OG0000045	XP_024546298.1, XP_024546299.1, XP_024546300.1, XP_024546301.1	YBL021C
OG0000046	XP_024546653.1, XP_024546654.1, XP_024546655.1, XP_024546656.1	YIL156W-B
OG0000047	XP_024546758.1, XP_024553328.1, XP_024553329.1	YDR034C, YML099C
OG0000048	XP_024546983.1	YDR541C, YGL039W, YGL157W, YOL151W
OG0000049	XP_024546984.1, XP_024546985.1, XP_024546986.1, XP_024546987.1	YOR140W
OG0000050	XP_024547333.1, XP_024547334.1, XP_024547335.1, XP_024547336.1	YBL016W
OG0000051	XP_024548353.1, XP_024548354.1, XP_024548355.1, XP_024552349.1	YKL128C
OG0000052	XP_024548408.1	YDL244W, YFL058W, YJR156C, YNL332W
OG0000053	XP_024548602.1, XP_024548603.1, XP_024548604.1, XP_024548605.1	YDR359C
OG0000054	XP_024548668.1, XP_024552266.1, XP_024552267.1, XP_024552268.1	YER041W
OG0000055	XP_024548812.1, XP_024548813.1, XP_024553287.1	YJR061W, YKL201C
OG0000056	XP_024548969.1	YDR533C, YMR322C, YOR391C, YPL280W
OG0000057	XP_024549209.1, XP_024549210.1, XP_024549211.1, XP_024549212.1	YPL204W
OG0000058	XP_024549386.1, XP_024549387.1, XP_024549388.1, XP_024549389.1	YPR176C
OG0000059	XP_024549629.1, XP_024549630.1, XP_024549631.1, XP_024549632.1	YHR077C
OG0000060	XP_024549864.1, XP_024549865.1, XP_024549866.1	YLR449W, YML074C
OG0000061	XP_024549877.1, XP_024549878.1, XP_024549879.1	YBL067C, YER098W
OG0000062	XP_024549953.1, XP_024549954.1, XP_024549955.1, XP_024549956.1	YJL197W
OG0000063	XP_024549994.1, XP_024549995.1, XP_024549996.1, XP_024549997.1	YPR022C
OG0000064	XP_024550116.1, XP_024550117.1, XP_024550118.1, XP_024550119.1	YAL021C
OG0000065	XP_024550261.1, XP_024550263.1, XP_024550265.1, XP_024550266.1	YNL011C
OG0000066	XP_024550303.1, XP_024550304.1, XP_024550305.1, XP_024550306.1	YNL016W
OG0000067	XP_024550692.1	YLR155C, YLR157C, YLR158C, YLR160C
OG0000068	XP_024550892.1, XP_024550893.1, XP_024550894.1, XP_024550895.1	YGL243W
OG0000069	XP_024551858.1, XP_024551859.1, XP_024551860.1	YBR089C-A, YPR052C
OG0000070	XP_024552479.1, XP_024552480.1, XP_024552481.1, XP_024552482.1	YER068W
OG0000071	XP_024552904.1, XP_024552905.1, XP_024552906.1, XP_024552907.1	YER179W
OG0000072	XP_024553509.1, XP_024553510.1, XP_024553511.1, XP_024553512.1	YNL256W
OG0000073	XP_024553867.1, XP_024553868.1, XP_024553869.1, XP_024553870.1	YOR164C
OG0000074	XP_024553946.1, XP_024553947.1, XP_024553948.1, XP_024553949.1	YDR293C
OG0000075	XP_024554047.1, XP_024554048.1, XP_024554049.1, XP_024554050.1	YIL048W
OG0000076	XP_001545274.2, XP_024553312.1	YDR458C, YML034W
OG0000077	XP_001545339.1, XP_024548532.1, XP_024549185.1	YOR246C
OG0000078	XP_001545586.2, XP_024551515.1	YIL131C, YNL068C
OG0000079	XP_001545898.2	YOR389W, YPL277C, YPL278C
OG0000080	XP_001546130.1, XP_024546627.1, XP_024546628.1	YNL278W
OG0000081	XP_001546223.1, XP_001556054.1, XP_024547750.1	YJR149W
OG0000082	XP_001547129.1	YLL052C, YLL053C, YPR192W
OG0000083	XP_001547251.1, XP_024545949.1	YDR500C, YLR185W
OG0000084	XP_001547583.1, XP_024552725.1, XP_024552726.1	YPL042C
OG0000085	XP_001548082.1, XP_024548947.1	YOR233W, YPL141C
OG0000086	XP_001548468.1, XP_024546121.1, XP_024549723.1	YDR402C
OG0000087	XP_001548555.1, XP_024546090.1	YDL130W-A, YDL181W
OG0000088	XP_001548842.1, XP_024547433.1, XP_024547434.1	YGL240W
OG0000089	XP_001549087.1, XP_024552915.1	YNL283C, YOL105C
OG0000090	XP_001550330.1, XP_024548572.1, XP_024552155.1	YKL033W-A
OG0000091	XP_001550535.1	YFL060C, YMR095C, YNL334C
OG0000092	XP_001550574.1	YGR087C, YLR044C, YLR134W
OG0000093	XP_001551485.1, XP_024549640.1	YDR379W, YOR127W
OG0000094	XP_001551575.2, XP_024550880.1	YGR136W, YPR154W
OG0000095	XP_001551786.1, XP_024551045.1	YBR118W, YPR080W
OG0000096	XP_001552077.1, XP_024548601.1	YHR133C, YNL156C
OG0000097	XP_001552211.1, XP_024552220.1	YDL025C, YNL183C
OG0000098	XP_001552367.1, XP_024550474.1	YJL084C, YKR021W
OG0000099	XP_001552398.1, XP_024547393.1	YBR183W, YPL087W
OG0000100	XP_001552418.1, XP_024551567.1, XP_024551568.1	YDR432W
OG0000101	XP_001552705.1, XP_001559149.1, XP_024553119.1	YDL170W
OG0000102	XP_001553102.1, XP_024552876.1, XP_024552877.1	YLR170C
OG0000103	XP_001553457.1, XP_024548883.1, XP_024550220.1	YKL184W
OG0000104	XP_001553666.1, XP_024551570.1, XP_024551953.1	YOR084W
OG0000105	XP_001553991.1, XP_024550399.1, XP_024550400.1	YDR419W
OG0000106	XP_001554840.1, XP_024548026.1, XP_024548027.1	YLR314C
OG0000107	XP_001554907.2, XP_024547988.1	YGR188C, YJL013C
OG0000108	XP_001555017.1	YDR144C, YLR120C, YLR121C
OG0000109	XP_001555572.1, XP_024545987.1	YMR183C, YPL232W
OG0000110	XP_001556213.2, XP_024549231.1	YEL041W, YJR049C
OG0000111	XP_001556508.2, XP_024546671.1	YDL022W, YOL059W
OG0000112	XP_001556517.2, XP_024546661.1, XP_024546662.1	YNL315C
OG0000113	XP_001559974.1	YER056C, YER060W, YER060W-A
OG0000114	XP_001560626.1, XP_024550913.1, XP_024550914.1	YHL032C
OG0000115	XP_001560633.1, XP_024547710.1, XP_024547711.1	YMR272C
OG0000116	XP_001560986.1, XP_024546529.1	YGR241C, YHR161C
OG0000117	XP_001561075.1, XP_024546478.1	YGR004W, YLR324W
OG0000118	XP_001561291.2	YMR006C, YMR008C, YOL011W
OG0000119	XP_024546043.1, XP_024546044.1	YBR273C, YJL048C
OG0000120	XP_024546271.1, XP_024549781.1, XP_024550674.1	YNL229C
OG0000121	XP_024546436.1, XP_024546437.1	YDR200C, YLR238W
OG0000122	XP_024546836.1, XP_024546837.1, XP_024546838.1	YHL022C
OG0000123	XP_024547069.1, XP_024547070.1, XP_024547071.1	YHR051W
OG0000124	XP_024547113.1, XP_024547114.1, XP_024547115.1	YBR082C
OG0000125	XP_024547220.1, XP_024547221.1	YCL011C, YNL004W
OG0000126	XP_024547251.1, XP_024547252.1	YGR279C, YMR305C
OG0000127	XP_024547264.1, XP_024547265.1, XP_024547266.1	YJL127C
OG0000128	XP_024547326.1, XP_024547359.1	YGL160W, YLR047C
OG0000129	XP_024547741.1, XP_024547742.1	YDR132C, YLR108C
OG0000130	XP_024547783.1, XP_024547784.1, XP_024547785.1	YLL029W
OG0000131	XP_024547872.1, XP_024547873.1	YGL049C, YGR162W
OG0000132	XP_024547899.1	YOL055C, YPL258C, YPR121W
OG0000133	XP_024548052.1, XP_024551967.1, XP_024551968.1	YJR062C
OG0000134	XP_024548086.1, XP_024548087.1	YBL056W, YER089C
OG0000135	XP_024548154.1	YBR078W, YDR055W, YDR522C
OG0000136	XP_024548421.1, XP_024548422.1, XP_024548423.1	YDR457W
OG0000137	XP_024548506.1	YBR298C, YDL247W, YJR160C
OG0000138	XP_024548564.1	YBL068W-A, YBL069W, YER101C
OG0000139	XP_024548588.1, XP_024548589.1, XP_024548590.1	YAL041W
OG0000140	XP_024549152.1, XP_024549153.1	YDR326C, YHR080C
OG0000141	XP_024549556.1, XP_024550614.1, XP_024550615.1	YDR371W
OG0000142	XP_024549601.1, XP_024549602.1, XP_024549603.1	YDR074W
OG0000143	XP_024549842.1	YER028C, YGL035C, YGL209W
OG0000144	XP_024549987.1, XP_024549988.1, XP_024549989.1	YGR144W
OG0000145	XP_024550017.1, XP_024550018.1, XP_024550019.1	YGL125W
OG0000146	XP_024550111.1, XP_024550112.1, XP_024550113.1	YKL045W
OG0000147	XP_024550129.1, XP_024550130.1, XP_024550131.1, XP_024550132.1	
OG0000148	XP_024550420.1, XP_024550421.1, XP_024550422.1	YML020W
OG0000149	XP_024550440.1, XP_024550441.1, XP_024550442.1	YMR293C
OG0000150	XP_024550453.1, XP_024550454.1	YHL017W, YKL039W
OG0000151	XP_024550466.1, XP_024550467.1	YDR253C, YPL038W
OG0000152	XP_024550623.1, XP_024551728.1	YCR106W, YLL054C
OG0000153	XP_024550824.1, XP_024550825.1, XP_024550826.1	YOR070C
OG0000154	XP_024551067.1, XP_024551068.1, XP_024551069.1	YMR043W
OG0000155	XP_024551347.1, XP_024551348.1	YAL017W, YOL045W
OG0000156	XP_024551472.1, XP_024551473.1, XP_024551474.1	YNL280C
OG0000157	XP_024551684.1, XP_024551685.1	YER062C, YIL053W
OG0000158	XP_024551803.1, XP_024551804.1, XP_024551805.1	YBR094W
OG0000159	XP_024551917.1, XP_024551918.1, XP_024551919.1	YHR205W
OG0000160	XP_024552333.1	YIL120W, YIL121W, YNL065W
OG0000161	XP_024552436.1, XP_024552437.1	YGL133W, YPL216W
OG0000162	XP_024552486.1, XP_024552487.1, XP_024552488.1	YKL010C
OG0000163	XP_024552977.1, XP_024552978.1, XP_024552979.1	YLR298C
OG0000164	XP_024553111.1, XP_024553112.1	YDL070W, YLR399C
OG0000165	XP_024553223.1, XP_024553224.1, XP_024553225.1	YOR014W
OG0000166	XP_024553281.1	YGR192C, YJL052W, YJR009C
OG0000167	XP_024553301.1, XP_024553302.1, XP_024553303.1	YDL171C
OG0000168	XP_024553483.1, XP_024553484.1, XP_024553485.1	YBR196C
OG0000169	XP_024553486.1, XP_024553487.1	YKL126W, YMR104C
OG0000170	XP_024553563.1	YDR038C, YDR039C, YDR040C
OG0000171	XP_024553712.1, XP_024553713.1	YGL096W, YPL177C
OG0000172	XP_024553937.1, XP_024553938.1	YLR284C, YOR180C
OG0000173		YCL069W, YGR224W, YKR105C, YPR198W
OG0000174	XP_001545203.1	YAR002C-A, YGL002W
OG0000175	XP_001545468.2, XP_024549279.1	YNL139C
OG0000176	XP_001545545.1	YJL105W, YKR029C
OG0000177	XP_001545649.1	YEL065W, YHL040C
OG0000178	XP_001545700.1	YER054C, YIL045W
OG0000179	XP_001545862.1	YHR203C, YJR145C
OG0000180	XP_001545868.2, XP_024546036.1	YMR074C
OG0000181	XP_001545990.2, XP_024547930.1	YEL038W
OG0000182	XP_001545997.2, XP_001547089.2	YBR204C
OG0000183	XP_001546001.1	YGL076C, YPL198W
OG0000184	XP_001546070.1	YJR091C, YPR042C
OG0000185	XP_001546114.2	YGR273C, YMR295C
OG0000186	XP_001546158.1	YMR230W, YOR293W
OG0000187	XP_001546239.1, XP_024548292.1	YNL129W
OG0000188	XP_001546444.1	YBR191W, YPL079W
OG0000189	XP_001546459.2, XP_001556488.1	YBR265W
OG0000190	XP_001546606.1	YGR209C, YLR043C
OG0000191	XP_001546621.2	YBR014C, YDL010W
OG0000192	XP_001546878.2, XP_024551959.1	YDR242W
OG0000193	XP_001546899.2, XP_024553633.1	YBR176W
OG0000194	XP_001546996.2, XP_024549821.1	YOR119C
OG0000195	XP_001547041.2	YML109W, YMR273C
OG0000196	XP_001547075.1	YKL141W, YMR118C
OG0000197	XP_001547158.1	YLR456W, YPR172W
OG0000198	XP_001547284.1	YBR054W, YDR033W
OG0000199	XP_001547292.1	YCR010C, YNR002C
OG0000200	XP_001547337.2	YBR033W, YKL038W
OG0000201	XP_001547400.1	YGR056W, YLR357W
OG0000202	XP_001547402.1	YBR104W, YPR058W
OG0000203	XP_001547434.1	YFL004W, YPL019C
OG0000204	XP_001547584.2	YBR241C, YGL104C
OG0000205	XP_001547602.1	YDR263C, YOR033C
OG0000206	XP_001547644.1, XP_024547014.1	YLL009C
OG0000207	XP_001547816.2, XP_024550725.1	YMR212C
OG0000208	XP_001547872.1	YFL034C-A, YLR061W
OG0000209	XP_001547873.1, XP_001560452.1	YDR276C
OG0000210	XP_001547995.1	YGR138C, YPR156C
OG0000211	XP_001547997.2	YBR214W, YGL056C
OG0000212	XP_001548041.1	YNL108C, YOR110W
OG0000213	XP_001548183.1	YCR052W, YNR023W
OG0000214	XP_001548264.1	YER185W, YGR213C
OG0000215	XP_001548308.2	YNL293W, YOL112W
OG0000216	XP_001548443.2, XP_024551991.1	YLR142W
OG0000217	XP_001548549.1, XP_024546086.1	YFR028C
OG0000218	XP_001548641.1	YER057C, YIL051C
OG0000219	XP_001548642.1, XP_024548809.1	YLR248W
OG0000220	XP_001548661.1	YBR009C, YNL030W
OG0000221	XP_001548662.1	YBR010W, YNL031C
OG0000222	XP_001548782.1	YEL047C, YJR051W
OG0000223	XP_001548931.1, XP_024549788.1	YDR308C
OG0000224	XP_001548932.1, XP_024549787.1	YGL224C
OG0000225	XP_001548941.1, XP_024552221.1	YDR346C
OG0000226	XP_001549070.1	YLR300W, YOR190W
OG0000227	XP_001549092.1, XP_024551885.1	YGR185C
OG0000228	XP_001549113.1, XP_024551893.1	YJL012C
OG0000229	XP_001549136.1	YLR448W, YML073C
OG0000230	XP_001549174.1, XP_024553989.1	YGR036C
OG0000231	XP_001549243.2, XP_024549450.1	YNL064C
OG0000232	XP_001549496.2	YDR497C, YOL103W
OG0000233	XP_001549546.1	YIL111W, YNL052W
OG0000234	XP_001549622.2, XP_024550001.1	YPL084W
OG0000235	XP_001549727.1	YBL079W, YER105C
OG0000236	XP_001549744.2, XP_024553547.1	YIL041W
OG0000237	XP_001549772.1, XP_001558404.1	YPR127W
OG0000238	XP_001549820.2, XP_024550058.1	YNR016C
OG0000239	XP_001549835.1, XP_024550067.1	YIL030C
OG0000240	XP_001549887.2	YOR231W, YPL140C
OG0000241	XP_001549919.2, XP_024546128.1	YML046W
OG0000242	XP_001549977.1	YMR233W, YOR295W
OG0000243	XP_001550097.1	YGL139W, YPL221W
OG0000244	XP_001550155.1, XP_001550353.1	YGR263C
OG0000245	XP_001550264.1, XP_024552079.1	YDL045C
OG0000246	XP_001550272.1, XP_024552075.1	YPL117C
OG0000247	XP_001550298.2, XP_024552063.1	YER168C
OG0000248	XP_001550311.1, XP_024552055.1	YKL014C
OG0000249	XP_001550325.1, XP_024552049.1	YBR038W
OG0000250	XP_001550468.1	YGR092W, YPR111W
OG0000251	XP_001550544.1	YBL002W, YDR224C
OG0000252	XP_001550695.1, XP_024549009.1	YJR126C
OG0000253	XP_001550718.1, XP_024553936.1	YLR215C
OG0000254	XP_001550742.1	YDR264C, YOR034C
OG0000255	XP_001550762.1	YDL049C, YJL174W
OG0000256	XP_001550855.1	YOR226C, YPL135W
OG0000257	XP_001550889.1	YHR132W-A, YNL157W
OG0000258	XP_001550912.2	YEL006W, YIL006W
OG0000259	XP_001550924.1	YNL301C, YOL120C
OG0000260	XP_001550993.2, XP_024546170.1	YOR064C
OG0000261	XP_001550995.1, XP_024549958.1	YPL067C
OG0000262	XP_001551204.1, XP_024553568.1	YJR099W
OG0000263	XP_001551229.1, XP_024552361.1	YGL241W
OG0000264	XP_001551271.1	YER074W, YIL069C
OG0000265	XP_001551272.2, XP_024552935.1	YJR129C
OG0000266	XP_001551452.1	YML106W, YMR271C
OG0000267	XP_001551512.1	YEL034W, YJR047C
OG0000268	XP_001551515.2	YOR285W, YOR286W
OG0000269	XP_001551631.1, XP_024550960.1	YBR055C
OG0000270	XP_001551718.2	YDL036C, YOL066C
OG0000271	XP_001551724.1	YDL138W, YDL194W
OG0000272	XP_001551773.2	YAR042W, YDL019C
OG0000273	XP_001551862.1, XP_024553847.1	YMR128W
OG0000274	XP_001551956.1	YOR390W, YPL279C
OG0000275	XP_001551972.1	YJL083W, YKR019C
OG0000276	XP_001551994.1, XP_024550319.1	YJR076C
OG0000277	XP_001551998.1	YIR035C, YIR036C
OG0000278	XP_001552084.1	YDL246C, YJR159W
OG0000279	XP_001552377.1	YKL121W, YMR102C
OG0000280	XP_001552395.1	YBL089W, YER119C
OG0000281	XP_001552402.2, XP_024551579.1	YJL126W
OG0000282	XP_001552420.2, XP_024551566.1	YGL153W
OG0000283	XP_001552520.1	YDL061C, YLR388W
OG0000284	XP_001552839.1	YAL015C, YOL043C
OG0000285	XP_001552915.1	YCL026C-A, YCL026C-B
OG0000286	XP_001552990.1, XP_024550499.1	YDR050C
OG0000287	XP_001553000.1	YIL085C, YNL029C
OG0000288	XP_001553070.2, XP_024550526.1	YNL189W
OG0000289	XP_001553094.2, XP_024552872.1	YIL147C
OG0000290	XP_001553162.1	YEL039C, YJR048W
OG0000291	XP_001553207.1, XP_024548526.1	YLR299W
OG0000292	XP_001553231.1, XP_024551120.1	YKL025C
OG0000293	XP_001553283.1	YGL031C, YGR148C
OG0000294	XP_001553358.2, XP_024553774.1	YOR113W
OG0000295	XP_001553435.2, XP_024550236.1	YOR049C
OG0000296	XP_001553463.2, XP_024550214.1	YLR006C
OG0000297	XP_001553491.1, XP_024550190.1	YGR042W
OG0000298	XP_001553525.2	YLR307W, YLR308W
OG0000299	XP_001553556.1	YJL079C, YKR013W
OG0000300	XP_001553576.1	YMR194W, YPL249C-A
OG0000301	XP_001553615.1, XP_024546610.1	YMR120C
OG0000302	XP_001553619.1, XP_024546614.1	YGL080W
OG0000303	XP_001553621.1	YGR085C, YPR102C
OG0000304	XP_001553626.1	YOR234C, YPL143W
OG0000305	XP_001553628.1	YJL133W, YKR052C
OG0000306	XP_001553722.1, XP_024553228.1	YDR244W
OG0000307	XP_001553725.2	YER075C, YOR208W
OG0000308	XP_001554043.1	YJR127C, YML081W
OG0000309	XP_001554046.1	YLL016W, YLR310C
OG0000310	XP_001554060.1, XP_024549893.1	YDL217C
OG0000311	XP_001554064.1	YAL007C, YOR016C
OG0000312	XP_001554205.2, XP_024551182.1	YJR098C
OG0000313	XP_001554259.1, XP_024546821.1	YOR320C
OG0000314	XP_001554357.2	YBL106C, YPR032W
OG0000315	XP_001554449.1	YDR185C, YLR168C
OG0000316	XP_001554456.1	YBL027W, YBR084C-A
OG0000317	XP_001554544.1	YHR141C, YNL162W
OG0000318	XP_001554553.2	YHR117W, YNL121C
OG0000319	XP_001554555.1, XP_024550777.1	YHR030C
OG0000320	XP_001554613.1	YER056C-A, YIL052C
OG0000321	XP_001554765.1, XP_024552697.1	YCL034W
OG0000322	XP_001554996.1	YCR067C, YNR026C
OG0000323	XP_001554998.2, XP_024548534.1	YIL164C
OG0000324	XP_001555047.2	YFR031C-A, YIL018W
OG0000325	XP_001555374.1	YER027C, YGL208W
OG0000326	XP_001555448.1, XP_024547852.1	YNL036W
OG0000327	XP_001555449.1	YHL033C, YLL045C
OG0000328	XP_001555503.2, XP_024547880.1	YJL141C
OG0000329	XP_001555510.1	YCR031C, YJL191W
OG0000330	XP_001555524.1, XP_024545964.1	YDR519W
OG0000331	XP_001555582.1	YDL109C, YGL144C
OG0000332	XP_001555613.1, XP_024546009.1	YLR244C
OG0000333	XP_001555735.1	YCL035C, YDR513W
OG0000334	XP_001555736.1	YHR198C, YHR199C
OG0000335	XP_001555753.1	YCL050C, YDR530C
OG0000336	XP_001555790.1	YHR131C, YNL144C
OG0000337	XP_001555920.1, XP_024546853.1	YBL007C
OG0000338	XP_001556037.1	YDR471W, YHR010W
OG0000339	XP_001556190.1	YDL082W, YMR142C
OG0000340	XP_001556233.1	YBR150C, YOL089C
OG0000341	XP_001556267.1	YHR021C, YKL156W
OG0000342	XP_001556324.1	YGR034W, YLR344W
OG0000343	XP_001556637.1	YBR066C, YDR043C
OG0000344	XP_001556674.1	YOR256C, YPL176C
OG0000345	XP_001556801.2	YDR247W, YPL026C
OG0000346	XP_001556809.1	YBR020W, YDR009W
OG0000347	XP_001556817.1	YOR237W, YPL145C
OG0000348	XP_001556843.1	YDL136W, YDL191W
OG0000349	XP_001557003.2	YMR177W, YPL224C
OG0000350	XP_001557050.1	YDR111C, YLR089C
OG0000351	XP_001557074.1	YGR010W, YLR328W
OG0000352	XP_001557171.1	YFL048C, YLR080W
OG0000353	XP_001557401.1	YNL096C, YOR096W
OG0000354	XP_001557403.1	YDR418W, YEL054C
OG0000355	XP_001557449.1	YDR450W, YML026C
OG0000356	XP_001557450.1	YJL177W, YKL180W
OG0000357	XP_001557475.1, XP_024551398.1	YNL092W
OG0000358	XP_001557567.2	YBL091C-A, YER120W
OG0000359	XP_001557576.1	YGR124W, YPR145W
OG0000360	XP_001557577.1	YIL114C, YNL055C
OG0000361	XP_001557615.1, XP_024548396.1	YOL140W
OG0000362	XP_001557655.1	YBR181C, YPL090C
OG0000363	XP_001557680.1	YGR118W, YPR132W
OG0000364	XP_001557684.1, XP_024548451.1	YLR414C
OG0000365	XP_001557801.1, XP_024548499.1	YDR333C
OG0000366	XP_001557855.1	YDR447C, YML024W
OG0000367	XP_001557856.1	YDR066C, YER139C
OG0000368	XP_001558300.1	YDR098C, YER174C
OG0000369	XP_001558315.2	YIR033W, YKL020C
OG0000370	XP_001558370.1, XP_024547626.1	YNL040W
OG0000371	XP_001558378.1	YDR501W, YLR183C
OG0000372	XP_001558438.1	YGR108W, YPR119W
OG0000373	XP_001558463.1, XP_024551830.1	YGL200C
OG0000374	XP_001558505.1, XP_024551814.1	YER148W
OG0000375	XP_001558528.1	YFL061W, YNL335W
OG0000376	XP_001558535.2	YDL042C, YOL068C
OG0000377	XP_001558622.1	YHR179W, YPL171C
OG0000378	XP_001558654.1, XP_024549734.1	YKL095W
OG0000379	XP_001558687.2, XP_024549714.1	YGL167C
OG0000380	XP_001558737.1, XP_024549694.1	YOL012C
OG0000381	XP_001558802.2, XP_001559449.1	YJR116W
OG0000382	XP_001558805.1, XP_024546972.1	YER145C
OG0000383	XP_001558832.2, XP_024546961.1	YDR044W
OG0000384	XP_001558910.1	YGL082W, YPL191C
OG0000385	XP_001559023.1	YBR294W, YLR092W
OG0000386	XP_001559063.1, XP_024549410.1	YPL263C
OG0000387	XP_001559090.2	YDR122W, YLR096W
OG0000388	XP_001559130.2	YBR015C, YJL186W
OG0000389	XP_001559180.1, XP_024549358.1	YIL083C
OG0000390	XP_001559222.1	YDR368W, YOR120W
