	Brettanomyces_anomalus	Saccharomyces_cerevisiae
OG0000012	augustus_masked-LCTY01000001.1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.132&CDS=1-1533, augustus_masked-LCTY01000004.1-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-10.64&CDS=1-1623, augustus_masked-LCTY01000004.1-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.59&CDS=1-1674, augustus_masked-LCTY01000004.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-6.62&CDS=1-1623	YKL217W
OG0000013	augustus_masked-LCTY01000015.1-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-LCTY01000015.1-processed-gene-1.67&CDS=1-516, snap_masked-LCTY01000001.1-processed-gene-9.49-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-9.49&CDS=1-240	YDR276C, YDR525W-A, YJL151C
OG0000014	augustus_masked-LCTY01000001.1-processed-gene-11.35-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.35&CDS=1-981, augustus_masked-LCTY01000012.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.142&CDS=1-960	YBL068W, YER099C, YHL011C
OG0000015	augustus_masked-LCTY01000008.1-processed-gene-4.226-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-4.226&CDS=1-1560, snap_masked-LCTY01000001.1-processed-gene-17.207-mRNA-1_1&gene=snap_masked-LCTY01000001.1-processed-gene-17.207&CDS=1-1554	YER056C, YER060W, YER060W-A
OG0000016	augustus_masked-LCTY01000002.1-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-4.67&CDS=1-1533, augustus_masked-LCTY01000003.1-processed-gene-11.114-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.114&CDS=1-1485, augustus_masked-LCTY01000005.1-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-11.61&CDS=1-1545, snap_masked-LCTY01000008.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-LCTY01000008.1-processed-gene-4.122&CDS=1-1419	YOL119C
OG0000017	augustus_masked-LCTY01000002.1-processed-gene-8.68-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.68&CDS=1-1005, snap_masked-LCTY01000005.1-processed-gene-1.108-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-1.108&CDS=1-1065	YGR192C, YJL052W, YJR009C
OG0000018	augustus_masked-LCTY01000002.1-processed-gene-8.81-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.81&CDS=1-654, augustus_masked-LCTY01000003.1-processed-gene-7.65-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-7.65&CDS=1-558, augustus_masked-LCTY01000005.1-processed-gene-12.41-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-12.41&CDS=1-549	YBR164C, YMR138W
OG0000019	augustus_masked-LCTY01000002.1-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-11.110&CDS=1-786, augustus_masked-LCTY01000007.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-1.83&CDS=1-750	YGR152C, YNL098C, YOR101W
OG0000020	augustus_masked-LCTY01000003.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.103&CDS=1-1758, augustus_masked-LCTY01000013.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-1.55&CDS=1-1761, snap_masked-LCTY01000017.1-processed-gene-0.74-mRNA-1_1&gene=snap_masked-LCTY01000017.1-processed-gene-0.74&CDS=1-1806	YJL172W, YOL153C
OG0000021	augustus_masked-LCTY01000004.1-processed-gene-9.139-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-9.139&CDS=1-549, maker-LCTY01000003.1-augustus-gene-5.75-mRNA-1_1&gene=maker-LCTY01000003.1-augustus-gene-5.75&CDS=1-483, snap_masked-LCTY01000011.1-processed-gene-0.39-mRNA-1_1&gene=snap_masked-LCTY01000011.1-processed-gene-0.39&CDS=1-1134	YDR155C, YLR216C
OG0000022	augustus_masked-LCTY01000003.1-processed-gene-7.43-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-7.43&CDS=1-3468, augustus_masked-LCTY01000008.1-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-1.48&CDS=1-2148	YNL106C, YOL065C, YOR109W
OG0000023	augustus_masked-LCTY01000004.1-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-9.127&CDS=1-1755, augustus_masked-LCTY01000014.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.78&CDS=1-1812, genemark-LCTY01000004.1-processed-gene-7.33-mRNA-1_1&gene=genemark-LCTY01000004.1-processed-gene-7.33&CDS=1-1770, snap_masked-LCTY01000009.1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-LCTY01000009.1-processed-gene-3.83&CDS=1-1761	YKR039W
OG0000024	augustus_masked-LCTY01000005.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-0.21&CDS=1-273, augustus_masked-LCTY01000006.1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-2.59&CDS=1-1347	YBR089C-A, YDL002C, YPR052C
OG0000025	augustus_masked-LCTY01000005.1-processed-gene-10.124-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-10.124&CDS=1-1566	YBR297W, YFL052W, YGR288W, YPR196W
OG0000026	augustus_masked-LCTY01000005.1-processed-gene-13.23-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-13.23&CDS=1-1740, augustus_masked-LCTY01000012.1-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-LCTY01000012.1-processed-gene-2.111&CDS=1-1779, snap_masked-LCTY01000012.1-processed-gene-2.227-mRNA-1_1&gene=snap_masked-LCTY01000012.1-processed-gene-2.227&CDS=1-1767	YBR021W, YIR028W
OG0000027	snap_masked-LCTY01000006.1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-LCTY01000006.1-processed-gene-6.7&CDS=1-4599	YBL017C, YIL173W, YJL222W, YNR065C
OG0000028	augustus_masked-LCTY01000007.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-0.69&CDS=1-330, augustus_masked-LCTY01000014.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-2.86&CDS=1-1242	YLR449W, YML074C, YNL135C
OG0000029	genemark-LCTY01000009.1-processed-gene-3.10-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-3.10&CDS=1-2250	YER001W, YGL257C, YIL014W, YNR059W
OG0000030	augustus_masked-LCTY01000013.1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-LCTY01000013.1-processed-gene-2.102&CDS=1-1104, snap_masked-LCTY01000010.1-processed-gene-2.67-mRNA-1_1&gene=snap_masked-LCTY01000010.1-processed-gene-2.67&CDS=1-2115, snap_masked-LCTY01000016.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-LCTY01000016.1-processed-gene-0.55&CDS=1-690	YBR062C, YDR143C
OG0000031	augustus_masked-LCTY01000001.1-processed-gene-5.117-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-5.117&CDS=1-2148, augustus_masked-LCTY01000001.1-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-6.55&CDS=1-2553	YFL050C, YOL130W
OG0000032	augustus_masked-LCTY01000001.1-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.56&CDS=1-342, maker-LCTY01000010.1-augustus-gene-2.77-mRNA-1_1&gene=maker-LCTY01000010.1-augustus-gene-2.77&CDS=1-267	YGR074W, YLR147C
OG0000033	augustus_masked-LCTY01000001.1-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-7.62&CDS=1-390, maker-LCTY01000008.1-augustus-gene-2.111-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-2.111&CDS=1-390	YJL190C, YLR367W
OG0000034	augustus_masked-LCTY01000001.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-8.102&CDS=1-1698	YGR087C, YLR044C, YLR134W
OG0000035	augustus_masked-LCTY01000001.1-processed-gene-10.55-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-10.55&CDS=1-1812, augustus_masked-LCTY01000016.1-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.144&CDS=1-1404	YHL019C, YPL259C
OG0000036	augustus_masked-LCTY01000001.1-processed-gene-11.9-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.9&CDS=1-1215, augustus_masked-LCTY01000002.1-processed-gene-12.121-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-12.121&CDS=1-1380	YLR090W, YNL064C
OG0000037	augustus_masked-LCTY01000001.1-processed-gene-11.26-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-11.26&CDS=1-783, snap_masked-LCTY01000005.1-processed-gene-3.70-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-3.70&CDS=1-903	YHL033C, YLL045C
OG0000038	augustus_masked-LCTY01000001.1-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-13.43&CDS=1-1884	YML116W, YMR279C, YOR378W
OG0000039	augustus_masked-LCTY01000001.1-processed-gene-16.3-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-16.3&CDS=1-1986, augustus_masked-LCTY01000016.1-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.132&CDS=1-1980	YAL005C, YER103W
OG0000040	augustus_masked-LCTY01000001.1-processed-gene-17.135-mRNA-1_1&gene=augustus_masked-LCTY01000001.1-processed-gene-17.135&CDS=1-1104, augustus_masked-LCTY01000003.1-processed-gene-12.175-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.175&CDS=1-1092	YCR105W, YMR318C
OG0000041	augustus_masked-LCTY01000002.1-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-1.108&CDS=1-849, augustus_masked-LCTY01000002.1-processed-gene-13.115-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-13.115&CDS=1-855, augustus_masked-LCTY01000003.1-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.36&CDS=1-870	YJL068C
OG0000042	augustus_masked-LCTY01000002.1-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-1.120&CDS=1-1005, augustus_masked-LCTY01000002.1-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-7.45&CDS=1-999	YIL035C, YOR061W
OG0000043	augustus_masked-LCTY01000002.1-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-7.35&CDS=1-1683, augustus_masked-LCTY01000005.1-processed-gene-14.105-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-14.105&CDS=1-1560, maker-LCTY01000002.1-augustus-gene-3.129-mRNA-1_1&gene=maker-LCTY01000002.1-augustus-gene-3.129&CDS=1-2757	YDL210W
OG0000044	snap_masked-LCTY01000002.1-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LCTY01000002.1-processed-gene-6.31&CDS=1-2061	YMR006C, YMR008C, YOL011W
OG0000045	augustus_masked-LCTY01000002.1-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.87&CDS=1-933, augustus_masked-LCTY01000006.1-processed-gene-4.77-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-4.77&CDS=1-945, augustus_masked-LCTY01000007.1-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-LCTY01000007.1-processed-gene-2.24&CDS=1-954	YDL124W
OG0000046	augustus_masked-LCTY01000014.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-0.44&CDS=1-465, snap_masked-LCTY01000002.1-processed-gene-8.22-mRNA-1_1&gene=snap_masked-LCTY01000002.1-processed-gene-8.22&CDS=1-366	YLR008C, YNL328C
OG0000047	augustus_masked-LCTY01000002.1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-8.102&CDS=1-1032	YBR205W, YDR483W, YOR099W
OG0000048	augustus_masked-LCTY01000002.1-processed-gene-13.92-mRNA-1_1&gene=augustus_masked-LCTY01000002.1-processed-gene-13.92&CDS=1-558, snap_masked-LCTY01000007.1-processed-gene-4.15-mRNA-1_1&gene=snap_masked-LCTY01000007.1-processed-gene-4.15&CDS=1-384	YMR073C, YNL111C
OG0000049	augustus_masked-LCTY01000003.1-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.82&CDS=1-972, augustus_masked-LCTY01000016.1-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.174&CDS=1-1020	YBR161W, YPL057C
OG0000050	augustus_masked-LCTY01000003.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.102&CDS=1-1596, augustus_masked-LCTY01000003.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.87&CDS=1-1587, snap_masked-LCTY01000003.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LCTY01000003.1-processed-gene-0.52&CDS=1-1605	YJR152W
OG0000051	genemark-LCTY01000003.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LCTY01000003.1-processed-gene-0.3&CDS=1-1194, maker-LCTY01000010.1-snap-gene-3.133-mRNA-1_1&gene=maker-LCTY01000010.1-snap-gene-3.133&CDS=1-324, maker-LCTY01000010.1-snap-gene-3.135-mRNA-1_1&gene=maker-LCTY01000010.1-snap-gene-3.135&CDS=1-873	YCL075W
OG0000052	maker-LCTY01000003.1-snap-gene-0.42-mRNA-1_1&gene=maker-LCTY01000003.1-snap-gene-0.42&CDS=1-2676, maker-LCTY01000006.1-snap-gene-5.83-mRNA-1_1&gene=maker-LCTY01000006.1-snap-gene-5.83&CDS=1-1836	YDL037C, YIR019C
OG0000053	augustus_masked-LCTY01000003.1-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-0.99&CDS=1-1092, augustus_masked-LCTY01000003.1-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-1.106&CDS=1-1143	YBR249C, YDR035W
OG0000054	augustus_masked-LCTY01000003.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-1.121&CDS=1-618, augustus_masked-LCTY01000008.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-LCTY01000008.1-processed-gene-1.56&CDS=1-621	YDR399W, YJR133W
OG0000055	augustus_masked-LCTY01000003.1-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-2.85&CDS=1-573, augustus_masked-LCTY01000006.1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-4.55&CDS=1-576	YGL147C, YNL067W
OG0000056	augustus_masked-LCTY01000003.1-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.82&CDS=1-1251, augustus_masked-LCTY01000003.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-3.47&CDS=1-1191	YBR025C, YHL014C
OG0000057	augustus_masked-LCTY01000003.1-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-4.105&CDS=1-1611, augustus_masked-LCTY01000004.1-processed-gene-10.67-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-10.67&CDS=1-1716, snap_masked-LCTY01000004.1-processed-gene-9.54-mRNA-1_1&gene=snap_masked-LCTY01000004.1-processed-gene-9.54&CDS=1-1662	YDR242W
OG0000058	augustus_masked-LCTY01000003.1-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-4.99&CDS=1-1902	YDR144C, YLR120C, YLR121C
OG0000059	augustus_masked-LCTY01000003.1-processed-gene-6.126-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-6.126&CDS=1-1218, genemark-LCTY01000009.1-processed-gene-1.14-mRNA-1_1&gene=genemark-LCTY01000009.1-processed-gene-1.14&CDS=1-1419	YIR013C, YLR013W
OG0000060	augustus_masked-LCTY01000003.1-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.104&CDS=1-2337	YML111W, YMR275C, YNR069C
OG0000061	augustus_masked-LCTY01000003.1-processed-gene-10.8-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.8&CDS=1-555, maker-LCTY01000008.1-augustus-gene-3.76-mRNA-1_1&gene=maker-LCTY01000008.1-augustus-gene-3.76&CDS=1-444	YDR092W, YLR306W
OG0000062	augustus_masked-LCTY01000003.1-processed-gene-11.106-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.106&CDS=1-891, augustus_masked-LCTY01000011.1-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-LCTY01000011.1-processed-gene-3.20&CDS=1-852	YBR151W, YML050W
OG0000063	augustus_masked-LCTY01000003.1-processed-gene-11.116-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-11.116&CDS=1-2340, augustus_masked-LCTY01000005.1-processed-gene-13.8-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-13.8&CDS=1-2322, snap_masked-LCTY01000016.1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-LCTY01000016.1-processed-gene-1.120&CDS=1-2208	YMR168C
OG0000064	augustus_masked-LCTY01000003.1-processed-gene-12.165-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-12.165&CDS=1-498, augustus_masked-LCTY01000016.1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-LCTY01000016.1-processed-gene-1.131&CDS=1-243	YDR378C, YPR182W
OG0000065	augustus_masked-LCTY01000004.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.54&CDS=1-1797, maker-LCTY01000006.1-augustus-gene-7.51-mRNA-1_1&gene=maker-LCTY01000006.1-augustus-gene-7.51&CDS=1-1263, maker-LCTY01000006.1-snap-gene-7.46-mRNA-1_1&gene=maker-LCTY01000006.1-snap-gene-7.46&CDS=1-1818	YGR289C
OG0000066	augustus_masked-LCTY01000004.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.38&CDS=1-345, augustus_masked-LCTY01000014.1-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.75&CDS=1-642, maker-LCTY01000005.1-snap-gene-2.9-mRNA-1_1&gene=maker-LCTY01000005.1-snap-gene-2.9&CDS=1-987	YBR067C
OG0000067	augustus_masked-LCTY01000004.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.40&CDS=1-1128	YCR102C, YLR460C, YNL134C
OG0000068	augustus_masked-LCTY01000004.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-0.43&CDS=1-1575	YIL120W, YIL121W, YNL065W
OG0000069	augustus_masked-LCTY01000004.1-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-2.8&CDS=1-2601, augustus_masked-LCTY01000004.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.7&CDS=1-3066	YHR047C, YKL157W
OG0000070	maker-LCTY01000004.1-snap-gene-2.85-mRNA-1_1&gene=maker-LCTY01000004.1-snap-gene-2.85&CDS=1-1803, snap_masked-LCTY01000005.1-processed-gene-7.66-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-7.66&CDS=1-1116	YFL039C, YHR128W
OG0000071	augustus_masked-LCTY01000004.1-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-4.70&CDS=1-1653, maker-LCTY01000004.1-augustus-gene-3.82-mRNA-1_1&gene=maker-LCTY01000004.1-augustus-gene-3.82&CDS=1-3312	YEL063C, YNL270C
OG0000072	augustus_masked-LCTY01000004.1-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-LCTY01000004.1-processed-gene-3.36&CDS=1-423, augustus_masked-LCTY01000005.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-7.28&CDS=1-315	YGR209C, YLR043C
OG0000073	augustus_masked-LCTY01000005.1-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-3.14&CDS=1-528, snap_masked-LCTY01000005.1-processed-gene-1.119-mRNA-1_1&gene=snap_masked-LCTY01000005.1-processed-gene-1.119&CDS=1-717	YDR178W, YLR164W
