	Saccharomyces_cerevisiae	Schizosaccharomyces_pombe
OG0000035	YAL034C, YOR338W	SPAC14C4.12c_pep, SPCC1682.13_pep
OG0000036	YBL008W, YOR038C	SPBC15D4.03_pep, SPBC31F10.13c_pep
OG0000037	YBL027W, YBR084C-A	SPBC56F2.02_pep, SPCC1682.14_pep
OG0000038	YBL056W, YER089C	SPAC2G11.07c_pep, SPCC1223.11_pep
OG0000039	YBL072C, YER102W	SPAC2C4.16c_pep, SPAC521.05_pep
OG0000040	YBL087C, YER117W	SPAC3G9.03_pep, SPCC1322.11_pep
OG0000041	YBR021W, YIR028W	SPAC1399.03_pep, SPAC29B12.14c_pep
OG0000042	YBR031W, YDR012W	SPBC1711.06_pep, SPBP8B7.03c_pep
OG0000043	YBR048W, YDR025W	SPAC144.11_pep, SPAC31G5.03_pep
OG0000044	YBR049C, YDR026C	SPAC22F8.07c_pep, SPBC1198.11c_pep
OG0000045	YBR054W, YCR021C, YDR033W	SPCC31H12.02c_pep
OG0000046	YBR103W, YNL182C	SPAC13G7.08c_pep, SPCC1235.09_pep
OG0000047	YBR140C, YOL081W	SPAC4F8.13c_pep, SPBC646.12c_pep
OG0000048	YBR181C, YPL090C	SPAC13G6.07c_pep, SPAPB1E7.12_pep
OG0000049	YBR189W, YPL081W	SPAC24H6.07_pep, SPBC29A3.12_pep
OG0000050	YBR191W, YPL079W	SPAC959.08_pep, SPBC365.03c_pep
OG0000051	YBR195C, YEL056W	SPAC25H1.06_pep, SPCC1672.10_pep
OG0000052	YBR294W, YLR092W	SPAC869.05c_pep, SPBC3H7.02_pep
OG0000053	YCL069W, YGR224W, YKR105C, YPR198W	
OG0000054	YCR031C, YJL191W	SPAC3H5.05c_pep, SPBC18H10.13_pep
OG0000055	YCR073C, YNR031C	SPAC1006.09_pep, SPAC9G1.02_pep
OG0000056	YCR079W, YDL006W	SPAC4A8.03c_pep, SPCC4F11.02_pep
OG0000057	YCR102C, YLR460C, YNL134C	SPAC2E1P3.01_pep
OG0000058	YDL022W, YOL059W	SPAC23D3.04c_pep, SPBC215.05_pep
OG0000059	YDL070W, YLR399C	SPAC631.02_pep, SPCC1450.02_pep
OG0000060	YDL081C	SPAC644.15_pep, SPBC3B9.13c_pep, SPCP1E11.09c_pep
OG0000061	YDL083C, YMR143W	SPAC664.04c_pep, SPBC18H10.14_pep
OG0000062	YDR038C, YDR039C, YDR040C	SPBC839.06_pep
OG0000063	YDR081C	SPAC9E9.10c_pep, SPBC1105.04c_pep, SPBC14F5.12c_pep
OG0000064	YDR272W, YOR040W	SPAC824.07_pep, SPCC13B11.03c_pep
OG0000065	YDR368W, YOR120W	SPAC26F1.07_pep, SPBC8E4.04_pep
OG0000066	YDR378C, YPR182W	SPAC2F3.17c_pep, SPBC3E7.14_pep
OG0000067	YDR379W, YOR127W	SPAC29A4.11_pep, SPBC28E12.03_pep
OG0000068	YDR385W, YOR133W	SPAC513.01c_pep, SPCP31B10.07_pep
OG0000069	YDR418W, YEL054C	SPCC16C4.13c_pep, SPCC31H12.04c_pep
OG0000070	YDR447C, YML024W	SPBC839.05c_pep, SPCC24B10.09_pep
OG0000071	YDR450W, YML026C	SPBC16D10.11c_pep, SPCC1259.01c_pep
OG0000072	YDR471W, YHR010W	SPBC685.07c_pep, SPCC74.05_pep
OG0000073	YDR497C, YOL103W	SPAC20G8.03_pep, SPAC4F8.15_pep
OG0000074	YDR500C, YLR185W	SPAPB17E12.05_pep, SPCC1223.05c_pep
OG0000075	YEL034W, YJR047C	SPAC26H5.10c_pep, SPBC336.10c_pep
OG0000076	YER056C-A, YIL052C	SPAC23A1.08c_pep, SPCC1322.15_pep
OG0000077	YER057C, YIL051C	SPAC1039.10_pep, SPBC2G2.04c_pep
OG0000078	YER066W, YFL009W	SPAC4D7.03_pep, SPBC1718.01_pep
OG0000079	YER074W, YIL069C	SPAC17G6.06_pep, SPBC17G9.07_pep
OG0000080	YER131W, YGL189C	SPAC1805.11c_pep, SPAC806.03c_pep
OG0000081	YFL060C, YMR095C, YNL334C	SPAC222.08c_pep
OG0000082	YFR022W, YOR018W	SPAC31A2.12_pep, SPCC584.15c_pep
OG0000083	YGL019W, YOR039W	SPAC1851.03_pep, SPBC2G5.02c_pep
OG0000084	YGL031C, YGR148C	SPAC6G9.09c_pep, SPCC330.14c_pep
OG0000085	YGL076C, YPL198W	SPAC3H5.07_pep, SPBC18H10.12c_pep
OG0000086	YGL135W, YPL220W	SPBC30D10.18c_pep, SPCC1183.08c_pep
OG0000087	YGL147C, YNL067W	SPAC4G9.16c_pep, SPCC613.06_pep
OG0000088	YGL160W, YLR047C	SPBC1683.09c_pep, SPBC947.05c_pep
OG0000089	YGL178W, YLL013C	SPAC1687.22c_pep, SPAC6G9.14_pep
OG0000090	YGL202W	SPAC56E4.03_pep, SPBC1773.13_pep, SPCC569.07_pep
OG0000091	YGR027C, YLR333C	SPAC694.05c_pep, SPBC3D6.15_pep
OG0000092	YGR070W, YLR371W	SPAC1006.06_pep, SPCC645.07_pep
OG0000093	YGR085C, YPR102C	SPAC26A3.07c_pep, SPBC17G9.10_pep
OG0000094	YGR108W, YPR119W	SPAPB2B4.03_pep, SPBC582.03_pep
OG0000095	YGR118W, YPR132W	SPAC23C11.02c_pep, SPBP4H10.13_pep
OG0000096	YGR214W, YLR048W	SPAPJ698.02c_pep, SPBC685.06_pep
OG0000097	YGR260W	SPAC1002.16c_pep, SPAC11D3.18c_pep, SPBC1683.12_pep
OG0000098	YGR273C, YMR295C	SPBC19C7.04c_pep, SPCC70.09c_pep
OG0000099	YHL035C, YLL048C	SPAC30.04c_pep, SPAC9E9.12c_pep
OG0000100	YHR179W, YPL171C	SPAC5H10.04_pep, SPAC5H10.10_pep
OG0000101	YHR202W	SPAC1039.02_pep, SPAC17G6.03_pep, SPBPB2B2.06c_pep
OG0000102	YIL009W, YMR246W, YOR317W	SPBC18H10.02_pep
OG0000103	YIL085C, YNL029C	SPBC1773.08c_pep, SPBC32H8.08c_pep
OG0000104	YIL105C, YNL047C, YPR115W	SPAC637.13c_pep
OG0000105	YIL148W, YKR094C	SPAC11G7.04_pep, SPAC1805.12c_pep
OG0000106	YJL084C, YKR021W	SPBC2D10.04_pep, SPBC839.02_pep
OG0000107	YJL177W, YKL180W	SPBC2F12.04_pep, SPCC364.03_pep
OG0000108	YJL190C, YLR367W	SPAC22A12.04c_pep, SPAC5D6.01_pep
OG0000109	YJR091C, YPR042C	SPBC56F2.08c_pep, SPBP35G2.14_pep
OG0000110	YJR094W-A, YPR043W	SPBC800.04c_pep, SPBC83.02c_pep
OG0000111	YLR029C, YMR121C	SPAC1783.08c_pep, SPCC576.11_pep
OG0000112	YLR264W, YOR167C	SPAC25G10.06_pep, SPCC285.15c_pep
OG0000113	YLR287C-A, YOR182C	SPAC19B12.04_pep, SPBC19G7.03c_pep
OG0000114	YLR441C, YML063W	SPAC13G6.02c_pep, SPAC22H12.04c_pep
OG0000115	YML100W, YMR261C	SPAC22F8.05_pep, SPACUNK4.16c_pep
OG0000116	YMR194W, YPL249C-A	SPBC405.07_pep, SPCC970.05_pep
OG0000117	YMR230W, YOR293W	SPAC31G5.17c_pep, SPBP22H7.08_pep
OG0000118	YMR242C, YOR312C	SPAC26A3.04_pep, SPAC3A12.10_pep
OG0000119	YNL301C, YOL120C	SPAPB17E12.13_pep, SPBC11C11.07_pep
OG0000120	YNL302C, YOL121C	SPBC21C3.13_pep, SPBC649.02_pep
OG0000121	YOL039W	SPAC1071.08_pep, SPBC23G7.15c_pep, SPBP8B7.06_pep
OG0000122	YOL055C, YPL258C, YPR121W	SPBP8B7.18c_pep
OG0000123	YOR229W, YOR230W, YPL139C	SPCC613.12c_pep
OG0000124	YOR234C, YPL143W	SPBC1921.01c_pep, SPCP31B10.08c_pep
OG0000125	YOR237W, YPL145C	SPBC1271.12_pep, SPBC354.07c_pep
OG0000126	YOR390W, YPL279C	SPAC977.11_pep, SPBPB8B6.06c_pep
OG0000127	YPR127W	SPAC3A11.11c_pep, SPAC9E9.11_pep, SPCC1281.04_pep
OG0000128		SPAC1399.02_pep, SPAC3H1.06c_pep, SPBC16A3.17c_pep, SPBC3E7.06c_pep
OG0000129	YAL005C, YLL024C	SPAC13G7.02c_pep
OG0000130	YAL007C, YOR016C	SPAC17A5.08_pep
OG0000131	YAL015C, YOL043C	SPAC30D11.07_pep
OG0000132	YAL017W, YOL045W	SPAC1805.01c_pep
OG0000133	YAL023C, YOR321W	SPAPB1E7.09_pep
OG0000134	YAL049C	SPAC977.15_pep, SPBC30D10.14_pep
OG0000135	YAL062W, YOR375C	SPCC622.12c_pep
OG0000136	YAR002C-A, YGL002W	SPBC16E9.09c_pep
OG0000137	YAR042W, YDL019C	SPBC2F12.05c_pep
OG0000138	YBL002W, YDR224C	SPCC622.09_pep
OG0000139	YBL003C	SPAC19G12.06c_pep, SPCC622.08c_pep
OG0000140	YBL009W, YGL021W	SPAC23C4.03_pep
OG0000141	YBL024W	SPAC17D4.04_pep, SPAC23C4.17_pep
OG0000142	YBL051C	SPAC12G12.03_pep, SPBC16A3.18_pep
OG0000143	YBL061C, YER096W	SPAC24B11.10c_pep
OG0000144	YBL067C, YER098W	SPBC1703.12_pep
OG0000145	YBL068W, YER099C	SPCC1620.06c_pep
OG0000146	YBL079W, YER105C	SPAC890.06_pep
OG0000147	YBL085W, YER114C	SPBC1289.04c_pep
OG0000148	YBL089W, YER119C	SPBC1685.07c_pep
OG0000149	YBL091C-A, YER120W	SPBC16G5.05c_pep
OG0000150	YBL092W	SPAC3H5.10_pep, SPBC16C6.11_pep
OG0000151	YBL106C, YPR032W	SPAC1F3.03_pep
OG0000152	YBR008C	SPAC17C9.16c_pep, SPBC609.04_pep
OG0000153	YBR014C, YDL010W	SPCC1450.06c_pep
OG0000154	YBR020W, YDR009W	SPBPB2B2.13_pep
OG0000155	YBR024W, YBR037C	SPBC119.06_pep
OG0000156	YBR042C, YDR018C	SPBC428.14_pep
OG0000157	YBR072W	SPBC3E7.02c_pep, SPCC338.06c_pep
OG0000158	YBR078W, YDR055W	SPCC1223.12c_pep
OG0000159	YBR089C-A, YPR052C	SPAC57A10.09c_pep
OG0000160	YBR104W, YPR058W	SPAC4G9.20c_pep
OG0000161	YBR105C, YGR066C	SPAC3H1.14_pep
OG0000162	YBR147W, YOL092W	SPAC17C9.10_pep
OG0000163	YBR161W, YPL057C	SPCC4F11.04c_pep
OG0000164	YBR169C, YPL106C	SPAC110.04c_pep
OG0000165	YBR172C, YPL105C	SPAC4F10.13c_pep
OG0000166	YBR182C, YPL089C	SPBC317.01_pep
OG0000167	YBR187W	SPAC17G8.08c_pep, SPAC186.05c_pep
OG0000168	YBR198C	SPBC15D4.14_pep, SPCC5E4.03c_pep
OG0000169	YBR210W, YGL054C	SPAC30C2.05_pep
OG0000170	YBR214W, YGL056C	SPBC646.13_pep
OG0000171	YBR242W, YGL101W	SPCC4G3.17_pep
OG0000172	YCL011C, YNL004W	SPAC328.05_pep
OG0000173	YCL035C, YDR513W	SPAC4F10.20_pep
OG0000174	YCL037C, YDR515W	SPAC1527.03_pep
OG0000175	YCL040W, YDR516C	SPAC4F8.07c_pep
OG0000176	YCR010C, YNR002C	SPAC5D6.09c_pep
OG0000177	YCR026C, YEL016C	SPBC725.05c_pep
OG0000178	YCR048W, YNR019W	SPAC13G7.05_pep
OG0000179	YCR065W	SPBC32H8.11_pep, SPBC4C3.12_pep
OG0000180	YCR067C, YNR026C	SPBC3H7.01_pep
OG0000181	YCR073W-A, YNR034W	SPCC16C4.10_pep
OG0000182	YCR084C	SPAC18B11.10_pep, SPAC630.14c_pep
OG0000183	YCR091W	SPAC4G8.05_pep, SPBC1861.09_pep
OG0000184	YCR094W, YNR048W	SPBC1773.11c_pep
OG0000185	YCR106W, YLL054C, YOR363C	
OG0000186	YDL017W	SPBC21C3.18_pep, SPBC776.12c_pep
OG0000187	YDL037C, YIR019C	SPBC1289.15_pep
OG0000188	YDL042C, YOL068C	SPBC16D10.07c_pep
OG0000189	YDL056W	SPAC22F3.09c_pep, SPBC725.16_pep
OG0000190	YDL061C, YLR388W	SPBC1685.09_pep
OG0000191	YDL075W, YLR406C	SPAC890.08_pep
OG0000192	YDL082W, YMR142C	SPAC664.05_pep
OG0000193	YDL085W, YMR145C	SPAC3A11.07_pep
OG0000194	YDL088C, YMR153W	SPAC19E9.01c_pep
OG0000195	YDL093W, YDL095W	SPAC22A12.07c_pep
OG0000196	YDL109C, YGL144C	SPAC4A8.10_pep
OG0000197	YDL136W, YDL191W	SPCC613.05c_pep
OG0000198	YDL144C	SPAC24B11.07c_pep, SPCC1902.02_pep
OG0000199	YDL147W	SPAC1420.03_pep, SPAPB8E5.02c_pep
OG0000200	YDL155W, YLR210W	SPCC4E9.02_pep
OG0000201	YDL161W, YLR206W	SPCC162.07_pep
OG0000202	YDL175C, YIL079C	SPBP35G2.08c_pep
OG0000203	YDL210W	SPAC11D3.08c_pep, SPAPB24D3.02c_pep
OG0000204	YDL224C, YNL197C	SPCC16C4.07_pep
OG0000205	YDL246C, YJR159W	SPBC1773.05c_pep
OG0000206	YDR011W, YNR070W	SPCC18B5.01c_pep
OG0000207	YDR052C	SPBC1778.04_pep, SPCC550.13_pep
OG0000208	YDR066C, YER139C	SPAC23A1.16c_pep
OG0000209	YDR069C, YER144C	SPBC18H10.08c_pep
OG0000210	YDR098C, YER174C	SPBC26H8.06_pep
OG0000211	YDR101C	SPAC23H4.09_pep, SPBC23E6.05_pep
OG0000212	YDR107C, YLR083C	SPBC1105.08_pep
OG0000213	YDR108W	SPBC1604.19c_pep, SPBC1734.07c_pep
OG0000214	YDR111C, YLR089C	SPBC582.08_pep
OG0000215	YDR122W, YLR096W	SPBC4F6.06_pep
OG0000216	YDR135C	SPAC3F10.11c_pep, SPBC359.05_pep
OG0000217	YDR146C, YLR131C	SPAC6G10.12c_pep
OG0000218	YDR147W, YLR133W	SPAC13G7.12c_pep
OG0000219	YDR151C, YLR136C	SPBC1718.07c_pep
OG0000220	YDR159W	SPCC576.05_pep, SPCC70.06_pep
OG0000221	YDR178W, YLR164W	SPBP23A10.16_pep
OG0000222	YDR185C, YLR168C	SPBC36.10_pep
OG0000223	YDR200C, YLR238W	SPBC3H7.13_pep
OG0000224	YDR247W, YPL026C	SPBC19C2.05_pep
OG0000225	YDR252W, YPL037C	SPAC4F10.14c_pep
OG0000226	YDR263C, YOR033C	SPBC29A10.05_pep
OG0000227	YDR264C, YOR034C	SPAC2F7.10_pep
OG0000228	YDR312W, YHR066W	SPAC1B9.03c_pep
OG0000229	YDR326C, YHR080C	SPBC20F10.07_pep
OG0000230	YDR338C	SPAC323.07c_pep, SPCC4B3.13_pep
OG0000231	YDR348C, YHR097C	SPCP1E11.04c_pep
OG0000232	YDR358W, YHR108W	SPBC25H2.16c_pep
OG0000233	YDR400W	SPAC17G8.02_pep, SPBC1683.06c_pep
OG0000234	YDR409W, YOR156C	SPAC1687.05_pep
OG0000235	YDR414C	SPAC1D4.05c_pep, SPAC227.01c_pep
OG0000236	YDR441C, YML022W	SPAC23A1.03_pep
OG0000237	YDR453C, YML028W	SPCC576.03c_pep
OG0000238	YDR501W, YLR183C	SPAP14E8.02_pep
OG0000239	YDR505C, YLR177W	SPBPB7E8.02_pep
OG0000240	YDR524C	SPAC26A3.10_pep, SPBC17G9.08c_pep
OG0000241	YEL006W, YIL006W	SPAC227.03c_pep
OG0000242	YEL007W, YHR177W	SPAC31G5.11_pep
OG0000243	YEL022W, YJR031C	SPBC211.03c_pep
OG0000244	YEL039C, YJR048W	SPCC191.07_pep
OG0000245	YEL041W, YJR049C	SPAC3H5.11_pep
OG0000246	YEL047C, YJR051W	SPAC17A2.05_pep
OG0000247	YEL066W, YPR193C	SPAC1002.07c_pep
OG0000248	YER019C-A, YER087C-B	SPBC2G2.03c_pep
OG0000249	YER027C, YGL208W	SPCC1919.03c_pep
OG0000250	YER031C, YGL210W	SPAC18G6.03_pep
OG0000251	YER081W, YIL074C	SPCC364.07_pep
OG0000252	YER109C	SPBC1289.10c_pep, SPCC1494.10_pep
OG0000253	YER142C	SPAPB24D3.04c_pep, SPBC23G7.11_pep
OG0000254	YER154W	SPAC9G1.04_pep, SPBP4H10.03_pep
OG0000255	YFL004W, YPL019C	SPAC14C4.11_pep
OG0000256	YFL033C	SPAPB18E9.02c_pep, SPCC1450.11c_pep
OG0000257	YFL034C-A, YLR061W	SPAC11E3.15_pep
OG0000258	YFL048C, YLR080W	SPBC4F6.05c_pep
OG0000259	YFL050C, YOL130W	SPBC27B12.12c_pep
OG0000260	YFR014C, YOL016C	SPACUNK12.02c_pep
OG0000261	YFR053C, YGL253W	SPAC24H6.04_pep
OG0000262	YGL003C	SPAC144.13c_pep, SPBC1198.12_pep
OG0000263	YGL030W	SPAC1250.05_pep, SPAC9G1.03c_pep
OG0000264	YGL044C	SPAC644.16_pep, SPBC3B9.11c_pep
OG0000265	YGL049C, YGR162W	SPAC17C9.03_pep
OG0000266	YGL082W, YPL191C	SPAC12G12.11c_pep
OG0000267	YGL084C, YPL189W	SPAC24H6.01c_pep
OG0000268	YGL103W	SPBC776.11_pep, SPCC5E4.07_pep
OG0000269	YGL139W, YPL221W	SPAC1F7.03_pep
OG0000270	YGL216W	SPBC1685.15c_pep, SPBC2F12.13_pep
OG0000271	YGR010W, YLR328W	SPAC806.06c_pep
OG0000272	YGR034W, YLR344W	SPBC29B5.03c_pep
OG0000273	YGR038W, YLR350W	SPBC119.09c_pep
OG0000274	YGR056W, YLR357W	SPBC4B4.03_pep
OG0000275	YGR086C, YPL004C	SPCC736.15_pep
OG0000276	YGR092W, YPR111W	SPAC24B11.11c_pep
OG0000277	YGR131W, YPR149W	SPBC1685.13_pep
OG0000278	YGR136W, YPR154W	SPBC119.05c_pep
OG0000279	YGR138C, YPR156C	SPBC409.08_pep
OG0000280	YGR143W, YPR159W	SPAC23H3.11c_pep
OG0000281	YGR184C	SPAC15A10.11_pep, SPBC19C7.02_pep
OG0000282	YGR209C, YLR043C	SPAC7D4.07c_pep
OG0000283	YGR225W	SPAC13G6.08_pep, SPCC1620.04c_pep
OG0000284	YGR238C, YHR158C	SPCC1223.06_pep
OG0000285	YGR241C, YHR161C	SPBC19F8.03c_pep
OG0000286	YGR243W, YHR162W	SPAC24B11.09_pep
OG0000287	YGR254W, YHR174W	SPBC1815.01_pep
OG0000288	YGR283C, YMR310C	SPBC8D2.16c_pep
OG0000289	YHL001W, YKL006W	SPAC1805.13_pep
OG0000290	YHL003C, YKL008C	SPBC3E7.15c_pep
OG0000291	YHL017W, YKL039W	SPAC26H5.07c_pep
OG0000292	YHL033C, YLL045C	SPBC29A3.04_pep
OG0000293	YHL039W, YPL208W	SPBC1709.13c_pep
OG0000294	YHR001W, YKR003W	SPCC23B6.01c_pep
OG0000295	YHR018C	SPBC1539.03c_pep, SPBC1773.14_pep
OG0000296	YHR021C, YKL156W	SPBC1685.10_pep
OG0000297	YHR047C, YKL157W	SPBC1921.05_pep
OG0000298	YHR086W	SPAC17A2.09c_pep, SPBC23E6.01c_pep
OG0000299	YHR115C, YNL116W	SPAC17G8.10c_pep
OG0000300	YHR117W, YNL121C	SPAC6B12.12_pep
OG0000301	YHR123W, YNL130C	SPAC22A12.10_pep
OG0000302	YHR132W-A, YNL157W	SPAC10F6.16_pep
OG0000303	YHR135C	SPBC1347.06c_pep, SPBP35G2.05c_pep
OG0000304	YHR141C, YNL162W	SPAC15E1.03_pep
OG0000305	YHR155W, YNL257C	SPAC19A8.02_pep
OG0000306	YHR198C, YHR199C	SPAC18G6.01c_pep
OG0000307	YHR208W, YJR148W	SPBC428.02c_pep
OG0000308	YHR216W, YLR432W	SPBC2F12.14c_pep
OG0000309	YIL095W, YNL020C	SPBC6B1.02_pep
OG0000310	YIL111W, YNL052W	SPCC338.10c_pep
OG0000311	YIL114C, YNL055C	SPAC1635.01_pep
OG0000312	YIL131C, YNL068C	SPBC16G5.15c_pep
OG0000313	YIL149C, YKR095W	SPCC162.08c_pep
OG0000314	YIR004W	SPAC4H3.01_pep, SPBC3E7.11c_pep
OG0000315	YIR023W	SPAC105.03c_pep, SPAC25B8.11_pep
OG0000316	YIR030C	SPAC1F7.10_pep, SPCC576.02_pep
OG0000317	YIR033W, YKL020C	SPAC26H5.05_pep
OG0000318	YIR035C, YIR036C	SPBC30D10.05c_pep
OG0000319	YJL045W, YKL148C	SPAC1556.02c_pep
OG0000320	YJL052W	SPBC32F12.11_pep, SPBC354.12_pep
OG0000321	YJL081C	SPAC23D3.09_pep, SPBP23A10.08_pep
OG0000322	YJL082W, YKR018C	SPAC11E3.14_pep
OG0000323	YJL083W, YKR019C	SPAC1687.09_pep
OG0000324	YJL098W, YKR028W	SPCC663.01c_pep
OG0000325	YJL105W, YKR029C	SPAC22E12.11c_pep
OG0000326	YJL133W, YKR052C	SPAC8C9.12c_pep
OG0000327	YJL134W, YKR053C	SPAC823.11_pep
OG0000328	YJL136C, YKR057W	SPBC18E5.06_pep
OG0000329	YJL138C, YKR059W	SPAC1006.07_pep
OG0000330	YJL172W, YOL153C	SPAC24C9.08_pep
OG0000331	YJR123W	SPAC328.10c_pep, SPAC8C9.08_pep
OG0000332	YJR130C, YML082W	SPBC15D4.09c_pep
OG0000333	YKL029C	SPAC750.08c_pep, SPCC794.12c_pep
OG0000334	YKL033W-A	SPAC4C5.01_pep, SPCC1020.07_pep
OG0000335	YKL081W, YPL048W	SPAC29A4.02c_pep
OG0000336	YKL121W, YMR102C	SPBC18H10.05_pep
OG0000337	YKL126W, YMR104C	SPCC24B10.07_pep
OG0000338	YKL140W	SPBC16A3.12c_pep, SPCC1672.09_pep
OG0000339	YKL141W, YMR118C	SPCC330.12c_pep
OG0000340	YKR060W	SPAC8F11.04_pep, SPCC306.07c_pep
OG0000341	YKR076W, YMR251W	SPCC1281.07c_pep
OG0000342	YKR089C, YOR081C	SPAC1A6.05c_pep
OG0000343	YLL016W, YLR310C	SPCC1442.01_pep
OG0000344	YLL055W	SPBPB10D8.01_pep, SPCPB1C11.03_pep
OG0000345	YLR045C	SPCC736.14_pep, SPCC895.07_pep
OG0000346	YLR075W	SPAP7G5.05_pep, SPBC18E5.04_pep
OG0000347	YLR167W	SPAC589.10c_pep, SPAC6G10.11c_pep
OG0000348	YLR207W	SPAC1B3.10c_pep, SPBC28F2.08c_pep
OG0000349	YLR248W	SPAC23A1.06c_pep, SPCC1322.08_pep
OG0000350	YLR251W	SPAC3G6.05_pep, SPAC4G9.14_pep
OG0000351	YLR260W, YOR171C	SPAC4A8.07c_pep
OG0000352	YLR270W, YOR173W	SPBP4H10.20_pep
OG0000353	YLR299W	SPAC56E4.06c_pep, SPAC664.09_pep
OG0000354	YLR300W, YOR190W	SPBC1105.05_pep
OG0000355	YLR325C	SPAC30D11.12_pep, SPBC577.02_pep
OG0000356	YLR411W	SPAC1142.05_pep, SPCC1393.10_pep
OG0000357	YLR430W	SPAC6G9.10c_pep, SPBC29A10.10c_pep
OG0000358	YLR448W, YML073C	SPCC622.18_pep
OG0000359	YLR449W, YML074C	SPBC1347.02_pep
