	Debaryomyces_hansenii	Saccharomyces_cerevisiae
OG0000010	augustus_masked-Deha2C-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-7.140&CDS=1-1392, augustus_masked-Deha2F-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-6.28&CDS=1-2772	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000011	augustus_masked-Deha2C-processed-gene-10.63-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.63&CDS=1-1950, augustus_masked-Deha2C-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-3.124&CDS=1-2373, snap_masked-Deha2A-processed-gene-2.93-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-2.93&CDS=1-2118	YER001W, YGL257C, YNR059W
OG0000012	augustus_masked-Deha2B-processed-gene-7.70-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-7.70&CDS=1-570, augustus_masked-Deha2D-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.90&CDS=1-654, augustus_masked-Deha2D-processed-gene-10.10-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-10.10&CDS=1-933	YHL034C, YIR001C, YLL046C
OG0000013	augustus_masked-Deha2D-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.83&CDS=1-1887, augustus_masked-Deha2E-processed-gene-12.8-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-12.8&CDS=1-1884	YCL069W, YGR224W, YKR105C, YPR198W
OG0000014	augustus_masked-Deha2F-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.74&CDS=1-2178, maker-Deha2F-augustus-gene-20.105-mRNA-1_1&gene=maker-Deha2F-augustus-gene-20.105&CDS=1-3936	YMR006C, YMR008C, YNL012W, YOL011W
OG0000015	augustus_masked-Deha2A-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.83&CDS=1-1716, augustus_masked-Deha2G-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-6.10&CDS=1-1704, maker-Deha2G-augustus-gene-4.46-mRNA-1_1&gene=maker-Deha2G-augustus-gene-4.46&CDS=1-2985	YCL025C, YDR508C
OG0000016	augustus_masked-Deha2A-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.8&CDS=1-1017	YDL244W, YFL058W, YJR156C, YNL332W
OG0000017	augustus_masked-Deha2A-processed-gene-6.73-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.73&CDS=1-1737, augustus_masked-Deha2E-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-0.88&CDS=1-1746	YBR298C, YDL247W, YJR160C
OG0000018	augustus_masked-Deha2A-processed-gene-6.90-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-6.90&CDS=1-1953	YBR297W, YFL052W, YGR288W, YPR196W
OG0000019	augustus_masked-Deha2C-processed-gene-14.301-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-14.301&CDS=1-1599, maker-Deha2A-augustus-gene-10.170-mRNA-1_1&gene=maker-Deha2A-augustus-gene-10.170&CDS=1-3408	YDR144C, YLR120C, YLR121C
OG0000020	augustus_masked-Deha2A-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.110&CDS=1-1176, maker-Deha2D-augustus-gene-7.3-mRNA-1_1&gene=maker-Deha2D-augustus-gene-7.3&CDS=1-2259	YER045C, YIL036W, YNL167C
OG0000021	augustus_masked-Deha2C-processed-gene-10.51-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.51&CDS=1-2877, augustus_masked-Deha2F-processed-gene-19.78-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-19.78&CDS=1-687, snap_masked-Deha2A-processed-gene-11.62-mRNA-1_1&gene=snap_masked-Deha2A-processed-gene-11.62&CDS=1-3921	YFR007W, YPL248C
OG0000022	augustus_masked-Deha2B-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.130&CDS=1-993	YLR155C, YLR157C, YLR158C, YLR160C
OG0000023	augustus_masked-Deha2B-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.24&CDS=1-4230, augustus_masked-Deha2B-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-11.58&CDS=1-4287, augustus_masked-Deha2C-processed-gene-11.69-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-11.69&CDS=1-4497, snap_masked-Deha2G-processed-gene-19.144-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-19.144&CDS=1-5205	YGR281W
OG0000024	augustus_masked-Deha2B-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-4.83&CDS=1-1647, augustus_masked-Deha2E-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-1.135&CDS=1-1686, augustus_masked-Deha2F-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-0.108&CDS=1-1632, snap_masked-Deha2E-processed-gene-1.82-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-1.82&CDS=1-1647	YDR536W
OG0000025	augustus_masked-Deha2B-processed-gene-8.63-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.63&CDS=1-2187, augustus_masked-Deha2B-processed-gene-9.145-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-9.145&CDS=1-2265, augustus_masked-Deha2G-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-0.28&CDS=1-2292, maker-Deha2D-snap-gene-8.150-mRNA-1_1&gene=maker-Deha2D-snap-gene-8.150&CDS=1-4302	YER015W
OG0000026	augustus_masked-Deha2B-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-11.76&CDS=1-4131, snap_masked-Deha2B-processed-gene-11.2-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-11.2&CDS=1-2055, snap_masked-Deha2B-processed-gene-11.3-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-11.3&CDS=1-2037, snap_masked-Deha2B-processed-gene-11.32-mRNA-1_1&gene=snap_masked-Deha2B-processed-gene-11.32&CDS=1-2010	YPR159W
OG0000027	augustus_masked-Deha2E-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-0.79&CDS=1-2688, augustus_masked-Deha2G-processed-gene-16.5-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-16.5&CDS=1-2442, genemark-Deha2B-processed-gene-12.178-mRNA-1_1&gene=genemark-Deha2B-processed-gene-12.178&CDS=1-2229, maker-Deha2B-augustus-gene-12.143-mRNA-1_1&gene=maker-Deha2B-augustus-gene-12.143&CDS=1-3321	YPR022C
OG0000028	augustus_masked-Deha2B-processed-gene-12.58-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-12.58&CDS=1-4524, augustus_masked-Deha2F-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-0.81&CDS=1-3480, maker-Deha2F-snap-gene-14.3-mRNA-1_1&gene=maker-Deha2F-snap-gene-14.3&CDS=1-4851, maker-Deha2G-augustus-gene-12.59-mRNA-1_1&gene=maker-Deha2G-augustus-gene-12.59&CDS=1-8838	YOR153W
OG0000029	augustus_masked-Deha2C-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-2.134&CDS=1-3228, augustus_masked-Deha2G-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-7.69&CDS=1-3219	YDR038C, YDR039C, YDR040C
OG0000030	augustus_masked-Deha2C-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.86&CDS=1-1761, augustus_masked-Deha2C-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-6.77&CDS=1-1755, augustus_masked-Deha2E-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.5&CDS=1-1746, augustus_masked-Deha2G-processed-gene-6.6-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-6.6&CDS=1-1767	YKR039W
OG0000031	augustus_masked-Deha2C-processed-gene-14.236-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-14.236&CDS=1-990, augustus_masked-Deha2F-processed-gene-3.75-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-3.75&CDS=1-993, augustus_masked-Deha2F-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-4.71&CDS=1-930, augustus_masked-Deha2G-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-3.81&CDS=1-999	YKL128C
OG0000032	augustus_masked-Deha2C-processed-gene-14.254-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-14.254&CDS=1-1596, augustus_masked-Deha2D-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-0.74&CDS=1-1656, augustus_masked-Deha2D-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.65&CDS=1-1626, genemark-Deha2F-processed-gene-22.133-mRNA-1_1&gene=genemark-Deha2F-processed-gene-22.133&CDS=1-1545	YBR008C
OG0000033	augustus_masked-Deha2D-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-4.95&CDS=1-2490, augustus_masked-Deha2E-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-5.128&CDS=1-2802	YCR037C, YJL198W, YNR013C
OG0000034	augustus_masked-Deha2F-processed-gene-22.75-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.75&CDS=1-954, maker-Deha2F-snap-gene-22.109-mRNA-1_1&gene=maker-Deha2F-snap-gene-22.109&CDS=1-1137, snap_masked-Deha2D-processed-gene-9.108-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-9.108&CDS=1-930, snap_masked-Deha2D-processed-gene-9.110-mRNA-1_1&gene=snap_masked-Deha2D-processed-gene-9.110&CDS=1-639	YER185W
OG0000035	augustus_masked-Deha2D-processed-gene-15.117-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-15.117&CDS=1-1584, augustus_masked-Deha2E-processed-gene-19.81-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-19.81&CDS=1-1608, augustus_masked-Deha2F-processed-gene-14.128-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-14.128&CDS=1-1539, augustus_masked-Deha2F-processed-gene-22.95-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-22.95&CDS=1-1518	YKL217W
OG0000036	augustus_masked-Deha2E-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-5.136&CDS=1-864, snap_masked-Deha2F-processed-gene-21.73-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-21.73&CDS=1-1095, snap_masked-Deha2G-processed-gene-3.112-mRNA-1_1&gene=snap_masked-Deha2G-processed-gene-3.112&CDS=1-1203	YIR013C, YLR013W
OG0000037	augustus_masked-Deha2E-processed-gene-9.9-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-9.9&CDS=1-2394, snap_masked-Deha2E-processed-gene-9.50-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-9.50&CDS=1-2646, snap_masked-Deha2E-processed-gene-9.51-mRNA-1_1&gene=snap_masked-Deha2E-processed-gene-9.51&CDS=1-2727	YBR150C, YOL089C
OG0000038	genemark-Deha2E-processed-gene-13.46-mRNA-1_1&gene=genemark-Deha2E-processed-gene-13.46&CDS=1-4710	YBL017C, YIL173W, YJL222W, YNR065C
OG0000039	augustus_masked-Deha2F-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-11.55&CDS=1-2010, genemark-Deha2F-processed-gene-8.43-mRNA-1_1&gene=genemark-Deha2F-processed-gene-8.43&CDS=1-1134	YDR253C, YGR067C, YPL038W
OG0000040	snap_masked-Deha2F-processed-gene-8.131-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-8.131&CDS=1-1821	YKL222C, YLR266C, YOR162C, YOR172W
OG0000041	augustus_masked-Deha2F-processed-gene-21.119-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-21.119&CDS=1-2862, augustus_masked-Deha2F-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-8.75&CDS=1-2676	YDR326C, YFL042C, YHR080C
OG0000042	augustus_masked-Deha2G-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-2.9&CDS=1-2799	YML111W, YMR275C, YNR068C, YNR069C
OG0000043	augustus_masked-Deha2A-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.74&CDS=1-966, augustus_masked-Deha2E-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-8.122&CDS=1-969, maker-Deha2E-snap-gene-8.3-mRNA-1_1&gene=maker-Deha2E-snap-gene-8.3&CDS=1-2802	YJR019C
OG0000044	augustus_masked-Deha2A-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.57&CDS=1-828, augustus_masked-Deha2E-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-1.148&CDS=1-828	YLR284C, YOR180C
OG0000045	augustus_masked-Deha2A-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-0.80&CDS=1-1053	YLL062C, YMR321C, YPL273W
OG0000046	augustus_masked-Deha2A-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-1.120&CDS=1-1050, augustus_masked-Deha2D-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.95&CDS=1-1020	YCL064C, YIL167W
OG0000047	augustus_masked-Deha2A-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-2.9&CDS=1-1839, augustus_masked-Deha2B-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-10.18&CDS=1-1800	YHL039W, YPL208W
OG0000048	augustus_masked-Deha2A-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.50&CDS=1-1782, augustus_masked-Deha2F-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-Deha2F-processed-gene-1.0&CDS=1-1821, genemark-Deha2B-processed-gene-0.46-mRNA-1_1&gene=genemark-Deha2B-processed-gene-0.46&CDS=1-1692	YFL053W
OG0000049	augustus_masked-Deha2A-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-3.64&CDS=1-3279	YDR492W, YOL002C, YOR238W
OG0000050	augustus_masked-Deha2A-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-5.69&CDS=1-1011, augustus_masked-Deha2D-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.89&CDS=1-1020	YDR541C, YOL151W
OG0000051	augustus_masked-Deha2C-processed-gene-10.68-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-10.68&CDS=1-1557, augustus_masked-Deha2G-processed-gene-19.65-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-19.65&CDS=1-1557, maker-Deha2A-snap-gene-6.96-mRNA-1_1&gene=maker-Deha2A-snap-gene-6.96&CDS=1-3066	YJR152W
OG0000052	augustus_masked-Deha2A-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.127&CDS=1-309, augustus_masked-Deha2D-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-10.23&CDS=1-309	YBR009C, YNL030W
OG0000053	augustus_masked-Deha2A-processed-gene-9.122-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-9.122&CDS=1-408, augustus_masked-Deha2D-processed-gene-10.42-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-10.42&CDS=1-408	YBR010W, YNL031C
OG0000054	augustus_masked-Deha2A-processed-gene-11.119-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.119&CDS=1-999, augustus_masked-Deha2C-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-6.48&CDS=1-993	YIL035C, YOR061W
OG0000055	augustus_masked-Deha2A-processed-gene-11.96-mRNA-1_1&gene=augustus_masked-Deha2A-processed-gene-11.96&CDS=1-393, maker-Deha2B-augustus-gene-4.67-mRNA-1_1&gene=maker-Deha2B-augustus-gene-4.67&CDS=1-495	YER112W, YGR074W
OG0000056	augustus_masked-Deha2B-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-0.114&CDS=1-2520, augustus_masked-Deha2E-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-7.78&CDS=1-1494	YGR260W, YPR147C
OG0000057	augustus_masked-Deha2B-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-1.33&CDS=1-939, augustus_masked-Deha2E-processed-gene-17.89-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-17.89&CDS=1-855	YHR090C, YOR064C
OG0000058	augustus_masked-Deha2G-processed-gene-12.146-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-12.146&CDS=1-390, genemark-Deha2B-processed-gene-5.141-mRNA-1_1&gene=genemark-Deha2B-processed-gene-5.141&CDS=1-390	YJL190C, YLR367W
OG0000059	augustus_masked-Deha2B-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-6.74&CDS=1-534, augustus_masked-Deha2E-processed-gene-14.117-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-14.117&CDS=1-555, augustus_masked-Deha2G-processed-gene-14.41-mRNA-1_1&gene=augustus_masked-Deha2G-processed-gene-14.41&CDS=1-519	YLR109W
OG0000060	augustus_masked-Deha2B-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-7.99&CDS=1-1149, augustus_masked-Deha2C-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-2.145&CDS=1-1155, augustus_masked-Deha2D-processed-gene-14.140-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-14.140&CDS=1-1140	YLL057C
OG0000061	augustus_masked-Deha2B-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.67&CDS=1-1083, maker-Deha2D-snap-gene-4.101-mRNA-1_1&gene=maker-Deha2D-snap-gene-4.101&CDS=1-1311, snap_masked-Deha2F-processed-gene-14.95-mRNA-1_1&gene=snap_masked-Deha2F-processed-gene-14.95&CDS=1-279	YHL028W
OG0000062	augustus_masked-Deha2B-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-8.101&CDS=1-1977, augustus_masked-Deha2E-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-4.105&CDS=1-2751	YEL061C, YKL079W
OG0000063	augustus_masked-Deha2B-processed-gene-10.0-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-10.0&CDS=1-1719, augustus_masked-Deha2C-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-Deha2C-processed-gene-0.7&CDS=1-1752, maker-Deha2F-augustus-gene-14.163-mRNA-1_1&gene=maker-Deha2F-augustus-gene-14.163&CDS=1-2916	YBR015C
OG0000064	augustus_masked-Deha2B-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-11.79&CDS=1-2193, augustus_masked-Deha2D-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-Deha2D-processed-gene-1.70&CDS=1-1581	YDL138W, YDL194W
OG0000065	augustus_masked-Deha2B-processed-gene-11.61-mRNA-1_1&gene=augustus_masked-Deha2B-processed-gene-11.61&CDS=1-543, augustus_masked-Deha2E-processed-gene-1.147-mRNA-1_1&gene=augustus_masked-Deha2E-processed-gene-1.147&CDS=1-543	YDL137W, YDL192W
