	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
OG0000013	maker-CANI0S19-snap-gene-5.45-mRNA-1_1&gene=maker-CANI0S19-snap-gene-5.45&CDS=1-1914, snap_masked-CANI0S09-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-0.16&CDS=1-1572, snap_masked-CANI0S17-processed-gene-7.105-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-7.105&CDS=1-1497	YER073W, YOR374W, YPL061W
OG0000014	snap_masked-CANI0S02-processed-gene-5.65-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.65&CDS=1-498, snap_masked-CANI0S02-processed-gene-5.81-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.81&CDS=1-504	YCL067C, YCR039C, YCR096C
OG0000015	maker-CANI0S19-snap-gene-2.159-mRNA-1_1&gene=maker-CANI0S19-snap-gene-2.159&CDS=1-4554, snap_masked-CANI0S04-processed-gene-0.9-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.9&CDS=1-2196, snap_masked-CANI0S04-processed-gene-2.109-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.109&CDS=1-2223	YAL023C, YGR199W
OG0000016	augustus_masked-CANI0S04-processed-gene-6.45-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-6.45&CDS=1-1632, augustus_masked-CANI0S19-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-3.72&CDS=1-1581, snap_masked-CANI0S20-processed-gene-1.105-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-1.105&CDS=1-1635	YER123W, YHR135C
OG0000017	snap_masked-CANI0S04-processed-gene-7.32-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-7.32&CDS=1-1116, snap_masked-CANI0S15-processed-gene-3.69-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.69&CDS=1-1116	YCR102C, YLR460C, YNL134C
OG0000018	snap_masked-CANI0S04-processed-gene-10.87-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-10.87&CDS=1-1236, snap_masked-CANI0S17-processed-gene-0.74-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-0.74&CDS=1-1233, snap_masked-CANI0S28-processed-gene-4.10-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.10&CDS=1-1269	YDL066W, YLR174W
OG0000019	augustus_masked-CANI0S04-processed-gene-12.77-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-12.77&CDS=1-13977, snap_masked-CANI0S19-processed-gene-3.11-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-3.11&CDS=1-4902	YER132C, YGL195W, YGL197W
OG0000020	snap_masked-CANI0S06-processed-gene-0.24-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-0.24&CDS=1-1710, snap_masked-CANI0S07-processed-gene-4.34-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-4.34&CDS=1-1512, snap_masked-CANI0S22-processed-gene-0.109-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-0.109&CDS=1-1671	YLR343W, YMR307W
OG0000021	augustus_masked-CANI0S28-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-1.101&CDS=1-1755, snap_masked-CANI0S06-processed-gene-0.20-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-0.20&CDS=1-1515, snap_masked-CANI0S19-processed-gene-3.13-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-3.13&CDS=1-1011	YER130C, YKL062W
OG0000022	snap_masked-CANI0S06-processed-gene-3.75-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-3.75&CDS=1-309, snap_masked-CANI0S17-processed-gene-4.141-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-4.141&CDS=1-309, snap_masked-CANI0S22-processed-gene-4.67-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.67&CDS=1-309	YBR009C, YNL030W
OG0000023	snap_masked-CANI0S06-processed-gene-3.66-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-3.66&CDS=1-408, snap_masked-CANI0S17-processed-gene-4.120-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-4.120&CDS=1-408, snap_masked-CANI0S22-processed-gene-4.25-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.25&CDS=1-408	YBR010W, YNL031C
OG0000024	snap_masked-CANI0S07-processed-gene-2.127-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-2.127&CDS=1-924, snap_masked-CANI0S17-processed-gene-9.11-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-9.11&CDS=1-909, snap_masked-CANI0S28-processed-gene-6.10-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-6.10&CDS=1-936	YGR086C, YPL004C
OG0000025	snap_masked-CANI0S07-processed-gene-3.11-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-3.11&CDS=1-1989, snap_masked-CANI0S07-processed-gene-4.3-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-4.3&CDS=1-1914, snap_masked-CANI0S22-processed-gene-4.51-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.51&CDS=1-1830, snap_masked-CANI0S22-processed-gene-4.52-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.52&CDS=1-1905	YIL014W
OG0000026	snap_masked-CANI0S08-processed-gene-0.23-mRNA-1_1&gene=snap_masked-CANI0S08-processed-gene-0.23&CDS=1-2091, snap_masked-CANI0S19-processed-gene-8.85-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-8.85&CDS=1-2088	YIL009W, YMR246W, YOR317W
OG0000027	maker-CANI0S28-snap-gene-1.130-mRNA-1_1&gene=maker-CANI0S28-snap-gene-1.130&CDS=1-1227, snap_masked-CANI0S09-processed-gene-4.15-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-4.15&CDS=1-1482	YJL164C, YKL166C, YPL203W
OG0000028	snap_masked-CANI0S09-processed-gene-8.129-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-8.129&CDS=1-1683, snap_masked-CANI0S15-processed-gene-3.33-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-3.33&CDS=1-1569	YOL055C, YPL258C, YPR121W
OG0000029	snap_masked-CANI0S15-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CANI0S15-processed-gene-1.100&CDS=1-1935, snap_masked-CANI0S17-processed-gene-2.132-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-2.132&CDS=1-1953, snap_masked-CANI0S20-processed-gene-5.119-mRNA-1_1&gene=snap_masked-CANI0S20-processed-gene-5.119&CDS=1-1950	YJR045C, YLR369W
OG0000030	augustus_masked-CANI0S18-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-2.35&CDS=1-1305, augustus_masked-CANI0S29-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-CANI0S29-processed-gene-0.44&CDS=1-1947, augustus_masked-CANI0S29-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CANI0S29-processed-gene-0.56&CDS=1-3594, snap_masked-CANI0S16-processed-gene-4.36-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-4.36&CDS=1-2343, snap_masked-CANI0S18-processed-gene-1.97-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-1.97&CDS=1-1848	
OG0000031	snap_masked-CANI0S22-processed-gene-0.122-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-0.122&CDS=1-4539	YBL017C, YIL173W, YJL222W, YNR065C
OG0000032	augustus_masked-CANI0S22-processed-gene-4.101-mRNA-1_1&gene=augustus_masked-CANI0S22-processed-gene-4.101&CDS=1-681, augustus_masked-CANI0S22-processed-gene-4.139-mRNA-1_1&gene=augustus_masked-CANI0S22-processed-gene-4.139&CDS=1-675, augustus_masked-CANI0S28-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-CANI0S28-processed-gene-4.87&CDS=1-642	YER011W, YOR010C
OG0000033	maker-CANI0S25-snap-gene-1.91-mRNA-1_1&gene=maker-CANI0S25-snap-gene-1.91&CDS=1-3591, snap_masked-CANI0S25-processed-gene-2.119-mRNA-1_1&gene=snap_masked-CANI0S25-processed-gene-2.119&CDS=1-2343	YOR231W, YPL140C, YPL141C
OG0000034	maker-CANI0S27-snap-gene-0.5-mRNA-1_1&gene=maker-CANI0S27-snap-gene-0.5&CDS=1-531	Q0105, Q0110, Q0115, Q0120
OG0000035	augustus_masked-CANI0S02-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-0.59&CDS=1-2622, snap_masked-CANI0S17-processed-gene-5.41-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-5.41&CDS=1-2874	YDR069C, YER144C
OG0000036	snap_masked-CANI0S02-processed-gene-1.110-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-1.110&CDS=1-1062, snap_masked-CANI0S06-processed-gene-2.106-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-2.106&CDS=1-990	YER028C, YGL209W
OG0000037	augustus_masked-CANI0S18-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-3.91&CDS=1-1218, snap_masked-CANI0S02-processed-gene-1.132-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-1.132&CDS=1-1464	YDR200C, YLR238W
OG0000038	augustus_masked-CANI0S02-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-1.44&CDS=1-3060, augustus_masked-CANI0S18-processed-gene-6.48-mRNA-1_1&gene=augustus_masked-CANI0S18-processed-gene-6.48&CDS=1-3261	YBR150C, YOL089C
OG0000039	snap_masked-CANI0S02-processed-gene-2.10-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-2.10&CDS=1-4098, snap_masked-CANI0S04-processed-gene-0.30-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.30&CDS=1-3543	YAL017W, YOL045W
OG0000040	snap_masked-CANI0S02-processed-gene-2.21-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-2.21&CDS=1-1728, snap_masked-CANI0S07-processed-gene-5.148-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-5.148&CDS=1-1770	YDR144C, YLR120C
OG0000041	maker-CANI0S09-snap-gene-8.1-mRNA-1_1&gene=maker-CANI0S09-snap-gene-8.1&CDS=1-4101, snap_masked-CANI0S02-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-3.115&CDS=1-2085	YMR008C, YOL011W
OG0000042	genemark-CANI0S02-processed-gene-3.91-mRNA-1_1&gene=genemark-CANI0S02-processed-gene-3.91&CDS=1-936, snap_masked-CANI0S17-processed-gene-3.106-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-3.106&CDS=1-933	YDR492W, YOL002C
OG0000043	snap_masked-CANI0S02-processed-gene-3.121-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-3.121&CDS=1-1479, snap_masked-CANI0S17-processed-gene-0.104-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-0.104&CDS=1-2058	YEL060C, YOR003W
OG0000044	snap_masked-CANI0S02-processed-gene-4.84-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-4.84&CDS=1-2046, snap_masked-CANI0S09-processed-gene-0.24-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-0.24&CDS=1-2979	YGL049C, YGR162W
OG0000045	augustus_masked-CANI0S02-processed-gene-4.62-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-4.62&CDS=1-4629, snap_masked-CANI0S07-processed-gene-0.119-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-0.119&CDS=1-4584	YDR135C, YLL015W
OG0000046	snap_masked-CANI0S02-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.17&CDS=1-1029, snap_masked-CANI0S16-processed-gene-3.26-mRNA-1_1&gene=snap_masked-CANI0S16-processed-gene-3.26&CDS=1-834	YCR010C, YNR002C
OG0000047	genemark-CANI0S02-processed-gene-5.202-mRNA-1_1&gene=genemark-CANI0S02-processed-gene-5.202&CDS=1-348, snap_masked-CANI0S02-processed-gene-5.27-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.27&CDS=1-288	YCL066W, YCR040W
OG0000048	augustus_masked-CANI0S07-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-CANI0S07-processed-gene-6.79&CDS=1-1401, snap_masked-CANI0S02-processed-gene-5.28-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.28&CDS=1-1599	YDR501W, YLR183C
OG0000049	snap_masked-CANI0S02-processed-gene-5.68-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.68&CDS=1-1146, snap_masked-CANI0S07-processed-gene-6.43-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-6.43&CDS=1-1149	YDR502C, YLR180W
OG0000050	snap_masked-CANI0S02-processed-gene-5.48-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.48&CDS=1-1086, snap_masked-CANI0S22-processed-gene-4.6-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-4.6&CDS=1-999	YCL064C, YIL167W
OG0000051	augustus_masked-CANI0S19-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-CANI0S19-processed-gene-2.58&CDS=1-1005, snap_masked-CANI0S04-processed-gene-0.10-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.10&CDS=1-990, snap_masked-CANI0S28-processed-gene-4.23-mRNA-1_1&gene=snap_masked-CANI0S28-processed-gene-4.23&CDS=1-987	YGR213C
OG0000052	snap_masked-CANI0S04-processed-gene-0.14-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.14&CDS=1-1104, snap_masked-CANI0S18-processed-gene-5.87-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-5.87&CDS=1-1056	YMR303C, YOL086C
OG0000053	augustus_masked-CANI0S22-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-CANI0S22-processed-gene-4.100&CDS=1-2058, snap_masked-CANI0S04-processed-gene-0.38-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.38&CDS=1-2397	YER017C, YMR089C
OG0000054	augustus_masked-CANI0S04-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.75&CDS=1-828, snap_masked-CANI0S19-processed-gene-6.26-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-6.26&CDS=1-876	YBR024W, YBR037C
OG0000055	genemark-CANI0S19-processed-gene-6.118-mRNA-1_1&gene=genemark-CANI0S19-processed-gene-6.118&CDS=1-5817, snap_masked-CANI0S04-processed-gene-1.101-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.101&CDS=1-3537	YBR023C, YBR038W
OG0000056	snap_masked-CANI0S04-processed-gene-1.116-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.116&CDS=1-1971, snap_masked-CANI0S18-processed-gene-7.189-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-7.189&CDS=1-1872	YBL042C, YBR021W
OG0000057	snap_masked-CANI0S04-processed-gene-1.120-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.120&CDS=1-789, snap_masked-CANI0S18-processed-gene-4.47-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-4.47&CDS=1-1305	YNL108C, YOR110W
OG0000058	augustus_masked-CANI0S04-processed-gene-7.125-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-7.125&CDS=1-1767, snap_masked-CANI0S04-processed-gene-1.126-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.126&CDS=1-1785	YNL095C, YOR092W
OG0000059	snap_masked-CANI0S04-processed-gene-2.95-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.95&CDS=1-2373, snap_masked-CANI0S09-processed-gene-6.121-mRNA-1_1&gene=snap_masked-CANI0S09-processed-gene-6.121&CDS=1-2646	YKR089C, YOR081C
OG0000060	snap_masked-CANI0S04-processed-gene-3.89-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.89&CDS=1-2268, snap_masked-CANI0S18-processed-gene-4.22-mRNA-1_1&gene=snap_masked-CANI0S18-processed-gene-4.22&CDS=1-2211	YJL082W, YKR018C
OG0000061	snap_masked-CANI0S04-processed-gene-3.116-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.116&CDS=1-915	YBL030C, YBR085W, YMR056C
OG0000062	snap_masked-CANI0S04-processed-gene-4.9-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-4.9&CDS=1-1041, snap_masked-CANI0S17-processed-gene-9.6-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-9.6&CDS=1-1200	YGR109C, YPR120C
OG0000063	snap_masked-CANI0S04-processed-gene-4.26-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-4.26&CDS=1-2118, snap_masked-CANI0S17-processed-gene-5.34-mRNA-1_1&gene=snap_masked-CANI0S17-processed-gene-5.34&CDS=1-2052	YAL054C, YLR153C
OG0000064	snap_masked-CANI0S04-processed-gene-5.84-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.84&CDS=1-1164, snap_masked-CANI0S22-processed-gene-2.39-mRNA-1_1&gene=snap_masked-CANI0S22-processed-gene-2.39&CDS=1-963	YAL034C, YOR338W
OG0000065	snap_masked-CANI0S04-processed-gene-5.90-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.90&CDS=1-1542, snap_masked-CANI0S07-processed-gene-0.117-mRNA-1_1&gene=snap_masked-CANI0S07-processed-gene-0.117&CDS=1-1686	YDR132C, YLR108C
OG0000066	snap_masked-CANI0S04-processed-gene-5.96-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.96&CDS=1-1200, snap_masked-CANI0S19-processed-gene-1.136-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.136&CDS=1-1281	YDR125C, YLR099C
OG0000067	snap_masked-CANI0S04-processed-gene-5.114-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-5.114&CDS=1-3648, snap_masked-CANI0S19-processed-gene-1.115-mRNA-1_1&gene=snap_masked-CANI0S19-processed-gene-1.115&CDS=1-2760	YDR122W, YLR096W
OG0000068	snap_masked-CANI0S04-processed-gene-6.117-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-6.117&CDS=1-1251, snap_masked-CANI0S06-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-5.25&CDS=1-1545	YMR177W, YPL224C
OG0000069	snap_masked-CANI0S04-processed-gene-6.102-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-6.102&CDS=1-2505, snap_masked-CANI0S06-processed-gene-5.43-mRNA-1_1&gene=snap_masked-CANI0S06-processed-gene-5.43&CDS=1-2445	YGL139W, YPL221W
OG0000070	augustus_masked-CANI0S06-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-CANI0S06-processed-gene-5.89&CDS=1-1683, snap_masked-CANI0S04-processed-gene-6.103-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-6.103&CDS=1-1428	YGL134W, YPL219W
OG0000071	maker-CANI0S18-snap-gene-2.69-mRNA-1_1&gene=maker-CANI0S18-snap-gene-2.69&CDS=1-2343, snap_masked-CANI0S04-processed-gene-6.123-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-6.123&CDS=1-1200	YHR179W, YPL171C
