	Hanseniaspora_vinae	Saccharomyces_cerevisiae
OG0000046	augustus_masked-JFAV02000093.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-JFAV02000093.1-processed-gene-0.86&CDS=1-3186, augustus_masked-JFAV02000122.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.12&CDS=1-3687	YBR245C, YOR304W
OG0000047	augustus_masked-JFAV02000098.1-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-JFAV02000098.1-processed-gene-0.30&CDS=1-2349, augustus_masked-JFAV02000129.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000129.1-processed-gene-0.27&CDS=1-2340	YJL200C, YLR304C
OG0000048	augustus_masked-JFAV02000147.1-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-JFAV02000147.1-processed-gene-0.100&CDS=1-1035, maker-JFAV02000099.1-augustus-gene-0.27-mRNA-1_1&gene=maker-JFAV02000099.1-augustus-gene-0.27&CDS=1-1050	YDR492W, YOL002C
OG0000049	maker-JFAV02000099.1-augustus-gene-0.28-mRNA-1_1&gene=maker-JFAV02000099.1-augustus-gene-0.28&CDS=1-2619, snap_masked-JFAV02000132.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-JFAV02000132.1-processed-gene-0.44&CDS=1-1926	YLR188W, YPL270W
OG0000050	augustus_masked-JFAV02000100.1-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.21&CDS=1-1335, snap_masked-JFAV02000256.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-JFAV02000256.1-processed-gene-0.61&CDS=1-1410	YDR261C, YLR300W
OG0000051	augustus_masked-JFAV02000101.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.12&CDS=1-2061, augustus_masked-JFAV02000213.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000213.1-processed-gene-0.3&CDS=1-2064, augustus_masked-JFAV02000255.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000255.1-processed-gene-0.6&CDS=1-2091	YDL141W
OG0000052	genemark-JFAV02000123.1-processed-gene-0.87-mRNA-1_1&gene=genemark-JFAV02000123.1-processed-gene-0.87&CDS=1-1860, maker-JFAV02000102.1-snap-gene-0.56-mRNA-1_1&gene=maker-JFAV02000102.1-snap-gene-0.56&CDS=1-3582	YGR224W, YKR105C
OG0000053	augustus_masked-JFAV02000104.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.38&CDS=1-2430, augustus_masked-JFAV02000176.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000176.1-processed-gene-0.24&CDS=1-2742	YER017C, YMR089C
OG0000054	maker-JFAV02000104.1-snap-gene-0.108-mRNA-1_1&gene=maker-JFAV02000104.1-snap-gene-0.108&CDS=1-5109, maker-JFAV02000206.1-snap-gene-0.0-mRNA-1_1&gene=maker-JFAV02000206.1-snap-gene-0.0&CDS=1-4170	YIL126W, YOR290C
OG0000055	augustus_masked-JFAV02000106.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.4&CDS=1-1572, augustus_masked-JFAV02000263.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000263.1-processed-gene-0.19&CDS=1-1782	YGR055W, YHL036W
OG0000056	augustus_masked-JFAV02000106.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.8&CDS=1-2328, augustus_masked-JFAV02000156.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000156.1-processed-gene-0.11&CDS=1-2220	YAL023C, YGR199W
OG0000057	augustus_masked-JFAV02000106.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.12&CDS=1-4890, augustus_masked-JFAV02000291.1-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-JFAV02000291.1-processed-gene-1.4&CDS=1-5583	YHR023W, YOR326W
OG0000058	augustus_masked-JFAV02000106.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000106.1-processed-gene-0.15&CDS=1-1191, snap_masked-JFAV02000193.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-JFAV02000193.1-processed-gene-0.22&CDS=1-1566	YOR334W, YPL060W
OG0000059	augustus_masked-JFAV02000109.1-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-JFAV02000109.1-processed-gene-0.93&CDS=1-1350, augustus_masked-JFAV02000122.1-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-JFAV02000122.1-processed-gene-0.39&CDS=1-1416	YKL046C, YMR238W
OG0000060	augustus_masked-JFAV02000282.1-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-JFAV02000282.1-processed-gene-0.201&CDS=1-1185, maker-JFAV02000109.1-augustus-gene-0.75-mRNA-1_1&gene=maker-JFAV02000109.1-augustus-gene-0.75&CDS=1-2292	YBR025C, YHL014C
OG0000061	augustus_masked-JFAV02000242.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-JFAV02000242.1-processed-gene-0.55&CDS=1-1545, snap_masked-JFAV02000114.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000114.1-processed-gene-0.3&CDS=1-2061	YER028C, YGL209W
