	Saccharomyces_cerevisiae	yHMPu5000034890_Ogataea_ramenticola
OG0000010	YBR015C	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.129-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-3.129&CDS=1-1623, augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_15_length_375730_cov_128.345_ID_29-processed-gene-1.115&CDS=1-1761, augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-0.132&CDS=1-1728, augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_4_length_655877_cov_104.434_ID_7-processed-gene-3.30&CDS=1-2217, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.40&CDS=1-2046, augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NODE_6_length_541680_cov_107.521_ID_11-processed-gene-4.53&CDS=1-2163
OG0000011	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.167-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-2.167&CDS=1-1623, augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.71&CDS=1-1677, augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.21&CDS=1-1668
OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_29_length_124316_cov_183.598_ID_57-processed-gene-0.29&CDS=1-1914
OG0000013	YHR179W, YPL171C	augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-0.94&CDS=1-1188, augustus_masked-NODE_26_length_171845_cov_113.307_ID_51-processed-gene-0.214-mRNA-1_1&gene=augustus_masked-NODE_26_length_171845_cov_113.307_ID_51-processed-gene-0.214&CDS=1-1191, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-5.28&CDS=1-1191, genemark-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.226-mRNA-1_1&gene=genemark-NODE_24_length_187661_cov_169.262_ID_47-processed-gene-0.226&CDS=1-1137, maker-NODE_26_length_171845_cov_113.307_ID_51-augustus-gene-0.155-mRNA-1_1&gene=maker-NODE_26_length_171845_cov_113.307_ID_51-augustus-gene-0.155&CDS=1-2400
OG0000014	YKL215C	augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-NODE_17_length_294818_cov_144.65_ID_33-processed-gene-1.23&CDS=1-3993, augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-1.110&CDS=1-3870, augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_22_length_211037_cov_113.482_ID_43-processed-gene-1.74&CDS=1-3921, augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_28_length_138687_cov_153.319_ID_55-processed-gene-0.110&CDS=1-3975, augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_5_length_615619_cov_117.552_ID_9-processed-gene-3.98&CDS=1-3918, augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-0.97&CDS=1-3915
OG0000015	YPL088W	augustus_masked-NODE_105_length_980_cov_108.749_ID_209-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_105_length_980_cov_108.749_ID_209-processed-gene-0.0&CDS=1-420, augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-NODE_23_length_193568_cov_110.871_ID_45-processed-gene-0.206&CDS=1-1029, augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_8_length_531287_cov_107.001_ID_15-processed-gene-2.38&CDS=1-1041, maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-1.134-mRNA-1_1&gene=maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-1.134&CDS=1-3552, maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-1.135-mRNA-1_1&gene=maker-NODE_3_length_696421_cov_108.181_ID_5-snap-gene-1.135&CDS=1-1092, snap_masked-NODE_123_length_683_cov_212.338_ID_245-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_123_length_683_cov_212.338_ID_245-processed-gene-0.1&CDS=1-606
OG0000016	Q0105, Q0110, Q0115, Q0120	augustus_masked-NODE_83_length_1630_cov_1.20667_ID_165-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_83_length_1630_cov_1.20667_ID_165-processed-gene-0.0&CDS=1-303, genemark-NODE_43_length_42576_cov_10543.5_ID_85-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_43_length_42576_cov_10543.5_ID_85-processed-gene-0.30&CDS=1-609, maker-NODE_43_length_42576_cov_10543.5_ID_85-snap-gene-0.80-mRNA-1_1&gene=maker-NODE_43_length_42576_cov_10543.5_ID_85-snap-gene-0.80&CDS=1-405
OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-0.52&CDS=1-1428
OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-NODE_18_length_265421_cov_147.193_ID_35-processed-gene-1.202&CDS=1-4575, genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.101-mRNA-1_1&gene=genemark-NODE_3_length_696421_cov_108.181_ID_5-processed-gene-4.101&CDS=1-4983
OG0000019	YBR020W, YDR009W	augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.28-mRNA-1_1&gene=augustus_masked-NODE_1_length_936193_cov_107.414_ID_1-processed-gene-6.28&CDS=1-1767, augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_37_length_88767_cov_205.948_ID_73-processed-gene-0.5&CDS=1-1629, augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_7_length_538164_cov_135.673_ID_13-processed-gene-2.94&CDS=1-1548, maker-NODE_21_length_225364_cov_160.608_ID_41-snap-gene-1.182-mRNA-1_1&gene=maker-NODE_21_length_225364_cov_160.608_ID_41-snap-gene-1.182&CDS=1-5559
OG0000020	YBR082C, YDR177W, YGR133W	augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_12_length_456140_cov_104.9_ID_23-processed-gene-0.15&CDS=1-636, augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_14_length_419374_cov_107.414_ID_27-processed-gene-1.60&CDS=1-699, augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_16_length_354407_cov_122.497_ID_31-processed-gene-1.10&CDS=1-441
