	Candida_parapsilosis	Saccharomyces_cerevisiae
OG0000010	augustus_masked-Contig005807-processed-gene-16.17-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-16.17&CDS=1-3384, maker-Contig006139-augustus-gene-3.40-mRNA-1_1&gene=maker-Contig006139-augustus-gene-3.40&CDS=1-7434, snap_masked-Contig005807-processed-gene-16.58-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-16.58&CDS=1-3375, snap_masked-Contig005807-processed-gene-18.113-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-18.113&CDS=1-2553, snap_masked-Contig006110-processed-gene-8.128-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-8.128&CDS=1-3105, snap_masked-Contig006372-processed-gene-11.44-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.44&CDS=1-3120, snap_masked-Contig006372-processed-gene-11.45-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.45&CDS=1-3060	
OG0000011	augustus_masked-Contig005809-processed-gene-26.119-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-26.119&CDS=1-1632, maker-Contig005809-snap-gene-26.54-mRNA-1_1&gene=maker-Contig005809-snap-gene-26.54&CDS=1-3237, snap_masked-Contig005809-processed-gene-18.66-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-18.66&CDS=1-1647, snap_masked-Contig005809-processed-gene-26.74-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-26.74&CDS=1-1632, snap_masked-Contig005809-processed-gene-26.91-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-26.91&CDS=1-1641, snap_masked-Contig005809-processed-gene-6.55-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.55&CDS=1-1641	YDL210W
OG0000012	snap_masked-Contig005809-processed-gene-10.81-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-10.81&CDS=1-618	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C
OG0000013	maker-Contig005504-snap-gene-5.86-mRNA-1_1&gene=maker-Contig005504-snap-gene-5.86&CDS=1-2388, snap_masked-Contig005504-processed-gene-1.61-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-1.61&CDS=1-1194, snap_masked-Contig005809-processed-gene-18.59-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-18.59&CDS=1-1215, snap_masked-Contig006110-processed-gene-4.118-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-4.118&CDS=1-1194	YHR179W, YPL171C
OG0000014	augustus_masked-Contig006110-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-Contig006110-processed-gene-2.1&CDS=1-774, snap_masked-Contig005504-processed-gene-7.230-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.230&CDS=1-414, snap_masked-Contig005807-processed-gene-15.57-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.57&CDS=1-1566	YCR089W, YDR134C, YLR110C
OG0000015	maker-Contig005809-snap-gene-21.132-mRNA-1_1&gene=maker-Contig005809-snap-gene-21.132&CDS=1-2160, snap_masked-Contig005569-processed-gene-16.72-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-16.72&CDS=1-891, snap_masked-Contig005809-processed-gene-21.45-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.45&CDS=1-888, snap_masked-Contig005809-processed-gene-21.46-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.46&CDS=1-918, snap_masked-Contig005809-processed-gene-21.47-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-21.47&CDS=1-1056	YJR019C
OG0000016	snap_masked-Contig005569-processed-gene-21.40-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.40&CDS=1-1764, snap_masked-Contig006372-processed-gene-1.79-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.79&CDS=1-1764	YBR298C, YDL247W, YGR289C, YJR160C
OG0000017	snap_masked-Contig005569-processed-gene-21.35-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.35&CDS=1-1149, snap_masked-Contig005807-processed-gene-15.43-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.43&CDS=1-1149, snap_masked-Contig005809-processed-gene-0.129-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-0.129&CDS=1-1149, snap_masked-Contig005809-processed-gene-6.74-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.74&CDS=1-1137, snap_masked-Contig005809-processed-gene-6.87-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.87&CDS=1-1149	YOR388C
OG0000018	maker-Contig005807-snap-gene-0.32-mRNA-1_1&gene=maker-Contig005807-snap-gene-0.32&CDS=1-2394, snap_masked-Contig005569-processed-gene-21.37-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.37&CDS=1-1875, snap_masked-Contig005809-processed-gene-3.59-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-3.59&CDS=1-2250	YML111W, YMR275C, YNR069C
OG0000019	maker-Contig005807-snap-gene-19.78-mRNA-1_1&gene=maker-Contig005807-snap-gene-19.78&CDS=1-4722, maker-Contig006372-snap-gene-16.88-mRNA-1_1&gene=maker-Contig006372-snap-gene-16.88&CDS=1-4683, snap_masked-Contig006372-processed-gene-0.14-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-0.14&CDS=1-1575, snap_masked-Contig006372-processed-gene-16.141-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-16.141&CDS=1-1572, snap_masked-Contig006372-processed-gene-8.83-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-8.83&CDS=1-1572	YKL217W
OG0000020	snap_masked-Contig006110-processed-gene-8.176-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-8.176&CDS=1-2223, snap_masked-Contig006372-processed-gene-2.37-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-2.37&CDS=1-3498	YKL222C, YLR266C, YOR162C, YOR172W
OG0000021	snap_masked-Contig006372-processed-gene-1.70-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.70&CDS=1-714, snap_masked-Contig006372-processed-gene-1.86-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-1.86&CDS=1-714	YDR533C, YMR322C, YOR391C, YPL280W
OG0000022	snap_masked-Contig005504-processed-gene-0.54-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.54&CDS=1-3219, snap_masked-Contig005569-processed-gene-12.15-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.15&CDS=1-3279	YDR038C, YDR039C, YDR040C
OG0000023	augustus_masked-Contig006110-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-Contig006110-processed-gene-2.2&CDS=1-6375, snap_masked-Contig005504-processed-gene-0.51-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-0.51&CDS=1-2079, snap_masked-Contig006110-processed-gene-2.71-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-2.71&CDS=1-2490	YDR034C, YML099C
OG0000024	maker-Contig005807-augustus-gene-19.167-mRNA-1_1&gene=maker-Contig005807-augustus-gene-19.167&CDS=1-2586, snap_masked-Contig005504-processed-gene-2.11-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.11&CDS=1-1602	YBL089W, YER107C, YER119C
OG0000025	snap_masked-Contig005504-processed-gene-7.198-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.198&CDS=1-3102, snap_masked-Contig005809-processed-gene-1.14-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-1.14&CDS=1-1701, snap_masked-Contig005809-processed-gene-1.28-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-1.28&CDS=1-1707	YCL025C, YDR508C
OG0000026	snap_masked-Contig005569-processed-gene-1.89-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-1.89&CDS=1-4452, snap_masked-Contig005809-processed-gene-17.27-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-17.27&CDS=1-4023	YCL024W, YDR507C, YKL101W
OG0000027	snap_masked-Contig005569-processed-gene-12.9-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-12.9&CDS=1-2229, snap_masked-Contig005569-processed-gene-2.104-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-2.104&CDS=1-2637, snap_masked-Contig005809-processed-gene-3.65-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-3.65&CDS=1-2334	YGL257C, YNR059W
OG0000028	augustus_masked-Contig005569-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-7.61&CDS=1-1416, snap_masked-Contig005569-processed-gene-7.102-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.102&CDS=1-1533, snap_masked-Contig006110-processed-gene-8.103-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-8.103&CDS=1-1545	YGR197C, YJR015W
OG0000029	augustus_masked-Contig006372-processed-gene-13.125-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-13.125&CDS=1-3765, genemark-Contig006372-processed-gene-12.17-mRNA-1_1&gene=genemark-Contig006372-processed-gene-12.17&CDS=1-606, snap_masked-Contig005569-processed-gene-8.58-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.58&CDS=1-1767	YBR170C, YPL155C
OG0000030	augustus_masked-Contig006110-processed-gene-8.179-mRNA-1_1&gene=augustus_masked-Contig006110-processed-gene-8.179&CDS=1-6057, snap_masked-Contig005806-processed-gene-4.30-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-4.30&CDS=1-1653, snap_masked-Contig006110-processed-gene-8.102-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-8.102&CDS=1-1725	YDR242W, YKR084C
OG0000031	maker-Contig005806-snap-gene-7.95-mRNA-1_1&gene=maker-Contig005806-snap-gene-7.95&CDS=1-2751, maker-Contig005809-snap-gene-22.85-mRNA-1_1&gene=maker-Contig005809-snap-gene-22.85&CDS=1-2286, maker-Contig006372-snap-gene-3.75-mRNA-1_1&gene=maker-Contig006372-snap-gene-3.75&CDS=1-2589, snap_masked-Contig005807-processed-gene-19.235-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-19.235&CDS=1-1500	YOR380W
OG0000032	augustus_masked-Contig005807-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-1.130&CDS=1-1809, augustus_masked-Contig005807-processed-gene-10.106-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-10.106&CDS=1-990, snap_masked-Contig005807-processed-gene-19.198-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-19.198&CDS=1-1002	YKL128C, YOR340C
OG0000033	genemark-Contig005809-processed-gene-3.104-mRNA-1_1&gene=genemark-Contig005809-processed-gene-3.104&CDS=1-5067	YBL017C, YIL173W, YJL222W, YNR065C
OG0000034	augustus_masked-Contig005809-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-7.106&CDS=1-3558, snap_masked-Contig006372-processed-gene-3.9-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-3.9&CDS=1-4086	YDR216W, YJR127C, YML081W
OG0000035	maker-Contig005809-snap-gene-15.91-mRNA-1_1&gene=maker-Contig005809-snap-gene-15.91&CDS=1-3081, maker-Contig005809-snap-gene-20.46-mRNA-1_1&gene=maker-Contig005809-snap-gene-20.46&CDS=1-4584, snap_masked-Contig005809-processed-gene-15.59-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-15.59&CDS=1-1575, snap_masked-Contig006139-processed-gene-6.29-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-6.29&CDS=1-1566	YJR152W
OG0000036	genemark-Contig006110-processed-gene-0.110-mRNA-1_1&gene=genemark-Contig006110-processed-gene-0.110&CDS=1-1713	YBR297W, YFL052W, YGR288W, YPR196W
OG0000037	maker-Contig006110-augustus-gene-2.140-mRNA-1_1&gene=maker-Contig006110-augustus-gene-2.140&CDS=1-1578	YDL244W, YFL058W, YJR156C, YNL332W
OG0000038	maker-Contig006372-augustus-gene-1.52-mRNA-1_1&gene=maker-Contig006372-augustus-gene-1.52&CDS=1-2529, snap_masked-Contig005504-processed-gene-2.9-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-2.9&CDS=1-1902	YJL172W, YOL153C
OG0000039	snap_masked-Contig005504-processed-gene-3.23-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-3.23&CDS=1-1029	YDR541C, YGL157W, YOL151W
OG0000040	snap_masked-Contig005504-processed-gene-4.62-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.62&CDS=1-1104, snap_masked-Contig005504-processed-gene-4.86-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-4.86&CDS=1-1104	YCR105W, YMR318C
OG0000041	augustus_masked-Contig005504-processed-gene-6.65-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-6.65&CDS=1-7608, snap_masked-Contig006139-processed-gene-1.67-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-1.67&CDS=1-8262	YLR454W, YPR117W
OG0000042	snap_masked-Contig005504-processed-gene-7.213-mRNA-1_1&gene=snap_masked-Contig005504-processed-gene-7.213&CDS=1-1803, snap_masked-Contig005806-processed-gene-4.7-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-4.7&CDS=1-1674, snap_masked-Contig005809-processed-gene-16.24-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-16.24&CDS=1-1749	YBR008C
OG0000043	augustus_masked-Contig005504-processed-gene-7.157-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-7.157&CDS=1-2730, augustus_masked-Contig006110-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-Contig006110-processed-gene-1.101&CDS=1-3531	YDR466W, YDR490C
OG0000044	augustus_masked-Contig005504-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-Contig005504-processed-gene-7.131&CDS=1-3318, augustus_masked-Contig005806-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-0.62&CDS=1-1119, snap_masked-Contig006139-processed-gene-8.57-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-8.57&CDS=1-966	YGL116W
OG0000045	augustus_masked-Contig005569-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-0.62&CDS=1-1329, snap_masked-Contig005809-processed-gene-28.94-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-28.94&CDS=1-1695	YHL019C, YPL259C
OG0000046	maker-Contig005569-snap-gene-1.61-mRNA-1_1&gene=maker-Contig005569-snap-gene-1.61&CDS=1-972, snap_masked-Contig005807-processed-gene-6.41-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-6.41&CDS=1-2445	YER066W, YFL009W
OG0000047	augustus_masked-Contig005569-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-2.31&CDS=1-897	YER185W, YGR213C, YLR046C
OG0000048	snap_masked-Contig005569-processed-gene-4.32-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-4.32&CDS=1-2727, snap_masked-Contig005806-processed-gene-4.10-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-4.10&CDS=1-315	YHR131C, YNL144C
OG0000049	augustus_masked-Contig005569-processed-gene-4.6-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-4.6&CDS=1-2118, snap_masked-Contig005569-processed-gene-4.46-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-4.46&CDS=1-2538	YFL050C, YOL130W
OG0000050	maker-Contig005569-snap-gene-5.38-mRNA-1_1&gene=maker-Contig005569-snap-gene-5.38&CDS=1-6363, snap_masked-Contig006110-processed-gene-3.107-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-3.107&CDS=1-2259, snap_masked-Contig006139-processed-gene-2.5-mRNA-1_1&gene=snap_masked-Contig006139-processed-gene-2.5&CDS=1-2160	YER015W
OG0000051	maker-Contig005809-snap-gene-26.49-mRNA-1_1&gene=maker-Contig005809-snap-gene-26.49&CDS=1-4782, snap_masked-Contig005569-processed-gene-6.66-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-6.66&CDS=1-3813	YIL126W, YOR290C
OG0000052	augustus_masked-Contig005569-processed-gene-7.74-mRNA-1_1&gene=augustus_masked-Contig005569-processed-gene-7.74&CDS=1-2970	YBL042C, YBR021W, YIR028W
OG0000053	snap_masked-Contig005569-processed-gene-21.60-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-21.60&CDS=1-1998, snap_masked-Contig005569-processed-gene-7.119-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.119&CDS=1-2688	YAR035W, YER024W
OG0000054	snap_masked-Contig005569-processed-gene-7.106-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-7.106&CDS=1-1410, snap_masked-Contig006110-processed-gene-3.106-mRNA-1_1&gene=snap_masked-Contig006110-processed-gene-3.106&CDS=1-1737	YGR177C, YOR377W
OG0000055	snap_masked-Contig005569-processed-gene-8.49-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-8.49&CDS=1-3006, snap_masked-Contig005809-processed-gene-15.86-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-15.86&CDS=1-3087	YJL089W, YMR280C
OG0000056	genemark-Contig006110-processed-gene-5.99-mRNA-1_1&gene=genemark-Contig006110-processed-gene-5.99&CDS=1-1935, snap_masked-Contig005569-processed-gene-11.58-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-11.58&CDS=1-1953	YJR045C, YLR369W
OG0000057	augustus_masked-Contig005807-processed-gene-15.30-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-15.30&CDS=1-6759, snap_masked-Contig005569-processed-gene-13.58-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-13.58&CDS=1-888	YKL195W, YPL093W
OG0000058	snap_masked-Contig005569-processed-gene-14.115-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.115&CDS=1-876	YFL059W, YMR096W, YNL333W
OG0000059	snap_masked-Contig005569-processed-gene-14.123-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-14.123&CDS=1-729, snap_masked-Contig005809-processed-gene-2.104-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-2.104&CDS=1-1089	YGL044C, YGR156W
OG0000060	snap_masked-Contig005569-processed-gene-15.65-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.65&CDS=1-408, snap_masked-Contig005809-processed-gene-6.59-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.59&CDS=1-408	YBR010W, YNL031C
OG0000061	snap_masked-Contig005569-processed-gene-15.62-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-15.62&CDS=1-309, snap_masked-Contig005809-processed-gene-6.81-mRNA-1_1&gene=snap_masked-Contig005809-processed-gene-6.81&CDS=1-309	YBR009C, YNL030W
OG0000062	augustus_masked-Contig005809-processed-gene-27.72-mRNA-1_1&gene=augustus_masked-Contig005809-processed-gene-27.72&CDS=1-210, snap_masked-Contig005569-processed-gene-17.10-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-17.10&CDS=1-2001, snap_masked-Contig005569-processed-gene-19.73-mRNA-1_1&gene=snap_masked-Contig005569-processed-gene-19.73&CDS=1-2001	YML088W
OG0000063	augustus_masked-Contig005806-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-1.25&CDS=1-663, augustus_masked-Contig005806-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-1.28&CDS=1-1788, snap_masked-Contig005806-processed-gene-1.64-mRNA-1_1&gene=snap_masked-Contig005806-processed-gene-1.64&CDS=1-1779	YOL152W
OG0000064	augustus_masked-Contig005806-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-Contig005806-processed-gene-4.61&CDS=1-666, augustus_masked-Contig006372-processed-gene-8.122-mRNA-1_1&gene=augustus_masked-Contig006372-processed-gene-8.122&CDS=1-666, snap_masked-Contig005807-processed-gene-13.28-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-13.28&CDS=1-189	YMR069W
OG0000065	augustus_masked-Contig005807-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-1.113&CDS=1-3657, snap_masked-Contig005807-processed-gene-2.70-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-2.70&CDS=1-1197	YNL021W, YOR084W
OG0000066	augustus_masked-Contig005807-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-Contig005807-processed-gene-3.95&CDS=1-1662, snap_masked-Contig005807-processed-gene-3.70-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-3.70&CDS=1-1920, snap_masked-Contig005807-processed-gene-9.15-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-9.15&CDS=1-1860	YJL163C
OG0000067	maker-Contig005807-snap-gene-5.53-mRNA-1_1&gene=maker-Contig005807-snap-gene-5.53&CDS=1-2133	YCR102C, YLR460C, YNL134C
OG0000068	maker-Contig005807-snap-gene-10.48-mRNA-1_1&gene=maker-Contig005807-snap-gene-10.48&CDS=1-1926, snap_masked-Contig006372-processed-gene-11.21-mRNA-1_1&gene=snap_masked-Contig006372-processed-gene-11.21&CDS=1-711	YER004W, YGR210C
OG0000069	snap_masked-Contig005807-processed-gene-15.51-mRNA-1_1&gene=snap_masked-Contig005807-processed-gene-15.51&CDS=1-471	YDR276C, YDR525W-A, YJL151C
