	Nakaseomyces_bracarensis	Saccharomyces_cerevisiae
OG0000010	genemark-CABR0S13-processed-gene-4.29-mRNA-1_1&gene=genemark-CABR0S13-processed-gene-4.29&CDS=1-744, snap_masked-CABR0S04-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-2.28&CDS=1-744, snap_masked-CABR0S21-processed-gene-1.14-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.14&CDS=1-747, snap_masked-CABR0S29-processed-gene-7.30-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-7.30&CDS=1-744	YER062C, YIL053W
OG0000011	maker-CABR0S37-snap-gene-4.1-mRNA-1_1&gene=maker-CABR0S37-snap-gene-4.1&CDS=1-1920, snap_masked-CABR0S05-processed-gene-3.138-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.138&CDS=1-1497, snap_masked-CABR0S31-processed-gene-0.78-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-0.78&CDS=1-1569	YER073W, YOR374W, YPL061W
OG0000012	maker-CABR0S31-augustus-gene-3.132-mRNA-1_1&gene=maker-CABR0S31-augustus-gene-3.132&CDS=1-2625, snap_masked-CABR0S11-processed-gene-0.122-mRNA-1_1&gene=snap_masked-CABR0S11-processed-gene-0.122&CDS=1-1233, snap_masked-CABR0S31-processed-gene-2.92-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-2.92&CDS=1-1269	YDL066W, YLR174W, YLR175W
OG0000013	augustus_masked-CABR0S13-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-CABR0S13-processed-gene-3.69&CDS=1-1662, genemark-CABR0S31-processed-gene-1.56-mRNA-1_1&gene=genemark-CABR0S31-processed-gene-1.56&CDS=1-1287, snap_masked-CABR0S31-processed-gene-1.8-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-1.8&CDS=1-3066	YGR067C, YMR182C, YPL230W
OG0000014	snap_masked-CABR0S16-processed-gene-4.92-mRNA-1_1&gene=snap_masked-CABR0S16-processed-gene-4.92&CDS=1-852, snap_masked-CABR0S21-processed-gene-1.1-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.1&CDS=1-1611, snap_masked-CABR0S37-processed-gene-2.95-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-2.95&CDS=1-1026, snap_masked-CABR0S37-processed-gene-7.22-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-7.22&CDS=1-1794	YER130C, YKL062W
OG0000015	snap_masked-CABR0S21-processed-gene-1.16-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-1.16&CDS=1-1602, snap_masked-CABR0S37-processed-gene-13.106-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-13.106&CDS=1-1608, snap_masked-CABR0S37-processed-gene-3.20-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-3.20&CDS=1-1587	YER056C, YER060W, YER060W-A
OG0000016	snap_masked-CABR0S21-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.36&CDS=1-1695, snap_masked-CABR0S34-processed-gene-2.9-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.9&CDS=1-1692, snap_masked-CABR0S37-processed-gene-10.19-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.19&CDS=1-1914	YDL080C, YLR044C, YLR134W
OG0000017	augustus_masked-CABR0S30-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-3.109&CDS=1-3123, snap_masked-CABR0S26-processed-gene-0.94-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-0.94&CDS=1-1080	YCL064C, YKL220C, YLL051C, YOR381W
OG0000018	augustus_masked-CABR0S30-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-1.28&CDS=1-2424, augustus_masked-CABR0S30-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-4.121&CDS=1-2118, augustus_masked-CABR0S30-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-4.84&CDS=1-2271, augustus_masked-CABR0S37-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-3.74&CDS=1-1929, snap_masked-CABR0S37-processed-gene-3.34-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-3.34&CDS=1-1860, snap_masked-CABR0S37-processed-gene-3.36-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-3.36&CDS=1-1917	
OG0000019	snap_masked-CABR0S30-processed-gene-2.94-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-2.94&CDS=1-1305, snap_masked-CABR0S37-processed-gene-10.2-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-10.2&CDS=1-1284, snap_masked-CABR0S37-processed-gene-20.40-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-20.40&CDS=1-1362	YOR229W, YOR230W, YPL139C
OG0000020	snap_masked-CABR0S34-processed-gene-2.16-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.16&CDS=1-1611, snap_masked-CABR0S34-processed-gene-2.17-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.17&CDS=1-1677, snap_masked-CABR0S34-processed-gene-2.18-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-2.18&CDS=1-1968, snap_masked-CABR0S37-processed-gene-6.119-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-6.119&CDS=1-1695	YGR197C, YJR015W
OG0000021	genemark-CABR0S04-processed-gene-0.55-mRNA-1_1&gene=genemark-CABR0S04-processed-gene-0.55&CDS=1-762, genemark-CABR0S11-processed-gene-0.63-mRNA-1_1&gene=genemark-CABR0S11-processed-gene-0.63&CDS=1-762, maker-CABR0S32-snap-gene-0.214-mRNA-1_1&gene=maker-CABR0S32-snap-gene-0.214&CDS=1-1476, snap_masked-CABR0S32-processed-gene-0.139-mRNA-1_1&gene=snap_masked-CABR0S32-processed-gene-0.139&CDS=1-762	YIR035C
OG0000022	snap_masked-CABR0S04-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.25&CDS=1-2088, snap_masked-CABR0S17-processed-gene-3.10-mRNA-1_1&gene=snap_masked-CABR0S17-processed-gene-3.10&CDS=1-2085	YIL009W, YMR246W, YOR317W
OG0000023	genemark-CABR0S34-processed-gene-2.169-mRNA-1_1&gene=genemark-CABR0S34-processed-gene-2.169&CDS=1-930, snap_masked-CABR0S05-processed-gene-0.100-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-0.100&CDS=1-930, snap_masked-CABR0S05-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-5.25&CDS=1-924	YGR086C, YPL004C
OG0000024	augustus_masked-CABR0S16-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-CABR0S16-processed-gene-0.60&CDS=1-3252, augustus_masked-CABR0S21-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-5.83&CDS=1-861, augustus_masked-CABR0S26-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CABR0S26-processed-gene-0.57&CDS=1-1092, snap_masked-CABR0S13-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-0.16&CDS=1-1905	YGL023C
OG0000025	snap_masked-CABR0S13-processed-gene-2.90-mRNA-1_1&gene=snap_masked-CABR0S13-processed-gene-2.90&CDS=1-1935, snap_masked-CABR0S37-processed-gene-11.62-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-11.62&CDS=1-1959, snap_masked-CABR0S37-processed-gene-17.24-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-17.24&CDS=1-1959	YJR045C, YLR369W
OG0000026	augustus_masked-CABR0S21-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-0.55&CDS=1-1698, genemark-CABR0S17-processed-gene-4.128-mRNA-1_1&gene=genemark-CABR0S17-processed-gene-4.128&CDS=1-1671, snap_masked-CABR0S21-processed-gene-3.29-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-3.29&CDS=1-1947	YLR343W, YMR307W
OG0000027	augustus_masked-CABR0S21-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-4.41&CDS=1-2535, augustus_masked-CABR0S37-processed-gene-13.54-mRNA-1_1&gene=augustus_masked-CABR0S37-processed-gene-13.54&CDS=1-2454	YGR041W, YGR042W, YLR353W
OG0000028	augustus_masked-CABR0S21-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-CABR0S21-processed-gene-5.87&CDS=1-2076, augustus_masked-CABR0S30-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-4.100&CDS=1-1899, augustus_masked-CABR0S30-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-CABR0S30-processed-gene-4.99&CDS=1-1830, snap_masked-CABR0S21-processed-gene-4.90-mRNA-1_1&gene=snap_masked-CABR0S21-processed-gene-4.90&CDS=1-2079	YIL014W
OG0000029	snap_masked-CABR0S26-processed-gene-0.76-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-0.76&CDS=1-522, snap_masked-CABR0S26-processed-gene-1.99-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-1.99&CDS=1-522	YCL067C, YCR039C, YCR096C
OG0000030	genemark-CABR0S26-processed-gene-6.41-mRNA-1_1&gene=genemark-CABR0S26-processed-gene-6.41&CDS=1-693, genemark-CABR0S30-processed-gene-4.47-mRNA-1_1&gene=genemark-CABR0S30-processed-gene-4.47&CDS=1-762, genemark-CABR0S30-processed-gene-4.9-mRNA-1_1&gene=genemark-CABR0S30-processed-gene-4.9&CDS=1-693	YER011W, YOR010C
OG0000031	maker-CABR0S37-augustus-gene-1.149-mRNA-1_1&gene=maker-CABR0S37-augustus-gene-1.149&CDS=1-2226, snap_masked-CABR0S26-processed-gene-6.148-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.148&CDS=1-2196, snap_masked-CABR0S29-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-4.20&CDS=1-2328	YAL023C, YGR199W
OG0000032	genemark-CABR0S29-processed-gene-2.11-mRNA-1_1&gene=genemark-CABR0S29-processed-gene-2.11&CDS=1-13977, snap_masked-CABR0S37-processed-gene-2.94-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-2.94&CDS=1-4902	YER132C, YGL195W, YGL197W
OG0000033	genemark-CABR0S34-processed-gene-1.32-mRNA-1_1&gene=genemark-CABR0S34-processed-gene-1.32&CDS=1-408, snap_masked-CABR0S29-processed-gene-5.122-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-5.122&CDS=1-408, snap_masked-CABR0S30-processed-gene-4.149-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.149&CDS=1-408	YBR010W, YNL031C
OG0000034	genemark-CABR0S29-processed-gene-5.13-mRNA-1_1&gene=genemark-CABR0S29-processed-gene-5.13&CDS=1-309, snap_masked-CABR0S30-processed-gene-4.194-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.194&CDS=1-309, snap_masked-CABR0S34-processed-gene-1.90-mRNA-1_1&gene=snap_masked-CABR0S34-processed-gene-1.90&CDS=1-309	YBR009C, YNL030W
OG0000035	genemark-CABR0S37-processed-gene-15.3-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-15.3&CDS=1-1677, genemark-CABR0S37-processed-gene-2.38-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-2.38&CDS=1-1539, snap_masked-CABR0S29-processed-gene-7.16-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-7.16&CDS=1-1587	YER123W, YHR135C
OG0000036	snap_masked-CABR0S29-processed-gene-8.52-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-8.52&CDS=1-192	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000037	snap_masked-CABR0S30-processed-gene-1.114-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-1.114&CDS=1-4500	YBL017C, YIL173W, YJL222W, YNR065C
OG0000038	augustus_masked-CABR0S40-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-CABR0S40-processed-gene-2.72&CDS=1-3153, snap_masked-CABR0S31-processed-gene-0.86-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-0.86&CDS=1-3054	YGL049C, YGR162W, YGR163W
OG0000039	maker-CABR0S37-snap-gene-10.48-mRNA-1_1&gene=maker-CABR0S37-snap-gene-10.48&CDS=1-3405, snap_masked-CABR0S37-processed-gene-20.41-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-20.41&CDS=1-2655	YOR231W, YPL140C, YPL141C
OG0000040	maker-CABR0S03-snap-gene-0.7-mRNA-1_1&gene=maker-CABR0S03-snap-gene-0.7&CDS=1-312	Q0045, Q0065, Q0070
OG0000041	maker-CABR0S04-snap-gene-0.0-mRNA-1_1&gene=maker-CABR0S04-snap-gene-0.0&CDS=1-4152, snap_masked-CABR0S40-processed-gene-3.127-mRNA-1_1&gene=snap_masked-CABR0S40-processed-gene-3.127&CDS=1-2094	YMR008C, YOL011W
OG0000042	snap_masked-CABR0S04-processed-gene-0.50-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-0.50&CDS=1-1722, snap_masked-CABR0S37-processed-gene-1.138-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-1.138&CDS=1-870	YDL036C, YOL066C
OG0000043	snap_masked-CABR0S04-processed-gene-1.92-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-1.92&CDS=1-1668	YOL055C, YPL258C, YPR121W
OG0000044	augustus_masked-CABR0S04-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-1.2&CDS=1-3540, snap_masked-CABR0S37-processed-gene-1.145-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-1.145&CDS=1-3771	YAR042W, YDL019C
OG0000045	snap_masked-CABR0S04-processed-gene-1.118-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-1.118&CDS=1-3339, snap_masked-CABR0S38-processed-gene-0.18-mRNA-1_1&gene=snap_masked-CABR0S38-processed-gene-0.18&CDS=1-6630	YJL130C, YJR109C
OG0000046	snap_masked-CABR0S04-processed-gene-2.23-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-2.23&CDS=1-1317, snap_masked-CABR0S37-processed-gene-4.116-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-4.116&CDS=1-1296	YDL131W, YDL182W
OG0000047	snap_masked-CABR0S04-processed-gene-2.24-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-2.24&CDS=1-255, snap_masked-CABR0S37-processed-gene-4.115-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-4.115&CDS=1-276	YDL130W-A, YDL181W
OG0000048	snap_masked-CABR0S04-processed-gene-4.109-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.109&CDS=1-2283, snap_masked-CABR0S38-processed-gene-1.22-mRNA-1_1&gene=snap_masked-CABR0S38-processed-gene-1.22&CDS=1-3258	YGL120C, YKR086W
OG0000049	genemark-CABR0S12-processed-gene-1.143-mRNA-1_1&gene=genemark-CABR0S12-processed-gene-1.143&CDS=1-3525, snap_masked-CABR0S04-processed-gene-4.133-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.133&CDS=1-3549	YBR218C, YGL062W
OG0000050	snap_masked-CABR0S04-processed-gene-4.128-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-4.128&CDS=1-2070, snap_masked-CABR0S31-processed-gene-4.24-mRNA-1_1&gene=snap_masked-CABR0S31-processed-gene-4.24&CDS=1-1158	YDR263C, YOR033C
OG0000051	augustus_masked-CABR0S04-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-CABR0S04-processed-gene-5.128&CDS=1-2250, augustus_masked-CABR0S34-processed-gene-2.215-mRNA-1_1&gene=augustus_masked-CABR0S34-processed-gene-2.215&CDS=1-2388	YDR475C, YOR019W
OG0000052	snap_masked-CABR0S04-processed-gene-5.13-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.13&CDS=1-783, snap_masked-CABR0S30-processed-gene-4.175-mRNA-1_1&gene=snap_masked-CABR0S30-processed-gene-4.175&CDS=1-843	YBR067C, YIL011W
OG0000053	snap_masked-CABR0S04-processed-gene-5.58-mRNA-1_1&gene=snap_masked-CABR0S04-processed-gene-5.58&CDS=1-2178, snap_masked-CABR0S26-processed-gene-5.9-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-5.9&CDS=1-2124	YGR143W, YPR159W
OG0000054	genemark-CABR0S05-processed-gene-1.75-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-1.75&CDS=1-1605, snap_masked-CABR0S26-processed-gene-6.127-mRNA-1_1&gene=snap_masked-CABR0S26-processed-gene-6.127&CDS=1-1686	YML116W, YMR279C
OG0000055	genemark-CABR0S34-processed-gene-0.88-mRNA-1_1&gene=genemark-CABR0S34-processed-gene-0.88&CDS=1-2103, snap_masked-CABR0S05-processed-gene-2.32-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-2.32&CDS=1-2052	YAL054C, YLR153C
OG0000056	snap_masked-CABR0S05-processed-gene-3.118-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-3.118&CDS=1-1101, snap_masked-CABR0S28-processed-gene-0.197-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.197&CDS=1-1263	YBR161W, YPL057C
OG0000057	snap_masked-CABR0S05-processed-gene-4.2-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.2&CDS=1-2478, snap_masked-CABR0S37-processed-gene-3.39-mRNA-1_1&gene=snap_masked-CABR0S37-processed-gene-3.39&CDS=1-2874	YER047C, YPL074W
OG0000058	snap_masked-CABR0S05-processed-gene-4.0-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.0&CDS=1-999, snap_masked-CABR0S28-processed-gene-0.188-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.188&CDS=1-663	YBR197C, YPL077C
OG0000059	snap_masked-CABR0S05-processed-gene-4.21-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.21&CDS=1-930, snap_masked-CABR0S28-processed-gene-0.178-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.178&CDS=1-915	YBR183W, YPL087W
OG0000060	snap_masked-CABR0S05-processed-gene-4.9-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.9&CDS=1-1941, snap_masked-CABR0S28-processed-gene-0.136-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.136&CDS=1-2049	YBR182C, YPL089C
OG0000061	snap_masked-CABR0S05-processed-gene-4.10-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.10&CDS=1-708, snap_masked-CABR0S28-processed-gene-0.137-mRNA-1_1&gene=snap_masked-CABR0S28-processed-gene-0.137&CDS=1-708	YBR181C, YPL090C
OG0000062	genemark-CABR0S05-processed-gene-4.75-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-4.75&CDS=1-951, genemark-CABR0S29-processed-gene-1.39-mRNA-1_1&gene=genemark-CABR0S29-processed-gene-1.39&CDS=1-969	YBR054W, YDR033W
OG0000063	augustus_masked-CABR0S29-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-CABR0S29-processed-gene-1.106&CDS=1-6069, snap_masked-CABR0S05-processed-gene-4.30-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.30&CDS=1-2796	YBR059C, YBR061C
OG0000064	genemark-CABR0S05-processed-gene-4.92-mRNA-1_1&gene=genemark-CABR0S05-processed-gene-4.92&CDS=1-3258	YDR038C, YDR039C, YDR040C
OG0000065	snap_masked-CABR0S05-processed-gene-4.16-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-4.16&CDS=1-933, snap_masked-CABR0S29-processed-gene-2.109-mRNA-1_1&gene=snap_masked-CABR0S29-processed-gene-2.109&CDS=1-915	YBR104W, YPR058W
OG0000066	maker-CABR0S38-snap-gene-2.148-mRNA-1_1&gene=maker-CABR0S38-snap-gene-2.148&CDS=1-693, snap_masked-CABR0S05-processed-gene-5.7-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-5.7&CDS=1-666	YBR118W, YPR080W
OG0000067	genemark-CABR0S37-processed-gene-6.49-mRNA-1_1&gene=genemark-CABR0S37-processed-gene-6.49&CDS=1-1293, snap_masked-CABR0S05-processed-gene-5.48-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-5.48&CDS=1-1242	YJL134W, YKR053C
OG0000068	maker-CABR0S34-snap-gene-2.252-mRNA-1_1&gene=maker-CABR0S34-snap-gene-2.252&CDS=1-3120, snap_masked-CABR0S05-processed-gene-5.60-mRNA-1_1&gene=snap_masked-CABR0S05-processed-gene-5.60&CDS=1-1704	YGR092W, YPR111W
