	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
OG0000010	augustus_masked-NC_027861.1-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.115&CDS=1-2112, augustus_masked-NC_027865.1-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.98&CDS=1-2799	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000011	augustus_masked-NC_027863.1-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.133&CDS=1-3936, augustus_masked-NC_027864.1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-1.54&CDS=1-3969, augustus_masked-NC_027866.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.72&CDS=1-4677, augustus_masked-NC_027866.1-processed-gene-8.253-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.253&CDS=1-3909, maker-NC_027861.1-augustus-gene-11.178-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-11.178&CDS=1-5979, snap_masked-NC_027866.1-processed-gene-8.216-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-8.216&CDS=1-3831	YKL215C
OG0000012	augustus_masked-NC_027862.1-processed-gene-12.165-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.165&CDS=1-1002, maker-NC_027864.1-augustus-gene-11.9-mRNA-1_1&gene=maker-NC_027864.1-augustus-gene-11.9&CDS=1-1398, snap_masked-NC_027861.1-processed-gene-14.150-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-14.150&CDS=1-1020	YDR541C, YGL039W, YGL157W, YOL151W
OG0000013	augustus_masked-NC_027861.1-processed-gene-14.65-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.65&CDS=1-1392, augustus_masked-NC_027863.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.104&CDS=1-1326	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000014	augustus_masked-NC_027864.1-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-8.65&CDS=1-1119, snap_masked-NC_027860.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.64&CDS=1-1071, snap_masked-NC_027860.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.69&CDS=1-1080, snap_masked-NC_027860.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.72&CDS=1-1086	YCR105W, YMR318C
OG0000015	augustus_masked-NC_027863.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.110&CDS=1-2721, augustus_masked-NC_027863.1-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-10.69&CDS=1-3099, augustus_masked-NC_027863.1-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-8.75&CDS=1-1728, augustus_masked-NC_027866.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.63&CDS=1-1545, maker-NC_027860.1-augustus-gene-0.150-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-0.150&CDS=1-4833	YDR242W
OG0000016	augustus_masked-NC_027860.1-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.51&CDS=1-1935, augustus_masked-NC_027866.1-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-3.43&CDS=1-1995, maker-NC_027866.1-augustus-gene-6.3-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-6.3&CDS=1-2493	YAL005C, YJL034W, YLL024C
OG0000017	augustus_masked-NC_027860.1-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.78&CDS=1-1497, augustus_masked-NC_027860.1-processed-gene-6.80-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-6.80&CDS=1-1479, augustus_masked-NC_027864.1-processed-gene-2.149-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-2.149&CDS=1-1554	YMR169C, YMR170C, YOR374W
OG0000018	augustus_masked-NC_027860.1-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-2.22&CDS=1-471, augustus_masked-NC_027861.1-processed-gene-9.91-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.91&CDS=1-501, snap_masked-NC_027865.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-4.120&CDS=1-543	YDL137W, YDL192W, YMR138W
OG0000019	augustus_masked-NC_027860.1-processed-gene-3.119-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-3.119&CDS=1-1287, augustus_masked-NC_027860.1-processed-gene-9.144-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-9.144&CDS=1-1200, genemark-NC_027863.1-processed-gene-5.116-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-5.116&CDS=1-1707	YDR125C, YGR110W, YLR099C
OG0000020	genemark-NC_027860.1-processed-gene-3.36-mRNA-1_1&gene=genemark-NC_027860.1-processed-gene-3.36&CDS=1-1098, snap_masked-NC_027860.1-processed-gene-3.108-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-3.108&CDS=1-1131	YBR297W, YFL052W, YGR288W, YPR196W
OG0000021	augustus_masked-NC_027860.1-processed-gene-7.202-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-7.202&CDS=1-1416, augustus_masked-NC_027864.1-processed-gene-7.149-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-7.149&CDS=1-1716, augustus_masked-NC_027864.1-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-8.36&CDS=1-1869, augustus_masked-NC_027866.1-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.74&CDS=1-1689	YDR338C, YHR032W
OG0000022	augustus_masked-NC_027860.1-processed-gene-8.70-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-8.70&CDS=1-1053, augustus_masked-NC_027862.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-0.76&CDS=1-930, augustus_masked-NC_027864.1-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-2.142&CDS=1-1200	YDL216C, YFR004W, YLR073C
OG0000023	augustus_masked-NC_027861.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-0.25&CDS=1-1656, augustus_masked-NC_027861.1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.130&CDS=1-4173, snap_masked-NC_027866.1-processed-gene-8.157-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-8.157&CDS=1-1686	YBL041W, YJL172W, YOL153C
OG0000024	augustus_masked-NC_027861.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-0.11&CDS=1-1056, augustus_masked-NC_027864.1-processed-gene-10.28-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.28&CDS=1-933, augustus_masked-NC_027865.1-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-4.147&CDS=1-1029	YDL134C, YDR075W, YNR032W
OG0000025	augustus_masked-NC_027861.1-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.144&CDS=1-1296, augustus_masked-NC_027864.1-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.73&CDS=1-1413, augustus_masked-NC_027866.1-processed-gene-8.298-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.298&CDS=1-3120	YLR098C, YOL140W, YOR337W
OG0000026	augustus_masked-NC_027861.1-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-5.159&CDS=1-5646, augustus_masked-NC_027861.1-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.123&CDS=1-1611, augustus_masked-NC_027861.1-processed-gene-9.124-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.124&CDS=1-6792, augustus_masked-NC_027862.1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-5.126&CDS=1-5424	YGR032W, YMR307W
OG0000027	augustus_masked-NC_027862.1-processed-gene-12.100-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.100&CDS=1-7572, augustus_masked-NC_027866.1-processed-gene-7.110-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-7.110&CDS=1-1017, maker-NC_027861.1-augustus-gene-12.162-mRNA-1_1&gene=maker-NC_027861.1-augustus-gene-12.162&CDS=1-2073	YDL144C, YEL006W, YIL006W
OG0000028	augustus_masked-NC_027861.1-processed-gene-14.31-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.31&CDS=1-2055, augustus_masked-NC_027863.1-processed-gene-11.209-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.209&CDS=1-2121, augustus_masked-NC_027863.1-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.99&CDS=1-3393, augustus_masked-NC_027866.1-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-0.78&CDS=1-1953	YBR056W, YHL016C
OG0000029	augustus_masked-NC_027865.1-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-5.113&CDS=1-5295, snap_masked-NC_027862.1-processed-gene-6.156-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-6.156&CDS=1-2451	YBL017C, YIL173W, YJL222W, YNR065C
OG0000030	augustus_masked-NC_027862.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-9.90&CDS=1-2883, augustus_masked-NC_027863.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-1.114&CDS=1-7578, augustus_masked-NC_027863.1-processed-gene-3.58-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.58&CDS=1-7695, augustus_masked-NC_027866.1-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-7.108&CDS=1-1920	YKR064W, YLR253W
OG0000031	augustus_masked-NC_027862.1-processed-gene-10.170-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.170&CDS=1-1713, snap_masked-NC_027863.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NC_027863.1-processed-gene-0.69&CDS=1-1620	YDR380W, YGR087C, YLR044C, YLR134W
OG0000032	augustus_masked-NC_027862.1-processed-gene-10.148-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-10.148&CDS=1-2175, augustus_masked-NC_027863.1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.86&CDS=1-1485, maker-NC_027864.1-snap-gene-11.24-mRNA-1_1&gene=maker-NC_027864.1-snap-gene-11.24&CDS=1-2778, snap_masked-NC_027863.1-processed-gene-4.24-mRNA-1_1&gene=snap_masked-NC_027863.1-processed-gene-4.24&CDS=1-1497	YBR006W, YLR201C
OG0000033	augustus_masked-NC_027864.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-1.52&CDS=1-510, augustus_masked-NC_027864.1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-6.13&CDS=1-546	YDL123W, YDR276C, YDR525W-A, YJL151C
OG0000034	augustus_masked-NC_027864.1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-5.130&CDS=1-1626	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C
OG0000035	augustus_masked-NC_027864.1-processed-gene-11.81-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.81&CDS=1-1155, augustus_masked-NC_027865.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.18&CDS=1-966, maker-NC_027865.1-snap-gene-6.4-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-6.4&CDS=1-5136, snap_masked-NC_027865.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-2.121&CDS=1-1161	YIL151C, YKR096W
OG0000036	augustus_masked-NC_027865.1-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.27&CDS=1-4746	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C
OG0000037	augustus_masked-NC_027865.1-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.86&CDS=1-2853, maker-NC_027860.1-snap-gene-2.174-mRNA-1_1&gene=maker-NC_027860.1-snap-gene-2.174&CDS=1-2526	YDR385W, YKL173W, YOR133W
OG0000038	augustus_masked-NC_027860.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-2.19&CDS=1-3231, augustus_masked-NC_027861.1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-7.67&CDS=1-2448	YCR037C, YJL198W, YNR013C
OG0000039	augustus_masked-NC_027860.1-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-2.50&CDS=1-3693, augustus_masked-NC_027864.1-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-3.145&CDS=1-2349, snap_masked-NC_027861.1-processed-gene-11.112-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-11.112&CDS=1-4143	YHR114W, YPL206C
OG0000040	augustus_masked-NC_027860.1-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-2.27&CDS=1-4467, augustus_masked-NC_027861.1-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-1.112&CDS=1-4497, augustus_masked-NC_027865.1-processed-gene-7.68-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-7.68&CDS=1-4488	YDR011W, YOR153W
OG0000041	augustus_masked-NC_027860.1-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-4.66&CDS=1-1746	YBR298C, YDL247W, YGR289C, YJR160C
OG0000042	augustus_masked-NC_027860.1-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-4.76&CDS=1-4170, augustus_masked-NC_027866.1-processed-gene-6.212-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.212&CDS=1-2889	YIL002C, YNL106C, YOR109W
OG0000043	augustus_masked-NC_027860.1-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-4.94&CDS=1-2661, snap_masked-NC_027862.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-NC_027862.1-processed-gene-3.91&CDS=1-2382	YHL007C, YNL298W, YOL113W
OG0000044	augustus_masked-NC_027862.1-processed-gene-11.153-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-11.153&CDS=1-675, snap_masked-NC_027860.1-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-5.87&CDS=1-2328	YDR028C, YKR075C, YOR062C
OG0000045	augustus_masked-NC_027860.1-processed-gene-6.66-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-6.66&CDS=1-2223, augustus_masked-NC_027860.1-processed-gene-6.88-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-6.88&CDS=1-2340	YAL053W, YGL139W, YPL221W
OG0000046	augustus_masked-NC_027860.1-processed-gene-7.176-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-7.176&CDS=1-3924, augustus_masked-NC_027860.1-processed-gene-9.133-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-9.133&CDS=1-2442	YDR300C, YHR033W, YNL101W
OG0000047	augustus_masked-NC_027865.1-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.24&CDS=1-1338, augustus_masked-NC_027866.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-3.64&CDS=1-2091, maker-NC_027860.1-augustus-gene-10.141-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-10.141&CDS=1-4017	YDR523C, YHR102W
OG0000048	augustus_masked-NC_027860.1-processed-gene-10.20-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-10.20&CDS=1-2202, augustus_masked-NC_027862.1-processed-gene-11.137-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-11.137&CDS=1-3069, augustus_masked-NC_027864.1-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.27&CDS=1-1371	YEL036C, YML115C
OG0000049	augustus_masked-NC_027860.1-processed-gene-12.25-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-12.25&CDS=1-5748, augustus_masked-NC_027861.1-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-9.85&CDS=1-1011, snap_masked-NC_027864.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-1.133&CDS=1-2385	YGR117C, YGR264C
OG0000050	augustus_masked-NC_027860.1-processed-gene-12.29-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-12.29&CDS=1-1425, genemark-NC_027861.1-processed-gene-3.117-mRNA-1_1&gene=genemark-NC_027861.1-processed-gene-3.117&CDS=1-1302	YBL089W, YER119C, YIL088C
OG0000051	augustus_masked-NC_027860.1-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-13.47&CDS=1-3798, augustus_masked-NC_027862.1-processed-gene-12.149-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-12.149&CDS=1-2139	YML111W, YMR275C, YNR069C
OG0000052	augustus_masked-NC_027861.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-0.19&CDS=1-3108, genemark-NC_027862.1-processed-gene-3.102-mRNA-1_1&gene=genemark-NC_027862.1-processed-gene-3.102&CDS=1-8094	YKL068W, YMR047C, YOR341W
OG0000053	augustus_masked-NC_027861.1-processed-gene-8.137-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.137&CDS=1-2754, augustus_masked-NC_027866.1-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-5.106&CDS=1-2583	YHR047C, YIL137C, YKL157W
OG0000054	augustus_masked-NC_027861.1-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-8.126&CDS=1-2277, augustus_masked-NC_027866.1-processed-gene-6.191-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.191&CDS=1-1329, augustus_masked-NC_027866.1-processed-gene-8.230-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.230&CDS=1-1443	YOL119C, YOR306C
OG0000055	augustus_masked-NC_027866.1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.70&CDS=1-1623, maker-NC_027861.1-snap-gene-9.70-mRNA-1_1&gene=maker-NC_027861.1-snap-gene-9.70&CDS=1-3483, maker-NC_027865.1-snap-gene-6.6-mRNA-1_1&gene=maker-NC_027865.1-snap-gene-6.6&CDS=1-3201	YFL055W, YKR039W
OG0000056	augustus_masked-NC_027861.1-processed-gene-11.20-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-11.20&CDS=1-1029	YDL244W, YFL058W, YJR156C, YNL332W
OG0000057	augustus_masked-NC_027863.1-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-0.139&CDS=1-3321, augustus_masked-NC_027866.1-processed-gene-8.218-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.218&CDS=1-2943, snap_masked-NC_027861.1-processed-gene-12.100-mRNA-1_1&gene=snap_masked-NC_027861.1-processed-gene-12.100&CDS=1-2862	YBR038W, YNL192W
