	Saccharomyces_cerevisiae	yHMPu5000035699_Cyberlindnera_maclurae
OG0000013	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.286-mRNA-1_1&gene=augustus_masked-NODE_11_length_189733_cov_60.009_ID_29483-processed-gene-0.286&CDS=1-2091, augustus_masked-NODE_71_length_46957_cov_62.9162_ID_11788-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_71_length_46957_cov_62.9162_ID_11788-processed-gene-0.56&CDS=1-1539, augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-0.35&CDS=1-1488, genemark-NODE_398_length_491_cov_1.03209_ID_22878-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_398_length_491_cov_1.03209_ID_22878-processed-gene-0.0&CDS=1-435
OG0000014	YDR106W, YFL039C, YPR034W	augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_47_length_78664_cov_63.9875_ID_29834-processed-gene-0.57&CDS=1-1134, augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.178&CDS=1-1056, maker-NODE_1_length_419987_cov_60.6783_ID_36483-augustus-gene-1.3-mRNA-1_1&gene=maker-NODE_1_length_419987_cov_60.6783_ID_36483-augustus-gene-1.3&CDS=1-1110, snap_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.154-mRNA-1_1&gene=snap_masked-NODE_36_length_98479_cov_59.3202_ID_39518-processed-gene-0.154&CDS=1-1125
OG0000015	YFR044C, YJL172W, YOL153C	augustus_masked-NODE_65_length_55283_cov_91.5984_ID_26190-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_65_length_55283_cov_91.5984_ID_26190-processed-gene-0.56&CDS=1-1656, augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_239396_cov_61.0994_ID_40859-processed-gene-1.26&CDS=1-1647, maker-NODE_25_length_131612_cov_63.9975_ID_31610-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_25_length_131612_cov_63.9975_ID_31610-snap-gene-0.69&CDS=1-3147, maker-NODE_3_length_267281_cov_69.2695_ID_38578-snap-gene-0.100-mRNA-1_1&gene=maker-NODE_3_length_267281_cov_69.2695_ID_38578-snap-gene-0.100&CDS=1-3357
OG0000016	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-1.20&CDS=1-2118, genemark-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.154-mRNA-1_1&gene=genemark-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.154&CDS=1-1854, maker-NODE_66_length_54513_cov_73.645_ID_10902-snap-gene-0.83-mRNA-1_1&gene=maker-NODE_66_length_54513_cov_73.645_ID_10902-snap-gene-0.83&CDS=1-4113
OG0000017	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.214-mRNA-1_1&gene=augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-1.214&CDS=1-4485, snap_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.75&CDS=1-4554
OG0000018	YBR089C-A, YKL032C, YMR072W, YPR052C	augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.224&CDS=1-600, snap_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-1.224-mRNA-1_1&gene=snap_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-1.224&CDS=1-279
OG0000019	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.154&CDS=1-2343, augustus_masked-NODE_67_length_52534_cov_63.6435_ID_11134-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_67_length_52534_cov_63.6435_ID_11134-processed-gene-0.27&CDS=1-3036, augustus_masked-NODE_92_length_31102_cov_65.1845_ID_13082-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_92_length_31102_cov_65.1845_ID_13082-processed-gene-0.57&CDS=1-3120
OG0000020	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.151&CDS=1-1131, augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.4&CDS=1-1371, augustus_masked-NODE_65_length_55283_cov_91.5984_ID_26190-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_65_length_55283_cov_91.5984_ID_26190-processed-gene-0.48&CDS=1-864
OG0000021	YDL138W, YDR536W	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.225-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.225&CDS=1-1785, augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_27_length_126968_cov_70.5322_ID_38987-processed-gene-0.148&CDS=1-1521, augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.8&CDS=1-1977, augustus_masked-NODE_70_length_47931_cov_65.8024_ID_27301-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_70_length_47931_cov_65.8024_ID_27301-processed-gene-0.76&CDS=1-1644
OG0000022	YDL210W	augustus_masked-NODE_128_length_10551_cov_72.0315_ID_15943-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_128_length_10551_cov_72.0315_ID_15943-processed-gene-0.4&CDS=1-1626, augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_14_length_174934_cov_63.5332_ID_33623-processed-gene-0.49&CDS=1-1683, augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.70&CDS=1-1671, augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_59_length_61141_cov_60.361_ID_39550-processed-gene-0.47&CDS=1-1632, maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.101-mRNA-1_1&gene=maker-NODE_6_length_239611_cov_64.8102_ID_39412-augustus-gene-0.101&CDS=1-3726
OG0000023	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-2.164-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-2.164&CDS=1-930, augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_26_length_131444_cov_65.2876_ID_30945-processed-gene-0.53&CDS=1-1284, augustus_masked-NODE_68_length_50176_cov_65.6381_ID_41632-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_68_length_50176_cov_65.6381_ID_41632-processed-gene-0.4&CDS=1-1458
OG0000024	YDL230W, YER075C, YOR208W	augustus_masked-NODE_102_length_26648_cov_97.0519_ID_26459-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_102_length_26648_cov_97.0519_ID_26459-processed-gene-0.50&CDS=1-903, augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.165&CDS=1-1983, augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.216-mRNA-1_1&gene=augustus_masked-NODE_2_length_314945_cov_63.3908_ID_37428-processed-gene-2.216&CDS=1-1683
OG0000025	YDR338C, YHR032W	augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.120&CDS=1-1665, augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.38&CDS=1-1881, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.27&CDS=1-1599, augustus_masked-NODE_87_length_36006_cov_77.8491_ID_36551-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_87_length_36006_cov_77.8491_ID_36551-processed-gene-0.66&CDS=1-1749
OG0000026	YDR385W, YKL173W, YOR133W	augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.144&CDS=1-6006, augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-0.94&CDS=1-2526, augustus_masked-NODE_28_length_117157_cov_73.4509_ID_37618-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_28_length_117157_cov_73.4509_ID_37618-processed-gene-0.12&CDS=1-1566
OG0000027	YER047C, YPL074W, YPR173C	augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.147&CDS=1-1851, augustus_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_37_length_94963_cov_100.632_ID_9415-processed-gene-0.6&CDS=1-2136, augustus_masked-NODE_82_length_40375_cov_61.7098_ID_30522-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_82_length_40375_cov_61.7098_ID_30522-processed-gene-0.18&CDS=1-1287
OG0000028	YFL021W, YKR034W	augustus_masked-NODE_143_length_5759_cov_63.6694_ID_46370-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_143_length_5759_cov_63.6694_ID_46370-processed-gene-0.2&CDS=1-870, augustus_masked-NODE_18_length_145332_cov_59.0896_ID_27415-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_18_length_145332_cov_59.0896_ID_27415-processed-gene-0.24&CDS=1-852, augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.172&CDS=1-1476, augustus_masked-NODE_42_length_86612_cov_83.6646_ID_14885-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_42_length_86612_cov_83.6646_ID_14885-processed-gene-0.94&CDS=1-1644
OG0000029	YGL185C, YPL113C	augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.248-mRNA-1_1&gene=augustus_masked-NODE_10_length_191114_cov_61.6055_ID_41320-processed-gene-0.248&CDS=1-1101, augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.202-mRNA-1_1&gene=augustus_masked-NODE_25_length_131612_cov_63.9975_ID_31610-processed-gene-0.202&CDS=1-1110, augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-NODE_4_length_253480_cov_70.786_ID_43483-processed-gene-1.127&CDS=1-1098, maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_10_length_191114_cov_61.6055_ID_41320-augustus-gene-0.6&CDS=1-1077
OG0000030	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.220-mRNA-1_1&gene=augustus_masked-NODE_22_length_133648_cov_62.7107_ID_27333-processed-gene-0.220&CDS=1-1629, augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_32_length_109656_cov_66.4324_ID_14317-processed-gene-0.89&CDS=1-1722, augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_34_length_101002_cov_73.3061_ID_41838-processed-gene-0.109&CDS=1-1404
OG0000031	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_24_length_132196_cov_62.5352_ID_37458-processed-gene-0.27&CDS=1-2316, augustus_masked-NODE_83_length_39405_cov_79.91_ID_30488-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_83_length_39405_cov_79.91_ID_30488-processed-gene-0.48&CDS=1-1935
