	Saccharomyces_cerevisiae	yHMPu5000034986_Candida_oregonensis
OG0000010	YCR010C, YNR002C	snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.31&CDS=1-798, snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_12_length_341755_cov_65.6313_ID_23-processed-gene-0.27&CDS=1-786, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.77-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-1.77&CDS=1-771, snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.44-mRNA-1_1&gene=snap_masked-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.44&CDS=1-801, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-4.107&CDS=1-804
OG0000011	YCR065W, YIL131C, YNL068C, YPR104C	augustus_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.40&CDS=1-2739, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-0.84&CDS=1-1524, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.87-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-7.87&CDS=1-1959
OG0000012	YDR011W, YOR153W	snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.36&CDS=1-4386, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.76-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-7.76&CDS=1-4440, snap_masked-NODE_27_length_8244_cov_108.034_ID_53-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_27_length_8244_cov_108.034_ID_53-processed-gene-0.1&CDS=1-4362, snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.48-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.48&CDS=1-4353, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-4.73&CDS=1-4512
OG0000013	YDR135C, YLL015W	genemark-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.114-mRNA-1_1&gene=genemark-NODE_2_length_1008149_cov_54.5014_ID_3-processed-gene-7.114&CDS=1-6831, genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.42-mRNA-1_1&gene=genemark-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-6.42&CDS=1-5229, snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.76&CDS=1-4773, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-6.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-6.7&CDS=1-4740, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.70-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.70&CDS=1-4518
OG0000014	YDR380W, YGR087C, YLR044C, YLR134W	maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-3.154-mRNA-1_1&gene=maker-NODE_1_length_1660530_cov_44.6465_ID_1-augustus-gene-3.154&CDS=1-3633, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.88-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-5.88&CDS=1-1839, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.4-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-7.4&CDS=1-1734
OG0000015	YOR356W	augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-3.66&CDS=1-5826, augustus_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-0.126&CDS=1-2106, genemark-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-2.111-mRNA-1_1&gene=genemark-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-2.111&CDS=1-2181, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-1.64&CDS=1-1950, snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-7.100-mRNA-1_1&gene=snap_masked-NODE_3_length_981849_cov_61.5484_ID_5-processed-gene-7.100&CDS=1-2088, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-2.20-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-2.20&CDS=1-2190
OG0000016	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-3.20&CDS=1-1386
OG0000017	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_10_length_429437_cov_62.528_ID_19-processed-gene-0.61&CDS=1-606
OG0000018	YBR189W, YBR191W, YPL079W, YPL081W	maker-NODE_9_length_451826_cov_59.5865_ID_17-snap-gene-2.51-mRNA-1_1&gene=maker-NODE_9_length_451826_cov_59.5865_ID_17-snap-gene-2.51&CDS=1-1035, snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_15_length_146448_cov_30.7583_ID_29-processed-gene-0.22&CDS=1-480
OG0000019	YBR207W, YER145C	maker-NODE_17_length_77706_cov_73.9179_ID_33-snap-gene-0.76-mRNA-1_1&gene=maker-NODE_17_length_77706_cov_73.9179_ID_33-snap-gene-0.76&CDS=1-2286, snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.32-mRNA-1_1&gene=snap_masked-NODE_11_length_428817_cov_65.7073_ID_21-processed-gene-1.32&CDS=1-1140, snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-2.9&CDS=1-1161, snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.66-mRNA-1_1&gene=snap_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-3.66&CDS=1-1188
OG0000020	YBR237W, YDR243C, YNL112W	maker-NODE_4_length_977342_cov_52.321_ID_7-snap-gene-8.182-mRNA-1_1&gene=maker-NODE_4_length_977342_cov_52.321_ID_7-snap-gene-8.182&CDS=1-1599, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.89-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-8.89&CDS=1-2571, snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.42-mRNA-1_1&gene=snap_masked-NODE_6_length_904599_cov_47.8862_ID_11-processed-gene-8.42&CDS=1-1665
OG0000021	YBR286W, YNL274C, YPL113C	augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-0.87&CDS=1-3561, snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.179-mRNA-1_1&gene=snap_masked-NODE_4_length_977342_cov_52.321_ID_7-processed-gene-8.179&CDS=1-1020, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-3.138&CDS=1-1083
OG0000022	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_2_length_1008149_cov_54.5014_ID_3-augustus-gene-4.155-mRNA-1_1&gene=maker-NODE_2_length_1008149_cov_54.5014_ID_3-augustus-gene-4.155&CDS=1-2766, maker-NODE_7_length_871080_cov_57.3584_ID_13-snap-gene-7.183-mRNA-1_1&gene=maker-NODE_7_length_871080_cov_57.3584_ID_13-snap-gene-7.183&CDS=1-5346
OG0000023	YDL047W, YDR075W, YNR032W	maker-NODE_13_length_262532_cov_91.7354_ID_25-snap-gene-1.95-mRNA-1_1&gene=maker-NODE_13_length_262532_cov_91.7354_ID_25-snap-gene-1.95&CDS=1-918, snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_5_length_957844_cov_53.4892_ID_9-processed-gene-1.46&CDS=1-1062, snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NODE_7_length_871080_cov_57.3584_ID_13-processed-gene-3.95&CDS=1-942
OG0000024	YDL230W, YER075C, YOR208W	augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_9_length_451826_cov_59.5865_ID_17-processed-gene-1.136&CDS=1-945, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.147-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-9.147&CDS=1-1815, snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.93-mRNA-1_1&gene=snap_masked-NODE_8_length_763746_cov_51.4564_ID_15-processed-gene-6.93&CDS=1-2499
OG0000025	YDR043C, YER028C, YGL209W	augustus_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_18_length_51940_cov_46.4736_ID_35-processed-gene-0.75&CDS=1-1410, snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_13_length_262532_cov_91.7354_ID_25-processed-gene-1.83&CDS=1-534, snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.110-mRNA-1_1&gene=snap_masked-NODE_1_length_1660530_cov_44.6465_ID_1-processed-gene-2.110&CDS=1-1488
