	Lachancea_mirantina	Saccharomyces_cerevisiae
OG0000012	genemark-LAMI0C-processed-gene-9.177-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-9.177&CDS=1-756, genemark-LAMI0F-processed-gene-0.58-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-0.58&CDS=1-756, genemark-LAMI0G-processed-gene-7.47-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-7.47&CDS=1-756, snap_masked-LAMI0A-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-0.23&CDS=1-756	YKL071W
OG0000013	genemark-LAMI0H-processed-gene-14.119-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-14.119&CDS=1-363, snap_masked-LAMI0A-processed-gene-1.107-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-1.107&CDS=1-3744	YCR089W, YDR134C, YLR110C
OG0000014	genemark-LAMI0A-processed-gene-2.40-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-2.40&CDS=1-1887, genemark-LAMI0D-processed-gene-10.27-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-10.27&CDS=1-1812	YBL042C, YBR021W, YIR028W
OG0000015	genemark-LAMI0A-processed-gene-7.44-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.44&CDS=1-990, genemark-LAMI0H-processed-gene-1.11-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-1.11&CDS=1-990	YGR192C, YJL052W, YJR009C
OG0000016	genemark-LAMI0A-processed-gene-7.28-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.28&CDS=1-1692, genemark-LAMI0B-processed-gene-2.111-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.111&CDS=1-1821, genemark-LAMI0D-processed-gene-3.128-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-3.128&CDS=1-1692	YDL080C, YLR044C
OG0000017	genemark-LAMI0A-processed-gene-7.37-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.37&CDS=1-1641, genemark-LAMI0C-processed-gene-9.167-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-9.167&CDS=1-1707, genemark-LAMI0C-processed-gene-9.192-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-9.192&CDS=1-1728, snap_masked-LAMI0E-processed-gene-1.44-mRNA-1_1&gene=snap_masked-LAMI0E-processed-gene-1.44&CDS=1-1578	YBR008C
OG0000018	genemark-LAMI0B-processed-gene-0.94-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.94&CDS=1-1836, genemark-LAMI0F-processed-gene-6.144-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.144&CDS=1-1857	YBR298C, YDL247W, YJR160C
OG0000019	snap_masked-LAMI0B-processed-gene-0.56-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-0.56&CDS=1-1794	YBR297W, YFL052W, YGR288W, YPR196W
OG0000020	genemark-LAMI0B-processed-gene-2.119-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.119&CDS=1-7347, genemark-LAMI0F-processed-gene-14.83-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-14.83&CDS=1-4950	YGR032W, YLR342W, YMR306W
OG0000021	genemark-LAMI0B-processed-gene-2.143-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-2.143&CDS=1-1065, genemark-LAMI0F-processed-gene-5.67-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-5.67&CDS=1-2004, snap_masked-LAMI0B-processed-gene-7.71-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-7.71&CDS=1-1872	YOR337W, YPL248C
OG0000022	genemark-LAMI0B-processed-gene-6.96-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.96&CDS=1-1767, genemark-LAMI0G-processed-gene-14.211-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-14.211&CDS=1-1845	YCL069W, YKR105C, YPR198W
OG0000023	genemark-LAMI0B-processed-gene-7.141-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.141&CDS=1-1656, genemark-LAMI0C-processed-gene-0.98-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.98&CDS=1-1674, genemark-LAMI0G-processed-gene-0.126-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-0.126&CDS=1-1707, genemark-LAMI0G-processed-gene-5.9-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-5.9&CDS=1-1737	YDR242W
OG0000024	genemark-LAMI0C-processed-gene-6.137-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.137&CDS=1-1053, genemark-LAMI0G-processed-gene-3.127-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-3.127&CDS=1-1131, genemark-LAMI0H-processed-gene-4.47-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-4.47&CDS=1-1053	YMR303C, YOL086C
OG0000025	genemark-LAMI0E-processed-gene-3.119-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-3.119&CDS=1-1776, maker-LAMI0C-snap-gene-7.126-mRNA-1_1&gene=maker-LAMI0C-snap-gene-7.126&CDS=1-3381	YIL120W, YIL121W, YNL065W
OG0000026	genemark-LAMI0C-processed-gene-7.113-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-7.113&CDS=1-1356, genemark-LAMI0G-processed-gene-12.37-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-12.37&CDS=1-1053	YIL123W, YKR042W, YNL066W
OG0000027	genemark-LAMI0D-processed-gene-1.117-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-1.117&CDS=1-1608, genemark-LAMI0D-processed-gene-6.112-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-6.112&CDS=1-1164	YER130C, YKL062W, YMR037C
OG0000028	augustus_masked-LAMI0H-processed-gene-6.122-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-6.122&CDS=1-5913, genemark-LAMI0D-processed-gene-1.168-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-1.168&CDS=1-2484	YFR040W, YJL098W, YKR028W
OG0000029	augustus_masked-LAMI0D-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-LAMI0D-processed-gene-6.3&CDS=1-654, augustus_masked-LAMI0G-processed-gene-14.57-mRNA-1_1&gene=augustus_masked-LAMI0G-processed-gene-14.57&CDS=1-831, augustus_masked-LAMI0G-processed-gene-14.58-mRNA-1_1&gene=augustus_masked-LAMI0G-processed-gene-14.58&CDS=1-1068, snap_masked-LAMI0G-processed-gene-9.51-mRNA-1_1&gene=snap_masked-LAMI0G-processed-gene-9.51&CDS=1-519	YIL119C
OG0000030	genemark-LAMI0H-processed-gene-8.111-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.111&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000031	snap_masked-LAMI0H-processed-gene-11.94-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-11.94&CDS=1-4563	YBL017C, YIL173W, YJL222W, YNR065C
OG0000032	genemark-LAMI0A-processed-gene-0.54-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-0.54&CDS=1-744, genemark-LAMI0F-processed-gene-4.38-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-4.38&CDS=1-738, maker-LAMI0E-snap-gene-3.114-mRNA-1_1&gene=maker-LAMI0E-snap-gene-3.114&CDS=1-1377	YAL049C
OG0000033	augustus_masked-LAMI0G-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-LAMI0G-processed-gene-1.80&CDS=1-2322, genemark-LAMI0A-processed-gene-1.17-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-1.17&CDS=1-1233	YKL080W, YPL048W
OG0000034	genemark-LAMI0A-processed-gene-2.14-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-2.14&CDS=1-1257, snap_masked-LAMI0A-processed-gene-5.22-mRNA-1_1&gene=snap_masked-LAMI0A-processed-gene-5.22&CDS=1-1230	YDL066W, YLR174W
OG0000035	maker-LAMI0A-augustus-gene-3.101-mRNA-1_1&gene=maker-LAMI0A-augustus-gene-3.101&CDS=1-5172, snap_masked-LAMI0C-processed-gene-7.75-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-7.75&CDS=1-3837	YIL126W, YOR290C
OG0000036	genemark-LAMI0A-processed-gene-4.56-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-4.56&CDS=1-2421, genemark-LAMI0E-processed-gene-1.143-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-1.143&CDS=1-2583	YMR054W, YOR270C
OG0000037	genemark-LAMI0A-processed-gene-6.40-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-6.40&CDS=1-2277, genemark-LAMI0G-processed-gene-3.157-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-3.157&CDS=1-2451	YER017C, YMR089C
OG0000038	genemark-LAMI0A-processed-gene-7.11-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.11&CDS=1-1785, genemark-LAMI0E-processed-gene-10.121-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-10.121&CDS=1-1782	YGR191W, YKR039W
OG0000039	genemark-LAMI0A-processed-gene-7.20-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.20&CDS=1-2268, genemark-LAMI0F-processed-gene-6.97-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.97&CDS=1-2232	YAL023C, YGR199W
OG0000040	genemark-LAMI0A-processed-gene-7.64-mRNA-1_1&gene=genemark-LAMI0A-processed-gene-7.64&CDS=1-1737, genemark-LAMI0C-processed-gene-0.96-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-0.96&CDS=1-1704	YOR348C, YPL265W
OG0000041	genemark-LAMI0B-processed-gene-0.78-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.78&CDS=1-1752, maker-LAMI0F-snap-gene-7.107-mRNA-1_1&gene=maker-LAMI0F-snap-gene-7.107&CDS=1-3528	YBR299W, YGR292W
OG0000042	maker-LAMI0F-snap-gene-1.87-mRNA-1_1&gene=maker-LAMI0F-snap-gene-1.87&CDS=1-5511, snap_masked-LAMI0B-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LAMI0B-processed-gene-0.42&CDS=1-3789	YIL159W, YNL271C
OG0000043	genemark-LAMI0B-processed-gene-0.91-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-0.91&CDS=1-1512, genemark-LAMI0D-processed-gene-6.86-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-6.86&CDS=1-1263	YER123W, YHR135C
OG0000044	maker-LAMI0B-snap-gene-1.166-mRNA-1_1&gene=maker-LAMI0B-snap-gene-1.166&CDS=1-3399	YCR102C, YLR460C, YNL134C
OG0000045	genemark-LAMI0B-processed-gene-4.74-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-4.74&CDS=1-396, genemark-LAMI0C-processed-gene-6.151-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.151&CDS=1-396	YBL002W, YDR224C
OG0000046	genemark-LAMI0B-processed-gene-6.129-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-6.129&CDS=1-945, genemark-LAMI0G-processed-gene-1.36-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-1.36&CDS=1-951	YDR492W, YOL002C
OG0000047	genemark-LAMI0B-processed-gene-7.119-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.119&CDS=1-2253, genemark-LAMI0F-processed-gene-1.62-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-1.62&CDS=1-2031	YLR188W, YPL270W
OG0000048	genemark-LAMI0B-processed-gene-7.148-mRNA-1_1&gene=genemark-LAMI0B-processed-gene-7.148&CDS=1-1077, maker-LAMI0D-augustus-gene-11.58-mRNA-1_1&gene=maker-LAMI0D-augustus-gene-11.58&CDS=1-1896	YDL087C, YMR152W
OG0000049	genemark-LAMI0F-processed-gene-3.65-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.65&CDS=1-1677, maker-LAMI0C-snap-gene-1.46-mRNA-1_1&gene=maker-LAMI0C-snap-gene-1.46&CDS=1-3459	YFL011W, YMR011W
OG0000050	genemark-LAMI0C-processed-gene-1.21-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-1.21&CDS=1-2883, genemark-LAMI0E-processed-gene-0.16-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-0.16&CDS=1-2937	YGR240C, YMR205C
OG0000051	genemark-LAMI0C-processed-gene-7.95-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-7.95&CDS=1-7710, snap_masked-LAMI0C-processed-gene-2.71-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-2.71&CDS=1-5679	YNL059C, YPL231W
OG0000052	genemark-LAMI0C-processed-gene-4.132-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-4.132&CDS=1-1353, snap_masked-LAMI0C-processed-gene-9.89-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-9.89&CDS=1-1920	YKL046C, YMR238W
OG0000053	genemark-LAMI0C-processed-gene-5.95-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-5.95&CDS=1-2631, snap_masked-LAMI0E-processed-gene-3.50-mRNA-1_1&gene=snap_masked-LAMI0E-processed-gene-3.50&CDS=1-2424	YBR059C, YIL095W
OG0000054	genemark-LAMI0C-processed-gene-5.131-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-5.131&CDS=1-3954, genemark-LAMI0E-processed-gene-3.118-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-3.118&CDS=1-4314, genemark-LAMI0F-processed-gene-14.79-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-14.79&CDS=1-4374	YGR281W
OG0000055	genemark-LAMI0C-processed-gene-6.118-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.118&CDS=1-1473, genemark-LAMI0F-processed-gene-14.50-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-14.50&CDS=1-1584	YBR139W, YMR297W
OG0000056	genemark-LAMI0C-processed-gene-6.121-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.121&CDS=1-1842, genemark-LAMI0G-processed-gene-6.119-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-6.119&CDS=1-1668	YBR015C, YJL186W
OG0000057	genemark-LAMI0C-processed-gene-6.145-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.145&CDS=1-309, genemark-LAMI0E-processed-gene-3.150-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-3.150&CDS=1-309	YBR009C, YNL030W
OG0000058	genemark-LAMI0C-processed-gene-6.126-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-6.126&CDS=1-408, genemark-LAMI0E-processed-gene-3.127-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-3.127&CDS=1-408	YBR010W, YNL031C
OG0000059	genemark-LAMI0C-processed-gene-7.97-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-7.97&CDS=1-1233, genemark-LAMI0C-processed-gene-9.185-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-9.185&CDS=1-1425	YNL064C, YNL077W
OG0000060	genemark-LAMI0C-processed-gene-7.118-mRNA-1_1&gene=genemark-LAMI0C-processed-gene-7.118&CDS=1-573, genemark-LAMI0E-processed-gene-2.26-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-2.26&CDS=1-570	YGL147C, YNL067W
OG0000061	genemark-LAMI0F-processed-gene-7.120-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.120&CDS=1-3264, snap_masked-LAMI0C-processed-gene-8.122-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-8.122&CDS=1-3033	YBR245C, YOR304W
OG0000062	augustus_masked-LAMI0C-processed-gene-8.89-mRNA-1_1&gene=augustus_masked-LAMI0C-processed-gene-8.89&CDS=1-1482, genemark-LAMI0E-processed-gene-4.9-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-4.9&CDS=1-1488	YOL119C, YOR306C
OG0000063	genemark-LAMI0E-processed-gene-9.158-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-9.158&CDS=1-3003, snap_masked-LAMI0C-processed-gene-9.132-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-9.132&CDS=1-2481	YDL185W, YDL227C
OG0000064	augustus_masked-LAMI0H-processed-gene-9.79-mRNA-1_1&gene=augustus_masked-LAMI0H-processed-gene-9.79&CDS=1-678, snap_masked-LAMI0C-processed-gene-9.97-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-9.97&CDS=1-255, snap_masked-LAMI0C-processed-gene-9.99-mRNA-1_1&gene=snap_masked-LAMI0C-processed-gene-9.99&CDS=1-582, snap_masked-LAMI0H-processed-gene-4.57-mRNA-1_1&gene=snap_masked-LAMI0H-processed-gene-4.57&CDS=1-582	
OG0000065	genemark-LAMI0D-processed-gene-0.30-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-0.30&CDS=1-1641, genemark-LAMI0H-processed-gene-1.45-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-1.45&CDS=1-1677, maker-LAMI0D-snap-gene-0.3-mRNA-1_1&gene=maker-LAMI0D-snap-gene-0.3&CDS=1-1905	YJR152W
OG0000066	augustus_masked-LAMI0D-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-LAMI0D-processed-gene-0.118&CDS=1-3387, snap_masked-LAMI0D-processed-gene-10.111-mRNA-1_1&gene=snap_masked-LAMI0D-processed-gene-10.111&CDS=1-5280	YDR420W, YGR014W
OG0000067	genemark-LAMI0D-processed-gene-2.43-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-2.43&CDS=1-2088, genemark-LAMI0H-processed-gene-1.25-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-1.25&CDS=1-2355	YHR031C, YML061C
OG0000068	genemark-LAMI0D-processed-gene-3.112-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-3.112&CDS=1-1581, genemark-LAMI0G-processed-gene-0.96-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-0.96&CDS=1-1407	YHR050W, YLR034C
OG0000069	augustus_masked-LAMI0D-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-LAMI0D-processed-gene-3.43&CDS=1-2160, genemark-LAMI0E-processed-gene-4.43-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-4.43&CDS=1-2277	YHR035W, YPR181C
OG0000070	genemark-LAMI0D-processed-gene-5.30-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-5.30&CDS=1-1194, genemark-LAMI0H-processed-gene-8.137-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-8.137&CDS=1-1194	YHR179W, YPL171C
OG0000071	genemark-LAMI0D-processed-gene-11.6-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-11.6&CDS=1-2301, genemark-LAMI0F-processed-gene-3.117-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-3.117&CDS=1-1326	YBL052C, YOR244W
OG0000072	genemark-LAMI0D-processed-gene-11.55-mRNA-1_1&gene=genemark-LAMI0D-processed-gene-11.55&CDS=1-3315, genemark-LAMI0E-processed-gene-4.45-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-4.45&CDS=1-1263	YBR019C, YMR034C
OG0000073	genemark-LAMI0E-processed-gene-1.141-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-1.141&CDS=1-1887, snap_masked-LAMI0G-processed-gene-14.153-mRNA-1_1&gene=snap_masked-LAMI0G-processed-gene-14.153&CDS=1-2862	YFL041W, YMR058W
OG0000074	genemark-LAMI0E-processed-gene-2.16-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-2.16&CDS=1-1512, genemark-LAMI0E-processed-gene-2.38-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-2.38&CDS=1-1500	YMR169C, YMR170C
OG0000075	genemark-LAMI0G-processed-gene-10.139-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-10.139&CDS=1-2310, snap_masked-LAMI0E-processed-gene-6.32-mRNA-1_1&gene=snap_masked-LAMI0E-processed-gene-6.32&CDS=1-2145	YER047C, YPL074W
OG0000076	genemark-LAMI0E-processed-gene-8.159-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-8.159&CDS=1-882, genemark-LAMI0H-processed-gene-15.43-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-15.43&CDS=1-879	YLR146C, YPR069C
OG0000077	genemark-LAMI0E-processed-gene-9.163-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-9.163&CDS=1-543, genemark-LAMI0E-processed-gene-9.164-mRNA-1_1&gene=genemark-LAMI0E-processed-gene-9.164&CDS=1-543	YDL137W, YDL192W
OG0000078	genemark-LAMI0G-processed-gene-0.114-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-0.114&CDS=1-1812, maker-LAMI0F-augustus-gene-1.129-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-1.129&CDS=1-3618	YBR068C, YDR046C
OG0000079	genemark-LAMI0F-processed-gene-1.53-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-1.53&CDS=1-3471, genemark-LAMI0G-processed-gene-3.154-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-3.154&CDS=1-3558	YDR507C, YKL101W
OG0000080	genemark-LAMI0F-processed-gene-11.124-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-11.124&CDS=1-948, genemark-LAMI0F-processed-gene-6.114-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-6.114&CDS=1-930	YGR086C, YPL004C
OG0000081	genemark-LAMI0F-processed-gene-7.118-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-7.118&CDS=1-1722, genemark-LAMI0G-processed-gene-12.14-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-12.14&CDS=1-1725, genemark-LAMI0G-processed-gene-7.8-mRNA-1_1&gene=genemark-LAMI0G-processed-gene-7.8&CDS=1-1710	YJL172W
OG0000082	genemark-LAMI0H-processed-gene-15.48-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-15.48&CDS=1-2601, snap_masked-LAMI0F-processed-gene-8.66-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-8.66&CDS=1-1656	YLR152C, YOR092W
OG0000083	genemark-LAMI0F-processed-gene-12.2-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-12.2&CDS=1-1179, maker-LAMI0F-augustus-gene-9.53-mRNA-1_1&gene=maker-LAMI0F-augustus-gene-9.53&CDS=1-2163	YBR025C, YHL014C
OG0000084	genemark-LAMI0F-processed-gene-11.130-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-11.130&CDS=1-2820, snap_masked-LAMI0F-processed-gene-12.90-mRNA-1_1&gene=snap_masked-LAMI0F-processed-gene-12.90&CDS=1-3054	YBR038W, YNL192W
OG0000085	genemark-LAMI0F-processed-gene-14.48-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-14.48&CDS=1-5865, genemark-LAMI0H-processed-gene-13.96-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-13.96&CDS=1-6474	YER172C, YGR271W
OG0000086	genemark-LAMI0F-processed-gene-14.65-mRNA-1_1&gene=genemark-LAMI0F-processed-gene-14.65&CDS=1-1863, genemark-LAMI0H-processed-gene-0.0-mRNA-1_1&gene=genemark-LAMI0H-processed-gene-0.0&CDS=1-1854	YHL040C, YHL047C
