	Lachancea_fermentati	Saccharomyces_cerevisiae
OG0000010	augustus_masked-LAFE0H-processed-gene-10.160-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-10.160&CDS=1-3648, maker-LAFE0B-snap-gene-1.162-mRNA-1_1&gene=maker-LAFE0B-snap-gene-1.162&CDS=1-3084, snap_masked-LAFE0A-processed-gene-4.106-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.106&CDS=1-2034	YAL005C, YBL075C, YER103W, YJL034W, YLL024C
OG0000011	augustus_masked-LAFE0A-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-0.71&CDS=1-2019, augustus_masked-LAFE0D-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-LAFE0D-processed-gene-0.41&CDS=1-3921, genemark-LAFE0E-processed-gene-0.25-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-0.25&CDS=1-5733, snap_masked-LAFE0B-processed-gene-0.66-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.66&CDS=1-4104, snap_masked-LAFE0D-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-0.69&CDS=1-2943, snap_masked-LAFE0H-processed-gene-0.57-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-0.57&CDS=1-5421	YJR004C
OG0000012	augustus_masked-LAFE0A-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-3.84&CDS=1-2856, augustus_masked-LAFE0C-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-1.75&CDS=1-2874, augustus_masked-LAFE0F-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-6.29&CDS=1-489, augustus_masked-LAFE0F-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-6.7&CDS=1-1854, snap_masked-LAFE0F-processed-gene-6.75-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-6.75&CDS=1-2532, snap_masked-LAFE0F-processed-gene-6.78-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-6.78&CDS=1-1959	YDL227C
OG0000013	snap_masked-LAFE0A-processed-gene-6.237-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.237&CDS=1-1398, snap_masked-LAFE0E-processed-gene-2.126-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-2.126&CDS=1-1398, snap_masked-LAFE0H-processed-gene-14.213-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-14.213&CDS=1-1419	YAR071W, YBR092C, YBR093C, YHR215W
OG0000014	augustus_masked-LAFE0B-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-0.99&CDS=1-318, augustus_masked-LAFE0C-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-1.73&CDS=1-486, augustus_masked-LAFE0E-processed-gene-12.113-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-12.113&CDS=1-1758, augustus_masked-LAFE0F-processed-gene-14.90-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-14.90&CDS=1-1992, augustus_masked-LAFE0G-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LAFE0G-processed-gene-0.85&CDS=1-1392, augustus_masked-LAFE0H-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LAFE0H-processed-gene-0.16&CDS=1-723, snap_masked-LAFE0C-processed-gene-10.54-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-10.54&CDS=1-210	
OG0000015	augustus_masked-LAFE0B-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-3.98&CDS=1-2046, genemark-LAFE0D-processed-gene-10.44-mRNA-1_1&gene=genemark-LAFE0D-processed-gene-10.44&CDS=1-2604, snap_masked-LAFE0G-processed-gene-11.92-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-11.92&CDS=1-1503, snap_masked-LAFE0G-processed-gene-11.93-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-11.93&CDS=1-1503	YER073W, YOR374W, YPL061W
OG0000016	augustus_masked-LAFE0G-processed-gene-10.113-mRNA-1_1&gene=augustus_masked-LAFE0G-processed-gene-10.113&CDS=1-2427, snap_masked-LAFE0C-processed-gene-1.47-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-1.47&CDS=1-1029, snap_masked-LAFE0D-processed-gene-0.60-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-0.60&CDS=1-1029, snap_masked-LAFE0G-processed-gene-12.68-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-12.68&CDS=1-1107	YDR541C, YHR134W, YOL151W
OG0000017	snap_masked-LAFE0D-processed-gene-9.75-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-9.75&CDS=1-1314, snap_masked-LAFE0H-processed-gene-2.144-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-2.144&CDS=1-1311	YGR254W, YHR174W, YMR323W, YOR393W, YPL281C
OG0000018	maker-LAFE0G-augustus-gene-11.115-mRNA-1_1&gene=maker-LAFE0G-augustus-gene-11.115&CDS=1-2460, snap_masked-LAFE0E-processed-gene-11.57-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-11.57&CDS=1-1167, snap_masked-LAFE0G-processed-gene-11.52-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-11.52&CDS=1-1275, snap_masked-LAFE0G-processed-gene-11.90-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-11.90&CDS=1-1209	YBR205W, YDR483W, YOR099W
OG0000019	snap_masked-LAFE0A-processed-gene-2.109-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-2.109&CDS=1-990, snap_masked-LAFE0A-processed-gene-6.210-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.210&CDS=1-990, snap_masked-LAFE0C-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-7.56&CDS=1-990	YGR192C, YJL052W, YJR009C
OG0000020	genemark-LAFE0A-processed-gene-4.2-mRNA-1_1&gene=genemark-LAFE0A-processed-gene-4.2&CDS=1-1548, snap_masked-LAFE0C-processed-gene-8.53-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-8.53&CDS=1-1416, snap_masked-LAFE0G-processed-gene-15.8-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-15.8&CDS=1-1479	YHR050W, YLR034C, YOL122C
OG0000021	maker-LAFE0G-augustus-gene-1.159-mRNA-1_1&gene=maker-LAFE0G-augustus-gene-1.159&CDS=1-3615, maker-LAFE0G-snap-gene-6.6-mRNA-1_1&gene=maker-LAFE0G-snap-gene-6.6&CDS=1-3543, snap_masked-LAFE0A-processed-gene-6.170-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.170&CDS=1-1827, snap_masked-LAFE0B-processed-gene-9.20-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-9.20&CDS=1-1782	YGR191W, YKR039W
OG0000022	genemark-LAFE0C-processed-gene-5.114-mRNA-1_1&gene=genemark-LAFE0C-processed-gene-5.114&CDS=1-1548, snap_masked-LAFE0A-processed-gene-6.226-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.226&CDS=1-1701, snap_masked-LAFE0B-processed-gene-0.65-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.65&CDS=1-1773, snap_masked-LAFE0C-processed-gene-8.20-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-8.20&CDS=1-1695, snap_masked-LAFE0H-processed-gene-8.83-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-8.83&CDS=1-1776	YDR119W
OG0000023	augustus_masked-LAFE0C-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-0.66&CDS=1-990, maker-LAFE0A-snap-gene-6.78-mRNA-1_1&gene=maker-LAFE0A-snap-gene-6.78&CDS=1-903, maker-LAFE0G-snap-gene-15.141-mRNA-1_1&gene=maker-LAFE0G-snap-gene-15.141&CDS=1-1995, snap_masked-LAFE0F-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-0.44&CDS=1-1863, snap_masked-LAFE0F-processed-gene-14.150-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-14.150&CDS=1-366, snap_masked-LAFE0G-processed-gene-0.52-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-0.52&CDS=1-2274	
OG0000024	augustus_masked-LAFE0C-processed-gene-10.161-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-10.161&CDS=1-1239, augustus_masked-LAFE0F-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-1.2&CDS=1-1737, maker-LAFE0G-augustus-gene-6.2-mRNA-1_1&gene=maker-LAFE0G-augustus-gene-6.2&CDS=1-3330, snap_masked-LAFE0B-processed-gene-0.42-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.42&CDS=1-1707	YDL210W, YMR284W
OG0000025	augustus_masked-LAFE0F-processed-gene-7.8-mRNA-1_1&gene=augustus_masked-LAFE0F-processed-gene-7.8&CDS=1-1641, maker-LAFE0G-snap-gene-3.4-mRNA-1_1&gene=maker-LAFE0G-snap-gene-3.4&CDS=1-3405, snap_masked-LAFE0B-processed-gene-0.63-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.63&CDS=1-1734, snap_masked-LAFE0C-processed-gene-5.62-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-5.62&CDS=1-1710	YJL172W, YOL153C
OG0000026	snap_masked-LAFE0B-processed-gene-6.73-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-6.73&CDS=1-1017, snap_masked-LAFE0E-processed-gene-10.89-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-10.89&CDS=1-2283, snap_masked-LAFE0G-processed-gene-13.120-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-13.120&CDS=1-2784, snap_masked-LAFE0G-processed-gene-3.54-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-3.54&CDS=1-2268	YIL130W, YJL206C
OG0000027	maker-LAFE0D-augustus-gene-4.82-mRNA-1_1&gene=maker-LAFE0D-augustus-gene-4.82&CDS=1-942, snap_masked-LAFE0C-processed-gene-5.51-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-5.51&CDS=1-1503, snap_masked-LAFE0F-processed-gene-11.112-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-11.112&CDS=1-1959	YER133W, YML016C, YPL179W
OG0000028	maker-LAFE0C-augustus-gene-7.103-mRNA-1_1&gene=maker-LAFE0C-augustus-gene-7.103&CDS=1-1890, maker-LAFE0D-augustus-gene-5.140-mRNA-1_1&gene=maker-LAFE0D-augustus-gene-5.140&CDS=1-2103, snap_masked-LAFE0D-processed-gene-8.75-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-8.75&CDS=1-1056, snap_masked-LAFE0F-processed-gene-6.80-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-6.80&CDS=1-1152	YMR303C, YOL086C
OG0000029	snap_masked-LAFE0A-processed-gene-5.69-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-5.69&CDS=1-1026	YDL244W, YFL058W, YJR156C, YNL332W
OG0000030	augustus_masked-LAFE0D-processed-gene-10.217-mRNA-1_1&gene=augustus_masked-LAFE0D-processed-gene-10.217&CDS=1-5691, snap_masked-LAFE0A-processed-gene-6.179-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.179&CDS=1-2265	YAL023C, YGR199W, YOR321W
OG0000031	snap_masked-LAFE0A-processed-gene-6.187-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.187&CDS=1-1692, snap_masked-LAFE0D-processed-gene-1.74-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-1.74&CDS=1-1734, snap_masked-LAFE0F-processed-gene-10.62-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-10.62&CDS=1-1689	YDL080C, YLR044C
OG0000032	snap_masked-LAFE0A-processed-gene-6.236-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.236&CDS=1-1869, snap_masked-LAFE0C-processed-gene-10.102-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-10.102&CDS=1-1818, snap_masked-LAFE0H-processed-gene-0.36-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-0.36&CDS=1-1857	YHL040C, YHL047C
OG0000033	maker-LAFE0B-snap-gene-4.117-mRNA-1_1&gene=maker-LAFE0B-snap-gene-4.117&CDS=1-2301, snap_masked-LAFE0A-processed-gene-6.199-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.199&CDS=1-1533	YER056C, YER060W, YER060W-A
OG0000034	genemark-LAFE0D-processed-gene-1.123-mRNA-1_1&gene=genemark-LAFE0D-processed-gene-1.123&CDS=1-1755, snap_masked-LAFE0B-processed-gene-0.69-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.69&CDS=1-1659, snap_masked-LAFE0C-processed-gene-1.46-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-1.46&CDS=1-1656, snap_masked-LAFE0E-processed-gene-4.55-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-4.55&CDS=1-1833	YDR242W
OG0000035	augustus_masked-LAFE0B-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-LAFE0B-processed-gene-2.85&CDS=1-2082, maker-LAFE0E-augustus-gene-4.134-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-4.134&CDS=1-7038, snap_masked-LAFE0D-processed-gene-10.201-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-10.201&CDS=1-1923	YDR054C, YMR022W
OG0000036	augustus_masked-LAFE0C-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-0.77&CDS=1-2190, snap_masked-LAFE0E-processed-gene-1.130-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-1.130&CDS=1-2169	YKL222C, YOR162C, YOR172W
OG0000037	augustus_masked-LAFE0C-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-5.49&CDS=1-1173, snap_masked-LAFE0C-processed-gene-9.8-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-9.8&CDS=1-1623	YIR013C, YLR013W, YMR136W
OG0000038	maker-LAFE0E-augustus-gene-12.69-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-12.69&CDS=1-2007, snap_masked-LAFE0C-processed-gene-7.85-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-7.85&CDS=1-1473, snap_masked-LAFE0H-processed-gene-10.96-mRNA-1_1&gene=snap_masked-LAFE0H-processed-gene-10.96&CDS=1-1458	YBR139W, YMR297W
OG0000039	maker-LAFE0E-augustus-gene-1.52-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-1.52&CDS=1-3417, snap_masked-LAFE0E-processed-gene-0.78-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-0.78&CDS=1-1752	YCL069W, YKR105C, YPR198W
OG0000040	snap_masked-LAFE0E-processed-gene-7.80-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-7.80&CDS=1-684	YDR533C, YMR322C, YOR391C, YPL280W
OG0000041	snap_masked-LAFE0E-processed-gene-10.84-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-10.84&CDS=1-1356, snap_masked-LAFE0G-processed-gene-5.144-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-5.144&CDS=1-1077	YIL123W, YKR042W, YNL066W
OG0000042	augustus_masked-LAFE0G-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-LAFE0G-processed-gene-4.76&CDS=1-918, snap_masked-LAFE0G-processed-gene-4.13-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-4.13&CDS=1-1218, snap_masked-LAFE0G-processed-gene-4.31-mRNA-1_1&gene=snap_masked-LAFE0G-processed-gene-4.31&CDS=1-942	YJL158C, YJL160C
OG0000043	augustus_masked-LAFE0A-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-LAFE0A-processed-gene-2.82&CDS=1-2769, snap_masked-LAFE0A-processed-gene-4.69-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-4.69&CDS=1-2103	YHR031C, YML061C
OG0000044	maker-LAFE0A-snap-gene-2.49-mRNA-1_1&gene=maker-LAFE0A-snap-gene-2.49&CDS=1-1566	YHR216W, YLR432W, YML056C
OG0000045	snap_masked-LAFE0A-processed-gene-3.110-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.110&CDS=1-1683, snap_masked-LAFE0B-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.43&CDS=1-1641, snap_masked-LAFE0B-processed-gene-2.114-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-2.114&CDS=1-1635	YJR152W
OG0000046	augustus_masked-LAFE0C-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-LAFE0C-processed-gene-5.12&CDS=1-3165, snap_masked-LAFE0A-processed-gene-3.144-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-3.144&CDS=1-3090	YBR245C, YOR304W
OG0000047	genemark-LAFE0D-processed-gene-3.99-mRNA-1_1&gene=genemark-LAFE0D-processed-gene-3.99&CDS=1-2868, snap_masked-LAFE0A-processed-gene-6.239-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.239&CDS=1-3480	YDL037C, YIR019C
OG0000048	maker-LAFE0F-snap-gene-12.104-mRNA-1_1&gene=maker-LAFE0F-snap-gene-12.104&CDS=1-3636, snap_masked-LAFE0A-processed-gene-6.242-mRNA-1_1&gene=snap_masked-LAFE0A-processed-gene-6.242&CDS=1-1845, snap_masked-LAFE0E-processed-gene-6.14-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-6.14&CDS=1-1863	YBL042C
OG0000049	augustus_masked-LAFE0G-processed-gene-10.130-mRNA-1_1&gene=augustus_masked-LAFE0G-processed-gene-10.130&CDS=1-1143, snap_masked-LAFE0B-processed-gene-0.79-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-0.79&CDS=1-1125	YFL039C, YHR129C
OG0000050	maker-LAFE0E-augustus-gene-0.5-mRNA-1_1&gene=maker-LAFE0E-augustus-gene-0.5&CDS=1-3585, snap_masked-LAFE0B-processed-gene-1.16-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-1.16&CDS=1-3303	YBL063W, YEL061C
OG0000051	snap_masked-LAFE0B-processed-gene-3.22-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-3.22&CDS=1-1623, snap_masked-LAFE0C-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LAFE0C-processed-gene-0.10&CDS=1-1488	YDL178W, YEL071W
OG0000052	genemark-LAFE0G-processed-gene-11.169-mRNA-1_1&gene=genemark-LAFE0G-processed-gene-11.169&CDS=1-4155, maker-LAFE0B-augustus-gene-4.120-mRNA-1_1&gene=maker-LAFE0B-augustus-gene-4.120&CDS=1-3618	YIL039W, YPL074W
OG0000053	snap_masked-LAFE0B-processed-gene-5.51-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-5.51&CDS=1-2073, snap_masked-LAFE0B-processed-gene-9.18-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-9.18&CDS=1-1374	YFL021W, YKR034W
OG0000054	snap_masked-LAFE0B-processed-gene-5.87-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-5.87&CDS=1-951, snap_masked-LAFE0D-processed-gene-9.96-mRNA-1_1&gene=snap_masked-LAFE0D-processed-gene-9.96&CDS=1-930	YGR086C, YPL004C
OG0000055	snap_masked-LAFE0B-processed-gene-7.55-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-7.55&CDS=1-1659, snap_masked-LAFE0E-processed-gene-12.206-mRNA-1_1&gene=snap_masked-LAFE0E-processed-gene-12.206&CDS=1-1638	YLR343W, YMR307W
OG0000056	augustus_masked-LAFE0E-processed-gene-12.132-mRNA-1_1&gene=augustus_masked-LAFE0E-processed-gene-12.132&CDS=1-6960, snap_masked-LAFE0B-processed-gene-7.56-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-7.56&CDS=1-5673	YLR342W, YMR306W
OG0000057	snap_masked-LAFE0B-processed-gene-7.88-mRNA-1_1&gene=snap_masked-LAFE0B-processed-gene-7.88&CDS=1-1407, snap_masked-LAFE0F-processed-gene-6.66-mRNA-1_1&gene=snap_masked-LAFE0F-processed-gene-6.66&CDS=1-1467	YBR263W, YLR058C
OG0000058	genemark-LAFE0B-processed-gene-9.198-mRNA-1_1&gene=genemark-LAFE0B-processed-gene-9.198&CDS=1-2214, genemark-LAFE0E-processed-gene-6.88-mRNA-1_1&gene=genemark-LAFE0E-processed-gene-6.88&CDS=1-1932	YJR045C, YLR369W
