	Candida_tenuis	Saccharomyces_cerevisiae
OG0000010	augustus_masked-scaffold_00004-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-3.44&CDS=1-2763, augustus_masked-scaffold_00006-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-6.22&CDS=1-4221, maker-scaffold_00004-augustus-gene-1.1-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-1.1&CDS=1-3237, snap_masked-scaffold_00021-processed-gene-15.17-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-15.17&CDS=1-2385, snap_masked-scaffold_00021-processed-gene-8.45-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.45&CDS=1-4410, snap_masked-scaffold_00022-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.11&CDS=1-2064	YPR022C
OG0000011	augustus_masked-scaffold_00018-processed-gene-4.21-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-4.21&CDS=1-4896, genemark-scaffold_00009-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-2.54&CDS=1-1503, maker-scaffold_00004-snap-gene-1.7-mRNA-1_1&gene=maker-scaffold_00004-snap-gene-1.7&CDS=1-1935, snap_masked-scaffold_00004-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.45&CDS=1-1536	YHR155W, YNL257C, YOR374W
OG0000012	augustus_masked-scaffold_00004-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-4.56&CDS=1-1497, genemark-scaffold_00015-processed-gene-3.111-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.111&CDS=1-1707, maker-scaffold_00022-augustus-gene-20.200-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-20.200&CDS=1-2841, snap_masked-scaffold_00022-processed-gene-10.4-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.4&CDS=1-1569, snap_masked-scaffold_00022-processed-gene-13.33-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.33&CDS=1-1272	YFL021W, YKR034W
OG0000013	augustus_masked-scaffold_00008-processed-gene-3.145-mRNA-1_1&gene=augustus_masked-scaffold_00008-processed-gene-3.145&CDS=1-3492, genemark-scaffold_00006-processed-gene-1.143-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-1.143&CDS=1-2733, genemark-scaffold_00006-processed-gene-11.71-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-11.71&CDS=1-2724, genemark-scaffold_00006-processed-gene-2.32-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-2.32&CDS=1-2334, snap_masked-scaffold_00021-processed-gene-21.18-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-21.18&CDS=1-2724	YJL212C, YPR194C
OG0000014	augustus_masked-scaffold_00018-processed-gene-5.96-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-5.96&CDS=1-4041, genemark-scaffold_00008-processed-gene-4.119-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.119&CDS=1-1788, genemark-scaffold_00009-processed-gene-6.124-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.124&CDS=1-1785	YCL069W, YGR224W, YKR105C, YPR198W
OG0000015	genemark-scaffold_00009-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-0.25&CDS=1-1008, snap_masked-scaffold_00021-processed-gene-5.65-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-5.65&CDS=1-987, snap_masked-scaffold_00022-processed-gene-20.66-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-20.66&CDS=1-996	YDR541C, YGL039W, YGL157W, YOL151W
OG0000016	augustus_masked-scaffold_00021-processed-gene-8.6-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-8.6&CDS=1-1491, genemark-scaffold_00009-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-2.67&CDS=1-2025, genemark-scaffold_00015-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.104&CDS=1-1569, snap_masked-scaffold_00009-processed-gene-9.215-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-9.215&CDS=1-1476, snap_masked-scaffold_00021-processed-gene-15.1-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-15.1&CDS=1-1545, snap_masked-scaffold_00022-processed-gene-14.25-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-14.25&CDS=1-1572	YPL218W
OG0000017	augustus_masked-scaffold_00015-processed-gene-6.133-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-6.133&CDS=1-1341, augustus_masked-scaffold_00015-processed-gene-9.135-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-9.135&CDS=1-4677, genemark-scaffold_00015-processed-gene-8.63-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-8.63&CDS=1-954, genemark-scaffold_00015-processed-gene-9.45-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-9.45&CDS=1-990	YGR215W, YJR019C, YOL075C
OG0000018	maker-scaffold_00021-augustus-gene-23.97-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-23.97&CDS=1-2763, snap_masked-scaffold_00021-processed-gene-23.51-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.51&CDS=1-1380	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000019	genemark-scaffold_00008-processed-gene-2.16-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-2.16&CDS=1-1707, genemark-scaffold_00018-processed-gene-5.67-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-5.67&CDS=1-1650, snap_masked-scaffold_00004-processed-gene-5.59-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-5.59&CDS=1-1758	YGR249W, YHR206W, YOR140W
OG0000020	augustus_masked-scaffold_00022-processed-gene-7.33-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-7.33&CDS=1-4695, genemark-scaffold_00006-processed-gene-0.53-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-0.53&CDS=1-2292, genemark-scaffold_00009-processed-gene-9.246-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.246&CDS=1-681, snap_masked-scaffold_00008-processed-gene-0.47-mRNA-1_1&gene=snap_masked-scaffold_00008-processed-gene-0.47&CDS=1-3603	YFR007W, YLR038C
OG0000021	genemark-scaffold_00006-processed-gene-0.83-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-0.83&CDS=1-1638, genemark-scaffold_00018-processed-gene-8.108-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-8.108&CDS=1-2223	YBR297W, YFL052W, YGR288W, YPR196W
OG0000022	genemark-scaffold_00006-processed-gene-2.15-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-2.15&CDS=1-1611, genemark-scaffold_00009-processed-gene-6.126-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.126&CDS=1-1545, genemark-scaffold_00018-processed-gene-8.95-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-8.95&CDS=1-1632, snap_masked-scaffold_00021-processed-gene-10.42-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-10.42&CDS=1-1608	YBR139W, YMR297W
OG0000023	augustus_masked-scaffold_00018-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-2.111&CDS=1-2325, genemark-scaffold_00006-processed-gene-9.46-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-9.46&CDS=1-1785, genemark-scaffold_00015-processed-gene-7.39-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-7.39&CDS=1-1761, snap_masked-scaffold_00006-processed-gene-4.16-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-4.16&CDS=1-2427	YDR338C, YHR032W
OG0000024	genemark-scaffold_00008-processed-gene-4.147-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.147&CDS=1-1617, genemark-scaffold_00015-processed-gene-7.15-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-7.15&CDS=1-1626, genemark-scaffold_00018-processed-gene-7.134-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-7.134&CDS=1-1650, maker-scaffold_00015-augustus-gene-6.7-mRNA-1_1&gene=maker-scaffold_00015-augustus-gene-6.7&CDS=1-1836, maker-scaffold_00018-snap-gene-4.4-mRNA-1_1&gene=maker-scaffold_00018-snap-gene-4.4&CDS=1-3384	YDR242W
OG0000025	genemark-scaffold_00008-processed-gene-4.155-mRNA-1_1&gene=genemark-scaffold_00008-processed-gene-4.155&CDS=1-840, genemark-scaffold_00009-processed-gene-2.66-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-2.66&CDS=1-855, genemark-scaffold_00023-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_00023-processed-gene-0.0&CDS=1-840, snap_masked-scaffold_00021-processed-gene-7.32-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-7.32&CDS=1-834, snap_masked-scaffold_00022-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.12&CDS=1-867	YIL124W
OG0000026	genemark-scaffold_00009-processed-gene-1.99-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-1.99&CDS=1-2685, snap_masked-scaffold_00018-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scaffold_00018-processed-gene-0.30&CDS=1-2532, snap_masked-scaffold_00022-processed-gene-14.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-14.40&CDS=1-2613	YLL005C, YMR266W, YOL084W
OG0000027	augustus_masked-scaffold_00022-processed-gene-18.19-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-18.19&CDS=1-2802, maker-scaffold_00018-snap-gene-6.106-mRNA-1_1&gene=maker-scaffold_00018-snap-gene-6.106&CDS=1-1137, snap_masked-scaffold_00009-processed-gene-7.88-mRNA-1_1&gene=snap_masked-scaffold_00009-processed-gene-7.88&CDS=1-1017, snap_masked-scaffold_00022-processed-gene-7.48-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-7.48&CDS=1-1029	YNL274C, YPL113C
OG0000028	genemark-scaffold_00009-processed-gene-9.286-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-9.286&CDS=1-813, genemark-scaffold_00015-processed-gene-10.2-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-10.2&CDS=1-1743	YER054C, YIL045W, YLR273C, YOR178C
OG0000029	genemark-scaffold_00015-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.47&CDS=1-2328, genemark-scaffold_00015-processed-gene-1.62-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-1.62&CDS=1-1299, snap_masked-scaffold_00021-processed-gene-20.78-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-20.78&CDS=1-2061	YDL025C, YNL183C, YOR267C
OG0000030	genemark-scaffold_00015-processed-gene-6.81-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-6.81&CDS=1-1650, maker-scaffold_00021-augustus-gene-23.98-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-23.98&CDS=1-2679, snap_masked-scaffold_00021-processed-gene-8.47-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.47&CDS=1-1575	YDL138W, YDL194W, YMR011W
OG0000031	genemark-scaffold_00018-processed-gene-8.107-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-8.107&CDS=1-3054, snap_masked-scaffold_00021-processed-gene-15.35-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-15.35&CDS=1-2055, snap_masked-scaffold_00021-processed-gene-5.71-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-5.71&CDS=1-3186	YBR245C, YFR038W, YOR304W
OG0000032	snap_masked-scaffold_00021-processed-gene-11.63-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-11.63&CDS=1-723, snap_masked-scaffold_00021-processed-gene-14.76-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-14.76&CDS=1-648, snap_masked-scaffold_00021-processed-gene-8.54-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.54&CDS=1-1785, snap_masked-scaffold_00022-processed-gene-11.61-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-11.61&CDS=1-546, snap_masked-scaffold_00022-processed-gene-6.77-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-6.77&CDS=1-909	YBR240C
OG0000033		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000034	genemark-scaffold_00001-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_00001-processed-gene-0.1&CDS=1-1020, genemark-scaffold_00009-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-0.35&CDS=1-1023, snap_masked-scaffold_00021-processed-gene-22.38-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-22.38&CDS=1-1020, snap_masked-scaffold_00021-processed-gene-7.54-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-7.54&CDS=1-1023	YPR127W
OG0000035	augustus_masked-scaffold_00004-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.17&CDS=1-5133, augustus_masked-scaffold_00004-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.33&CDS=1-5490, genemark-scaffold_00009-processed-gene-7.140-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-7.140&CDS=1-3936, snap_masked-scaffold_00022-processed-gene-10.35-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.35&CDS=1-3921	YKL215C
OG0000036	genemark-scaffold_00009-processed-gene-2.88-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-2.88&CDS=1-762, snap_masked-scaffold_00004-processed-gene-1.103-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.103&CDS=1-783, snap_masked-scaffold_00021-processed-gene-6.95-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-6.95&CDS=1-795	YCR010C, YNR002C
OG0000037	augustus_masked-scaffold_00006-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-3.120&CDS=1-5352, genemark-scaffold_00009-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-3.122&CDS=1-2199, snap_masked-scaffold_00004-processed-gene-4.40-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-4.40&CDS=1-1983	YER015W, YPL235W
OG0000038	genemark-scaffold_00009-processed-gene-6.125-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.125&CDS=1-1365, genemark-scaffold_00018-processed-gene-3.23-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-3.23&CDS=1-1473, snap_masked-scaffold_00004-processed-gene-7.52-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.52&CDS=1-1410, snap_masked-scaffold_00021-processed-gene-13.54-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-13.54&CDS=1-1398	YOR306C
OG0000039	augustus_masked-scaffold_00021-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-1.73&CDS=1-819, snap_masked-scaffold_00004-processed-gene-7.71-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.71&CDS=1-477	YDR178W, YLR164W, YPR166C
OG0000040	maker-scaffold_00022-augustus-gene-5.1-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-5.1&CDS=1-3615, snap_masked-scaffold_00004-processed-gene-7.42-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.42&CDS=1-2367, snap_masked-scaffold_00021-processed-gene-7.55-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-7.55&CDS=1-1869, snap_masked-scaffold_00022-processed-gene-10.36-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.36&CDS=1-1779	YLR278C
OG0000041	augustus_masked-scaffold_00006-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-0.107&CDS=1-3075, augustus_masked-scaffold_00015-processed-gene-6.147-mRNA-1_1&gene=augustus_masked-scaffold_00015-processed-gene-6.147&CDS=1-3885	YCR094W, YNL323W, YNR048W
OG0000042	augustus_masked-scaffold_00006-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-0.116&CDS=1-4965, genemark-scaffold_00006-processed-gene-0.67-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-0.67&CDS=1-792	YCL036W, YDR514C, YKL114C
